 Schlussrangliste                                                                                                                  Fr. 2.-
 109. Innerschweizerisches Schwing- und Älplerfest
 Seedorf (UR), 05. Juli 2015

   k                 Gwerder Andreas, S *, Muotathal                                           SZ   +00-0+
   l                 Bürli Roger, S, Menzberg                                                  LU   +-0+00
   m                 Bucher Christian, S, Finstersee                                           ZG   +0+-00
18 a           54.00 Schuler Thomas, S, Rothenthurm                                            SZ   --0++0
   b                 Inderbitzin Daniel, S *, Schönenberg ZH                                   SZ   -+0+0-
   c                 Vogler Daniel, S *, Lungern                                               ONW -+0+00
   d                 Schürpf Bruno, T, Schwyz                                                  SZ   +00-+0
   e                 Rohrer Ueli, S, Flüeli-Ranft                                              ONW -+000+
   f                 Odermatt Andreas, S *, Ennetmoos                                          ONW 0+0+0-
   g                 Egli Damian, S **, Steinhuserberg                                         LU   0-++00
   h                 Barmettler Peter, S *, Ennetbürgen                                        ONW -00++0
   i                 Arnold Severin, T *, Unterschächen                                        UR   -0+00+
   j                 Amgarten Martin, S, Lungern                                               ONW +-+000
   k                 Achermann Simon, T, Willisau                                              LU   +0+-00
   l                 Achermann Christoph, T *, Willisau                                        LU   00-++0
   m                 Suter Paul, S, Rickenbach b. Schwyz                                       SZ   +000+0
   n                 Kammermann Christoph, S *, Rothenburg                                     LU   0+0+00
   o                 Baumann Lukas, S, Unterägeri                                              ZG   0+000+
   p                 Muff Armin, S **, Oberkirch LU                                            LU   -0+0--
19 a           53.75 Ulrich Martin, S, Zug                                                     ZG   0+0+00
   b                 Ulrich Marco, S, Gersau                                                   SZ   ++0000
   c                 Gwerder Benj, S, Muotathal                                                SZ   ++0000
   d                 Diener Pirmin, S *, Steinen                                               SZ   0+0+00
   e                 Kenel Stefan, S *, Oberarth                                               SZ   -+-0--
   f                 Bättig Martin, S *, Kleinwangen                                           LU   +0---0

* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz        3.15.0.0 ¦ 15.2763   c   Druckpartner Schumacher PrintSolutions

 Schlussrangliste                                                             109. Innerschweizerisches Schwing- und Älplerfest

20 a           53.50 Widmer Thomas, S, Cham                                                    ZG          +0+000
   b                 Müller Toni, S *, Entlebuch                                               LU          0+0---
   c                 Kurmann Toni, S, Hergiswil b. Willisau                                    LU          00+--0
   d                 Dissler Philipp, S, Werthenstein                                          LU          0-+-00
21 a           53.25 Wyrsch David, S *, Bürglen UR                                             UR          --+0-0
   b                 Schindler Thomas, S, Goldau                                               SZ          -+0-0-
   c                 Michel Silvan, Melchtal                                                   ONW         -0+-00
   d                 Bachmann Adrian, S, Schwarzenberg LU                                      LU          0+00--
22 a           53.00 Odermatt Remo, S *, Ennetbürgen                                           ONW         --0+-0
   b                 Doppmann Urs, S, Romoos                                                   LU          -+0-00
   c                 Zimmermann Armin, Weggis                                                  SZ          -00+00
   d                 Herger Lukas, S, Schattdorf                                               UR          0+00-0
   e                 Doppmann Ueli, S, Romoos                                                  LU          -00+00
   f                 Baumann Roger, S *, Schattdorf                                            UR          000+00
23 a           52.75 Gyr Roland, Gross                                                         SZ          --0+00
   b                 Fassbind René, S *, Goldau                                                SZ          00-+00
24             36.75 Egli Manuel, S *, Entlebuch                                               LU          0++0                     Unfall
25             35.75 Murer Remo, T, Seedorf UR                                                 UR          --+0                     Unfall
26 a           35.50 Scherer Niklaus, S, Escholzmatt                                           LU          -+00
   b                 Ottiger Lukas, S, Rothenburg                                              LU          0+-0
   c                 Kessler Joel, S, Siebnen                                                  SZ          -+00                     Unfall
   d                 Hirsiger Alexander, S, Neudorf                                            LU          0-0+
   e                 Herger Simon, S, Schattdorf                                               UR          00+-
   f                 Gander Martin, S, Beckenried                                              ONW         00-+
   g                 Bürgler Lukas, S, Rickenbach b. Schwyz                                    SZ          +00-
   h                 Bieri Elias, T, Oberkirch LU                                              LU          0+0-
   i                 Suter Beat, S, Allenwinden                                                ZG          00+0
   j                 Scherer Adrian, S *, Schachen LU                                          LU          0+00
   k                 Schaller Nicola, S, Hasle LU                                              LU          0+00
   l                 Hess Dominik, S *, Engelberg                                              ONW         00+0
   m                 Briker Michael, S *, Sisikon                                              UR          +000
   n                 Martin Robin, S *, Sigigen                                                LU          --0-
27 a           35.25 Wallimann Remo, S, Giswil                                                 ONW         +000
