                                                Zürcher
         Schlussrangliste         Kantonalschwingfest
                             Hausen am Albis, 06.05.2018
21 c 53.25 oo+oo- Knecht Remo (2002), S                 Wald ZH                      ZH Zürcher Oberland
22   53.00 o--+oo Peng Mike, T ***                      Malix                        GR Chur
23 a 52.75 o-o+oo Buﬀ Alwin, T                          Oetwil an der Limmat         ZH Winterthur
23 b 52.75 oo+ooo Lanter Andreas, S                     Kollbrunn                    ZH Winterthur
24   35.75 o-+o      Wittenwiler Roman, S *             Schwellbrunn                 AP Herisau                     Unfall
25 a 35.50 oo+-      Dudli Gallus, S                    Niederglatt SG               SG St. Gallen u. Umgebung
25 b 35.50 -+oo      Keller Werner, S                   Herisau                      AP Herisau
25 c 35.50 +oo-      Knabe Robert, T                    Langnau am Albis             ZH Zürcher Oberland
25 d 35.50 o+-o      Küng Marco, S *                    Bünzen                       AG Freiamt
25 e 35.50 o+oo      Bader Sandro (2002), T             Birmensdorf ZH               ZH Glatt- und Limmattal
25 f 35.50 +ooo      Binzegger Kevin, S                 Mettmenstetten               ZH Am Albis
25 g 35.50 o+oo      Burkhard Roger, S                  Forch                        ZH Zürich
25 h 35.50 +ooo      Ebert Claudio, S                   Stäfa                        ZH Zürichsee Rechtes Ufer
25 i 35.50 +ooo      Furrer Matthias, S                 Islisberg                    ZH Am Albis
25 j 35.50 oo+o      Gaccioli Benjamin, T               Neuwilen                     TG Bodensee u. Rhein
25 k 35.50 ooo+      Glättli Benny                      Bonstetten                   ZH Am Albis
25 l 35.50 o+oo      Hagenbucher Tim, S                 Aﬀoltern am Albis            ZH Am Albis
25 m 35.50 +ooo      Kiener Tobias, S                   Schöﬄisdorf                  ZH Zürcher Unterland
25 n 35.50 o+oo      Läuchli Janik (2000), S            Merenschwand                 AG Freiamt
25 o 35.50 ooo+      Porret Louis (2002), S             Aeugstertal                  ZH Am Albis
25 p 35.50 +ooo      Schäppi Urs, S *                   Wiezikon b. Sirnach          TG Hinterthurgau
25 q 35.50 o+oo      Schneebeli Jonas                   Zwillikon                    ZH Am Albis
25 r 35.50 ooo+      Streich Yannick (2002), S          Aeugstertal                  ZH Am Albis
25 s 35.50 oo+o      Thoma Luca (2000), T               Gonten                       AP Appenzell
25 t 35.50 oo+o      Tobler Pius (2001), S              Küsnacht ZH                  ZH Zürichsee Rechtes Ufer
25 u 35.50 ooo+      Zemp Stefan (2002), S              Hüttikon                     ZH Glatt- und Limmattal
26 a 35.25 +ooo      Aeppli Lukas (2000), S             Wädenswil                    ZH Zürichsee Linkes Ufer
26 b 35.25 +ooo      Biser Niklaus, S                   Langnau am Albis             ZH Am Albis
26 c 35.25 ooo+      Bossert Alain (2001), T            Hinwil                       ZH Zürcher Oberland
26 d 35.25 oo+o      Dobler Lorenz (2000), S            Brülisau                     AP Appenzell
26 e 35.25 oo+o      Falch Urs (2001), S                Zürich                       ZH Zürich
26 f 35.25 +ooo      Frey Aaron, S                      opﬁkon                       ZH Zürich
26 g 35.25 oo+o      Knup Stephan, T                    Matzingen                    TG Unterthurgau
26 h 35.25 o+oo      Maglia Leo                         Zürich                       ZH Zürich
27   35.00 ---o      Dörig Erich, T *                   Haslen AI                    AP Appenzell
28 a 34.75 -o--      Fontana Michael, T *               Chur                         GR Chur
28 b 34.75 --o-      Poltera Andrin, T                  Urnäsch                      AP Herisau
28 c 34.75 o---      Straub Robin, T *                  Romanshorn                   TG Oberthurgau
Zürich                                      ©2018 Eidgenössischer Schwingerverband                       14.10.2018 11:01 Seite 3/4

                                                         Zürcher
         Schlussrangliste                  Kantonalschwingfest
                                      Hausen am Albis, 06.05.2018

Rang Punkte Resultat Name Vorname                                  Wohnort                             Schwingklub                  Status
29   34.50 oooo      Aebli Nino (2000), T                          Seewis Dorf                      GR Unterlandquart
30   34.25 o-oo      Stadelmann Valentin (2000), S                 Zürich                           ZH Zürich
31 a 34.00 oooo      Dittli Philip, S                              Geroldswil                       ZH Glatt- und Limmattal
31 b 34.00 oooo      Eichhorn Alexander, S                         Zollikerberg                     ZH Zürich
31 c 34.00 oooo      Glättli Tobias (2002)                         Bonstetten                       ZH Am Albis
31 d 34.00 oooo      Jokl Samuel, S                                Zürich                           ZH Zürich
31 e 34.00 oooo      Tresch Luca (2002)                            Eﬀretikon                        ZH Winterthur
31 f 34.00 oooo      Vontobel Florian (2001), S                    Hinwil                           ZH Zürcher Oberland
32   27.00 +oo       Vogel Thomas, T                               Kesswil                          TG Oberthurgau                  Unfall
33    8.50 o         Widmer Fabian, T                              Turbenthal                       ZH Zürcher Oberland             Unfall

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger


Kranzverteilung
AP GR SG TG ZH NWSV (Gast) Total
 1 1 5 3 7      3           20




Zürich                                                ©2018 Eidgenössischer Schwingerverband                             14.10.2018 11:01 Seite 4/4

