                        Schlussrangliste                                                                                               Fr. 2.-
                        120. Nordostschweizer Schwingfest
                        Wald ZH, 28. Juni 2015

   v                 Hersche Daniel, S, Appenzell                                             AP           00+0
   w                 Frauchiger Remo, T, Bauma                                                ZH           0+00
   x                 Castelberg Marius, T, Chur                                               GR           +000                     Unfall
   y                 Bürgler Patrick, T, Ellikon am Rhein                                     SH           000+
   z                 Breitenmoser Manuel, S, Nassen                                           SG           +000
24 a           35.25 Schäppi Urs, S, Wiezikon b. Sirnach                                      TG           +000
   b                 Roth Ruedi, S, Ebnat-Kappel                                              SG           +000
   c                 Näf Bruno, S *, Hemberg                                                  SG           00+0
   d                 Mathis Patrick, S, Jenaz                                                 GR           000+
   e                 Büsser André, Amden                                                      SG           00+0
   f                 Arnold Christian, Affoltern am Albis                                     ZH           0+00
25 a           35.00 Vogel Beat, S *, Benken SG                                               SG           ----
   b                 Riget Ivan, T *, Goldingen                                               ZH           ----
   c                 Castelberg Andri, T, Chur                                                GR           0---
   d                 Harder Benj, T, St.Pelagiberg                                            SG           -00-
* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz        3.15.0.0 ¦ 15.2643   c   Druckpartner Schumacher PrintSolutions

 Schlussrangliste                                                             120. Nordostschweizer Schwingfest

26 a           34.50 Schnyder Christian, S, Näfels                                            GL            0--0
   b                 Junker Nik, S, Mettmenstetten                                            ZH            0--0
   c                 Gysel Hansruedi, T, Wilchingen                                           SH            0-0-
   d                 Breitenmoser Simon, S, Nassen                                            SG            00--
27 a           34.25 Schönenberger Björn, T, Arnegg                                           SG            00-0
   b                 Roth Peter, S, Ebnat-Kappel                                              SG            00-0
   c                 Langenegger Beat, S, Gais                                                AP            00-0
   d                 Bäbler Sandro, T **, Jonschwil                                           SG            0-00
   e                 Tremp Remo, Schänis                                                      SG            0000
28 a           34.00 Schiess Christian, S, Flawil                                             SG            0000
   b                 Meier Remo, S **, Altstätten SG                                          SG            0000
29             18.50 Schmucki Ivo, T, Schänis                                                 SG            +0                       Unfall
30             17.50 Bernold Beat, T *, Heiligkreuz                                           SG            --                       Unfall
31 a            8.50 Ritzmann Bernhard, T, Neunkirch                                          SH            0                        Unfall
   b                 Gloggner Philipp, S ***, Ruswil                                          ISV           0                        Unfall




* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz         3.15.0.0 ¦ 15.2643   c   Druckpartner Schumacher PrintSolutions

