4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
o;9;17.0;Nyffenegger Florian (2001);;17;54.0;8;17.25;-1;0.25;8.5
-;15;25.5;Caviezel Nicolas (2003);;30;34.5;14;25.75;-1;0.25;8.75

31d;Suter Jonas (2003);;;;;;;;;;34.25
o;;;Herrmann Adrian;;;;;;;;8.5
o;4;8.5;Hermann Lukas 1;;29;35.25;4;8.5;0;0.0;8.5
-;9;17.0;Huber Joshua;;21;53.0;8;17.25;-1;0.25;8.75
o;14;25.75;Späti Jan (2002);;18;53.75;13;26.0;-1;0.25;8.5

31e;Brunner Patrick (2002);;;;;;;;;;34.25
o;;;Huber Fabian;;;;;;;;8.75
o;3;8.75;Müller Simon;;19;53.5;4;8.5;1;-0.25;8.5
o;8;17.25;Schär Jonas;;15;54.5;8;17.25;0;0.0;8.5
o;14;25.75;Bucher Yanik (2003);;19;53.5;13;26.0;-1;0.25;8.5

31f;Märki Fabian (2001);;;;;;;;;;34.25
-;;;Graf Gian (2003);;;;;;;;8.75
o;3;8.75;Gnägi Damian;;13;55.0;3;8.75;0;0.0;8.5
o;8;17.25;Arnold Kornel;*;15;54.5;8;17.25;0;0.0;8.5
o;14;25.75;Nussbaumer Dominik;;17;54.0;12;26.75;-2;1.0;8.5

32a;Niggli Andreas;;;;;;;;;;34.0
o;;;Brugger Jonas;;;;;;;;8.5
o;4;8.5;Schick Janis (2003);;17;54.0;4;8.5;0;0.0;8.5
o;9;17.0;Büchi Christian;;17;54.0;8;17.25;-1;0.25;8.5
o;15;25.5;Hasler Luis (2002);;26;44.5;10;27.25;-5;1.75;8.5

32b;Herrmann Daniel (2003);;;;;;;;;;34.0
o;;;Von Wyl Simon;;;;;;;;8.5
o;4;8.5;Lazic Marco;;20;53.25;3;8.75;-1;0.25;8.5
o;9;17.0;Eggenschwiler Fabian;;23;52.5;9;17.0;0;0.0;8.5
o;15;25.5;Huber Joshua;;21;53.0;13;26.0;-2;0.5;8.5

33a;Bieri Florian (2001);;;;;;;;;;26.75
+;;;Vogt Patrick;;;;;;;;9.75
o;2;9.75;Lisser Daniel;*;11;55.5;2;9.75;0;0.0;8.5
o;6;18.25;Dobler Florian;;13;55.0;6;18.25;0;0.0;8.5

34a;Bächli Michael;**;;;;;;;;;20.0
+;;;Brun Samuel;**;;;;;;;10.0
+;1;10.0;Moser Matthias;*;12;55.25;2;9.75;1;-0.25;10.0

35a;Schaffner Samuel;**;;;;;;;;;17.5
-;;;Hasler Jimmy;*;;;;;;;8.75
-;3;8.75;Brand Christian;**;13;55.0;3;8.75;0;0.0;8.75

36a;Schwenkfelder Lukas;*;;;;;;;;;17.25
o;;;Scherrer Johann;**;;;;;;;8.5
-;4;8.5;Odermatt Adrian (2001);*;8;56.25;3;8.75;-1;0.25;8.75

37a;Jusufi Ilber;;;;;;;;;;8.75
-;;;Stark Urban;;;;;;;;8.75

