4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;9;27.5;Vogel Remo (2001);*;17;54.0;11;27.0;2;-0.5;10.0
-;5;37.5;Rüegger Aaron;*;14;54.75;6;37.25;1;-0.25;8.75
+;9;46.25;Kohler Adrian;*;13;55.0;8;46.5;-1;0.25;10.0

8d;Schmutz Simon;*;;;;;;;;;56.25
o;;;Mangold Michael;**;;;;;;;8.75
+;3;8.75;Burkhardt Roy;;13;55.0;1;10.0;-2;1.25;10.0
o;4;18.75;Waldner Patrick;**;14;54.75;7;17.5;3;-1.25;8.75
-;9;27.5;Stadler Kevin (2002);*;15;54.5;11;27.0;2;-0.5;8.75
+;10;36.25;Loosli Adrian;;17;54.0;7;37.0;-3;0.75;10.0
+;9;46.25;Schmid Samuel;**;13;55.0;8;46.5;-1;0.25;10.0

8e;Bruder Adrian;;;;;;;;;;56.25
-;;;Hasler Luis (2002);;;;;;;;8.75
+;3;8.75;Huber Joshua;;21;53.0;3;8.75;0;0.0;10.0
-;4;18.75;Stadler Kevin (2002);*;15;54.5;6;18.25;2;-0.5;8.75
-;9;27.5;Anderegg David;*;25;44.75;10;27.25;1;-0.25;8.75
+;10;36.25;Eggenschwiler Fabian;;23;52.5;13;35.5;3;-0.75;10.0
+;9;46.25;Büttler Gian;;11;55.5;7;46.75;-2;0.5;10.0

9a;Henzer Andreas;**;;;;;;;;;56.0
o;;;Strebel Joel;**;;;;;;;8.5
+;4;8.5;Körkel Yannik;;21;53.0;1;10.0;-3;1.5;10.0
+;5;18.5;Küng Marco;*;16;54.25;4;18.75;-1;0.25;10.0
+;5;28.5;Bearda Samuel;**;11;55.5;5;28.5;0;0.0;9.75
-;2;38.25;Döbeli Andreas;*;3;57.5;1;38.5;-1;0.25;8.75
-;6;47.0;von Arx Christian;*;11;55.5;8;46.5;2;-0.5;9.0

9b;Hügli Kaj;**;;;;;;;;;56.0
-;;;Odermatt Adrian (2001);*;;;;;;;8.75
+;3;8.75;Kocher Remo;**;12;55.25;4;8.5;1;-0.25;9.75
+;5;18.5;Dobler Florian;;13;55.0;6;18.25;1;-0.25;10.0
-;5;28.5;Brun Samuel;**;6;56.75;5;28.5;0;0.0;8.75
o;6;37.25;Voggensperger Lars (2001);*;11;55.5;6;37.25;0;0.0;8.75
+;10;46.0;Burkhardt Roy;;13;55.0;8;46.5;-2;0.5;10.0

10a;Kehr Damian (2001);;;;;;;;;;55.75
+;;;Eggenschwiler Fabian;;;;;;;;9.75
-;2;9.75;Streich Sascha (2001);;13;55.0;3;8.75;1;-1.0;8.75
-;5;18.5;Moser Matthias;*;12;55.25;6;18.25;1;-0.25;8.75
o;10;27.25;Gerber Manuel;*;13;55.0;11;27.0;1;-0.25;8.5
+;12;35.75;Huber Fabian;;24;45.5;13;35.5;1;-0.25;10.0
+;11;45.75;Ris Jörn;*;16;54.25;12;45.5;1;-0.25;10.0

10b;Kropf Marcel;**;;;;;;;;;55.75
o;;;Räbmatter Patrick;***;;;;;;;8.5
o;4;8.5;Mangold Michael;**;8;56.25;1;10.0;-3;1.5;8.75
+;8;17.25;Schick Janis (2003);;17;54.0;5;18.5;-3;1.25;10.0
+;10;27.25;Krebs Clemens;*;12;55.25;7;28.0;-3;0.75;10.0
+;6;37.25;Mangold Martin;*;13;55.0;8;36.75;2;-0.5;10.0
o;5;47.25;Brun Samuel;**;6;56.75;6;47.0;1;-0.25;8.5

11a;Burren Patrick;*;;;;;;;;;55.5
o;;;Probst Gabriel;**;;;;;;;8.5
-;4;8.5;Stoll Thomas;;15;54.5;1;10.0;-3;1.5;8.75
+;8;17.25;Stark Urban;;13;55.0;4;18.75;-4;1.5;10.0
+;10;27.25;Eggenschwiler Fabian;;23;52.5;11;27.0;1;-0.25;10.0
o;6;37.25;Gerber Manuel;*;13;55.0;8;36.75;2;-0.5;8.5
+;11;45.75;Studer Remo;*;16;54.25;11;45.75;0;0.0;9.75

11b;Büttler Gian;;;;;;;;;;55.5
