2253-2015-07-18_64_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.75
-;4;8.75;Röthlisberger Simon;*;7;56.0;1;10.0;-3;1.25;9.0
+;8;17.75;Zürcher Remo;*;13;54.5;5;18.75;-3;1.0;10.0
+;7;27.75;Schütz Urs;**;9;55.5;5;28.25;-2;0.5;10.0
-;5;37.75;Kämpf Alexander;**;6;56.25;2;38.75;-3;1.0;9.0
+;9;46.75;Piemontesi Pascal;**;9;55.5;8;47.0;-1;0.25;10.0

5c;Gehrig Damian;**;;;;;;;;;56.75
+;;;Kramer Franz;*;;;;;;;10.0
+;1;10.0;Moser Matthias;*;15;53.75;1;10.0;0;0.0;10.0
-;1;20.0;Luginbühl Hanspeter;**;4;57.0;2;19.75;1;-0.25;8.75
+;3;28.75;Alpiger Nick;**;6;56.25;5;28.25;2;-0.5;9.75
o;3;38.5;Kämpf Bernhard;***;3;57.25;3;38.5;0;0.0;8.5
+;8;47.0;Kropf Rolf;**;11;55.0;10;46.5;2;-0.5;9.75

5d;Dind Samuel;**;;;;;;;;;56.75
o;;;Alpiger Nick;**;;;;;;;8.5
o;5;8.5;Hauri Urs;**;8;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Scherrer Johann;**;21;34.5;10;17.25;-1;0.25;9.75
+;11;26.75;Sigg David;*;22;34.0;15;25.5;4;-1.25;10.0
+;9;36.75;Gerber Manuel;;15;53.75;9;36.75;0;0.0;10.0
+;9;46.75;Siegenthaler Matthias;***;6;56.25;5;47.75;-4;1.0;10.0

6a;Kämpf Alexander;**;;;;;;;;;56.25
+;;;Klausner Yanick;**;;;;;;;10.0
+;1;10.0;Studinger Stephan;**;12;54.75;4;8.75;3;-1.25;10.0
-;1;20.0;Käser Remo;**;8;55.75;2;19.75;1;-0.25;8.75
+;3;28.75;Overney Olivier;*;10;55.25;5;28.25;2;-0.5;10.0
-;2;38.75;Gisler Bruno;***;5;56.75;5;37.75;3;-1.0;8.75
-;6;47.5;Odermatt Christian;**;9;55.5;9;46.75;3;-0.75;8.75

6b;Bieri Christoph;***;;;;;;;;;56.25
-;;;Siegenthaler Matthias;***;;;;;;;8.75
+;4;8.75;Moser Steven;**;6;56.25;1;10.0;-3;1.25;10.0
-;5;18.75;Bloch Dominic;**;4;57.0;2;19.75;-3;1.0;8.75
+;8;27.5;Studer Stefan;**;7;56.0;4;28.5;-4;1.0;10.0
-;6;37.5;Käser Remo;**;8;55.75;3;38.5;-3;1.0;8.75
+;11;46.25;Roch Vincent;*;11;55.0;10;46.5;-1;0.25;10.0

6c;Moser Steven;**;;;;;;;;;56.25
+;;;Voggensperger Janic (1998);*;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;6;56.25;4;8.75;3;-1.25;8.75
-;5;18.75;Döbeli Andreas (1998);*;14;54.25;6;18.5;1;-0.25;8.75
+;8;27.5;Nyffeler Christoph;;18;35.5;10;27.0;2;-0.5;10.0
o;6;37.5;Bächli Michael (1998);*;8;55.75;7;37.25;1;-0.25;8.75
+;11;46.25;Uebersax Remo;**;15;53.75;15;45.25;4;-1.0;10.0

6d;Gäggeler Adrian;*;;;;;;;;;56.25
+;;;Probst Gabriel;**;;;;;;;10.0
-;1;10.0;Bader Andreas;*;10;55.25;2;9.75;1;-0.25;9.0
-;4;19.0;Uebersax Remo;**;15;53.75;3;19.5;-1;0.5;8.75
o;7;27.75;Erb Roger;**;5;56.75;10;27.0;3;-0.75;8.5
+;11;36.25;von Arx Christian;*;12;54.75;11;36.25;0;0.0;10.0
+;11;46.25;Cardinaux Victor;*;13;54.5;12;46.0;1;-0.25;10.0

6e;Siegenthaler Matthias;***;;;;;;;;;56.25
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;9;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Hauri Urs;**;8;55.75;5;18.75;0;0.0;10.0
-;3;28.75;Bächli Michael (1998);*;8;55.75;4;28.5;1;-0.25;9.0
+;5;37.75;Matthey Mickaël;**;7;56.0;6;37.5;1;-0.25;10.0
o;5;47.75;Dind Samuel;**;5;56.75;9;46.75;4;-1.0;8.5

6f;Alpiger Nick;**;;;;;;;;;56.25
+;;;Dind Samuel;**;;;;;;;10.0
