2253-2015-07-18_64_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.75
o;7;37.25;Henzer Andreas;**;3;57.25;7;37.25;0;0.0;8.5
o;13;45.75;Schmid David;**;8;55.75;12;46.0;-1;0.25;8.5

15a;Strebel Joel (1997);*;;;;;;;;;53.75
o;;;Zürcher Remo;*;;;;;;;8.5
+;5;8.5;Casarico Fabio;**;17;52.75;4;8.75;-1;0.25;9.75
o;7;18.25;Piemontesi Pascal;**;9;55.5;6;18.5;-1;0.25;8.5
+;11;26.75;Gottofrey Marc;**;16;53.0;10;27.0;-1;0.25;10.0
o;9;36.75;Cardinaux Victor;*;13;54.5;12;36.0;3;-0.75;8.5
o;15;45.25;Overney Olivier;*;10;55.25;15;45.25;0;0.0;8.5

15b;Hermann Oliver;;;;;;;;;;53.75
+;;;Brun Samuel (1999);;;;;;;;9.75
o;2;9.75;Roth Dominik;*;10;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Glauser Thomas;**;10;55.25;7;18.25;0;0.0;8.5
+;11;26.75;Kohler Adrian;;20;34.75;13;26.0;2;-0.75;10.0
o;9;36.75;Erb Roger;**;5;56.75;8;37.0;-1;0.25;8.5
o;15;45.25;Bader Andreas;*;10;55.25;14;45.5;-1;0.25;8.5

15c;Gerber Manuel;;;;;;;;;;53.75
+;;;Hasler Simon;;;;;;;;9.75
o;2;9.75;Gerber Christian;**;7;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Räbmatter Patrick;**;23;25.75;10;17.25;3;-1.0;10.0
o;5;28.25;Bloch Dominic;**;4;57.0;4;28.5;-1;0.25;8.5
o;9;36.75;Dind Samuel;**;5;56.75;9;36.75;0;0.0;8.5
o;15;45.25;Roth Dominik;*;10;55.25;14;45.5;-1;0.25;8.5

15d;Uebersax Remo;**;;;;;;;;;53.75
+;;;Lehmann Nicola;*;;;;;;;9.75
+;2;9.75;Zenger Niklaus;***;8;55.75;5;8.5;3;-1.25;9.75
-;3;19.5;Gäggeler Adrian;*;6;56.25;4;19.0;1;-0.5;8.75
o;5;28.25;Röthlisberger Simon;*;7;56.0;2;29.0;-3;0.75;8.5
o;9;36.75;Kropf Rolf;**;11;55.0;9;36.75;0;0.0;8.5
o;15;45.25;Moser Steven;**;6;56.25;11;46.25;-4;1.0;8.5

15e;Kramer Franz;*;;;;;;;;;53.75
o;;;Gehrig Damian;**;;;;;;;8.5
+;5;8.5;Brun Samuel (1999);;18;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Gottofrey Marc;**;16;53.0;10;17.25;3;-1.0;8.5
+;11;26.75;Cardinaux Victor;*;13;54.5;9;27.25;-2;0.5;9.75
o;10;36.5;Glauser Thomas;**;10;55.25;9;36.75;-1;0.25;8.5
-;16;45.0;Wälti Christoph;**;16;53.0;19;44.25;3;-0.75;8.75

15f;Klausner Yanick;**;;;;;;;;;53.75
o;;;Kämpf Alexander;**;;;;;;;8.5
+;5;8.5;Gottofrey Marc;**;16;53.0;4;8.75;-1;0.25;10.0
+;6;18.5;Roth Dominik;*;10;55.25;5;18.75;-1;0.25;9.75
o;5;28.25;Sempach Thomas;***;2;58.25;3;28.75;-2;0.5;8.5
o;9;36.75;Weyermann Florian;*;11;55.0;10;36.5;1;-0.25;8.5
o;15;45.25;Zenger Niklaus;***;8;55.75;13;45.75;-2;0.5;8.5

15g;Moser Matthias;*;;;;;;;;;53.75
+;;;Cardinaux Victor;*;;;;;;;10.0
o;1;10.0;Gehrig Damian;**;5;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Overney Olivier;*;10;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Huber Jan (1997);*;18;35.5;10;27.0;0;0.0;9.75
o;9;36.75;Roch Vincent;*;11;55.0;10;36.5;1;-0.25;8.5
o;15;45.25;Renfer Lukas;*;9;55.5;14;45.5;-1;0.25;8.5

15h;Giroud Jonathan;**;;;;;;;;;53.75
o;;;Bloch Dominic;**;;;;;;;8.5
o;5;8.5;Waldner Patrick;**;18;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Lang Martin;**;22;34.0;11;17.0;0;0.0;9.75
+;11;26.75;Lisser Beat;;22;34.0;15;25.5;4;-1.25;9.75
-;10;36.5;Bader Andreas;*;10;55.25;9;36.75;-1;0.25;8.75
o;15;45.25;Brand Christian;**;14;54.25;13;45.75;-2;0.5;8.5

16a;Wälti Christoph;**;;;;;;;;;53.0
+;;;Sigg David;*;;;;;;;9.75
-;2;9.75;von Arx Christian;*;12;54.75;4;8.75;2;-1.0;8.75
o;6;18.5;Odermatt Christian;**;9;55.5;7;18.25;1;-0.25;8.5
-;10;27.0;Hasler Jimmy;*;18;35.5;11;26.75;1;-0.25;8.75
o;13;35.75;Studinger Stephan;**;12;54.75;11;36.25;-2;0.5;8.5
-;19;44.25;Kramer Franz;*;15;53.75;16;45.0;-3;0.75;8.75

16b;Steffen Gustav;*;;;;;;;;;53.0
o;;;Nyffeler Christoph;;;;;;;;8.5
+;5;8.5;Schumacher Michael;*;19;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Kocher Remo;**;18;35.5;7;18.25;0;0.0;8.75
-;10;27.0;Stüdeli Thomas;**;13;54.5;10;27.0;0;0.0;8.75
o;13;35.75;Döbeli Andreas (1998);*;14;54.25;13;35.75;0;0.0;8.75
o;18;44.5;Stoll Simon;;10;55.25;15;45.25;-3;0.75;8.5

16c;Gottofrey Marc;**;;;;;;;;;53.0
-;;;Hauri Urs;**;;;;;;;8.75
o;4;8.75;Klausner Yanick;**;15;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Kramer Franz;*;15;53.75;7;18.25;-3;1.0;9.75
o;10;27.0;Strebel Joel (1997);*;15;53.75;11;26.75;1;-0.25;8.75
-;13;35.75;Stüdeli Thomas;**;13;54.5;13;35.75;0;0.0;8.75
o;18;44.5;von Arx Christian;*;12;54.75;17;44.75;-1;0.25;8.5

17a;Casarico Fabio;**;;;;;;;;;52.75
-;;;Scherrer Johann;**;;;;;;;8.75
o;4;8.75;Strebel Joel (1997);*;15;53.75;5;8.5;1;-0.25;8.5
-;10;17.25;von Arx Christian;*;12;54.75;9;17.5;-1;0.25;8.75
+;13;26.0;Hasler Simon;;22;34.0;15;25.5;2;-0.5;9.75
o;13;35.75;Leuthard Reto;*;9;55.5;13;35.75;0;0.0;8.5
o;19;44.25;Stüdeli Thomas;**;13;54.5;18;44.5;-1;0.25;8.5

18a;Nyffeler Christoph;;;;;;;;;;35.5
+;;;Steffen Gustav;*;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;9;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Gapany Benjamin;**;4;57.0;6;18.5;0;0.0;8.5
o;10;27.0;Moser Steven;**;6;56.25;8;27.5;-2;0.5;8.5

18b;Waldner Patrick;**;;;;;;;;;35.5
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Giroud Jonathan;**;15;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Gerber Christian;**;7;56.0;5;18.75;-1;0.25;8.5
o;10;27.0;Rolli Martin;**;14;54.25;8;27.5;-2;0.5;8.5

18c;Voggensperger Janic (1998);*;;;;;;;;;35.5
o;;;Moser Steven;**;;;;;;;8.5
+;5;8.5;Heiniger Vincent;*;22;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Studer Stefan;**;7;56.0;6;18.5;0;0.0;8.5
o;10;27.0;Roschi Ruedi;**;7;56.0;8;27.5;-2;0.5;8.5

18d;Hasler Jimmy;*;;;;;;;;;35.5
+;;;Weyermann Florian;*;;;;;;;9.75
o;2;9.75;Käser Remo;**;8;55.75;2;9.75;0;0.0;8.5
o;7;18.25;Schütz Urs;**;9;55.5;6;18.5;-1;0.25;8.5
-;11;26.75;Wälti Christoph;**;16;53.0;10;27.0;-1;0.25;8.75

18e;Kocher Remo;**;;;;;;;;;35.5
o;;;Röthlisberger Simon;*;;;;;;;8.5
+;5;8.5;Roch Vincent;*;11;55.0;2;9.75;-3;1.25;9.75
-;7;18.25;Steffen Gustav;*;16;53.0;7;18.25;0;0.0;8.75
o;10;27.0;Schmid David;**;8;55.75;8;27.5;-2;0.5;8.5

18f;Huber Jan (1997);*;;;;;;;;;35.5
o;;;Renfer Lukas;*;;;;;;;8.5
+;5;8.5;Stoll Simon;;10;55.25;5;8.5;0;0.0;10.0
o;6;18.5;Gapany Benjamin;**;4;57.0;6;18.5;0;0.0;8.5
o;10;27.0;Moser Matthias;*;15;53.75;10;27.0;0;0.0;8.5

18g;Steinmann Kevin;**;;;;;;;;;35.5
o;;;Rolli Martin;**;;;;;;;8.5
o;5;8.5;Schütz Urs;**;9;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Kohler Adrian;;20;34.75;10;17.25;-1;0.25;10.0
o;10;27.0;Matthey Mickaël;**;7;56.0;8;27.5;-2;0.5;8.5

18h;Studinger Mathias;**;;;;;;;;;35.5
o;;;Luginbühl Hanspeter;**;;;;;;;8.5
+;5;8.5;Brand Christian;**;14;54.25;4;8.75;-1;0.25;10.0
o;6;18.5;Schmid Reto;**;12;54.75;5;18.75;-1;0.25;8.5
o;10;27.0;Roth Dominik;*;10;55.25;9;27.25;-1;0.25;8.5

18i;Lehmann Nicola;*;;;;;;;;;35.5
o;;;Uebersax Remo;**;;;;;;;8.5
o;5;8.5;Blatter Lorenz;*;7;56.0;4;8.75;-1;0.25;8.5
o;11;17.0;Stoll Simon;;10;55.25;11;17.0;0;0.0;8.5
+;15;25.5;Heiniger Vincent;*;22;34.0;15;25.5;0;0.0;10.0

18j;Brun Samuel (1999);;;;;;;;;;35.5
o;;;Hermann Oliver;;;;;;;;8.5
o;5;8.5;Kramer Franz;*;15;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Hasler Simon;;22;34.0;11;17.0;0;0.0;9.75
-;11;26.75;Scherrer Johann;**;21;34.5;14;25.75;3;-1.0;8.75

19a;Krebs Clemens;;;;;;;;;;35.25
+;;;Heiniger Vincent;*;;;;;;;9.75
o;2;9.75;Luginbühl Hanspeter;**;4;57.0;2;9.75;0;0.0;8.5
o;7;18.25;Kropf Rolf;**;11;55.0;6;18.5;-1;0.25;8.5
o;11;26.75;Stoll Simon;;10;55.25;10;27.0;-1;0.25;8.5

19b;Steinmann Yves;*;;;;;;;;;35.25
+;;;Kropf Rolf;**;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;3;57.25;1;10.0;-1;0.25;8.5
o;7;18.25;Henzer Andreas;**;3;57.25;10;17.25;3;-1.0;8.5
o;11;26.75;Weyermann Florian;*;11;55.0;11;26.75;0;0.0;8.5

19c;Schumacher Michael;*;;;;;;;;;35.25
o;;;Roch Vincent;*;;;;;;;8.5
o;5;8.5;Steffen Gustav;*;16;53.0;5;8.5;0;0.0;8.5
+;11;17.0;Lisser Beat;;22;34.0;11;17.0;0;0.0;9.75
o;11;26.75;von Arx Christian;*;12;54.75;12;26.25;1;-0.5;8.5

19d;Hügli Kaj (1997);*;;;;;;;;;35.25
+;;;Stoll Simon;;;;;;;;9.75
o;2;9.75;Stüdeli Thomas;**;13;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Zenger Niklaus;***;8;55.75;11;17.0;4;-1.25;8.5
o;11;26.75;Zürcher Remo;*;13;54.5;9;27.25;-2;0.5;8.5

20a;Kohler Adrian;;;;;;;;;;34.75
-;;;Leuthard Reto;*;;;;;;;8.75
o;4;8.75;Bächli Michael (1998);*;8;55.75;5;8.5;1;-0.25;8.5
o;10;17.25;Steinmann Kevin;**;18;35.5;11;17.0;1;-0.25;8.75
o;13;26.0;Hermann Oliver;;15;53.75;11;26.75;-2;0.75;8.75

21a;Scherrer Johann;**;;;;;;;;;34.5
-;;;Casarico Fabio;**;;;;;;;8.75
o;4;8.75;Renfer Lukas;*;9;55.5;2;9.75;-2;1.0;8.5
o;10;17.25;Dind Samuel;**;5;56.75;11;17.0;1;-0.25;8.5
-;14;25.75;Brun Samuel (1999);;18;35.5;11;26.75;-3;1.0;8.75

22a;Lang Martin;**;;;;;;;;;34.0
o;;;Glauser Thomas;**;;;;;;;8.5
o;5;8.5;Schmid Reto;**;12;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Giroud Jonathan;**;15;53.75;11;17.0;0;0.0;8.5
o;15;25.5;Roch Vincent;*;11;55.0;11;26.75;-4;1.25;8.5

22b;Lisser Beat;;;;;;;;;;34.0
o;;;Döbeli Andreas (1998);*;;;;;;;8.5
o;5;8.5;Cardinaux Victor;*;13;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Schumacher Michael;*;19;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Giroud Jonathan;**;15;53.75;11;26.75;-4;1.25;8.5

22c;Sigg David;*;;;;;;;;;34.0
o;;;Wälti Christoph;**;;;;;;;8.5
o;5;8.5;Kropf Rolf;**;11;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Leuthard Reto;*;9;55.5;9;17.5;-2;0.5;8.5
o;15;25.5;Dind Samuel;**;5;56.75;11;26.75;-4;1.25;8.5

22d;Heiniger Vincent;*;;;;;;;;;34.0
o;;;Krebs Clemens;;;;;;;;8.5
o;5;8.5;Voggensperger Janic (1998);*;18;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Brand Christian;**;14;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Lehmann Nicola;*;18;35.5;15;25.5;0;0.0;8.5

22e;Hasler Simon;;;;;;;;;;34.0
o;;;Gerber Manuel;;;;;;;;8.5
o;5;8.5;Weyermann Florian;*;11;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Brun Samuel (1999);;18;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Casarico Fabio;**;17;52.75;13;26.0;-2;0.5;8.5

23a;Räbmatter Patrick;**;;;;;;;;;25.75
o;;;Stucki Christian;***;;;;;;;8.5
-;5;8.5;Roth Dominik;*;10;55.25;2;9.75;-3;1.25;8.75
o;10;17.25;Gerber Manuel;;15;53.75;7;18.25;-3;1.0;8.5

24a;Probst Gabriel;**;;;;;;;;;17.0
o;;;Gäggeler Adrian;*;;;;;;;8.5
o;5;8.5;Overney Olivier;*;10;55.25;5;8.5;0;0.0;8.5

25a;Guisolan Marc;**;;;;;;;;;8.75
-;;;von Arx Christian;*;;;;;;;8.75

