3072-2019-07-14_Fete_Romande2-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.25
-;22;42.5;Fallegger Riccardo (2003);;23;52.5;19;43.75;-3;1.25;8.75

25b;Chassot Samuel (2001);;;;;;;;;;51.25
o;;;Turin Yann (2003);;;;;;;;8.5
-;5;8.5;Richard Quentin (2003);;17;54.0;5;8.5;0;0.0;8.75
o;9;17.25;Ritler Nicolas;;22;52.75;10;17.0;1;-0.25;8.5
o;12;25.75;Fallegger Riccardo (2003);;23;52.5;13;25.5;1;-0.25;8.5
o;17;34.25;Lachavanne Noé;;13;55.0;15;35.25;-2;1.0;8.5
o;21;42.75;Elmiger Elias (2001);;21;53.0;20;43.0;-1;0.25;8.5

26a;Ducry Antoine;**;;;;;;;;;46.75
+;;;Fankhauser Hans (2001);*;;;;;;;10.0
o;1;10.0;Kramer Lario;**;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Germanier Joel;;15;54.5;4;19.0;-2;0.5;9.75
+;5;28.25;Imhasly Jorin (2001);;19;53.5;6;28.0;1;-0.25;10.0
o;3;38.25;Schmid David;***;8;56.25;4;38.0;1;-0.25;8.5

27a;Piemontesi Pascal;**;;;;;;;;;28.5
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Röthlisberger Sven;;13;55.0;1;10.0;-4;1.5;10.0
+;6;18.5;Borcard Clovis;*;16;54.25;6;18.5;0;0.0;10.0

28a;Cotting Alexandre;;;;;;;;;;25.5
o;;;Baeriswyl Christoph (2002);;;;;;;;8.5
o;5;8.5;Turin Antoine (2001);;9;56.0;2;9.75;-3;1.25;8.5
o;10;17.0;Ganière William;;17;54.0;10;17.0;0;0.0;8.5

