3072-2019-07-14_Fete_Romande2-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.25
+;5;28.25;Ducry Antoine;**;26;46.75;5;28.25;0;0.0;9.75
+;4;38.0;Roch Vincent;**;7;56.5;4;38.0;0;0.0;9.75
o;3;47.75;Wicki Joel;**;3;57.75;2;48.0;-1;0.25;8.5

8b;Borcard Johann;**;;;;;;;;;56.25
+;;;Parvex Yannick;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Grossenbacher Marc;;11;55.5;6;18.5;-1;0.25;10.0
o;5;28.25;Räbmatter Patrick;***;5;57.0;5;28.25;0;0.0;8.5
+;9;36.75;Dind Clément;;15;54.5;6;37.5;-3;0.75;9.75
+;8;46.5;Colò Kilian;**;13;55.0;8;46.5;0;0.0;9.75

8c;Brodard Augustin;**;;;;;;;;;56.25
o;;;Schmid David;***;;;;;;;8.75
+;4;8.75;Schläfli Hugo (2002);;17;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Emonet Fabien;**;12;55.25;6;18.5;1;-0.25;10.0
o;3;28.75;Aeschbacher Matthias;**;1;58.25;4;28.5;1;-0.25;8.5
+;7;37.25;Zbinden Jvan (2001);;16;54.25;8;37.0;1;-0.25;10.0
-;5;47.25;Rapin Florent;*;9;56.0;6;47.0;1;-0.25;9.0

9a;Ledermann Michael;*;;;;;;;;;56.0
-;;;Gottofrey Luc;*;;;;;;;8.75
+;4;8.75;Wieland Micha;;12;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Giger Samuel;***;5;57.0;6;18.5;1;-0.25;8.75
+;7;27.5;Clément Aurélien (2003);;12;55.25;5;28.25;-2;0.75;9.75
+;7;37.25;Emonet Fabien;**;12;55.25;8;37.0;1;-0.25;9.75
-;6;47.0;Loup Grégoire;;10;55.75;6;47.0;0;0.0;9.0

9b;Turin Antoine (2001);;;;;;;;;;56.0
+;;;Fankhauser Yanik (2002);;;;;;;;9.75
+;2;9.75;Cotting Alexandre;;28;25.5;5;8.5;3;-1.25;9.75
o;3;19.5;Rapin Florent;*;9;56.0;5;18.75;2;-0.75;8.5
o;6;28.0;Kramer Dorian;*;13;55.0;7;27.5;1;-0.5;8.5
+;10;36.5;Kolly Elmar (2002);;18;53.75;9;36.75;-1;0.25;9.75
+;9;46.25;Borcard Clovis;*;16;54.25;11;45.75;2;-0.5;9.75

9c;Rapin Florent;*;;;;;;;;;56.0
+;;;Emonet Fabien;**;;;;;;;10.0
-;1;10.0;Mollet Ivan;*;6;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Turin Antoine (2001);;9;56.0;3;19.5;-2;0.75;9.75
o;4;28.5;Müllestein Mike;***;6;56.75;4;28.5;0;0.0;8.5
+;8;37.0;Fankhauser Yanik (2002);;16;54.25;8;37.0;0;0.0;10.0
-;6;47.0;Brodard Augustin;**;8;56.25;5;47.25;-1;0.25;9.0

9d;Gottofrey Marc;**;;;;;;;;;56.0
-;;;Schenk Patrick;***;;;;;;;8.75
+;4;8.75;Nager Yannick;;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Schöpfer Dio;**;13;55.0;5;18.75;0;0.0;9.75
+;4;28.5;Cotting Florian;*;10;55.75;4;28.5;0;0.0;9.75
-;3;38.25;Collaud Romain (2002);*;9;56.0;2;38.5;-1;0.25;9.0
o;5;47.25;Müllestein Mike;***;6;56.75;6;47.0;1;-0.25;8.75

9e;Sturny Nicolas;;;;;;;;;;56.0
o;;;Dind Clément;;;;;;;;8.5
+;5;8.5;Schönenberger Leo (2002);;13;55.0;2;9.75;-3;1.25;9.75
-;7;18.25;Kropf Rolf;**;10;55.75;7;18.25;0;0.0;9.0
-;8;27.25;Dorsaz Théo;;10;55.75;8;27.25;0;0.0;8.75
+;12;36.0;Gueissaz Léonard (2003);;12;55.25;9;36.75;-3;0.75;10.0
+;10;46.0;Fankhauser Hans (2001);*;18;53.75;13;45.25;3;-0.75;10.0

9f;Riedo Fredy;*;;;;;;;;;56.0
-;;;Loup Alexandre;*;;;;;;;9.0
+;3;9.0;Golliard Steve;;17;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Aeschbacher Matthias;**;1;58.25;6;18.5;2;-0.5;8.5
+;7;27.5;Parvex Yannick;*;12;55.25;9;27.0;2;-0.5;10.0
+;6;37.5;Wieland Timon;;15;54.5;8;37.0;2;-0.5;9.75
o;5;47.25;Matthey Mickaël;**;2;58.0;2;48.0;-3;0.75;8.75

9g;Collaud Romain (2002);*;;;;;;;;;56.0
+;;;Dufey Gil;*;;;;;;;10.0
+;1;10.0;Parvex Bryan;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Wicki Joel;**;3;57.75;2;19.75;1;-0.25;8.5
+;4;28.5;Zbinden Jvan (2001);;16;54.25;4;28.5;0;0.0;10.0
-;2;38.5;Gottofrey Marc;**;9;56.0;3;38.25;1;-0.25;8.75
-;5;47.25;Haenni Stéphane;**;12;55.25;8;46.5;3;-0.75;8.75

10a;Lerch Jimmy;*;;;;;;;;;55.75
o;;;Kramer Dorian;*;;;;;;;8.5
+;5;8.5;Pürro David (2001);;11;55.5;2;9.75;-3;1.25;10.0
o;6;18.5;Roch Vincent;**;7;56.5;7;18.25;1;-0.25;8.5
-;9;27.0;Buchs Carlo;*;15;54.5;9;27.0;0;0.0;9.0
+;12;36.0;Golliard Steve;;17;54.0;8;37.0;-4;1.0;9.75
+;11;45.75;Cottier Marco;;14;54.75;9;46.25;-2;0.5;10.0

10b;Dorsaz Théo;;;;;;;;;;55.75
+;;;Aeschbacher Ivo (2001);;;;;;;;10.0
o;1;10.0;Roch Vincent;**;7;56.5;5;8.5;4;-1.5;8.5
-;6;18.5;Pellet Adrian;;13;55.0;7;18.25;1;-0.25;8.75
-;8;27.25;Sturny Nicolas;;9;56.0;8;27.25;0;0.0;8.75
+;12;36.0;Pürro Tobias;;14;54.75;10;36.5;-2;0.5;9.75
+;11;45.75;Golliard Steve;;17;54.0;12;45.5;1;-0.25;10.0

10c;Cotting Florian;*;;;;;;;;;55.75
o;;;Balimann Sandro (2001);*;;;;;;;8.5
+;5;8.5;Kolly Elmar (2002);;18;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Rappo Yann;;13;55.0;6;18.5;0;0.0;10.0
o;4;28.5;Gottofrey Marc;**;9;56.0;4;28.5;0;0.0;8.5
-;8;37.0;Gottofrey Luc;*;14;54.75;8;37.0;0;0.0;8.75
+;11;45.75;Dind Clément;;15;54.5;10;46.0;-1;0.25;10.0

10d;Loup Grégoire;;;;;;;;;;55.75
o;;;Wieland Micha;;;;;;;;8.5
+;5;8.5;Grisel Samuel;;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Haenni Stéphane;**;12;55.25;6;18.5;0;0.0;8.5
+;9;27.0;Lauber Grégoire;;19;53.5;10;26.75;1;-0.25;10.0
+;8;37.0;Röthlisberger Sven;;13;55.0;9;36.75;1;-0.25;10.0
-;6;47.0;Ledermann Michael;*;9;56.0;6;47.0;0;0.0;8.75

10e;Kropf Rolf;**;;;;;;;;;55.75
+;;;Crettaz Olivier;*;;;;;;;9.75
o;2;9.75;Müllestein Mike;***;6;56.75;2;9.75;0;0.0;8.5
-;7;18.25;Sturny Nicolas;;9;56.0;7;18.25;0;0.0;9.0
+;8;27.25;Nager Yannick;;12;55.25;6;28.0;-2;0.75;9.75
-;8;37.0;Kramer Dorian;*;13;55.0;6;37.5;-2;0.5;9.0
+;10;46.0;Schönenberger Leo (2002);;13;55.0;8;46.5;-2;0.5;9.75

11a;Grossenbacher Marc;;;;;;;;;;55.5
+;;;Rappo Yann;;;;;;;;10.0
o;1;10.0;Colò Kilian;**;13;55.0;3;9.0;2;-1.0;8.5
o;6;18.5;Borcard Johann;**;8;56.25;7;18.25;1;-0.25;8.5
+;9;27.0;Richard Quentin (2003);;17;54.0;8;27.25;-1;0.25;10.0
+;8;37.0;Wieland Micha;;12;55.25;9;36.75;1;-0.25;10.0
o;6;47.0;Gapany Benjamin;**;4;57.5;4;47.5;-2;0.5;8.5

11b;Rossy Yannick;*;;;;;;;;;55.5
o;;;Minder Florian;**;;;;;;;8.5
+;5;8.5;Zbinden Jvan (2001);;16;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Zbinden Samuel;;18;53.75;6;18.5;0;0.0;10.0
o;4;28.5;Gapany Benjamin;**;4;57.5;4;28.5;0;0.0;8.5
o;8;37.0;Hayoz Quentin;*;12;55.25;8;37.0;0;0.0;8.5
+;12;45.5;Fankhauser Yanik (2002);;16;54.25;11;45.75;-1;0.25;10.0

11c;Dufey Gil;*;;;;;;;;;55.5
o;;;Collaud Romain (2002);*;;;;;;;8.5
+;5;8.5;Cottier Marco;;14;54.75;2;9.75;-3;1.25;9.75
-;7;18.25;Loup Alexandre;*;20;53.25;6;18.5;-1;0.25;8.75
-;9;27.0;Borcard Clovis;*;16;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Pellet Adrian;;13;55.0;9;36.75;-4;1.0;10.0
+;11;45.75;Egger Benoît (2002);;15;54.5;10;46.0;-1;0.25;9.75

11d;Pürro David (2001);;;;;;;;;;55.5
+;;;Juon Martin;;;;;;;;9.75
o;2;9.75;Lerch Jimmy;*;10;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Turin Yann (2003);;19;53.5;7;18.25;0;0.0;10.0
-;5;28.25;Colò Kilian;**;13;55.0;7;27.5;2;-0.75;9.0
o;7;37.25;Mollet Ivan;*;6;56.75;8;37.0;1;-0.25;8.5
+;11;45.75;Hirschi Damien (2003);;16;54.25;11;45.75;0;0.0;9.75

12a;Baeriswyl Christoph (2002);;;;;;;;;;55.25
+;;;Cotting Alexandre;;;;;;;;9.75
+;2;9.75;Parvex Yannick;*;12;55.25;5;8.5;3;-1.25;9.75
o;3;19.5;Duplan Steve;**;7;56.5;7;18.25;4;-1.25;8.5
-;6;28.0;Hayoz Quentin;*;12;55.25;6;28.0;0;0.0;8.75
+;9;36.75;Chofflon Anthony;;17;54.0;9;36.75;0;0.0;9.75
-;8;46.5;Grossenbacher Simon (2002);*;14;54.75;10;46.0;2;-0.5;8.75

12b;Crettaz Olivier;*;;;;;;;;;55.25
o;;;Kropf Rolf;**;;;;;;;8.5
+;5;8.5;Egger Benoît (2002);;15;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Fankhauser Hans (2001);*;18;53.75;7;18.25;0;0.0;10.0
+;5;28.25;Kolly Elmar (2002);;18;53.75;5;28.25;0;0.0;10.0
o;3;38.25;Schneider Mario;**;7;56.5;5;37.75;2;-0.5;8.5
o;7;46.75;Minder Florian;**;7;56.5;7;46.75;0;0.0;8.5

12c;Emonet Fabien;**;;;;;;;;;55.25
o;;;Rapin Florent;*;;;;;;;8.5
+;5;8.5;Gueissaz Léonard (2003);;12;55.25;2;9.75;-3;1.25;10.0
o;6;18.5;Brodard Augustin;**;8;56.25;5;18.75;-1;0.25;8.5
+;9;27.0;Germanier Joel;;15;54.5;7;27.5;-2;0.5;10.0
o;8;37.0;Ledermann Michael;*;9;56.0;7;37.25;-1;0.25;8.5
+;12;45.5;Von Niederhäusern Marcel;;16;54.25;11;45.75;-1;0.25;9.75

12d;Dind Samuel;**;;;;;;;;;55.25
o;;;Hayoz Quentin;*;;;;;;;8.5
+;5;8.5;Monney Branighan;;15;54.5;2;9.75;-3;1.25;10.0
o;6;18.5;Räbmatter Patrick;***;5;57.0;7;18.25;1;-0.25;8.5
+;9;27.0;Grossenbacher Simon (2002);*;14;54.75;8;27.25;-1;0.25;9.75
+;9;36.75;Schläfli Hugo (2002);;17;54.0;8;37.0;-1;0.25;10.0
o;7;46.75;Giger Samuel;***;5;57.0;5;47.25;-2;0.5;8.5

12e;Clément Aurélien (2003);;;;;;;;;;55.25
o;;;Imhasly Jorin (2001);;;;;;;;8.5
+;5;8.5;Holweger Marek;;23;52.5;5;8.5;0;0.0;9.75
+;7;18.25;Golliard Steve;;17;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Ledermann Michael;*;9;56.0;7;27.5;2;-0.75;8.5
o;9;36.75;Schönenberger Leo (2002);;13;55.0;10;36.5;1;-0.25;8.5
+;13;45.25;Schläfli Hugo (2002);;17;54.0;12;45.5;-1;0.25;10.0

12f;Haenni Stéphane;**;;;;;;;;;55.25
+;;;Dubey Gaël;*;;;;;;;10.0
o;1;10.0;Schenk Patrick;***;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Loup Grégoire;;10;55.75;6;18.5;0;0.0;9.75
+;5;28.25;Chofflon Anthony;;17;54.0;5;28.25;0;0.0;9.75
o;4;38.0;Aeschbacher Matthias;**;1;58.25;3;38.25;-1;0.25;8.5
-;8;46.5;Collaud Romain (2002);*;9;56.0;5;47.25;-3;0.75;8.75

12g;Nager Yannick;;;;;;;;;;55.25
+;;;Pasquier Loïc (2001);;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;9;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Dind Clément;;15;54.5;5;18.75;-2;0.5;9.75
o;6;28.0;Kropf Rolf;**;10;55.75;8;27.25;2;-0.75;8.5
+;10;36.5;Zbinden Samuel;;18;53.75;9;36.75;-1;0.25;10.0
-;8;46.5;Gottofrey Luc;*;14;54.75;10;46.0;2;-0.5;8.75

12h;Aeschbacher Ivo (2001);;;;;;;;;;55.25
o;;;Dorsaz Théo;;;;;;;;8.5
+;5;8.5;Fallegger Riccardo (2003);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Zbinden Jvan (2001);;16;54.25;6;18.5;0;0.0;8.5
o;9;27.0;Ganière William;;17;54.0;10;26.75;1;-0.25;8.5
+;14;35.5;Staudenmann Roger;;23;52.5;14;35.5;0;0.0;9.75
+;13;45.25;Turin Yann (2003);;19;53.5;14;45.0;1;-0.25;10.0

12i;Parvex Yannick;*;;;;;;;;;55.25
o;;;Borcard Johann;**;;;;;;;8.5
o;5;8.5;Baeriswyl Christoph (2002);;12;55.25;2;9.75;-3;1.25;8.5
+;10;17.0;Fankhauser Yanik (2002);;16;54.25;6;18.5;-4;1.5;10.0
o;9;27.0;Riedo Fredy;*;9;56.0;7;27.5;-2;0.5;8.5
+;14;35.5;Beaud Eric;;19;53.5;10;36.5;-4;1.0;10.0
+;12;45.5;Loup Alexandre;*;20;53.25;15;44.75;3;-0.75;9.75

12j;Wieland Micha;;;;;;;;;;55.25
+;;;Loup Grégoire;;;;;;;;10.0
o;1;10.0;Ledermann Michael;*;9;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Fercher Alain;;19;53.5;7;18.25;1;-0.25;9.75
o;5;28.25;Duplan Steve;**;7;56.5;5;28.25;0;0.0;8.5
o;9;36.75;Grossenbacher Marc;;11;55.5;8;37.0;-1;0.25;8.5
+;13;45.25;Imhasly Jorin (2001);;19;53.5;14;45.0;1;-0.25;10.0

12k;Hayoz Quentin;*;;;;;;;;;55.25
+;;;Dind Samuel;**;;;;;;;9.75
+;2;9.75;Wieland Timon;;15;54.5;2;9.75;0;0.0;9.75
o;3;19.5;Schneider Mario;**;7;56.5;3;19.5;0;0.0;8.5
-;6;28.0;Baeriswyl Christoph (2002);;12;55.25;6;28.0;0;0.0;9.0
+;8;37.0;Rossy Yannick;*;11;55.5;8;37.0;0;0.0;9.75
o;7;46.75;Schenk Patrick;***;5;57.0;5;47.25;-2;0.5;8.5

12l;Balimann Sandro (2001);*;;;;;;;;;55.25
+;;;Cotting Florian;*;;;;;;;10.0
o;1;10.0;Schmid David;***;8;56.25;2;9.75;1;-0.25;8.5
+;6;18.5;Pasquier Loïc (2001);;15;54.5;6;18.5;0;0.0;10.0
+;4;28.5;Bapst Ludovic (2002);;17;54.0;5;28.25;1;-0.25;9.75
o;3;38.25;Giger Samuel;***;5;57.0;7;37.25;4;-1.0;8.5
o;7;46.75;Mollet Ivan;*;6;56.75;6;47.0;-1;0.25;8.5

12m;Gueissaz Léonard (2003);;;;;;;;;;55.25
+;;;Bapst Ludovic (2002);;;;;;;;9.75
o;2;9.75;Emonet Fabien;**;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Portmann Fabio;;15;54.5;7;18.25;0;0.0;8.5
+;10;26.75;Turin Yann (2003);;19;53.5;10;26.75;0;0.0;10.0
o;9;36.75;Sturny Nicolas;;9;56.0;12;36.0;3;-0.75;8.5
+;13;45.25;Beaud Eric;;19;53.5;14;45.0;1;-0.25;10.0

13a;Lachavanne Noé;;;;;;;;;;55.0
o;;;Beaud Eric;;;;;;;;8.5
o;5;8.5;Rappo Yann;;13;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Pürro Tobias;;14;54.75;10;17.0;0;0.0;8.5
+;13;25.5;Python Benjamin (2002);;25;51.25;13;25.5;0;0.0;9.75
+;15;35.25;Chassot Samuel (2001);;25;51.25;17;34.25;2;-1.0;10.0
+;13;45.25;Ritler Nicolas;;22;52.75;17;44.25;4;-1.0;9.75

13b;Colò Kilian;**;;;;;;;;;55.0
-;;;Schöpfer Dio;**;;;;;;;9.0
+;3;9.0;Grossenbacher Marc;;11;55.5;1;10.0;-2;1.0;10.0
o;4;19.0;Schenk Patrick;***;5;57.0;6;18.5;2;-0.5;8.5
-;7;27.5;Pürro David (2001);;11;55.5;5;28.25;-2;0.75;9.0
+;10;36.5;Fankhauser Hans (2001);*;18;53.75;9;36.75;-1;0.25;10.0
o;8;46.5;Borcard Johann;**;8;56.25;8;46.5;0;0.0;8.5

13c;Schönenberger Leo (2002);;;;;;;;;;55.0
+;;;Pürro Tobias;;;;;;;;9.75
o;2;9.75;Sturny Nicolas;;9;56.0;5;8.5;3;-1.25;8.5
+;7;18.25;Gutknecht Alain;;18;53.75;6;18.5;-1;0.25;9.75
o;6;28.0;Roch Vincent;**;7;56.5;6;28.0;0;0.0;8.5
+;10;36.5;Clément Aurélien (2003);;12;55.25;9;36.75;-1;0.25;10.0
o;8;46.5;Kropf Rolf;**;10;55.75;10;46.0;2;-0.5;8.5

13d;Rappo Yann;;;;;;;;;;55.0
o;;;Grossenbacher Marc;;;;;;;;8.5
+;5;8.5;Lachavanne Noé;;13;55.0;5;8.5;0;0.0;10.0
o;6;18.5;Cotting Florian;*;10;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Menoud Liam (2001);;14;54.75;10;26.75;1;-0.25;9.75
o;9;36.75;Dubey Gaël;*;13;55.0;9;36.75;0;0.0;8.5
+;13;45.25;Lauber Grégoire;;19;53.5;14;45.0;1;-0.25;9.75

13e;Dubey Gaël;*;;;;;;;;;55.0
o;;;Haenni Stéphane;**;;;;;;;8.5
+;5;8.5;Buchs Stefan (2002);;23;52.5;4;8.75;-1;0.25;10.0
o;6;18.5;Gapany Benjamin;**;4;57.5;6;18.5;0;0.0;8.5
+;9;27.0;Vaucher Rémy;;14;54.75;7;27.5;-2;0.5;9.75
+;9;36.75;Rappo Yann;;13;55.0;9;36.75;0;0.0;9.75
o;8;46.5;Roch Vincent;**;7;56.5;8;46.5;0;0.0;8.5

13f;Röthlisberger Sven;;;;;;;;;;55.0
+;;;Pellet Adrian;;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;27;28.5;5;8.5;4;-1.5;8.5
o;6;18.5;Bapst Ludovic (2002);;17;54.0;6;18.5;0;0.0;8.5
+;9;27.0;Holweger Marek;;23;52.5;9;27.0;0;0.0;9.75
