3817-2017-06-05_Glarner-Buendner_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;7;37.0;Bernold Edi;**;10;55.5;7;37.0;0;0.0;10.0
+;4;47.0;Bühler Hannes;*;11;55.25;5;46.75;1;-0.25;9.75

5b;Jöhl Christian;*;;;;;;;;;56.75
-;;;Braun Mathias;*;;;;;;;9.0
+;3;9.0;Baumann Elia (2000);;10;55.5;2;9.75;-1;0.75;9.75
+;5;18.75;Ott Damian (2000);*;16;54.0;6;18.5;1;-0.25;9.75
o;2;28.5;Peng Mike;***;13;54.75;6;27.5;4;-1.0;8.5
+;7;37.0;Buchmann Michael;;15;54.25;7;37.0;0;0.0;9.75
+;5;46.75;Jörger Corsin;;11;55.25;5;46.75;0;0.0;10.0

5c;Hochholdinger Roman;**;;;;;;;;;56.75
+;;;Riget Tobias;**;;;;;;;10.0
+;1;10.0;Hersche Martin;***;5;56.75;2;9.75;1;-0.25;10.0
-;1;20.0;Krähenbühl Tobias;***;5;56.75;2;19.75;1;-0.25;8.75
+;1;28.75;Lehmann Philipp (1999);;16;54.0;2;28.5;1;-0.25;9.75
o;1;38.5;Schneider Domenic;***;2;58.0;2;38.25;1;-0.25;8.5
+;4;47.0;Hugelshofer Lars (2001);;11;55.25;5;46.75;1;-0.25;9.75

5d;Korrodi Paul;*;;;;;;;;;56.75
o;;;Oettli Marco;*;;;;;;;8.5
+;5;8.5;Elmer Loris (1999);;31;27.0;1;10.0;-4;1.5;10.0
o;6;18.5;Rychen Roger;***;4;57.0;6;18.5;0;0.0;8.5
+;8;27.0;Jörger Corsin;;11;55.25;3;28.25;-5;1.25;9.75
+;8;36.75;Riget Tobias;**;19;53.25;11;36.0;3;-0.75;10.0
+;5;46.75;Jörger Marc;;9;55.75;3;47.25;-2;0.5;10.0

5e;Gartmann Mauro;;;;;;;;;;56.75
-;;;Oertig Simon;;;;;;;;8.75
+;4;8.75;Ruppanner Philipp (2000);;17;53.75;5;8.5;1;-0.25;9.75
+;6;18.5;Braun Mathias;*;27;34.75;10;17.5;4;-1.0;9.75
o;3;28.25;Schmid Dominik;**;6;56.5;5;27.75;2;-0.5;8.5
+;8;36.75;Kirchmeier Christof (1999);;17;53.75;9;36.5;1;-0.25;10.0
+;5;46.75;Arztmann Beda;*;13;54.75;8;46.0;3;-0.75;10.0

5f;Leuppi Samir;**;;;;;;;;;56.75
o;;;Schneider Domenic;***;;;;;;;8.5
-;5;8.5;Vestner Roman;*;14;54.5;4;8.75;-1;0.25;8.75
+;11;17.25;Oertig Simon;;17;53.75;6;18.5;-5;1.25;9.75
+;8;27.0;Rüegg Roman;*;16;54.0;8;27.0;0;0.0;10.0
+;7;37.0;Kälin Roland;**;7;56.25;3;38.0;-4;1.0;10.0
+;4;47.0;Burkhalter Stefan;***;14;54.5;8;46.0;4;-1.0;9.75

5g;Krähenbühl Tobias;***;;;;;;;;;56.75
+;;;Horner Peter;***;;;;;;;10.0
+;1;10.0;Battaglia Ursin;**;4;57.0;1;10.0;0;0.0;9.75
-;2;19.75;Hochholdinger Roman;**;5;56.75;1;20.0;-1;0.25;8.75
+;2;28.5;Gwerder Andreas;**;14;54.5;2;28.5;0;0.0;9.75
+;2;38.25;Rychen Roger;***;4;57.0;1;38.5;-1;0.25;9.75
o;2;48.0;Giger Samuel;***;1;58.25;1;48.25;-1;0.25;8.75

