3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
o;5;9.75;Nietlispach Pascal;**;10;56.5;4;10.0;-1;0.25;8.5
+;10;18.25;Kessler Joel;*;20;54.0;9;18.5;-1;0.25;10.0
+;9;28.25;Hess Michael;*;19;54.25;9;28.25;0;0.0;9.75
-;9;38.0;Sempach Matthias;***;18;54.5;14;36.75;5;-1.25;8.75
+;13;46.75;Hasler Florian;**;16;55.0;14;46.5;1;-0.25;10.0

9e;Imhof Andi;***;;;;;;;;;56.75
o;;;Stucki Christian;***;;;;;;;8.5
+;8;8.5;Bucher Roland;*;16;55.0;4;10.0;-4;1.5;9.75
+;10;18.25;Doppmann Urs;*;8;57.0;5;19.75;-5;1.5;9.75
+;10;28.0;Huber Alex;*;19;54.25;9;28.25;-1;0.25;10.0
-;9;38.0;Gnägi Florian;***;10;56.5;10;37.75;1;-0.25;8.75
+;13;46.75;Wetzstein Adrian;*;14;55.5;12;47.0;-1;0.25;10.0

9f;Fankhauser Reto;**;;;;;;;;;56.75
o;;;Schelbert Ralf;**;;;;;;;8.5
+;8;8.5;Gwerder Andreas;*;24;53.0;8;8.5;0;0.0;10.0
+;9;18.5;Murer Andy;**;14;55.5;9;18.5;0;0.0;9.75
o;9;28.25;Gisler Bruno;***;17;54.75;13;27.25;4;-1.0;8.75
+;13;37.0;Würsch Lars;*;16;55.0;14;36.75;1;-0.25;10.0
+;12;47.0;Rohrer Marco;**;15;55.25;14;46.5;2;-0.5;9.75

10a;Zimmermann Martin;**;;;;;;;;;56.5
-;;;Steinauer Adrian;**;;;;;;;9.0
+;6;9.0;Bucher Christian;*;16;55.0;4;10.0;-2;1.0;10.0
+;7;19.0;Stucki Christian;*;1;114.0;1;38.5;-6;19.5;10.0
o;6;29.0;Wicki Joel;**;4;58.5;5;29.5;-1;0.5;8.5
-;11;37.5;Schöpfer Ronny;*;17;54.75;12;37.25;1;-0.25;9.0
+;14;46.5;Gisler Bruno;***;17;54.75;16;46.0;2;-0.5;10.0

10b;Gnägi Florian;***;;;;;;;;;56.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;7;8.75;Rohrer Ivan;**;10;56.5;5;9.75;-2;1.0;10.0
+;8;18.75;Hurschler Thomas;**;8;57.0;5;19.75;-3;1.0;10.0
-;7;28.75;Fankhauser Marco;**;8;57.0;4;29.75;-3;1.0;9.0
-;10;37.75;Imhof Andi;***;9;56.75;9;38.0;-1;0.25;8.75
+;14;46.5;Bättig Martin;*;16;55.0;15;46.25;1;-0.25;10.0

10c;Schneider Mario;**;;;;;;;;;56.5
o;;;Fankhauser Erich;***;;;;;;;8.5
+;8;8.5;Vonlaufen Lukas;*;19;54.25;5;9.75;-3;1.25;10.0
o;9;18.5;Bieri Marcel;**;9;56.75;5;19.75;-4;1.25;8.5
+;14;27.0;Schmid Simon (2000);*;23;53.25;13;27.25;-1;0.25;10.0
+;13;37.0;Thierstein Marco;*;14;55.5;13;37.0;0;0.0;9.75
+;13;46.75;Linggi Bruno;**;11;56.25;9;47.75;-4;1.0;9.75

10d;Gloggner Reto;**;;;;;;;;;56.5
+;;;Kennel Stefan;**;;;;;;;9.75
+;5;9.75;Amgarten Martin;*;20;54.0;4;10.0;-1;0.25;9.75
o;6;19.5;Moser Steven;**;12;56.0;9;18.5;3;-1.0;8.5
+;10;28.0;Gassmann Michael;*;23;53.25;12;27.5;2;-0.5;10.0
-;9;38.0;Scheuber Lutz;**;8;57.0;8;38.25;-1;0.25;8.75
+;13;46.75;Inderbitzin Daniel;*;14;55.5;12;47.0;-1;0.25;9.75

10e;Schelbert Ralf;**;;;;;;;;;56.5
+;;;Fankhauser Reto;**;;;;;;;9.75
o;5;9.75;Sempach Matthias;***;18;54.5;8;8.5;3;-1.25;8.5
+;10;18.25;Gisler Jonas (2001);;29;44.0;15;17.0;5;-1.25;10.0
+;9;28.25;Bernet Christoph;*;21;53.75;11;27.75;2;-0.5;10.0
o;8;38.25;Ambühl Joel;*;8;57.0;7;38.5;-1;0.25;8.5
+;13;46.75;Schöpfer Ronny;*;17;54.75;15;46.25;2;-0.5;9.75

10f;Betschart Remo;**;;;;;;;;;56.5
-;;;Vogel Remo;**;;;;;;;8.75
+;7;8.75;Kurmann Toni;*;14;55.5;4;10.0;-3;1.25;9.75
o;9;18.5;Schneider Domenic;***;14;55.5;14;17.25;5;-1.25;8.5
+;14;27.0;Gerber Peter;*;24;53.0;13;27.25;-1;0.25;10.0
+;13;37.0;Vonlaufen Lukas;*;19;54.25;13;37.0;0;0.0;9.75
+;13;46.75;Muff André;*;16;55.0;15;46.25;2;-0.5;9.75

10g;Arnold Raphael;*;;;;;;;;;56.5
o;;;Inderbitzin Daniel;*;;;;;;;8.5
+;8;8.5;Hurschler Adrian;;37;34.25;7;8.75;-1;0.25;10.0
+;9;18.5;Dissler Philipp;*;24;53.0;9;18.5;0;0.0;9.75
+;9;28.25;Lemmenmeier Lukas;*;18;54.5;13;27.25;4;-1.0;9.75
-;9;38.0;Nötzli Reto;***;7;57.25;8;38.25;-1;0.25;8.75
+;13;46.75;Stöckli Damian;*;14;55.5;13;46.75;0;0.0;9.75

10h;Nietlispach Pascal;**;;;;;;;;;56.5
+;;;Zimmermann Simon;**;;;;;;;10.0
+;4;10.0;Suppiger Werner;**;9;56.75;5;9.75;1;-0.25;9.75
o;5;19.75;Wicki Joel;**;4;58.5;6;19.5;1;-0.25;8.5
o;9;28.25;Fellmann Roman;*;7;57.25;9;28.25;0;0.0;8.5
+;14;36.75;Murer Andy;**;14;55.5;13;37.0;-1;0.25;9.75
+;14;46.5;Vogel Remo;**;17;54.75;15;46.25;1;-0.25;10.0

10i;Fankhauser Erich;***;;;;;;;;;56.5
+;;;Schneider Mario;**;;;;;;;9.75
+;5;9.75;Rohrer Beat;*;19;54.25;4;10.0;-1;0.25;10.0
+;5;19.75;Reichmuth Marco;**;9;56.75;5;19.75;0;0.0;9.75
o;5;29.5;Bieri Marcel;**;9;56.75;5;29.5;0;0.0;8.5
+;9;38.0;Hasler Florian;**;16;55.0;9;38.0;0;0.0;10.0
o;8;48.0;Schuler Christian;***;4;58.5;6;48.5;-2;0.5;8.5

10j;Rohrer Ivan;**;;;;;;;;;56.5
+;;;Muff Armin;**;;;;;;;9.75
o;5;9.75;Gnägi Florian;***;10;56.5;7;8.75;2;-1.0;8.5
+;10;18.25;Waser Reto;*;23;53.25;9;18.5;-1;0.25;10.0
+;9;28.25;Borcard Johann;**;26;52.5;14;27.0;5;-1.25;9.75
-;9;38.0;Herger Matthias;**;8;57.0;8;38.25;-1;0.25;8.75
+;13;46.75;Elmiger Andreas;;16;55.0;14;46.5;1;-0.25;9.75

11a;Linggi Bruno;**;;;;;;;;;56.25
-;;;Wyrsch Marco;**;;;;;;;8.75
