3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
-;9;28.25;Heinzer Stefan;**;3;90.0;3;54.0;-6;25.75;8.75
o;13;37.0;Betschart Remo;**;10;56.5;13;37.0;0;0.0;8.5
-;18;45.5;Kälin Roland;**;21;53.75;20;45.0;2;-0.5;8.75

19e;Huber Alex;*;;;;;;;;;54.25
+;;;Bachmann Roger;*;;;;;;;9.75
-;5;9.75;Borcard Johann;**;26;52.5;8;8.5;3;-1.25;8.75
+;9;18.5;Felder Seppi;*;30;43.0;14;17.25;5;-1.25;9.75
o;9;28.25;Imhof Andi;***;9;56.75;10;28.0;1;-0.25;8.5
-;14;36.75;Arnold Andreas;*;16;55.0;15;36.5;1;-0.25;8.75
-;18;45.5;Odermatt Remo;*;19;54.25;18;45.5;0;0.0;8.75

19f;Gut Koni;;;;;;;;;;54.25
+;;;Gemsch Stefan;;;;;;;;9.75
+;5;9.75;Schuler Daniel;*;43;17.5;7;8.75;2;-1.0;9.75
o;6;19.5;Streiff Dominik;*;16;55.0;8;18.75;2;-0.75;8.75
-;9;28.25;Kälin Roland;**;21;53.75;13;27.25;4;-1.0;9.0
o;12;37.25;Heiniger Marco;*;12;56.0;11;37.5;-1;0.25;8.5
o;17;45.75;Stucki Christian;*;1;114.0;1;95.5;-16;49.75;8.5

19g;Zurﬂuh Michael;*;;;;;;;;;54.25
+;;;Portmann Fabian;*;;;;;;;9.75
+;5;9.75;Dousse Michel;**;35;34.75;8;8.5;3;-1.25;9.75
o;6;19.5;Schuler Alex;***;2;110.75;2;36.5;-4;17.0;8.75
-;9;28.25;Muff André;*;16;55.0;8;28.5;-1;0.25;8.75
o;13;37.0;Wetzstein Adrian;*;14;55.5;13;37.0;0;0.0;8.5
o;18;45.5;Wyrsch Silvio;*;15;55.25;19;45.25;1;-0.25;8.75

19h;Weber Ivo;;;;;;;;;;54.25
-;;;Suter Beat;;;;;;;;8.75
o;7;8.75;Müller Roger;*;33;35.5;8;8.5;1;-0.25;8.5
-;14;17.25;Durrer Nando;*;23;53.25;13;17.5;-1;0.25;8.75
+;18;26.0;Portmann Fabian;*;36;34.5;18;26.0;0;0.0;9.75
-;18;35.75;Dissler Philipp;*;24;53.0;19;35.5;1;-0.25;8.75
+;22;44.5;Durrer Markus;;24;53.0;23;44.25;1;-0.25;9.75

19i;Elsener Adrian;**;;;;;;;;;54.25
-;;;Bernhard Lukas;*;;;;;;;8.75
o;7;8.75;Kälin Roland;**;21;53.75;8;8.5;1;-0.25;8.5
-;14;17.25;Bürgi Reto;*;35;34.75;14;17.25;0;0.0;8.75
+;18;26.0;Kennel Stefan;**;36;34.5;18;26.0;0;0.0;9.75
-;18;35.75;Scherer Niklaus;*;17;54.75;17;36.0;-1;0.25;8.75
+;22;44.5;Ming Christian;*;24;53.0;22;44.5;0;0.0;9.75

19j;Hess Michael;*;;;;;;;;;54.25
+;;;Kammermann Christoph;*;;;;;;;9.75
o;5;9.75;Müller Michael;**;12;56.0;8;8.5;3;-1.25;8.75
+;9;18.5;Elmiger Andreas;;16;55.0;6;19.5;-3;1.0;9.75
o;9;28.25;Suppiger Werner;**;9;56.75;9;28.25;0;0.0;8.5
o;14;36.75;Kurmann Toni;*;14;55.5;13;37.0;-1;0.25;8.5
-;19;45.25;Kempf Elias;**;20;54.0;20;45.0;1;-0.25;9.0

19k;Rohrer Beat;*;;;;;;;;;54.25
+;;;Bürgler Lukas;*;;;;;;;10.0
o;4;10.0;Fankhauser Erich;***;10;56.5;5;9.75;1;-0.25;8.5
-;9;18.5;Gerber Peter;*;24;53.0;9;18.5;0;0.0;8.75
+;13;27.25;Fink Bruno;*;19;54.25;13;27.25;0;0.0;9.75
o;13;37.0;Stöckli Damian;*;14;55.5;14;36.75;1;-0.25;8.5
-;18;45.5;Zgraggen Fabian;*;19;54.25;18;45.5;0;0.0;8.75

19l;Fässler Dominic;**;;;;;;;;;54.25
o;;;Langenstein Philip;**;;;;;;;8.5
o;8;8.5;Gander Adrian;*;16;55.0;7;8.75;-1;0.25;8.5
o;15;17.0;Ming Christian;*;24;53.0;14;17.25;-1;0.25;8.5
+;20;25.5;Baumann Roger;*;41;25.75;19;25.75;-1;0.25;10.0
+;19;35.5;Gwerder Andreas;*;24;53.0;18;35.75;-1;0.25;10.0
o;18;45.5;Heinzer Ronny;*;15;55.25;18;45.5;0;0.0;8.75

19m;Graber Michael;*;;;;;;;;;54.25
o;;;Streiff Dominik;*;;;;;;;8.5
+;8;8.5;Gwerder Christian;**;35;34.75;7;8.75;-1;0.25;10.0
o;9;18.5;Bucher Christian;*;16;55.0;8;18.75;-1;0.25;8.5
o;14;27.0;Moos Christoph;*;19;54.25;14;27.0;0;0.0;8.5
-;19;35.5;Reichmuth Lukas (2000);*;20;54.0;19;35.5;0;0.0;8.75
+;23;44.25;Käslin Ruedi;*;26;52.5;24;44.0;1;-0.25;10.0

19n;Reichmuth Roland;*;;;;;;;;;54.25
o;;;Amgarten Martin;*;;;;;;;8.5
-;8;8.5;Della Torre Simon;;35;34.75;7;8.75;-1;0.25;8.75
+;14;17.25;Käslin Benno;*;36;34.5;13;17.5;-1;0.25;10.0
o;13;27.25;Muff Armin;**;14;55.5;13;27.25;0;0.0;8.5
o;18;35.75;Lang Sven;*;13;55.75;18;35.75;0;0.0;8.5
+;23;44.25;Felder Seppi;*;30;43.0;25;43.0;2;-1.25;10.0

19o;Zgraggen Fabian;*;;;;;;;;;54.25
o;;;Odermatt Remo;*;;;;;;;8.5
o;8;8.5;Murer Andy;**;14;55.5;8;8.5;0;0.0;8.5
+;15;17.0;Bürgler Lukas;*;41;25.75;14;17.25;-1;0.25;10.0
+;14;27.0;Steiner Severin (2001);;34;35.25;15;26.75;1;-0.25;10.0
o;13;37.0;Waser Dominik;**;13;55.75;13;37.0;0;0.0;8.5
-;18;45.5;Rohrer Beat;*;19;54.25;18;45.5;0;0.0;8.75

19p;Fink Bruno;*;;;;;;;;;54.25
+;;;Kennel Beat;*;;;;;;;10.0
o;4;10.0;Arnold Stefan;**;9;56.75;4;10.0;0;0.0;8.5
o;9;18.5;Amgarten Martin;*;20;54.0;9;18.5;0;0.0;8.75
o;13;27.25;Rohrer Beat;*;19;54.25;13;27.25;0;0.0;8.5
+;18;35.75;Käslin Ruedi;*;26;52.5;19;35.5;1;-0.25;10.0
o;17;45.75;Bernhard Lukas;*;14;55.5;17;45.75;0;0.0;8.5

19q;Odermatt Remo;*;;;;;;;;;54.25
+;;;Zgraggen Fabian;*;;;;;;;9.75
o;5;9.75;Wicki Joel;**;4;58.5;5;9.75;0;0.0;8.5
+;10;18.25;Scherrer Fabian (2002);;16;55.0;9;18.5;-1;0.25;9.75
-;10;28.0;Egli Damian;**;7;57.25;8;28.5;-2;0.5;9.0
o;13;37.0;Erb Roger;**;13;55.75;13;37.0;0;0.0;8.5
-;18;45.5;Huber Alex;*;19;54.25;18;45.5;0;0.0;8.75

20a;Briker Michael;*;;;;;;;;;54.0
+;;;Fassbind René;*;;;;;;;9.75
o;5;9.75;Erb Roger;**;13;55.75;8;8.5;3;-1.25;8.5
+;10;18.25;Hegner Ueli;*;34;35.25;15;17.0;5;-1.25;10.0
o;9;28.25;Sempach Matthias;***;18;54.5;14;27.0;5;-1.25;8.5
-;14;36.75;Zimmermann Daniel;*;20;54.0;14;36.75;0;0.0;8.75
o;18;45.5;Betschart Patrick;*;15;55.25;18;45.5;0;0.0;8.5

20b;Niederberger Markus;*;;;;;;;;;54.0
+;;;Hegner Ueli;*;;;;;;;10.0
o;4;10.0;Müllestein Mike;***;7;57.25;7;8.75;3;-1.25;8.5
o;9;18.5;Hasler Florian;**;16;55.0;10;18.25;1;-0.25;8.5
+;14;27.0;Forster Christian;;34;35.25;15;26.75;1;-0.25;10.0
o;13;37.0;Bucher Roland;*;16;55.0;14;36.75;1;-0.25;8.5
o;18;45.5;Schuler Philipp;**;15;55.25;19;45.25;1;-0.25;8.5

20c;Kessler Joel;*;;;;;;;;;54.0
o;;;Schöpfer Ronny;*;;;;;;;8.5
+;8;8.5;Portmann Fabian;*;36;34.5;7;8.75;-1;0.25;10.0
o;9;18.5;Suppiger Werner;**;9;56.75;10;18.25;1;-0.25;8.5
o;14;27.0;Betschart Marcel;*;21;53.75;14;27.0;0;0.0;8.5
+;19;35.5;Durrer Fabian;*;21;53.75;19;35.5;0;0.0;10.0
o;18;45.5;Odermatt Christian;**;14;55.5;18;45.5;0;0.0;8.5

20d;Reichmuth Lukas (2000);*;;;;;;;;;54.0
o;;;Dissler Philipp;*;;;;;;;8.5
+;8;8.5;Gander Michael;;29;44.0;7;8.75;-1;0.25;10.0
o;9;18.5;Arnold Severin;*;16;55.0;10;18.25;1;-0.25;8.5
o;14;27.0;Stucki Christian;*;1;114.0;1;56.75;-13;29.75;8.5
-;19;35.5;Graber Michael;*;19;54.25;19;35.5;0;0.0;8.75
+;23;44.25;Achermann Christoph;*;25;52.75;23;44.25;0;0.0;9.75

20e;Kempf Elias;**;;;;;;;;;54.0
-;;;Waser Dominik;**;;;;;;;8.75
+;7;8.75;Bieri Christian;**;13;55.75;8;8.5;1;-0.25;9.75
-;9;18.5;Schöpfer Ronny;*;17;54.75;9;18.5;0;0.0;9.0
-;12;27.5;Elmiger Andreas;;16;55.0;10;28.0;-2;0.5;8.75
-;16;36.25;Kälin Roland;**;21;53.75;16;36.25;0;0.0;8.75
-;20;45.0;Hess Michael;*;19;54.25;19;45.25;-1;0.25;9.0

20f;Arnold Marcel;*;;;;;;;;;54.0
+;;;Lang Sven;*;;;;;;;10.0
o;4;10.0;von Ah Benji;***;11;56.25;5;9.75;1;-0.25;8.5
+;9;18.5;Heiniger Luca;;21;53.75;9;18.5;0;0.0;10.0
o;8;28.5;Herger Matthias;**;8;57.0;8;28.5;0;0.0;8.5
o;13;37.0;Muff Armin;**;14;55.5;13;37.0;0;0.0;8.5
o;18;45.5;Murer Andy;**;14;55.5;18;45.5;0;0.0;8.5

20g;Zimmermann Daniel;*;;;;;;;;;54.0
+;;;Schmid Simon (2000);*;;;;;;;9.75
o;5;9.75;Fankhauser Marco;**;8;57.0;5;9.75;0;0.0;8.5
o;10;18.25;Muff Armin;**;14;55.5;14;17.25;4;-1.0;8.5
+;15;26.75;Dissler Philipp;*;24;53.0;14;27.0;-1;0.25;10.0
-;14;36.75;Briker Michael;*;20;54.0;14;36.75;0;0.0;8.75
o;18;45.5;Wallimann Remo;;27;45.25;19;45.25;1;-0.25;8.5

20h;Fessler Linus;**;;;;;;;;;54.0
-;;;Gwerder Carlo;**;;;;;;;8.75
o;7;8.75;Elmiger Andreas;;16;55.0;5;9.75;-2;1.0;8.5
o;14;17.25;Portmann Josef;*;15;55.25;10;18.25;-4;1.0;8.5
+;19;25.75;Hofmann Florian;**;38;34.0;20;25.5;1;-0.25;10.0
o;18;35.75;Schneider Domenic;***;14;55.5;19;35.5;1;-0.25;8.5
+;23;44.25;Gerber Peter;*;24;53.0;22;44.5;-1;0.25;9.75

20i;Amgarten Martin;*;;;;;;;;;54.0
+;;;Reichmuth Roland;*;;;;;;;10.0
o;4;10.0;Gloggner Reto;**;10;56.5;5;9.75;1;-0.25;8.5
+;9;18.5;Fink Bruno;*;19;54.25;9;18.5;0;0.0;10.0
o;8;28.5;Schuler Alex;***;2;110.75;2;55.25;-6;26.75;8.5
o;13;37.0;Elmiger Andreas;;16;55.0;14;36.75;1;-0.25;8.5
o;18;45.5;Fassbind René;*;14;55.5;18;45.5;0;0.0;8.5

20j;Gwerder Beni;;;;;;;;;;54.0
+;;;Müller Roger;*;;;;;;;9.75
+;5;9.75;Bürgi Reto;*;35;34.75;7;8.75;2;-1.0;9.75
o;6;19.5;Heiniger Marco;*;12;56.0;7;19.0;1;-0.5;8.5
o;10;28.0;Langenstein Philip;**;17;54.75;12;27.5;2;-0.5;8.5
o;15;36.5;Scherrer Fabian (2002);;16;55.0;14;36.75;-1;0.25;8.75
o;19;45.25;Ettlin Martin;;16;55.0;19;45.25;0;0.0;8.75

21a;Lussi Marco;**;;;;;;;;;53.75
o;;;Elsener Peter;**;;;;;;;8.5
-;8;8.5;Kenel Franz-Toni;*;18;54.5;7;8.75;-1;0.25;8.75
o;14;17.25;Moos Christoph;*;19;54.25;14;17.25;0;0.0;8.5
+;19;25.75;Kammermann Christoph;*;37;34.25;19;25.75;0;0.0;9.75
o;19;35.5;Heinzer Ronny;*;15;55.25;19;35.5;0;0.0;8.5
+;24;44.0;Gemsch Stefan;;26;52.5;24;44.0;0;0.0;9.75

21b;Bernet Christoph;*;;;;;;;;;53.75
+;;;Grab Daniel;**;;;;;;;10.0
-;4;10.0;Schuler Philipp;**;15;55.25;5;9.75;1;-0.25;8.75
-;8;18.75;Gander Adrian;*;16;55.0;8;18.75;0;0.0;9.0
o;11;27.75;Schelbert Ralf;**;10;56.5;9;28.25;-2;0.5;8.5
-;16;36.25;Odermatt Christian;**;14;55.5;15;36.5;-1;0.25;9.0
o;19;45.25;Würsch Lars;*;16;55.0;19;45.25;0;0.0;8.5

21c;Hess Dominik;*;;;;;;;;;53.75
-;;;Hösli Fritz;*;;;;;;;8.75
-;7;8.75;Blaser Theo;*;36;34.5;8;8.5;1;-0.25;9.0
-;12;17.75;Heinzer Stefan;*;3;90.0;3;35.5;-9;17.75;8.75
+;16;26.5;Schmidiger Marco;*;35;34.75;17;26.25;1;-0.25;9.75
-;16;36.25;Suter Beat;;23;53.25;18;35.75;2;-0.5;9.0
o;19;45.25;Portmann Josef;*;15;55.25;19;45.25;0;0.0;8.5

21d;Betschart Marcel;*;;;;;;;;;53.75
o;;;Arnold Andreas;*;;;;;;;8.5
+;8;8.5;Scherrer Fabian (2002);;16;55.0;4;10.0;-4;1.5;10.0
o;9;18.5;Egli Damian;**;7;57.25;9;18.5;0;0.0;8.5
+;14;27.0;Kessler Joel;*;20;54.0;14;27.0;0;0.0;9.75
o;14;36.75;Vogel Remo;**;17;54.75;16;36.25;2;-0.5;8.5
o;19;45.25;Lang Sven;*;13;55.75;17;45.75;-2;0.5;8.5

21e;Elsener Peter;**;;;;;;;;;53.75
+;;;Lussi Marco;**;;;;;;;10.0
o;4;10.0;Ettlin Stefan;*;15;55.25;5;9.75;1;-0.25;8.5
+;9;18.5;Ettlin Martin;;16;55.0;9;18.5;0;0.0;9.75
o;9;28.25;Müllestein Mike;***;7;57.25;8;28.5;-1;0.25;8.5
o;14;36.75;Inderbitzin Daniel;*;14;55.5;13;37.0;-1;0.25;8.5
o;19;45.25;Müller Michael;**;12;56.0;16;46.0;-3;0.75;8.5

21f;Herger Fabian;*;;;;;;;;;53.75
-;;;Achermann Christoph;*;;;;;;;8.75
-;7;8.75;Kammermann Christoph;*;37;34.25;8;8.5;1;-0.25;8.75
+;13;17.5;Betschart Silvan;*;22;53.5;15;17.0;2;-0.5;10.0
o;12;27.5;Wetzstein Adrian;*;14;55.5;13;27.25;1;-0.25;8.75
-;16;36.25;Ulrich Marco;*;19;54.25;14;36.75;-2;0.5;8.75
-;20;45.0;Kennel Beat;*;22;53.5;21;44.75;1;-0.25;8.75

21g;Kälin Roland;**;;;;;;;;;53.75
o;;;Hurschler Thomas;**;;;;;;;8.5
+;8;8.5;Elsener Adrian;**;19;54.25;7;8.75;-1;0.25;9.75
-;10;18.25;Müller Michael;**;12;56.0;10;18.25;0;0.0;9.0
-;13;27.25;Gut Koni;;19;54.25;9;28.25;-4;1.0;9.0
-;16;36.25;Kempf Elias;**;20;54.0;16;36.25;0;0.0;8.75
-;20;45.0;Vonlaufen Lukas;*;19;54.25;18;45.5;-2;0.5;8.75

21h;Heiniger Luca;;;;;;;;;;53.75
o;;;Lagler Christian;;;;;;;;8.5
+;8;8.5;Hegner Ueli;*;34;35.25;8;8.5;0;0.0;10.0
o;9;18.5;Arnold Marcel;*;20;54.0;9;18.5;0;0.0;8.5
+;14;27.0;Durrer Markus;;24;53.0;14;27.0;0;0.0;9.75
o;14;36.75;Odermatt Andreas;*;18;54.5;16;36.25;2;-0.5;8.5
o;19;45.25;Schürpf Bruno;*;15;55.25;19;45.25;0;0.0;8.5

21i;Durrer Fabian;*;;;;;;;;;53.75
-;;;Durrer Nando;*;;;;;;;8.75
o;7;8.75;Muff André;*;16;55.0;7;8.75;0;0.0;8.5
+;14;17.25;Grab Daniel;**;36;34.5;15;17.0;1;-0.25;9.75
o;14;27.0;Stöckli Damian;*;14;55.5;14;27.0;0;0.0;8.5
o;19;35.5;Kessler Joel;*;20;54.0;19;35.5;0;0.0;8.5
+;24;44.0;Borcard Johann;**;26;52.5;24;44.0;0;0.0;9.75

22a;Kennel Beat;*;;;;;;;;;53.5
o;;;Fink Bruno;*;;;;;;;8.5
-;8;8.5;Durrer Robin;*;34;35.25;7;8.75;-1;0.25;8.75
-;14;17.25;Rohrer Ueli;*;17;54.75;13;17.5;-1;0.25;8.75
+;18;26.0;Hurschler Adrian;;37;34.25;19;25.75;1;-0.25;10.0
o;17;36.0;Bättig Martin;*;16;55.0;16;36.25;-1;0.25;8.75
-;21;44.75;Herger Fabian;*;21;53.75;20;45.0;-1;0.25;8.75

22b;Bachmann Roger;*;;;;;;;;;53.5
o;;;Huber Alex;*;;;;;;;8.5
o;8;8.5;Ulrich Marco;*;19;54.25;7;8.75;-1;0.25;8.5
+;15;17.0;Pedrazzini Diego;;37;34.25;15;17.0;0;0.0;10.0
-;14;27.0;Elsener Marcel;*;23;53.25;13;27.25;-1;0.25;8.75
-;18;35.75;Arnold Fabian;*;23;53.25;18;35.75;0;0.0;8.75
-;22;44.5;Betschart Silvan;*;22;53.5;22;44.5;0;0.0;9.0

22c;Betschart Silvan;*;;;;;;;;;53.5
o;;;Stucki Christian;*;;;;;;;8.5
o;8;8.5;Widmer Adrian;*;17;54.75;7;8.75;-1;0.25;8.5
o;15;17.0;Herger Fabian;*;21;53.75;13;17.5;-2;0.5;8.5
+;20;25.5;Mignola Lorenzo;;38;34.0;20;25.5;0;0.0;10.0
-;19;35.5;Durrer Nando;*;23;53.25;19;35.5;0;0.0;9.0
-;22;44.5;Bachmann Roger;*;22;53.5;22;44.5;0;0.0;9.0

22d;Kälin Remo;*;;;;;;;;;53.5
-;;;Thalmann Thomas;*;;;;;;;8.75
+;7;8.75;Durrer Markus;;24;53.0;4;10.0;-3;1.25;9.75
-;9;18.5;Vogel Remo;**;17;54.75;8;18.75;-1;0.25;8.75
o;13;27.25;Schöpfer Ronny;*;17;54.75;12;27.5;-1;0.25;8.5
-;18;35.75;Schmid Simon (2000);*;23;53.25;18;35.75;0;0.0;9.0
-;21;44.75;Durrer Nando;*;23;53.25;22;44.5;1;-0.25;8.75

23a;Suter Beat;;;;;;;;;;53.25
-;;;Weber Ivo;;;;;;;;8.75
-;7;8.75;Burch Jonas;*;13;55.75;8;8.5;1;-0.25;8.75
+;13;17.5;Bürgi Tobias;;36;34.5;13;17.5;0;0.0;9.75
o;13;27.25;Schürpf Bruno;*;15;55.25;14;27.0;1;-0.25;8.5
-;18;35.75;Hess Dominik;*;21;53.75;16;36.25;-2;0.5;9.0
o;21;44.75;Ottiger Lukas;*;17;54.75;20;45.0;-1;0.25;8.5

23b;Waser Reto;*;;;;;;;;;53.25
o;;;Ambühl Joel;*;;;;;;;8.75
+;7;8.75;Achermann Christoph;*;25;52.75;7;8.75;0;0.0;9.75
o;9;18.5;Rohrer Ivan;**;10;56.5;10;18.25;1;-0.25;8.5
-;14;27.0;Arnold Fabian;*;23;53.25;14;27.0;0;0.0;8.75
-;18;35.75;Gassmann Michael;*;23;53.25;17;36.0;-1;0.25;8.75
-;22;44.5;Elsener Marcel;*;23;53.25;22;44.5;0;0.0;8.75

23c;Durrer Nando;*;;;;;;;;;53.25
-;;;Durrer Fabian;*;;;;;;;8.75
-;7;8.75;Scherer Niklaus;*;17;54.75;7;8.75;0;0.0;8.75
-;13;17.5;Weber Ivo;;19;54.25;14;17.25;1;-0.25;9.0
-;16;26.5;Dousse Michel;**;35;34.75;19;25.75;3;-0.75;9.0
-;19;35.5;Betschart Silvan;*;22;53.5;19;35.5;0;0.0;9.0
-;22;44.5;Kälin Remo;*;22;53.5;21;44.75;-1;0.25;8.75

23d;Elsener Marcel;*;;;;;;;;;53.25
+;;;Schnider Markus;*;;;;;;;10.0
o;4;10.0;Linggi Bruno;**;11;56.25;7;8.75;3;-1.25;8.5
-;9;18.5;Heinzer Ronny;*;15;55.25;10;18.25;1;-0.25;8.75
-;13;27.25;Bachmann Roger;*;22;53.5;14;27.0;1;-0.25;8.75
o;17;36.0;Rohrer Ueli;*;17;54.75;16;36.25;-1;0.25;8.5
-;22;44.5;Waser Reto;*;23;53.25;22;44.5;0;0.0;8.75

23e;Arnold Fabian;*;;;;;;;;;53.25
-;;;Widmer Adrian;*;;;;;;;8.75
+;7;8.75;Thierstein Marco;*;14;55.5;4;10.0;-3;1.25;9.75
o;9;18.5;Waser Dominik;**;13;55.75;9;18.5;0;0.0;8.5
-;14;27.0;Waser Reto;*;23;53.25;14;27.0;0;0.0;8.75
-;18;35.75;Bachmann Roger;*;22;53.5;18;35.75;0;0.0;8.75
-;22;44.5;Dissler Philipp;*;24;53.0;23;44.25;1;-0.25;8.75

23f;Gassmann Michael;*;;;;;;;;;53.25
o;;;Bucher Roland;*;;;;;;;8.75
-;7;8.75;Dissler Philipp;*;24;53.0;5;9.75;-2;1.0;8.75
+;13;17.5;Kammermann Christoph;*;37;34.25;14;17.25;1;-0.25;10.0
o;12;27.5;Gloggner Reto;**;10;56.5;10;28.0;-2;0.5;8.5
-;17;36.0;Waser Reto;*;23;53.25;18;35.75;1;-0.25;8.75
o;21;44.75;Scherer Niklaus;*;17;54.75;21;44.75;0;0.0;8.5

23g;Schmid Simon (2000);*;;;;;;;;;53.25
o;;;Zimmermann Daniel;*;;;;;;;8.5
+;8;8.5;Ming Christian;*;24;53.0;8;8.5;0;0.0;10.0
o;9;18.5;Linggi Bruno;**;11;56.25;9;18.5;0;0.0;8.75
o;13;27.25;Schneider Mario;**;10;56.5;14;27.0;1;-0.25;8.5
-;18;35.75;Kälin Remo;*;22;53.5;18;35.75;0;0.0;9.0
o;21;44.75;Kenel Franz-Toni;*;18;54.5;21;44.75;0;0.0;8.5

24a;Dissler Philipp;*;;;;;;;;;53.0
+;;;Reichmuth Lukas (2000);*;;;;;;;9.75
-;5;9.75;Gassmann Michael;*;23;53.25;7;8.75;2;-1.0;8.75
o;9;18.5;Arnold Raphael;*;10;56.5;9;18.5;0;0.0;8.5
o;14;27.0;Zimmermann Daniel;*;20;54.0;15;26.75;1;-0.25;8.5
-;19;35.5;Weber Ivo;;19;54.25;18;35.75;-1;0.25;8.75
-;23;44.25;Arnold Fabian;*;23;53.25;22;44.5;-1;0.25;8.75

24b;Gerber Peter;*;;;;;;;;;53.0
+;;;Betschart Patrick;*;;;;;;;10.0
o;4;10.0;Hurschler Thomas;**;8;57.0;4;10.0;0;0.0;8.5
-;9;18.5;Rohrer Beat;*;19;54.25;9;18.5;0;0.0;8.75
o;13;27.25;Betschart Remo;**;10;56.5;14;27.0;1;-0.25;8.5
-;18;35.75;Kenel Franz-Toni;*;18;54.5;17;36.0;-1;0.25;8.75
o;22;44.5;Fessler Linus;**;20;54.0;23;44.25;1;-0.25;8.5

24c;Ming Christian;*;;;;;;;;;53.0
o;;;Villiger Cyrill;*;;;;;;;8.5
o;8;8.5;Schmid Simon (2000);*;23;53.25;8;8.5;0;0.0;8.75
+;14;17.25;Fässler Dominic;**;19;54.25;15;17.0;1;-0.25;10.0
-;13;27.25;Widmer Adrian;*;17;54.75;13;27.25;0;0.0;8.75
o;17;36.0;Lemmenmeier Lukas;*;18;54.5;17;36.0;0;0.0;8.5
o;22;44.5;Elsener Adrian;**;19;54.25;22;44.5;0;0.0;8.5

24d;Durrer Markus;;;;;;;;;;53.0
+;;;Mignola Lorenzo;;;;;;;;10.0
o;4;10.0;Kälin Remo;*;22;53.5;7;8.75;3;-1.25;8.5
o;9;18.5;Inderbitzin Daniel;*;14;55.5;9;18.5;0;0.0;8.5
o;14;27.0;Heiniger Luca;;21;53.75;14;27.0;0;0.0;8.75
o;18;35.75;Widmer Adrian;*;17;54.75;17;36.0;-1;0.25;8.5
o;23;44.25;Weber Ivo;;19;54.25;22;44.5;-1;0.25;8.75

24e;Gwerder Andreas;*;;;;;;;;;53.0
o;;;Kurmann Toni;*;;;;;;;8.5
o;8;8.5;Fankhauser Reto;**;9;56.75;8;8.5;0;0.0;8.5
o;15;17.0;Burch Jonas;*;13;55.75;14;17.25;-1;0.25;8.75
+;19;25.75;Käslin Benno;*;36;34.5;18;26.0;-1;0.25;10.0
o;18;35.75;Fässler Dominic;**;19;54.25;19;35.5;1;-0.25;8.75
o;22;44.5;Zimmermann Simon;**;18;54.5;22;44.5;0;0.0;8.5

25a;Achermann Christoph;*;;;;;;;;;52.75
-;;;Herger Fabian;*;;;;;;;8.75
o;7;8.75;Waser Reto;*;23;53.25;7;8.75;0;0.0;8.5
+;14;17.25;Beffa Mario;;37;34.25;15;17.0;1;-0.25;10.0
o;13;27.25;Hurschler Thomas;**;8;57.0;9;28.25;-4;1.0;8.5
o;18;35.75;Betschart Patrick;*;15;55.25;18;35.75;0;0.0;8.5
o;23;44.25;Reichmuth Lukas (2000);*;20;54.0;23;44.25;0;0.0;8.5

26a;Borcard Johann;**;;;;;;;;;52.5
o;;;Bieri Marcel;**;;;;;;;8.5
-;8;8.5;Huber Alex;*;19;54.25;5;9.75;-3;1.25;8.75
+;14;17.25;Käslin Ruedi;*;26;52.5;9;18.5;-5;1.25;9.75
o;14;27.0;Rohrer Ivan;**;10;56.5;9;28.25;-5;1.25;8.5
o;19;35.5;Ettlin Martin;;16;55.0;19;35.5;0;0.0;8.5
o;24;44.0;Durrer Fabian;*;21;53.75;24;44.0;0;0.0;8.5

26b;Gemsch Stefan;;;;;;;;;;52.5
o;;;Gut Koni;;;;;;;;8.5
o;8;8.5;Käslin Ruedi;*;26;52.5;8;8.5;0;0.0;8.5
o;15;17.0;Gander Michael;;29;44.0;14;17.25;-1;0.25;8.5
+;20;25.5;Pedrazzini Diego;;37;34.25;20;25.5;0;0.0;10.0
o;19;35.5;Gisler Jonas (2001);;29;44.0;19;35.5;0;0.0;8.5
o;24;44.0;Lussi Marco;**;21;53.75;24;44.0;0;0.0;8.5

26c;Käslin Ruedi;*;;;;;;;;;52.5
o;;;Hirsiger Alexander;*;;;;;;;8.5
+;8;8.5;Gemsch Stefan;;26;52.5;8;8.5;0;0.0;10.0
o;9;18.5;Borcard Johann;**;26;52.5;14;17.25;5;-1.25;8.5
o;14;27.0;Reichmuth Armin;*;18;54.5;13;27.25;-1;0.25;8.5
o;19;35.5;Fink Bruno;*;19;54.25;18;35.75;-1;0.25;8.5
o;24;44.0;Graber Michael;*;19;54.25;23;44.25;-1;0.25;8.5

27a;Wallimann Remo;;;;;;;;;;45.25
+;;;Beffa Mario;;;;;;;;10.0
o;4;10.0;Vogel Remo;**;17;54.75;7;8.75;3;-1.25;8.5
o;9;18.5;Heinzer Stefan;**;3;90.0;3;35.5;-6;17.0;8.5
o;14;27.0;Scherrer Fabian (2002);;16;55.0;14;27.0;0;0.0;8.5
+;19;35.5;Zimmermann Daniel;*;20;54.0;14;36.75;-5;1.25;9.75

28a;Thalmann Thomas;*;;;;;;;;;44.25
-;;;Kälin Remo;*;;;;;;;8.75
+;7;8.75;Lagler Christian;;42;18.5;4;10.0;-3;1.25;10.0
o;8;18.75;Müllestein Mike;***;7;57.25;8;18.75;0;0.0;8.5
