5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
+;12;27.5;Häﬂiger Patrick;;17;55.0;9;28.25;-3;0.75;10.0
+;10;37.5;Wittwer Roy;;15;55.5;12;37.0;2;-0.5;9.75
+;10;47.25;Schmidiger Marco;*;16;55.25;12;46.75;2;-0.5;10.0

8c;Suppiger Werner;**;;;;;;;;;57.25
-;;;Rohrer Ueli;**;;;;;;;8.75
+;7;8.75;Kammermann Dominik;;16;55.25;4;10.0;-3;1.25;10.0
+;8;18.75;Murer Andy;**;13;56.0;8;18.75;0;0.0;10.0
+;7;28.75;Schaller Noah;*;14;55.75;7;28.75;0;0.0;9.75
+;6;38.5;Lang Sven;**;7;57.5;5;38.75;-1;0.25;10.0
o;5;48.5;Fankhauser Erich;***;4;59.25;4;49.25;-1;0.75;8.75

8d;Fankhauser Reto;**;;;;;;;;;57.25
+;;;Bucher Thomas;*;;;;;;;9.75
-;5;9.75;Binggeli Stefan;**;18;54.75;5;9.75;0;0.0;8.75
+;9;18.5;Achermann Daniel;;21;54.0;8;18.75;-1;0.25;10.0
-;8;28.5;Ottiger Lukas;*;13;56.0;8;28.5;0;0.0;8.75
+;11;37.25;Muff Pierre (2004);;21;54.0;12;37.0;1;-0.25;10.0
+;10;47.25;Albert Thomas;;16;55.25;12;46.75;2;-0.5;10.0

8e;Zurﬂuh Roman;**;;;;;;;;;57.25
+;;;Waser Christoph;*;;;;;;;9.75
-;5;9.75;Vogel Marcel;*;10;56.75;5;9.75;0;0.0;9.0
+;8;18.75;Amrhyn Jonas;;16;55.25;5;19.75;-3;1.0;10.0
+;7;28.75;Gerber Peter;*;14;55.75;8;28.5;1;-0.25;10.0
o;5;38.75;Fankhauser Erich;***;4;59.25;4;39.5;-1;0.75;8.5
+;10;47.25;Hurschler Adrian;;16;55.25;12;46.75;2;-0.5;10.0

8f;Schurtenberger Sven;***;;;;;;;;;57.25
-;;;Schuler Alex;***;;;;;;;9.0
+;6;9.0;Durrer Jonas;*;9;57.0;5;9.75;-1;0.75;9.75
+;8;18.75;Schöpfer Ronny;**;9;57.0;6;19.5;-2;0.75;10.0
o;7;28.75;Fankhauser Erich;***;4;59.25;4;29.75;-3;1.0;8.5
+;11;37.25;Schuler Alex;*;1;113.5;1;75.5;-10;38.25;10.0
+;10;47.25;Bieri Christian;**;17;55.0;13;46.5;3;-0.75;10.0

9a;Bernhard Lukas;**;;;;;;;;;57.0
-;;;Egli Damian;**;;;;;;;8.75
+;7;8.75;Simmen Robin (2004);;21;54.0;4;10.0;-3;1.25;9.75
-;9;18.5;Wandeler Roman;*;14;55.75;9;18.5;0;0.0;9.0
+;12;27.5;Schöpfer Roman;;25;53.0;13;27.25;1;-0.25;10.0
+;10;37.5;Elmiger Andreas;*;14;55.75;11;37.25;1;-0.25;9.75
+;10;47.25;Kammermann Dominik;;16;55.25;12;46.75;2;-0.5;9.75

9b;Doppmann Urs;**;;;;;;;;;57.0
o;;;Arnold Raphael;**;;;;;;;8.75
+;7;8.75;Schwegler Flavio (2004);;21;54.0;5;9.75;-2;1.0;10.0
+;8;18.75;Müller Luca (2004);*;9;57.0;9;18.5;1;-0.25;10.0
o;7;28.75;Wicki Joel;***;5;58.25;8;28.5;1;-0.25;8.5
+;11;37.25;Schnellmann Alexander (2004);;15;55.5;12;37.0;1;-0.25;10.0
+;10;47.25;Wyrsch Marco;**;15;55.5;11;47.0;1;-0.25;9.75

9c;Durrer Jonas;*;;;;;;;;;57.0
+;;;Gerber Peter;*;;;;;;;9.75
o;5;9.75;Schurtenberger Sven;***;8;57.25;6;9.0;1;-0.75;8.75
-;9;18.5;Huser Christian;;17;55.0;7;19.0;-2;0.5;9.0
+;12;27.5;Arnold Livio (2004);;26;52.75;13;27.25;1;-0.25;10.0
+;10;37.5;Wandeler Roman;*;14;55.75;10;37.5;0;0.0;9.75
+;10;47.25;Hüsler Matthias;;16;55.25;12;46.75;2;-0.5;9.75

9d;Bissig Lukas;*;;;;;;;;;57.0
o;;;Fankhauser Marco;**;;;;;;;8.5
+;8;8.5;Wirz Martin (2005);;21;54.0;5;9.75;-3;1.25;10.0
+;9;18.5;Wicki David;*;14;55.75;8;18.75;-1;0.25;10.0
+;8;28.5;Wyrsch Silvio;*;15;55.5;8;28.5;0;0.0;9.75
o;7;38.25;Bühler Kilian;*;10;56.75;6;38.5;-1;0.25;8.75
+;11;47.0;Chiodo Gian Paolo (2005);;15;55.5;11;47.0;0;0.0;10.0

9e;Vogel Remo;**;;;;;;;;;57.0
o;;;Steinauer Adrian;**;;;;;;;8.5
+;8;8.5;Mettler Fabio;;18;54.75;5;9.75;-3;1.25;10.0
-;9;18.5;Heinzer Lukas (2004);*;14;55.75;8;18.75;-1;0.25;9.0
+;12;27.5;Bürgi Simon;;23;53.5;10;28.0;-2;0.5;10.0
+;10;37.5;Mehr Lars;*;13;56.0;11;37.25;1;-0.25;9.75
+;10;47.25;Zimmermann Raffael;;16;55.25;12;46.75;2;-0.5;9.75

9f;Troxler Jonas;*;;;;;;;;;57.0
-;;;Ming Christian;*;;;;;;;9.0
+;6;9.0;Küng Simon (2006);;19;54.5;4;10.0;-2;1.0;9.75
+;8;18.75;Ulrich Marco;**;15;55.5;8;18.75;0;0.0;10.0
o;7;28.75;Scherrer Fabian;*;9;57.0;7;28.75;0;0.0;8.5
+;11;37.25;Bühler Ramon;;17;55.0;9;37.75;-2;0.5;10.0
+;10;47.25;Arnold Sebastian;;16;55.25;12;46.75;2;-0.5;9.75

9g;Reichmuth Marco;**;;;;;;;;;57.0
o;;;Schöpfer Ronny;**;;;;;;;8.5
+;8;8.5;Jung Valentin;;18;54.75;5;9.75;-3;1.25;10.0
+;9;18.5;Bachmann Roger;*;14;55.75;8;18.75;-1;0.25;9.75
+;9;28.25;Huser Tobias;;16;55.25;8;28.5;-1;0.25;10.0
-;7;38.25;Kurmann Toni;*;8;57.25;6;38.5;-1;0.25;9.0
+;10;47.25;Lustenberger Tim (2005);;16;55.25;12;46.75;2;-0.5;9.75

9h;Schöpfer Ronny;**;;;;;;;;;57.0
+;;;Reichmuth Marco;**;;;;;;;9.75
+;5;9.75;Bühler Kilian;*;10;56.75;4;10.0;-1;0.25;9.75
o;6;19.5;Schurtenberger Sven;***;8;57.25;8;18.75;2;-0.75;8.75
+;9;28.25;Kammermann Dominik;;16;55.25;8;28.5;-1;0.25;10.0
+;7;38.25;Wüest David;;10;56.75;6;38.5;-1;0.25;10.0
o;6;48.25;Lemmenmeier Lukas;*;6;57.75;7;48.0;1;-0.25;8.75

9i;Jund Matthias;*;;;;;;;;;57.0
+;;;Eﬃnger Markus;*;;;;;;;10.0
o;4;10.0;Fankhauser Erich;***;4;59.25;4;10.0;0;0.0;8.5
+;9;18.5;Achermann Ivan (2005);;18;54.75;8;18.75;-1;0.25;10.0
+;8;28.5;Portmann Curdin;;16;55.25;9;28.25;1;-0.25;10.0
o;6;38.5;Ambühl Joel;**;5;58.25;7;38.25;1;-0.25;8.5
+;11;47.0;Widmer Simon;;15;55.5;11;47.0;0;0.0;10.0

9j;Scherrer Patrick;;;;;;;;;;57.0
+;;;Suter Lukas;;;;;;;;10.0
+;4;10.0;Felder Seppi;*;31;35.5;8;8.5;4;-1.5;9.75
+;5;19.75;Arnold Raphael;**;9;57.0;8;18.75;3;-1.0;9.75
o;5;29.5;Ambühl Joel;**;5;58.25;8;28.5;3;-1.0;8.5
-;8;38.0;Albert Thomas;;16;55.25;9;37.75;1;-0.25;9.0
+;11;47.0;Häller Nick;;16;55.25;12;46.75;1;-0.25;10.0

9k;Arnold Raphael;**;;;;;;;;;57.0
+;;;Doppmann Urs;**;;;;;;;9.75
-;5;9.75;Wyrsch Silvio;*;15;55.5;4;10.0;-1;0.25;9.0
o;8;18.75;Scherrer Patrick;;9;57.0;5;19.75;-3;1.0;8.5
+;13;27.25;Fellmann Simon;;18;54.75;12;27.5;-1;0.25;9.75
+;12;37.0;Kennel Beat;**;15;55.5;12;37.0;0;0.0;10.0
+;11;47.0;Doppmann Ueli;;16;55.25;12;46.75;1;-0.25;10.0

