5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
o;12;46.75;Reichmuth Marco;**;9;57.0;10;47.25;-2;0.5;8.5

16j;Kammermann Dominik;;;;;;;;;;55.25
+;;;Gut Koni;;;;;;;;10.0
o;4;10.0;Suppiger Werner;**;8;57.25;7;8.75;3;-1.25;8.5
+;9;18.5;Egli Matthias;;17;55.0;10;18.25;1;-0.25;10.0
o;8;28.5;Schöpfer Ronny;**;9;57.0;9;28.25;1;-0.25;8.5
+;12;37.0;Zumstein Patrick;;20;54.25;17;35.75;5;-1.25;9.75
o;12;46.75;Bernhard Lukas;**;9;57.0;10;47.25;-2;0.5;8.5

16k;Bühler Patrice;;;;;;;;;;55.25
+;;;Ochsner Tim (2006);;;;;;;;10.0
+;4;10.0;Riedweg Matteo (2005);;32;35.25;5;9.75;1;-0.25;9.75
-;5;19.75;Omlin Toni;*;11;56.5;7;19.0;2;-0.75;8.75
o;8;28.5;Waser Dominik;**;10;56.75;9;28.25;1;-0.25;8.5
+;12;37.0;Köpﬂi Mario (2005);;21;54.0;12;37.0;0;0.0;9.75
o;12;46.75;Kennel Stefan;**;11;56.5;12;46.75;0;0.0;8.5

16l;Schmidiger Marco;*;;;;;;;;;55.25
+;;;Wyss Christian;*;;;;;;;9.75
o;5;9.75;Kaufmann Reto;*;9;57.0;5;9.75;0;0.0;8.5
-;10;18.25;Kathriner Andreas;;16;55.25;9;18.5;-1;0.25;8.75
+;14;27.0;Arnold Linus (2004);;26;52.75;13;27.25;-1;0.25;9.75
+;13;36.75;Zimmermann Gian (2004);;17;55.0;14;36.5;1;-0.25;10.0
o;12;46.75;Fellmann Roman;**;8;57.25;10;47.25;-2;0.5;8.5

16m;Arnold Sebastian;;;;;;;;;;55.25
o;;;Wigger Simon;;;;;;;;8.5
+;8;8.5;Koller Robin (2006);;35;34.25;8;8.5;0;0.0;10.0
o;9;18.5;Zürcher Ueli;*;16;55.25;10;18.25;1;-0.25;8.5
+;14;27.0;Zberg Nuyen;;20;54.25;13;27.25;-1;0.25;9.75
+;13;36.75;Füglister Florian;;21;54.0;12;37.0;-1;0.25;10.0
o;12;46.75;Troxler Jonas;*;9;57.0;10;47.25;-2;0.5;8.5

16n;Amrhyn Jonas;;;;;;;;;;55.25
+;;;Zemp Simon;;;;;;;;10.0
+;4;10.0;Rutsch Remo (2004);*;15;55.5;8;8.5;4;-1.5;9.75
o;5;19.75;Zurﬂuh Roman;**;8;57.25;8;18.75;3;-1.0;8.5
+;9;28.25;Büchler Livio;;20;54.25;9;28.25;0;0.0;9.75
o;8;38.0;Wyss Sven;*;13;56.0;9;37.75;1;-0.25;8.5
-;13;46.5;Walker Jan (2004);;15;55.5;12;46.75;-1;0.25;8.75

16o;Zürcher Ueli;*;;;;;;;;;55.25
o;;;Elmiger Andreas;*;;;;;;;8.5
+;8;8.5;Gwerder Beni;;20;54.25;5;9.75;-3;1.25;9.75
+;10;18.25;Arnold Sebastian;;16;55.25;9;18.5;-1;0.25;10.0
+;9;28.25;Ming Christian;*;12;56.25;9;28.25;0;0.0;10.0
o;7;38.25;Müllestein Mike;***;7;57.5;10;37.5;3;-0.75;8.5
o;12;46.75;Waser Dominik;**;10;56.75;11;47.0;-1;0.25;8.5

16p;Häller Nick;;;;;;;;;;55.25
+;;;Nüesch Sandro (2005);;;;;;;;9.75
+;5;9.75;Zimmermann Daniel;*;32;35.25;8;8.5;3;-1.25;10.0
o;5;19.75;Steinauer Adrian;**;7;57.5;8;18.75;3;-1.0;8.5
o;9;28.25;Zimmermann Raffael;;16;55.25;10;28.0;1;-0.25;8.5
+;13;36.75;Bullakaj Benhard;;22;53.75;13;36.75;0;0.0;10.0
o;12;46.75;Scherrer Patrick;;9;57.0;11;47.0;-1;0.25;8.5

16q;Huser Tobias;;;;;;;;;;55.25
+;;;Rohrer Sven (2004);;;;;;;;10.0
+;4;10.0;Furrer Alain;;32;35.25;5;9.75;1;-0.25;10.0
o;4;20.0;Felder Martin;*;14;55.75;8;18.75;4;-1.25;8.5
o;8;28.5;Reichmuth Marco;**;9;57.0;9;28.25;1;-0.25;8.5
+;12;37.0;Wolf Stefan (2006);;24;53.25;15;36.25;3;-0.75;9.75
o;12;46.75;Lang Sven;**;7;57.5;9;47.5;-3;0.75;8.5

16r;Zimmermann Raffael;;;;;;;;;;55.25
+;;;Gasser Severin (2006);;;;;;;;9.75
o;5;9.75;Riebli Urs;*;14;55.75;7;8.75;2;-1.0;8.5
+;10;18.25;Hodler Mathias;;31;35.5;10;18.25;0;0.0;9.75
+;10;28.0;Häller Nick;;16;55.25;9;28.25;-1;0.25;9.75
-;9;37.75;Schöpfer Marco;*;14;55.75;9;37.75;0;0.0;9.0
o;12;46.75;Vogel Remo;**;9;57.0;10;47.25;-2;0.5;8.5

16s;Portmann Curdin;;;;;;;;;;55.25
+;;;Gemsch Stefan;;;;;;;;9.75
o;5;9.75;Inderbitzin Daniel;*;38;27.0;8;8.5;3;-1.25;8.5
+;10;18.25;Widmer Dominik;;32;35.25;10;18.25;0;0.0;10.0
o;9;28.25;Jund Matthias;*;9;57.0;8;28.5;-1;0.25;8.5
-;13;36.75;Schwyzer Sebastian (2004);;20;54.25;13;36.75;0;0.0;8.75
+;17;45.5;Bissig Julian;;21;54.0;17;45.5;0;0.0;9.75

16t;von Rickenbach Carlo (2005);;;;;;;;;;55.25
o;;;Bissig Julian;;;;;;;;8.5
o;8;8.5;Staub Ivan;;20;54.25;7;8.75;-1;0.25;8.5
+;14;17.0;Renggli Silvan (2006);;31;35.5;14;17.0;0;0.0;9.75
+;15;26.75;Herzog Aron (2006);;32;35.25;15;26.75;0;0.0;10.0
o;13;36.75;Achermann Christoph;*;17;55.0;14;36.5;1;-0.25;8.5
+;18;45.25;Mignola Lorenzo;;22;53.75;18;45.25;0;0.0;10.0

16u;Doppmann Ueli;;;;;;;;;;55.25
+;;;Betschart Fabian;;;;;;;;9.75
o;5;9.75;Mehr Lars;*;13;56.0;8;8.5;3;-1.25;8.75
+;9;18.5;Füglister Florian;;21;54.0;9;18.5;0;0.0;9.75
o;9;28.25;Ulrich Marco;**;15;55.5;13;27.25;4;-1.0;8.5
+;13;36.75;Mignola Lorenzo;;22;53.75;13;36.75;0;0.0;10.0
o;12;46.75;Arnold Raphael;**;9;57.0;11;47.0;-1;0.25;8.5

16v;Albert Thomas;;;;;;;;;;55.25
+;;;Hodler Mathias;;;;;;;;9.75
+;5;9.75;Schöpfer Elias (2004);;31;35.5;4;10.0;-1;0.25;9.75
o;6;19.5;Schmid Simon;*;11;56.5;7;19.0;1;-0.5;8.5
+;10;28.0;Schmid Joel;;18;54.75;13;27.25;3;-0.75;9.75
-;9;37.75;Scherrer Patrick;;9;57.0;8;38.0;-1;0.25;9.0
o;12;46.75;Fankhauser Reto;**;8;57.25;10;47.25;-2;0.5;8.5

17a;Egli Matthias;;;;;;;;;;55.0
+;;;Bucher Sandro;;;;;;;;9.75
o;5;9.75;Waser Dominik;**;10;56.75;8;8.5;3;-1.25;8.5
o;10;18.25;Kammermann Dominik;;16;55.25;9;18.5;-1;0.25;8.75
+;14;27.0;Staub Ivan;;20;54.25;14;27.0;0;0.0;9.75
o;13;36.75;Burger Etienne (2004);*;12;56.25;15;36.25;2;-0.5;8.5
+;18;45.25;Bullakaj Benhard;;22;53.75;18;45.25;0;0.0;9.75

17b;Ming Hannes;;;;;;;;;;55.0
o;;;Chiodo Gian Paolo (2005);;;;;;;;8.5
+;8;8.5;Boog Timo (2006);;31;35.5;8;8.5;0;0.0;10.0
o;9;18.5;Wyss Sven;*;13;56.0;11;17.75;2;-0.75;8.5
+;14;27.0;Wigger Simon;;31;35.5;14;27.0;0;0.0;9.75
+;13;36.75;Theiler Andre;;22;53.75;13;36.75;0;0.0;9.75
o;13;46.5;Egli Damian;**;9;57.0;10;47.25;-3;0.75;8.5

17c;Staffelbach Noah;;;;;;;;;;55.0
+;;;Ziegler Moritz;;;;;;;;9.75
o;5;9.75;Gerber Peter;*;14;55.75;8;8.5;3;-1.25;8.5
+;10;18.25;Bucher Adrian (2004);;31;35.5;10;18.25;0;0.0;9.75
o;10;28.0;Wicki David;*;14;55.75;13;27.25;3;-0.75;8.5
+;14;36.5;Schöpfer Roman;;25;53.0;17;35.75;3;-0.75;9.75
-;14;46.25;Bühler Ramon;;17;55.0;14;46.25;0;0.0;8.75

17d;Huser Christian;;;;;;;;;;55.0
+;;;Ulrich Damian;;;;;;;;10.0
-;4;10.0;Wyss Christian;*;15;55.5;7;8.75;3;-1.25;9.0
-;7;19.0;Durrer Jonas;*;9;57.0;9;18.5;2;-0.5;9.0
+;10;28.0;Föhn Christian;;21;54.0;9;28.25;-1;0.25;10.0
o;8;38.0;Lustenberger Marc;*;7;57.5;9;37.75;1;-0.25;8.5
o;13;46.5;Zurﬂuh Michael;*;10;56.75;11;47.0;-2;0.5;8.5

17e;Achermann Christoph;*;;;;;;;;;55.0
o;;;Schöpfer Marco;*;;;;;;;8.5
+;8;8.5;Lüscher Elias (2006);;18;54.75;5;9.75;-3;1.25;9.75
+;10;18.25;Birchler Fabian;;30;36.0;9;18.5;-1;0.25;9.75
o;10;28.0;Schuler Alex;*;1;113.5;2;55.5;-8;27.5;8.5
+;14;36.5;von Rickenbach Carlo (2005);;16;55.25;13;36.75;-1;0.25;9.75
o;14;46.25;Ming Christian;*;12;56.25;13;46.5;-1;0.25;8.75

17f;Wicki Patrick;;;;;;;;;;55.0
+;;;Bissig Joris;;;;;;;;10.0
-;4;10.0;Wyss Sven;*;13;56.0;7;8.75;3;-1.25;9.0
o;7;19.0;Kuster Thomas;**;10;56.75;9;18.5;2;-0.5;8.5
-;12;27.5;Achermann Ueli;;23;53.5;13;27.25;1;-0.25;9.0
+;14;36.5;Reichlin Reto;;21;54.0;17;35.75;3;-0.75;10.0
o;13;46.5;Schuler Alex;*;1;113.5;1;94.0;-12;47.5;8.5

17g;Bieri Christian;**;;;;;;;;;55.0
o;;;Lustenberger Marc;*;;;;;;;8.5
-;8;8.5;Egli Adrian;;20;54.25;5;9.75;-3;1.25;8.75
+;13;17.25;Rust Lorin (2004);;22;53.75;9;18.5;-4;1.25;9.75
+;14;27.0;Hess Michael;*;31;35.5;14;27.0;0;0.0;9.75
+;13;36.75;Bissig Joris;;21;54.0;12;37.0;-1;0.25;9.75
o;13;46.5;Schurtenberger Sven;***;8;57.25;10;47.25;-3;0.75;8.5

17h;Appert Silvan;*;;;;;;;;;55.0
o;;;Lemmenmeier Lukas;*;;;;;;;8.5
+;8;8.5;Gander Michael;;16;55.25;5;9.75;-3;1.25;10.0
-;9;18.5;Fellmann Simon;;18;54.75;8;18.75;-1;0.25;8.75
+;13;27.25;Felder Seppi;*;31;35.5;14;27.0;1;-0.25;9.75
-;12;37.0;Stöckli Damian;*;11;56.5;10;37.5;-2;0.5;9.0
-;15;46.0;Schori Kevin (2004);;17;55.0;15;46.0;0;0.0;9.0

17i;Zimmermann Gian (2004);;;;;;;;;;55.0
o;;;Gander Michael;;;;;;;;8.5
+;8;8.5;Haller Jan (2004);;36;34.0;8;8.5;0;0.0;9.75
o;10;18.25;Jung Valentin;;18;54.75;10;18.25;0;0.0;8.5
+;15;26.75;Zemp Raphael (2006);;32;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Schmidiger Marco;*;16;55.25;13;36.75;-1;0.25;8.5
+;19;45.0;Achermann Ueli;;23;53.5;19;45.0;0;0.0;10.0

17j;Elmiger Matthias;;;;;;;;;;55.0
-;;;Hurschler Adrian;;;;;;;;8.75
+;7;8.75;Stübi Nevio (2006);;26;52.75;7;8.75;0;0.0;10.0
-;8;18.75;Wyss Christian;*;15;55.5;11;17.75;3;-1.0;9.0
o;11;27.75;Waser Christoph;*;14;55.75;14;27.0;3;-0.75;8.5
+;15;36.25;Arnold Livio (2004);;26;52.75;17;35.75;2;-0.5;10.0
o;14;46.25;Burger Etienne (2004);*;12;56.25;14;46.25;0;0.0;8.75

17k;Schmid Julian;;;;;;;;;;55.0
+;;;Schwyzer Flurin (2006);;;;;;;;9.75
+;5;9.75;Friedli Jonas;;32;35.25;5;9.75;0;0.0;10.0
o;5;19.75;Schöpfer Marco;*;14;55.75;7;19.0;2;-0.75;8.5
o;9;28.25;Schuler Alex;***;1;113.5;2;55.5;-7;27.25;8.5
o;13;36.75;Chiodo Gian Paolo (2005);;15;55.5;11;37.25;-2;0.5;8.5
+;18;45.25;Ulrich Damian;;21;54.0;17;45.5;-1;0.25;9.75

17l;Nüesch Sandro (2005);;;;;;;;;;55.0
o;;;Häller Nick;;;;;;;;8.5
o;8;8.5;Schori Kevin (2004);;17;55.0;7;8.75;-1;0.25;8.5
+;14;17.0;Boog Timo (2006);;31;35.5;14;17.0;0;0.0;9.75
+;15;26.75;Egli Samuel;;31;35.5;14;27.0;-1;0.25;10.0
o;13;36.75;Bachmann Roger;*;14;55.75;16;36.0;3;-0.75;8.5
+;18;45.25;Egli Adrian;;20;54.25;16;45.75;-2;0.5;9.75

17m;Giger Samuel (2005);;;;;;;;;;55.0
o;;;Bucher Adrian (2004);;;;;;;;8.5
+;8;8.5;Hodel Joel;;31;35.5;7;8.75;-1;0.25;9.75
+;10;18.25;Furrer Alain;;32;35.25;10;18.25;0;0.0;10.0
o;9;28.25;Burch Jonas;**;13;56.0;9;28.25;0;0.0;8.5
+;13;36.75;Schilter Daniel;*;18;54.75;14;36.5;1;-0.25;9.75
o;13;46.5;Scherrer Fabian;*;9;57.0;10;47.25;-3;0.75;8.5

17n;Schori Kevin (2004);;;;;;;;;;55.0
-;;;Steiner Severin;;;;;;;;8.75
+;7;8.75;Nüesch Sandro (2005);;17;55.0;8;8.5;1;-0.25;9.75
-;9;18.5;Bienz Romeo;*;31;35.5;10;18.25;1;-0.25;8.75
-;13;27.25;Grüter Marcel;;20;54.25;14;27.0;1;-0.25;8.75
+;16;36.0;Stübi Noël (2004);;26;52.75;17;35.75;1;-0.25;10.0
-;15;46.0;Appert Silvan;*;17;55.0;15;46.0;0;0.0;9.0

17o;Häﬂiger Patrick;;;;;;;;;;55.0
o;;;Wittwer Roy;;;;;;;;8.5
+;8;8.5;Fischer Markus;;31;35.5;8;8.5;0;0.0;9.75
+;10;18.25;Waser David;;31;35.5;10;18.25;0;0.0;10.0
o;9;28.25;Fellmann Roman;**;8;57.25;12;27.5;3;-0.75;8.5
+;13;36.75;Aregger Fabian;;21;54.0;12;37.0;-1;0.25;9.75
o;13;46.5;Schärli Reto;*;10;56.75;12;46.75;-1;0.25;8.5

17p;Bühler Ramon;;;;;;;;;;55.0
+;;;Bürgi Simon;;;;;;;;9.75
+;5;9.75;Hess Michael;*;31;35.5;8;8.5;3;-1.25;9.75
o;6;19.5;Wyrsch Silvio;*;15;55.5;8;18.75;2;-0.75;8.5
+;10;28.0;Affentranger Martin;;28;45.0;10;28.0;0;0.0;9.75
o;9;37.75;Troxler Jonas;*;9;57.0;11;37.25;2;-0.5;8.5
-;14;46.25;Staffelbach Noah;;17;55.0;14;46.25;0;0.0;8.75

18a;Vogel Laurin;;;;;;;;;;54.75
+;;;Forster Christian;;;;;;;;9.75
o;5;9.75;Schuler Alex;*;1;113.5;2;17.25;-3;7.5;8.75
-;9;18.5;Wolf Stefan (2006);;24;53.25;9;18.5;0;0.0;9.0
+;12;27.5;Auf der Maur Michael;;20;54.25;13;27.25;1;-0.25;10.0
o;10;37.5;Zemp Christian (2004);*;11;56.5;9;37.75;-1;0.25;8.5
-;15;46.0;Binggeli Stefan;**;18;54.75;15;46.0;0;0.0;8.75

18b;Jung Valentin;;;;;;;;;;54.75
+;;;Eberli Jonas (2005);;;;;;;;9.75
o;5;9.75;Reichmuth Marco;**;9;57.0;8;8.5;3;-1.25;8.5
+;10;18.25;Zimmermann Gian (2004);;17;55.0;10;18.25;0;0.0;9.75
o;10;28.0;Heiniger Marco;**;9;57.0;12;27.5;2;-0.5;8.5
+;14;36.5;Fellmann Simon;;18;54.75;16;36.0;2;-0.5;9.75
o;14;46.25;Stöckli Damian;*;11;56.5;13;46.5;-1;0.25;8.5

18c;Achermann Ivan (2005);;;;;;;;;;54.75
+;;;Arnold Livio (2004);;;;;;;;10.0
-;4;10.0;von Ah Markus;;16;55.25;5;9.75;1;-0.25;8.75
o;8;18.75;Jund Matthias;*;9;57.0;9;18.5;1;-0.25;8.5
-;13;27.25;Waser Kevin (2006);;19;54.5;14;27.0;1;-0.25;9.0
+;15;36.25;Bürgi Simon;;23;53.5;14;36.5;-1;0.25;10.0
o;14;46.25;Bachmann Roger;*;14;55.75;15;46.0;1;-0.25;8.5

18d;Binggeli Stefan;**;;;;;;;;;54.75
+;;;Heinzer Lukas (2004);*;;;;;;;9.75
-;5;9.75;Fankhauser Reto;**;8;57.25;5;9.75;0;0.0;8.75
+;9;18.5;Hurschler Adrian;;16;55.25;8;18.75;-1;0.25;10.0
-;8;28.5;Schmid Simon;*;11;56.5;6;29.0;-2;0.5;8.75
-;11;37.25;Steiner Severin;;18;54.75;11;37.25;0;0.0;8.75
-;15;46.0;Vogel Laurin;;18;54.75;15;46.0;0;0.0;8.75

18e;Schilter Daniel;*;;;;;;;;;54.75
o;;;Felder Martin;*;;;;;;;8.5
+;8;8.5;Aregger Silvan (2006);;31;35.5;5;9.75;-3;1.25;9.75
+;10;18.25;Steffen Rafael (2005);;26;52.75;9;18.5;-1;0.25;9.75
o;10;28.0;Wyss Sven;*;13;56.0;11;27.75;1;-0.25;8.5
o;14;36.5;Giger Samuel (2005);;17;55.0;13;36.75;-1;0.25;8.5
+;19;45.0;Gloggner Matthias (2005);;21;54.0;17;45.5;-2;0.5;9.75

18f;Steiner Severin;;;;;;;;;;54.75
-;;;Schori Kevin (2004);;;;;;;;8.75
+;7;8.75;Lustenberger Roman (2006);;31;35.5;8;8.5;1;-0.25;10.0
o;8;18.75;Vogel Marcel;*;10;56.75;9;18.5;1;-0.25;8.5
+;13;27.25;Odermatt Andreas;;26;52.75;13;27.25;0;0.0;10.0
-;11;37.25;Binggeli Stefan;**;18;54.75;11;37.25;0;0.0;8.75
o;15;46.0;Wandeler Roman;*;14;55.75;15;46.0;0;0.0;8.75

18g;Mettler Fabio;;;;;;;;;;54.75
+;;;Gloggner André;;;;;;;;9.75
o;5;9.75;Vogel Remo;**;9;57.0;8;8.5;3;-1.25;8.5
+;10;18.25;Herzog Aron (2006);;32;35.25;10;18.25;0;0.0;9.75
o;10;28.0;Wandeler Roman;*;14;55.75;12;27.5;2;-0.5;8.5
+;14;36.5;Affentranger Martin;;28;45.0;14;36.5;0;0.0;9.75
o;14;46.25;Murer Andy;**;13;56.0;15;46.0;1;-0.25;8.5

18h;Schmid Joel;;;;;;;;;;54.75
+;;;Würsch Andrin (2006);;;;;;;;10.0
o;4;10.0;Röthlin Pascal;*;15;55.5;7;8.75;3;-1.25;8.5
-;9;18.5;Forster Christian;;20;54.25;9;18.5;0;0.0;8.75
o;13;27.25;Albert Thomas;;16;55.25;10;28.0;-3;0.75;8.75
-;16;36.0;Achermann Ueli;;23;53.5;15;36.25;-1;0.25;8.75
+;20;44.75;Ochsner Tim (2006);;22;53.75;18;45.25;-2;0.5;10.0

18i;Lüscher Elias (2006);;;;;;;;;;54.75
+;;;Stübi Noël (2004);;;;;;;;9.75
o;5;9.75;Achermann Christoph;*;17;55.0;8;8.5;3;-1.25;8.5
+;10;18.25;Gwerder Beni;;20;54.25;9;18.5;-1;0.25;9.75
o;10;28.0;Kennel Beat;**;15;55.5;14;27.0;4;-1.0;8.5
+;14;36.5;von Matt Lars;;21;54.0;17;35.75;3;-0.75;9.75
o;14;46.25;Marti Simon;*;13;56.0;14;46.25;0;0.0;8.5

18j;Fellmann Simon;;;;;;;;;;54.75
-;;;Betschart Daniel;;;;;;;;8.75
+;7;8.75;Suter Nicolas;;35;34.25;8;8.5;1;-0.25;10.0
-;8;18.75;Appert Silvan;*;17;55.0;9;18.5;1;-0.25;8.75
o;12;27.5;Arnold Raphael;**;9;57.0;13;27.25;1;-0.25;8.5
o;16;36.0;Jung Valentin;;18;54.75;14;36.5;-2;0.5;8.75
+;20;44.75;Bürgi Simon;;23;53.5;19;45.0;-1;0.25;10.0

19a;Küng Simon (2006);;;;;;;;;;54.5
+;;;Egli Kilian (2004);;;;;;;;10.0
o;4;10.0;Troxler Jonas;*;9;57.0;6;9.0;2;-1.0;8.5
o;9;18.5;Walker Jan (2004);;15;55.5;9;18.5;0;0.0;8.5
+;14;27.0;Rölli Ueli (2006);;31;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Hurschler Adrian;;16;55.25;12;37.0;0;0.0;8.5
-;17;45.5;Bieri Crispin (2005);;19;54.5;17;45.5;0;0.0;9.0

19b;Bieri Crispin (2005);;;;;;;;;;54.5
+;;;Reichlin Reto;;;;;;;;9.75
o;5;9.75;Burch Jonas;**;13;56.0;8;8.5;3;-1.25;8.5
-;10;18.25;von Matt Lars;;21;54.0;10;18.25;0;0.0;8.75
+;14;27.0;Fuchs Jonas (2006);;31;35.5;14;27.0;0;0.0;9.75
-;13;36.75;von Ah Markus;;16;55.25;13;36.75;0;0.0;8.75
-;17;45.5;Küng Simon (2006);;19;54.5;17;45.5;0;0.0;9.0

19c;Schnider Markus;*;;;;;;;;;54.5
-;;;Widmer Adrian;*;;;;;;;8.75
-;7;8.75;Chiodo Gian Paolo (2005);;15;55.5;4;10.0;-3;1.25;8.75
+;12;17.5;Hurschler Stefan (2006);;14;55.75;8;18.75;-4;1.25;9.75
-;13;27.25;Burger Etienne (2004);*;12;56.25;12;27.5;-1;0.25;8.75
+;16;36.0;Betschart Fabian;;22;53.75;15;36.25;-1;0.25;9.75
-;16;45.75;Eﬃnger Markus;*;19;54.5;16;45.75;0;0.0;8.75

19d;Waser Kevin (2006);;;;;;;;;;54.5
o;;;Baumann Lukas;;;;;;;;8.5
+;8;8.5;Kunz Pascal (2004);;36;34.0;8;8.5;0;0.0;10.0
o;9;18.5;Schuler Alex;*;1;113.5;2;37.0;-7;18.5;8.5
-;14;27.0;Achermann Ivan (2005);;18;54.75;13;27.25;-1;0.25;9.0
+;16;36.0;Steffen Rafael (2005);;26;52.75;17;35.75;1;-0.25;10.0
o;15;46.0;Huber Alex;*;13;56.0;15;46.0;0;0.0;8.5

19e;Achermann David (2006);;;;;;;;;;54.5
+;;;Rust Lorin (2004);;;;;;;;9.75
+;5;9.75;Müller Silvio;;31;35.5;5;9.75;0;0.0;9.75
-;6;19.5;Marti Simon;*;13;56.0;7;19.0;1;-0.5;9.0
o;8;28.5;Huber Alex;*;13;56.0;12;27.5;4;-1.0;8.5
o;12;37.0;Gut Koni;;11;56.5;10;37.5;-2;0.5;8.5
-;17;45.5;Muff Gianluca (2006);;20;54.25;17;45.5;0;0.0;9.0

19f;Eﬃnger Markus;*;;;;;;;;;54.5
o;;;Jund Matthias;*;;;;;;;8.5
-;8;8.5;Wüest David;;10;56.75;4;10.0;-4;1.5;8.75
+;13;17.25;Schmidiger Lukas (2004);;19;54.5;9;18.5;-4;1.25;10.0
-;13;27.25;Gisler Jonas;*;31;35.5;15;26.75;2;-0.5;8.75
+;16;36.0;Wirz Martin (2005);;21;54.0;13;36.75;-3;0.75;9.75
-;16;45.75;Schnider Markus;*;19;54.5;16;45.75;0;0.0;8.75

19g;Schmidiger Lukas (2004);;;;;;;;;;54.5
o;;;Zumstein Patrick;;;;;;;;8.5
+;8;8.5;Zgraggen Mario (2006);;26;52.75;7;8.75;-1;0.25;10.0
o;9;18.5;Eﬃnger Markus;*;19;54.5;13;17.25;4;-1.25;8.5
-;14;27.0;Ziegler Moritz;;24;53.25;14;27.0;0;0.0;9.0
+;16;36.0;Zberg Nuyen;;20;54.25;17;35.75;1;-0.25;10.0
o;15;46.0;Riebli Urs;*;14;55.75;15;46.0;0;0.0;8.5

19h;Egli Kilian (2004);;;;;;;;;;54.5
o;;;Küng Simon (2006);;;;;;;;8.5
+;8;8.5;Zenklusen Matteo (2005);;34;34.5;7;8.75;-1;0.25;10.0
-;9;18.5;Gisler Jonas;*;31;35.5;11;17.75;2;-0.75;8.75
+;13;27.25;Steffen Rafael (2005);;26;52.75;14;27.0;1;-0.25;10.0
o;11;37.25;Ming Christian;*;12;56.25;13;36.75;2;-0.5;8.5
-;16;45.75;Büchler Livio;;20;54.25;17;45.5;1;-0.25;8.75

19i;Theiler Nils (2004);;;;;;;;;;54.5
+;;;Herzog Aron (2006);;;;;;;;10.0
o;4;10.0;Ulrich Marco;**;15;55.5;7;8.75;3;-1.25;8.5
-;9;18.5;Egli Adrian;;20;54.25;9;18.5;0;0.0;8.75
-;13;27.25;Birchler Fabian;;30;36.0;13;27.25;0;0.0;8.75
+;16;36.0;Stübi Nevio (2006);;26;52.75;17;35.75;1;-0.25;10.0
o;15;46.0;Mehr Lars;*;13;56.0;15;46.0;0;0.0;8.5

19j;Zemp Simon;;;;;;;;;;54.5
o;;;Amrhyn Jonas;;;;;;;;8.5
+;8;8.5;Birrer Jonas (2006);;36;34.0;8;8.5;0;0.0;10.0
-;9;18.5;Widmer Adrian;*;37;27.25;9;18.5;0;0.0;8.75
o;13;27.25;Lustenberger Tim (2005);;16;55.25;9;28.25;-4;1.0;8.5
-;17;35.75;Koch Cyrill (2004);;24;53.25;16;36.0;-1;0.25;8.75
+;21;44.5;Arnold Linus (2004);;26;52.75;22;44.25;1;-0.25;10.0

20a;Egli Adrian;;;;;;;;;;54.25
+;;;Renggli Silvan (2006);;;;;;;;9.75
-;5;9.75;Bieri Christian;**;17;55.0;8;8.5;3;-1.25;8.75
-;9;18.5;Theiler Nils (2004);;19;54.5;9;18.5;0;0.0;8.75
+;13;27.25;Kathriner Andreas;;16;55.25;13;27.25;0;0.0;10.0
o;11;37.25;Wyrsch Marco;**;15;55.5;11;37.25;0;0.0;8.5
o;16;45.75;Nüesch Sandro (2005);;17;55.0;18;45.25;2;-0.5;8.5

20b;Forster Christian;;;;;;;;;;54.25
o;;;Vogel Laurin;;;;;;;;8.5
+;8;8.5;Steffen Michael (2006);;31;35.5;8;8.5;0;0.0;10.0
-;9;18.5;Schmid Joel;;18;54.75;9;18.5;0;0.0;8.75
o;13;27.25;Riebli Urs;*;14;55.75;13;27.25;0;0.0;8.5
+;17;35.75;Egli Severin (2004);;23;53.5;16;36.0;-1;0.25;10.0
o;16;45.75;Elmiger Andreas;*;14;55.75;16;45.75;0;0.0;8.5

20c;Schumacher Ramon;;;;;;;;;;54.25
+;;;Koch Florian;;;;;;;;10.0
o;4;10.0;Lang Sven;**;7;57.5;7;8.75;3;-1.25;8.5
-;9;18.5;Bissig Julian;;21;54.0;10;18.25;1;-0.25;8.75
o;13;27.25;Betschart Daniel;;16;55.25;13;27.25;0;0.0;8.5
+;17;35.75;Odermatt Andreas;;26;52.75;17;35.75;0;0.0;10.0
o;16;45.75;Hurschler Stefan (2006);;14;55.75;16;45.75;0;0.0;8.5

20d;Schwyzer Sebastian (2004);;;;;;;;;;54.25
+;;;Zemp Raphael (2006);;;;;;;;9.75
o;5;9.75;Burger Etienne (2004);*;12;56.25;7;8.75;2;-1.0;8.5
+;10;18.25;Koch Cyrill (2004);;24;53.25;12;17.5;2;-0.75;9.75
-;10;28.0;Murer Andy;**;13;56.0;13;27.25;3;-0.75;8.75
-;13;36.75;Portmann Curdin;;16;55.25;13;36.75;0;0.0;8.75
-;17;45.5;Gwerder Beni;;20;54.25;17;45.5;0;0.0;8.75

20e;Zberg Nuyen;;;;;;;;;;54.25
+;;;Steffen Michael (2006);;;;;;;;10.0
