3361-2016-05-22_Fete_Cantonale_Neuchateloise2-ST

1a;Dind Samuel;**;;;;;;;;;58.0
o;5;18.25;Barras François (1998);;13;55.0;5;18.25;0;0.0;8.5
o;10;26.75;Chavagnat Benoît (1999);;16;54.25;9;27.0;-1;0.25;8.5
+;13;35.25;Mollier Etienne;;23;51.25;15;34.25;2;-1.0;9.75
+;14;45.0;Portmann Fabio (1998);;19;53.5;14;45.0;0;0.0;10.0

13h;Wieland Micha;;;;;;;;;;55.0
+;;;Parvex Bryan;;;;;;;;9.75
o;2;9.75;Moser Steven;**;4;57.25;3;8.75;1;-1.0;8.5
o;5;18.25;Kilchoer Alain;;12;55.25;5;18.25;0;0.0;8.5
o;10;26.75;Loup Alexandre;;18;53.75;10;26.75;0;0.0;8.5
+;13;35.25;Reichenbach Ryan (1999);;23;51.25;15;34.25;2;-1.0;10.0
+;13;45.25;Blanchette Nicolas;;18;53.75;13;45.25;0;0.0;9.75

13i;Minder Florian;;;;;;;;;;55.0
+;;;Mollet Adrian;;;;;;;;10.0
+;1;10.0;Maridor Loic;;17;54.0;2;9.75;1;-0.25;10.0
-;1;20.0;Mosimann Vincent;*;16;54.25;5;18.25;4;-1.75;8.75
o;2;28.75;Kramer Lario (1998);*;10;55.75;3;28.5;1;-0.25;8.5
-;5;37.25;Gottofrey Luc;;14;54.75;5;37.25;0;0.0;8.75
-;10;46.0;Remy Guillaume;**;14;54.75;11;45.75;1;-0.25;9.0

14a;Cropt Harald;**;;;;;;;;;54.75
-;;;Brodard Simon;**;;;;;;;8.75
-;3;8.75;Emonet Frédéric;*;10;55.75;4;8.5;1;-0.25;8.75
-;6;17.5;Hayoz Quentin;;9;56.0;1;20.0;-5;2.5;8.75
+;11;26.25;Aladenise Jonathan;;16;54.25;8;27.25;-3;1.0;10.0
+;9;36.25;Derron Julien;;13;55.0;3;38.0;-6;1.75;10.0
o;9;46.25;Gapany Benjamin;**;7;56.5;7;46.75;-2;0.5;8.5

14b;Niederberger Nicola (2000);;;;;;;;;;54.75
+;;;Z'Rotz Elias (2000);;;;;;;;9.75
o;2;9.75;Cardinaux Victor;*;3;57.5;3;8.75;1;-1.0;8.5
o;5;18.25;Pharisa Loic;;18;53.75;5;18.25;0;0.0;8.5
o;10;26.75;Schafer Damien;;12;55.25;9;27.0;-1;0.25;8.5
+;13;35.25;Thiébaud Adrian;;24;51.0;16;34.0;3;-1.25;9.75
+;14;45.0;Joliat Léo (1999);;19;53.5;14;45.0;0;0.0;9.75

14c;Gottofrey Luc;;;;;;;;;;54.75
+;;;Vonlanthen Alexandre;;;;;;;;10.0
-;1;10.0;Schafer Claudio;*;13;55.0;3;8.75;2;-1.25;8.75
o;3;18.75;Berset Julien;*;9;56.0;4;18.5;1;-0.25;8.5
+;8;27.25;Curty Alexandre;;18;53.75;9;27.0;1;-0.25;10.0
-;5;37.25;Minder Florian;;13;55.0;5;37.25;0;0.0;8.75
-;10;46.0;Overney Olivier;*;15;54.5;11;45.75;1;-0.25;8.75

14d;Remy Guillaume;**;;;;;;;;;54.75
-;;;Gottofrey Marc;**;;;;;;;8.75
o;3;8.75;Riedo Fredy;;12;55.25;1;10.0;-2;1.25;8.5
o;7;17.25;Schwander Severin;;10;55.75;4;18.5;-3;1.25;8.5
+;13;25.75;Morger Adrian;;17;54.0;14;25.5;1;-0.25;10.0
+;11;35.75;Chavagnat Benoît (1999);;16;54.25;6;37.0;-5;1.25;10.0
-;11;45.75;Minder Florian;;13;55.0;10;46.0;-1;0.25;9.0

15a;Beer Peter (1999);;;;;;;;;;54.5
o;;;Hayoz Paul (1998);;;;;;;;8.5
-;4;8.5;Bersier Jean-Jacques;;16;54.25;4;8.5;0;0.0;9.0
+;6;17.5;Gauch Thierry;;19;53.5;5;18.25;-1;0.75;10.0
o;7;27.5;Roch Vincent;*;6;56.75;4;28.25;-3;0.75;8.5
+;10;36.0;Lützelschwab Luc (1999);;20;53.25;10;36.0;0;0.0;10.0
o;10;46.0;Brodard Simon;**;11;55.5;11;45.75;1;-0.25;8.5

15b;Overney Olivier;*;;;;;;;;;54.5
o;;;Pouye Diey;*;;;;;;;8.5
+;4;8.5;Golliard Steve;;18;53.75;1;10.0;-3;1.5;10.0
+;4;18.5;Droxler Jonathan;*;11;55.5;4;18.5;0;0.0;9.75
-;4;28.25;Hayoz Quentin;;9;56.0;2;28.75;-2;0.5;8.75
-;6;37.0;Liaudat Rudy;**;13;55.0;5;37.25;-1;0.25;8.75
-;11;45.75;Gottofrey Luc;;14;54.75;10;46.0;-1;0.25;8.75

15c;Buchs Carlo;;;;;;;;;;54.5
o;;;Riedo Fredy;;;;;;;;8.5
+;4;8.5;Roux Dimitri;;24;51.0;4;8.5;0;0.0;10.0
-;4;18.5;Lützelschwab Luc (1999);;20;53.25;4;18.5;0;0.0;8.75
-;8;27.25;Torche Bastian;;15;54.5;8;27.25;0;0.0;8.75
o;10;36.0;Bersier Jean-Jacques;;16;54.25;10;36.0;0;0.0;8.5
+;16;44.5;Schneiter Jérémy;;20;53.25;15;44.75;-1;0.25;10.0

15d;Torche Bastian;;;;;;;;;;54.5
+;;;Borcard Clovis (1999);;;;;;;;10.0
o;1;10.0;Kropf Rolf;**;12;55.25;4;8.5;3;-1.5;8.5
-;4;18.5;Aladenise Jonathan;;16;54.25;4;18.5;0;0.0;8.75
-;8;27.25;Buchs Carlo;;15;54.5;8;27.25;0;0.0;8.75
o;10;36.0;Loup Grégoire (2000);;16;54.25;11;35.75;1;-0.25;8.5
+;16;44.5;Lützelschwab Luc (1999);;20;53.25;15;44.75;-1;0.25;10.0

16a;Kyburz Silas;;;;;;;;;;54.25
+;;;Schwander Severin;;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;4;57.25;3;8.75;1;-1.0;8.5
-;5;18.25;Dubey Gaël;;17;54.0;5;18.25;0;0.0;9.0
+;8;27.25;Heiniger Mickaël;;17;54.0;9;27.0;1;-0.25;10.0
o;5;37.25;Brodard Simon;**;11;55.5;11;35.75;6;-1.5;8.5
o;11;45.75;Gassmann Simon;;11;55.5;11;45.75;0;0.0;8.5

16b;Aladenise Jonathan;;;;;;;;;;54.25
o;;;Gassmann Simon;;;;;;;;8.5
+;4;8.5;Faivre Cedric;;21;52.75;3;8.75;-1;0.25;10.0
-;4;18.5;Torche Bastian;;15;54.5;4;18.5;0;0.0;8.75
o;8;27.25;Cropt Harald;**;14;54.75;11;26.25;3;-1.0;8.5
+;11;35.75;Spring Dominic;;22;52.5;12;35.5;1;-0.25;9.75
-;12;45.5;Maridor Loic;;17;54.0;13;45.25;1;-0.25;8.75

16c;Mollet Adrian;;;;;;;;;;54.25
o;;;Minder Florian;;;;;;;;8.5
o;4;8.5;Jacquier Pascal;;12;55.25;4;8.5;0;0.0;8.5
+;8;17.0;Thiébaud Adrian;;24;51.0;8;17.0;0;0.0;10.0
o;9;27.0;Emonet Frédéric;*;10;55.75;13;25.75;4;-1.25;8.5
+;12;35.5;Borcard Clovis (1999);;18;53.75;12;35.5;0;0.0;10.0
-;12;45.5;Chavagnat Benoît (1999);;16;54.25;12;45.5;0;0.0;8.75

16d;Loup Grégoire (2000);;;;;;;;;;54.25
+;;;Mollier Etienne;;;;;;;;10.0
o;1;10.0;Mauron Olivier;*;12;55.25;3;8.75;2;-1.25;8.5
o;4;18.5;Schöpfer Dio;;11;55.5;4;18.5;0;0.0;8.75
-;8;27.25;Dufey Gil;;16;54.25;8;27.25;0;0.0;8.5
+;11;35.75;Torche Bastian;;15;54.5;10;36.0;-1;0.25;10.0
o;11;45.75;Pouye Diey;*;13;55.0;13;45.25;2;-0.5;8.5

16e;Bersier Jean-Jacques;;;;;;;;;;54.25
o;;;Emonet Fabien;;;;;;;;8.5
-;4;8.5;Beer Peter (1999);;15;54.5;4;8.5;0;0.0;9.0
+;6;17.5;Kramer Dorian (1999);;17;54.0;7;17.25;1;-0.25;9.75
-;8;27.25;Parvex Yannick;;16;54.25;8;27.25;0;0.0;8.75
+;10;36.0;Buchs Carlo;;15;54.5;10;36.0;0;0.0;9.75
o;11;45.75;Droxler Jonathan;*;11;55.5;11;45.75;0;0.0;8.5

16f;Mosimann Vincent;*;;;;;;;;;54.25
o;;;Barras David;*;;;;;;;8.5
+;4;8.5;Parvex Yannick;;16;54.25;3;8.75;-1;0.25;9.75
-;5;18.25;Minder Florian;;13;55.0;1;20.0;-4;1.75;8.75
+;9;27.0;Taillard Virgile (1998);;11;55.5;4;28.25;-5;1.25;10.0
-;6;37.0;Droxler Jonathan;*;11;55.5;6;37.0;0;0.0;8.75
o;11;45.75;Hayoz Quentin;;9;56.0;10;46.0;-1;0.25;8.5

16g;Parvex Yannick;;;;;;;;;;54.25
-;;;Burri Flemming;;;;;;;;8.75
+;3;8.75;Zingrich Jan (1999);;19;53.5;4;8.5;1;-0.25;10.0
o;3;18.75;Mosimann Vincent;*;16;54.25;5;18.25;2;-0.5;8.5
-;8;27.25;Bersier Jean-Jacques;;16;54.25;8;27.25;0;0.0;8.75
+;10;36.0;Dubey Gaël;;17;54.0;11;35.75;1;-0.25;9.75
o;11;45.75;Zimmermann Mario;*;11;55.5;12;45.5;1;-0.25;8.5

16h;Dufey Gil;;;;;;;;;;54.25
-;;;Kramer Dorian (1999);;;;;;;;8.75
+;3;8.75;Portmann Fabio (1998);;19;53.5;4;8.5;1;-0.25;10.0
o;3;18.75;Roch Vincent;*;6;56.75;4;18.5;1;-0.25;8.5
-;8;27.25;Loup Grégoire (2000);;16;54.25;8;27.25;0;0.0;8.75
o;10;36.0;Gassmann Simon;;11;55.5;10;36.0;0;0.0;8.5
+;16;44.5;Cottier Marco (2000);;21;52.75;17;44.25;1;-0.25;9.75

16i;Chavagnat Benoît (1999);;;;;;;;;;54.25
o;;;Schöpfer Dio;;;;;;;;8.5
+;4;8.5;Z'Rotz Elias (2000);;24;51.0;4;8.5;0;0.0;10.0
o;4;18.5;Burgy Matt (1999);;18;53.75;4;18.5;0;0.0;8.5
+;9;27.0;Wittwer Oliver (2000);;13;55.0;10;26.75;1;-0.25;10.0
o;6;37.0;Remy Guillaume;**;14;54.75;11;35.75;5;-1.25;8.5
-;12;45.5;Mollet Adrian;;16;54.25;12;45.5;0;0.0;8.75

16j;Rüegg Patrick (1999);;;;;;;;;;54.25
+;;;Joliat Léo (1999);;;;;;;;9.75
-;2;9.75;Hayoz Paul (1998);;5;57.0;1;10.0;-1;0.25;8.75
o;4;18.5;Burri Flemming;;25;37.0;4;18.5;0;0.0;8.5
-;9;27.0;Vonlanthen Alexandre;;17;54.0;9;27.0;0;0.0;8.75
+;11;35.75;Faivre Cedric;;21;52.75;11;35.75;0;0.0;10.0
o;11;45.75;Giroud Jonathan;**;12;55.25;13;45.25;2;-0.5;8.5

17a;Jeannin Jess (2000);;;;;;;;;;54.0
o;;;Pharisa Loic;;;;;;;;8.5
o;4;8.5;Pürro Tobias;;19;53.5;4;8.5;0;0.0;8.5
+;8;17.0;Blanchette Nicolas;;18;53.75;8;17.0;0;0.0;9.75
-;10;26.75;Portmann Fabio (1998);;19;53.5;9;27.0;-1;0.25;9.0
o;11;35.75;Kramer Dorian (1999);;17;54.0;11;35.75;0;0.0;8.5
+;17;44.25;Faivre Cedric;;21;52.75;17;44.25;0;0.0;9.75

17b;Morger Adrian;;;;;;;;;;54.0
o;;;Wenger Marcel (1999);;;;;;;;8.5
o;4;8.5;Ducry Antoine;;6;56.75;1;10.0;-3;1.5;8.5
o;8;17.0;Chèvre Bernard;;12;55.25;4;18.5;-4;1.5;8.5
o;14;25.5;Remy Guillaume;**;14;54.75;13;25.75;-1;0.25;8.5
+;16;34.0;Roux Dimitri;;24;51.0;16;34.0;0;0.0;10.0
+;18;44.0;Mollier Etienne;;23;51.25;20;42.75;2;-1.25;10.0

17c;Maridor Loic;;;;;;;;;;54.0
+;;;Pürro Tobias;;;;;;;;9.75
o;2;9.75;Minder Florian;;13;55.0;1;10.0;-1;0.25;8.5
o;5;18.25;Vonlanthen Alexandre;;17;54.0;7;17.25;2;-1.0;8.5
+;10;26.75;Gauch Thierry;;19;53.5;10;26.75;0;0.0;10.0
o;7;36.75;Lerch Jimmy;*;12;55.25;12;35.5;5;-1.25;8.5
-;13;45.25;Aladenise Jonathan;;16;54.25;12;45.5;-1;0.25;8.75

17d;Dubey Gaël;;;;;;;;;;54.0
+;;;Goy Sébastien;;;;;;;;9.75
o;2;9.75;Dind Samuel;**;1;58.0;4;8.5;2;-1.25;8.5
-;5;18.25;Kyburz Silas;;16;54.25;5;18.25;0;0.0;9.0
o;8;27.25;Jacquier Pascal;;12;55.25;9;27.0;1;-0.25;8.5
o;11;35.75;Parvex Yannick;;16;54.25;10;36.0;-1;0.25;8.5
+;17;44.25;Spring Dominic;;22;52.5;18;44.0;1;-0.25;9.75

17e;Vonlanthen Alexandre;;;;;;;;;;54.0
o;;;Gottofrey Luc;;;;;;;;8.75
o;3;8.75;Wittwer Oliver (2000);;13;55.0;4;8.5;1;-0.25;8.5
+;7;17.25;Maridor Loic;;17;54.0;5;18.25;-2;1.0;9.75
-;9;27.0;Rüegg Patrick (1999);;16;54.25;9;27.0;0;0.0;8.75
+;11;35.75;Heiniger Mickaël;;17;54.0;12;35.5;1;-0.25;9.75
o;12;45.5;Schafer Damien;;12;55.25;12;45.5;0;0.0;8.5

17f;Kramer Dorian (1999);;;;;;;;;;54.0
-;;;Dufey Gil;;;;;;;;8.75
o;3;8.75;Schwander Severin;;10;55.75;4;8.5;1;-0.25;8.5
o;7;17.25;Bersier Jean-Jacques;;16;54.25;6;17.5;-1;0.25;8.5
+;13;25.75;Reichenbach Ryan (1999);;23;51.25;13;25.75;0;0.0;10.0
+;11;35.75;Jeannin Jess (2000);;17;54.0;11;35.75;0;0.0;9.75
o;12;45.5;Lerch Jimmy;*;12;55.25;12;45.5;0;0.0;8.5

17g;Heiniger Mickaël;;;;;;;;;;54.0
o;;;Kilchoer Alain;;;;;;;;8.5
+;4;8.5;Thiébaud Adrian;;24;51.0;4;8.5;0;0.0;10.0
o;4;18.5;Berset Cyril;*;12;55.25;8;17.0;4;-1.5;8.5
o;9;27.0;Kyburz Silas;;16;54.25;8;27.25;-1;0.25;8.5
o;12;35.5;Vonlanthen Alexandre;;17;54.0;11;35.75;-1;0.25;8.5
+;18;44.0;Reichenbach Ryan (1999);;23;51.25;20;42.75;2;-1.25;10.0

18a;Burgy Matt (1999);;;;;;;;;;53.75
o;;;Loup Alexandre;;;;;;;;8.5
+;4;8.5;Borcard Clovis (1999);;18;53.75;4;8.5;0;0.0;10.0
+;4;18.5;Chavagnat Benoît (1999);;16;54.25;4;18.5;0;0.0;9.75
o;4;28.25;Liaudat Rudy;**;13;55.0;8;27.25;4;-1.0;8.5
o;7;36.75;Berset Julien;*;9;56.0;6;37.0;-1;0.25;8.5
o;13;45.25;Schöpfer Dio;;11;55.5;11;45.75;-2;0.5;8.5

18b;Loup Alexandre;;;;;;;;;;53.75
+;;;Burgy Matt (1999);;;;;;;;9.75
o;2;9.75;Duplan Steve;**;9;56.0;3;8.75;1;-1.0;8.5
o;5;18.25;Derron Julien;;13;55.0;5;18.25;0;0.0;8.5
+;10;26.75;Wieland Micha;;13;55.0;10;26.75;0;0.0;10.0
o;7;36.75;Wampfler Beat;***;7;56.5;7;36.75;0;0.0;8.5
o;13;45.25;Emonet Fabien;;12;55.25;12;45.5;-1;0.25;8.5

18c;Blanchette Nicolas;;;;;;;;;;53.75
o;;;Schneiter Jérémy;;;;;;;;8.5
o;4;8.5;Barras François (1998);;13;55.0;4;8.5;0;0.0;8.5
o;8;17.0;Jeannin Jess (2000);;17;54.0;8;17.0;0;0.0;8.5
+;14;25.5;Thiébaud Adrian;;24;51.0;14;25.5;0;0.0;9.75
+;13;35.25;Gauch Thierry;;19;53.5;13;35.25;0;0.0;10.0
o;13;45.25;Wieland Micha;;13;55.0;13;45.25;0;0.0;8.5

18d;Borcard Clovis (1999);;;;;;;;;;53.75
o;;;Torche Bastian;;;;;;;;8.5
o;4;8.5;Burgy Matt (1999);;18;53.75;4;8.5;0;0.0;8.5
o;8;17.0;Parvex Bryan;;12;55.25;8;17.0;0;0.0;8.5
+;14;25.5;Mollier Etienne;;23;51.25;13;25.75;-1;0.25;10.0
o;12;35.5;Mollet Adrian;;16;54.25;12;35.5;0;0.0;8.5
+;18;44.0;Thiébaud Adrian;;24;51.0;21;42.5;3;-1.5;9.75

18e;Curty Alexandre;;;;;;;;;;53.75
o;;;Spring Dominic;;;;;;;;8.5
o;4;8.5;Burgy Frank;;13;55.0;3;8.75;-1;0.25;8.5
+;8;17.0;Roux Dimitri;;24;51.0;8;17.0;0;0.0;10.0
o;9;27.0;Gottofrey Luc;;14;54.75;8;27.25;-1;0.25;8.5
+;12;35.5;Cottier Marco (2000);;21;52.75;11;35.75;-1;0.25;9.75
o;13;45.25;Jacquier Pascal;;12;55.25;13;45.25;0;0.0;8.5

18f;Golliard Steve;;;;;;;;;;53.75
+;;;Thiébaud Adrian;;;;;;;;10.0
o;1;10.0;Overney Olivier;*;15;54.5;4;8.5;3;-1.5;8.5
+;4;18.5;Spring Dominic;;22;52.5;4;18.5;0;0.0;9.75
o;4;28.25;Cardinaux Victor;*;3;57.5;7;27.5;3;-0.75;8.5
o;7;36.75;Barras David;*;12;55.25;9;36.25;2;-0.5;8.5
o;13;45.25;Parvex Bryan;;12;55.25;13;45.25;0;0.0;8.5

18g;Pharisa Loic;;;;;;;;;;53.75
+;;;Jeannin Jess (2000);;;;;;;;9.75
o;2;9.75;Lerch Jimmy;*;12;55.25;3;8.75;1;-1.0;8.5
+;5;18.25;Niederberger Nicola (2000);;14;54.75;5;18.25;0;0.0;9.75
-;5;28.0;Schafer Claudio;*;13;55.0;11;26.25;6;-1.75;8.75
o;7;36.75;Riedo Fredy;;12;55.25;6;37.0;-1;0.25;8.5
o;13;45.25;Taillard Virgile (1998);;11;55.5;11;45.75;-2;0.5;8.5

18h;Goy Sébastien;;;;;;;;;;53.75
o;;;Dubey Gaël;;;;;;;;8.5
o;4;8.5;Lützelschwab Luc (1999);;20;53.25;3;8.75;-1;0.25;8.5
o;8;17.0;Zingrich Jan (1999);;19;53.5;8;17.0;0;0.0;8.5
+;14;25.5;Roux Dimitri;;24;51.0;14;25.5;0;0.0;9.75
o;13;35.25;Joliat Léo (1999);;19;53.5;13;35.25;0;0.0;8.5
+;19;43.75;Z'Rotz Elias (2000);;24;51.0;21;42.5;2;-1.25;10.0

19a;Zingrich Jan (1999);;;;;;;;;;53.5
o;;;Schafer Damien;;;;;;;;8.5
o;4;8.5;Parvex Yannick;;16;54.25;3;8.75;-1;0.25;8.5
+;8;17.0;Goy Sébastien;;18;53.75;8;17.0;0;0.0;9.75
o;10;26.75;Burgy Frank;;13;55.0;9;27.0;-1;0.25;8.5
+;13;35.25;Z'Rotz Elias (2000);;24;51.0;16;34.0;3;-1.25;9.75
o;14;45.0;Schafer Claudio;*;13;55.0;14;45.0;0;0.0;8.5

19b;Gauch Thierry;;;;;;;;;;53.5
o;;;Paupe Alexandre (2000);;;;;;;;8.5
+;4;8.5;Mollier Etienne;;23;51.25;4;8.5;0;0.0;9.75
o;5;18.25;Beer Peter (1999);;15;54.5;6;17.5;1;-0.75;8.5
o;10;26.75;Maridor Loic;;17;54.0;10;26.75;0;0.0;8.5
o;13;35.25;Blanchette Nicolas;;18;53.75;13;35.25;0;0.0;8.5
+;19;43.75;Roux Dimitri;;24;51.0;21;42.5;2;-1.25;9.75

19c;Pürro Tobias;;;;;;;;;;53.5
o;;;Maridor Loic;;;;;;;;8.5
+;4;8.5;Jeannin Jess (2000);;17;54.0;4;8.5;0;0.0;9.75
+;5;18.25;Joliat Léo (1999);;19;53.5;5;18.25;0;0.0;9.75
o;5;28.0;Droxler Jonathan;*;11;55.5;9;27.0;4;-1.0;8.5
o;8;36.5;Hayoz Paul (1998);;5;57.0;6;37.0;-2;0.5;8.5
o;14;45.0;Kilchoer Alain;;12;55.25;13;45.25;-1;0.25;8.5

19d;Joliat Léo (1999);;;;;;;;;;53.5
o;;;Rüegg Patrick (1999);;;;;;;;8.5
+;4;8.5;Cottier Marco (2000);;21;52.75;4;8.5;0;0.0;9.75
o;5;18.25;Pürro Tobias;;19;53.5;5;18.25;0;0.0;8.5
o;10;26.75;Parvex Bryan;;12;55.25;10;26.75;0;0.0;8.5
+;13;35.25;Goy Sébastien;;18;53.75;13;35.25;0;0.0;9.75
o;14;45.0;Niederberger Nicola (2000);;14;54.75;14;45.0;0;0.0;8.5

19e;Blanchard Benjamin;;;;;;;;;;53.5
+;;;Roux Dimitri;;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;8;56.25;3;8.75;1;-1.0;8.5
+;5;18.25;Schneiter Jérémy;;20;53.25;4;18.5;-1;0.25;9.75
o;5;28.0;Berset Cyril;*;12;55.25;9;27.0;4;-1.0;8.5
o;8;36.5;Emonet Frédéric;*;10;55.75;11;35.75;3;-0.75;8.5
o;14;45.0;Burgy Frank;;13;55.0;13;45.25;-1;0.25;8.5

19f;Portmann Fabio (1998);;;;;;;;;;53.5
o;;;Chèvre Bernard;;;;;;;;8.5
o;4;8.5;Dufey Gil;;16;54.25;3;8.75;-1;0.25;8.5
+;8;17.0;Z'Rotz Elias (2000);;24;51.0;8;17.0;0;0.0;10.0
-;9;27.0;Jeannin Jess (2000);;17;54.0;10;26.75;1;-0.25;9.0
-;10;36.0;Schneiter Jérémy;;20;53.25;11;35.75;1;-0.25;9.0
o;14;45.0;Wittwer Oliver (2000);;13;55.0;14;45.0;0;0.0;8.5

20a;Lützelschwab Luc (1999);;;;;;;;;;53.25
-;;;Burgy Frank;;;;;;;;8.75
+;3;8.75;Goy Sébastien;;18;53.75;4;8.5;1;-0.25;9.75
-;4;18.5;Buchs Carlo;;15;54.5;4;18.5;0;0.0;9.0
o;7;27.5;Gottofrey Marc;**;8;56.25;7;27.5;0;0.0;8.5
o;10;36.0;Beer Peter (1999);;15;54.5;10;36.0;0;0.0;8.75
o;15;44.75;Torche Bastian;;15;54.5;16;44.5;1;-0.25;8.5

20b;Schneiter Jérémy;;;;;;;;;;53.25
+;;;Blanchette Nicolas;;;;;;;;10.0
o;1;10.0;Liaudat Rudy;**;13;55.0;3;8.75;2;-1.25;8.5
o;4;18.5;Blanchard Benjamin;;19;53.5;5;18.25;1;-0.25;8.5
-;9;27.0;Cottier Marco (2000);;21;52.75;9;27.0;0;0.0;8.75
-;11;35.75;Portmann Fabio (1998);;19;53.5;10;36.0;-1;0.25;9.0
o;15;44.75;Buchs Carlo;;15;54.5;16;44.5;1;-0.25;8.5

21a;Faivre Cedric;;;;;;;;;;52.75
-;;;Reichenbach Ryan (1999);;;;;;;;8.75
o;3;8.75;Aladenise Jonathan;;16;54.25;4;8.5;1;-0.25;8.5
-;7;17.25;Mollier Etienne;;23;51.25;8;17.0;1;-0.25;8.75
+;12;26.0;Z'Rotz Elias (2000);;24;51.0;14;25.5;2;-0.5;9.75
o;11;35.75;Rüegg Patrick (1999);;16;54.25;11;35.75;0;0.0;8.5
o;17;44.25;Jeannin Jess (2000);;17;54.0;17;44.25;0;0.0;8.5

21b;Cottier Marco (2000);;;;;;;;;;52.75
o;;;Taillard Virgile (1998);;;;;;;;8.5
o;4;8.5;Joliat Léo (1999);;19;53.5;4;8.5;0;0.0;8.5
+;8;17.0;Reichenbach Ryan (1999);;23;51.25;7;17.25;-1;0.25;10.0
-;9;27.0;Schneiter Jérémy;;20;53.25;9;27.0;0;0.0;8.75
o;11;35.75;Curty Alexandre;;18;53.75;12;35.5;1;-0.25;8.5
o;17;44.25;Dufey Gil;;16;54.25;16;44.5;-1;0.25;8.5

22a;Spring Dominic;;;;;;;;;;52.5
+;;;Curty Alexandre;;;;;;;;10.0
o;1;10.0;Glauser Thomas;**;5;57.0;4;8.5;3;-1.5;8.5
o;4;18.5;Golliard Steve;;18;53.75;4;18.5;0;0.0;8.5
o;9;27.0;Emonet Fabien;;12;55.25;9;27.0;0;0.0;8.5
o;12;35.5;Aladenise Jonathan;;16;54.25;11;35.75;-1;0.25;8.5
o;18;44.0;Dubey Gaël;;17;54.0;17;44.25;-1;0.25;8.5

23a;Reichenbach Ryan (1999);;;;;;;;;;51.25
-;;;Faivre Cedric;;;;;;;;8.75
o;3;8.75;Burri Flemming;;25;37.0;3;8.75;0;0.0;8.5
o;7;17.25;Cottier Marco (2000);;21;52.75;8;17.0;1;-0.25;8.5
o;13;25.75;Kramer Dorian (1999);;17;54.0;13;25.75;0;0.0;8.5
o;15;34.25;Wieland Micha;;13;55.0;13;35.25;-2;1.0;8.5
o;20;42.75;Heiniger Mickaël;;17;54.0;18;44.0;-2;1.25;8.5

23b;Mollier Etienne;;;;;;;;;;51.25
o;;;Loup Grégoire (2000);;;;;;;;8.5
o;4;8.5;Gauch Thierry;;19;53.5;4;8.5;0;0.0;8.5
-;8;17.0;Faivre Cedric;;21;52.75;7;17.25;-1;0.25;8.75
o;13;25.75;Borcard Clovis (1999);;18;53.75;14;25.5;1;-0.25;8.5
o;15;34.25;Wittwer Oliver (2000);;13;55.0;13;35.25;-2;1.0;8.5
o;20;42.75;Morger Adrian;;17;54.0;18;44.0;-2;1.25;8.5

24a;Thiébaud Adrian;;;;;;;;;;51.0
o;;;Golliard Steve;;;;;;;;8.5
o;4;8.5;Heiniger Mickaël;;17;54.0;4;8.5;0;0.0;8.5
o;8;17.0;Mollet Adrian;;16;54.25;8;17.0;0;0.0;8.5
o;14;25.5;Blanchette Nicolas;;18;53.75;14;25.5;0;0.0;8.5
o;16;34.0;Niederberger Nicola (2000);;14;54.75;13;35.25;-3;1.25;8.5
o;21;42.5;Borcard Clovis (1999);;18;53.75;18;44.0;-3;1.5;8.5

24b;Roux Dimitri;;;;;;;;;;51.0
o;;;Blanchard Benjamin;;;;;;;;8.5
o;4;8.5;Buchs Carlo;;15;54.5;4;8.5;0;0.0;8.5
o;8;17.0;Curty Alexandre;;18;53.75;8;17.0;0;0.0;8.5
o;14;25.5;Goy Sébastien;;18;53.75;14;25.5;0;0.0;8.5
o;16;34.0;Morger Adrian;;17;54.0;16;34.0;0;0.0;8.5
o;21;42.5;Gauch Thierry;;19;53.5;19;43.75;-2;1.25;8.5

24c;Z'Rotz Elias (2000);;;;;;;;;;51.0
o;;;Niederberger Nicola (2000);;;;;;;;8.5
o;4;8.5;Chavagnat Benoît (1999);;16;54.25;4;8.5;0;0.0;8.5
o;8;17.0;Portmann Fabio (1998);;19;53.5;8;17.0;0;0.0;8.5
o;14;25.5;Faivre Cedric;;21;52.75;12;26.0;-2;0.5;8.5
o;16;34.0;Zingrich Jan (1999);;19;53.5;13;35.25;-3;1.25;8.5
o;21;42.5;Goy Sébastien;;18;53.75;19;43.75;-2;1.25;8.5

25a;Burri Flemming;;;;;;;;;;37.0
-;;;Parvex Yannick;;;;;;;;8.75
+;3;8.75;Reichenbach Ryan (1999);;23;51.25;3;8.75;0;0.0;9.75
+;4;18.5;Rüegg Patrick (1999);;16;54.25;4;18.5;0;0.0;10.0
o;3;28.5;Haenni Stéphane;**;9;56.0;7;27.5;4;-1.0;8.5

26a;Skryapnik Oleg;*;;;;;;;;;25.5
o;;;Berset Julien;*;;;;;;;8.5
o;4;8.5;Zosso Remo;**;9;56.0;3;8.75;-1;0.25;8.5
o;8;17.0;Hayoz Paul (1998);;5;57.0;3;18.75;-5;1.75;8.5

27a;Paupe Alexandre (2000);;;;;;;;;;10.0
+;;;Gauch Thierry;;;;;;;;10.0

