3361-2016-05-22_Fete_Cantonale_Neuchateloise2-ST

1a;Dind Samuel;**;;;;;;;;;58.0
9c;Berset Julien;*;;;;;;;;;56.0
+;;;Skryapnik Oleg;*;;;;;;;10.0
o;1;10.0;Gapany Benjamin;**;7;56.5;2;9.75;1;-0.25;8.5
+;4;18.5;Gottofrey Luc;;14;54.75;3;18.75;-1;0.25;10.0
o;3;28.5;Moser Steven;**;4;57.25;3;28.5;0;0.0;8.5
+;6;37.0;Burgy Matt (1999);;18;53.75;7;36.75;1;-0.25;10.0
-;6;47.0;Dousse Michel;*;9;56.0;6;47.0;0;0.0;9.0

9d;Zosso Remo;**;;;;;;;;;56.0
-;;;Liaudat Rudy;**;;;;;;;8.75
+;3;8.75;Skryapnik Oleg;*;26;25.5;4;8.5;1;-0.25;10.0
+;3;18.75;Emonet Fabien;;12;55.25;4;18.5;1;-0.25;10.0
o;2;28.75;Nydegger Michael;***;2;57.75;3;28.5;1;-0.25;8.5
+;5;37.25;Chèvre Bernard;;12;55.25;2;38.25;-3;1.0;10.0
-;5;47.25;Brodard Augustin;**;11;55.5;7;46.75;2;-0.5;8.75

9e;Dousse Michel;*;;;;;;;;;56.0
+;;;Cardinaux Victor;*;;;;;;;10.0
+;1;10.0;Pouye Diey;*;13;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Roschi Ruedi;**;5;57.0;3;18.75;2;-1.25;8.5
+;3;28.5;Ducry Antoine;;6;56.75;1;30.0;-2;1.5;10.0
o;1;38.5;Guisolan Marc;**;4;57.25;1;38.5;0;0.0;8.5
-;6;47.0;Berset Julien;*;9;56.0;6;47.0;0;0.0;9.0

9f;Hayoz Quentin;;;;;;;;;;56.0
+;;;Jacquier Pascal;;;;;;;;10.0
+;1;10.0;Chèvre Bernard;;12;55.25;1;10.0;0;0.0;10.0
-;1;20.0;Cropt Harald;**;14;54.75;6;17.5;5;-2.5;8.75
-;2;28.75;Overney Olivier;*;15;54.5;4;28.25;2;-0.5;8.75
o;4;37.5;Schwander Severin;;10;55.75;5;37.25;1;-0.25;8.5
+;10;46.0;Mosimann Vincent;*;16;54.25;11;45.75;1;-0.25;10.0

10a;Schwander Severin;;;;;;;;;;55.75
o;;;Kyburz Silas;;;;;;;;8.5
+;4;8.5;Kramer Dorian (1999);;17;54.0;3;8.75;-1;0.25;10.0
+;4;18.5;Remy Guillaume;**;14;54.75;7;17.25;3;-1.25;10.0
o;3;28.5;Brodard Augustin;**;11;55.5;3;28.5;0;0.0;8.75
+;5;37.25;Hayoz Quentin;;9;56.0;4;37.5;-1;0.25;9.75
o;6;47.0;Hayoz Paul (1998);;5;57.0;6;47.0;0;0.0;8.75

10b;Kramer Lario (1998);*;;;;;;;;;55.75
+;;;Berset Cyril;*;;;;;;;10.0
o;1;10.0;Brodard Augustin;**;11;55.5;1;10.0;0;0.0;8.5
+;4;18.5;Lerch Jimmy;*;12;55.25;4;18.5;0;0.0;10.0
+;3;28.5;Minder Florian;;13;55.0;2;28.75;-1;0.25;10.0
o;1;38.5;Dind Samuel;**;1;58.0;2;38.25;1;-0.25;8.75
o;5;47.25;Cardinaux Victor;*;3;57.5;4;47.5;-1;0.25;8.5

10c;Emonet Frédéric;*;;;;;;;;;55.75
o;;;Derron Cédric;*;;;;;;;8.5
-;4;8.5;Cropt Harald;**;14;54.75;3;8.75;-1;0.25;8.75
o;7;17.25;Ducry Antoine;;6;56.75;1;20.0;-6;2.75;8.5
+;13;25.75;Mollet Adrian;;16;54.25;9;27.0;-4;1.25;10.0
+;11;35.75;Schafer Damien;;12;55.25;6;37.0;-5;1.25;10.0
+;11;45.75;Blanchard Benjamin;;19;53.5;14;45.0;3;-0.75;10.0

10d;Derron Cédric;*;;;;;;;;;55.75
+;;;Emonet Frédéric;*;;;;;;;9.75
-;2;9.75;Barras David;*;12;55.25;1;10.0;-1;0.25;9.0
+;3;18.75;Riedo Fredy;;12;55.25;1;20.0;-2;1.25;10.0
o;2;28.75;Dind Samuel;**;1;58.0;3;28.5;1;-0.25;8.5
+;5;37.25;Burgy Frank;;13;55.0;7;36.75;2;-0.5;10.0
o;5;47.25;Nydegger Michael;***;2;57.75;3;48.0;-2;0.75;8.5

11a;Brodard Simon;**;;;;;;;;;55.5
-;;;Cropt Harald;**;;;;;;;8.75
+;3;8.75;Kilchoer Alain;;12;55.25;2;9.75;-1;1.0;9.75
o;4;18.5;Piemontesi Pascal;**;5;57.0;3;18.75;-1;0.25;8.5
o;9;27.0;Wenger Marcel (1999);;7;56.5;4;28.25;-5;1.25;8.75
+;11;35.75;Kyburz Silas;;16;54.25;5;37.25;-6;1.5;10.0
+;11;45.75;Beer Peter (1999);;15;54.5;10;46.0;-1;0.25;9.75

11b;Zimmermann Mario;*;;;;;;;;;55.5
-;;;Mauron Olivier;*;;;;;;;8.75
+;3;8.75;Schafer Damien;;12;55.25;1;10.0;-2;1.25;9.75
-;4;18.5;Barras David;*;12;55.25;3;18.75;-1;0.25;8.75
+;8;27.25;Schöpfer Dio;;11;55.5;4;28.25;-4;1.0;9.75
o;6;37.0;Borcard Johann;**;12;55.25;6;37.0;0;0.0;8.5
+;12;45.5;Parvex Yannick;;16;54.25;11;45.75;-1;0.25;10.0

11c;Schöpfer Dio;;;;;;;;;;55.5
+;;;Chavagnat Benoît (1999);;;;;;;;10.0
