3686-2019-08-11_20_Schwaegalp-Schwinget-ST

9d;Doppmann Urs;**;;;;;;;;;55.25
+;;;Hersche Martin;***;;;;;;;10.0
+;1;10.0;Dumelin David;**;9;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Schneider Domenic;***;2;57.25;4;18.75;2;-1.0;8.5
+;4;28.25;Poltera Andrin;*;15;53.75;5;28.0;1;-0.25;10.0
o;4;38.25;Zwyssig Raphael;***;7;55.75;7;37.25;3;-1.0;8.5
o;8;46.75;Dändliker Shane;**;5;56.5;8;46.75;0;0.0;8.5

9e;Oertig Dominik;**;;;;;;;;;55.25
o;;;Kramer Lario;**;;;;;;;8.5
+;5;8.5;Effinger Markus;*;20;35.5;4;8.75;-1;0.25;10.0
o;5;18.5;Dumelin David;**;9;55.25;6;18.25;1;-0.25;8.5
+;8;27.0;Zurfluh Michael;*;21;35.25;10;26.5;2;-0.5;9.75
+;9;36.75;Giger Urs;*;12;54.5;12;36.0;3;-0.75;10.0
o;8;46.75;Nötzli Reto;***;5;56.5;9;46.5;1;-0.25;8.5

9f;Duplan Steve;**;;;;;;;;;55.25
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Pianta Christian;*;22;35.0;4;8.75;-1;0.25;10.0
o;5;18.5;Geisser Lars;**;8;55.5;4;18.75;-1;0.25;8.5
+;8;27.0;Rohrer Ivan;**;21;35.25;9;26.75;1;-0.25;9.75
+;9;36.75;Wickli Beat;**;10;55.0;9;36.75;0;0.0;10.0
o;8;46.75;Hersche Martin;***;6;56.0;10;46.25;2;-0.5;8.5

9g;Peng Mike;***;;;;;;;;;55.25
+;;;Mollet Ivan;**;;;;;;;9.75
-;2;9.75;Hofer Sven;*;14;54.0;1;10.0;-1;0.25;8.75
-;5;18.5;Wey Nicola;*;17;53.25;5;18.5;0;0.0;8.75
o;7;27.25;Arnold Raphael;**;6;56.0;6;27.5;-1;0.25;8.5
+;13;35.75;Lang Sven;**;10;55.0;9;36.75;-4;1.0;9.75
+;13;45.5;Steinauer Adrian;**;13;54.25;12;45.75;-1;0.25;9.75

10a;Lang Sven;**;;;;;;;;;55.0
o;;;Bernold Christian;**;;;;;;;8.5
+;5;8.5;Riedo Fredy;*;23;34.5;4;8.75;-1;0.25;10.0
o;5;18.5;Schneider Mario;**;5;56.5;5;18.5;0;0.0;8.5
+;8;27.0;Steiner Michael;**;21;35.25;9;26.75;1;-0.25;9.75
o;9;36.75;Peng Mike;***;9;55.25;13;35.75;4;-1.0;8.5
+;14;45.25;Poltera Andrin;*;15;53.75;14;45.25;0;0.0;9.75

10b;Burkhalter Stefan;***;;;;;;;;;55.0
-;;;Waser Dominik;**;;;;;;;8.75
+;4;8.75;Gwerder Andreas;**;20;35.5;1;10.0;-3;1.25;10.0
-;4;18.75;Borcard Johann;**;5;56.5;3;19.5;-1;0.75;8.75
+;6;27.5;Bürli Roger;**;11;54.75;5;28.0;-1;0.5;10.0
-;6;37.5;Reichmuth Marco;**;3;57.0;4;38.25;-2;0.75;8.75
-;10;46.25;Egli Damian;**;7;55.75;7;47.0;-3;0.75;8.75

10c;Wickli Beat;**;;;;;;;;;55.0
-;;;Arnold Raphael;**;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;16;53.5;5;8.5;1;-0.25;9.75
+;5;18.5;Rohrer Ivan;**;21;35.25;6;18.25;1;-0.25;9.75
o;4;28.25;Schneider Domenic;***;2;57.25;2;28.75;-2;0.5;8.5
