3771-2018-08-19_103_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
o;4;38.25;Räbmatter Patrick;***;4;57.5;2;38.75;-2;0.5;8.5
+;7;46.75;Leuthard Reto;**;11;55.5;6;47.0;-1;0.25;10.0

6b;Brun Samuel;**;;;;;;;;;56.75
+;;;Anderegg David;*;;;;;;;10.0
o;1;10.0;Schmid David;***;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Ris Jörn;;11;55.5;1;20.0;-5;1.5;9.75
o;7;28.25;Kramer Franz;*;10;55.75;7;28.25;0;0.0;8.75
+;9;37.0;Hitz Florian;;17;54.0;9;37.0;0;0.0;10.0
+;6;47.0;Arnold Kornel;*;14;54.75;9;46.25;3;-0.75;9.75

6c;Bieri Christoph;***;;;;;;;;;56.75
+;;;Stalder Remo;***;;;;;;;9.75
+;2;9.75;Hasler Manuel;*;6;56.75;2;9.75;0;0.0;9.75
+;3;19.5;Bader Andreas;**;26;27.25;5;18.75;2;-0.75;9.75
-;3;29.25;Döbeli Andreas;*;3;57.75;2;29.5;-1;0.25;8.75
-;5;38.0;Voggensperger Janic;**;5;57.0;4;38.25;-1;0.25;8.75
+;7;46.75;Brand Christian;**;9;56.0;5;47.25;-2;0.5;10.0

6d;Schmutz Simon (2000);;;;;;;;;;56.75
+;;;Dettwiler Patrick;;;;;;;;10.0
+;1;10.0;Sempach Beat;;17;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Leuthard Reto;**;11;55.5;5;18.75;4;-1.25;8.5
+;6;28.5;Odermatt Adrian (2001);*;9;56.0;6;28.5;0;0.0;10.0
o;3;38.5;Döbeli Andreas;*;3;57.75;4;38.25;1;-0.25;8.5
+;6;47.0;Brügger Joël (2000);;10;55.75;6;47.0;0;0.0;9.75

6e;Studinger Stephan;**;;;;;;;;;56.75
-;;;Stüdeli Thomas;**;;;;;;;8.75
+;4;8.75;Scherrer Johann;**;13;55.0;4;8.75;0;0.0;9.75
+;6;18.5;Dobler Florian;;26;27.25;5;18.75;-1;0.25;10.0
+;6;28.5;Kohler Adrian;;10;55.75;6;28.5;0;0.0;9.75
o;4;38.25;Schmid David;***;8;56.25;8;37.25;4;-1.0;8.5
+;7;46.75;Kocher Remo;**;11;55.5;6;47.0;-1;0.25;10.0

6f;Stalder Remo;***;;;;;;;;;56.75
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Räber Lukas;*;11;55.5;2;9.75;-3;1.25;9.75
o;7;18.25;Mangold Michael;**;14;54.75;4;19.0;-3;0.75;8.5
+;13;26.75;Anderegg David;*;13;55.0;7;28.25;-6;1.5;10.0
+;10;36.75;Blatter Remo (2000);;11;55.5;9;37.0;-1;0.25;10.0
+;7;46.75;Bearda Samuel;**;13;55.0;8;46.5;1;-0.25;10.0

6g;Hasler Manuel;*;;;;;;;;;56.75
+;;;Küng Marco;*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;6;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Senn Marco;;21;52.75;6;18.5;-1;0.25;10.0
+;7;28.25;Hitz Florian;;17;54.0;6;28.5;-1;0.25;10.0
-;4;38.25;Vieira Tiago;**;10;55.75;4;38.25;0;0.0;8.75
+;6;47.0;Anderegg David;*;13;55.0;8;46.5;2;-0.5;9.75

6h;Kropf Marcel;**;;;;;;;;;56.75
+;;;Widmer Tobias;**;;;;;;;9.75
o;2;9.75;Döbeli Andreas;*;3;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Hitz Florian;;17;54.0;1;20.0;-6;1.75;10.0
+;7;28.25;Roth Christian;;17;54.0;6;28.5;-1;0.25;10.0
o;4;38.25;Alpiger Nick;***;1;59.5;1;39.5;-3;1.25;8.5
+;7;46.75;Hügli Kaj;**;9;56.0;4;47.5;-3;0.75;10.0

7a;Waldner Patrick;**;;;;;;;;;56.5
+;;;Bearda Samuel;**;;;;;;;10.0
+;1;10.0;Rüegger Aaron;*;13;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Räbmatter Patrick;***;4;57.5;1;20.0;0;0.0;8.5
-;6;28.5;Stoll Thomas;;13;55.0;6;28.5;0;0.0;9.0
+;7;37.5;Schwenkfelder Lukas;*;16;54.25;8;37.25;1;-0.25;10.0
-;4;47.5;Räber Lukas;*;11;55.5;8;46.5;4;-1.0;9.0

7b;Schmid Samuel;**;;;;;;;;;56.5
+;;;Stoffel Marc;**;;;;;;;10.0
o;1;10.0;Vieira Tiago;**;10;55.75;1;10.0;0;0.0;8.5
+;6;18.5;Büttler Adrian;;12;55.25;2;19.75;-4;1.25;9.75
+;7;28.25;Burkhardt Roy;;11;55.5;6;28.5;-1;0.25;10.0
o;4;38.25;Widmer Tobias;**;5;57.0;5;38.0;1;-0.25;8.5
+;7;46.75;Stüdeli Thomas;**;13;55.0;8;46.5;1;-0.25;9.75

8a;Schmid David;***;;;;;;;;;56.25
o;;;Alpiger Nick;***;;;;;;;8.75
+;4;8.75;Brun Samuel;**;6;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Lisser Daniel;*;11;55.5;4;19.0;-2;0.5;10.0
-;6;28.5;Stoffel Marc;**;9;56.0;7;28.25;1;-0.25;8.75
+;8;37.25;Studinger Stephan;**;6;56.75;4;38.25;-4;1.0;10.0
-;5;47.25;Stegmüller Klemens;*;10;55.75;7;46.75;2;-0.5;9.0

8b;von Büren Stephan;**;;;;;;;;;56.25
o;;;Voggensperger Janic;**;;;;;;;8.5
o;5;8.5;Mangold Michael;**;14;54.75;3;9.0;-2;0.5;8.75
-;10;17.25;Jusufi Ilber;;16;54.25;7;18.25;-3;1.0;9.0
+;14;26.25;Meyer Markus;;16;54.25;11;27.25;-3;1.0;10.0
+;12;36.25;Burren Patrick;;17;54.0;9;37.0;-3;0.75;10.0
+;9;46.25;Winiger Fabian;**;16;54.25;11;45.75;2;-0.5;10.0

9a;Hügli Kaj;**;;;;;;;;;56.0
-;;;Schillig Willi;**;;;;;;;8.75
-;4;8.75;Stüdeli Thomas;**;13;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Regenass Reto (2000);;27;27.0;6;18.5;-3;1.0;10.0
+;10;27.5;Scherrer Johann;**;13;55.0;10;27.5;0;0.0;10.0
+;7;37.5;Jusufi Ilber;;16;54.25;9;37.0;2;-0.5;10.0
o;4;47.5;Kropf Marcel;**;6;56.75;7;46.75;3;-0.75;8.5

9b;Odermatt Adrian (2001);*;;;;;;;;;56.0
+;;;Kramer Franz;*;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;4;57.5;1;10.0;0;0.0;8.5
+;6;18.5;Winiger Fabian;**;16;54.25;6;18.5;0;0.0;10.0
o;6;28.5;Schmutz Simon (2000);;6;56.75;6;28.5;0;0.0;8.5
-;9;37.0;Lisser Daniel;*;11;55.5;6;37.75;-3;0.75;9.0
+;10;46.0;Schwenkfelder Lukas;*;16;54.25;11;45.75;1;-0.25;10.0

9c;Brand Christian;**;;;;;;;;;56.0
o;;;Leuthard Reto;**;;;;;;;8.5
-;5;8.5;Schwenkfelder Lukas;*;16;54.25;4;8.75;-1;0.25;8.75
+;10;17.25;Schwegler Dominik;;16;54.25;6;18.5;-4;1.25;10.0
+;11;27.25;Loosli Adrian;;18;53.75;13;26.75;2;-0.5;10.0
+;8;37.25;Mangold Martin;*;12;55.25;9;37.0;1;-0.25;10.0
o;5;47.25;Bieri Christoph;***;6;56.75;7;46.75;2;-0.5;8.75

9d;Stoffel Marc;**;;;;;;;;;56.0
o;;;Schmid Samuel;**;;;;;;;8.5
+;5;8.5;Bearda Samuel;**;13;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Stoll Thomas;;13;55.0;1;20.0;-5;1.5;9.75
-;7;28.25;Schmid David;***;8;56.25;6;28.5;-1;0.25;8.75
+;9;37.0;Senn Marco;;21;52.75;15;35.5;6;-1.5;10.0
-;6;47.0;Widmer Tobias;**;5;57.0;3;48.0;-3;1.0;9.0

10a;Brügger Joël (2000);;;;;;;;;;55.75
+;;;Bieri Florian (2001);;;;;;;;10.0
o;1;10.0;Studer Remo;*;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Lazic Marco (2000);;19;53.5;9;17.5;3;-1.0;10.0
o;6;28.5;Stegmüller Klemens;*;10;55.75;11;27.25;5;-1.25;8.5
+;9;37.0;Rüegger Aaron;*;13;55.0;11;36.5;2;-0.5;10.0
o;6;47.0;Schmutz Simon (2000);;6;56.75;6;47.0;0;0.0;8.75

10b;Schaffner Samuel;**;;;;;;;;;55.75
-;;;Hauri Urs;**;;;;;;;8.75
o;4;8.75;Erb Roger;**;6;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Nussbaumer Dominik;;16;54.25;6;18.5;-4;1.25;10.0
+;11;27.25;Gisin Yanic;;13;55.0;8;28.0;-3;0.75;10.0
o;8;37.25;Voggensperger Janic;**;5;57.0;4;38.25;-4;1.0;8.5
+;11;45.75;Regenass Beat;;15;54.5;10;46.0;-1;0.25;10.0

10c;Kohler Adrian;;;;;;;;;;55.75
+;;;Jusufi Ilber;;;;;;;;10.0
+;1;10.0;Burkhardt Roy;;11;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Voggensperger Janic;**;5;57.0;6;18.5;5;-1.5;8.5
o;6;28.5;Studinger Stephan;**;6;56.75;6;28.5;0;0.0;8.5
+;9;37.0;Gisin Yanic;;13;55.0;11;36.5;2;-0.5;10.0
-;6;47.0;Gerber Andrj (2000);*;13;55.0;9;46.25;3;-0.75;8.75

10d;Kramer Franz;*;;;;;;;;;55.75
o;;;Odermatt Adrian (2001);*;;;;;;;8.5
+;5;8.5;Krebs Clemens;*;15;54.5;5;8.5;0;0.0;9.75
+;7;18.25;Nussbaumer Gabriel;;14;54.75;3;19.5;-4;1.25;10.0
+;7;28.25;Brun Samuel;**;6;56.75;7;28.25;0;0.0;10.0
-;4;38.25;Stüdeli Thomas;**;13;55.0;7;37.5;3;-0.75;9.0
o;5;47.25;Voggensperger Janic;**;5;57.0;6;47.0;1;-0.25;8.5

10e;Vieira Tiago;**;;;;;;;;;55.75
+;;;Winiger Fabian;**;;;;;;;10.0
+;1;10.0;Schmid Samuel;**;7;56.5;1;10.0;0;0.0;9.75
o;2;19.75;Alpiger Nick;***;1;59.5;2;19.75;0;0.0;8.5
+;7;28.25;Ris Jörn;;11;55.5;5;28.75;-2;0.5;10.0
-;4;38.25;Hasler Manuel;*;6;56.75;4;38.25;0;0.0;8.75
-;6;47.0;Scherrer Johann;**;13;55.0;9;46.25;3;-0.75;8.75

10f;Stegmüller Klemens;*;;;;;;;;;55.75
-;;;Schwenkfelder Lukas;*;;;;;;;8.75
o;4;8.75;Widmer Tobias;**;5;57.0;5;8.5;1;-0.25;8.5
+;10;17.25;Meyer Lukas (2001);;16;54.25;6;18.5;-4;1.25;10.0
+;11;27.25;Brügger Joël (2000);;10;55.75;6;28.5;-5;1.25;9.75
+;9;37.0;Grossmann Andreas;;15;54.5;9;37.0;0;0.0;9.75
-;7;46.75;Schmid David;***;8;56.25;5;47.25;-2;0.5;9.0

10g;Widmer David;**;;;;;;;;;55.75
-;;;Gerber Andrj (2000);*;;;;;;;9.0
o;3;9.0;Lisser Daniel;*;11;55.5;3;9.0;0;0.0;8.5
+;9;17.5;Fritz Christian;;12;55.25;6;18.5;-3;1.0;10.0
o;10;27.5;Stüdeli Thomas;**;13;55.0;10;27.5;0;0.0;8.5
+;13;36.0;Grieder Nonda;;12;55.25;10;36.75;-3;0.75;9.75
+;11;45.75;Widmer Dino;;15;54.5;10;46.0;-1;0.25;10.0

11a;Studer Remo;*;;;;;;;;;55.5
-;;;Mangold Martin;*;;;;;;;8.75
+;4;8.75;Brügger Joël (2000);;10;55.75;1;10.0;-3;1.25;9.75
-;6;18.5;Regenass Beat;;15;54.5;5;18.75;-1;0.25;8.75
-;11;27.25;Gerber Andrj (2000);*;13;55.0;9;27.75;-2;0.5;8.75
+;13;36.0;Fricker Ivo;;19;53.5;11;36.5;-2;0.5;9.75
+;11;45.75;Brack Simon;;18;53.75;13;45.25;2;-0.5;9.75

11b;Räber Lukas;*;;;;;;;;;55.5
+;;;Lisser Beat;*;;;;;;;9.75
o;2;9.75;Stalder Remo;***;6;56.75;5;8.5;3;-1.25;8.5
o;7;18.25;Voggensperger Lars (2001);;2;58.0;3;19.5;-4;1.25;8.5
+;13;26.75;Büttler Gian (2000);;13;55.0;12;27.0;-1;0.25;10.0
+;10;36.75;Bruder Adrian;;12;55.25;10;36.75;0;0.0;9.75
-;8;46.5;Waldner Patrick;**;7;56.5;4;47.5;-4;1.0;9.0

11c;Schillig Willi;**;;;;;;;;;55.5
-;;;Hügli Kaj;**;;;;;;;8.75
o;4;8.75;Döbeli Lukas (2000);**;11;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Burger Sandro (2001);;22;52.5;6;18.5;-4;1.25;10.0
+;11;27.25;Streich Sascha (2001);;14;54.75;6;28.5;-5;1.25;9.75
+;9;37.0;Burkhardt Roy;;11;55.5;9;37.0;0;0.0;10.0
o;6;47.0;Döbeli Andreas;*;3;57.75;3;48.0;-3;1.0;8.5

11d;Blatter Remo (2000);;;;;;;;;;55.5
o;;;Voggensperger Lars (2001);;;;;;;;8.5
+;5;8.5;Müller Christian;;24;51.25;5;8.5;0;0.0;9.75
+;7;18.25;Rüegger Aaron;*;13;55.0;7;18.25;0;0.0;10.0
-;7;28.25;Winiger Fabian;**;16;54.25;12;27.0;5;-1.25;8.75
o;9;37.0;Stalder Remo;***;6;56.75;10;36.75;1;-0.25;8.5
+;12;45.5;Meyer Lukas (2001);;16;54.25;11;45.75;-1;0.25;10.0

11e;Lisser Daniel;*;;;;;;;;;55.5
-;;;Arnold Kornel;*;;;;;;;9.0
+;3;9.0;Widmer David;**;10;55.75;3;9.0;0;0.0;10.0
o;4;19.0;Schmid David;***;8;56.25;6;18.5;2;-0.5;8.75
+;9;27.75;Meyer Lukas (2001);;16;54.25;11;27.25;2;-0.5;10.0
-;6;37.75;Odermatt Adrian (2001);*;9;56.0;9;37.0;3;-0.75;9.0
o;7;46.75;Voggensperger Lars (2001);;2;58.0;3;48.0;-4;1.25;8.75

11f;Ris Jörn;;;;;;;;;;55.5
+;;;Lazic Marco (2000);;;;;;;;10.0
+;1;10.0;Grossmann Andreas;;15;54.5;1;10.0;0;0.0;10.0
o;1;20.0;Brun Samuel;**;6;56.75;6;18.5;5;-1.5;8.75
o;5;28.75;Vieira Tiago;**;10;55.75;7;28.25;2;-0.5;8.5
o;8;37.25;Anderegg David;*;13;55.0;10;36.75;2;-0.5;8.5
+;11;45.75;Nussbaumer Dominik;;16;54.25;12;45.5;1;-0.25;9.75

11g;Burkhardt Roy;;;;;;;;;;55.5
+;;;Senn Marco;;;;;;;;10.0
o;1;10.0;Kohler Adrian;;10;55.75;1;10.0;0;0.0;8.5
+;6;18.5;Vogel Remo (2001);*;20;53.0;10;17.25;4;-1.25;10.0
o;6;28.5;Schmid Samuel;**;7;56.5;7;28.25;1;-0.25;8.5
o;9;37.0;Schillig Willi;**;11;55.5;9;37.0;0;0.0;8.5
+;12;45.5;Hitz Florian;;17;54.0;12;45.5;0;0.0;10.0

11h;Jusufi Azret;;;;;;;;;;55.5
+;;;Burtschi Michael;;;;;;;;9.75
+;2;9.75;Stark Urban (2000);;31;8.5;5;8.5;3;-1.25;9.75
o;3;19.5;Erb Roger;**;6;56.75;6;18.5;3;-1.0;8.5
-;8;28.0;Hauri Urs;**;13;55.0;10;27.5;2;-0.5;8.75
-;10;36.75;Krebs Clemens;*;15;54.5;9;37.0;-1;0.25;8.75
+;12;45.5;Sempach Beat;;17;54.0;12;45.5;0;0.0;10.0

11i;Kocher Remo;**;;;;;;;;;55.5
+;;;Vogel Remo (2001);*;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;1;59.5;2;9.75;1;-0.25;8.5
+;6;18.5;Burren Patrick;;17;54.0;6;18.5;0;0.0;10.0
-;6;28.5;Leuthard Reto;**;11;55.5;6;28.5;0;0.0;8.75
+;8;37.25;Stoll Thomas;;13;55.0;7;37.5;-1;0.25;9.75
o;6;47.0;Studinger Stephan;**;6;56.75;7;46.75;1;-0.25;8.5

11j;Stoll Simon;**;;;;;;;;;55.5
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Burren Patrick;;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Roth Christian;;17;54.0;2;19.75;-5;1.5;9.75
-;8;28.0;Arnold Kornel;*;14;54.75;10;27.5;2;-0.5;9.0
+;9;37.0;Gschwind Andreas;;15;54.5;8;37.25;-1;0.25;9.75
-;7;46.75;Döbeli Lukas (2000);**;11;55.5;7;46.75;0;0.0;8.75

11k;Leuthard Reto;**;;;;;;;;;55.5
+;;;Brand Christian;**;;;;;;;10.0
-;1;10.0;Voggensperger Janic;**;5;57.0;2;9.75;1;-0.25;8.75
+;5;18.75;Schmutz Simon (2000);;6;56.75;1;20.0;-4;1.25;9.75
-;6;28.5;Kocher Remo;**;11;55.5;6;28.5;0;0.0;8.75
+;8;37.25;Büttler Adrian;;12;55.25;9;37.0;1;-0.25;9.75
o;6;47.0;Erb Roger;**;6;56.75;7;46.75;1;-0.25;8.5

11l;Döbeli Lukas (2000);**;;;;;;;;;55.5
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Schillig Willi;**;11;55.5;4;8.75;0;0.0;9.75
o;6;18.5;Widmer Tobias;**;5;57.0;7;18.25;1;-0.25;8.5
+;12;27.0;Regenass Beat;;15;54.5;10;27.5;-2;0.5;10.0
+;9;37.0;Streich Sascha (2001);;14;54.75;9;37.0;0;0.0;9.75
-;7;46.75;Stoll Simon;**;11;55.5;7;46.75;0;0.0;8.75

12a;Büttler Adrian;;;;;;;;;;55.25
+;;;Herrmann Adrian (2000);;;;;;;;10.0
+;1;10.0;Grieder Nonda;;12;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Schmid Samuel;**;7;56.5;6;18.5;4;-1.25;8.5
o;7;28.25;Mangold Martin;*;12;55.25;11;27.25;4;-1.0;8.75
o;9;37.0;Leuthard Reto;**;11;55.5;8;37.25;-1;0.25;8.5
+;12;45.5;Burren Patrick;;17;54.0;12;45.5;0;0.0;9.75

12b;Fritz Christian;;;;;;;;;;55.25
+;;;Geissberger Marc (2002);;;;;;;;10.0
o;1;10.0;Hitz Florian;;17;54.0;1;10.0;0;0.0;8.5
o;6;18.5;Widmer David;**;10;55.75;9;17.5;3;-1.0;8.5
o;12;27.0;Fricker Ivo;;19;53.5;13;26.75;1;-0.25;8.5
+;15;35.5;Bieri Florian (2001);;22;52.5;15;35.5;0;0.0;9.75
+;13;45.25;Burger Sandro (2001);;22;52.5;18;44.0;5;-1.25;10.0

12c;Bruder Adrian;;;;;;;;;;55.25
o;;;Eggimann Marco;;;;;;;;8.5
+;5;8.5;Brack Simon;;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Winiger Fabian;**;16;54.25;6;18.5;-1;0.25;8.5
+;13;26.75;Müller Christian;;24;51.25;16;25.75;3;-1.0;10.0
o;10;36.75;Räber Lukas;*;11;55.5;10;36.75;0;0.0;8.5
+;13;45.25;Bieri Florian (2001);;22;52.5;18;44.0;5;-1.25;10.0

12d;Grieder Nonda;;;;;;;;;;55.25
+;;;Fricker Ivo;;;;;;;;9.75
o;2;9.75;Büttler Adrian;;12;55.25;1;10.0;-1;0.25;8.5
+;7;18.25;Küng Marco;*;28;25.5;11;17.0;4;-1.25;10.0
o;7;28.25;Schwenkfelder Lukas;*;16;54.25;11;27.25;4;-1.0;8.5
o;10;36.75;Widmer David;**;10;55.75;13;36.0;3;-0.75;8.75
+;12;45.5;Nyffenegger Florian (2001);;17;54.0;12;45.5;0;0.0;9.75

12e;Mangold Martin;*;;;;;;;;;55.25
-;;;Studer Remo;*;;;;;;;8.75
o;4;8.75;Bader Andreas;**;26;27.25;3;9.0;-1;0.25;8.5
+;10;17.25;Sempach Beat;;17;54.0;6;18.5;-4;1.25;10.0
+;11;27.25;Büttler Adrian;;12;55.25;7;28.25;-4;1.0;9.75
o;9;37.0;Brand Christian;**;9;56.0;8;37.25;-1;0.25;8.5
+;12;45.5;Krebs Clemens;*;15;54.5;11;45.75;-1;0.25;9.75

13a;Scherrer Johann;**;;;;;;;;;55.0
-;;;Döbeli Lukas (2000);**;;;;;;;8.75
o;4;8.75;Studinger Stephan;**;6;56.75;4;8.75;0;0.0;8.75
+;9;17.5;Bieri Florian (2001);;22;52.5;6;18.5;-3;1.0;10.0
o;10;27.5;Hügli Kaj;**;9;56.0;10;27.5;0;0.0;8.75
+;12;36.25;Roth Christian;;17;54.0;9;37.0;-3;0.75;10.0
-;9;46.25;Vieira Tiago;**;10;55.75;6;47.0;-3;0.75;8.75

13b;Hauri Urs;**;;;;;;;;;55.0
-;;;Schaffner Samuel;**;;;;;;;8.75
-;4;8.75;Arnold Kornel;*;14;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Loosli Adrian;;18;53.75;7;18.25;-2;0.75;10.0
-;10;27.5;Jusufi Azret;;11;55.5;8;28.0;-2;0.5;8.75
+;12;36.25;Schwegler Dominik;;16;54.25;9;37.0;-3;0.75;10.0
-;9;46.25;Mangold Michael;**;14;54.75;10;46.0;1;-0.25;8.75

13c;Bearda Samuel;**;;;;;;;;;55.0
o;;;Waldner Patrick;**;;;;;;;8.5
o;5;8.5;Stoffel Marc;**;9;56.0;5;8.5;0;0.0;8.5
+;11;17.0;Bieli Andreas;;18;53.75;7;18.25;-4;1.25;9.75
+;13;26.75;Burtschi Michael;;14;54.75;13;26.75;0;0.0;9.75
+;11;36.5;Sempach Beat;;17;54.0;9;37.0;-2;0.5;10.0
o;8;46.5;Stalder Remo;***;6;56.75;7;46.75;-1;0.25;8.5

13d;Büttler Gian (2000);;;;;;;;;;55.0
o;;;Gisin Yanic;;;;;;;;8.5
o;5;8.5;Senn Marco;;21;52.75;5;8.5;0;0.0;8.5
+;11;17.0;Hermann Lukas (2002);;22;52.5;11;17.0;0;0.0;10.0
o;12;27.0;Räber Lukas;*;11;55.5;13;26.75;1;-0.25;8.5
+;15;35.5;Müller Christian;;24;51.25;18;34.25;3;-1.25;9.75
+;13;45.25;Fricker Ivo;;19;53.5;14;45.0;1;-0.25;9.75

13e;Stoll Thomas;;;;;;;;;;55.0
+;;;Schmid Justin (2002);;;;;;;;10.0
+;1;10.0;Nussbaumer Dominik;;16;54.25;1;10.0;0;0.0;10.0
o;1;20.0;Stoffel Marc;**;9;56.0;6;18.5;5;-1.5;8.5
-;6;28.5;Waldner Patrick;**;7;56.5;6;28.5;0;0.0;9.0
o;7;37.5;Kocher Remo;**;11;55.5;8;37.25;1;-0.25;8.5
-;10;46.0;Streich Sascha (2001);;14;54.75;11;45.75;1;-0.25;9.0

13f;Gisin Yanic;;;;;;;;;;55.0
+;;;Büttler Gian (2000);;;;;;;;9.75
o;2;9.75;Anderegg David;*;13;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Müller Christian;;24;51.25;11;17.0;4;-1.25;9.75
o;8;28.0;Schaffner Samuel;**;10;55.75;11;27.25;3;-0.75;8.5
o;11;36.5;Kohler Adrian;;10;55.75;9;37.0;-2;0.5;8.5
+;14;45.0;Hermann Lukas (2002);;22;52.5;18;44.0;4;-1.0;10.0

13g;Gerber Andrj (2000);*;;;;;;;;;55.0
-;;;Widmer David;**;;;;;;;9.0
-;3;9.0;Vogel Remo (2001);*;20;53.0;5;8.5;2;-0.5;9.0
+;8;18.0;Furrer Mathias;;18;53.75;7;18.25;-1;0.25;9.75
-;9;27.75;Studer Remo;*;11;55.5;11;27.25;2;-0.5;8.75
+;11;36.5;Lisser Beat;*;18;53.75;12;36.25;1;-0.25;9.75
-;9;46.25;Kohler Adrian;;10;55.75;6;47.0;-3;0.75;8.75

13h;Rüegger Aaron;*;;;;;;;;;55.0
+;;;Krebs Clemens;*;;;;;;;9.75
o;2;9.75;Waldner Patrick;**;7;56.5;1;10.0;-1;0.25;8.5
