4045-2018-06-03_97_Urner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;111.75
+;3;9.75;Durrer Fabian;*;11;55.75;2;10.0;-1;0.25;9.75
-;4;19.5;Scheuber Lutz;**;8;56.5;5;19.0;1;-0.5;9.0
+;7;28.5;Lemmenmeier Lukas;*;13;55.25;7;28.5;0;0.0;9.75
o;5;38.25;Ambühl Joel;*;8;56.5;6;38.0;1;-0.25;8.75
+;10;47.0;Lagler Christian;;11;55.75;10;47.0;0;0.0;10.0

6e;Kempf Elias;**;;;;;;;;;57.0
-;;;Muff Armin;**;;;;;;;8.75
+;5;8.75;Stucki Christian;*;29;27.0;5;8.75;0;0.0;10.0
+;6;18.75;Scherrer Fabian (2002);;12;55.5;2;20.0;-4;1.25;10.0
-;6;28.75;Fankhauser Reto;**;6;57.0;6;28.75;0;0.0;8.75
+;8;37.5;Ming Christian 2;;12;55.5;5;38.25;-3;0.75;9.75
+;9;47.25;Durrer Fabian;*;11;55.75;9;47.25;0;0.0;9.75

6f;Fankhauser Reto;**;;;;;;;;;57.0
+;;;Elsener Peter;**;;;;;;;10.0
o;2;10.0;Imhof Andi;***;3;58.25;6;8.5;4;-1.5;8.75
+;6;18.75;Reichmuth Roland;;5;57.25;2;20.0;-4;1.25;10.0
-;6;28.75;Kempf Elias;**;6;57.0;6;28.75;0;0.0;8.75
+;8;37.5;Durrer Robin;;8;56.5;6;38.0;-2;0.5;9.75
+;9;47.25;Bucher Christian;*;13;55.25;12;46.5;3;-0.75;9.75

6g;Gassmann Michael;*;;;;;;;;;57.0
+;;;Hess Michael;*;;;;;;;9.75
+;3;9.75;Waser Reto;*;8;56.5;3;9.75;0;0.0;10.0
o;3;19.75;Wicki Joel;**;2;59.25;3;19.75;0;0.0;8.5
-;8;28.25;Hürlimann Mathias (2000);;7;56.75;4;29.5;-4;1.25;8.75
+;10;37.0;Steiner Severin (2001);;11;55.75;9;37.25;-1;0.25;10.0
+;10;47.0;Betschart Michael;;15;54.75;13;46.25;3;-0.75;10.0

6h;Waser Dominik;**;;;;;;;;;57.0
-;;;Zurﬂuh Roman;**;;;;;;;8.75
-;5;8.75;Arnold Fabian;*;16;54.5;5;8.75;0;0.0;8.75
+;11;17.5;Gander Martin;;17;54.25;7;18.5;-4;1.0;10.0
+;11;27.5;Eﬃnger Peter;;17;54.25;12;27.25;1;-0.25;10.0
+;8;37.5;Hirsiger Alexander;*;15;54.75;8;37.5;0;0.0;9.75
+;9;47.25;Kälin Roland;**;12;55.5;10;47.0;1;-0.25;9.75

6i;Portmann Josef;*;;;;;;;;;57.0
-;;;Murer Andy;**;;;;;;;8.75
+;5;8.75;Gwerder Andreas;*;16;54.5;6;8.5;1;-0.25;10.0
+;6;18.75;Beffa Mario;;11;55.75;6;18.75;0;0.0;9.75
+;7;28.5;Waser Reto;*;8;56.5;8;28.25;1;-0.25;10.0
o;4;38.5;Gander Adrian;*;4;57.5;4;38.5;0;0.0;8.5
+;10;47.0;Heinzer Josef;;13;55.25;11;46.75;1;-0.25;10.0

7a;Hurschler Thomas;**;;;;;;;;;56.75
+;;;Egli Damian;**;;;;;;;10.0
+;2;10.0;Arnold Severin;*;11;55.75;2;10.0;0;0.0;9.75
-;3;19.75;Kessler Joel;*;13;55.25;5;19.0;2;-0.75;8.75
+;7;28.5;Betschart Michael;;15;54.75;5;29.0;-2;0.5;10.0
o;4;38.5;Wicki Joel;**;2;59.25;2;39.5;-2;1.0;8.5
+;10;47.0;Suter Beat;;13;55.25;11;46.75;1;-0.25;9.75

7b;Hasler Florian;**;;;;;;;;;56.75
-;;;Zimmermann Martin;**;;;;;;;8.75
+;5;8.75;Elsener Marcel;*;13;55.25;6;8.5;1;-0.25;9.75
+;7;18.5;Wyrsch Hansi;;22;52.75;6;18.75;-1;0.25;9.75
+;8;28.25;Zürcher Ueli (2000);;14;55.0;4;29.5;-4;1.25;10.0
o;5;38.25;Imhof Andi;***;3;58.25;5;38.25;0;0.0;8.5
+;11;46.75;Muff Armin;**;13;55.25;11;46.75;0;0.0;10.0

7c;Arnold Stefan;**;;;;;;;;;56.75
-;;;Gwerder Guido;**;;;;;;;9.0
+;4;9.0;Felder Seppi;*;11;55.75;6;8.5;2;-0.5;9.75
+;6;18.75;Della Torre Simon;;11;55.75;6;18.75;0;0.0;9.75
o;7;28.5;Kurmann Toni;*;4;57.5;7;28.5;0;0.0;8.5
+;10;37.0;Wyrsch Silvio;*;18;54.0;10;37.0;0;0.0;9.75
+;11;46.75;Heinzer Ronny;*;13;55.25;11;46.75;0;0.0;10.0

7d;Schuler Philipp;**;;;;;;;;;56.75
-;;;Gloggner Philipp;***;;;;;;;8.75
+;5;8.75;Stöckli Damian;*;10;56.0;4;9.0;-1;0.25;9.75
+;7;18.5;Baumann Marco;;16;54.5;6;18.75;-1;0.25;10.0
+;7;28.5;Durrer Fabian;*;11;55.75;7;28.5;0;0.0;9.75
o;5;38.25;Wyrsch Marco;**;7;56.75;5;38.25;0;0.0;8.5
+;11;46.75;Ottiger Lukas;;8;56.5;6;48.0;-5;1.25;10.0

7e;Zurﬂuh Roman;**;;;;;;;;;56.75
-;;;Waser Dominik;**;;;;;;;8.75
+;5;8.75;Hösli Fritz;*;12;55.5;5;8.75;0;0.0;9.75
+;7;18.5;Brunner Timon;;21;53.0;6;18.75;-1;0.25;10.0
+;7;28.5;Durrer Robin;;8;56.5;4;29.5;-3;1.0;9.75
-;5;38.25;Scheuber Lutz;**;8;56.5;6;38.0;1;-0.25;8.75
+;10;47.0;Kälin Remo;*;14;55.0;12;46.5;2;-0.5;9.75

7f;Hürlimann Mathias (2000);;;;;;;;;;56.75
+;;;Arnold Samuel (2001);;;;;;;;9.75
+;3;9.75;Wyrsch Gabriel (2001);;18;54.0;2;10.0;-1;0.25;9.75
+;4;19.5;Hegner Ueli;*;18;54.0;8;18.25;4;-1.25;10.0
-;4;29.5;Gassmann Michael;*;6;57.0;8;28.25;4;-1.25;8.75
o;5;38.25;Fellmann Roman;*;9;56.25;7;37.75;2;-0.5;8.5
+;11;46.75;Ming Christian 2;;12;55.5;11;46.75;0;0.0;10.0

7g;Zgraggen Fabian;*;;;;;;;;;56.75
+;;;Elsener Marcel;*;;;;;;;9.75
-;3;9.75;Käslin Ruedi;*;11;55.75;3;9.75;0;0.0;8.75
+;7;18.5;Weber Ivo;;11;55.75;6;18.75;-1;0.25;10.0
+;7;28.5;Suter Beat;;13;55.25;7;28.5;0;0.0;10.0
o;4;38.5;Baumann Roger;*;4;57.5;3;38.75;-1;0.25;8.5
+;10;47.0;Gander Michael;;14;55.0;12;46.5;2;-0.5;9.75

7h;Wyrsch Marco;**;;;;;;;;;56.75
o;;;Heinzer Stefan;**;;;;;;;8.5
+;6;8.5;Graber Michael;*;16;54.5;5;8.75;-1;0.25;10.0
+;7;18.5;Mignola Michele (2000);;21;53.0;6;18.75;-1;0.25;10.0
+;7;28.5;Heinzer Ronny;*;13;55.25;7;28.5;0;0.0;9.75
+;5;38.25;Schuler Philipp;**;7;56.75;5;38.25;0;0.0;9.75
-;6;48.0;Ambühl Joel;*;8;56.5;7;47.75;1;-0.25;8.75

8a;Ottiger Lukas;;;;;;;;;;56.5
+;;;Eﬃnger Peter;;;;;;;;10.0
o;2;10.0;Kessler Joel;*;13;55.25;4;9.0;2;-1.0;8.5
+;7;18.5;Herger Simon 1 (2002);;29;27.0;7;18.5;0;0.0;9.75
+;8;28.25;Bucher Roland;*;11;55.75;11;27.5;3;-0.75;9.75
+;6;38.0;Ming Christian;*;16;54.5;9;37.25;3;-0.75;10.0
o;6;48.0;Schuler Philipp;**;7;56.75;11;46.75;5;-1.25;8.5

8b;Durrer Robin;;;;;;;;;;56.5
+;;;Wicki Patrick;;;;;;;;9.75
+;3;9.75;Wetzstein Adrian;*;30;26.0;5;8.75;2;-1.0;10.0
+;3;19.75;Lustenberger Florian (2002);;16;54.5;5;19.0;2;-0.75;9.75
o;4;29.5;Zurﬂuh Roman;**;7;56.75;7;28.5;3;-1.0;8.5
o;6;38.0;Fankhauser Reto;**;6;57.0;8;37.5;2;-0.5;8.75
+;11;46.75;Bucher Thomas;;14;55.0;12;46.5;1;-0.25;9.75

8c;Waser Reto;*;;;;;;;;;56.5
+;;;Widmer Adrian;*;;;;;;;9.75
o;3;9.75;Gassmann Michael;*;6;57.0;3;9.75;0;0.0;8.5
+;8;18.25;Gabriel Christian (2000);;23;35.5;7;18.5;-1;0.25;10.0
o;8;28.25;Portmann Josef;*;6;57.0;7;28.5;-1;0.25;8.5
+;11;36.75;Wyrsch Gabriel (2001);;18;54.0;10;37.0;-1;0.25;10.0
+;11;46.75;Zürcher Ueli (2000);;14;55.0;12;46.5;1;-0.25;9.75

8d;Scheuber Lutz;**;;;;;;;;;56.5
-;;;Höﬂiger Andreas;**;;;;;;;9.0
+;4;9.0;Schuler Daniel;*;13;55.25;4;9.0;0;0.0;10.0
-;5;19.0;Zurﬂuh Michael;*;6;57.0;4;19.5;-1;0.5;9.0
+;9;28.0;Bürgi Tobias;;15;54.75;6;28.75;-3;0.75;10.0
-;6;38.0;Zurﬂuh Roman;**;7;56.75;5;38.25;-1;0.25;8.75
+;11;46.75;Bachmann Roger;*;11;55.75;9;47.25;-2;0.5;9.75

8e;Herger Fabian;*;;;;;;;;;56.5
-;;;Kessler Joel;*;;;;;;;9.0
+;4;9.0;Baumann Lukas;;23;35.5;3;9.75;-1;0.75;9.75
+;6;18.75;Burch Jonas;*;15;54.75;6;18.75;0;0.0;9.75
o;7;28.5;Egli Damian;**;8;56.5;8;28.25;1;-0.25;8.5
+;10;37.0;Lemmenmeier Lukas;*;13;55.25;10;37.0;0;0.0;9.75
+;11;46.75;Scherrer Fabian (2002);;12;55.5;10;47.0;-1;0.25;9.75

8f;Ambühl Joel;*;;;;;;;;;56.5
+;;;Gwerder Michael (2000);*;;;;;;;10.0
o;2;10.0;Heinzer Stefan;**;1;111.75;1;19.0;-1;9.0;8.5
+;7;18.5;Stutzer Michael;;23;35.5;7;18.5;0;0.0;9.75
+;8;28.25;Kälin Remo;*;14;55.0;10;27.75;2;-0.5;9.75
+;6;38.0;Zurﬂuh Michael;*;6;57.0;5;38.25;-1;0.25;9.75
-;7;47.75;Wyrsch Marco;**;7;56.75;6;48.0;-1;0.25;8.75

8g;Bättig Martin;*;;;;;;;;;56.5
-;;;Arnold Andreas;*;;;;;;;9.0
+;4;9.0;Ettlin Martin;;10;56.0;3;9.75;-1;0.75;10.0
o;5;19.0;Imhof Andi;***;3;58.25;8;18.25;3;-0.75;8.5
+;11;27.5;Zanini David (2000);;17;54.25;8;28.25;-3;0.75;10.0
-;8;37.5;Reichmuth Roland;;5;57.25;5;38.25;-3;0.75;9.0
+;12;46.5;Elsener Peter;**;13;55.25;11;46.75;-1;0.25;10.0

8h;Egli Damian;**;;;;;;;;;56.5
o;;;Hurschler Thomas;**;;;;;;;8.5
+;6;8.5;Kälin Remo;*;14;55.0;4;9.0;-2;0.5;9.75
+;8;18.25;Hurschler Adrian;;14;55.0;10;17.75;2;-0.5;10.0
+;8;28.25;Herger Fabian;*;8;56.5;7;28.5;-1;0.25;9.75
+;6;38.0;Heinzer Stefan;*;1;111.75;1;75.75;-5;37.75;10.0
o;6;48.0;Imhof Andi;***;3;58.25;5;48.25;-1;0.25;8.5

9a;Fellmann Roman;*;;;;;;;;;56.25
+;;;Odermatt Remo;*;;;;;;;9.75
-;3;9.75;Burch Jonas;*;15;54.75;2;10.0;-1;0.25;9.0
-;6;18.75;Betschart Michael;;15;54.75;2;20.0;-4;1.25;9.0
+;10;27.75;Arnold Andreas;*;10;56.0;11;27.5;1;-0.25;10.0
+;7;37.75;Hürlimann Mathias (2000);;7;56.75;5;38.25;-2;0.5;10.0
o;7;47.75;Herger Matthias;**;5;57.25;8;47.5;1;-0.25;8.5

9b;Odermatt Remo;*;;;;;;;;;56.25
o;;;Fellmann Roman;*;;;;;;;8.5
-;6;8.5;Thalmann Adrian;;12;55.5;3;9.75;-3;1.25;8.75
+;12;17.25;Wyrsch Gabriel (2001);;18;54.0;7;18.5;-5;1.25;10.0
-;12;27.25;Schuler Alex;***;14;55.0;11;27.5;-1;0.25;9.0
+;13;36.25;von Euw Lukas (2002);;17;54.25;11;36.75;-2;0.5;10.0
+;13;46.25;Streiff Dominik;*;15;54.75;13;46.25;0;0.0;10.0

10a;Widmer Adrian;*;;;;;;;;;56.0
o;;;Waser Reto;*;;;;;;;8.75
-;5;8.75;Bieri Christian;**;6;57.0;5;8.75;0;0.0;8.75
+;11;17.5;von Flüe Michael;;17;54.25;7;18.5;-4;1.0;9.75
-;12;27.25;Gwerder Guido;**;10;56.0;10;27.75;-2;0.5;8.75
+;14;36.0;Albert Thomas;;17;54.25;11;36.75;-3;0.75;10.0
+;14;46.0;Durrer Lukas;;16;54.5;14;46.0;0;0.0;10.0

10b;Gwerder Guido;**;;;;;;;;;56.0
-;;;Arnold Stefan;**;;;;;;;9.0
-;4;9.0;Lussi Marco;*;15;54.75;5;8.75;1;-0.25;9.0
+;9;18.0;Fellmann Simon;;20;53.5;6;18.75;-3;0.75;9.75
-;10;27.75;Widmer Adrian;*;10;56.0;12;27.25;2;-0.5;8.75
+;12;36.5;Gisler Jonas (2001);;18;54.0;10;37.0;-2;0.5;9.75
+;13;46.25;Lang Sven;*;14;55.0;13;46.25;0;0.0;9.75

10c;Arnold Andreas;*;;;;;;;;;56.0
-;;;Bättig Martin;*;;;;;;;8.75
+;5;8.75;Elsener Manuel;;16;54.5;2;10.0;-3;1.25;9.75
-;7;18.5;Bürgi Tobias;;15;54.75;3;19.75;-4;1.25;9.0
o;11;27.5;Fellmann Roman;*;9;56.25;10;27.75;-1;0.25;8.5
+;14;36.0;Vogler Jonas;;19;53.75;12;36.5;-2;0.5;10.0
+;14;46.0;Graber Michael;*;16;54.5;14;46.0;0;0.0;10.0

10d;Ettlin Martin;;;;;;;;;;56.0
+;;;Stadler Johannes;;;;;;;;9.75
o;3;9.75;Bättig Martin;*;8;56.5;4;9.0;1;-0.75;8.75
o;7;18.5;Suter Beat;;13;55.25;7;18.5;0;0.0;8.5
+;13;27.0;Jauch Marco (2002);;24;35.25;14;26.75;1;-0.25;10.0
+;10;37.0;Huber Alex;*;12;55.5;10;37.0;0;0.0;10.0
-;10;47.0;Heinzer Stefan;*;1;111.75;1;93.0;-9;46.0;9.0

10e;Arnold Raphael;*;;;;;;;;;56.0
-;;;Lang Sven;*;;;;;;;8.75
+;5;8.75;Höﬂiger Andreas;**;6;57.0;5;8.75;0;0.0;9.75
+;7;18.5;Heinzer Josef;;13;55.25;7;18.5;0;0.0;10.0
+;7;28.5;Huber Alex;*;12;55.5;7;28.5;0;0.0;9.75
-;5;38.25;Heinzer Stefan;**;1;111.75;1;75.75;-4;37.5;8.75
-;10;47.0;Kessler Joel;*;13;55.25;13;46.25;3;-0.75;9.0

10f;Stöckli Damian;*;;;;;;;;;56.0
-;;;Schuler Daniel;*;;;;;;;9.0
o;4;9.0;Schuler Philipp;**;7;56.75;5;8.75;1;-0.25;8.5
+;11;17.5;Vogler Jakob (2000);;23;35.5;7;18.5;-4;1.0;10.0
+;11;27.5;Meier Daniel (2000);;19;53.75;8;28.25;-3;0.75;10.0
o;8;37.5;Kälin Roland;**;12;55.5;9;37.25;1;-0.25;8.5
+;14;46.0;Ming Hannes;;16;54.5;14;46.0;0;0.0;10.0

10g;Gwerder Michael (2000);*;;;;;;;;;56.0
o;;;Ambühl Joel;*;;;;;;;8.5
-;6;8.5;Muff Armin;**;13;55.25;5;8.75;-1;0.25;9.0
+;11;17.5;Vogel Laurin (2002);;23;35.5;7;18.5;-4;1.0;10.0
-;11;27.5;Gloggner Philipp;***;11;55.75;11;27.5;0;0.0;8.75
+;13;36.25;von Ah Markus;;19;53.75;13;36.25;0;0.0;10.0
+;13;46.25;Amgarten Martin;*;15;54.75;13;46.25;0;0.0;9.75

11a;Della Torre Simon;;;;;;;;;;55.75
-;;;Hurschler Adrian;;;;;;;;8.75
+;5;8.75;Ulrich Damian;;19;53.75;6;8.5;1;-0.25;10.0
o;6;18.75;Arnold Stefan;**;7;56.75;6;18.75;0;0.0;8.5
-;12;27.25;Hösli Fritz;*;12;55.5;13;27.0;1;-0.25;8.75
+;14;36.0;Wyss Sven (2001);;23;35.5;16;35.5;2;-0.5;10.0
+;14;46.0;Elsener Manuel;;16;54.5;14;46.0;0;0.0;9.75

11b;Schürpf Bruno;*;;;;;;;;;55.75
-;;;Rohrer Beat;*;;;;;;;8.75
o;5;8.75;Zimmermann Martin;**;12;55.5;5;8.75;0;0.0;8.5
+;12;17.25;Herger Simon;;23;35.5;8;18.25;-4;1.0;10.0
+;12;27.25;Wyrsch Hansi;;22;52.75;12;27.25;0;0.0;10.0
o;9;37.25;Gloggner Philipp;***;11;55.75;13;36.25;4;-1.0;8.5
+;15;45.75;von Wyl Simon;;19;53.75;17;45.25;2;-0.5;10.0

11c;Lagler Christian;;;;;;;;;;55.75
+;;;Gasser Dominik 2;;;;;;;;9.75
+;3;9.75;Doppmann Ueli;;11;55.75;2;10.0;-1;0.25;9.75
-;4;19.5;Zimmermann Martin;**;12;55.5;6;18.75;2;-0.75;9.0
o;7;28.5;Ming Christian;*;16;54.5;11;27.5;4;-1.0;8.5
+;10;37.0;Hürlimann Marco (2002);;19;53.75;11;36.75;1;-0.25;10.0
o;10;47.0;Zurﬂuh Michael;*;6;57.0;10;47.0;0;0.0;8.75

11d;Bachmann Roger;*;;;;;;;;;55.75
-;;;Bucher Roland;*;;;;;;;8.75
+;5;8.75;Villiger Cyrill;*;12;55.5;6;8.5;1;-0.25;9.75
+;7;18.5;Ming Hannes;;16;54.5;5;19.0;-2;0.5;9.75
-;8;28.25;Elsener Manuel;;16;54.5;7;28.5;-1;0.25;9.0
+;9;37.25;Bürgi Tobias;;15;54.75;9;37.25;0;0.0;10.0
o;9;47.25;Scheuber Lutz;**;8;56.5;11;46.75;2;-0.5;8.5

11e;Weber Ivo;;;;;;;;;;55.75
-;;;von Ah Markus;;;;;;;;8.75
+;5;8.75;Gisler Noah (2002);;21;53.0;4;9.0;-1;0.25;10.0
o;6;18.75;Zgraggen Fabian;*;7;56.75;7;18.5;1;-0.25;8.5
o;12;27.25;Wyrsch Silvio;*;18;54.0;13;27.0;1;-0.25;8.75
+;14;36.0;Wyrsch Hansi;;22;52.75;15;35.75;1;-0.25;9.75
+;15;45.75;Wyrsch Gabriel (2001);;18;54.0;16;45.5;1;-0.25;10.0

11f;Bucher Roland;*;;;;;;;;;55.75
-;;;Bachmann Roger;*;;;;;;;8.75
-;5;8.75;Lang Sven;*;14;55.0;5;8.75;0;0.0;9.0
+;10;17.75;Herger Marco (2002);;23;35.5;7;18.5;-3;0.75;9.75
o;11;27.5;Ottiger Lukas;;8;56.5;8;28.25;-3;0.75;8.5
+;14;36.0;Spichtig Aldo;;18;54.0;15;35.75;1;-0.25;9.75
+;15;45.75;Gwerder Andreas;*;16;54.5;15;45.75;0;0.0;10.0

11g;Felder Seppi;*;;;;;;;;;55.75
o;;;Burch Jonas;*;;;;;;;8.5
o;6;8.5;Arnold Stefan;**;7;56.75;4;9.0;-2;0.5;8.5
+;13;17.0;Vogler Jonas;;19;53.75;8;18.25;-5;1.25;10.0
+;13;27.0;Ziegler Moritz;;17;54.25;11;27.5;-2;0.5;10.0
+;10;37.0;Ulrich Marco;*;13;55.25;11;36.75;1;-0.25;9.75
-;11;46.75;Schuler Daniel;*;13;55.25;13;46.25;2;-0.5;9.0

11h;Arnold Severin;*;;;;;;;;;55.75
+;;;Ulrich Marco;*;;;;;;;10.0
o;2;10.0;Hurschler Thomas;**;7;56.75;2;10.0;0;0.0;8.5
-;7;18.5;Spichtig Aldo;;18;54.0;7;18.5;0;0.0;8.75
o;12;27.25;Höﬂiger Andreas;**;6;57.0;12;27.25;0;0.0;8.5
+;15;35.75;Lustenberger Florian (2002);;16;54.5;14;36.0;-1;0.25;10.0
+;15;45.75;Mignola Lorenzo;;17;54.25;15;45.75;0;0.0;10.0

11i;Gloggner Philipp;***;;;;;;;;;55.75
-;;;Schuler Philipp;**;;;;;;;8.75
-;5;8.75;Baumann Roger;*;4;57.5;2;10.0;-3;1.25;8.75
+;11;17.5;Hegner Ueli;*;18;54.0;8;18.25;-3;0.75;10.0
-;11;27.5;Gwerder Michael (2000);*;10;56.0;11;27.5;0;0.0;8.75
+;13;36.25;Schürpf Bruno;*;11;55.75;9;37.25;-4;1.0;9.75
+;14;46.0;Rohrer Beat;*;16;54.5;14;46.0;0;0.0;9.75

11j;Käslin Ruedi;*;;;;;;;;;55.75
+;;;Gwerder Andreas;*;;;;;;;9.75
-;3;9.75;Zgraggen Fabian;*;7;56.75;3;9.75;0;0.0;8.75
-;7;18.5;Baumann Lukas;;23;35.5;8;18.25;1;-0.25;8.75
+;12;27.25;Fellmann Simon;;20;53.5;11;27.5;-1;0.25;9.75
-;10;37.0;Betschart Michael;;15;54.75;8;37.5;-2;0.5;8.75
+;15;45.75;Wyrsch Silvio;*;18;54.0;16;45.5;1;-0.25;10.0

11k;Beffa Mario;;;;;;;;;;55.75
-;;;Fellmann Simon;;;;;;;;8.75
+;5;8.75;Bürlimann Simo (2002);;31;17.25;5;8.75;0;0.0;10.0
o;6;18.75;Portmann Josef;*;6;57.0;6;18.75;0;0.0;8.5
