3395-2016-07-31_Bruenigschwinget-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
o;6;47.5;Nötzli Bruno;***;5;56.75;8;47.0;2;-0.5;8.5

8e;Mathis Marcel;***;;;;;;;;;56.0
-;;;Moser Michael;**;;;;;;;9.0
+;3;9.0;Kropf Rolf;**;14;54.5;1;10.0;-2;1.0;9.75
-;5;18.75;Kämpf Alexander;**;6;56.5;5;18.75;0;0.0;8.75
+;8;27.5;Cropt Harald;**;16;54.0;10;27.0;2;-0.5;10.0
o;8;37.5;Kämpf Bernhard;***;2;57.5;4;38.5;-4;1.0;8.5
+;12;46.0;Borcard Johann;**;14;54.5;12;46.0;0;0.0;10.0

9a;Stöckli Stefan;**;;;;;;;;;55.75
+;;;Habegger Heinz;**;;;;;;;10.0
o;1;10.0;von Büren Stephan;*;15;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Cropt Harald;**;16;54.0;6;18.5;0;0.0;10.0
-;4;28.5;Gasser Stefan;**;10;55.5;6;28.0;2;-0.5;8.75
+;9;37.25;Gapany Benjamin;**;23;45.5;10;37.0;1;-0.25;10.0
o;7;47.25;Glarner Matthias;***;3;57.25;6;47.5;-1;0.25;8.5

9b;Roschi Ruedi;**;;;;;;;;;55.75
+;;;Suppiger René;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;24;44.5;4;8.75;3;-1.25;8.5
+;6;18.5;Reichmuth Marco;**;16;54.0;5;18.75;-1;0.25;9.75
-;5;28.25;Gloggner Philipp;***;9;55.75;8;27.5;3;-0.75;8.75
o;10;37.0;Gwerder Guido;**;7;56.25;9;37.25;-1;0.25;8.75
+;13;45.75;Betschart Remo;**;15;54.25;13;45.75;0;0.0;10.0

9c;Scheuber Lutz;**;;;;;;;;;55.75
-;;;Reusser Philipp;**;;;;;;;8.75
+;4;8.75;Weyermann Michael;*;29;34.5;4;8.75;0;0.0;10.0
+;5;18.75;Cardinaux Victor;**;15;54.25;6;18.5;1;-0.25;10.0
o;3;28.75;Sempach Thomas;***;1;58.5;1;29.75;-2;1.0;8.5
+;9;37.25;Küttel Pirmin;**;10;55.5;9;37.25;0;0.0;10.0
o;7;47.25;Laimbacher Philipp;***;7;56.25;11;46.25;4;-1.0;8.5

9d;Gloggner Philipp;***;;;;;;;;;55.75
+;;;Mathys Simon;**;;;;;;;10.0
-;1;10.0;Kämpf Bernhard;***;2;57.5;2;9.75;1;-0.25;8.75
-;5;18.75;Gerber Christian;**;4;57.0;5;18.75;0;0.0;8.75
-;8;27.5;Roschi Ruedi;**;9;55.75;5;28.25;-3;0.75;8.75
+;13;36.25;Rolli Martin;**;15;54.25;10;37.0;-3;0.75;9.75
+;12;46.0;Schenkel Adrian;**;15;54.25;13;45.75;1;-0.25;9.75

9e;Kennel Stefan;**;;;;;;;;;55.75
-;;;Berger René;**;;;;;;;8.75
-;4;8.75;Steffen Gustav;*;8;56.0;5;8.5;1;-0.25;9.0
+;8;17.75;Röthlisberger Simon;**;10;55.5;10;17.25;2;-0.5;9.75
+;8;27.5;Michel Jonas;*;19;53.25;9;27.25;1;-0.25;9.75
+;9;37.25;Egli Damian;**;21;52.75;15;35.75;6;-1.5;10.0
o;7;47.25;Sempach Matthias;***;4;57.0;7;47.25;0;0.0;8.5

9f;von Weissenfluh Kilian;*;;;;;;;;;55.75
-;;;Herger Fabian;*;;;;;;;8.75
+;4;8.75;Gwerder Andreas;*;31;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Schuler Alex;**;10;55.5;9;17.5;3;-1.0;8.5
+;10;27.0;Reichmuth Marco;**;16;54.0;9;27.25;-1;0.25;10.0
+;10;37.0;Bernhard Lukas;*;11;55.25;10;37.0;0;0.0;9.75
-;9;46.75;Vogel Remo;**;10;55.5;10;46.5;1;-0.25;9.0

10a;Schuler Alex;**;;;;;;;;;55.5
-;;;Zaugg Thomas;***;;;;;;;8.75
-;4;8.75;Mathys Simon;**;8;56.0;5;8.5;1;-0.25;8.75
+;9;17.5;von Weissenfluh Kilian;*;9;55.75;6;18.5;-3;1.0;10.0
+;8;27.5;Habegger Heinz;**;16;54.0;10;27.0;2;-0.5;9.75
o;9;37.25;Gerber Christian;**;4;57.0;9;37.25;0;0.0;8.5
+;13;45.75;Steffen Konrad;*;16;54.0;14;45.5;1;-0.25;9.75

10b;Röthlisberger Simon;**;;;;;;;;;55.5
o;;;Gasser Stefan;**;;;;;;;8.75
o;4;8.75;Grab Martin;***;10;55.5;5;8.5;1;-0.25;8.5
o;10;17.25;Kennel Stefan;**;9;55.75;8;17.75;-2;0.5;8.5
+;15;25.75;Gwerder Andreas;*;31;34.0;16;25.5;1;-0.25;10.0
+;15;35.75;Reichmuth Marco;**;16;54.0;15;35.75;0;0.0;10.0
+;13;45.75;Imfeld Peter;***;15;54.25;13;45.75;0;0.0;9.75

10c;Grab Martin;***;;;;;;;;;55.5
o;;;Kämpf Bernhard;***;;;;;;;8.5
+;5;8.5;Röthlisberger Simon;**;10;55.5;4;8.75;-1;0.25;9.75
+;7;18.25;Gapany Benjamin;**;23;45.5;5;18.75;-2;0.5;10.0
o;5;28.25;Zaugg Thomas;***;3;57.25;4;28.5;-1;0.25;8.5
-;11;36.75;Piemontesi Pascal;**;13;54.75;9;37.25;-2;0.5;8.75
+;14;45.5;Habegger Heinz;**;16;54.0;14;45.5;0;0.0;10.0

10d;Gloggner Reto;**;;;;;;;;;55.5
+;;;Urfer Simon;*;;;;;;;10.0
-;1;10.0;Piemontesi Pascal;**;13;54.75;3;9.0;2;-1.0;8.75
+;5;18.75;Sommer Roman;*;11;55.25;5;18.75;0;0.0;9.75
o;4;28.5;Laimbacher Philipp;***;7;56.25;8;27.5;4;-1.0;8.5
+;10;37.0;Borcard Johann;**;14;54.5;8;37.5;-2;0.5;10.0
o;8;47.0;Wenger Kilian;***;3;57.25;7;47.25;-1;0.25;8.5

10e;Vogel Remo;**;;;;;;;;;55.5
-;;;Schenkel Adrian;**;;;;;;;9.0
-;3;9.0;Kämpf Alexander;**;6;56.5;1;10.0;-2;1.0;8.75
+;8;17.75;Schletti Andreas (1998);*;26;35.25;11;17.0;3;-0.75;10.0
-;7;27.75;Schenkel Remo;*;20;53.0;10;27.0;3;-0.75;9.0
+;11;36.75;Zenger Niklaus;***;17;53.75;12;36.5;1;-0.25;9.75
-;10;46.5;von Weissenfluh Kilian;*;9;55.75;9;46.75;-1;0.25;9.0

10f;Graber Michael;*;;;;;;;;;55.5
+;;;Bütikofer Lukas;*;;;;;;;10.0
o;1;10.0;Rolli Martin;**;15;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Mathys Simon;**;8;56.0;10;17.25;4;-1.25;8.5
+;10;27.0;Glauser Daniel;*;20;53.0;10;27.0;0;0.0;10.0
o;10;37.0;Britschgi Melk;**;11;55.25;10;37.0;0;0.0;8.5
+;14;45.5;Zenger Niklaus;***;17;53.75;15;45.0;1;-0.5;10.0

10g;Gasser Stefan;**;;;;;;;;;55.5
+;;;Röthlisberger Simon;**;;;;;;;9.75
+;2;9.75;Dousse Michel;**;20;53.0;2;9.75;0;0.0;9.75
o;3;19.5;Sempach Thomas;***;1;58.5;2;19.75;-1;0.25;8.5
-;6;28.0;Stöckli Stefan;**;9;55.75;4;28.5;-2;0.5;8.75
+;11;36.75;Studer Stefan;**;13;54.75;14;36.0;3;-0.75;10.0
o;9;46.75;Steinauer Adrian;**;6;56.5;9;46.75;0;0.0;8.75

10h;Kenel Franz-Toni;*;;;;;;;;;55.5
+;;;Schletti Andreas (1998);*;;;;;;;10.0
+;1;10.0;Gehrig Philipp;**;26;35.25;3;9.0;2;-1.0;9.75
o;2;19.75;Glarner Matthias;***;3;57.25;5;18.75;3;-1.0;8.5
o;5;28.25;Borcard Johann;**;14;54.5;7;27.75;2;-0.5;8.75
-;10;37.0;Hurschler Thomas;**;14;54.5;10;37.0;0;0.0;8.75
+;13;45.75;von Büren Stephan;*;15;54.25;13;45.75;0;0.0;9.75

10i;Küttel Pirmin;**;;;;;;;;;55.5
+;;;Heiniger Michael;*;;;;;;;9.75
+;2;9.75;Brodard Augustin;**;20;53.0;2;9.75;0;0.0;10.0
-;2;19.75;Borcard Johann;**;14;54.5;4;19.0;2;-0.75;9.0
o;3;28.75;Sempach Matthias;***;4;57.0;8;27.5;5;-1.25;8.5
o;9;37.25;Scheuber Lutz;**;9;55.75;9;37.25;0;0.0;8.5
+;13;45.75;Rolli Martin;**;15;54.25;14;45.5;1;-0.25;9.75

11a;Bernhard Lukas;*;;;;;;;;;55.25
+;;;Aellen Florian;*;;;;;;;9.75
-;2;9.75;Schütz Urs;**;28;34.75;4;8.75;2;-1.0;8.75
+;6;18.5;Blaser Roman;*;20;53.0;9;17.5;3;-1.0;9.75
-;5;28.25;Kämpf Alexander;**;6;56.5;8;27.5;3;-0.75;8.75
o;10;37.0;von Weissenfluh Kilian;*;9;55.75;10;37.0;0;0.0;8.5
+;14;45.5;Cardinaux Victor;**;15;54.25;14;45.5;0;0.0;9.75

11b;Bucher Roland;*;;;;;;;;;55.25
+;;;Gerber Thomas;*;;;;;;;9.75
+;2;9.75;Weyermann Florian;*;32;27.25;5;8.5;3;-1.25;10.0
o;2;19.75;Zaugg Thomas;***;3;57.25;6;18.5;4;-1.25;8.5
o;5;28.25;Mathys Simon;**;8;56.0;9;27.25;4;-1.0;8.5
+;11;36.75;Siegenthaler Tobias;*;21;52.75;16;35.5;5;-1.25;10.0
o;9;46.75;Suppiger René;**;6;56.5;10;46.5;1;-0.25;8.5

11c;Sommer Roman;*;;;;;;;;;55.25
+;;;Rohrer Marco;**;;;;;;;10.0
-;1;10.0;Wicki Joel;**;2;57.5;4;8.75;3;-1.25;8.75
o;5;18.75;Gloggner Reto;**;10;55.5;5;18.75;0;0.0;8.5
o;9;27.25;Suppiger René;**;6;56.5;5;28.25;-4;1.0;8.5
+;15;35.75;Arnold Raphael;*;13;54.75;13;36.25;-2;0.5;9.75
+;14;45.5;Cropt Harald;**;16;54.0;14;45.5;0;0.0;9.75

11d;Britschgi Melk;**;;;;;;;;;55.25
-;;;von Büren Stephan;*;;;;;;;8.75
+;4;8.75;Berger René;**;29;34.5;4;8.75;0;0.0;9.75
-;6;18.5;Glauser Daniel;*;20;53.0;7;18.25;1;-0.25;8.75
+;9;27.25;Brodard Augustin;**;20;53.0;10;27.0;1;-0.25;9.75
+;10;37.0;Graber Michael;*;10;55.5;10;37.0;0;0.0;9.75
o;9;46.75;Ulrich Andreas;***;6;56.5;9;46.75;0;0.0;8.5

11e;Gassmann Fabian;**;;;;;;;;;55.25
+;;;Ramseier Thomas;*;;;;;;;9.75
o;2;9.75;Schenkel Adrian;**;15;54.25;3;9.0;1;-0.75;8.5
o;7;18.25;Schenk Patrick;**;8;56.0;8;17.75;1;-0.5;8.5
+;11;26.75;Binggeli Dominik;*;26;35.25;11;26.75;0;0.0;9.75
+;12;36.5;Tschanz Richard;*;20;53.0;14;36.0;2;-0.5;9.75
-;11;46.25;Mathys Simon;**;8;56.0;8;47.0;-3;0.75;9.0

12a;Kälin Roland;**;;;;;;;;;55.0
+;;;Steffen Gustav;*;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Klossner Adrian;*;30;34.25;10;17.25;3;-1.0;9.75
+;6;28.0;Schenkel Adrian;**;15;54.25;9;27.25;3;-0.75;10.0
o;6;38.0;Schenk Patrick;**;8;56.0;7;37.75;1;-0.25;8.5
o;10;46.5;Gerber Christian;**;4;57.0;7;47.25;-3;0.75;8.5

12b;Odermatt Christian;**;;;;;;;;;55.0
+;;;Weyermann Florian;*;;;;;;;9.75
o;2;9.75;Zaugg Thomas;***;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Hadorn Christian;*;20;53.0;10;17.25;3;-1.0;9.75
o;6;28.0;Rolli Martin;**;15;54.25;9;27.25;3;-0.75;8.75
+;11;36.75;Schenkel Remo;*;20;53.0;14;36.0;3;-0.75;9.75
o;10;46.5;Kämpf Alexander;**;6;56.5;10;46.5;0;0.0;8.5

12c;Fankhauser Reto;**;;;;;;;;;55.0
o;;;Zenger Niklaus;***;;;;;;;8.75
+;4;8.75;Habegger Heinz;**;16;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Binggeli Dominik;*;26;35.25;7;18.25;1;-0.25;9.75
o;5;28.25;Reusser Philipp;**;13;54.75;9;27.25;4;-1.0;8.5
+;11;36.75;Blaser Roman;*;20;53.0;15;35.75;4;-1.0;9.75
o;10;46.5;Schuler Christian;***;4;57.0;7;47.25;-3;0.75;8.5

13a;Arnold Raphael;*;;;;;;;;;54.75
-;;;Blaser Roman;*;;;;;;;8.75
-;4;8.75;Gobeli Patrick (1998);*;27;35.0;5;8.5;1;-0.25;9.0
-;8;17.75;Wittwer Josias;*;29;34.5;10;17.25;2;-0.5;8.75
+;12;26.5;Renfer Lukas;*;29;34.5;14;26.0;2;-0.5;9.75
o;13;36.25;Sommer Roman;*;11;55.25;15;35.75;2;-0.5;8.5
+;16;44.75;Schenk Thomas;*;22;52.5;19;44.0;3;-0.75;10.0

13b;Piemontesi Pascal;**;;;;;;;;;54.75
-;;;Waser Dominik;**;;;;;;;9.0
-;3;9.0;Gloggner Reto;**;10;55.5;1;10.0;-2;1.0;8.75
+;8;17.75;Wittwer Jan;*;30;34.25;11;17.0;3;-0.75;9.75
+;8;27.5;Rohrer Marco;**;15;54.25;5;28.25;-3;0.75;9.75
-;9;37.25;Grab Martin;***;10;55.5;11;36.75;2;-0.5;8.75
-;12;46.0;Hurschler Thomas;**;14;54.5;13;45.75;1;-0.25;8.75

13c;Reusser Philipp;**;;;;;;;;;54.75
-;;;Scheuber Lutz;**;;;;;;;8.75
o;4;8.75;Gwerder Guido;**;7;56.25;3;9.0;-1;0.25;8.5
+;10;17.25;Schärli Pius;*;29;34.5;9;17.5;-1;0.25;10.0
+;9;27.25;Fankhauser Reto;**;12;55.0;5;28.25;-4;1.0;10.0
o;9;37.25;Schuler Christian;***;4;57.0;9;37.25;0;0.0;8.75
-;12;46.0;Baumann Roger;*;13;54.75;12;46.0;0;0.0;8.75

13d;Baumann Roger;*;;;;;;;;;54.75
+;;;Pulfer Thomas;*;;;;;;;10.0
o;1;10.0;Gerber Christian;**;4;57.0;4;8.75;3;-1.25;8.5
-;6;18.5;Ramseier Thomas;*;27;35.0;9;17.5;3;-1.0;8.75
-;9;27.25;Steffen Konrad;*;16;54.0;11;26.75;2;-0.5;8.75
+;14;36.0;Schenk Thomas;*;22;52.5;16;35.5;2;-0.5;10.0
-;12;46.0;Reusser Philipp;**;13;54.75;12;46.0;0;0.0;8.75

13e;Reichmuth Armin;*;;;;;;;;;54.75
-;;;Hadorn Christian;*;;;;;;;8.75
-;4;8.75;Wittwer Josias;*;29;34.5;5;8.5;1;-0.25;9.0
+;8;17.75;Steffen Valentin;*;30;34.25;10;17.25;2;-0.5;10.0
o;7;27.75;Gapany Benjamin;**;23;45.5;9;27.25;2;-0.5;8.5
o;13;36.25;Kämpf Alexander;**;6;56.5;12;36.5;-1;0.25;8.5
+;16;44.75;Schenkel Remo;*;20;53.0;17;44.5;1;-0.25;10.0

13f;Waser Dominik;**;;;;;;;;;54.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Gerber Thomas;*;29;34.5;5;8.5;1;-0.25;9.75
+;6;18.5;Dousse Michel;**;20;53.0;7;18.25;1;-0.25;10.0
o;4;28.5;Kämpf Bernhard;***;2;57.5;4;28.5;0;0.0;8.5
-;10;37.0;Bloch Dominic;**;14;54.5;10;37.0;0;0.0;9.0
o;12;46.0;Steffen Gustav;*;8;56.0;12;46.0;0;0.0;8.75

13g;Studer Stefan;**;;;;;;;;;54.75
o;;;Nötzli Bruno;***;;;;;;;8.75
-;4;8.75;Gwerder Christian;**;14;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Herger Fabian;*;15;54.25;6;18.5;-2;0.75;9.75
o;8;27.5;Steinauer Adrian;**;6;56.5;5;28.25;-3;0.75;8.5
o;14;36.0;Gasser Stefan;**;10;55.5;11;36.75;-3;0.75;8.75
+;16;44.75;Egli Pirmin;**;19;53.25;16;44.75;0;0.0;10.0

14a;Muff André;*;;;;;;;;;54.5
