2258-2015-07-12_Rigischwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;59.25
+;4;8.75;Achermann Christoph;*;31;26.0;4;8.75;0;0.0;10.0
o;4;18.75;Forrer Arnold;***;6;56.5;4;18.75;0;0.0;8.5
+;10;27.25;Müller Toni;*;16;54.0;10;27.25;0;0.0;9.75
o;9;37.0;Gasser Stefan;**;9;55.75;8;37.25;-1;0.25;8.5
o;12;45.5;Stöckli Stefan;**;12;55.0;14;45.0;2;-0.5;8.5

16c;Waser Reto;*;;;;;;;;;54.0
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Zimmermann Martin;**;7;56.25;4;8.75;3;-1.25;8.5
o;5;18.5;Krähenbühl Tobias;**;11;55.25;5;18.5;0;0.0;8.5
-;11;27.0;Stöckli Stefan;**;12;55.0;10;27.25;-1;0.25;8.75
+;14;35.75;Müller Toni;*;16;54.0;14;35.75;0;0.0;9.75
o;12;45.5;Fankhauser Marco;**;10;55.5;12;45.5;0;0.0;8.5

16d;Gwerder Andreas;**;;;;;;;;;54.0
o;;;Britschgi Melk;**;;;;;;;8.5
-;5;8.5;Stöckli Stefan;**;12;55.0;5;8.5;0;0.0;8.75
+;9;17.25;Zimmermann Daniel;*;25;35.5;9;17.25;0;0.0;9.75
+;11;27.0;Vonlaufen Alexander;**;23;36.0;9;27.5;-2;0.5;10.0
o;9;37.0;Schelbert Ralf;**;10;55.5;9;37.0;0;0.0;8.5
o;12;45.5;Waser Dominik;*;13;54.75;15;44.75;3;-0.75;8.5

17a;Ackermann Remo;*;;;;;;;;;53.75
o;;;Kennel Stefan;*;;;;;;;8.75
o;4;8.75;Brun Jonas;**;10;55.5;5;8.5;1;-0.25;8.5
+;9;17.25;Herger Matthias;**;32;25.5;10;17.0;1;-0.25;9.75
+;11;27.0;Bernet Christoph;*;21;52.75;10;27.25;-1;0.25;9.75
o;10;36.75;Scheuber Lutz;**;9;55.75;8;37.25;-2;0.5;8.5
o;13;45.25;Egli Pirmin;**;13;54.75;14;45.0;1;-0.25;8.5

18a;Baumann Roger;*;;;;;;;;;53.5
+;;;Bieri Christian;*;;;;;;;10.0
o;1;10.0;Ulrich Andreas;***;1;59.25;2;9.75;1;-0.25;8.5
-;5;18.5;Kennel Stefan;*;12;55.0;4;18.75;-1;0.25;9.0
o;9;27.5;Höfliger Andreas;**;11;55.25;8;27.75;-1;0.25;8.5
o;13;36.0;Gwerder Christian;**;13;54.75;13;36.0;0;0.0;8.75
o;15;44.75;Orlik Curdin;**;13;54.75;15;44.75;0;0.0;8.75

18b;Kohler Fredi;**;;;;;;;;;53.5
-;;;Suppiger Werner;**;;;;;;;8.75
-;4;8.75;Föhn Pirmin;*;14;54.5;4;8.75;0;0.0;8.75
+;8;17.5;Heinzer Stefan;*;27;34.75;9;17.25;1;-0.25;9.75
-;10;27.25;Egli Pirmin;**;13;54.75;10;27.25;0;0.0;9.0
o;12;36.25;Kennel Stefan;*;12;55.0;11;36.5;-1;0.25;8.5
o;15;44.75;Kempf Elias;**;13;54.75;15;44.75;0;0.0;8.75

19a;Fankhauser Reto;**;;;;;;;;;53.25
+;;;Gwerder Guido;**;;;;;;;9.75
o;2;9.75;Rhyner Michael;**;7;56.25;5;8.5;3;-1.25;8.5
-;6;18.25;Oertig Dominik;*;15;54.25;5;18.5;-1;0.25;8.75
-;11;27.0;Steiner Michael;**;27;34.75;14;26.0;3;-1.0;9.0
-;13;36.0;Zimmermann Simon;*;14;54.5;14;35.75;1;-0.25;8.75
o;15;44.75;Horner Peter;**;13;54.75;14;45.0;-1;0.25;8.5

19b;Odermatt Andreas;*;;;;;;;;;53.25
-;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Ammann Rico;*;30;34.0;5;8.5;1;-0.25;9.75
-;5;18.5;Waser Dominik;*;13;54.75;4;18.75;-1;0.25;8.75
o;10;27.25;Steinauer Adrian;**;14;54.5;10;27.25;0;0.0;8.5
-;14;35.75;Bernold Christian;*;28;34.5;18;34.5;4;-1.25;8.75
-;16;44.5;Elsener Adrian;**;19;53.25;16;44.5;0;0.0;8.75

19c;Elsener Adrian;**;;;;;;;;;53.25
-;;;Muff Armin;**;;;;;;;8.75
-;4;8.75;Zimmermann Simon;*;14;54.5;4;8.75;0;0.0;8.75
+;8;17.5;Schmid Dominik;**;28;34.5;10;17.0;2;-0.5;9.75
-;10;27.25;Wyrsch Marco;*;21;52.75;11;27.0;1;-0.25;8.75
o;13;36.0;Schneider Domenic;**;14;54.5;14;35.75;1;-0.25;8.5
-;16;44.5;Odermatt Andreas;*;19;53.25;16;44.5;0;0.0;8.75

20a;Käslin Benno;*;;;;;;;;;53.0
-;;;Achermann Christoph;*;;;;;;;8.75
o;4;8.75;Inderbitzin Daniel;*;14;54.5;4;8.75;0;0.0;8.5
-;9;17.25;Steiner Michael;**;27;34.75;10;17.0;1;-0.25;8.75
+;14;26.0;Ammann Rico;*;30;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Kälin Remo;*;14;54.5;13;36.0;0;0.0;8.5
o;16;44.5;Müller Toni;*;16;54.0;17;44.25;1;-0.25;8.5

20b;Eugster Ruedi;**;;;;;;;;;53.0
-;;;Vonlaufen Alexander;**;;;;;;;8.75
+;4;8.75;Herger Matthias;**;32;25.5;5;8.5;1;-0.25;10.0
o;4;18.75;Schuler Christian;***;3;57.25;4;18.75;0;0.0;8.5
-;10;27.25;Kennel Stefan;*;12;55.0;8;27.75;-2;0.5;8.75
o;13;36.0;Inderbitzin Daniel;*;14;54.5;14;35.75;1;-0.25;8.5
o;16;44.5;Zimmermann Simon;*;14;54.5;16;44.5;0;0.0;8.5

21a;Bernet Christoph;*;;;;;;;;;52.75
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Bernold Christian;*;28;34.5;4;8.75;0;0.0;10.0
o;4;18.75;Laimbacher Adrian;***;5;56.75;3;19.0;-1;0.25;8.5
o;10;27.25;Ackermann Remo;*;17;53.75;11;27.0;1;-0.25;8.5
o;14;35.75;Föhn Pirmin;*;14;54.5;13;36.0;-1;0.25;8.5
o;17;44.25;Fässler Andreas;**;15;54.25;17;44.25;0;0.0;8.5

21b;Wyrsch Marco;*;;;;;;;;;52.75
-;;;Zimmermann Daniel;*;;;;;;;8.75
+;4;8.75;Steiner Michael;**;27;34.75;5;8.5;1;-0.25;9.75
o;5;18.5;Suppiger Werner;**;7;56.25;4;18.75;-1;0.25;8.5
-;11;27.0;Elsener Adrian;**;19;53.25;10;27.25;-1;0.25;8.75
o;14;35.75;Oertig Dominik;*;15;54.25;13;36.0;-1;0.25;8.5
o;17;44.25;Bieri Marcel;**;13;54.75;14;45.0;-3;0.75;8.5

22a;Muff Armin;**;;;;;;;;;45.25
-;;;Elsener Adrian;**;;;;;;;8.75
-;4;8.75;Barmettler Peter;*;27;34.75;4;8.75;0;0.0;9.0
+;7;17.75;Ammann Rico;*;30;34.0;10;17.0;3;-0.75;10.0
o;8;27.75;Scheuber Lutz;**;9;55.75;9;27.5;1;-0.25;8.5
-;12;36.25;Linggi Bruno;**;15;54.25;11;36.5;-1;0.25;9.0

23a;Vonlaufen Alexander;**;;;;;;;;;36.0
-;;;Eugster Ruedi;**;;;;;;;8.75
-;4;8.75;Fässler Andreas;**;15;54.25;5;8.5;1;-0.25;8.75
+;8;17.5;Bernold Edi;**;30;34.0;10;17.0;2;-0.5;10.0
o;9;27.5;Gwerder Andreas;**;16;54.0;11;27.0;2;-0.5;8.5

24a;Murer Andy;*;;;;;;;;;35.75
+;;;Heinzer Stefan;*;;;;;;;10.0
o;1;10.0;Laimbacher Philipp;***;2;58.5;1;10.0;0;0.0;8.5
-;5;18.5;Steinauer Adrian;**;14;54.5;5;18.5;0;0.0;8.75
o;10;27.25;Schneider Domenic;**;14;54.5;15;25.75;5;-1.5;8.5

25a;Zimmermann Daniel;*;;;;;;;;;35.5
-;;;Wyrsch Marco;*;;;;;;;8.75
o;4;8.75;Hersche Martin;**;9;55.75;4;8.75;0;0.0;8.5
o;9;17.25;Gwerder Andreas;**;16;54.0;9;17.25;0;0.0;8.5
+;15;25.75;Bernold Edi;**;30;34.0;16;25.5;1;-0.25;9.75

25b;Muff André;*;;;;;;;;;35.5
+;;;Oertig Dominik;*;;;;;;;10.0
o;1;10.0;Müllestein Mike;**;6;56.5;4;8.75;3;-1.25;8.5
o;5;18.5;Gmür Pirmin;*;14;54.5;5;18.5;0;0.0;8.5
o;11;27.0;Gasser Stefan;**;9;55.75;10;27.25;-1;0.25;8.5

25c;Gwerder Guido;**;;;;;;;;;35.5
o;;;Fankhauser Reto;**;;;;;;;8.5
+;5;8.5;Baumann Rico;*;29;34.25;4;8.75;-1;0.25;9.75
-;6;18.25;Burkhalter Stefan;***;12;55.0;9;17.25;3;-1.0;8.75
o;11;27.0;Zimmermann Martin;**;7;56.25;10;27.25;-1;0.25;8.5

26a;Grab Daniel;**;;;;;;;;;35.25
+;;;Schärli Lukas;**;;;;;;;9.75
o;2;9.75;Orlik Armon;**;8;56.0;4;8.75;2;-1.0;8.5
o;6;18.25;Brun Jonas;**;10;55.5;6;18.25;0;0.0;8.5
o;12;26.75;Burkhalter Stefan;***;12;55.0;13;26.25;1;-0.5;8.5

27a;Barmettler Peter;*;;;;;;;;;34.75
o;;;Gmür Pirmin;*;;;;;;;8.75
-;4;8.75;Muff Armin;**;22;45.25;4;8.75;0;0.0;9.0
o;7;17.75;Fässler Andreas;**;15;54.25;9;17.25;2;-0.5;8.5
o;13;26.25;Hersche Martin;**;9;55.75;11;27.0;-2;0.75;8.5

27b;Thalmann Thomas;*;;;;;;;;;34.75
-;;;Villiger Cyrill;*;;;;;;;8.75
-;4;8.75;Bickel Stefan;*;29;34.25;5;8.5;1;-0.25;8.75
o;8;17.5;Horner Peter;**;13;54.75;8;17.5;0;0.0;8.5
-;14;26.0;Landolt Reto;*;28;34.5;15;25.75;1;-0.25;8.75

27c;Heinzer Stefan;*;;;;;;;;;34.75
o;;;Murer Andy;*;;;;;;;8.5
-;5;8.5;Dörig Erich;*;28;34.5;4;8.75;-1;0.25;8.75
o;9;17.25;Kohler Fredi;**;18;53.5;8;17.5;-1;0.25;8.5
-;15;25.75;Schmid Dominik;**;28;34.5;16;25.5;1;-0.25;9.0

27d;Steiner Michael;**;;;;;;;;;34.75
o;;;Fankhauser Marco;**;;;;;;;8.5
o;5;8.5;Wyrsch Marco;*;21;52.75;4;8.75;-1;0.25;8.5
-;10;17.0;Käslin Benno;*;20;53.0;9;17.25;-1;0.25;9.0
-;14;26.0;Fankhauser Reto;**;19;53.25;11;27.0;-3;1.0;8.75

28a;Landolt Reto;*;;;;;;;;;34.5
-;;;Suter David;**;;;;;;;8.75
o;4;8.75;Bieri Christian;*;14;54.5;5;8.5;1;-0.25;8.5
o;9;17.25;Scheuber Lutz;**;9;55.75;8;17.5;-1;0.25;8.5
-;15;25.75;Thalmann Thomas;*;27;34.75;14;26.0;-1;0.25;8.75

28b;Schmid Dominik;**;;;;;;;;;34.5
o;;;Rohrer Marco;**;;;;;;;8.5
o;5;8.5;Suppiger Werner;**;7;56.25;4;8.75;-1;0.25;8.5
o;10;17.0;Elsener Adrian;**;19;53.25;8;17.5;-2;0.5;8.5
-;16;25.5;Heinzer Stefan;*;27;34.75;15;25.75;-1;0.25;9.0

28c;Kammermann Thomas;*;;;;;;;;;34.5
-;;;Zimmermann Simon;*;;;;;;;8.75
o;4;8.75;Gasser Stefan;**;9;55.75;5;8.5;1;-0.25;8.5
o;9;17.25;Reichmuth Armin;*;15;54.25;8;17.5;-1;0.25;8.5
o;15;25.75;Kälin Remo;*;14;54.5;14;26.0;-1;0.25;8.75

28d;Bernold Christian;*;;;;;;;;;34.5
-;;;Rohrer Ivan;*;;;;;;;8.75
o;4;8.75;Bernet Christoph;*;21;52.75;4;8.75;0;0.0;8.5
o;9;17.25;Zimmermann Simon;*;14;54.5;8;17.5;-1;0.25;8.5
-;15;25.75;Odermatt Andreas;*;19;53.25;10;27.25;-5;1.5;8.75

28e;Dörig Erich;*;;;;;;;;;34.5
-;;;Kälin Remo;*;;;;;;;8.75
o;4;8.75;Bieri Marcel;**;13;54.75;5;8.5;1;-0.25;8.5
-;9;17.25;Heinzer Stefan;*;27;34.75;9;17.25;0;0.0;8.75
o;14;26.0;Föhn Pirmin;*;14;54.5;9;27.5;-5;1.5;8.5

29a;Baumann Rico;*;;;;;;;;;34.25
-;;;Odermatt Andreas;*;;;;;;;8.75
o;4;8.75;Gwerder Guido;**;25;35.5;5;8.5;1;-0.25;8.5
o;9;17.25;Stöckli Stefan;**;12;55.0;9;17.25;0;0.0;8.5
o;15;25.75;Linggi Bruno;**;15;54.25;12;26.75;-3;1.0;8.5

29b;Bickel Stefan;*;;;;;;;;;34.25
o;;;Waser Dominik;*;;;;;;;8.5
-;5;8.5;Thalmann Thomas;*;27;34.75;4;8.75;-1;0.25;8.75
o;9;17.25;Kempf Elias;**;13;54.75;9;17.25;0;0.0;8.5
o;15;25.75;Bieri Marcel;**;13;54.75;12;26.75;-3;1.0;8.5

30a;Bernold Edi;**;;;;;;;;;34.0
o;;;Linggi Bruno;**;;;;;;;8.5
o;5;8.5;Suter David;**;14;54.5;4;8.75;-1;0.25;8.5
o;10;17.0;Vonlaufen Alexander;**;23;36.0;8;17.5;-2;0.5;8.5
o;16;25.5;Zimmermann Daniel;*;25;35.5;15;25.75;-1;0.25;8.5

30b;Ammann Rico;*;;;;;;;;;34.0
o;;;Waser Reto;*;;;;;;;8.5
o;5;8.5;Odermatt Andreas;*;19;53.25;4;8.75;-1;0.25;8.5
o;10;17.0;Muff Armin;**;22;45.25;7;17.75;-3;0.75;8.5
o;16;25.5;Käslin Benno;*;20;53.0;14;26.0;-2;0.5;8.5

31a;Achermann Christoph;*;;;;;;;;;26.0
-;;;Käslin Benno;*;;;;;;;8.75
o;4;8.75;Villiger Cyrill;*;16;54.0;4;8.75;0;0.0;8.5
-;9;17.25;Schneider Domenic;**;14;54.5;10;17.0;1;-0.25;8.75

32a;Herger Matthias;**;;;;;;;;;25.5
o;;;Gwerder Christian;**;;;;;;;8.5
o;5;8.5;Eugster Ruedi;**;20;53.0;4;8.75;-1;0.25;8.5
o;10;17.0;Ackermann Remo;*;17;53.75;9;17.25;-1;0.25;8.5

33a;Gassmann Michael;*;;;;;;;;;17.25
-;;;Reichmuth Armin;*;;;;;;;8.75
o;4;8.75;Müller Toni;*;16;54.0;4;8.75;0;0.0;8.5

34a;Schärli Lukas;**;;;;;;;;;8.5
o;;;Grab Daniel;**;;;;;;;8.5

