2258-2015-07-12_Rigischwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;59.25
+;9;27.5;Föhn Pirmin;*;14;54.5;9;27.5;0;0.0;10.0
o;7;37.5;Orlik Armon;**;8;56.0;8;37.25;1;-0.25;8.5
+;10;46.0;Gwerder Christian;**;13;54.75;10;46.0;0;0.0;10.0

8b;Orlik Armon;**;;;;;;;;;56.0
-;;;Müllestein Mike;**;;;;;;;8.75
+;4;8.75;Grab Daniel;**;26;35.25;2;9.75;-2;1.0;9.75
-;5;18.5;Suter David;**;14;54.5;5;18.5;0;0.0;9.0
+;9;27.5;Brun Jonas;**;10;55.5;7;28.0;-2;0.5;9.75
+;8;37.25;Rohrer Ivan;*;8;56.0;7;37.5;-1;0.25;9.75
-;6;47.0;Zimmermann Martin;**;7;56.25;5;47.25;-1;0.25;9.0

8c;Britschgi Melk;**;;;;;;;;;56.0
+;;;Gwerder Andreas;**;;;;;;;10.0
-;1;10.0;Suppiger René;**;9;55.75;1;10.0;0;0.0;8.75
o;4;18.75;Bieri Christian;*;14;54.5;5;18.5;1;-0.25;8.75
+;9;27.5;Fässler Andreas;**;15;54.25;11;27.0;2;-0.5;9.75
-;8;37.25;Notz Beni;***;14;54.5;9;37.0;1;-0.25;9.0
+;9;46.25;Steinauer Adrian;**;14;54.5;10;46.0;1;-0.25;9.75

9a;Suppiger René;**;;;;;;;;;55.75
+;;;Bieri Marcel;**;;;;;;;10.0
-;1;10.0;Britschgi Melk;**;8;56.0;1;10.0;0;0.0;8.75
o;4;18.75;Zwyssig Raphael;***;7;56.25;5;18.5;1;-0.25;8.5
+;10;27.25;Reichmuth Armin;*;15;54.25;10;27.25;0;0.0;10.0
o;8;37.25;Hersche Martin;**;9;55.75;10;36.75;2;-0.5;8.5
+;11;45.75;Oertig Dominik;*;15;54.25;11;45.75;0;0.0;10.0

9b;Hersche Martin;**;;;;;;;;;55.75
o;;;Steinauer Adrian;**;;;;;;;8.75
+;4;8.75;Zimmermann Daniel;*;25;35.5;4;8.75;0;0.0;9.75
o;5;18.5;Schuler Alex;**;13;54.75;5;18.5;0;0.0;8.5
+;11;27.0;Barmettler Peter;*;27;34.75;13;26.25;2;-0.75;9.75
+;10;36.75;Suppiger René;**;9;55.75;8;37.25;-2;0.5;10.0
-;7;46.75;Höfliger Andreas;**;11;55.25;9;46.25;2;-0.5;9.0

9c;Scheuber Lutz;**;;;;;;;;;55.75
-;;;Orlik Curdin;**;;;;;;;8.75
-;4;8.75;Gmür Pirmin;*;14;54.5;2;9.75;-2;1.0;8.75
+;8;17.5;Landolt Reto;*;28;34.5;9;17.25;1;-0.25;10.0
+;9;27.5;Muff Armin;**;22;45.25;8;27.75;-1;0.25;9.75
+;8;37.25;Ackermann Remo;*;17;53.75;10;36.75;2;-0.5;10.0
o;5;47.25;Schuler Christian;***;3;57.25;4;47.5;-1;0.25;8.5

9d;Gasser Stefan;**;;;;;;;;;55.75
o;;;Forrer Arnold;***;;;;;;;8.5
+;5;8.5;Kammermann Thomas;*;28;34.5;4;8.75;-1;0.25;10.0
o;5;18.5;Rhyner Michael;**;7;56.25;5;18.5;0;0.0;8.75
+;10;27.25;Muff André;*;25;35.5;11;27.0;1;-0.25;10.0
+;8;37.25;Villiger Cyrill;*;16;54.0;9;37.0;1;-0.25;10.0
o;5;47.25;Bösch Daniel;***;4;57.0;5;47.25;0;0.0;8.5

10a;Schelbert Ralf;**;;;;;;;;;55.5
+;;;Stöckli Stefan;**;;;;;;;9.75
-;2;9.75;Orlik Curdin;**;13;54.75;4;8.75;2;-1.0;8.75
+;5;18.5;Fankhauser Marco;**;10;55.5;5;18.5;0;0.0;10.0
