4693-2021-08-22_105_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.75
+;1;10.0;Schmid Samuel;**;6;56.75;2;9.75;1;-0.25;9.75
o;2;19.75;Strebel Joel;***;2;58.0;3;19.5;1;-0.25;8.5
+;5;28.25;Reinhard Adrian;*;11;55.5;4;28.5;-1;0.25;10.0
+;4;38.25;Lisser Daniel;*;10;55.75;7;37.25;3;-1.0;10.0
o;3;48.25;Odermatt Adrian;*;4;57.25;6;47.25;3;-1.0;8.5

6d;Stoll Simon;**;;;;;;;;;56.75
-;;;Mangold Michael;**;;;;;;;8.75
o;4;8.75;Hügli Kaj;**;6;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Reinhard Roman (2005);;26;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Fricker Ivo;;16;54.25;6;28.0;-4;1.0;10.0
+;8;37.0;Vogel Remo;*;11;55.5;5;38.0;-3;1.0;9.75
+;8;46.75;Hasler Luis;;14;54.75;10;46.25;2;-0.5;10.0

6e;Schmid Samuel;**;;;;;;;;;56.75
+;;;Schmutz Adrian;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;6;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Brügger Joël;;10;55.75;5;18.75;-2;0.5;10.0
+;5;28.25;Stegmüller Klemens;*;15;54.5;9;27.25;4;-1.0;9.75
o;5;38.0;Brun Samuel;**;3;57.75;5;38.0;0;0.0;8.75
+;8;46.75;Bachmann Sämi;;14;54.75;10;46.25;2;-0.5;10.0

7a;Christ Dario (2003);;;;;;;;;;56.5
+;;;Kehr Damian;;;;;;;;9.75
+;2;9.75;Brügger Joël;;10;55.75;1;10.0;-1;0.25;9.75
o;3;19.5;Brun Samuel;**;3;57.75;7;18.25;4;-1.25;8.75
+;5;28.25;Salzmann Simon;*;20;53.25;10;27.0;5;-1.25;9.75
o;5;38.0;Hügli Kaj;**;6;56.75;7;37.25;2;-0.75;8.5
+;9;46.5;Streich Sascha;;10;55.75;6;47.25;-3;0.75;10.0

8a;Bader Fabian;*;;;;;;;;;56.25
-;;;Joho Philip;*;;;;;;;9.0
+;3;9.0;Meyer Markus;;27;27.0;1;10.0;-2;1.0;10.0
o;4;19.0;Schmid David;***;6;56.75;6;18.5;2;-0.5;8.75
+;7;27.75;Järmann Florian;;12;55.25;5;28.25;-2;0.5;9.75
+;6;37.5;Hasler Luis;;14;54.75;6;37.5;0;0.0;10.0
o;5;47.5;Döbeli Andreas;***;2;58.0;3;48.25;-2;0.75;8.75

9a;Joho Philip;*;;;;;;;;;56.0
-;;;Bader Fabian;*;;;;;;;8.75
o;4;8.75;Büttler Gian;;11;55.5;1;10.0;-3;1.25;8.5
-;10;17.25;Walther Reto (2003);;10;55.75;6;18.5;-4;1.25;9.0
+;12;26.25;Nussbaumer Joschua (2003);;22;52.75;10;27.0;-2;0.75;10.0
+;11;36.25;Stüdeli Thomas;**;13;55.0;10;36.5;-1;0.25;9.75
+;11;46.0;Odermatt Jonas (2004);;12;55.25;8;46.75;-3;0.75;10.0

9b;Rüegger Aaron;*;;;;;;;;;56.0
-;;;Stüdeli Thomas;**;;;;;;;8.75
+;4;8.75;Frank Marius (2004);;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Büttler Gian;;11;55.5;2;19.75;-4;1.25;10.0
o;4;28.5;Schmid David;***;6;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Hengartner Tobias (2003);;16;54.25;9;36.75;1;-0.25;10.0
-;7;47.0;Brand Christian;**;10;55.75;8;46.75;1;-0.25;9.0

10a;Walther Reto (2003);;;;;;;;;;55.75
o;;;Brügger Joël;;;;;;;;8.5
+;5;8.5;Caviezel Nicolas (2003);;18;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Joho Philip;*;9;56.0;10;17.25;4;-1.25;9.0
+;8;27.5;Späti Jan;;16;54.25;9;27.25;1;-0.25;10.0
o;6;37.5;Odermatt Adrian;*;4;57.25;7;37.25;1;-0.25;8.5
+;11;46.0;Gerber Manuel;*;15;54.5;12;45.75;1;-0.25;9.75

10b;Pirkheim Elias;;;;;;;;;;55.75
+;;;Widmer Dino;;;;;;;;9.75
+;2;9.75;Schwegler Dominik;;12;55.25;2;9.75;0;0.0;9.75
-;3;19.5;Hermann Oliver;**;5;57.0;6;18.5;3;-1.0;9.0
-;4;28.5;Brand Christian;**;10;55.75;6;28.0;2;-0.5;9.0
o;6;37.5;Kropf Marcel;**;10;55.75;7;37.25;1;-0.25;8.5
+;11;46.0;Nussbaumer Gabriel;;14;54.75;10;46.25;-1;0.25;9.75

10c;Walther Adrian;**;;;;;;;;;55.75
+;;;Erb Roger;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;1;59.75;1;10.0;0;0.0;8.5
+;6;18.5;Probst Gabriel;**;11;55.5;2;19.75;-4;1.25;10.0
+;4;28.5;Streich Sascha;;10;55.75;3;28.75;-1;0.25;10.0
o;3;38.5;Strebel Joel;***;2;58.0;2;39.5;-1;1.0;8.5
o;7;47.0;Vieira Tiago;**;4;57.25;5;47.5;-2;0.5;8.75

10d;Streich Sascha;;;;;;;;;;55.75
+;;;Benecke Nicholas;;;;;;;;10.0
-;1;10.0;Vieira Tiago;**;4;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Stegmüller Klemens;*;15;54.5;5;18.75;0;0.0;10.0
o;3;28.75;Walther Adrian;**;10;55.75;4;28.5;1;-0.25;8.5
+;7;37.25;Buchmann Moritz (2005);;18;53.75;9;36.75;2;-0.5;10.0
o;6;47.25;Christ Dario (2003);;7;56.5;9;46.5;3;-0.75;8.5

10e;Lisser Daniel;*;;;;;;;;;55.75
o;;;Henzer Andreas;**;;;;;;;8.5
-;5;8.5;Hasler Luis;;14;54.75;2;9.75;-3;1.25;8.75
+;10;17.25;Brugger Jonas;;22;52.75;6;18.5;-4;1.25;10.0
+;9;27.25;Buchmann Moritz (2005);;18;53.75;5;28.25;-4;1.0;10.0
o;7;37.25;Räbmatter Patrick;***;6;56.75;4;38.25;-3;1.0;8.5
+;12;45.75;Schick Janis (2003);;15;54.5;11;46.0;-1;0.25;10.0

10f;Brand Christian;**;;;;;;;;;55.75
+;;;Stegmüller Klemens;*;;;;;;;9.75
o;2;9.75;Schmid David;***;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Suter Jonas (2003);;17;54.0;6;18.5;-1;0.25;9.75
-;6;28.0;Pirkheim Elias;;10;55.75;4;28.5;-2;0.5;9.0
+;8;37.0;Grob Enea (2003);;15;54.5;7;37.25;-1;0.25;9.75
-;8;46.75;Rüegger Aaron;*;9;56.0;7;47.0;-1;0.25;9.0

10g;Schmutz Simon;*;;;;;;;;;55.75
o;;;Räbmatter Patrick;***;;;;;;;8.5
o;5;8.5;Mangold Michael;**;4;57.25;4;8.75;-1;0.25;8.75
o;10;17.25;Burkhardt Roy;;12;55.25;6;18.5;-4;1.25;8.5
+;14;25.75;Widmer Dino;;17;54.0;10;27.0;-4;1.25;10.0
+;13;35.75;Burren Dominik (2003);;18;53.75;17;34.75;4;-1.0;10.0
+;12;45.75;Kehr Damian;;15;54.5;11;46.0;-1;0.25;10.0

10h;Stark Urban;;;;;;;;;;55.75
+;;;Graber Bänz;;;;;;;;9.75
o;2;9.75;Reinhard Adrian;*;11;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Mangold Martin;*;16;54.25;6;18.5;0;0.0;9.75
-;5;28.25;Büttler Gian;;11;55.5;5;28.25;0;0.0;9.0
-;7;37.25;Kohler Adrian;*;15;54.5;8;37.0;1;-0.25;8.75
+;11;46.0;Reinhard Pirmin;;15;54.5;11;46.0;0;0.0;9.75

10i;Kropf Marcel;**;;;;;;;;;55.75
-;;;Schmid David;***;;;;;;;8.75
+;4;8.75;Reimann Marco;;5;57.0;1;10.0;-3;1.25;9.75
-;6;18.5;Vieira Tiago;**;4;57.25;5;18.75;-1;0.25;8.75
+;9;27.25;Schwegler Dominik;;12;55.25;6;28.0;-3;0.75;10.0
+;7;37.25;Pirkheim Elias;;10;55.75;6;37.5;-1;0.25;10.0
o;6;47.25;Hermann Oliver;**;5;57.0;6;47.25;0;0.0;8.5

10j;Brügger Joël;;;;;;;;;;55.75
+;;;Walther Reto (2003);;;;;;;;10.0
o;1;10.0;Christ Dario (2003);;7;56.5;2;9.75;1;-0.25;8.75
o;5;18.75;Schmid Samuel;**;6;56.75;7;18.25;2;-0.5;8.5
o;9;27.25;Küng Marco;*;17;54.0;13;26.0;4;-1.25;8.5
+;13;35.75;Halbeisen Florian (2005);;22;52.75;14;35.5;1;-0.25;10.0
+;12;45.75;Schärer Nico (2004);;17;54.0;14;45.25;2;-0.5;10.0

10k;Rickenbacher Cedric;;;;;;;;;;55.75
+;;;Furter Jannis (2004);;;;;;;;10.0
o;1;10.0;Ris Jörn;*;11;55.5;4;8.75;3;-1.25;8.75
o;5;18.75;Mangold Michael;**;4;57.25;5;18.75;0;0.0;8.5
o;9;27.25;Frank Marius (2004);;16;54.25;10;27.0;1;-0.25;8.5
+;13;35.75;Stampfli Simon (2004);;22;52.75;13;35.75;0;0.0;10.0
+;12;45.75;Buchmann Moritz (2005);;18;53.75;14;45.25;2;-0.5;10.0

11a;Erb Roger;**;;;;;;;;;55.5
o;;;Walther Adrian;**;;;;;;;8.5
+;5;8.5;Vogel Remo;*;11;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Meyer Markus;;27;27.0;6;18.5;-1;0.25;10.0
+;5;28.25;Ris Jörn;*;11;55.5;8;27.5;3;-0.75;9.75
o;5;38.0;Döbeli Andreas;***;2;58.0;4;38.25;-1;0.25;8.5
-;9;46.5;Schwegler Dominik;;12;55.25;9;46.5;0;0.0;9.0

11b;Henzer Andreas;**;;;;;;;;;55.5
+;;;Lisser Daniel;*;;;;;;;9.75
o;2;9.75;Strebel Joel;***;2;58.0;2;9.75;0;0.0;8.5
+;7;18.25;Vogt Sandro (2004);;22;52.75;6;18.5;-1;0.25;10.0
-;5;28.25;Widmer David;**;11;55.5;5;28.25;0;0.0;8.75
-;8;37.0;Reinhard Pirmin;;15;54.5;7;37.25;-1;0.25;8.75
+;12;45.75;Müller Simon;;17;54.0;13;45.5;1;-0.25;9.75

11c;Büttler Gian;;;;;;;;;;55.5
+;;;Brugger Jonas;;;;;;;;10.0
+;1;10.0;Joho Philip;*;9;56.0;4;8.75;3;-1.25;9.75
o;2;19.75;Rüegger Aaron;*;9;56.0;6;18.5;4;-1.25;8.5
-;5;28.25;Stark Urban;;10;55.75;5;28.25;0;0.0;9.0
o;7;37.25;Mangold Michael;**;4;57.25;7;37.25;0;0.0;8.5
+;12;45.75;Grob Enea (2003);;15;54.5;12;45.75;0;0.0;9.75

11d;Vogel Remo;*;;;;;;;;;55.5
+;;;Ris Jörn;*;;;;;;;9.75
o;2;9.75;Erb Roger;**;11;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Nussbaumer Joschua (2003);;22;52.75;6;18.5;-1;0.25;9.75
+;6;28.0;Odermatt Jonas (2004);;12;55.25;5;28.25;-1;0.25;10.0
o;5;38.0;Stoll Simon;**;6;56.75;8;37.0;3;-1.0;8.5
-;9;46.5;Schafroth Dario (2004);;11;55.5;9;46.5;0;0.0;9.0

11e;Probst Gabriel;**;;;;;;;;;55.5
+;;;Reinhard Adrian;*;;;;;;;9.75
+;2;9.75;Odermatt Adrian;*;4;57.25;5;8.5;3;-1.25;10.0
o;2;19.75;Walther Adrian;**;10;55.75;6;18.5;4;-1.25;8.5
-;5;28.25;Reinhard Pirmin;;15;54.5;4;28.5;-1;0.25;8.75
+;8;37.0;Benecke Nicholas;;18;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Mangold Michael;**;4;57.25;6;47.25;-1;0.25;8.5

11f;Schafroth Dario (2004);;;;;;;;;;55.5
+;;;Schick Janis (2003);;;;;;;;10.0
-;1;10.0;Stüdeli Thomas;**;13;55.0;3;9.0;2;-1.0;9.0
-;4;19.0;Ris Jörn;*;11;55.5;6;18.5;2;-0.5;9.0
+;6;28.0;Grieder Nonda;;13;55.0;6;28.0;0;0.0;10.0
o;5;38.0;Hermann Oliver;**;5;57.0;6;37.5;1;-0.5;8.5
-;9;46.5;Vogel Remo;*;11;55.5;9;46.5;0;0.0;9.0

11g;Stalder Jonas;;;;;;;;;;55.5
+;;;Wiedmer Lukas;;;;;;;;9.75
o;2;9.75;Grieder Nonda;;13;55.0;2;9.75;0;0.0;8.5
+;7;18.25;Spies Thierry (2003);;18;53.75;7;18.25;0;0.0;9.75
-;6;28.0;Reinhard Reto;;12;55.25;6;28.0;0;0.0;8.75
-;9;36.75;Mangold Martin;*;16;54.25;9;36.75;0;0.0;8.75
+;13;45.5;Nyffenegger Florian;;18;53.75;15;45.0;2;-0.5;10.0

11h;Ris Jörn;*;;;;;;;;;55.5
o;;;Vogel Remo;*;;;;;;;8.75
+;4;8.75;Rickenbacher Cedric;;10;55.75;1;10.0;-3;1.25;9.75
-;6;18.5;Schafroth Dario (2004);;11;55.5;4;19.0;-2;0.5;9.0
o;8;27.5;Erb Roger;**;11;55.5;5;28.25;-3;0.75;8.5
+;12;36.0;Reinhard Reto;;12;55.25;9;36.75;-3;0.75;9.75
+;12;45.75;Küng Marco;*;17;54.0;13;45.5;1;-0.25;9.75

11i;Reinhard Adrian;*;;;;;;;;;55.5
o;;;Probst Gabriel;**;;;;;;;8.5
+;5;8.5;Stark Urban;;10;55.75;2;9.75;-3;1.25;10.0
+;6;18.5;Ancona Enea (2004);;16;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Räbmatter Patrick;***;6;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Frank Marius (2004);;16;54.25;9;36.75;1;-0.25;10.0
o;7;47.0;Brun Samuel;**;3;57.75;4;48.0;-3;1.0;8.5

11j;Widmer David;**;;;;;;;;;55.5
o;;;Grieder Nonda;;;;;;;;8.5
+;5;8.5;Ancona Enea (2004);;16;54.25;2;9.75;-3;1.25;9.75
+;7;18.25;Salzmann Simon;*;20;53.25;6;18.5;-1;0.25;10.0
-;5;28.25;Henzer Andreas;**;11;55.5;5;28.25;0;0.0;8.75
o;8;37.0;Vieira Tiago;**;4;57.25;6;37.5;-2;0.5;8.5
+;13;45.5;Späti Jan;;16;54.25;12;45.75;-1;0.25;10.0

12a;Järmann Florian;;;;;;;;;;55.25
o;;;Odermatt Jonas (2004);;;;;;;;8.5
+;5;8.5;Dupraz Corentin (2004);;25;51.5;5;8.5;0;0.0;9.75
+;7;18.25;Thommen Nick;;18;53.75;7;18.25;0;0.0;10.0
o;5;28.25;Bader Fabian;*;8;56.25;7;27.75;2;-0.5;8.5
o;9;36.75;Grieder Nonda;;13;55.0;9;36.75;0;0.0;8.5
+;14;45.25;Caviezel Nicolas (2003);;18;53.75;14;45.25;0;0.0;10.0

12b;Odermatt Jonas (2004);;;;;;;;;;55.25
+;;;Järmann Florian;;;;;;;;9.75
-;2;9.75;Küng Marco;*;17;54.0;5;8.5;3;-1.25;8.75
+;6;18.5;Vogt Fredy;;15;54.5;6;18.5;0;0.0;9.75
o;5;28.25;Vogel Remo;*;11;55.5;6;28.0;1;-0.25;8.5
+;9;36.75;Suter Jonas (2003);;17;54.0;9;36.75;0;0.0;10.0
o;8;46.75;Joho Philip;*;9;56.0;11;46.0;3;-0.75;8.5

12c;Schwegler Dominik;;;;;;;;;;55.25
+;;;Bachmann Sämi;;;;;;;;9.75
o;2;9.75;Pirkheim Elias;;10;55.75;2;9.75;0;0.0;8.5
+;7;18.25;Abt Robin;;16;54.25;7;18.25;0;0.0;9.75
o;6;28.0;Kropf Marcel;**;10;55.75;9;27.25;3;-0.75;8.5
+;10;36.5;Nyffenegger Florian;;18;53.75;10;36.5;0;0.0;10.0
-;9;46.5;Erb Roger;**;11;55.5;9;46.5;0;0.0;8.75

12d;Burkhardt Roy;;;;;;;;;;55.25
+;;;Stampfli Simon (2004);;;;;;;;10.0
o;1;10.0;Hasler Luis;;14;54.75;2;9.75;1;-0.25;8.5
+;6;18.5;Schmutz Simon;*;10;55.75;10;17.25;4;-1.25;9.75
o;5;28.25;Vieira Tiago;**;4;57.25;8;27.5;3;-0.75;8.5
+;9;36.75;Christ Marino (2005);;14;54.75;10;36.5;1;-0.25;10.0
o;8;46.75;Hügli Kaj;**;6;56.75;7;47.0;-1;0.25;8.5

12e;Schmutz Adrian;*;;;;;;;;;55.25
o;;;Schmid Samuel;**;;;;;;;8.5
+;5;8.5;Regenass Reto;;23;52.5;2;9.75;-3;1.25;10.0
+;6;18.5;Grob Enea (2003);;15;54.5;2;19.75;-4;1.25;9.75
o;5;28.25;Döbeli Andreas;***;2;58.0;5;28.25;0;0.0;8.5
+;9;36.75;Abt Robin;;16;54.25;9;36.75;0;0.0;10.0
o;8;46.75;Schmid David;***;6;56.75;8;46.75;0;0.0;8.5

12f;Reinhard Reto;;;;;;;;;;55.25
o;;;Abt Robin;;;;;;;;8.5
+;5;8.5;Christ Marino (2005);;14;54.75;5;8.5;0;0.0;9.75
+;7;18.25;Regenass Reto;;23;52.5;7;18.25;0;0.0;9.75
-;6;28.0;Stalder Jonas;;11;55.5;6;28.0;0;0.0;8.75
o;9;36.75;Ris Jörn;*;11;55.5;12;36.0;3;-0.75;8.5
+;14;45.25;Hengartner Tobias (2003);;16;54.25;13;45.5;-1;0.25;10.0

13a;Dobler Florian;;;;;;;;;;55.0
+;;;Vogt Fredy;;;;;;;;10.0
o;1;10.0;Salzmann Simon;*;20;53.25;4;8.75;3;-1.25;8.75
-;5;18.75;Stüdeli Thomas;**;13;55.0;8;18.0;3;-0.75;8.75
-;8;27.5;Fricker Ivo;;16;54.25;6;28.0;-2;0.5;9.0
o;10;36.5;Bachmann Sämi;;14;54.75;11;36.25;1;-0.25;8.5
+;15;45.0;Benecke Nicholas;;18;53.75;14;45.25;-1;0.25;10.0

13b;Stüdeli Thomas;**;;;;;;;;;55.0
-;;;Rüegger Aaron;*;;;;;;;9.0
-;3;9.0;Schafroth Dario (2004);;11;55.5;1;10.0;-2;1.0;9.0
-;8;18.0;Dobler Florian;;13;55.0;5;18.75;-3;0.75;8.75
+;11;26.75;Müller Simon;;17;54.0;10;27.0;-1;0.25;9.75
o;10;36.5;Joho Philip;*;9;56.0;11;36.25;1;-0.25;8.5
+;15;45.0;Suter Jonas (2003);;17;54.0;13;45.5;-2;0.5;10.0

13c;Grieder Nonda;;;;;;;;;;55.0
+;;;Widmer David;**;;;;;;;9.75
+;2;9.75;Stalder Jonas;;11;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Hügli Kaj;**;6;56.75;6;18.5;3;-1.0;8.5
o;6;28.0;Schafroth Dario (2004);;11;55.5;6;28.0;0;0.0;8.75
+;9;36.75;Järmann Florian;;12;55.25;9;36.75;0;0.0;9.75
o;9;46.5;Reimann Marco;;5;57.0;6;47.25;-3;0.75;8.5

14a;Nussbaumer Gabriel;;;;;;;;;;54.75
o;;;Fricker Ivo;;;;;;;;8.5
+;5;8.5;Müller Simon;;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Hengartner Tobias (2003);;16;54.25;7;18.25;0;0.0;9.75
o;6;28.0;Mangold Martin;*;16;54.25;10;27.0;4;-1.0;8.5
+;10;36.5;Schärer Nico (2004);;17;54.0;9;36.75;-1;0.25;9.75
o;10;46.25;Pirkheim Elias;;10;55.75;11;46.0;1;-0.25;8.5

14b;Christ Marino (2005);;;;;;;;;;54.75
o;;;Grob Enea (2003);;;;;;;;8.5
o;5;8.5;Reinhard Reto;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Furter Jannis (2004);;17;54.0;11;17.0;0;0.0;9.75
+;11;26.75;Spies Thierry (2003);;18;53.75;11;26.75;0;0.0;9.75
o;10;36.5;Burkhardt Roy;;12;55.25;9;36.75;-1;0.25;8.5
+;15;45.0;Brugger Jonas;;22;52.75;18;44.25;3;-0.75;9.75

14c;Bachmann Sämi;;;;;;;;;;54.75
o;;;Schwegler Dominik;;;;;;;;8.5
-;5;8.5;Schick Janis (2003);;15;54.5;5;8.5;0;0.0;9.0
+;9;17.5;Herrmann Daniel (2003);;24;51.75;10;17.25;1;-0.25;10.0
-;8;27.5;Kehr Damian;;15;54.5;8;27.5;0;0.0;8.75
+;11;36.25;Dobler Florian;;13;55.0;10;36.5;-1;0.25;10.0
o;10;46.25;Schmid Samuel;**;6;56.75;8;46.75;-2;0.5;8.5

14d;Hasler Luis;;;;;;;;;;54.75
+;;;Burkhardt Roy;;;;;;;;9.75
-;2;9.75;Lisser Daniel;*;10;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Schärer Nico (2004);;17;54.0;2;19.75;-4;1.25;10.0
-;4;28.5;Gerber Manuel;*;15;54.5;6;28.0;2;-0.5;9.0
o;6;37.5;Bader Fabian;*;8;56.25;6;37.5;0;0.0;8.75
o;10;46.25;Stoll Simon;**;6;56.75;8;46.75;-2;0.5;8.5

15a;Reinhard Pirmin;;;;;;;;;;54.5
+;;;Wohlgemuth Corsin (2003);;;;;;;;9.75
+;2;9.75;Abt Robin;;16;54.25;2;9.75;0;0.0;10.0
-;2;19.75;Scherrer Johann;**;18;53.75;6;18.5;4;-1.25;8.75
-;4;28.5;Probst Gabriel;**;11;55.5;5;28.25;1;-0.25;8.75
-;7;37.25;Henzer Andreas;**;11;55.5;8;37.0;1;-0.25;8.75
o;11;46.0;Stark Urban;;10;55.75;11;46.0;0;0.0;8.5

15b;Gerber Manuel;*;;;;;;;;;54.5
+;;;Küng Marco;*;;;;;;;9.75
o;2;9.75;Hermann Oliver;**;5;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Frank Marius (2004);;16;54.25;6;18.5;-1;0.25;9.75
-;6;28.0;Hasler Luis;;14;54.75;4;28.5;-2;0.5;9.0
