3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
o;5;28.5;Bieri Christian;*;5;57.0;5;28.5;0;0.0;8.5
-;9;37.0;Elsener Manuel;;17;54.0;10;36.75;1;-0.25;8.75
o;12;45.75;Elsener Adrian;**;11;55.5;12;45.75;0;0.0;8.5

16m;Bürgi Tobias;;;;;;;;;;54.25
o;;;Bucher Christian (1998);;;;;;;;8.5
-;6;8.5;Arnold Lukas (1998);;24;35.5;6;8.5;0;0.0;8.75
o;12;17.25;Baumann Lukas;;16;54.25;11;17.5;-1;0.25;8.75
+;15;26.0;Meier Andreas;;30;34.0;17;25.5;2;-0.5;10.0
o;13;36.0;Herger Matthias;**;8;56.25;12;36.25;-1;0.25;8.5
+;17;44.5;Blattmann Philipp (2000);;22;52.75;18;44.25;1;-0.25;9.75

16n;Schürpf Guido;;;;;;;;;;54.25
o;;;Ambühl Joel (1998);;;;;;;;8.75
+;5;8.75;Andermatt Erwin (1999);;25;35.25;3;9.75;-2;1.0;10.0
o;6;18.75;Gloggner Reto;**;6;56.75;8;18.25;2;-0.5;8.75
-;9;27.5;Kenel Franz-Toni;*;14;54.75;10;27.25;1;-0.25;8.75
-;12;36.25;Amgarten Martin;;15;54.5;9;37.0;-3;0.75;9.0
-;14;45.25;Zimmermann Daniel;*;15;54.5;13;45.5;-1;0.25;9.0

17a;Elsener Manuel;;;;;;;;;;54.0
+;;;Betschart Patrick (1999);;;;;;;;10.0
+;2;10.0;Gwerder Beni;;15;54.5;2;10.0;0;0.0;9.75
o;3;19.75;Blaser Theo;*;8;56.25;6;18.75;3;-1.0;8.5
o;6;28.25;Höﬂiger Andreas;**;5;57.0;6;28.25;0;0.0;8.5
-;10;36.75;Suter Paul;;16;54.25;9;37.0;-1;0.25;8.75
o;13;45.5;Ulrich Marco;;11;55.5;13;45.5;0;0.0;8.5

17b;Neyer Sven;;;;;;;;;;54.0
-;;;Keller Janik;;;;;;;;8.75
+;5;8.75;Burkhalter Daniel (1999);;25;35.25;3;9.75;-2;1.0;9.75
o;7;18.5;Imboden Roger;**;15;54.5;12;17.25;5;-1.25;8.5
+;11;27.0;Gabriel Christian (2000);;24;35.5;11;27.0;0;0.0;10.0
o;9;37.0;Wyrsch Marco;*;10;55.75;8;37.25;-1;0.25;8.5
o;13;45.5;Andermatt Adrian;;10;55.75;12;45.75;-1;0.25;8.5

17c;Bingisser Roman;;;;;;;;;;54.0
o;;;Staub Devin (1998);;;;;;;;8.75
o;5;8.75;Baumann Marco;;14;54.75;5;8.75;0;0.0;8.5
-;12;17.25;Meier Daniel (2000);;24;35.5;13;17.0;1;-0.25;8.75
+;15;26.0;Blattmann Jonas (1999);;30;34.0;17;25.5;2;-0.5;9.75
+;14;35.75;Fischer Tobias;;22;52.75;14;35.75;0;0.0;9.75
o;13;45.5;Hösli Fritz;*;13;55.0;14;45.25;1;-0.25;8.5

17d;Corvi Dominik;;;;;;;;;;54.0
+;;;Suter Pirmin;;;;;;;;10.0
-;2;10.0;Schärli Lukas;**;26;35.0;5;8.75;3;-1.25;8.75
o;6;18.75;Wyrsch Marco;*;10;55.75;7;18.5;1;-0.25;8.5
-;10;27.25;Schmid Köbi;;15;54.5;10;27.25;0;0.0;9.0
-;12;36.25;Arnold Marcel;;19;53.5;13;36.0;1;-0.25;9.0
-;14;45.25;Heinzer Josef;;17;54.0;14;45.25;0;0.0;8.75

17e;Heinzer Josef;;;;;;;;;;54.0
o;;;Elsener Marcel;;;;;;;;8.5
+;6;8.5;Bär Leo;;20;53.25;5;8.75;-1;0.25;9.75
o;8;18.25;Küttel Pirmin;**;6;56.75;13;17.0;5;-1.25;8.5
+;12;26.75;Inderbitzin Urs;;24;35.5;11;27.0;-1;0.25;9.75
-;11;36.5;Kenel Franz-Toni;*;14;54.75;13;36.0;2;-0.5;8.75
-;14;45.25;Corvi Dominik;;17;54.0;14;45.25;0;0.0;8.75

17f;Reichmuth Roland;;;;;;;;;;54.0
+;;;Hegner Ueli (1999);;;;;;;;10.0
+;2;10.0;Gwerder Marco;;18;53.75;2;10.0;0;0.0;10.0
o;2;20.0;Villiger Cyrill;*;12;55.25;6;18.75;4;-1.25;8.5
o;5;28.5;Schöpfer Thomas;*;13;55.0;6;28.25;1;-0.25;8.5
o;9;37.0;Wittwer Jan;*;11;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Nauer Robin;;13;55.0;14;45.25;1;-0.25;8.5

17g;Ulrich Marcel;;;;;;;;;;54.0
+;;;Widmer Thomas;;;;;;;;10.0
-;2;10.0;Blattmann Philipp (2000);;22;52.75;2;10.0;0;0.0;8.75
o;6;18.75;Schuler Alex;**;8;56.25;7;18.5;1;-0.25;8.5
o;10;27.25;Suter Beat;;13;55.0;9;27.5;-1;0.25;8.5
o;14;35.75;Elsener Marcel;;15;54.5;14;35.75;0;0.0;8.5
+;18;44.25;Rogenmoser Ryan (1999);;22;52.75;18;44.25;0;0.0;9.75

17h;Kempf Damian;;;;;;;;;;54.0
+;;;Heinzer Ronny;;;;;;;;9.75
+;3;9.75;Ulrich Marco;;11;55.5;3;9.75;0;0.0;9.75
-;4;19.5;Heinzer Stefan;*;1;111.0;1;37.0;-3;17.5;8.75
o;6;28.25;Hasler Florian;**;11;55.5;6;28.25;0;0.0;8.5
o;10;36.75;Steinauer Adrian;**;8;56.25;8;37.25;-2;0.5;8.5
-;14;45.25;Märchy Sepp;;18;53.75;15;45.0;1;-0.25;8.75

18a;Grab Martin jun. (1999);;;;;;;;;;53.75
o;;;Supper Frederik;;;;;;;;8.5
+;6;8.5;Röllin Matthias (2000);;25;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Elsener Peter;**;14;54.75;10;17.75;3;-0.75;8.5
+;11;27.0;Schilliger Sven (2000);;24;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Bucher Roland;*;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Widmer Thomas;;11;55.5;13;45.5;-1;0.25;8.5

18b;Zimmermann Reto (1998);;;;;;;;;;53.75
+;;;Cotting Ivo (1999);;;;;;;;9.75
o;3;9.75;Gwerder Dominik;;18;53.75;3;9.75;0;0.0;8.5
o;8;18.25;Betschart Silvan;*;18;53.75;13;17.0;5;-1.25;8.5
+;12;26.75;Kennel Roger (1999);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Grab Daniel;**;15;54.5;13;36.0;3;-0.75;8.5
o;14;45.25;Forster Christian;;13;55.0;14;45.25;0;0.0;8.5

18c;Supper Frederik;;;;;;;;;;53.75
+;;;Grab Martin jun. (1999);;;;;;;;9.75
o;3;9.75;Gwerder Michael (2000);;16;54.25;3;9.75;0;0.0;8.5
o;8;18.25;Bättig Martin;*;24;35.5;13;17.0;5;-1.25;8.5
+;12;26.75;Birchler Fabian (2000);;25;35.25;12;26.75;0;0.0;9.75
-;11;36.5;Lagler Christian;;13;55.0;12;36.25;1;-0.25;8.75
o;14;45.25;Gwerder Andreas;*;12;55.25;14;45.25;0;0.0;8.5

18d;Gwerder Dominik;;;;;;;;;;53.75
+;;;Hürlimann Mathias (2000);;;;;;;;9.75
+;3;9.75;Zimmermann Reto (1998);;18;53.75;3;9.75;0;0.0;9.75
o;4;19.5;Zemp Thomas;*;11;55.5;6;18.75;2;-0.75;8.5
o;7;28.0;Föhn Franz;**;14;54.75;9;27.5;2;-0.5;8.5
-;11;36.5;Baumann Marco;;14;54.75;13;36.0;2;-0.5;8.75
o;14;45.25;Müller Dominik;;16;54.25;18;44.25;4;-1.0;8.5

18e;Märchy Sepp;;;;;;;;;;53.75
o;;;Amgarten Martin;;;;;;;;8.5
-;6;8.5;Thierstein Marco;;15;54.5;6;8.5;0;0.0;9.0
+;11;17.5;Diethelm Albert;*;24;35.5;13;17.0;2;-0.5;10.0
o;9;27.5;Luginbühl Hanspeter;**;12;55.25;10;27.25;1;-0.25;8.5
-;13;36.0;Briker Michael;*;11;55.5;10;36.75;-3;0.75;9.0
-;15;45.0;Kempf Damian;;17;54.0;14;45.25;-1;0.25;8.75

18f;Betschart Silvan;*;;;;;;;;;53.75
o;;;Egli David;*;;;;;;;8.5
o;6;8.5;Reichmuth Marco;*;7;56.5;5;8.75;-1;0.25;8.5
+;13;17.0;Zimmermann Reto (1998);;18;53.75;8;18.25;-5;1.25;10.0
+;11;27.0;Eﬃnger Markus;*;24;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Betschart Patrick (1999);;14;54.75;11;36.5;1;-0.25;8.5
o;14;45.25;Hurschler Michael;;12;55.25;13;45.5;-1;0.25;8.5

18g;Gwerder Marco;;;;;;;;;;53.75
+;;;Blattmann Jonas (1999);;;;;;;;10.0
o;2;10.0;Reichmuth Roland;;17;54.0;2;10.0;0;0.0;8.5
o;7;18.5;Wittwer Jan;*;11;55.5;12;17.25;5;-1.25;8.5
+;11;27.0;Hillebrandt Patrick;;24;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Zimmermann Martin;*;11;55.5;9;37.0;-1;0.25;8.5
o;14;45.25;Hurschler Adrian;;11;55.5;13;45.5;-1;0.25;8.5

19a;Egli Christian;;;;;;;;;;53.5
o;;;Schmid Köbi;;;;;;;;8.5
+;6;8.5;Kennel Roger (1999);;25;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Fassbind René;*;15;54.5;13;17.0;5;-1.25;8.5
+;12;26.75;Schuler Koni;;25;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Heinzer Stefan;*;1;111.0;1;73.0;-10;36.5;8.5
o;15;45.0;Lagler Christian;;13;55.0;15;45.0;0;0.0;8.5

19b;Arnold Marcel;;;;;;;;;;53.5
+;;;Meier Marcel;;;;;;;;9.75
-;3;9.75;Bucher Thomas;;13;55.0;3;9.75;0;0.0;9.0
o;6;18.75;Schelbert Ralf;**;4;57.25;7;18.5;1;-0.25;8.5
o;10;27.25;Egli David;*;9;56.0;10;27.25;0;0.0;8.75
-;13;36.0;Corvi Dominik;;17;54.0;12;36.25;-1;0.25;9.0
o;15;45.0;Ambühl Joel (1998);;13;55.0;14;45.25;-1;0.25;8.5

19c;Schnider Markus;*;;;;;;;;;53.5
-;;;Nietlispach Pascal;**;;;;;;;8.75
-;5;8.75;Gwerder Christian;**;11;55.5;4;9.0;-1;0.25;9.0
+;10;17.75;Gabriel Christian (2000);;24;35.5;7;18.5;-3;0.75;10.0
o;8;27.75;Schuler Philipp;**;9;56.0;6;28.25;-2;0.5;8.5
-;12;36.25;Bär Leo;;20;53.25;13;36.0;1;-0.25;8.75
o;15;45.0;Heinzer Ronny;;10;55.75;12;45.75;-3;0.75;8.5

20a;Zimmermann Armin;;;;;;;;;;53.25
o;;;Suter Beat;;;;;;;;8.5
-;6;8.5;Fischer Tobias;;22;52.75;6;8.5;0;0.0;8.75
+;12;17.25;Dittli Alexander (2000);;30;34.0;13;17.0;1;-0.25;10.0
o;10;27.25;Bircher Vital;*;10;55.75;11;27.0;1;-0.25;8.75
o;13;36.0;Betschart Marcel;;15;54.5;12;36.25;-1;0.25;8.5
o;17;44.5;Elsener Kilian;;13;55.0;15;45.0;-2;0.5;8.75

20b;Bär Leo;;;;;;;;;;53.25
-;;;Weber Manuel (1999);;;;;;;;8.75
o;5;8.75;Heinzer Josef;;17;54.0;6;8.5;1;-0.25;8.5
-;12;17.25;Fischer Tobias;;22;52.75;12;17.25;0;0.0;8.75
+;15;26.0;Stöckli Marcel (2000);;30;34.0;17;25.5;2;-0.5;10.0
-;13;36.0;Schnider Markus;*;19;53.5;12;36.25;-1;0.25;8.75
o;16;44.75;Beffa Mario;;14;54.75;16;44.75;0;0.0;8.5

20c;Bruhin Fredi;;;;;;;;;;53.25
-;;;Elsener Kilian;;;;;;;;8.75
-;5;8.75;Schelbert Roman;;27;34.75;5;8.75;0;0.0;8.75
+;11;17.5;Meier Marcel;;28;34.5;11;17.5;0;0.0;10.0
o;9;27.5;Bisig Thomas;**;12;55.25;11;27.0;2;-0.5;8.5
-;13;36.0;Bürgler André;*;16;54.25;11;36.5;-2;0.5;8.75
o;16;44.75;Baumann Marco;;14;54.75;16;44.75;0;0.0;8.5

20d;Schuler Thomas;;;;;;;;;;53.25
-;;;Imfeld Beat;;;;;;;;8.75
o;5;8.75;Nauer Robin;;13;55.0;3;9.75;-2;1.0;8.5
+;12;17.25;Schmid Pirmin (2000);;29;34.25;12;17.25;0;0.0;10.0
-;10;27.25;Imboden Roger;**;15;54.5;11;27.0;1;-0.25;8.75
-;13;36.0;Lüönd Andreas;**;14;54.75;13;36.0;0;0.0;8.75
o;16;44.75;Fassbind René;*;15;54.5;16;44.75;0;0.0;8.5

21a;Imfeld Beat;;;;;;;;;;53.0
-;;;Schuler Thomas;;;;;;;;8.75
+;5;8.75;Keller Janik;;33;26.0;5;8.75;0;0.0;9.75
-;7;18.5;Fassbind René;*;15;54.5;13;17.0;6;-1.5;9.0
o;9;27.5;Moos Christoph;;11;55.5;9;27.5;0;0.0;8.5
o;13;36.0;Zemp Thomas;*;11;55.5;8;37.25;-5;1.25;8.5
o;17;44.5;Schmid Köbi;;15;54.5;16;44.75;-1;0.25;8.5

21b;Tschan Matthias;;;;;;;;;;53.0
o;;;Schürpf Bruno;;;;;;;;8.5
+;6;8.5;Meier Andreas;;30;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Grab Daniel;**;15;54.5;10;17.75;3;-0.75;8.5
-;11;27.0;Elsener Marcel;;15;54.5;11;27.0;0;0.0;8.75
-;14;35.75;Hürlimann Mathias (2000);;21;53.0;14;35.75;0;0.0;8.75
o;17;44.5;Gwerder Beni;;15;54.5;17;44.5;0;0.0;8.5

21c;Hürlimann Mathias (2000);;;;;;;;;;53.0
o;;;Gwerder Dominik;;;;;;;;8.5
-;6;8.5;Meier Marcel;;28;34.5;6;8.5;0;0.0;9.0
+;11;17.5;Brunner Timon (1998);;28;34.5;11;17.5;0;0.0;9.75
o;10;27.25;Zimmermann Daniel;*;15;54.5;11;27.0;1;-0.25;8.5
-;14;35.75;Tschan Matthias;;21;53.0;14;35.75;0;0.0;8.75
o;17;44.5;Hegner Ueli (1999);;16;54.25;18;44.25;1;-0.25;8.5

21d;Hirsiger Alexander;;;;;;;;;;53.0
-;;;Schelbert Roman;;;;;;;;8.75
+;5;8.75;Staub Devin (1998);;25;35.25;3;9.75;-2;1.0;9.75
o;7;18.5;Reichmuth Pirmin;**;6;56.75;11;17.5;4;-1.0;8.5
-;11;27.0;Heinzer Florian;;23;35.75;11;27.0;0;0.0;8.75
-;14;35.75;Gwerder Beni;;15;54.5;14;35.75;0;0.0;8.75
o;17;44.5;Kenel Franz-Toni;*;14;54.75;16;44.75;-1;0.25;8.5

21e;Suter Pirmin;;;;;;;;;;53.0
o;;;Corvi Dominik;;;;;;;;8.5
+;6;8.5;Stöckli Marcel (2000);;30;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Luginbühl Hanspeter;**;12;55.25;11;17.5;4;-1.0;8.5
-;11;27.0;Betschart Marcel;;15;54.5;10;27.25;-1;0.25;9.0
o;13;36.0;Bisig Thomas;**;12;55.25;10;36.75;-3;0.75;8.5
o;17;44.5;Baumann Lukas;;16;54.25;17;44.5;0;0.0;8.5

22a;Reichmuth Lukas (2000);;;;;;;;;;52.75
o;;;Betschart Marcel;;;;;;;;8.5
o;6;8.5;Widmer Thomas;;11;55.5;6;8.5;0;0.0;8.5
-;13;17.0;Müller Dominik;;16;54.25;13;17.0;0;0.0;8.75
+;16;25.75;Andermatt Elvin;;30;34.0;17;25.5;1;-0.25;10.0
o;14;35.75;Hurschler Michael;;12;55.25;14;35.75;0;0.0;8.5
o;18;44.25;Imboden Roger;**;15;54.5;17;44.5;-1;0.25;8.5

22b;Blattmann Philipp (2000);;;;;;;;;;52.75
+;;;Röllin Matthias (2000);;;;;;;;10.0
-;2;10.0;Ulrich Marcel;;17;54.0;2;10.0;0;0.0;8.75
o;6;18.75;Steinauer Adrian;**;8;56.25;7;18.5;1;-0.25;8.5
o;10;27.25;Kennel Stefan;*;14;54.75;9;27.5;-1;0.25;8.5
o;14;35.75;Gut Koni;;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Bürgi Tobias;;16;54.25;17;44.5;-1;0.25;8.5

22c;Rogenmoser Ryan (1999);;;;;;;;;;52.75
o;;;Gwerder Beni;;;;;;;;8.75
-;5;8.75;Brunner Timon (1998);;28;34.5;5;8.75;0;0.0;8.75
+;11;17.5;Andermatt Erwin (1999);;25;35.25;8;18.25;-3;0.75;9.75
o;10;27.25;Diener Pirmin;*;16;54.25;12;26.75;2;-0.5;8.5
o;14;35.75;Heinzer Ronny;;10;55.75;14;35.75;0;0.0;8.5
o;18;44.25;Ulrich Marcel;;17;54.0;18;44.25;0;0.0;8.5

22d;Fischer Tobias;;;;;;;;;;52.75
o;;;Gwerder Dario;;;;;;;;8.5
-;6;8.5;Zimmermann Armin;;20;53.25;6;8.5;0;0.0;8.75
-;12;17.25;Bär Leo;;20;53.25;12;17.25;0;0.0;8.75
+;15;26.0;Meier Marcel;;28;34.5;15;26.0;0;0.0;9.75
o;14;35.75;Bingisser Roman;;17;54.0;14;35.75;0;0.0;8.5
o;18;44.25;Lüönd Andreas;**;14;54.75;16;44.75;-2;0.5;8.5

23a;Heinzer Florian;;;;;;;;;;35.75
-;;;Baumann Lukas;;;;;;;;8.75
+;5;8.75;Müller Dominik;;16;54.25;6;8.5;1;-0.25;9.75
o;7;18.5;Omlin Toni;*;11;55.5;8;18.25;1;-0.25;8.5
-;11;27.0;Hirsiger Alexander;;21;53.0;11;27.0;0;0.0;8.75

24a;Stutzer Michael (1999);;;;;;;;;;35.5
o;;;Bucher Thomas;;;;;;;;8.5
+;6;8.5;Dittli Alexander (2000);;30;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Zimmermann Martin;*;11;55.5;7;18.5;0;0.0;8.5
o;11;27.0;Widmer Thomas;;11;55.5;11;27.0;0;0.0;8.5

24b;Gabriel Christian (2000);;;;;;;;;;35.5
+;;;Stöckli Marcel (2000);;;;;;;;10.0
o;2;10.0;Schürpf Bruno;;16;54.25;3;9.75;1;-0.25;8.5
o;7;18.5;Schnider Markus;*;19;53.5;10;17.75;3;-0.75;8.5
o;11;27.0;Neyer Sven;;17;54.0;11;27.0;0;0.0;8.5

24c;Eﬃnger Peter;;;;;;;;;;35.5
+;;;Hillebrandt Patrick;;;;;;;;9.75
-;3;9.75;Elsener Marcel;;15;54.5;3;9.75;0;0.0;8.75
o;7;18.5;Fink Bruno;*;16;54.25;12;17.25;5;-1.25;8.5
o;11;27.0;Bucher Roland;*;12;55.25;11;27.0;0;0.0;8.5

24d;Küttel Samuel;;;;;;;;;;35.5
+;;;Inderbitzin Urs;;;;;;;;9.75
-;3;9.75;Betschart Daniel;;14;54.75;5;8.75;2;-1.0;8.75
o;7;18.5;Britschgi Melk;**;6;56.75;12;17.25;5;-1.25;8.5
o;11;27.0;Ambühl Joel (1998);;13;55.0;11;27.0;0;0.0;8.5

24e;Eﬃnger Markus;*;;;;;;;;;35.5
o;;;Reichmuth Armin;*;;;;;;;8.5
o;6;8.5;Waser Dominik;**;5;57.0;6;8.5;0;0.0;8.5
+;13;17.0;Durrer Fabian (1999);;16;54.25;8;18.25;-5;1.25;10.0
o;11;27.0;Betschart Silvan;*;18;53.75;11;27.0;0;0.0;8.5

24f;Bättig Martin;*;;;;;;;;;35.5
o;;;Schuler Philipp;**;;;;;;;8.5
o;6;8.5;Betschart Rainer;**;9;56.0;5;8.75;-1;0.25;8.5
+;13;17.0;Supper Frederik;;18;53.75;8;18.25;-5;1.25;10.0
o;11;27.0;Betschart Daniel;;14;54.75;9;27.5;-2;0.5;8.5

24g;Schilter Daniel;;;;;;;;;;35.5
o;;;Moos Christoph;;;;;;;;8.5
+;6;8.5;Meier Daniel (2000);;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Reichmuth Armin;*;7;56.5;7;18.5;0;0.0;8.5
o;11;27.0;Hurschler Adrian;;11;55.5;11;27.0;0;0.0;8.5

24h;Schilliger Sven (2000);;;;;;;;;;35.5
+;;;Dittli Alexander (2000);;;;;;;;10.0
o;2;10.0;Schuler Daniel;;16;54.25;3;9.75;1;-0.25;8.5
o;7;18.5;Fässler Cornel;*;12;55.25;9;18.0;2;-0.5;8.5
o;11;27.0;Grab Martin jun. (1999);;18;53.75;11;27.0;0;0.0;8.5

24i;Arnold Lukas (1998);;;;;;;;;;35.5
o;;;Schindler Thomas;;;;;;;;8.5
-;6;8.5;Bürgi Tobias;;16;54.25;6;8.5;0;0.0;8.75
+;12;17.25;Birchler Fabian (2000);;25;35.25;8;18.25;-4;1.0;9.75
o;11;27.0;Lüönd Andreas;**;14;54.75;14;26.25;3;-0.75;8.5

24j;Meier Daniel (2000);;;;;;;;;;35.5
o;;;Andermatt Erwin (1999);;;;;;;;8.5
o;6;8.5;Schilter Daniel;;24;35.5;6;8.5;0;0.0;8.5
-;13;17.0;Bingisser Roman;;17;54.0;12;17.25;-1;0.25;8.75
+;16;25.75;Brunner Timon (1998);;28;34.5;15;26.0;-1;0.25;9.75

24k;Inderbitzin Urs;;;;;;;;;;35.5
o;;;Küttel Samuel;;;;;;;;8.5
+;6;8.5;Schuler Koni;;25;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Gwerder Guido;**;7;56.5;8;18.25;1;-0.25;8.5
o;11;27.0;Heinzer Josef;;17;54.0;12;26.75;1;-0.25;8.5

24l;Hillebrandt Patrick;;;;;;;;;;35.5
o;;;Eﬃnger Peter;;;;;;;;8.5
+;6;8.5;Weber Manuel (1999);;29;34.25;5;8.75;-1;0.25;10.0
o;7;18.5;Gwerder Christian;**;11;55.5;9;18.0;2;-0.5;8.5
o;11;27.0;Gwerder Marco;;18;53.75;11;27.0;0;0.0;8.5

24m;Diethelm Albert;*;;;;;;;;;35.5
o;;;Blaser Theo;*;;;;;;;8.5
o;6;8.5;Andermatt Adrian;;10;55.75;2;10.0;-4;1.5;8.5
o;13;17.0;Märchy Sepp;;18;53.75;11;17.5;-2;0.5;8.5
+;17;25.5;Andermatt Erwin (1999);;25;35.25;12;26.75;-5;1.25;10.0

25a;Schuler Koni;;;;;;;;;;35.25
o;;;Hurschler Michael;;;;;;;;8.5
o;6;8.5;Inderbitzin Urs;;24;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Blattmann Jonas (1999);;30;34.0;13;17.0;0;0.0;9.75
o;12;26.75;Egli Christian;;19;53.5;12;26.75;0;0.0;8.5

25b;Andermatt Erwin (1999);;;;;;;;;;35.25
+;;;Meier Daniel (2000);;;;;;;;9.75
o;3;9.75;Schürpf Guido;;16;54.25;5;8.75;2;-1.0;8.5
o;8;18.25;Rogenmoser Ryan (1999);;22;52.75;11;17.5;3;-0.75;8.5
o;12;26.75;Diethelm Albert;*;24;35.5;17;25.5;5;-1.25;8.5

25c;Cotting Ivo (1999);;;;;;;;;;35.25
o;;;Zimmermann Reto (1998);;;;;;;;8.5
+;6;8.5;Schmid Pirmin (2000);;29;34.25;5;8.75;-1;0.25;9.75
o;8;18.25;Kennel Beat;*;11;55.5;13;17.0;5;-1.25;8.5
o;12;26.75;Elsener Kilian;;13;55.0;13;26.5;1;-0.25;8.5

25d;Staub Devin (1998);;;;;;;;;;35.25
+;;;Bingisser Roman;;;;;;;;9.75
o;3;9.75;Hirsiger Alexander;;21;53.0;5;8.75;2;-1.0;8.5
o;8;18.25;Diener Pirmin;*;16;54.25;13;17.0;5;-1.25;8.5
o;12;26.75;Ulrich Marco;;11;55.5;11;27.0;-1;0.25;8.5

25e;Kennel Roger (1999);;;;;;;;;;35.25
o;;;Hurschler Adrian;;;;;;;;8.5
o;6;8.5;Egli Christian;;19;53.5;6;8.5;0;0.0;8.5
+;13;17.0;Andermatt Elvin;;30;34.0;13;17.0;0;0.0;9.75
o;12;26.75;Zimmermann Reto (1998);;18;53.75;12;26.75;0;0.0;8.5

25f;Strebel Sandro;**;;;;;;;;;35.25
-;;;Fässler Cornel;*;;;;;;;9.0
o;4;9.0;Kälin Roland;**;10;55.75;5;8.75;1;-0.25;8.5
-;11;17.5;Baumann Marco;;14;54.75;7;18.5;-4;1.0;9.0
-;13;26.5;Heinzer Ronny;;10;55.75;11;27.0;-2;0.5;8.75

25g;Röllin Matthias (2000);;;;;;;;;;35.25
o;;;Blattmann Philipp (2000);;;;;;;;8.5
o;6;8.5;Grab Martin jun. (1999);;18;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Forster Christian;;13;55.0;13;17.0;0;0.0;8.5
+;17;25.5;Dittli Alexander (2000);;30;34.0;17;25.5;0;0.0;9.75

25h;Burkhalter Daniel (1999);;;;;;;;;;35.25
+;;;Rüttimann Reto;;;;;;;;9.75
o;3;9.75;Neyer Sven;;17;54.0;5;8.75;2;-1.0;8.5
o;8;18.25;Hösli Fritz;*;13;55.0;12;17.25;4;-1.0;8.5
o;12;26.75;Durrer Fabian (1999);;16;54.25;12;26.75;0;0.0;8.5

25i;Lustenberger Josef;;;;;;;;;;35.25
o;;;Bürgler Lukas;;;;;;;;8.5
+;6;8.5;Heinzer Ronny;;10;55.75;6;8.5;0;0.0;9.75
o;8;18.25;Bisig Thomas;**;12;55.25;13;17.0;5;-1.25;8.5
o;12;26.75;Kennel Beat;*;11;55.5;11;27.0;-1;0.25;8.5

25j;Birchler Fabian (2000);;;;;;;;;;35.25
+;;;Zimmermann Fabian;;;;;;;;9.75
o;3;9.75;Gut Koni;;16;54.25;5;8.75;2;-1.0;8.5
o;8;18.25;Arnold Lukas (1998);;24;35.5;12;17.25;4;-1.0;8.5
o;12;26.75;Supper Frederik;;18;53.75;12;26.75;0;0.0;8.5

25k;Klauser Nico;;;;;;;;;;35.25
o;;;Gwerder Michael (2000);;;;;;;;8.5
+;6;8.5;Forster Christian;;13;55.0;6;8.5;0;0.0;9.75
o;8;18.25;Zimmermann Daniel;*;15;54.5;12;17.25;4;-1.0;8.5
o;12;26.75;Betschart Patrick (1999);;14;54.75;12;26.75;0;0.0;8.5

25l;Zimmermann Fabian;;;;;;;;;;35.25
o;;;Birchler Fabian (2000);;;;;;;;8.5
o;6;8.5;Durrer Fabian (1999);;16;54.25;6;8.5;0;0.0;8.5
+;13;17.0;Stöckli Marcel (2000);;30;34.0;13;17.0;0;0.0;9.75
o;12;26.75;Forster Christian;;13;55.0;12;26.75;0;0.0;8.5

26a;Schärli Lukas;**;;;;;;;;;35.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
-;5;8.75;Corvi Dominik;;17;54.0;2;10.0;-3;1.25;8.75
-;11;17.5;Lüönd Andreas;**;14;54.75;11;17.5;0;0.0;8.75
-;14;26.25;Baumann Lukas;;16;54.25;10;27.25;-4;1.0;8.75

27a;Schelbert Roman;;;;;;;;;;34.75
-;;;Hirsiger Alexander;;;;;;;;8.75
-;5;8.75;Bruhin Fredi;;20;53.25;5;8.75;0;0.0;8.75
-;11;17.5;Elsener Kilian;;13;55.0;10;17.75;-1;0.25;8.75
o;14;26.25;Föhn Pirmin;*;12;55.25;11;27.0;-3;0.75;8.5

28a;Meier Marcel;;;;;;;;;;34.5
o;;;Arnold Marcel;;;;;;;;8.5
-;6;8.5;Hürlimann Mathias (2000);;21;53.0;6;8.5;0;0.0;9.0
o;11;17.5;Bruhin Fredi;;20;53.25;11;17.5;0;0.0;8.5
o;15;26.0;Fischer Tobias;;22;52.75;15;26.0;0;0.0;8.5

28b;Brunner Timon (1998);;;;;;;;;;34.5
-;;;Schmid Pirmin (2000);;;;;;;;8.75
