3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;4;38.25;Schelbert Ralf;**;4;57.25;4;38.25;0;0.0;9.0
-;6;47.25;Kälin Remo;*;12;55.25;9;46.5;3;-0.75;9.0

8e;Herger Matthias;**;;;;;;;;;56.25
-;;;Kälin Roland;**;;;;;;;8.75
o;5;8.75;Schuler Alex;**;8;56.25;5;8.75;0;0.0;8.5
+;12;17.25;Betschart Patrick (1999);;14;54.75;8;18.25;-4;1.0;10.0
-;10;27.25;Lagler Christian;;13;55.0;10;27.25;0;0.0;9.0
+;12;36.25;Bürgi Tobias;;16;54.25;13;36.0;1;-0.25;10.0
+;10;46.25;Zimmermann Martin;*;11;55.5;7;47.0;-3;0.75;10.0

9a;Schuler Philipp;**;;;;;;;;;56.0
+;;;Bättig Martin;*;;;;;;;10.0
o;2;10.0;Ulrich Andreas;***;4;57.25;2;10.0;0;0.0;8.5
+;7;18.5;Nauer Robin;;13;55.0;4;19.5;-3;1.0;9.75
+;6;28.25;Schnider Markus;*;19;53.5;8;27.75;2;-0.5;10.0
-;4;38.25;Höﬂiger Andreas;**;5;57.0;4;38.25;0;0.0;8.75
-;7;47.0;Wittwer Jan;*;11;55.5;8;46.75;1;-0.25;9.0

9b;Betschart Rainer;**;;;;;;;;;56.0
-;;;Grab Daniel;**;;;;;;;8.75
+;5;8.75;Bättig Martin;*;24;35.5;6;8.5;1;-0.25;10.0
+;6;18.75;Suter Paul;;16;54.25;2;20.0;-4;1.25;10.0
o;4;28.75;Grab Martin;***;6;56.75;5;28.5;1;-0.25;8.5
+;8;37.25;Forster Christian;;13;55.0;10;36.75;2;-0.5;10.0
-;6;47.25;Hasler Florian;**;11;55.5;8;46.75;2;-0.5;8.75

9c;Linggi Bruno;**;;;;;;;;;56.0
+;;;Gloggner Reto;**;;;;;;;10.0
+;2;10.0;Heinzer Stefan;*;1;111.0;1;20.0;-1;10.0;9.75
+;3;19.75;Theiler Beat;*;7;56.5;5;19.0;2;-0.75;9.75
o;3;29.5;Schuler Christian;***;2;59.0;3;29.5;0;0.0;8.5
-;5;38.0;Inderbitzin Daniel;*;12;55.25;7;37.5;2;-0.5;9.0
-;7;47.0;Reichmuth Marco;*;7;56.5;5;47.5;-2;0.5;9.0

9d;Egli David;*;;;;;;;;;56.0
+;;;Betschart Silvan;*;;;;;;;10.0
o;2;10.0;Müllestein Mike;**;7;56.5;5;8.75;3;-1.25;8.5
-;7;18.5;Moos Christoph;;11;55.5;6;18.75;-1;0.25;8.75
+;10;27.25;Arnold Marcel;;19;53.5;10;27.25;0;0.0;10.0
-;8;37.25;Kälin Roland;**;10;55.75;8;37.25;0;0.0;8.75
+;11;46.0;Elsener Peter;**;14;54.75;10;46.25;-1;0.25;10.0

10a;Gwerder Carlo;**;;;;;;;;;55.75
-;;;Lüönd Andreas;**;;;;;;;8.75
o;5;8.75;Wyrsch Marco;*;10;55.75;5;8.75;0;0.0;8.5
+;12;17.25;Elsener Marcel;;15;54.5;7;18.5;-5;1.25;10.0
o;10;27.25;Wittwer Jan;*;11;55.5;10;27.25;0;0.0;8.75
+;13;36.0;Schmid Köbi;;15;54.5;12;36.25;-1;0.25;9.75
+;12;45.75;Gut Koni;;16;54.25;12;45.75;0;0.0;10.0

10b;Bucher Christian (1998);;;;;;;;;;55.75
+;;;Bürgi Tobias;;;;;;;;9.75
+;3;9.75;Diener Pirmin;*;16;54.25;6;8.5;3;-1.25;10.0
o;3;19.75;Inderbitzin Daniel;*;12;55.25;6;18.75;3;-1.0;8.75
-;5;28.5;Kessler Joel;;15;54.5;5;28.5;0;0.0;9.0
o;7;37.5;Blaser Theo;*;8;56.25;7;37.5;0;0.0;8.5
+;11;46.0;Kennel Stefan;*;14;54.75;10;46.25;-1;0.25;9.75

