3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
6b;Staudenmann Fabian (2000);*;;;;;;;;;56.0
-;;;Odermatt Andreas;*;;;;;;;8.75
+;4;8.75;Kammermann Thomas;*;29;34.0;5;8.5;1;-0.25;10.0
+;4;18.75;Krähenbühl Tobias;***;13;54.25;5;18.5;1;-0.25;10.0
+;3;28.75;Bieri Marcel;**;5;56.25;5;28.25;2;-0.5;9.75
o;2;38.5;Ulrich Andreas;***;7;55.75;6;37.25;4;-1.25;8.75
o;5;47.25;Gwerder Guido;**;6;56.0;9;46.25;4;-1.0;8.75

6c;Brun Jonas;**;;;;;;;;;56.0
-;;;Schütz Urs;**;;;;;;;8.75
+;4;8.75;Blaser Roman;*;26;34.75;4;8.75;0;0.0;9.75
+;5;18.5;Gehrig Damian;***;12;54.5;9;17.5;4;-1.0;9.75
-;5;28.25;Rychen Roger;***;3;56.75;5;28.25;0;0.0;9.0
+;6;37.25;Steffen Valentin;*;13;54.25;6;37.25;0;0.0;10.0
-;5;47.25;Anderegg Simon;***;5;56.25;4;47.5;-1;0.25;8.75

6d;Arnold Stefan;**;;;;;;;;;56.0
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Rolli Martin;**;13;54.25;4;8.75;0;0.0;10.0
+;4;18.75;Schneider Domenic;***;3;56.75;4;18.75;0;0.0;10.0
+;3;28.75;Sommer Roman;*;10;55.0;5;28.25;2;-0.5;9.75
o;2;38.5;Kämpf Bernhard;***;1;57.25;2;38.5;0;0.0;8.5
-;6;47.0;von Weissenfluh Kilian;**;9;55.25;9;46.25;3;-0.75;9.0

6e;von Ah Benji;***;;;;;;;;;56.0
o;;;Rychen Roger;***;;;;;;;8.5
+;5;8.5;Wickli Beat;**;24;35.25;2;9.75;-3;1.25;10.0
-;5;18.5;Orlik Curdin;**;12;54.5;5;18.5;0;0.0;8.75
-;8;27.25;Zenger Niklaus;***;3;56.75;6;28.0;-2;0.75;8.75
+;11;36.0;Ramseier Thomas;*;14;54.0;8;36.75;-3;0.75;10.0
+;10;46.0;Krähenbühl Tobias;***;13;54.25;11;45.75;1;-0.25;10.0

7a;Egli Pirmin;**;;;;;;;;;55.75
+;;;Schenkel Remo;*;;;;;;;9.75
+;2;9.75;Notz Beni;***;9;55.25;4;8.75;2;-1.0;9.75
o;3;19.5;Kämpf Bernhard;***;1;57.25;2;19.75;-1;0.25;8.5
+;6;28.0;Steffen Gustav;*;9;55.25;9;27.0;3;-1.0;10.0
-;4;38.0;Reusser Philipp;***;1;57.25;3;38.25;-1;0.25;9.0
-;6;47.0;Omlin Toni;*;11;54.75;10;46.0;4;-1.0;8.75

7b;Bösch Daniel;***;;;;;;;;;55.75
o;;;Wenger Kilian;***;;;;;;;8.5
+;5;8.5;Bürli Roger;**;11;54.75;2;9.75;-3;1.25;10.0
+;5;18.5;Inderbitzin Daniel;*;14;54.0;4;18.75;-1;0.25;10.0
o;4;28.5;Stucki Christian;***;1;57.25;4;28.5;0;0.0;8.5
+;7;37.0;Waser Dominik;**;7;55.75;6;37.25;-1;0.25;10.0
