3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
27a;Gnägi Christian;*;;;;;;;;;34.5
-;;;Ambühl Joel;*;;;;;;;8.75
o;4;8.75;Bernhard Lukas;*;9;55.25;5;8.5;1;-0.25;8.5
o;10;17.25;Müller Michael;**;23;35.75;9;17.5;-1;0.25;8.5
-;14;25.75;Amgarten Roman;*;26;34.75;13;26.0;-1;0.25;8.75

27b;Pulfer Thomas;*;;;;;;;;;34.5
-;;;Vogel Remo;**;;;;;;;8.75
o;4;8.75;Waser Dominik;**;7;55.75;4;8.75;0;0.0;8.5
-;10;17.25;Odermatt Andreas;*;17;53.25;10;17.25;0;0.0;8.75
o;13;26.0;Rohrer Ivan;**;10;55.0;11;26.5;-2;0.5;8.5

27c;Gäggeler Adrian;*;;;;;;;;;34.5
-;;;Hurschler Thomas;**;;;;;;;8.75
-;4;8.75;Odermatt Christian;**;15;53.75;5;8.5;1;-0.25;8.75
o;9;17.5;Gwerder Guido;**;6;56.0;6;18.25;-3;0.75;8.5
o;13;26.0;Linggi Bruno;**;18;53.0;13;26.0;0;0.0;8.5

27d;Steiner Michael;**;;;;;;;;;34.5
-;;;Zimmermann Martin;**;;;;;;;8.75
-;4;8.75;Wyrsch Marco;**;14;54.0;2;9.75;-2;1.0;8.75
o;9;17.5;Schütz Urs;**;11;54.75;9;17.5;0;0.0;8.5
o;13;26.0;Vogel Remo;**;12;54.5;12;26.25;-1;0.25;8.5

27e;Ambühl Joel;*;;;;;;;;;34.5
-;;;Gnägi Christian;*;;;;;;;8.75
o;4;8.75;Schletti Andreas;*;20;52.5;5;8.5;1;-0.25;8.5
o;10;17.25;Gobeli Patrick;*;14;54.0;11;17.0;1;-0.25;8.5
-;14;25.75;Fankhauser Reto;*;24;35.25;11;26.5;-3;0.75;8.75

27f;Habegger Heinz;**;;;;;;;;;34.5
o;;;Gwerder Guido;**;;;;;;;8.75
o;4;8.75;Schuler Philipp;**;7;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Fankhauser Marco;**;5;56.25;7;18.0;-3;0.75;8.5
-;14;25.75;Höfliger Andreas;**;28;34.25;15;25.5;1;-0.25;8.75

28a;Höfliger Andreas;**;;;;;;;;;34.25
o;;;Kid Simon;**;;;;;;;8.5
o;5;8.5;Berger René;**;19;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Roth Martin;*;11;54.75;8;17.75;-3;0.75;8.5
-;15;25.5;Habegger Heinz;**;27;34.5;14;25.75;-1;0.25;8.75

28b;Waber Lorenz;*;;;;;;;;;34.25
o;;;Wyrsch Marco;**;;;;;;;8.5
-;5;8.5;Lussi Marco;*;25;35.0;4;8.75;-1;0.25;8.75
o;10;17.25;Odermatt Christian;**;15;53.75;10;17.25;0;0.0;8.5
o;14;25.75;Bühler Hannes;*;19;52.75;15;25.5;1;-0.25;8.5

29a;Kammermann Thomas;*;;;;;;;;;34.0
o;;;Schlüchter Colin;*;;;;;;;8.5
o;5;8.5;Staudenmann Fabian (2000);*;6;56.0;4;8.75;-1;0.25;8.5
o;11;17.0;Roth Dominik;**;14;54.0;10;17.25;-1;0.25;8.5
o;15;25.5;Reichmuth Armin;*;13;54.25;14;25.75;-1;0.25;8.5

30a;Käser Remo;***;;;;;;;;;8.5
o;;;Bieri Marcel;**;;;;;;;8.5

30b;Bättig Martin;*;;;;;;;;;8.5
o;;;Wenger Marcel (1999);*;;;;;;;8.5

