5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
-;4;28.5;Dubey Gaël;*;15;54.25;5;28.25;1;-0.25;9.0
+;7;37.5;Wenger Marco;;12;55.0;10;36.75;3;-0.75;10.0
o;5;47.5;Derron Cédric;*;5;56.75;7;47.0;2;-0.5;8.75

7b;Baeriswyl Christoph;**;;;;;;;;;56.25
-;;;Haenni Stéphane;**;;;;;;;8.75
+;5;8.75;Jacot Ismaël;;11;55.25;2;9.75;-3;1.0;10.0
+;4;18.75;Rogivue Théo (2003);;15;54.25;5;18.5;1;-0.25;9.75
+;4;28.5;Crettaz Olivier;*;11;55.25;5;28.25;1;-0.25;9.75
-;4;38.25;Colò Kilian;**;4;57.0;4;38.25;0;0.0;9.0
-;6;47.25;Stoll Thomas;;5;56.75;3;48.0;-3;0.75;9.0

7c;Kälin Roland;**;;;;;;;;;56.25
+;;;Duplan Steve;***;;;;;;;9.5
o;3;9.5;Gapany Benjamin;***;2;58.0;1;10.0;-2;0.5;8.5
+;7;18.0;Maire Pascal (2004);;13;54.75;7;18.0;0;0.0;9.75
o;7;27.75;Wieland Janis;*;8;56.0;4;28.5;-3;0.75;8.75
+;11;36.5;Clément Aurélien (2003);;15;54.25;8;37.25;-3;0.75;9.75
+;10;46.25;Bapst Richard;;12;55.0;9;46.5;-1;0.25;10.0

8a;Hess Michael;*;;;;;;;;;56.0
o;;;Hayoz Quentin;*;;;;;;;8.5
+;6;8.5;Schläfli Hugo;;11;55.25;1;10.0;-5;1.5;9.75
+;6;18.25;Vonlanthen Alexandre;;15;54.25;4;18.75;-2;0.5;10.0
o;5;28.25;Gottofrey Marc;**;5;56.75;4;28.5;-1;0.25;8.75
+;9;37.0;Mosimann Vincent;*;13;54.75;6;37.75;-3;0.75;10.0
-;7;47.0;Mollet Ivan;**;9;55.75;8;46.75;1;-0.25;9.0

8b;Bapst Ludovic;;;;;;;;;;56.0
+;;;Buchs Simon (2004);;;;;;;;10.0
o;1;10.0;Berset Cyril;*;10;55.5;6;8.5;5;-1.5;8.5
o;5;18.5;Colò Kilian;**;4;57.0;5;18.5;0;0.0;8.5
+;10;27.0;Gueissaz Léonard (2003);;15;54.25;9;27.25;-1;0.25;10.0
+;9;37.0;Neyroud Geoffrey;;15;54.25;9;37.0;0;0.0;10.0
