5297-2022-05-08_Basellandschaftliches_Kantonalschwingfest-ST

1a;Döbeli Andreas;***;;;;;;;;;58.5
-;7;27.25;Schmutz Adrian;*;15;54.25;8;27.0;1;-0.25;8.75
+;12;36.0;Gisin Yanic;;11;55.25;9;36.75;-3;0.75;10.0
-;10;46.0;Stüdeli Thomas;**;14;54.5;11;45.75;1;-0.25;8.75

13b;Ledermann Patrik;;;;;;;;;;54.75
-;;;Huser Roman;;;;;;;;8.75
o;4;8.75;Joho Pascal (2004);;8;56.0;4;8.75;0;0.0;8.5
+;9;17.25;Regenass Reto;;28;34.5;9;17.25;0;0.0;10.0
o;7;27.25;Hermann Lukas;;14;54.5;8;27.0;1;-0.25;8.5
+;13;35.75;Fritz Andreas;;19;53.25;12;36.0;-1;0.25;10.0
-;11;45.75;Bachmann Sämi;;15;54.25;13;45.25;2;-0.5;9.0

14a;Räber Lukas;*;;;;;;;;;54.5
+;;;Odermatt Jonas (2004);;;;;;;;9.75
o;2;9.75;Döbeli Andreas;***;1;58.5;1;10.0;-1;0.25;8.5
+;7;18.25;Gisin Yanic;;11;55.25;6;18.5;-1;0.25;10.0
-;4;28.25;Stoll Simon;**;11;55.25;7;27.25;3;-1.0;8.75
-;8;37.0;Gerber Andrj;*;12;55.0;7;37.25;-1;0.25;8.75
-;11;45.75;Arnold Kornel;*;14;54.5;11;45.75;0;0.0;8.75

14b;Arnold Kornel;*;;;;;;;;;54.5
+;;;Christ Dario;*;;;;;;;9.75
-;2;9.75;Frank Marius (2004);;6;56.5;2;9.75;0;0.0;8.75
o;6;18.5;Roth Philipp;***;4;57.0;7;18.25;1;-0.25;8.5
+;8;27.0;Huser Roman;;18;53.5;6;27.5;-2;0.5;10.0
-;8;37.0;Gerber Manuel;*;9;55.75;8;37.0;0;0.0;8.75
-;11;45.75;Räber Lukas;*;14;54.5;11;45.75;0;0.0;8.75

14c;Studinger Robin (2006);;;;;;;;;;54.5
o;;;Stampfli Simon (2004);;;;;;;;8.5
+;5;8.5;Studer Louis (2004);;14;54.5;5;8.5;0;0.0;10.0
+;6;18.5;Antenen Remo (2004);;11;55.25;6;18.5;0;0.0;10.0
o;3;28.5;Stüdeli Thomas;**;14;54.5;7;27.25;4;-1.25;8.5
o;8;37.0;Rohrbach Jérôme;;9;55.75;6;37.5;-2;0.5;8.5
-;12;45.5;Voggensperger Til (2004);;14;54.5;12;45.5;0;0.0;9.0

14d;Christ Marino (2005);;;;;;;;;;54.5
o;;;Wüthrich Jonas;;;;;;;;8.5
+;5;8.5;Brunner Lukas (2006);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Widmer David;**;14;54.5;9;17.25;3;-1.25;8.75
o;7;27.25;Kehr Damian;;15;54.25;8;27.0;1;-0.25;8.5
+;13;35.75;Pradetto Diego (2006);;20;53.0;13;35.75;0;0.0;9.75
-;12;45.5;Hermann Lukas;;14;54.5;12;45.5;0;0.0;9.0

14e;Studer Louis (2004);;;;;;;;;;54.5
o;;;Studinger Robin (2006);;;;;;;;8.5
o;5;8.5;Pradetto Diego (2006);;20;53.0;4;8.75;-1;0.25;8.5
+;10;17.0;Jüngling Pascal (2006);;25;35.5;10;17.0;0;0.0;9.75
-;9;26.75;Herrmann Daniel;;27;34.75;12;25.75;3;-1.0;9.0
o;13;35.75;Reinhard Roman (2005);;15;54.25;13;35.75;0;0.0;8.75
+;16;44.5;Hohler Janis (2005);;21;52.75;17;44.25;1;-0.25;10.0

14f;Hengartner Jonas (2005);;;;;;;;;;54.5
o;;;Hermann Lukas;;;;;;;;8.5
+;5;8.5;Nyffenegger Florian;;26;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Schärer Nico (2004);;24;35.75;7;18.25;0;0.0;9.0
-;7;27.25;Anderegg Michael (2006);;20;53.0;8;27.0;1;-0.25;9.0
o;11;36.25;Graber Colin;;15;54.25;13;35.75;2;-0.5;8.5
+;15;44.75;Pradetto Diego (2006);;20;53.0;17;44.25;2;-0.5;9.75

14g;Bieli Andreas;;;;;;;;;;54.5
-;;;Dünner Tobias (2005);;;;;;;;8.75
o;4;8.75;Odermatt Jonas (2004);;10;55.5;5;8.5;1;-0.25;8.5
+;9;17.25;Gehrig Nils (2006);;29;34.25;9;17.25;0;0.0;10.0
o;7;27.25;Rüegger Aaron;*;9;55.75;8;27.0;1;-0.25;8.5
+;13;35.75;Schwab David;;14;54.5;12;36.0;-1;0.25;10.0
o;11;45.75;Joho Pascal (2004);;8;56.0;9;46.25;-2;0.5;8.75

14h;Voggensperger Til (2004);;;;;;;;;;54.5
+;;;Anderegg Michael (2006);;;;;;;;10.0
o;1;10.0;Mangold Michael;**;22;45.75;4;8.75;3;-1.25;8.5
+;6;18.5;Suter Jonas;;16;54.0;6;18.5;0;0.0;10.0
o;3;28.5;Schmid Samuel;**;5;56.75;3;28.5;0;0.0;8.5
o;8;37.0;Strebel Dominic (2005);;12;55.0;9;36.75;1;-0.25;8.5
-;12;45.5;Studinger Robin (2006);;14;54.5;12;45.5;0;0.0;9.0

14i;Schwab David;;;;;;;;;;54.5
-;;;Regenass Beat;;;;;;;;8.75
+;4;8.75;Nussbaumer Gabriel;;16;54.0;4;8.75;0;0.0;9.75
o;6;18.5;Bader Fabian;**;9;55.75;6;18.5;0;0.0;8.5
-;8;27.0;Jehle Aaron (2005);;19;53.25;8;27.0;0;0.0;9.0
o;12;36.0;Bieli Andreas;;14;54.5;13;35.75;1;-0.25;8.5
+;16;44.5;Wüthrich Jonas;;18;53.5;14;45.0;-2;0.5;10.0

14j;Hermann Lukas;;;;;;;;;;54.5
+;;;Hengartner Jonas (2005);;;;;;;;9.75
o;2;9.75;Henzer Andreas;**;11;55.25;5;8.5;3;-1.25;8.5
-;7;18.25;Widmer Dino;;27;34.75;8;17.5;1;-0.75;8.75
+;8;27.0;Ledermann Patrik;;13;54.75;7;27.25;-1;0.25;10.0
o;8;37.0;Odermatt Jonas (2004);;10;55.5;8;37.0;0;0.0;8.5
-;12;45.5;Christ Marino (2005);;14;54.5;12;45.5;0;0.0;9.0

14k;Stüdeli Thomas;**;;;;;;;;;54.5
o;;;Hügli Kaj;**;;;;;;;8.5
-;5;8.5;Stadler Kevin;*;19;53.25;4;8.75;-1;0.25;8.75
+;9;17.25;Müller Simon;;10;55.5;6;18.5;-3;1.25;10.0
+;7;27.25;Studinger Robin (2006);;14;54.5;3;28.5;-4;1.25;9.75
-;8;37.0;Mangold Michael;**;22;45.75;8;37.0;0;0.0;8.75
-;11;45.75;Hasler Luis;;13;54.75;10;46.0;-1;0.25;8.75

14l;Widmer David;**;;;;;;;;;54.5
-;;;Streich Sascha;;;;;;;;8.75
o;4;8.75;Voggensperger Lars;*;3;57.25;3;9.0;-1;0.25;8.5
+;9;17.25;Christ Marino (2005);;14;54.5;6;18.5;-3;1.25;10.0
+;7;27.25;Ancona Enea (2004);;11;55.25;4;28.25;-3;1.0;10.0
o;7;37.25;Roth Philipp;***;4;57.0;8;37.0;1;-0.25;8.5
-;11;45.75;Schmutz Adrian;*;15;54.25;12;45.5;1;-0.25;8.75

15a;Graber Colin;;;;;;;;;;54.25
+;;;Burtschi Michael;;;;;;;;10.0
o;1;10.0;Voggensperger Janic;**;5;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Rüegg Daniel;;10;55.5;6;18.5;0;0.0;8.5
-;8;27.0;Bachmann Sämi;;15;54.25;6;27.5;-2;0.5;8.75
+;13;35.75;Hengartner Jonas (2005);;14;54.5;11;36.25;-2;0.5;10.0
o;11;45.75;Stoll Simon;**;11;55.25;13;45.25;2;-0.5;8.5

15b;Stalder Jonas;;;;;;;;;;54.25
+;;;Jehle Aaron (2005);;;;;;;;9.75
o;2;9.75;Rüegger Aaron;*;9;55.75;5;8.5;3;-1.25;8.5
-;7;18.25;Furrer Mathias;;25;35.5;7;18.25;0;0.0;8.75
o;8;27.0;Müller Simon;;10;55.5;8;27.0;0;0.0;8.75
-;13;35.75;Huser Roman;;18;53.5;12;36.0;-1;0.25;8.75
+;16;44.5;Kulmer Nick (2004);;20;53.0;16;44.5;0;0.0;9.75

15c;Bachmann Sämi;;;;;;;;;;54.25
-;;;Joho Pascal (2004);;;;;;;;8.75
+;4;8.75;Reinhard Roman (2005);;15;54.25;1;10.0;-3;1.25;10.0
-;5;18.75;Bearda Samuel;**;19;53.25;6;18.5;1;-0.25;8.75
-;6;27.5;Graber Colin;;15;54.25;8;27.0;2;-0.5;8.75
-;11;36.25;Loosli Adrian;;19;53.25;13;35.75;2;-0.5;9.0
-;13;45.25;Ledermann Patrik;;13;54.75;11;45.75;-2;0.5;9.0

15d;Buchmann Moritz (2005);;;;;;;;;;54.25
+;;;Nyffenegger Florian;;;;;;;;10.0
o;1;10.0;Brand Christian;**;12;55.0;4;8.75;3;-1.25;8.5
o;6;18.5;Odermatt Jonas (2004);;10;55.5;6;18.5;0;0.0;8.5
-;8;27.0;Nussbaumer Dominik;;15;54.25;8;27.0;0;0.0;8.75
+;13;35.75;Richardson Patrick;;20;53.0;12;36.0;-1;0.25;10.0
o;11;45.75;Gerber Manuel;*;9;55.75;11;45.75;0;0.0;8.5

15e;Burren Dominik;;;;;;;;;;54.25
o;;;Dobler Florian;;;;;;;;8.5
+;5;8.5;Burtschi Michael;;25;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Scherrer Johann;**;18;53.5;9;17.25;3;-1.25;8.75
o;7;27.25;Rohrbach Jérôme;;9;55.75;6;27.5;-1;0.25;8.5
+;13;35.75;Caviezel Nicolas;;12;55.0;9;36.75;-4;1.0;10.0
o;11;45.75;Bader Fabian;**;9;55.75;11;45.75;0;0.0;8.5

15f;Schmutz Adrian;*;;;;;;;;;54.25
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Stocker Niklas (2005);;10;55.5;1;10.0;-4;1.5;10.0
o;6;18.5;Dünner Tobias (2005);;11;55.25;6;18.5;0;0.0;8.5
-;8;27.0;Hasler Luis;;13;54.75;7;27.25;-1;0.25;8.75
+;13;35.75;Nussbaumer Gabriel;;16;54.0;9;36.75;-4;1.0;9.75
-;12;45.5;Stadler Kevin;*;19;53.25;16;44.5;4;-1.0;8.75
-;15;54.25;Widmer David;**;14;54.5;14;54.5;-1;0.25;0.0

15g;Reinhard Roman (2005);;;;;;;;;;54.25
+;;;Pradetto Diego (2006);;;;;;;;10.0
o;1;10.0;Bachmann Sämi;;15;54.25;4;8.75;3;-1.25;8.5
-;6;18.5;Hohler Janis (2005);;21;52.75;6;18.5;0;0.0;8.75
o;7;27.25;Gerber Manuel;*;9;55.75;8;27.0;1;-0.25;8.5
+;13;35.75;Studer Louis (2004);;14;54.5;13;35.75;0;0.0;10.0
o;11;45.75;Stocker Niklas (2005);;10;55.5;11;45.75;0;0.0;8.5

15h;Kehr Damian;;;;;;;;;;54.25
+;;;Wohlgemuth Corsin;;;;;;;;10.0
o;1;10.0;Stoll Simon;**;11;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Lüscher Sinisha (2006);;6;56.5;7;18.25;1;-0.25;8.5
+;8;27.0;Christ Marino (2005);;14;54.5;7;27.25;-1;0.25;10.0
o;8;37.0;Stegmüller Klemens;*;11;55.25;9;36.75;1;-0.25;8.75
o;11;45.75;Streich Sascha;;8;56.0;4;47.5;-7;1.75;8.5

15i;Nussbaumer Dominik;;;;;;;;;;54.25
-;;;Loosli Adrian;;;;;;;;8.75
+;4;8.75;Gehrig Nils (2006);;29;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Henzer Andreas;**;11;55.25;6;18.5;0;0.0;8.5
-;8;27.0;Buchmann Moritz (2005);;15;54.25;8;27.0;0;0.0;8.75
-;13;35.75;Kulmer Nick (2004);;20;53.0;13;35.75;0;0.0;8.75
+;16;44.5;Anderegg Michael (2006);;20;53.0;16;44.5;0;0.0;9.75

15j;Mangold Martin;*;;;;;;;;;54.25
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Dobler Florian;;10;55.5;1;10.0;-3;1.25;9.75
-;6;18.5;Brand Christian;**;12;55.0;6;18.5;0;0.0;8.75
+;7;27.25;Stampfli Simon (2004);;17;53.75;5;28.0;-2;0.75;10.0
o;7;37.25;Voggensperger Janic;**;5;56.75;7;37.25;0;0.0;8.5
o;11;45.75;Lüscher Sinisha (2006);;6;56.5;8;46.5;-3;0.75;8.5

16a;Nussbaumer Gabriel;;;;;;;;;;54.0
o;;;Bearda Samuel;**;;;;;;;8.75
o;4;8.75;Schwab David;;14;54.5;4;8.75;0;0.0;8.5
+;9;17.25;Wohlgemuth Corsin;;29;34.25;10;17.0;1;-0.25;9.75
+;8;27.0;Brugger Jonas;;27;34.75;10;26.25;2;-0.75;9.75
o;9;36.75;Schmutz Adrian;*;15;54.25;13;35.75;4;-1.0;8.5
o;13;45.25;Müller Simon;;10;55.5;12;45.5;-1;0.25;8.75

16b;Suter Jonas;;;;;;;;;;54.0
+;;;Jüngling Pascal (2006);;;;;;;;10.0
o;1;10.0;Bader Fabian;**;9;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Voggensperger Til (2004);;14;54.5;6;18.5;0;0.0;8.5
+;8;27.0;Hohler Janis (2005);;21;52.75;7;27.25;-1;0.25;10.0
o;8;37.0;Henzer Andreas;**;11;55.25;9;36.75;1;-0.25;8.5
o;12;45.5;Regenass Beat;;10;55.5;11;45.75;-1;0.25;8.5

16c;Aerni Lars;;;;;;;;;;54.0
+;;;Fritz Andreas;;;;;;;;10.0
o;1;10.0;Odermatt Adrian;**;2;57.5;1;10.0;0;0.0;8.5
o;6;18.5;Frank Marius (2004);;6;56.5;6;18.5;0;0.0;8.5
+;8;27.0;Abt Robin;;25;35.5;8;27.0;0;0.0;10.0
o;8;37.0;Christ Dario;*;12;55.0;10;36.5;2;-0.5;8.5
o;12;45.5;Antenen Remo (2004);;11;55.25;13;45.25;1;-0.25;8.5

16d;Suter Lukas;;;;;;;;;;54.0
o;;;Ancona Enea (2004);;;;;;;;8.5
+;5;8.5;Jehle Aaron (2005);;19;53.25;5;8.5;0;0.0;10.0
o;6;18.5;Joho Philip;*;23;36.75;6;18.5;0;0.0;8.5
+;8;27.0;Kulmer Nick (2004);;20;53.0;8;27.0;0;0.0;9.75
o;9;36.75;Probst Gabriel;**;11;55.25;9;36.75;0;0.0;8.5
o;13;45.25;Caviezel Nicolas;;12;55.0;13;45.25;0;0.0;8.75

17a;Stampfli Simon (2004);;;;;;;;;;53.75
+;;;Studinger Robin (2006);;;;;;;;9.75
o;2;9.75;Vieira Tiago;**;6;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Soland Marcel (2006);;26;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Mangold Martin;*;15;54.25;7;27.25;2;-0.75;8.5
o;10;36.5;Reinhard Pirmin;;12;55.0;10;36.5;0;0.0;8.5
-;14;45.0;Jehle Aaron (2005);;19;53.25;16;44.5;2;-0.5;8.75

17b;Steger Robert;;;;;;;;;;53.75
+;;;Caviezel Nicolas;;;;;;;;9.75
+;2;9.75;Ancona Enea (2004);;11;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Erb Roger;**;11;55.25;6;18.5;3;-1.0;8.75
o;4;28.25;Meier Daniel;;7;56.25;5;28.0;1;-0.25;8.5
o;9;36.75;Dobler Florian;;10;55.5;8;37.0;-1;0.25;8.5
o;13;45.25;Gisin Yanic;;11;55.25;13;45.25;0;0.0;8.5

18a;Scherrer Johann;**;;;;;;;;;53.5
-;;;Mangold Martin;*;;;;;;;8.75
o;4;8.75;Roth Jan (2004);;4;57.0;2;9.75;-2;1.0;8.5
-;9;17.25;Burren Dominik;;15;54.25;6;18.5;-3;1.25;8.75
+;11;26.0;Loosli Adrian;;19;53.25;7;27.25;-4;1.25;10.0
-;12;36.0;Böni Ralf (2004);;11;55.25;9;36.75;-3;0.75;8.75
-;15;44.75;Bearda Samuel;**;19;53.25;16;44.5;1;-0.25;8.75

18b;Huser Roman;;;;;;;;;;53.5
-;;;Ledermann Patrik;;;;;;;;8.75
-;4;8.75;Brugger Jonas;;27;34.75;4;8.75;0;0.0;8.75
+;8;17.5;Wüthrich Jonas;;18;53.5;7;18.25;-1;0.75;10.0
o;6;27.5;Arnold Kornel;*;14;54.5;8;27.0;2;-0.5;8.5
-;12;36.0;Stalder Jonas;;15;54.25;13;35.75;1;-0.25;8.75
-;15;44.75;Loosli Adrian;;19;53.25;16;44.5;1;-0.25;8.75

18c;Wüthrich Jonas;;;;;;;;;;53.5
+;;;Christ Marino (2005);;;;;;;;9.75
o;2;9.75;Hürlimann Mathias;*;7;56.25;5;8.5;3;-1.25;8.5
o;7;18.25;Huser Roman;;18;53.5;8;17.5;1;-0.75;8.5
+;9;26.75;Widmer Dino;;27;34.75;10;26.25;1;-0.5;9.75
o;10;36.5;Lüscher Sinisha (2006);;6;56.5;10;36.5;0;0.0;8.5
o;14;45.0;Schwab David;;14;54.5;16;44.5;2;-0.5;8.5

19a;Loosli Adrian;;;;;;;;;;53.25
-;;;Nussbaumer Dominik;;;;;;;;8.75
o;4;8.75;Streich Sascha;;8;56.0;4;8.75;0;0.0;8.5
+;9;17.25;Fritz Andreas;;19;53.25;9;17.25;0;0.0;10.0
o;7;27.25;Scherrer Johann;**;18;53.5;11;26.0;4;-1.25;8.5
-;13;35.75;Bachmann Sämi;;15;54.25;11;36.25;-2;0.5;8.75
-;16;44.5;Huser Roman;;18;53.5;15;44.75;-1;0.25;8.75

19b;Bearda Samuel;**;;;;;;;;;53.25
+;;;Nussbaumer Gabriel;;;;;;;;10.0
o;1;10.0;Erb Roger;**;11;55.25;4;8.75;3;-1.25;8.5
-;6;18.5;Bachmann Sämi;;15;54.25;5;18.75;-1;0.25;8.75
-;7;27.25;Dobler Florian;;10;55.5;4;28.25;-3;1.0;8.75
o;12;36.0;Rüegg Daniel;;10;55.5;8;37.0;-4;1.0;8.5
-;16;44.5;Scherrer Johann;**;18;53.5;15;44.75;-1;0.25;8.75

19c;Fritz Andreas;;;;;;;;;;53.25
o;;;Aerni Lars;;;;;;;;8.5
-;5;8.5;Richardson Patrick;;20;53.0;5;8.5;0;0.0;8.75
o;9;17.25;Loosli Adrian;;19;53.25;9;17.25;0;0.0;8.75
+;11;26.0;Béguelin Elias (2006);;27;34.75;11;26.0;0;0.0;10.0
o;12;36.0;Ledermann Patrik;;13;54.75;13;35.75;1;-0.25;8.5
o;16;44.5;Böni Ralf (2004);;11;55.25;12;45.5;-4;1.0;8.75

19d;Stadler Kevin;*;;;;;;;;;53.25
-;;;Rohrbach Jérôme;;;;;;;;8.75
-;4;8.75;Stüdeli Thomas;**;14;54.5;5;8.5;1;-0.25;8.75
+;8;17.5;Pradetto Diego (2006);;20;53.0;6;18.5;-2;1.0;10.0
o;6;27.5;Frank Marius (2004);;6;56.5;3;28.5;-3;1.0;8.5
o;12;36.0;Späti Jan;;8;56.0;7;37.25;-5;1.25;8.5
-;16;44.5;Schmutz Adrian;*;15;54.25;12;45.5;-4;1.0;8.75

19e;Jehle Aaron (2005);;;;;;;;;;53.25
o;;;Stalder Jonas;;;;;;;;8.5
o;5;8.5;Suter Lukas;;16;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Brunner Lukas (2006);;30;34.0;10;17.0;0;0.0;10.0
-;8;27.0;Schwab David;;14;54.5;8;27.0;0;0.0;9.0
o;12;36.0;Büttler Gian;;12;55.0;11;36.25;-1;0.25;8.5
-;16;44.5;Stampfli Simon (2004);;17;53.75;14;45.0;-2;0.5;8.75

20a;Anderegg Michael (2006);;;;;;;;;;53.0
o;;;Voggensperger Til (2004);;;;;;;;8.5
-;5;8.5;Regenass Reto;;28;34.5;5;8.5;0;0.0;8.75
+;9;17.25;Rickenbacher Remo (2006);;30;34.0;10;17.0;1;-0.25;9.75
-;8;27.0;Hengartner Jonas (2005);;14;54.5;7;27.25;-1;0.25;9.0
o;12;36.0;Regenass Beat;;10;55.5;13;35.75;1;-0.25;8.5
o;16;44.5;Nussbaumer Dominik;;15;54.25;16;44.5;0;0.0;8.5

20b;Kulmer Nick (2004);;;;;;;;;;53.0
+;;;Halbeisen Florian (2005);;;;;;;;9.75
o;2;9.75;Kropf Marcel;**;3;57.25;1;10.0;-1;0.25;8.5
-;7;18.25;Regenass Beat;;10;55.5;6;18.5;-1;0.25;8.75
o;8;27.0;Suter Lukas;;16;54.0;8;27.0;0;0.0;8.75
-;13;35.75;Nussbaumer Dominik;;15;54.25;13;35.75;0;0.0;8.75
o;16;44.5;Stalder Jonas;;15;54.25;16;44.5;0;0.0;8.5

20c;Pradetto Diego (2006);;;;;;;;;;53.0
o;;;Reinhard Roman (2005);;;;;;;;8.75
+;4;8.75;Studer Louis (2004);;14;54.5;5;8.5;1;-0.25;9.75
o;6;18.5;Stadler Kevin;*;19;53.25;8;17.5;2;-1.0;8.5
-;8;27.0;Halbeisen Florian (2005);;25;35.5;9;26.75;1;-0.25;8.75
o;13;35.75;Christ Marino (2005);;14;54.5;13;35.75;0;0.0;8.5
o;17;44.25;Hengartner Jonas (2005);;14;54.5;15;44.75;-2;0.5;8.75

20d;Richardson Patrick;;;;;;;;;;53.0
o;;;Schwegler Dominik;;;;;;;;8.5
-;5;8.5;Fritz Andreas;;19;53.25;5;8.5;0;0.0;8.75
-;9;17.25;Béguelin Elias (2006);;27;34.75;9;17.25;0;0.0;8.75
+;11;26.0;Gehrig Nils (2006);;29;34.25;12;25.75;1;-0.25;10.0
o;12;36.0;Buchmann Moritz (2005);;15;54.25;13;35.75;1;-0.25;8.5
o;16;44.5;Graf Gian;;11;55.25;13;45.25;-3;0.75;8.5

21a;Hohler Janis (2005);;;;;;;;;;52.75
o;;;Soland Marcel (2006);;;;;;;;8.5
+;5;8.5;Yeschiltepe Turgut (2006);;30;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Reinhard Roman (2005);;15;54.25;6;18.5;0;0.0;8.75
o;7;27.25;Suter Jonas;;16;54.0;8;27.0;1;-0.25;8.5
o;13;35.75;Stocker Niklas (2005);;10;55.5;13;35.75;0;0.0;8.5
o;17;44.25;Studer Louis (2004);;14;54.5;16;44.5;-1;0.25;8.5

22a;Mangold Michael;**;;;;;;;;;45.75
-;;;Brand Christian;**;;;;;;;8.75
+;4;8.75;Voggensperger Til (2004);;14;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Voggensperger Lars;*;3;57.25;4;19.0;-1;0.25;8.5
+;7;27.25;Lüscher Sinisha (2006);;6;56.5;5;28.0;-2;0.75;9.75
-;8;37.0;Stüdeli Thomas;**;14;54.5;8;37.0;0;0.0;8.75

23a;Joho Philip;*;;;;;;;;;36.75
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Roth Philipp;***;4;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Suter Lukas;;16;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Dünner Tobias (2005);;11;55.25;4;28.25;0;0.0;8.5

24a;Schreiber Raphael (2004);;;;;;;;;;35.75
-;;;Burkhardt Roy;;;;;;;;8.75
+;4;8.75;Wohlgemuth Corsin;;29;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Christ Dario;*;12;55.0;7;18.25;2;-0.5;8.5
o;7;27.25;Streich Sascha;;8;56.0;6;27.5;-1;0.25;8.5

24b;Schärer Nico (2004);;;;;;;;;;35.75
+;;;Rickenbacher Remo (2006);;;;;;;;9.75
o;2;9.75;Rohrbach Jérôme;;9;55.75;4;8.75;2;-1.0;8.5
-;7;18.25;Hengartner Jonas (2005);;14;54.5;7;18.25;0;0.0;9.0
o;7;27.25;Probst Gabriel;**;11;55.25;9;26.75;2;-0.5;8.5

25a;Furrer Mathias;;;;;;;;;;35.5
+;;;Allenbach Patrick;;;;;;;;9.75
o;2;9.75;Probst Gabriel;**;11;55.25;5;8.5;3;-1.25;8.5
-;7;18.25;Stalder Jonas;;15;54.25;7;18.25;0;0.0;8.75
o;8;27.0;Antenen Remo (2004);;11;55.25;8;27.0;0;0.0;8.5

25b;Abt Robin;;;;;;;;;;35.5
o;;;Graf Gian;;;;;;;;8.5
+;5;8.5;Allenbach Patrick;;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Leuthard Reto;**;7;56.25;6;18.5;0;0.0;8.5
o;8;27.0;Aerni Lars;;16;54.0;8;27.0;0;0.0;8.5

25c;Halbeisen Florian (2005);;;;;;;;;;35.5
o;;;Kulmer Nick (2004);;;;;;;;8.5
+;5;8.5;Jüngling Pascal (2006);;25;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Ancona Enea (2004);;11;55.25;7;18.25;0;0.0;8.5
-;9;26.75;Pradetto Diego (2006);;20;53.0;8;27.0;-1;0.25;8.75

25d;Jüngling Pascal (2006);;;;;;;;;;35.5
o;;;Suter Jonas;;;;;;;;8.5
o;5;8.5;Halbeisen Florian (2005);;25;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Studer Louis (2004);;14;54.5;10;17.0;0;0.0;8.5
+;13;25.5;Yeschiltepe Turgut (2006);;30;34.0;13;25.5;0;0.0;10.0

25e;Burtschi Michael;;;;;;;;;;35.5
o;;;Graber Colin;;;;;;;;8.5
o;5;8.5;Burren Dominik;;15;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Birrer Samuel (2006);;25;35.5;10;17.0;0;0.0;10.0
o;8;27.0;Böni Ralf (2004);;11;55.25;8;27.0;0;0.0;8.5

25f;Furter Jannis (2004);;;;;;;;;;35.5
+;;;Yeschiltepe Turgut (2006);;;;;;;;10.0
o;1;10.0;Christ Dario;*;12;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Dobler Florian;;10;55.5;6;18.5;0;0.0;8.5
o;8;27.0;Späti Jan;;8;56.0;6;27.5;-2;0.5;8.5

25g;Birrer Samuel (2006);;;;;;;;;;35.5
o;;;Rüegg Daniel;;;;;;;;8.5
o;5;8.5;Gisin Yanic;;11;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Burtschi Michael;;25;35.5;10;17.0;0;0.0;8.5
+;13;25.5;Rickenbacher Remo (2006);;30;34.0;13;25.5;0;0.0;10.0

26a;Soland Marcel (2006);;;;;;;;;;35.25
+;;;Hohler Janis (2005);;;;;;;;9.75
o;2;9.75;Meier Daniel;;7;56.25;2;9.75;0;0.0;8.5
o;7;18.25;Stampfli Simon (2004);;17;53.75;7;18.25;0;0.0;8.5
o;9;26.75;Büttler Gian;;12;55.0;10;26.25;1;-0.5;8.5

26b;Nyffenegger Florian;;;;;;;;;;35.25
o;;;Buchmann Moritz (2005);;;;;;;;8.5
o;5;8.5;Regenass Beat;;10;55.5;4;8.75;-1;0.25;8.5
o;10;17.0;Hengartner Jonas (2005);;14;54.5;7;18.25;-3;1.25;8.5
+;13;25.5;Brunner Lukas (2006);;30;34.0;13;25.5;0;0.0;9.75

26c;Allenbach Patrick;;;;;;;;;;35.25
o;;;Furrer Mathias;;;;;;;;8.5
o;5;8.5;Abt Robin;;25;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Yeschiltepe Turgut (2006);;30;34.0;10;17.0;0;0.0;9.75
o;9;26.75;Graf Gian;;11;55.25;4;28.25;-5;1.5;8.5

27a;Burkhardt Roy;;;;;;;;;;34.75
-;;;Schreiber Raphael (2004);;;;;;;;8.75
-;4;8.75;Hasler Luis;;13;54.75;5;8.5;1;-0.25;8.75
-;8;17.5;Brugger Jonas;;27;34.75;8;17.5;0;0.0;8.75
o;10;26.25;Reinhard Pirmin;;12;55.0;9;26.75;-1;0.5;8.5

27b;Herrmann Daniel;;;;;;;;;;34.75
-;;;Gehrig Nils (2006);;;;;;;;8.75
