4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST

1a;Schmid Dominik;**;;;;;;;;;109.25
4b;Orlik Armon;***;;;;;;;;;57.75
-;;;Leuppi Samir;***;;;;;;;8.75
+;5;8.75;Hegner Ueli;*;3;58.0;2;10.0;-3;1.25;10.0
+;6;18.75;Wey Nicola;*;8;56.75;2;20.0;-4;1.25;10.0
+;5;28.75;Dändliker Shane;**;10;56.25;5;28.75;0;0.0;10.0
+;3;38.75;Arztmann Beda;**;6;57.25;3;38.75;0;0.0;10.0
-;2;48.75;Leuppi Samir;***;4;57.75;2;48.75;0;0.0;9.0

4c;Leuppi Samir;***;;;;;;;;;57.75
-;;;Orlik Armon;***;;;;;;;8.75
+;5;8.75;Kolb This (2003);*;9;56.5;2;10.0;-3;1.25;10.0
+;6;18.75;Riget Florian;*;8;56.75;3;19.75;-3;1.0;10.0
+;5;28.75;Schwyn Adrian;*;11;56.0;5;28.75;0;0.0;10.0
+;3;38.75;Biäsch Christian;*;7;57.0;3;38.75;0;0.0;10.0
-;2;48.75;Orlik Armon;***;4;57.75;2;48.75;0;0.0;9.0

5a;Kindlimann Fabian;***;;;;;;;;;57.5
+;;;Hochholdinger Roman;**;;;;;;;10.0
+;2;10.0;Elmer Daniel;*;13;55.5;2;10.0;0;0.0;10.0
-;2;20.0;Biäsch Christian;*;7;57.0;2;20.0;0;0.0;8.75
+;5;28.75;Schmid Dominik;**;1;109.25;1;55.25;-4;26.5;10.0
-;3;38.75;Rychen Roger;***;7;57.0;2;39.75;-1;1.0;8.75
+;7;47.5;Schläpfer Matthias;*;12;55.75;8;47.25;1;-0.25;10.0

5b;Funk Nicola;*;;;;;;;;;57.5
+;;;Aebli Nino;*;;;;;;;10.0
-;2;10.0;Krähenbühl Tobias;***;7;57.0;5;8.75;3;-1.25;9.0
+;5;19.0;Schwyn Patrick;;13;55.5;3;19.75;-2;0.75;10.0
-;4;29.0;Vollenweider Jeremy;**;7;57.0;6;28.5;2;-0.5;8.75
+;7;37.75;Elmer Adrian;*;12;55.75;9;37.25;2;-0.5;9.75
+;7;47.5;Kurmann Patrick (2003);;11;56.0;8;47.25;1;-0.25;10.0

6a;Arztmann Beda;**;;;;;;;;;57.25
+;;;Fejzaj Naim;**;;;;;;;10.0
+;2;10.0;Oettli Silvio;*;9;56.5;2;10.0;0;0.0;10.0
o;2;20.0;Schmid Dominik;**;1;109.25;1;37.0;-1;17.0;8.75
+;5;28.75;Burkhalter Thomas (2003);*;11;56.0;6;28.5;1;-0.25;10.0
o;3;38.75;Orlik Armon;***;4;57.75;3;38.75;0;0.0;8.5
+;8;47.25;Castelli Fabio;*;15;55.0;11;46.5;3;-0.75;10.0

6b;Lanter Christian;*;;;;;;;;;57.25
-;;;Schweizer Christof;*;;;;;;;8.75
+;5;8.75;Zumbach Michael;;31;35.5;3;9.75;-2;1.0;10.0
-;6;18.75;Gartmann Mauro;**;16;54.75;10;17.5;4;-1.25;8.75
+;10;27.5;Straub Paul;;14;55.25;6;28.5;-4;1.0;10.0
+;8;37.5;Baumann Elia;;16;54.75;8;37.5;0;0.0;9.75
+;8;47.25;Gosswiler Livio;*;12;55.75;9;47.0;1;-0.25;10.0

6c;Schnurrenberger Roman;**;;;;;;;;;57.25
-;;;Schmid Dominik;**;;;;;;;9.0
+;4;9.0;Feldmann Patrik (2005);;19;54.0;2;10.0;-2;1.0;10.0
+;5;19.0;Kammermann Dominik;;13;55.5;3;19.75;-2;0.75;10.0
o;4;29.0;Rychen Roger;***;7;57.0;2;29.75;-2;0.75;8.5
+;8;37.5;Dörig Erich;*;14;55.25;5;38.25;-3;0.75;10.0
+;7;47.5;Signer Andy (2003);*;11;56.0;7;47.5;0;0.0;9.75

7a;Burkhard Tobias;;;;;;;;;;57.0
+;;;Düring Dominik (2003);;;;;;;;10.0
o;2;10.0;Pianta Christian;*;18;54.25;6;8.5;4;-1.5;8.5
o;7;18.5;Wild Thomas;;8;56.75;7;18.5;0;0.0;8.75
+;11;27.25;Vetterli Sven (2003);;20;53.75;12;27.0;1;-0.25;9.75
+;10;37.0;Joos Enrico (2003);*;16;54.75;14;36.0;4;-1.0;10.0
+;9;47.0;Dörig Erich;*;14;55.25;10;46.75;1;-0.25;10.0

7b;Vollenweider Jeremy;**;;;;;;;;;57.0
+;;;Battaglia Ursin;**;;;;;;;10.0
+;2;10.0;Odermatt Gian Maria (2004);*;13;55.5;2;10.0;0;0.0;10.0
o;2;20.0;Rychen Roger;***;7;57.0;2;20.0;0;0.0;8.5
-;6;28.5;Funk Nicola;*;5;57.5;4;29.0;-2;0.5;8.75
+;9;37.25;Odermatt Michi;;9;56.5;5;38.25;-4;1.0;9.75
+;9;47.0;Straub Paul;;14;55.25;10;46.75;1;-0.25;10.0

7c;Biäsch Christian;*;;;;;;;;;57.0
+;;;Bürgler Patrick;*;;;;;;;10.0
+;2;10.0;Nötzli Reto;***;8;56.75;5;8.75;3;-1.25;10.0
-;2;20.0;Kindlimann Fabian;***;5;57.5;2;20.0;0;0.0;8.75
+;5;28.75;Galli Cedric;;10;56.25;3;29.5;-2;0.75;10.0
o;3;38.75;Leuppi Samir;***;4;57.75;3;38.75;0;0.0;8.5
+;8;47.25;Elmer Daniel;*;13;55.5;9;47.0;1;-0.25;9.75

7d;Schuler Martin;*;;;;;;;;;57.0
+;;;Gosswiler Livio;*;;;;;;;9.75
-;3;9.75;Niederer Andreas;;16;54.75;2;10.0;-1;0.25;9.0
+;6;18.75;Wittenwiler Mathias (2003);;24;52.75;6;18.75;0;0.0;10.0
+;5;28.75;Hochholdinger Roman;**;15;55.0;7;28.25;2;-0.5;10.0
o;3;38.75;Krähenbühl Tobias;***;7;57.0;9;37.25;6;-1.5;8.5
+;8;47.25;Hug Jan;;14;55.25;10;46.75;2;-0.5;9.75

7e;Leuppi Karim;*;;;;;;;;;57.0
+;;;Notz Armin;*;;;;;;;9.75
+;3;9.75;Hug Jan;;14;55.25;2;10.0;-1;0.25;10.0
o;3;19.75;Schneider Domenic;***;2;58.25;7;18.5;4;-1.25;8.5
-;7;28.25;Winzeler Simon;;12;55.75;6;28.5;-1;0.25;8.75
+;10;37.0;Aebli Nino;*;18;54.25;10;37.0;0;0.0;10.0
+;9;47.0;Kühne Cyrill (2004);;14;55.25;10;46.75;1;-0.25;10.0

7f;Rychen Roger;***;;;;;;;;;57.0
+;;;Burkhalter Stefan;***;;;;;;;10.0
+;2;10.0;Good Marco;*;9;56.5;3;9.75;1;-0.25;10.0
+;2;20.0;Vollenweider Jeremy;**;7;57.0;2;20.0;0;0.0;9.75
+;2;29.75;Schnurrenberger Roman;**;6;57.25;4;29.0;2;-0.75;10.0
-;2;39.75;Kindlimann Fabian;***;5;57.5;3;38.75;1;-1.0;8.75
o;3;48.5;Hegner Ueli;*;3;58.0;4;48.25;1;-0.25;8.5

7g;Krähenbühl Tobias;***;;;;;;;;;57.0
-;;;Dändliker Shane;**;;;;;;;8.75
-;5;8.75;Funk Nicola;*;5;57.5;2;10.0;-3;1.25;9.0
+;9;17.75;Pianta Christian;*;18;54.25;7;18.5;-2;0.75;9.75
+;10;27.5;Nock Benjamin;*;18;54.25;6;28.5;-4;1.0;9.75
+;9;37.25;Schuler Martin;*;7;57.0;3;38.75;-6;1.5;10.0
+;8;47.25;Kessler Joel;*;11;56.0;8;47.25;0;0.0;9.75

8a;Blaser Christian;**;;;;;;;;;56.75
o;;;Landolt Reto;*;;;;;;;8.5
+;6;8.5;Nüesch Sandro (2005);;13;55.5;3;9.75;-3;1.25;10.0
+;7;18.5;Reichmuth Beat;;9;56.5;3;19.75;-4;1.25;9.75
+;7;28.25;Bürgler Patrick;*;8;56.75;6;28.5;-1;0.25;10.0
o;5;38.25;Riget Florian;*;8;56.75;5;38.25;0;0.0;8.75
+;9;47.0;Lenherr Cédric (2003);*;13;55.5;9;47.0;0;0.0;9.75

8b;Bürgler Patrick;*;;;;;;;;;56.75
o;;;Biäsch Christian;*;;;;;;;8.5
+;6;8.5;Stähli Jan;;15;55.0;3;9.75;-3;1.25;10.0
+;7;18.5;Freund Samuel (2004);;20;53.75;7;18.5;0;0.0;10.0
o;6;28.5;Blaser Christian;**;8;56.75;7;28.25;1;-0.25;8.5
+;10;37.0;Kunz Daniel;*;14;55.25;11;36.75;1;-0.25;10.0
+;9;47.0;Odermatt Gian Maria (2004);*;13;55.5;10;46.75;1;-0.25;9.75

8c;Riget Florian;*;;;;;;;;;56.75
+;;;Fuster Sepp;*;;;;;;;9.75
+;3;9.75;Sprecher Martin;;19;54.0;2;10.0;-1;0.25;10.0
o;3;19.75;Leuppi Samir;***;4;57.75;6;18.75;3;-1.0;8.5
+;7;28.25;Lengacher Gian (2003);;18;54.25;6;28.5;-1;0.25;10.0
+;5;38.25;Blaser Christian;**;8;56.75;5;38.25;0;0.0;9.75
-;5;48.0;Dändliker Shane;**;10;56.25;7;47.5;2;-0.5;8.75

8d;Wey Nicola;*;;;;;;;;;56.75
+;;;Ueltschi Patric;*;;;;;;;10.0
+;2;10.0;Mettler Valentin;*;15;55.0;2;10.0;0;0.0;10.0
o;2;20.0;Orlik Armon;***;4;57.75;6;18.75;4;-1.25;8.5
+;6;28.5;Wild Thomas;;8;56.75;6;28.5;0;0.0;10.0
o;4;38.5;Schneider Domenic;***;2;58.25;5;38.25;1;-0.25;8.5
+;9;47.0;Büchler Livio;;14;55.25;10;46.75;1;-0.25;9.75

8e;Wild Thomas;;;;;;;;;;56.75
+;;;Waldmeier Marco (2005);;;;;;;;10.0
o;2;10.0;Nock Benjamin;*;18;54.25;5;8.75;3;-1.25;8.5
+;7;18.5;Burkhard Tobias;;7;57.0;7;18.5;0;0.0;10.0
o;6;28.5;Wey Nicola;*;8;56.75;6;28.5;0;0.0;8.5
+;10;37.0;Feldmann Patrik (2005);;19;54.0;10;37.0;0;0.0;9.75
+;10;46.75;Kammermann Dominik;;13;55.5;9;47.0;-1;0.25;10.0

8f;Nötzli Reto;***;;;;;;;;;56.75
-;;;Schneider Domenic;***;;;;;;;8.75
o;5;8.75;Biäsch Christian;*;7;57.0;2;10.0;-3;1.25;8.5
+;11;17.25;Schlegel Reto;*;16;54.75;7;18.5;-4;1.25;10.0
+;11;27.25;Krähenbühl Lukas;*;9;56.5;7;28.25;-4;1.0;9.75
+;10;37.0;Kuster Thomas;*;9;56.5;6;38.0;-4;1.0;10.0
+;9;47.0;Notz Armin;*;14;55.25;10;46.75;1;-0.25;9.75

9a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Kunz Daniel;*;;;;;;;9.75
o;3;9.75;Hochholdinger Roman;**;15;55.0;6;8.5;3;-1.25;8.5
+;8;18.25;Eichhorn Alexander;;20;53.75;8;18.25;0;0.0;10.0
+;7;28.25;Oettli Silvio;*;9;56.5;7;28.25;0;0.0;9.75
o;6;38.0;Nötzli Reto;***;8;56.75;10;37.0;4;-1.0;8.5
+;11;46.5;Feldmann Patrik (2005);;19;54.0;15;45.5;4;-1.0;10.0

9b;Kolb This (2003);*;;;;;;;;;56.5
+;;;Schlegel Reto;*;;;;;;;10.0
o;2;10.0;Leuppi Samir;***;4;57.75;5;8.75;3;-1.25;8.5
+;7;18.5;Rüegg Patrick;;9;56.5;3;19.75;-4;1.25;9.75
o;7;28.25;Hegner Ueli;*;3;58.0;6;28.5;-1;0.25;8.75
+;10;37.0;Forrer Marco (2003);;19;54.0;10;37.0;0;0.0;9.75
+;10;46.75;Hochholdinger Roman;**;15;55.0;11;46.5;1;-0.25;9.75

9c;Odermatt Michi;;;;;;;;;;56.5
+;;;Inauen Maurus (2003);;;;;;;;9.75
+;3;9.75;Fuster Sepp;*;11;56.0;6;8.5;3;-1.25;10.0
o;3;19.75;Kessler Joel;*;11;56.0;6;18.75;3;-1.0;8.5
+;7;28.25;Müller Christian;;19;54.0;7;28.25;0;0.0;10.0
o;5;38.25;Vollenweider Jeremy;**;7;57.0;9;37.25;4;-1.0;8.5
+;10;46.75;Kiener Raphael;;13;55.5;10;46.75;0;0.0;9.75

9d;Oettli Silvio;*;;;;;;;;;56.5
+;;;Hobi Ignaz;*;;;;;;;10.0
o;2;10.0;Arztmann Beda;**;6;57.25;2;10.0;0;0.0;8.5
+;7;18.5;Niederer Andreas;;16;54.75;5;19.0;-2;0.5;9.75
o;7;28.25;Kuster Thomas;*;9;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Flück Bruno;;19;54.0;10;37.0;-1;0.25;10.0
+;10;46.75;Schmid Dominik;**;1;109.25;1;92.0;-9;45.25;9.75

9e;Good Marco;*;;;;;;;;;56.5
+;;;Pianta Christian;*;;;;;;;9.75
o;3;9.75;Rychen Roger;***;7;57.0;2;10.0;-1;0.25;8.75
+;7;18.5;Ulrich Damian;;19;54.0;7;18.5;0;0.0;9.75
+;7;28.25;Castelli Fabio;*;15;55.0;7;28.25;0;0.0;10.0
+;5;38.25;Landolt Reto;*;12;55.75;5;38.25;0;0.0;9.75
o;5;48.0;Schneider Domenic;***;2;58.25;4;48.25;-1;0.25;8.5

9f;Krähenbühl Lukas;*;;;;;;;;;56.5
o;;;Mettler Valentin;*;;;;;;;8.5
+;6;8.5;Grimm Michael;;19;54.0;2;10.0;-4;1.5;9.75
+;8;18.25;Walser Simon (2004);;14;55.25;7;18.5;-1;0.25;10.0
o;7;28.25;Nötzli Reto;***;8;56.75;11;27.25;4;-1.0;8.5
+;11;36.75;Plüer Fabian (2003);;12;55.75;9;37.25;-2;0.5;9.75
+;11;46.5;Fausch Kjetil;*;14;55.25;11;46.5;0;0.0;10.0

9g;Hauser Simon;;;;;;;;;;56.5
+;;;Freund Samuel (2004);;;;;;;;9.75
+;3;9.75;Joos Enrico (2003);*;16;54.75;5;8.75;2;-1.0;9.75
o;4;19.5;Hochholdinger Roman;**;15;55.0;7;18.5;3;-1.0;8.5
o;8;28.0;Ziegler Andreas;;11;56.0;8;28.0;0;0.0;8.75
+;11;36.75;Müller Christian;;19;54.0;11;36.75;0;0.0;9.75
+;11;46.5;Ulrich Pascal;;15;55.0;11;46.5;0;0.0;10.0

9h;Rüegg Patrick;;;;;;;;;;56.5
+;;;Walser Simon (2004);;;;;;;;10.0
+;2;10.0;Aebli Nino;*;18;54.25;6;8.5;4;-1.5;9.75
o;3;19.75;Kolb This (2003);*;9;56.5;7;18.5;4;-1.25;8.5
+;7;28.25;Sprecher Martin;;19;54.0;7;28.25;0;0.0;9.75
o;6;38.0;Gosswiler Livio;*;12;55.75;10;37.0;4;-1.0;8.5
+;11;46.5;Lacher Tobias (2005);;14;55.25;11;46.5;0;0.0;10.0

9i;Reichmuth Beat;;;;;;;;;;56.5
+;;;Zumstein Silvan;;;;;;;;10.0
+;2;10.0;Ueltschi Patric;*;20;53.75;6;8.5;4;-1.5;9.75
o;3;19.75;Blaser Christian;**;8;56.75;7;18.5;4;-1.25;8.5
+;7;28.25;Bleiker Ueli (2004);;15;55.0;8;28.0;1;-0.25;9.75
+;6;38.0;Mettler Valentin;*;15;55.0;11;36.75;5;-1.25;9.75
-;6;47.75;Graf Nicola (2003);;12;55.75;9;47.0;3;-0.75;8.75

10a;Keller Manuel;*;;;;;;;;;56.25
o;;;Fausch Kjetil;*;;;;;;;8.5
+;6;8.5;Bleiker Ueli (2004);;15;55.0;3;9.75;-3;1.25;10.0
+;7;18.5;Elmer Daniel;*;13;55.5;6;18.75;-1;0.25;10.0
-;6;28.5;Kessler Joel;*;11;56.0;6;28.5;0;0.0;8.75
+;9;37.25;Heierli Pascal;*;12;55.75;9;37.25;0;0.0;10.0
-;8;47.25;Landolt Reto;*;12;55.75;10;46.75;2;-0.5;9.0

10b;Dändliker Shane;**;;;;;;;;;56.25
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;5;8.75;Straub Paul;;14;55.25;2;10.0;-3;1.25;10.0
+;6;18.75;Graf Nicola (2003);;12;55.75;3;19.75;-3;1.0;10.0
o;5;28.75;Orlik Armon;***;4;57.75;5;28.75;0;0.0;8.75
+;8;37.5;Fausch Kjetil;*;14;55.25;6;38.0;-2;0.5;10.0
-;7;47.5;Riget Florian;*;8;56.75;5;48.0;-2;0.5;8.75

10c;Galli Cedric;;;;;;;;;;56.25
+;;;Baumann Nico;;;;;;;;9.75
+;3;9.75;Gosswiler Livio;*;12;55.75;6;8.5;3;-1.25;9.75
+;4;19.5;Fejzaj Naim;**;33;26.75;8;18.25;4;-1.25;10.0
o;3;29.5;Biäsch Christian;*;7;57.0;5;28.75;2;-0.75;8.5
o;6;38.0;Signer Andy (2003);*;11;56.0;7;37.75;1;-0.25;8.5
+;11;46.5;Diem Hansruedi;;15;55.0;11;46.5;0;0.0;9.75

11a;Burkhalter Thomas (2003);*;;;;;;;;;56.0
-;;;Heierli Pascal;*;;;;;;;8.75
+;5;8.75;Wüthrich Hans;;34;18.25;3;9.75;-2;1.0;9.75
+;7;18.5;Zollinger Silvan (2004);;18;54.25;6;18.75;-1;0.25;10.0
o;6;28.5;Arztmann Beda;**;6;57.25;5;28.75;-1;0.25;8.5
-;10;37.0;Fuster Sepp;*;11;56.0;10;37.0;0;0.0;9.0
+;13;46.0;Baumann Elia;;16;54.75;12;46.25;-1;0.25;10.0

11b;Ziegler Andreas;;;;;;;;;;56.0
+;;;Anliker Nino (2005);;;;;;;;9.75
o;3;9.75;Wettstein Daniel;*;12;55.75;5;8.75;2;-1.0;8.5
+;8;18.25;Nüesch Sandro (2005);;13;55.5;8;18.25;0;0.0;9.75
+;8;28.0;Hauser Simon;;9;56.5;8;28.0;0;0.0;9.75
o;7;37.75;Schmid Dominik;**;1;109.25;1;73.5;-6;35.75;8.5
+;12;46.25;Anliker Andri (2003);;15;55.0;12;46.25;0;0.0;9.75

11c;Signer Andy (2003);*;;;;;;;;;56.0
-;;;Schläpfer Matthias;*;;;;;;;8.75
+;5;8.75;Kiener Raphael;;13;55.5;2;10.0;-3;1.25;10.0
-;6;18.75;Burkhalter Stefan;***;15;55.0;11;17.25;5;-1.5;9.0
+;9;27.75;Tschudi Mario;;18;54.25;6;28.5;-3;0.75;10.0
+;7;37.75;Galli Cedric;;10;56.25;6;38.0;-1;0.25;9.75
o;7;47.5;Schnurrenberger Roman;**;6;57.25;7;47.5;0;0.0;8.5

11d;Kurmann Patrick (2003);;;;;;;;;;56.0
+;;;Spörndli Cyril (2003);;;;;;;;10.0
o;2;10.0;Lehmann Philipp;*;4;57.75;3;9.75;1;-0.25;8.5
-;7;18.5;Anliker Andri (2003);;15;55.0;5;19.0;-2;0.5;8.75
+;11;27.25;Koller Andreas;;16;54.75;11;27.25;0;0.0;10.0
+;9;37.25;Nock Benjamin;*;18;54.25;10;37.0;1;-0.25;10.0
o;8;47.25;Funk Nicola;*;5;57.5;7;47.5;-1;0.25;8.75

11e;Kessler Joel;*;;;;;;;;;56.0
+;;;Gartmann Mauro;**;;;;;;;10.0
-;2;10.0;Burkhalter Stefan;***;15;55.0;6;8.5;4;-1.5;8.75
+;6;18.75;Odermatt Michi;;9;56.5;3;19.75;-3;1.0;9.75
-;6;28.5;Keller Manuel;*;10;56.25;6;28.5;0;0.0;8.75
+;9;37.25;Kammermann Dominik;;13;55.5;5;38.25;-4;1.0;10.0
o;8;47.25;Krähenbühl Tobias;***;7;57.0;8;47.25;0;0.0;8.75

11f;Schwyn Adrian;*;;;;;;;;;56.0
-;;;Nock Benjamin;*;;;;;;;8.75
+;5;8.75;Frei Felix (2003);;21;53.5;3;9.75;-2;1.0;10.0
+;6;18.75;Düring Dominik (2003);;19;54.0;7;18.5;1;-0.25;10.0
o;5;28.75;Leuppi Samir;***;4;57.75;5;28.75;0;0.0;8.5
+;9;37.25;Peter Philipp;;13;55.5;10;37.0;1;-0.25;9.75
-;9;47.0;Wettstein Daniel;*;12;55.75;10;46.75;1;-0.25;9.0

11g;Fuster Sepp;*;;;;;;;;;56.0
o;;;Riget Florian;*;;;;;;;8.5
o;6;8.5;Odermatt Michi;;9;56.5;3;9.75;-3;1.25;8.5
+;12;17.0;Anliker Nino (2005);;24;52.75;8;18.25;-4;1.25;10.0
+;12;27.0;Stadelmann Lukas (2004);;24;52.75;12;27.0;0;0.0;10.0
-;10;37.0;Burkhalter Thomas (2003);*;11;56.0;10;37.0;0;0.0;9.0
+;13;46.0;Keller Dominic;;16;54.75;12;46.25;-1;0.25;10.0

11h;Schmidlin Tobias;*;;;;;;;;;56.0
o;;;Hegner Ueli;*;;;;;;;8.5
-;6;8.5;Baumann Elia;;16;54.75;3;9.75;-3;1.25;9.0
+;10;17.5;Rhyner Beni;;18;54.25;7;18.5;-3;1.0;10.0
o;10;27.5;Gartmann Mauro;**;16;54.75;14;26.25;4;-1.25;8.5
+;14;36.0;Graf Dominik (2005);;21;53.5;14;36.0;0;0.0;10.0
+;13;46.0;Gemsch Stefan;;16;54.75;12;46.25;-1;0.25;10.0

12a;Götti Samuel;;;;;;;;;;55.75
+;;;Rhyner Beni;;;;;;;;10.0
o;2;10.0;Hobi Ignaz;*;12;55.75;5;8.75;3;-1.25;8.5
o;7;18.5;Feldmann Patrik (2005);;19;54.0;7;18.5;0;0.0;8.5
+;12;27.0;Siegenthaler Joël (2003);;19;54.0;12;27.0;0;0.0;9.75
-;11;36.75;Waldmeier Marco (2005);;18;54.25;11;36.75;0;0.0;9.0
+;14;45.75;Grimm Michael;;19;54.0;15;45.5;1;-0.25;10.0

12b;Winzeler Simon;;;;;;;;;;55.75
+;;;Schmid Dominik;;;;;;;;9.75
-;3;9.75;Notz Armin;*;14;55.25;6;8.5;3;-1.25;8.75
+;7;18.5;Heierli Dorian;;20;53.75;7;18.5;0;0.0;10.0
-;6;28.5;Leuppi Karim;*;7;57.0;7;28.25;1;-0.25;8.75
o;9;37.25;Straub Paul;;14;55.25;10;37.0;1;-0.25;8.5
+;14;45.75;Bucher Roman (2003);;17;54.5;14;45.75;0;0.0;10.0

12c;Elmer Adrian;*;;;;;;;;;55.75
-;;;Koller Fabian;*;;;;;;;8.75
+;5;8.75;Siegenthaler Joël (2003);;19;54.0;3;9.75;-2;1.0;9.75
+;7;18.5;Sieber Marc;;14;55.25;8;18.25;1;-0.25;10.0
-;6;28.5;Schläpfer Matthias;*;12;55.75;6;28.5;0;0.0;8.75
o;9;37.25;Funk Nicola;*;5;57.5;7;37.75;-2;0.5;8.5
+;14;45.75;Hänni Marc;;18;54.25;14;45.75;0;0.0;10.0

12d;Landolt Reto;*;;;;;;;;;55.75
+;;;Blaser Christian;**;;;;;;;9.75
o;3;9.75;Schneider Domenic;***;2;58.25;5;8.75;2;-1.0;8.5
+;8;18.25;Schmid Dominik;;1;109.25;1;37.0;-7;18.75;10.0
+;7;28.25;Koller Fabian;*;13;55.5;6;28.5;-1;0.25;10.0
o;5;38.25;Good Marco;*;9;56.5;5;38.25;0;0.0;8.5
-;10;46.75;Keller Manuel;*;10;56.25;8;47.25;-2;0.5;9.0

12e;Schweizer Christof;*;;;;;;;;;55.75
-;;;Lanter Christian;*;;;;;;;8.75
+;5;8.75;Bucher Roman (2003);;17;54.5;3;9.75;-2;1.0;9.75
-;7;18.5;Heierli Pascal;*;12;55.75;7;18.5;0;0.0;8.75
+;11;27.25;Feldmann Patrik (2005);;19;54.0;6;28.5;-5;1.25;9.75
-;10;37.0;Pianta Christian;*;18;54.25;11;36.75;1;-0.25;8.75
+;14;45.75;Flück Bruno;;19;54.0;15;45.5;1;-0.25;10.0

12f;Heierli Pascal;*;;;;;;;;;55.75
-;;;Burkhalter Thomas (2003);*;;;;;;;8.75
+;5;8.75;Tschudi Mario;;18;54.25;2;10.0;-3;1.25;9.75
-;7;18.5;Schweizer Christof;*;12;55.75;7;18.5;0;0.0;8.75
+;11;27.25;Grimm Michael;;19;54.0;6;28.5;-5;1.25;10.0
o;9;37.25;Keller Manuel;*;10;56.25;9;37.25;0;0.0;8.5
+;14;45.75;Ulrich Damian;;19;54.0;15;45.5;1;-0.25;10.0

12g;Graf Nicola (2003);;;;;;;;;;55.75
+;;;Mathys Stefan (2005);;;;;;;;10.0
+;2;10.0;Kunz Daniel;*;14;55.25;6;8.5;4;-1.5;9.75
o;3;19.75;Dändliker Shane;**;10;56.25;6;18.75;3;-1.0;8.5
+;7;28.25;Kühne Cyrill (2004);;14;55.25;7;28.25;0;0.0;10.0
o;5;38.25;Hochholdinger Roman;**;15;55.0;11;36.75;6;-1.5;8.75
-;9;47.0;Reichmuth Beat;;9;56.5;6;47.75;-3;0.75;8.75

12h;Gosswiler Livio;*;;;;;;;;;55.75
o;;;Schuler Martin;*;;;;;;;8.5
o;6;8.5;Galli Cedric;;10;56.25;3;9.75;-3;1.25;8.5
+;12;17.0;Bachmann Janos (2004);;15;55.0;8;18.25;-4;1.25;10.0
+;12;27.0;Landolt Cla;;20;53.75;12;27.0;0;0.0;10.0
+;10;37.0;Rüegg Patrick;;9;56.5;6;38.0;-4;1.0;10.0
o;9;47.0;Lanter Christian;*;6;57.25;8;47.25;-1;0.25;8.75

12i;Plüer Fabian (2003);;;;;;;;;;55.75
