3363-2016-05-29_Fete_Cantonale_Vaudoise2-ST

1a;Roch Vincent;*;;;;;;;;;58.0
-;4;8.75;Brodard Simon;**;6;56.5;5;8.5;1;-0.25;8.75
+;9;17.5;Dufey Gil;;12;55.0;6;18.5;-3;1.0;10.0
+;8;27.5;Burgy Frank;;12;55.0;7;28.0;-1;0.5;10.0
o;7;37.5;Roch Vincent;*;1;58.0;4;38.25;-3;0.75;8.75
+;9;46.25;Berset Frédéric;**;10;55.5;6;47.0;-3;0.75;10.0

8a;Hayoz Quentin;;;;;;;;;;56.0
+;;;Aladenise Jonathan;;;;;;;;10.0
-;1;10.0;Derron Cédric;*;11;55.25;5;8.5;4;-1.5;8.75
+;5;18.75;Schafer Damien;;15;54.25;5;18.75;0;0.0;10.0
o;4;28.75;Brodard Simon;**;6;56.5;9;27.25;5;-1.5;8.5
-;8;37.25;Schafer Claudio;*;11;55.25;10;36.75;2;-0.5;8.75
+;10;46.0;Torche Bastian;;15;54.25;11;45.75;1;-0.25;10.0

8b;Mauron Olivier;*;;;;;;;;;56.0
-;;;Cardinaux Victor;*;;;;;;;9.0
+;3;9.0;Curty Alexandre;;16;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Piemontesi Pascal;**;3;57.25;6;18.5;2;-0.5;8.5
+;8;27.5;Golliard Steve;;17;53.75;6;28.25;-2;0.75;10.0
o;7;37.5;Guisolan Marc;**;3;57.25;7;37.5;0;0.0;8.5
+;10;46.0;Dubey Gaël;;13;54.75;9;46.25;-1;0.25;10.0

8c;Remy Guillaume;**;;;;;;;;;56.0
-;;;Brodard Augustin;**;;;;;;;8.75
+;4;8.75;Torche Bastian;;15;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Droxler Jonathan;*;9;55.75;5;18.75;0;0.0;10.0
-;4;28.75;Berset Frédéric;**;10;55.5;6;28.25;2;-0.5;8.75
+;7;37.5;Chèvre Bernard;;5;56.75;4;38.25;-3;0.75;10.0
o;4;47.5;Dousse Michel;*;6;56.5;7;46.75;3;-0.75;8.5

9a;Droxler Jonathan;*;;;;;;;;;55.75
-;;;Overney Olivier;*;;;;;;;8.75
+;4;8.75;Burgy Frank;;12;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Remy Guillaume;**;8;56.0;5;18.75;0;0.0;8.5
+;9;27.25;Riedo Fredy;;14;54.5;8;27.5;-1;0.25;9.75
-;9;37.0;Zosso Remo;**;9;55.75;8;37.25;-1;0.25;8.75
+;11;45.75;Schafer Damien;;15;54.25;11;45.75;0;0.0;10.0

9b;Zosso Remo;**;;;;;;;;;55.75
-;;;Pellet Michael;**;;;;;;;8.75
-;4;8.75;Minder Florian;;25;45.75;1;10.0;-3;1.25;8.75
+;9;17.5;Mollet Adrian;;16;54.0;6;18.5;-3;1.0;10.0
+;8;27.5;Emonet Frédéric;*;16;54.0;10;27.0;2;-0.5;9.75
-;8;37.25;Droxler Jonathan;*;9;55.75;9;37.0;1;-0.25;8.75
+;10;46.0;Jacquier Pascal;;28;44.25;17;44.25;7;-1.75;9.75

9c;Barras François (1998);;;;;;;;;;55.75
+;;;Loup Grégoire (2000);;;;;;;;9.75
o;2;9.75;Brodard Augustin;**;4;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Riedo Fredy;;14;54.5;6;18.5;-1;0.25;9.0
+;9;27.25;Curty Alexandre;;16;54.0;10;27.0;1;-0.25;10.0
o;8;37.25;Pellet Michael;**;14;54.5;13;36.0;5;-1.25;8.5
+;11;45.75;Taillard Virgile (1998);;16;54.0;12;45.5;1;-0.25;10.0

9d;Zimmermann Mario;*;;;;;;;;;55.75
o;;;Liaudat Rudy;**;;;;;;;8.5
+;5;8.5;Maridor Loic;;18;53.5;2;9.75;-3;1.25;9.75
-;7;18.25;Lerch Jimmy;*;12;55.0;6;18.5;-1;0.25;9.0
+;9;27.25;Crettaz Olivier;;27;45.25;11;26.75;2;-0.5;10.0
o;8;37.25;Brodard Simon;**;6;56.5;9;37.0;1;-0.25;8.5
+;11;45.75;Portmann Fabio (1998);;13;54.75;9;46.25;-2;0.5;10.0

9e;Schöpfer Dio;;;;;;;;;;55.75
+;;;Schneiter Jérémy;;;;;;;;10.0
+;1;10.0;Loup Grégoire (2000);;11;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Liaudat Rudy;**;6;56.5;5;18.75;4;-1.25;8.5
o;5;28.5;Gottofrey Marc;**;2;57.75;6;28.25;1;-0.25;8.5
-;9;37.0;Torche Bastian;;15;54.25;9;37.0;0;0.0;8.75
+;11;45.75;Dufey Gil;;12;55.0;13;45.25;2;-0.5;10.0

10a;Kramer Lario (1998);*;;;;;;;;;55.5
o;;;Hayoz Paul (1998);*;;;;;;;8.5
+;5;8.5;Riedo Fredy;;14;54.5;1;10.0;-4;1.5;10.0
+;6;18.5;Overney Olivier;*;11;55.25;6;18.5;0;0.0;9.75
+;6;28.25;Chavagnat Benoît (1999);;17;53.75;7;28.0;1;-0.25;10.0
o;4;38.25;Nydegger Michael;***;5;56.75;4;38.25;0;0.0;8.5
o;7;46.75;Borcard Johann;**;3;57.25;5;47.25;-2;0.5;8.75

10b;Berset Frédéric;**;;;;;;;;;55.5
+;;;Borcard Johann;**;;;;;;;9.75
o;2;9.75;Nydegger Michael;***;5;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Chavagnat Benoît (1999);;17;53.75;3;19.5;-4;1.25;10.0
-;6;28.25;Remy Guillaume;**;8;56.0;4;28.75;-2;0.5;8.75
+;9;37.0;Glauser Thomas;**;11;55.25;9;37.0;0;0.0;10.0
o;6;47.0;Kropf Rolf;**;7;56.25;9;46.25;3;-0.75;8.5

10c;Berset Julien;*;;;;;;;;;55.5
+;;;Morger Adrian;*;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;4;57.0;1;10.0;0;0.0;8.5
o;6;18.5;Chèvre Bernard;;5;56.75;2;19.75;-4;1.25;8.5
+;10;27.0;Colò Kilian (1999);;15;54.25;9;27.25;-1;0.25;10.0
+;9;37.0;Zingrich Jan (1999);;17;53.75;10;36.75;1;-0.25;10.0
o;6;47.0;Guisolan Marc;**;3;57.25;5;47.25;-1;0.25;8.5

10d;Burgy Matt (1999);;;;;;;;;;55.5
o;;;Rappo Yann (1998);;;;;;;;8.5
+;5;8.5;Thiébaud Adrian;;22;52.5;5;8.5;0;0.0;10.0
+;6;18.5;Pürro Tobias;;17;53.75;7;18.25;1;-0.25;10.0
o;5;28.5;Mosimann Vincent;*;7;56.25;7;28.0;2;-0.5;8.5
o;9;37.0;Dousse Michel;*;6;56.5;10;36.75;1;-0.25;8.5
+;12;45.5;Zingrich Jan (1999);;17;53.75;13;45.25;1;-0.25;10.0

10e;Buchs Carlo;;;;;;;;;;55.5
+;;;Heiniger Mickaël;;;;;;;;10.0
+;1;10.0;Loup Alexandre;;14;54.5;4;8.75;3;-1.25;10.0
o;1;20.0;Roch Vincent;*;1;58.0;6;18.5;5;-1.5;8.5
+;5;28.5;Hayoz Paul (1998);*;12;55.0;7;28.0;2;-0.5;10.0
o;3;38.5;Gottofrey Marc;**;2;57.75;5;38.0;2;-0.5;8.5
o;6;47.0;Schwander Severin;;4;57.0;6;47.0;0;0.0;8.5

11a;Schafer Claudio;*;;;;;;;;;55.25
+;;;Giroud Jonathan;**;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Emonet Fabien;;26;45.5;6;18.5;-1;0.25;10.0
o;6;28.25;Brodard Augustin;**;4;57.0;5;28.5;-1;0.25;8.5
-;10;36.75;Hayoz Quentin;;8;56.0;8;37.25;-2;0.5;8.75
+;12;45.5;Aladenise Jonathan;;16;54.0;12;45.5;0;0.0;9.75

11b;Morger Adrian;*;;;;;;;;;55.25
o;;;Berset Julien;*;;;;;;;8.75
+;4;8.75;Mollet Adrian;;16;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Cardinaux Victor;*;6;56.5;4;19.0;-2;0.5;8.5
+;10;27.0;Loup Grégoire (2000);;11;55.25;10;27.0;0;0.0;9.75
o;10;36.75;Cropt Harald;**;4;57.0;9;37.0;-1;0.25;8.5
+;13;45.25;Golliard Steve;;17;53.75;13;45.25;0;0.0;10.0

11c;Ducry Antoine;*;;;;;;;;;55.25
+;;;Lerch Jimmy;*;;;;;;;10.0
+;1;10.0;Glauser Thomas;**;11;55.25;5;8.5;4;-1.5;9.75
o;2;19.75;Gapany Benjamin;**;3;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Schwander Severin;;4;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Pürro Tobias;;17;53.75;10;36.75;0;0.0;10.0
o;7;46.75;Cropt Harald;**;4;57.0;6;47.0;-1;0.25;8.5

11d;Loup Grégoire (2000);;;;;;;;;;55.25
o;;;Barras François (1998);;;;;;;;8.5
o;5;8.5;Schöpfer Dio;;9;55.75;1;10.0;-4;1.5;8.5
+;11;17.0;Blanchette Nicolas;;22;52.5;11;17.0;0;0.0;10.0
o;10;27.0;Morger Adrian;*;11;55.25;10;27.0;0;0.0;8.5
+;15;35.5;Pürro Fabrice (1999);;16;54.0;15;35.5;0;0.0;10.0
+;12;45.5;Mollet Adrian;;16;54.0;12;45.5;0;0.0;9.75

11e;Overney Olivier;*;;;;;;;;;55.25
-;;;Droxler Jonathan;*;;;;;;;8.75
+;4;8.75;Lützelschwab Luc (1999);;13;54.75;2;9.75;-2;1.0;9.75
o;6;18.5;Kramer Lario (1998);*;10;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Derron Cédric;*;11;55.25;10;27.0;0;0.0;10.0
+;9;37.0;Dufey Gil;;12;55.0;10;36.75;1;-0.25;9.75
o;7;46.75;Haenni Stéphane;**;4;57.0;6;47.0;-1;0.25;8.5

11f;Derron Cédric;*;;;;;;;;;55.25
o;;;Roch Vincent;*;;;;;;;8.5
-;5;8.5;Hayoz Quentin;;8;56.0;1;10.0;-4;1.5;8.75
+;10;17.25;Rüegg Patrick (1999);;14;54.5;5;18.75;-5;1.5;9.75
o;10;27.0;Overney Olivier;*;11;55.25;10;27.0;0;0.0;8.5
+;15;35.5;Loup Alexandre;;14;54.5;8;37.25;-7;1.75;9.75
+;13;45.25;Emonet Frédéric;*;16;54.0;12;45.5;-1;0.25;10.0

11g;Glauser Thomas;**;;;;;;;;;55.25
o;;;Gottofrey Marc;**;;;;;;;8.5
o;5;8.5;Ducry Antoine;*;11;55.25;1;10.0;-4;1.5;8.5
+;11;17.0;Taillard Virgile (1998);;16;54.0;6;18.5;-5;1.5;10.0
+;10;27.0;Dubey Gaël;;13;54.75;7;28.0;-3;1.0;10.0
o;9;37.0;Berset Frédéric;**;10;55.5;9;37.0;0;0.0;8.5
+;12;45.5;Colò Kilian (1999);;15;54.25;11;45.75;-1;0.25;9.75

12a;Burgy Frank;;;;;;;;;;55.0
+;;;Pürro Fabrice (1999);;;;;;;;9.75
o;2;9.75;Droxler Jonathan;*;9;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Kramer Dorian (1999);;13;54.75;8;17.75;1;-0.5;9.75
o;7;28.0;Kropf Rolf;**;7;56.25;8;27.5;1;-0.5;8.5
+;11;36.5;Chavagnat Benoît (1999);;17;53.75;11;36.5;0;0.0;10.0
o;8;46.5;Brodard Augustin;**;4;57.0;6;47.0;-2;0.5;8.5

12b;Dufey Gil;;;;;;;;;;55.0
o;;;Emonet Fabien;;;;;;;;8.5
+;5;8.5;Vaucher Rémy (1999);;21;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Kropf Rolf;**;7;56.25;9;17.5;3;-1.0;8.5
+;10;27.0;Bersier Jean-Jacques;;15;54.25;10;27.0;0;0.0;9.75
o;10;36.75;Overney Olivier;*;11;55.25;9;37.0;-1;0.25;8.5
+;13;45.25;Pürro Tobias;;17;53.75;13;45.25;0;0.0;9.75

12c;Lerch Jimmy;*;;;;;;;;;55.0
o;;;Ducry Antoine;*;;;;;;;8.5
+;5;8.5;Crettaz Olivier;;27;45.25;5;8.5;0;0.0;10.0
-;6;18.5;Zimmermann Mario;*;9;55.75;7;18.25;1;-0.25;9.0
+;8;27.5;Schneiter Jérémy;;16;54.0;6;28.25;-2;0.75;10.0
o;7;37.5;Mosimann Vincent;*;7;56.25;6;37.75;-1;0.25;8.5
-;10;46.0;Bersier Jean-Jacques;;15;54.25;13;45.25;3;-0.75;9.0

12d;Hayoz Paul (1998);*;;;;;;;;;55.0
+;;;Kramer Lario (1998);*;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Rappo Yann (1998);;19;53.25;6;18.5;-1;0.25;9.75
o;7;28.0;Buchs Carlo;;10;55.5;5;28.5;-2;0.5;8.5
+;11;36.5;Giroud Jonathan;**;12;55.0;10;36.75;-1;0.25;10.0
o;8;46.5;Brodard Simon;**;6;56.5;7;46.75;-1;0.25;8.5

12e;Giroud Jonathan;**;;;;;;;;;55.0
o;;;Schafer Claudio;*;;;;;;;8.5
+;5;8.5;Bersier Jean-Jacques;;15;54.25;2;9.75;-3;1.25;9.75
+;7;18.25;Portmann Fabio (1998);;13;54.75;3;19.5;-4;1.25;10.0
o;6;28.25;Liaudat Rudy;**;6;56.5;4;28.75;-2;0.5;8.5
o;10;36.75;Hayoz Paul (1998);*;12;55.0;11;36.5;1;-0.25;8.5
+;13;45.25;Buchs Remo (1999);;17;53.75;13;45.25;0;0.0;9.75

13a;Lützelschwab Luc (1999);;;;;;;;;;54.75
+;;;Golliard Steve;;;;;;;;9.75
o;2;9.75;Overney Olivier;*;11;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Crettaz Olivier;;27;45.25;7;18.25;0;0.0;8.5
o;11;26.75;Cropt Harald;**;4;57.0;10;27.0;-1;0.25;8.5
+;16;35.25;Pittet Guillaume;;16;54.0;15;35.5;-1;0.25;9.75
+;14;45.0;Hochuli Samuel (1998);;27;45.25;13;45.25;-1;0.25;9.75

13b;Kramer Dorian (1999);;;;;;;;;;54.75
-;;;Rüegg Patrick (1999);;;;;;;;9.0
o;3;9.0;Chavagnat Benoît (1999);;17;53.75;2;9.75;-1;0.75;8.75
o;8;17.75;Burgy Frank;;12;55.0;7;18.25;-1;0.5;8.5
+;12;26.25;Thiébaud Adrian;;22;52.5;14;25.5;2;-0.75;10.0
-;12;36.25;Crettaz Olivier;;27;45.25;15;35.5;3;-0.75;8.75
+;14;45.0;Rappo Yann (1998);;19;53.25;15;44.75;1;-0.25;9.75

13c;Dubey Gaël;;;;;;;;;;54.75
o;;;Schwander Severin;;;;;;;;8.5
+;5;8.5;Heiniger Mickaël;;28;44.25;5;8.5;0;0.0;9.75
+;7;18.25;Cottier Marco (2000);;22;52.5;6;18.5;-1;0.25;9.75
o;7;28.0;Glauser Thomas;**;11;55.25;10;27.0;3;-1.0;8.5
+;11;36.5;Schneiter Jérémy;;16;54.0;10;36.75;-1;0.25;9.75
o;9;46.25;Mauron Olivier;*;8;56.0;10;46.0;1;-0.25;8.5

13d;Portmann Fabio (1998);;;;;;;;;;54.75
+;;;Blanchette Nicolas;;;;;;;;9.75
+;2;9.75;Mariéthoz Grégory (1999);;16;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Giroud Jonathan;**;12;55.0;7;18.25;4;-1.25;8.5
o;7;28.0;Borcard Johann;**;3;57.25;8;27.5;1;-0.5;8.5
+;11;36.5;Rüegg Patrick (1999);;14;54.5;12;36.25;1;-0.25;9.75
o;9;46.25;Zimmermann Mario;*;9;55.75;11;45.75;2;-0.5;8.5

14a;Loup Alexandre;;;;;;;;;;54.5
-;;;Colò Kilian (1999);;;;;;;;8.75
o;4;8.75;Buchs Carlo;;10;55.5;1;10.0;-3;1.25;8.5
+;10;17.25;Aladenise Jonathan;;16;54.0;6;18.5;-4;1.25;10.0
+;9;27.25;Jacquier Pascal;;28;44.25;9;27.25;0;0.0;10.0
o;8;37.25;Derron Cédric;*;11;55.25;15;35.5;7;-1.75;8.5
-;11;45.75;Pellet Michael;**;14;54.5;11;45.75;0;0.0;8.75

14b;Riedo Fredy;;;;;;;;;;54.5
+;;;Gassmann Simon;;;;;;;;10.0
o;1;10.0;Kramer Lario (1998);*;10;55.5;5;8.5;4;-1.5;8.5
-;6;18.5;Barras François (1998);;9;55.75;7;18.25;1;-0.25;9.0
o;8;27.5;Droxler Jonathan;*;9;55.75;9;27.25;1;-0.25;8.5
o;13;36.0;Emonet Fabien;;26;45.5;15;35.5;2;-0.5;8.5
+;16;44.5;Heiniger Mickaël;;28;44.25;17;44.25;1;-0.25;10.0

14c;Pellet Michael;**;;;;;;;;;54.5
-;;;Zosso Remo;**;;;;;;;8.75
-;4;8.75;Borcard Johann;**;3;57.25;4;8.75;0;0.0;8.75
o;9;17.5;Gassmann Simon;;5;56.75;6;18.5;-3;1.0;8.5
+;13;26.0;Schafer Damien;;15;54.25;9;27.25;-4;1.25;10.0
+;13;36.0;Barras François (1998);;9;55.75;8;37.25;-5;1.25;9.75
-;11;45.75;Loup Alexandre;;14;54.5;11;45.75;0;0.0;8.75

14d;Rüegg Patrick (1999);;;;;;;;;;54.5
-;;;Kramer Dorian (1999);;;;;;;;9.0
+;3;9.0;Hochuli Samuel (1998);;27;45.25;5;8.5;2;-0.5;9.75
o;5;18.75;Derron Cédric;*;11;55.25;10;17.25;5;-1.5;8.5
-;9;27.25;Rappo Yann (1998);;19;53.25;10;27.0;1;-0.25;9.0
