3969-2018-06-17_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;60.0
+;6;28.25;Gartmann Mauro;*;8;56.25;4;28.75;-2;0.5;10.0
-;4;38.25;Wickli Beat;**;6;56.75;4;38.25;0;0.0;8.75
+;8;47.0;Bernold Michael;*;12;55.25;9;46.75;1;-0.25;9.75

6d;Gosswiler Livio (2000);;;;;;;;;;56.75
+;;;Hugener Adrian (2000);;;;;;;;10.0
-;1;10.0;Morger Adrian;*;31;34.75;5;8.5;4;-1.5;8.75
+;5;18.75;Baumgartner Joël;;29;35.25;7;18.25;2;-0.5;9.75
+;5;28.5;Mettler Valentin;*;20;53.0;8;27.5;3;-1.0;9.75
-;4;38.25;Schäppi Urs;*;7;56.5;6;37.75;2;-0.5;8.75
+;8;47.0;Riedi Thomas;;11;55.5;9;46.75;1;-0.25;9.75

6e;Riget Tobias;**;;;;;;;;;56.75
+;;;Dumelin David;*;;;;;;;10.0
+;1;10.0;Notz Beni;***;4;57.25;2;9.75;1;-0.25;9.75
+;2;19.75;Reber Marcel;*;5;57.0;2;19.75;0;0.0;9.75
o;3;29.5;Orlik Curdin;**;4;57.25;4;28.75;1;-0.75;8.5
+;5;38.0;Oettli Silvio (2000);;12;55.25;4;38.25;-1;0.25;10.0
-;4;48.0;Roth Martin;*;8;56.25;6;47.5;2;-0.5;8.75

6f;Wickli Beat;**;;;;;;;;;56.75
o;;;Notz Beni;***;;;;;;;8.5
+;5;8.5;Wettstein Daniel;;13;55.0;1;10.0;-4;1.5;9.75
+;7;18.25;Arztmann Beda;*;13;55.0;6;18.5;-1;0.25;10.0
+;6;28.25;Nock Benjamin (2001);;12;55.25;5;28.5;-1;0.25;10.0
-;4;38.25;Steiner Michael;**;6;56.75;4;38.25;0;0.0;8.75
+;8;47.0;Krähenbühl Tobias;***;11;55.5;9;46.75;1;-0.25;9.75

7a;Schäppi Urs;*;;;;;;;;;56.5
+;;;Jöhl Christian;*;;;;;;;9.75
+;2;9.75;Jörger Marc;*;6;56.75;1;10.0;-1;0.25;9.75
o;3;19.5;Orlik Armon;***;1;60.0;1;20.0;-2;0.5;8.5
+;7;28.0;Kirchmeier Christof;;17;54.0;5;28.5;-2;0.5;9.75
-;6;37.75;Gosswiler Livio (2000);;6;56.75;4;38.25;-2;0.5;8.75
+;10;46.5;Schlegel Werner (2002);*;13;55.0;10;46.5;0;0.0;10.0

7b;Gmür Pirmin;**;;;;;;;;;56.5
o;;;Bühler Ernst;**;;;;;;;8.5
+;5;8.5;Bürgi Reto;*;13;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Kuster Thomas;*;12;55.25;7;18.25;0;0.0;10.0
+;6;28.25;Schmid Patrick;*;5;57.0;4;28.75;-2;0.5;9.75
+;5;38.0;Burch Jonas;*;5;57.0;3;38.5;-2;0.5;9.75
-;5;47.75;Reber Marcel;*;5;57.0;3;48.25;-2;0.5;8.75

7c;Schlegel Sandro;**;;;;;;;;;56.5
-;;;Bernold Christian;**;;;;;;;9.0
+;3;9.0;Ziegler Andreas (2002);;12;55.25;2;9.75;-1;0.75;10.0
o;4;19.0;Bösch Daniel;***;6;56.75;5;18.75;1;-0.25;8.5
+;8;27.5;Poltera Andrin;;4;57.25;4;28.75;-4;1.25;10.0
+;7;37.5;Wittenwiler Roman;*;16;54.25;9;37.0;2;-0.5;10.0
-;6;47.5;Bühler Ernst;**;8;56.25;7;47.25;1;-0.25;9.0

8a;Bühler Ernst;**;;;;;;;;;56.25
+;;;Gmür Pirmin;**;;;;;;;9.75
-;2;9.75;Bernold Michael;*;12;55.25;2;9.75;0;0.0;8.75
+;6;18.5;Mathis Patrick;;13;55.0;2;19.75;-4;1.25;10.0
o;5;28.5;Burch Jonas;*;5;57.0;5;28.5;0;0.0;8.75
+;8;37.25;Jörger Marc;*;6;56.75;3;38.5;-5;1.25;10.0
-;7;47.25;Schlegel Sandro;**;7;56.5;6;47.5;-1;0.25;9.0

8b;Roth Martin;*;;;;;;;;;56.25
+;;;Gasser Peter;*;;;;;;;10.0
-;1;10.0;Eugster Ruedi;**;4;57.25;2;9.75;1;-0.25;8.75
-;5;18.75;Bühler Hannes;*;16;54.25;6;18.5;1;-0.25;8.75
+;8;27.5;Bollhalder Manuel (2001);;12;55.25;5;28.5;-3;1.0;10.0
+;7;37.5;Fausch Kjetil;*;11;55.5;4;38.25;-3;0.75;10.0
-;6;47.5;Riget Tobias;**;6;56.75;4;48.0;-2;0.5;8.75

8c;Gartmann Mauro;*;;;;;;;;;56.25
-;;;Mettler Valentin;*;;;;;;;8.75
+;4;8.75;Inauen Aurel;;11;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Inauen Andreas;*;17;54.0;5;18.75;0;0.0;10.0
o;4;28.75;Steiner Michael;**;6;56.75;6;28.25;2;-0.5;8.5
-;8;37.25;Nägeli Roman;*;13;55.0;8;37.25;0;0.0;9.0
+;11;46.25;Keller Werner;;14;54.75;11;46.25;0;0.0;10.0

9a;Vestner Bruno;*;;;;;;;;;56.0
o;;;Schnurrenberger Roman;**;;;;;;;8.5
+;5;8.5;Büsser André;*;13;55.0;4;8.75;-1;0.25;9.75
o;7;18.25;Kirchmeier Christof;;17;54.0;6;18.5;-1;0.25;8.5
+;11;26.75;Sprecher Martin (2000);;21;52.75;10;27.0;-1;0.25;9.75
+;11;36.5;Ziegler Andreas (2002);;12;55.25;10;36.75;-1;0.25;9.75
+;11;46.25;Rüegg Fabian;*;15;54.5;12;46.0;1;-0.25;9.75

10a;Frick Andreas;*;;;;;;;;;55.75
o;;;Jörger Marc;*;;;;;;;8.5
+;5;8.5;Wagner Andreas (2002);;29;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Notz Beni;***;4;57.25;7;18.25;1;-0.25;8.5
+;10;27.0;Niederberger Marc Ursin (2002);;21;52.75;9;27.25;-1;0.25;10.0
+;9;37.0;Castelli Fabio;;12;55.25;9;37.0;0;0.0;10.0
o;8;47.0;Battaglia Ursin;**;3;57.5;6;47.5;-2;0.5;8.75

10b;Thoma Luca (2000);;;;;;;;;;55.75
+;;;Glättli Benny;;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;24;46.75;5;8.5;4;-1.5;8.5
+;6;18.5;Schwyn Patrick;;15;54.5;5;18.75;-1;0.25;10.0
o;5;28.5;Schlegel Werner (2002);*;13;55.0;7;28.0;2;-0.5;8.5
-;9;37.0;Fontana Michael;*;17;54.0;12;36.25;3;-0.75;8.75
+;13;45.75;Laager Andreas;;17;54.0;14;45.5;1;-0.25;10.0

10c;Oertig Dominik;**;;;;;;;;;55.75
-;;;Battaglia Ursin;**;;;;;;;8.75
o;4;8.75;Schmid Patrick;*;5;57.0;1;10.0;-3;1.25;8.5
+;9;17.25;Britschgi Markus;;18;53.75;6;18.5;-3;1.25;10.0
+;9;27.25;Burkhard Tobias;;12;55.25;6;28.25;-3;1.0;10.0
o;8;37.25;Reber Marcel;*;5;57.0;4;38.25;-4;1.0;8.5
+;13;45.75;Kuster Thomas;*;12;55.25;10;46.5;-3;0.75;10.0

10d;Koch Reto;*;;;;;;;;;55.75
o;;;Bernold Michael;*;;;;;;;8.5
+;5;8.5;Flütsch Marco;;13;55.0;2;9.75;-3;1.25;9.75
o;7;18.25;Steiner Michael;**;6;56.75;6;18.5;-1;0.25;8.75
-;10;27.0;Reichmuth Beat;;18;53.75;9;27.25;-1;0.25;9.0
+;13;36.0;Mettler Valentin;*;20;53.0;13;36.0;0;0.0;9.75
+;13;45.75;Schwyn Adrian;*;18;53.75;15;45.25;2;-0.5;10.0

11a;Riedi Thomas;;;;;;;;;;55.5
o;;;Mathis Patrick;;;;;;;;8.5
+;5;8.5;Tremp Remo;;14;54.75;5;8.5;0;0.0;9.75
o;7;18.25;Bernold Michael;*;12;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Burch Dean (2001);;29;35.25;11;26.75;0;0.0;10.0
+;10;36.75;Thoma Nils;;18;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Gosswiler Livio (2000);;6;56.75;8;47.0;-1;0.25;8.75

11b;Oettli Marco;*;;;;;;;;;55.5
-;;;Büsser André;*;;;;;;;8.75
+;4;8.75;Bärtsch Fabian (2000);;11;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Hochholdinger Roman;**;5;57.0;5;18.75;0;0.0;8.5
+;9;27.25;Schwyn Patrick;;15;54.5;9;27.25;0;0.0;10.0
+;8;37.25;Schlegel Werner (2002);*;13;55.0;5;38.0;-3;0.75;9.75
o;8;47.0;Bösch Daniel;***;6;56.75;8;47.0;0;0.0;8.5

11c;Bärtsch Fabian (2000);;;;;;;;;;55.5
+;;;Britschgi Markus;;;;;;;;10.0
o;1;10.0;Oettli Marco;*;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Held Florian;;19;53.5;7;18.25;1;-0.25;10.0
o;5;28.5;Schmid Dominik;**;24;46.75;6;28.25;1;-0.25;8.5
+;9;37.0;Kirchmeier Christof;;17;54.0;9;37.0;0;0.0;10.0
o;8;47.0;Orlik Curdin;**;4;57.25;7;47.25;-1;0.25;8.5

11d;Schiesser Patrik;;;;;;;;;;55.5
o;;;Breitenmoser Simon;;;;;;;;8.5
+;5;8.5;Nüesch Remo (2001);;16;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Schlegel Werner (2002);*;13;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Britschgi Markus;;18;53.75;10;27.0;0;0.0;10.0
o;9;37.0;Hochholdinger Roman;**;5;57.0;9;37.0;0;0.0;8.5
+;14;45.5;Ochsner Reto (2000);;17;54.0;14;45.5;0;0.0;10.0

11e;Krähenbühl Tobias;***;;;;;;;;;55.5
o;;;Rychen Roger;***;;;;;;;8.75
o;4;8.75;Reber Marcel;*;5;57.0;2;9.75;-2;1.0;8.5
+;9;17.25;Ackermann Roman;;18;53.75;7;18.25;-2;1.0;10.0
+;9;27.25;Koch Thomas;*;5;57.0;5;28.5;-4;1.25;9.75
+;9;37.0;Bernold Michael;*;12;55.25;4;38.25;-5;1.25;9.75
o;9;46.75;Wickli Beat;**;6;56.75;8;47.0;-1;0.25;8.75

11f;Fausch Kjetil;*;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Thoma Christoph;;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Gwerder Andreas;**;35;27.0;6;18.5;-1;0.25;10.0
+;6;28.25;Horner Sämi;;16;54.25;4;28.75;-2;0.5;10.0
o;4;38.25;Roth Martin;*;8;56.25;7;37.5;3;-0.75;8.75
o;8;47.0;Notz Beni;***;4;57.25;7;47.25;-1;0.25;8.5

11g;Inauen Aurel;;;;;;;;;;55.5
+;;;Meier Adrian (2000);;;;;;;;10.0
o;1;10.0;Gartmann Mauro;*;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Hauser Simon;;15;54.5;5;18.75;-1;0.25;9.75
o;6;28.25;Dumelin David;*;5;57.0;6;28.25;0;0.0;8.5
-;10;36.75;Buchmann Michael;;16;54.25;10;36.75;0;0.0;9.0
+;13;45.75;Horner Sämi;;16;54.25;13;45.75;0;0.0;9.75

12a;Kuster Thomas;*;;;;;;;;;55.25
o;;;Bürgi Reto;*;;;;;;;8.5
+;5;8.5;Breitenmoser Simon;;17;54.0;2;9.75;-3;1.25;9.75
o;7;18.25;Gmür Pirmin;**;7;56.5;7;18.25;0;0.0;8.5
+;11;26.75;Bürgler Patrick;;29;35.25;11;26.75;0;0.0;10.0
+;10;36.75;Schnyder Christian;;13;55.0;10;36.75;0;0.0;9.75
o;10;46.5;Oertig Dominik;**;10;55.75;13;45.75;3;-0.75;8.75

12b;Bernold Michael;*;;;;;;;;;55.25
+;;;Koch Reto;*;;;;;;;9.75
-;2;9.75;Bühler Ernst;**;8;56.25;2;9.75;0;0.0;8.75
+;6;18.5;Riedi Thomas;;11;55.5;7;18.25;1;-0.25;10.0
+;5;28.5;Pianta Christian;;14;54.75;5;28.5;0;0.0;9.75
o;4;38.25;Krähenbühl Tobias;***;11;55.5;9;37.0;5;-1.25;8.5
o;9;46.75;Steiner Michael;**;6;56.75;8;47.0;-1;0.25;8.5

12c;Burkhard Tobias;;;;;;;;;;55.25
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Dobler Mathias;;22;52.5;5;8.5;0;0.0;10.0
+;6;18.5;Dobler Lorenz (2000);;29;35.25;7;18.25;1;-0.25;9.75
o;6;28.25;Oertig Dominik;**;10;55.75;9;27.25;3;-1.0;8.5
+;10;36.75;Mathis Patrick;;13;55.0;10;36.75;0;0.0;10.0
o;9;46.75;Burch Jonas;*;5;57.0;8;47.0;-1;0.25;8.5

12d;Castelli Fabio;;;;;;;;;;55.25
+;;;Buff Alwin;;;;;;;;10.0
o;1;10.0;Koller Fabian;*;13;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Oettli Silvio (2000);;12;55.25;6;18.5;0;0.0;8.75
+;9;27.25;Dändliker Hansheinrich;;17;54.0;10;27.0;1;-0.25;9.75
o;9;37.0;Frick Andreas;*;10;55.75;9;37.0;0;0.0;8.5
+;14;45.5;Kirchmeier Christof;;17;54.0;14;45.5;0;0.0;9.75

12e;Ziegler Andreas (2002);;;;;;;;;;55.25
+;;;Wehrli Jan (2002);;;;;;;;9.75
o;2;9.75;Schlegel Sandro;**;7;56.5;3;9.0;1;-0.75;8.5
o;7;18.25;Keller Werner;;14;54.75;7;18.25;0;0.0;8.5
+;11;26.75;Glättli Benny;;32;34.5;13;26.0;2;-0.75;10.0
o;10;36.75;Vestner Bruno;*;9;56.0;11;36.5;1;-0.25;8.5
+;15;45.25;Rohner Lukas (2000);;25;45.75;13;45.75;-2;0.5;10.0

12f;Marty Jaime (2000);;;;;;;;;;55.25
-;;;Reichmuth Beat;;;;;;;;8.75
+;4;8.75;Wildhaber Jannik;;26;45.25;5;8.5;1;-0.25;10.0
-;5;18.75;Peng Mike;***;30;35.0;8;17.5;3;-1.25;8.75
+;8;27.5;Aebli Nino (2000);;14;54.75;8;27.5;0;0.0;10.0
o;7;37.5;Bernold Christian;**;12;55.25;9;37.0;2;-0.5;8.75
-;11;46.25;Breitenmoser Manuel;*;12;55.25;11;46.25;0;0.0;9.0

12g;Bernold Christian;**;;;;;;;;;55.25
-;;;Schlegel Sandro;**;;;;;;;9.0
+;3;9.0;Koch Thomas;*;5;57.0;1;10.0;-2;1.0;9.75
+;5;18.75;Kammermann Thomas;*;17;54.0;6;18.5;1;-0.25;9.75
o;5;28.5;Burkhalter Stefan;***;5;57.0;6;28.25;1;-0.25;8.5
+;9;37.0;Marty Jaime (2000);;12;55.25;7;37.5;-2;0.5;9.75
o;9;46.75;Dumelin David;*;5;57.0;8;47.0;-1;0.25;8.5

12h;Oettli Silvio (2000);;;;;;;;;;55.25
+;;;Nüesch Remo (2001);;;;;;;;9.75
o;2;9.75;Elmer Adrian;*;19;53.5;4;8.75;2;-1.0;8.75
+;6;18.5;Castelli Fabio;;12;55.25;6;18.5;0;0.0;9.75
+;6;28.25;Mathis Patrick;;13;55.0;6;28.25;0;0.0;10.0
o;4;38.25;Riget Tobias;**;6;56.75;5;38.0;1;-0.25;8.5
o;9;46.75;Hochholdinger Roman;**;5;57.0;8;47.0;-1;0.25;8.5

12i;Nock Benjamin (2001);;;;;;;;;;55.25
+;;;Bertogg Severin (2001);;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;3;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Bärtsch Andreas (2002);;16;54.25;6;18.5;0;0.0;10.0
o;5;28.5;Wickli Beat;**;6;56.75;6;28.25;1;-0.25;8.5
+;9;37.0;Bollhalder Manuel (2001);;12;55.25;9;37.0;0;0.0;9.75
o;9;46.75;Schmid Patrick;*;5;57.0;8;47.0;-1;0.25;8.5

12j;Holenstein Christian;*;;;;;;;;;55.25
+;;;Schwyn Adrian;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;2;58.0;2;9.75;0;0.0;8.5
+;7;18.25;Laager Andreas;;17;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Jöhl Christian;*;24;46.75;5;28.5;-1;0.25;10.0
o;4;38.25;Notz Beni;***;4;57.25;8;37.25;4;-1.0;8.5
o;9;46.75;Koch Thomas;*;5;57.0;8;47.0;-1;0.25;8.5

12k;Bollhalder Manuel (2001);;;;;;;;;;55.25
+;;;Sprecher Martin (2000);;;;;;;;10.0
o;1;10.0;Steiner Michael;**;6;56.75;4;8.75;3;-1.25;8.75
+;5;18.75;Schmid Reto;;12;55.25;6;18.5;1;-0.25;9.75
o;5;28.5;Roth Martin;*;8;56.25;8;27.5;3;-1.0;8.5
o;9;37.0;Nock Benjamin (2001);;12;55.25;9;37.0;0;0.0;8.5
+;14;45.5;Gasser Peter;*;17;54.0;14;45.5;0;0.0;9.75

12l;Rhyner Beni;;;;;;;;;;55.25
o;;;Keller Werner;;;;;;;;8.5
+;5;8.5;Bertogg Severin (2001);;22;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Biäsch Christian;*;27;37.0;6;18.5;-1;0.25;8.5
+;11;26.75;Wagner Andreas (2002);;29;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Koller Fabian;*;13;55.0;10;36.75;0;0.0;8.5
+;15;45.25;Buff Alwin;;18;53.75;15;45.25;0;0.0;10.0

12m;Schmid Reto;;;;;;;;;;55.25
+;;;Tschudi Mario (2001);;;;;;;;10.0
o;1;10.0;Kammermann Thomas;*;17;54.0;4;8.75;3;-1.25;8.5
o;6;18.5;Bollhalder Manuel (2001);;12;55.25;5;18.75;-1;0.25;8.5
o;10;27.0;Gasser Peter;*;17;54.0;9;27.25;-1;0.25;8.5
+;15;35.5;Dändliker Hansheinrich;;17;54.0;15;35.5;0;0.0;10.0
+;14;45.5;Fontana Michael;*;17;54.0;15;45.25;1;-0.25;9.75

12n;Breitenmoser Manuel;*;;;;;;;;;55.25
-;;;Nägeli Roman;*;;;;;;;8.75
-;4;8.75;Kammermann Dominik;;28;35.75;1;10.0;-3;1.25;8.75
+;8;17.5;Gerber Noel (2002);;29;35.25;7;18.25;-1;0.75;10.0
-;8;27.5;Bürgi Reto;*;13;55.0;7;28.0;-1;0.5;8.75
+;12;36.25;Held Florian;;19;53.5;11;36.5;-1;0.25;10.0
-;11;46.25;Marty Jaime (2000);;12;55.25;11;46.25;0;0.0;9.0

