2856-2015-05-31_101_St_Galler_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.0
+;3;28.75;Horner Peter;**;7;56.5;5;28.25;2;-0.5;9.75
+;2;38.5;Kid Simon;**;5;57.0;2;38.5;0;0.0;10.0
-;2;48.5;Bösch Daniel;***;1;58.0;1;49.25;-1;0.75;8.75

4f;Orlik Curdin;**;;;;;;;;;57.25
-;;;Kohler Fredi;**;;;;;;;8.75
+;4;8.75;Ueltschi Patric;;11;55.5;2;9.75;-2;1.0;9.75
+;5;18.5;Schlegel Reto (1997);*;6;56.75;4;18.75;-1;0.25;10.0
-;4;28.5;Forrer Arnold;***;3;57.5;2;29.0;-2;0.5;8.75
+;7;37.25;Städler Lars;;18;53.75;9;36.75;2;-0.5;10.0
+;6;47.25;Fejzaj Naim;*;12;55.25;8;46.75;2;-0.5;10.0

5a;Rüegg Roman;*;;;;;;;;;57.0
-;;;Bernold Beat;*;;;;;;;8.75
+;4;8.75;Städler Lars;;18;53.75;1;10.0;-3;1.25;10.0
o;4;18.75;Zwyssig Raphael;***;7;56.5;6;18.25;2;-0.5;8.5
+;9;27.25;Grenci Mauro (1999);;15;54.5;8;27.5;-1;0.25;10.0
+;7;37.25;Bürgler Patrick;;16;54.25;7;37.25;0;0.0;9.75
+;7;47.0;Rütsche Stefan;*;12;55.25;8;46.75;1;-0.25;10.0

5b;Bösch Roman;**;;;;;;;;;57.0
o;;;Horner Peter;**;;;;;;;8.5
+;5;8.5;Castelberg Marius;;10;55.75;1;10.0;-4;1.5;10.0
+;5;18.5;Bernold Edi;**;15;54.5;5;18.5;0;0.0;10.0
-;4;28.5;Schmucki Ivo;;10;55.75;3;28.75;-1;0.25;8.75
+;7;37.25;Oertle Daniel;;12;55.25;8;37.0;1;-0.25;9.75
+;7;47.0;Schrepfer Roy;;11;55.5;7;47.0;0;0.0;10.0

5c;Kid Simon;**;;;;;;;;;57.0
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Betschart Ueli;;18;53.75;2;9.75;-2;1.0;10.0
+;4;18.75;Kammermann Dominik;;17;54.0;5;18.5;1;-0.25;9.75
+;4;28.5;Zwyssig Raphael;***;7;56.5;5;28.25;1;-0.25;10.0
o;2;38.5;Rhyner Michael;**;4;57.25;2;38.5;0;0.0;8.5
+;7;47.0;Scheiwiller Andreas;*;11;55.5;7;47.0;0;0.0;10.0

5d;Gmür Pirmin;*;;;;;;;;;57.0
+;;;Vollenweider Jeremy (1998);*;;;;;;;9.75
-;2;9.75;Peng Mike;***;8;56.25;4;8.75;2;-1.0;8.75
+;5;18.5;Thoma Nils (1999);;22;52.5;5;18.5;0;0.0;10.0
-;4;28.5;Kuster Marcel;**;7;56.5;3;28.75;-1;0.25;9.0
+;6;37.5;Egger Ralf (1998);;17;54.0;8;37.0;2;-0.5;9.75
+;6;47.25;Lozza Roman;;11;55.5;7;47.0;1;-0.25;9.75

5e;Scherer Christian;*;;;;;;;;;57.0
+;;;Inauen Andreas;*;;;;;;;9.75
o;2;9.75;Hersche Martin;**;4;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Jecklin Alexsandro (1998);;17;54.0;5;18.5;-1;0.25;10.0
-;5;28.25;Roth Andreas;;11;55.5;4;28.5;-1;0.25;9.0
+;7;37.25;Raschle Adrian;;12;55.25;9;36.75;2;-0.5;10.0
+;6;47.25;Bleiker Reto;*;11;55.5;7;47.0;1;-0.25;9.75

6a;Kohler Fredi;**;;;;;;;;;56.75
-;;;Orlik Curdin;**;;;;;;;8.75
o;4;8.75;Vestner Bruno;*;10;55.75;4;8.75;0;0.0;8.5
+;10;17.25;Riedi Thomas;;17;54.0;5;18.5;-5;1.25;10.0
+;9;27.25;Schmid Dominik;*;10;55.75;9;27.25;0;0.0;9.75
+;8;37.0;Kammermann Dominik;;17;54.0;8;37.0;0;0.0;10.0
+;7;47.0;Jöhl Christian;*;11;55.5;7;47.0;0;0.0;9.75

6b;Güntensperger Marcel;*;;;;;;;;;56.75
+;;;Ott Matthias (1999);;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;7;56.5;5;8.5;4;-1.5;8.5
+;5;18.5;Egger Ralf (1998);;17;54.0;5;18.5;0;0.0;10.0
+;4;28.5;Büsser André;;13;55.0;6;28.0;2;-0.5;10.0
o;2;38.5;Clopath Beat;***;4;57.25;7;37.25;5;-1.25;8.5
+;7;47.0;Wicki Cédric;;12;55.25;8;46.75;1;-0.25;9.75

6c;Oertig Dominik;*;;;;;;;;;56.75
-;;;Schmid Dominik;*;;;;;;;9.0
+;3;9.0;Meier Remo;**;14;54.75;3;9.0;0;0.0;10.0
-;3;19.0;Signer Emil;**;10;55.75;5;18.5;2;-0.5;9.0
+;6;28.0;Rütsche Werner;;12;55.25;4;28.5;-2;0.5;10.0
o;4;38.0;Giger Urs;*;9;56.0;6;37.5;2;-0.5;8.75
+;8;46.75;Schrepfer Chris;;11;55.5;7;47.0;-1;0.25;10.0

6d;Schlegel Reto (1997);*;;;;;;;;;56.75
-;;;Jöhl Christian;*;;;;;;;9.0
+;3;9.0;Breitenmoser Simon;;11;55.5;2;9.75;-1;0.75;9.75
o;4;18.75;Orlik Curdin;**;4;57.25;5;18.5;1;-0.25;8.5
+;9;27.25;Knöpfel Markus;;9;56.0;8;27.5;-1;0.25;10.0
+;7;37.25;Hersche Daniel;;10;55.75;7;37.25;0;0.0;9.75
+;7;47.0;Ueltschi Patric;;11;55.5;7;47.0;0;0.0;9.75

6e;Rychen Roger;**;;;;;;;;;56.75
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Coray Beda;*;2;57.75;2;9.75;-2;1.0;9.75
+;5;18.5;Egli Patrick;;17;54.0;2;19.75;-3;1.25;10.0
o;4;28.5;Bösch Daniel;***;1;58.0;1;29.75;-3;1.25;8.5
+;8;37.0;Mettler Florian (1997);;18;53.75;9;36.75;1;-0.25;10.0
+;7;47.0;Bäbler Dominik;*;13;55.0;9;46.5;2;-0.5;9.75

7a;Bernold Christian;*;;;;;;;;;56.5
-;;;Battaglia Ursin;**;;;;;;;9.0
+;3;9.0;Wild Thomas;;13;55.0;2;9.75;-1;0.75;10.0
o;3;19.0;Kuster Marcel;**;7;56.5;4;18.75;1;-0.25;8.75
-;7;27.75;Ueltschi Patric;;11;55.5;5;28.25;-2;0.5;9.0
+;9;36.75;Horner Sämi;;15;54.5;8;37.0;-1;0.25;10.0
+;8;46.75;Gartmann Mauro;;14;54.75;10;46.25;2;-0.5;9.75

7b;Kuster Marcel;**;;;;;;;;;56.5
-;;;Glaus Martin;***;;;;;;;8.75
+;4;8.75;Battaglia Ursin;**;9;56.0;3;9.0;-1;0.25;10.0
+;4;18.75;Bernold Christian;*;7;56.5;3;19.0;-1;0.25;10.0
-;3;28.75;Gmür Pirmin;*;5;57.0;4;28.5;1;-0.25;9.0
+;5;37.75;Streuli Martin;*;9;56.0;6;37.5;1;-0.25;10.0
-;4;47.75;Büsser Andy;***;4;57.25;3;48.25;-1;0.5;8.75

7c;Horner Peter;**;;;;;;;;;56.5
+;;;Bösch Roman;**;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;1;58.0;1;10.0;-1;0.25;8.5
+;6;18.25;Tremp Remo (1999);;17;54.0;5;18.5;-1;0.25;10.0
o;5;28.25;Rhyner Michael;**;4;57.25;3;28.75;-2;0.5;8.5
+;9;36.75;Steiner Michael (1998);;18;53.75;9;36.75;0;0.0;10.0
+;8;46.75;Kuster Thomas;*;12;55.25;8;46.75;0;0.0;9.75

7d;Litscher Manuel;;;;;;;;;;56.5
+;;;Giger Markus;;;;;;;;9.75
o;2;9.75;Landolt Reto;*;12;55.25;4;8.75;2;-1.0;8.5
+;6;18.25;Artho Roman (1998);;23;35.25;6;18.25;0;0.0;9.75
+;6;28.0;Wild Thomas;;13;55.0;6;28.0;0;0.0;9.75
o;5;37.75;Jöhl Christian;*;11;55.5;7;37.25;2;-0.5;8.75
+;9;46.5;Schmucki Ivo;;10;55.75;6;47.25;-3;0.75;10.0

7e;Vogel Beat;*;;;;;;;;;56.5
o;;;Kuster Thomas;*;;;;;;;8.5
+;5;8.5;Ulmann Fabian (1999);;23;35.25;2;9.75;-3;1.25;10.0
+;5;18.5;Nigg Jakob (1999);;18;53.75;5;18.5;0;0.0;10.0
+;4;28.5;Schläpfer Markus;**;10;55.75;8;27.5;4;-1.0;9.75
o;3;38.25;Orlik Armon;**;3;57.5;5;37.75;2;-0.5;8.5
+;8;46.75;Pianta Christian (1997);;12;55.25;8;46.75;0;0.0;9.75

7f;Riget Tobias;**;;;;;;;;;56.5
+;;;Hersche Martin;**;;;;;;;10.0
o;1;10.0;Orlik Armon;**;3;57.5;4;8.75;3;-1.25;8.5
+;5;18.5;Baumgartner Alexander (1997);;12;55.25;5;18.5;0;0.0;10.0
+;4;28.5;Fontana Michael;;16;54.25;4;28.5;0;0.0;9.75
o;3;38.25;Bösch Daniel;***;1;58.0;1;39.5;-2;1.25;8.5
+;8;46.75;Landolt Reto;*;12;55.25;8;46.75;0;0.0;9.75

7g;Zwyssig Raphael;***;;;;;;;;;56.5
o;;;Forrer Arnold;***;;;;;;;8.5
+;5;8.5;Güntensperger Marcel;*;6;56.75;1;10.0;-4;1.5;9.75
+;6;18.25;Rüegg Roman;*;5;57.0;4;18.75;-2;0.5;10.0
o;5;28.25;Kid Simon;**;5;57.0;4;28.5;-1;0.25;8.5
+;9;36.75;Näf Bruno;*;17;54.0;8;37.0;-1;0.25;10.0
+;8;46.75;Vollenweider Jeremy (1998);*;14;54.75;10;46.25;2;-0.5;9.75

8a;Peng Mike;***;;;;;;;;;56.25
-;;;Kid Simon;**;;;;;;;8.75
-;4;8.75;Gmür Pirmin;*;5;57.0;2;9.75;-2;1.0;8.75
+;9;17.5;Rüegg Fabian;;3;57.5;3;19.0;-6;1.5;10.0
+;8;27.5;Kamer Hanspeter;*;10;55.75;4;28.5;-4;1.0;10.0
+;6;37.5;Rütsche Stefan;*;12;55.25;3;38.25;-3;0.75;10.0
-;5;47.5;Signer Emil;**;10;55.75;7;47.0;2;-0.5;8.75

9a;Streuli Martin;*;;;;;;;;;56.0
-;;;Landolt Reto;*;;;;;;;8.75
-;4;8.75;Knöpfel Markus;;9;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Schafflützel Patrick;;23;35.25;6;18.25;-3;0.75;10.0
+;8;27.5;Bircher Luca (1999);;21;52.75;9;27.25;1;-0.25;10.0
o;6;37.5;Kuster Marcel;**;7;56.5;5;37.75;-1;0.25;8.5
+;11;46.0;Castelberg Andri;;17;54.0;13;45.5;2;-0.5;10.0

9b;Sprecher Sandro;*;;;;;;;;;56.0
o;;;Coray Beda;*;;;;;;;8.5
-;5;8.5;Bischof Martin;;12;55.25;1;10.0;-4;1.5;9.0
+;9;17.5;Hobi Ignaz;;16;54.25;4;18.75;-5;1.25;10.0
+;8;27.5;Harder Benj;;14;54.75;7;27.75;-1;0.25;10.0
o;6;37.5;Eugster Ruedi;**;3;57.5;6;37.5;0;0.0;8.5
+;11;46.0;Bernold Edi;**;15;54.5;11;46.0;0;0.0;10.0

9c;Truniger Manuel;;;;;;;;;;56.0
+;;;Schafflützel Patrick;;;;;;;;10.0
o;1;10.0;Scheiwiller Andreas;*;11;55.5;4;8.75;3;-1.25;8.75
+;4;18.75;Gerig Marcel;;12;55.25;5;18.5;1;-0.25;9.75
-;4;28.5;Plump Martin;*;18;53.75;6;28.0;2;-0.5;8.75
o;7;37.25;Schrepfer Roy;;11;55.5;7;37.25;0;0.0;8.75
+;11;46.0;Grenci Mauro (1999);;15;54.5;11;46.0;0;0.0;10.0

9d;Battaglia Ursin;**;;;;;;;;;56.0
-;;;Bernold Christian;*;;;;;;;9.0
o;3;9.0;Kuster Marcel;**;7;56.5;4;8.75;1;-0.25;8.75
+;8;17.75;Schiess Christian;;14;54.75;4;18.75;-4;1.0;10.0
+;7;27.75;Vollmeier Sandro;;15;54.5;8;27.5;1;-0.25;10.0
+;5;37.75;Bäbler Dominik;*;13;55.0;4;38.0;-1;0.25;9.75
o;5;47.5;Forrer Arnold;***;3;57.5;4;47.75;-1;0.25;8.5

9e;Wickli Beat;*;;;;;;;;;56.0
-;;;Giger Urs;*;;;;;;;9.0
+;3;9.0;Schmuki Michael;;10;55.75;2;9.75;-1;0.75;10.0
-;3;19.0;Orlik Armon;**;3;57.5;4;18.75;1;-0.25;8.75
+;7;27.75;Fässler Patrick;;10;55.75;9;27.25;2;-0.5;9.75
+;6;37.5;Schnyder Christian;;15;54.5;7;37.25;1;-0.25;10.0
o;5;47.5;Coray Beda;*;2;57.75;4;47.75;-1;0.25;8.5

9f;Giger Urs;*;;;;;;;;;56.0
-;;;Wickli Beat;*;;;;;;;9.0
o;3;9.0;Knechtle Martin;**;4;57.25;4;8.75;1;-0.25;8.5
+;9;17.5;Alder Christian (1997);;15;54.5;4;18.75;-5;1.25;10.0
+;8;27.5;Bänziger Peter;;10;55.75;3;28.75;-5;1.25;10.0
+;6;37.5;Oertig Dominik;*;6;56.75;4;38.0;-2;0.5;9.75
o;6;47.25;Eugster Ruedi;**;3;57.5;5;47.5;-1;0.25;8.75

9g;Knöpfel Markus;;;;;;;;;;56.0
-;;;Scherrer Willi;;;;;;;;8.75
-;4;8.75;Streuli Martin;*;9;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Mannhart Manuel (1999);;26;34.0;11;17.0;2;-0.5;10.0
o;8;27.5;Schlegel Reto (1997);*;6;56.75;9;27.25;1;-0.25;8.5
+;12;36.0;Hobi Ignaz;;16;54.25;12;36.0;0;0.0;10.0
+;11;46.0;Roth Peter (1998);;17;54.0;13;45.5;2;-0.5;10.0

10a;Vestner Bruno;*;;;;;;;;;55.75
-;;;Knechtle Martin;**;;;;;;;8.75
+;4;8.75;Kohler Fredi;**;6;56.75;4;8.75;0;0.0;9.75
o;5;18.5;Büsser Andy;***;4;57.25;5;18.5;0;0.0;8.5
-;10;27.0;Raymann David;;15;54.5;4;28.5;-6;1.5;8.75
+;13;35.75;Bäbler Sandro;**;15;54.5;12;36.0;-1;0.25;10.0
+;12;45.75;Wild Stefan;;16;54.25;12;45.75;0;0.0;10.0

10b;Oertig Simon;;;;;;;;;;55.75
-;;;Hersche Daniel;;;;;;;;8.75
+;4;8.75;Castelberg Andri;;17;54.0;5;8.5;1;-0.25;9.75
o;5;18.5;Bleiker Reto;*;11;55.5;4;18.75;-1;0.25;8.5
+;10;27.0;Frei Hanspeter (1999);;16;54.25;10;27.0;0;0.0;9.75
-;9;36.75;Breitenmoser Simon;;11;55.5;9;36.75;0;0.0;9.0
+;12;45.75;Jecklin Alexsandro (1998);;17;54.0;13;45.5;1;-0.25;10.0

10c;Gschwend Walter;*;;;;;;;;;55.75
-;;;Rütsche Stefan;*;;;;;;;8.75
-;4;8.75;Elmer Adrian;;11;55.5;1;10.0;-3;1.25;8.75
+;9;17.5;Nigg Kaspar (1997);;18;53.75;6;18.25;-3;0.75;10.0
+;8;27.5;Bischof Remo;;15;54.5;8;27.5;0;0.0;10.0
o;6;37.5;Knechtle Martin;**;4;57.25;6;37.5;0;0.0;8.5
+;11;46.0;Bernold Michael (1999);;14;54.75;11;46.0;0;0.0;9.75

10d;Baumann Rico;*;;;;;;;;;55.75
+;;;Plump Martin;*;;;;;;;9.75
o;2;9.75;Clopath Beat;***;4;57.25;5;8.5;3;-1.25;8.5
+;6;18.25;Haller Mathias (1999);;22;52.5;5;18.5;-1;0.25;10.0
+;5;28.25;Elmer Adrian;;11;55.5;3;28.75;-2;0.5;9.75
o;4;38.0;Coray Beda;*;2;57.75;4;38.0;0;0.0;8.75
-;8;46.75;Schmuki Michael;;10;55.75;8;46.75;0;0.0;9.0

10e;Roth Ruedi (1997);;;;;;;;;;55.75
+;;;Winet Jonas (1999);;;;;;;;9.75
+;2;9.75;Gysel Hansruedi;;12;55.25;5;8.5;3;-1.25;10.0
o;2;19.75;Vollenweider Jeremy (1998);*;14;54.75;6;18.25;4;-1.5;8.75
o;4;28.5;Landolt Reto;*;12;55.25;9;27.25;5;-1.25;8.75
+;7;37.25;Gerig Marcel;;12;55.25;9;36.75;2;-0.5;10.0
o;6;47.25;Rüegg Fabian;;3;57.5;5;47.5;-1;0.25;8.5

10f;Fässler Patrick;;;;;;;;;;55.75
-;;;Roth Andreas;;;;;;;;8.75
+;4;8.75;Schlegel Beni (1999);;27;18.5;1;10.0;-3;1.25;10.0
o;4;18.75;Holenstein Christian;*;10;55.75;5;18.5;1;-0.25;8.5
o;9;27.25;Wickli Beat;*;9;56.0;7;27.75;-2;0.5;8.5
+;13;35.75;Bircher Luca (1999);;21;52.75;13;35.75;0;0.0;10.0
+;12;45.75;Pfiffner Ivo;;16;54.25;12;45.75;0;0.0;10.0

10g;Hersche Daniel;;;;;;;;;;55.75
-;;;Oertig Simon;;;;;;;;8.75
o;4;8.75;Pfiffner Ivo;;16;54.25;4;8.75;0;0.0;8.75
+;9;17.5;Zahner Stefan;;24;34.75;9;17.5;0;0.0;9.75
+;9;27.25;Bäbler Sandro;**;15;54.5;9;27.25;0;0.0;10.0
o;7;37.25;Schlegel Reto (1997);*;6;56.75;7;37.25;0;0.0;8.75
+;11;46.0;Vollmeier Sandro;;15;54.5;11;46.0;0;0.0;9.75

10h;Castelberg Marius;;;;;;;;;;55.75
+;;;Pfiffner Ivo;;;;;;;;10.0
o;1;10.0;Bösch Roman;**;5;57.0;5;8.5;4;-1.5;8.5
-;5;18.5;Schrepfer Roy;;11;55.5;5;18.5;0;0.0;8.75
o;9;27.25;Scheiwiller Andreas;*;11;55.5;9;27.25;0;0.0;8.5
+;13;35.75;Bleiker Daniel;;21;52.75;13;35.75;0;0.0;10.0
+;12;45.75;Raymann David;;15;54.5;11;46.0;-1;0.25;10.0

10i;Holenstein Christian;*;;;;;;;;;55.75
o;;;Schläpfer Markus;**;;;;;;;8.5
+;5;8.5;Städler Dario;;18;53.75;2;9.75;-3;1.25;10.0
+;5;18.5;Fässler Patrick;;10;55.75;4;18.75;-1;0.25;10.0
o;4;28.5;Orlik Armon;**;3;57.5;7;27.75;3;-0.75;8.5
+;8;37.0;Koch Thomas (1997);;12;55.25;9;36.75;1;-0.25;10.0
-;7;47.0;Kamer Hanspeter;*;10;55.75;7;47.0;0;0.0;8.75

10j;Schmuki Michael;;;;;;;;;;55.75
+;;;Signer Patrick (1999);;;;;;;;9.75
o;2;9.75;Wickli Beat;*;9;56.0;3;9.0;1;-0.75;8.5
+;6;18.25;Mettler Florian (1997);;18;53.75;6;18.25;0;0.0;10.0
o;5;28.25;Schmid Dominik;*;10;55.75;9;27.25;4;-1.0;8.5
+;9;36.75;Schönenberger Philipp;;13;55.0;9;36.75;0;0.0;10.0
-;8;46.75;Baumann Rico;*;10;55.75;8;46.75;0;0.0;9.0

10k;Schmid Dominik;*;;;;;;;;;55.75
-;;;Oertig Dominik;*;;;;;;;9.0
+;3;9.0;Schrepfer Roy;;11;55.5;1;10.0;-2;1.0;9.75
o;4;18.75;Kohler Fredi;**;6;56.75;10;17.25;6;-1.5;8.5
+;9;27.25;Schmuki Michael;;10;55.75;5;28.25;-4;1.0;10.0
+;7;37.25;Baumann Simon;;18;53.75;9;36.75;2;-0.5;10.0
o;6;47.25;Orlik Armon;**;3;57.5;4;47.75;-2;0.5;8.5

10l;Signer Emil;**;;;;;;;;;55.75
-;;;Eugster Ruedi;**;;;;;;;8.75
+;4;8.75;Jöhl Christian;*;11;55.5;3;9.0;-1;0.25;9.75
-;5;18.5;Oertig Dominik;*;6;56.75;3;19.0;-2;0.5;9.0
+;8;27.5;Bleiker Reto;*;11;55.5;4;28.5;-4;1.0;9.75
+;7;37.25;Roth Andreas;;11;55.5;7;37.25;0;0.0;9.75
-;7;47.0;Peng Mike;***;8;56.25;5;47.5;-2;0.5;8.75

10m;Schmucki Ivo;;;;;;;;;;55.75
-;;;Schmid Patrick (1997);;;;;;;;8.75
+;4;8.75;Scherrer Pascal;;17;54.0;2;9.75;-2;1.0;10.0
+;4;18.75;Inauen Andreas;*;12;55.25;10;17.25;6;-1.5;10.0
-;3;28.75;Bösch Roman;**;5;57.0;4;28.5;1;-0.25;8.75
+;6;37.5;Egli Patrick;;17;54.0;9;36.75;3;-0.75;9.75
o;6;47.25;Litscher Manuel;;7;56.5;9;46.5;3;-0.75;8.5

10n;Bänziger Peter;;;;;;;;;;55.75
+;;;Gysel Hansruedi;;;;;;;;10.0
-;1;10.0;Inauen Andreas;*;12;55.25;5;8.5;4;-1.5;8.75
+;4;18.75;Steiner Michael (1998);;18;53.75;6;18.25;2;-0.5;10.0
o;3;28.75;Giger Urs;*;9;56.0;8;27.5;5;-1.25;8.5
o;7;37.25;Wicki Cédric;;12;55.25;9;36.75;2;-0.5;8.5
+;12;45.75;Fontana Michael;;16;54.25;12;45.75;0;0.0;10.0

10o;Schläpfer Markus;**;;;;;;;;;55.75
+;;;Holenstein Christian;*;;;;;;;9.75
-;2;9.75;Forrer Arnold;***;3;57.5;1;10.0;-1;0.25;8.75
-;5;18.5;Bernold Beat;*;14;54.75;4;18.75;-1;0.25;9.0
o;8;27.5;Vogel Beat;*;7;56.5;4;28.5;-4;1.0;8.5
+;12;36.0;Wild Thomas;;13;55.0;10;36.5;-2;0.5;10.0
+;11;46.0;Büsser André;;13;55.0;9;46.5;-2;0.5;9.75

10p;Kamer Hanspeter;*;;;;;;;;;55.75
o;;;Fejzaj Naim;*;;;;;;;8.5
+;5;8.5;Mathis Patrick;;12;55.25;4;8.75;-1;0.25;10.0
+;5;18.5;Egger Matthias (1997);;13;55.0;5;18.5;0;0.0;10.0
o;4;28.5;Peng Mike;***;8;56.25;8;27.5;4;-1.0;8.5
+;8;37.0;Lieberherr Michael (1999);;11;55.5;8;37.0;0;0.0;10.0
-;7;47.0;Holenstein Christian;*;10;55.75;7;47.0;0;0.0;8.75

11a;Huber Pascal;*;;;;;;;;;55.5
-;;;Scheiwiller Andreas;*;;;;;;;8.75
-;4;8.75;Bäbler Sandro;**;15;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Schudel Simon;;12;55.25;5;18.5;-4;1.0;9.75
