5106-2021-07-17_70_Weissenstein-Schwinget2-ST

1a;Ott Damian;**;;;;;;;;;58.25
15e;Kropf Marcel;**;;;;;;;;;54.25
+;;;Krähenbühl Tobias;***;;;;;;;10.0
+;1;10.0;Dumelin David;**;5;56.75;1;10.0;0;0.0;10.0
o;1;20.0;Nötzli Reto;***;6;56.5;2;19.75;1;-0.25;8.5
-;5;28.5;Betschart Patrick;*;14;54.5;5;28.5;0;0.0;8.75
o;9;37.25;Schnurrenberger Roman;**;5;56.75;10;37.0;1;-0.25;8.5
o;12;45.75;Schlegel Sandro;**;10;55.5;12;45.75;0;0.0;8.5

16a;Stoll Simon;**;;;;;;;;;54.0
o;;;Rohrer Ueli;**;;;;;;;8.5
o;5;8.5;Blaser Christian;**;17;53.75;5;8.5;0;0.0;8.5
-;11;17.0;Dörig Erich;*;26;34.75;9;17.5;-2;0.5;8.75
+;15;25.75;Bürgler Patrick;*;17;53.75;11;27.0;-4;1.25;9.75
o;16;35.5;Bucher Christian;**;12;55.0;16;35.5;0;0.0;8.5
+;18;44.0;Nägeli Marco;**;19;53.0;16;44.5;-2;0.5;10.0

16b;Krähenbühl Tobias;***;;;;;;;;;54.0
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Hermann Oliver;**;17;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Lemmenmeier Lukas;*;10;55.5;5;18.75;-2;0.5;10.0
o;6;28.25;Schurtenberger Sven;***;4;57.0;4;28.75;-2;0.5;8.5
o;11;36.75;Ambühl Joel;**;8;56.0;8;37.5;-3;0.75;8.5
o;14;45.25;Suppiger Werner;**;6;56.5;8;46.75;-6;1.5;8.75

17a;Hermann Oliver;**;;;;;;;;;53.75
+;;;Scherer Niklaus;**;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;16;54.0;5;8.5;4;-1.5;8.5
+;6;18.5;Hugelshofer Lars;*;17;53.75;7;18.25;1;-0.25;9.75
o;6;28.25;von Ah Benji;***;7;56.25;7;28.0;1;-0.25;8.5
o;11;36.75;Dumelin David;**;5;56.75;10;37.0;-1;0.25;8.5
o;14;45.25;Odermatt Christian;**;12;55.0;14;45.25;0;0.0;8.5

17b;Blaser Christian;**;;;;;;;;;53.75
o;;;Leuthard Reto;**;;;;;;;8.5
+;5;8.5;Stoll Simon;**;16;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Hurschler Thomas;**;11;55.25;6;18.5;-1;0.25;8.5
o;12;26.75;Henzer Andreas;**;18;53.25;13;26.25;1;-0.5;8.75
o;16;35.5;Grieder Nonda;;14;54.5;14;36.0;-2;0.5;8.5
+;18;44.0;Nussbaumer Gabriel;;21;52.5;18;44.0;0;0.0;9.75

17c;Bürgler Patrick;*;;;;;;;;;53.75
+;;;Büttler Gian;;;;;;;;9.75
o;2;9.75;Schuler Alex;***;23;44.75;5;8.5;3;-1.25;8.5
-;7;18.25;Reinhard Pirmin;;14;54.5;9;17.5;2;-0.75;8.75
o;11;27.0;Stoll Simon;**;16;54.0;15;25.75;4;-1.25;8.5
o;16;35.5;Lemmenmeier Lukas;*;10;55.5;15;35.75;-1;0.25;8.5
+;18;44.0;Ris Jörn;*;21;52.5;18;44.0;0;0.0;9.75

17d;Egli Damian;**;;;;;;;;;53.75
o;;;Oettli Marco;**;;;;;;;8.5
+;5;8.5;Imobersteg Matthias;**;31;25.5;5;8.5;0;0.0;10.0
-;6;18.5;Rotach Lars;*;14;54.5;5;18.75;-1;0.25;9.0
o;9;27.5;Schlegel Werner;**;3;57.25;10;27.25;1;-0.25;8.5
-;14;36.0;Henzer Andreas;**;18;53.25;14;36.0;0;0.0;8.75
-;15;44.75;Stüdeli Thomas;**;19;53.0;18;44.0;3;-0.75;9.0

17e;Hugelshofer Lars;*;;;;;;;;;53.75
+;;;Stadler Kevin;*;;;;;;;9.75
o;2;9.75;von Ah Benji;***;7;56.25;5;8.5;3;-1.25;8.5
o;7;18.25;Hermann Oliver;**;17;53.75;6;18.5;-1;0.25;8.5
+;12;26.75;Grieder Nonda;;14;54.5;10;27.25;-2;0.5;10.0
o;11;36.75;Schmid Samuel;**;11;55.25;11;36.75;0;0.0;8.5
o;14;45.25;Scherer Niklaus;**;11;55.25;13;45.5;-1;0.25;8.5

18a;Fellmann Roman;**;;;;;;;;;53.25
-;;;Brand Christian;**;;;;;;;8.75
-;4;8.75;Bader Fabian;*;15;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;Moser Matthias;*;27;34.5;10;17.25;1;-0.25;10.0
o;9;27.5;Leuppi Samir;***;9;55.75;11;27.0;2;-0.5;8.5
-;14;36.0;Bollhalder Manuel;*;11;55.25;12;36.5;-2;0.5;8.75
o;15;44.75;Kuster Thomas;*;12;55.0;14;45.25;-1;0.5;8.5

18b;Henzer Andreas;**;;;;;;;;;53.25
-;;;Odermatt Christian;**;;;;;;;8.75
-;4;8.75;Giger Urs;*;14;54.5;3;9.0;-1;0.25;8.75
-;9;17.5;Kolb Pirmin;*;19;53.0;6;18.5;-3;1.0;8.75
+;13;26.25;Blaser Christian;**;17;53.75;12;26.75;-1;0.5;9.75
-;14;36.0;Egli Damian;**;17;53.75;14;36.0;0;0.0;8.75
o;15;44.75;Ulrich Marco;**;11;55.25;13;45.5;-2;0.75;8.5

19a;Brand Christian;**;;;;;;;;;53.0
-;;;Fellmann Roman;**;;;;;;;8.75
+;4;8.75;Steinauer Adrian;**;15;54.25;3;9.0;-1;0.25;9.75
-;6;18.5;Burkhalter Stefan;***;13;54.75;10;17.25;4;-1.25;8.75
o;10;27.25;Fankhauser Marco;**;7;56.25;9;27.5;-1;0.25;8.5
o;15;35.75;Kindlimann Fabian;***;12;55.0;13;36.25;-2;0.5;8.5
-;17;44.25;Arnold Fabian;*;19;53.0;17;44.25;0;0.0;8.75

19b;Arztmann Beda;**;;;;;;;;;53.0
+;;;Widmer David;**;;;;;;;10.0
o;1;10.0;Döbeli Andreas;***;3;57.25;1;10.0;0;0.0;8.5
-;6;18.5;Erb Roger;**;5;56.75;7;18.25;1;-0.25;8.75
-;10;27.25;Rohrer Ueli;**;9;55.75;10;27.25;0;0.0;8.75
o;14;36.0;Hurschler Thomas;**;11;55.25;11;36.75;-3;0.75;8.5
o;16;44.5;Reinhard Pirmin;;14;54.5;16;44.5;0;0.0;8.5

19c;Kolb Pirmin;*;;;;;;;;;53.0
-;;;Reinhard Pirmin;;;;;;;;8.75
+;4;8.75;Probst Gabriel;**;28;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Henzer Andreas;**;18;53.25;9;17.5;3;-1.0;8.75
-;10;27.25;Lussi Marco;**;14;54.5;9;27.5;-1;0.25;8.75
o;14;36.0;Rohrer Ueli;**;9;55.75;14;36.0;0;0.0;8.5
o;16;44.5;Lemmenmeier Lukas;*;10;55.5;12;45.75;-4;1.25;8.5

19d;Arnold Fabian;*;;;;;;;;;53.0
-;;;Koch Reto;*;;;;;;;8.75
-;4;8.75;Schwegler Dominik;;26;34.75;4;8.75;0;0.0;8.75
+;9;17.5;Widmer David;**;28;34.25;10;17.25;1;-0.25;9.75
o;10;27.25;Vollenweider Jeremy;**;14;54.5;10;27.25;0;0.0;8.5
o;15;35.75;Giger Urs;*;14;54.5;13;36.25;-2;0.5;8.5
-;17;44.25;Brand Christian;**;19;53.0;17;44.25;0;0.0;8.75

19e;Nägeli Marco;**;;;;;;;;;53.0
o;;;Hurschler Thomas;**;;;;;;;8.5
o;5;8.5;Schmutz Simon;*;11;55.25;5;8.5;0;0.0;8.75
+;10;17.25;Mangold Martin;*;29;34.0;11;17.0;1;-0.25;10.0
-;10;27.25;Schuler Alex;***;23;44.75;10;27.25;0;0.0;8.75
o;14;36.0;Scherer Niklaus;**;11;55.25;15;35.75;1;-0.25;8.5
o;16;44.5;Stoll Simon;**;16;54.0;18;44.0;2;-0.5;8.5

19f;Stüdeli Thomas;**;;;;;;;;;53.0
-;;;Bucher Christian;**;;;;;;;8.75
o;4;8.75;Lemmenmeier Lukas;*;10;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Koch Reto;*;26;34.75;9;17.5;-1;0.25;9.75
o;11;27.0;Burkhalter Stefan;***;13;54.75;14;26.0;3;-1.0;8.5
o;16;35.5;Schlegel Sandro;**;10;55.5;14;36.0;-2;0.5;8.5
-;18;44.0;Egli Damian;**;17;53.75;15;44.75;-3;0.75;9.0

20a;Büttler Gian;;;;;;;;;;52.75
o;;;Bürgler Patrick;*;;;;;;;8.5
-;5;8.5;Dörig Erich;*;26;34.75;5;8.5;0;0.0;8.75
o;10;17.25;Suter Pirmin;**;30;27.25;9;17.5;-1;0.25;8.5
+;15;25.75;Mangold Martin;*;29;34.0;16;25.5;1;-0.25;10.0
o;15;35.75;Reinhard Pirmin;;14;54.5;14;36.0;-1;0.25;8.5
o;17;44.25;Bucher Christian;**;12;55.0;14;45.25;-3;1.0;8.5

21a;Nussbaumer Gabriel;;;;;;;;;;52.5
o;;;Huber Alex;*;;;;;;;8.5
o;5;8.5;Gartmann Mauro;**;24;44.0;5;8.5;0;0.0;8.5
+;11;17.0;Ris Jörn;*;21;52.5;11;17.0;0;0.0;9.75
o;12;26.75;Bollhalder Manuel;*;11;55.25;12;26.75;0;0.0;8.75
o;16;35.5;Ulrich Marco;**;11;55.25;16;35.5;0;0.0;8.5
o;18;44.0;Blaser Christian;**;17;53.75;18;44.0;0;0.0;8.5

21b;Ris Jörn;*;;;;;;;;;52.5
o;;;Bollhalder Manuel;*;;;;;;;8.5
o;5;8.5;Bucher Christian;**;12;55.0;4;8.75;-1;0.25;8.5
o;11;17.0;Nussbaumer Gabriel;;21;52.5;11;17.0;0;0.0;8.5
+;16;25.5;Widmer David;**;28;34.25;15;25.75;-1;0.25;10.0
o;16;35.5;Odermatt Christian;**;12;55.0;16;35.5;0;0.0;8.5
o;18;44.0;Bürgler Patrick;*;17;53.75;18;44.0;0;0.0;8.5

22a;Huber Alex;*;;;;;;;;;45.25
+;;;Nussbaumer Gabriel;;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;6;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Schwegler Dominik;;26;34.75;9;17.5;2;-0.75;10.0
o;6;28.25;Hügli Kaj;**;11;55.25;5;28.5;-1;0.25;8.5
o;11;36.75;Erb Roger;**;5;56.75;11;36.75;0;0.0;8.5

23a;Schuler Alex;***;;;;;;;;;44.75
o;;;Hügli Kaj;**;;;;;;;8.5
+;5;8.5;Bürgler Patrick;*;17;53.75;2;9.75;-3;1.25;10.0
-;6;18.5;Vollenweider Jeremy;**;14;54.5;6;18.5;0;0.0;8.75
-;10;27.25;Nägeli Marco;**;19;53.0;10;27.25;0;0.0;9.0
o;13;36.25;Schlegel Werner;**;3;57.25;9;37.25;-4;1.0;8.5

24a;Gartmann Mauro;**;;;;;;;;;44.0
o;;;Schmid Samuel;**;;;;;;;8.5
+;5;8.5;Nussbaumer Gabriel;;21;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Müllestein Mike;***;11;55.25;9;17.5;3;-1.0;8.5
o;11;27.0;Burch Jonas;**;9;55.75;11;27.0;0;0.0;8.5
o;16;35.5;Bader Fabian;*;15;54.25;16;35.5;0;0.0;8.5

25a;Waser Dominik;**;;;;;;;;;35.75
o;;;Schnurrenberger Roman;**;;;;;;;8.5
+;5;8.5;Imobersteg Matthias;**;31;25.5;5;8.5;0;0.0;10.0
o;6;18.5;Oettli Marco;**;11;55.25;6;18.5;0;0.0;8.75
o;10;27.25;Leuthard Reto;**;15;54.25;10;27.25;0;0.0;8.5

26a;Schwegler Dominik;;;;;;;;;;34.75
-;;;Grieder Nonda;;;;;;;;8.75
-;4;8.75;Arnold Fabian;*;19;53.0;4;8.75;0;0.0;8.75
o;9;17.5;Huber Alex;*;22;45.25;7;18.25;-2;0.75;8.5
-;14;26.0;Koch Reto;*;26;34.75;14;26.0;0;0.0;8.75

26b;Schmid Patrick;*;;;;;;;;;34.75
o;;;Burch Jonas;**;;;;;;;8.5
-;5;8.5;Reinhard Pirmin;;14;54.5;4;8.75;-1;0.25;8.75
-;10;17.25;Scherrer Johann;**;27;34.5;11;17.0;1;-0.25;8.75
-;14;26.0;Moser Matthias;*;27;34.5;15;25.75;1;-0.25;8.75

26c;Dörig Erich;*;;;;;;;;;34.75
o;;;Lussi Marco;**;;;;;;;8.5
-;5;8.5;Büttler Gian;;20;52.75;5;8.5;0;0.0;9.0
-;9;17.5;Stoll Simon;**;16;54.0;11;17.0;2;-0.5;8.75
o;13;26.25;Bader Fabian;*;15;54.25;15;25.75;2;-0.5;8.5

26d;Koch Reto;*;;;;;;;;;34.75
-;;;Arnold Fabian;*;;;;;;;8.75
o;4;8.75;Reichmuth Marco;**;6;56.5;3;9.0;-1;0.25;8.75
o;9;17.5;Stüdeli Thomas;**;19;53.0;10;17.25;1;-0.25;8.5
-;14;26.0;Schwegler Dominik;;26;34.75;14;26.0;0;0.0;8.75

27a;Scherrer Johann;**;;;;;;;;;34.5
o;;;Ulrich Marco;**;;;;;;;8.5
o;5;8.5;Scherer Niklaus;**;11;55.25;5;8.5;0;0.0;8.5
-;11;17.0;Schmid Patrick;*;26;34.75;10;17.25;-1;0.25;8.75
-;15;25.75;Stadler Kevin;*;27;34.5;15;25.75;0;0.0;8.75

27b;Stadler Kevin;*;;;;;;;;;34.5
o;;;Hugelshofer Lars;*;;;;;;;8.5
o;5;8.5;Vollenweider Jeremy;**;14;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Grieder Nonda;;14;54.5;10;17.25;-1;0.25;8.75
-;15;25.75;Scherrer Johann;**;27;34.5;15;25.75;0;0.0;8.75

27c;Bruder Adrian;*;;;;;;;;;34.5
-;;;Suter Pirmin;**;;;;;;;8.75
o;4;8.75;Schlegel Sandro;**;10;55.5;4;8.75;0;0.0;8.5
o;10;17.25;Kenel Franz-Toni;*;11;55.25;6;18.5;-4;1.25;8.5
-;15;25.75;Probst Gabriel;**;28;34.25;16;25.5;1;-0.25;8.75

27d;Moser Matthias;*;;;;;;;;;34.5
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
o;4;8.75;Gmür Pirmin;**;15;54.25;3;9.0;-1;0.25;8.5
o;10;17.25;Fellmann Roman;**;18;53.25;9;17.5;-1;0.25;8.5
-;15;25.75;Schmid Patrick;*;26;34.75;14;26.0;-1;0.25;8.75

28a;Probst Gabriel;**;;;;;;;;;34.25
o;;;Dumelin David;**;;;;;;;8.5
o;5;8.5;Kolb Pirmin;*;19;53.0;4;8.75;-1;0.25;8.5
o;11;17.0;Giger Urs;*;14;54.5;8;17.75;-3;0.75;8.5
-;16;25.5;Bruder Adrian;*;27;34.5;15;25.75;-1;0.25;8.75

28b;Widmer David;**;;;;;;;;;34.25
o;;;Arztmann Beda;**;;;;;;;8.5
-;5;8.5;Suter Pirmin;**;30;27.25;4;8.75;-1;0.25;8.75
o;10;17.25;Arnold Fabian;*;19;53.0;9;17.5;-1;0.25;8.5
o;15;25.75;Ris Jörn;*;21;52.5;16;25.5;1;-0.25;8.5

29a;Mangold Martin;*;;;;;;;;;34.0
o;;;Räbsamen Marcel;*;;;;;;;8.5
o;5;8.5;Odermatt Christian;**;12;55.0;4;8.75;-1;0.25;8.5
o;11;17.0;Nägeli Marco;**;19;53.0;10;17.25;-1;0.25;8.5
o;16;25.5;Büttler Gian;;20;52.75;15;25.75;-1;0.25;8.5

30a;Suter Pirmin;**;;;;;;;;;27.25
-;;;Bruder Adrian;*;;;;;;;8.75
-;4;8.75;Widmer David;**;28;34.25;5;8.5;1;-0.25;8.75
+;9;17.5;Büttler Gian;;20;52.75;10;17.25;1;-0.25;9.75

31a;Imobersteg Matthias;**;;;;;;;;;25.5
o;;;Ott Damian;**;;;;;;;8.5
o;5;8.5;Egli Damian;**;17;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Waser Dominik;**;25;35.75;6;18.5;-5;1.5;8.5

32a;Gerber Andrj;*;;;;;;;;;8.75
o;;;Poltera Andrin;*;;;;;;;8.75

