3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
20e;Meier Urs;;;;;;;;;;53.0
-;;;Oberli Pascal;;;;;;;;8.75
-;4;8.75;Niederhäuser Martin;;27;34.5;5;8.5;1;-0.25;8.75
o;9;17.5;Schüpbach Janick;*;21;52.75;10;17.25;1;-0.25;8.5
+;14;26.0;Gasser Fabian;;26;34.75;14;26.0;0;0.0;9.75
-;14;35.75;Jäggi Lukas;*;19;53.25;14;35.75;0;0.0;8.75
o;16;44.5;Galli Sandro;*;13;54.75;15;44.75;-1;0.25;8.5

20f;Sommer Martin;*;;;;;;;;;53.0
+;;;Waber Lorenz;*;;;;;;;9.75
o;2;9.75;Roth Philipp;***;9;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Klopfenstein Jan;;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Luginbühl Hanspeter;**;26;34.75;14;26.0;3;-0.75;8.75
o;15;35.5;Wiedmer Marco;;12;55.0;11;36.5;-4;1.0;8.5
-;18;44.0;Schafroth Dario (2004);*;17;53.75;15;44.75;-3;0.75;9.0

21a;Berger Jan (2004);;;;;;;;;;52.75
+;;;Siegrist Lukas;;;;;;;;9.75
-;2;9.75;Blaser Jan;*;26;34.75;4;8.75;2;-1.0;8.75
o;6;18.5;Tschumi Lukas;*;17;53.75;9;17.5;3;-1.0;8.5
-;10;27.0;Galli Sandro;*;13;54.75;9;27.25;-1;0.25;8.75
o;14;35.75;Keusen Reto;;16;54.0;15;35.5;1;-0.25;8.5
o;17;44.25;Hadorn Marco;*;16;54.0;18;44.0;1;-0.25;8.5

21b;Wicki Cédric;;;;;;;;;;52.75
-;;;Neukomm Thierry;;;;;;;;8.75
o;4;8.75;Tschan Matthias;*;19;53.25;5;8.5;1;-0.25;8.5
o;10;17.25;Grossen John;*;17;53.75;11;17.0;1;-0.25;8.5
+;15;25.75;Engel Manfred;;27;34.5;14;26.0;-1;0.25;9.75
o;15;35.5;Blaser Roman;*;12;55.0;15;35.5;0;0.0;8.5
-;18;44.0;Kämpf Nicolas;;19;53.25;16;44.5;-2;0.5;8.75

21c;Schüpbach Janick;*;;;;;;;;;52.75
-;;;Gnägi Damian;*;;;;;;;8.75
o;4;8.75;Staub Severin;*;11;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Meier Urs;;20;53.0;9;17.5;-1;0.25;10.0
o;9;27.25;Schwander Severin;**;9;55.75;9;27.25;0;0.0;8.5
o;14;35.75;Rutsch Remo (2004);*;15;54.25;15;35.5;1;-0.25;8.5
o;17;44.25;Trittibach Silvan (2004);;13;54.75;15;44.75;-2;0.5;8.5

22a;Danz Benoit;;;;;;;;;;52.5
+;;;Wälti Lars (2005);;;;;;;;9.75
-;2;9.75;Klossner Sven;*;27;34.5;5;8.5;3;-1.25;8.75
o;6;18.5;Kämpf Alexander;**;13;54.75;5;18.75;-1;0.25;8.5
o;10;27.0;Huber Melchior;*;16;54.0;10;27.0;0;0.0;8.5
o;15;35.5;Zingg Marc;;17;53.75;15;35.5;0;0.0;8.5
o;18;44.0;Röthlisberger Florian;;16;54.0;18;44.0;0;0.0;8.5

22b;Zbinden Adrian;*;;;;;;;;;52.5
o;;;Hadorn Christian;*;;;;;;;8.5
o;5;8.5;Thöni Ivan;*;9;55.75;4;8.75;-1;0.25;8.5
-;11;17.0;Mettler Fabio;;26;34.75;9;17.5;-2;0.5;8.75
+;15;25.75;Ledermann Patrik;;27;34.5;14;26.0;-1;0.25;9.75
o;15;35.5;Thöni Reto;*;7;56.5;11;36.5;-4;1.0;8.5
o;18;44.0;Wyss Kaspar;*;16;54.0;17;44.25;-1;0.25;8.5

22c;Matter Florian (2005);;;;;;;;;;52.5
o;;;Gerber Sämi;;;;;;;;8.5
+;5;8.5;Wälti Lars (2005);;28;34.0;5;8.5;0;0.0;9.75
-;7;18.25;Kämpf Lorenz;*;26;34.75;10;17.25;3;-1.0;8.75
o;10;27.0;Röthlisberger Simon;*;16;54.0;10;27.0;0;0.0;8.5
o;15;35.5;Camenzind Ivan;*;15;54.25;13;36.0;-2;0.5;8.5
o;18;44.0;Scheuner David (2005);*;16;54.0;17;44.25;-1;0.25;8.5

22d;Boss Andreas;*;;;;;;;;;52.5
o;;;Röthlisberger Simon;*;;;;;;;8.5
o;5;8.5;Ruch Dominik;;11;55.25;4;8.75;-1;0.25;8.5
o;11;17.0;Walther Nicolas;;20;53.0;10;17.25;-1;0.25;8.5
+;16;25.5;Wälti Lars (2005);;28;34.0;16;25.5;0;0.0;10.0
o;15;35.5;Collaud Romain;**;9;55.75;10;36.75;-5;1.25;8.5
o;18;44.0;Mosimann Fabian;;14;54.5;15;44.75;-3;0.75;8.5

23a;Schenkel Remo;*;;;;;;;;;35.5
o;;;Schenk Thomas;*;;;;;;;8.5
-;5;8.5;Wüthrich Pascal (2004);;25;35.0;4;8.75;-1;0.25;8.75
o;10;17.25;Hehlen Nico;*;16;54.0;6;18.5;-4;1.25;8.5
+;15;25.75;Siegrist Lukas;;26;34.75;14;26.0;-1;0.25;9.75

24a;Nyffeler Michael;;;;;;;;;;35.25
+;;;Kehrli Bruno;;;;;;;;9.75
o;2;9.75;Moser Michael (2005);*;6;56.75;1;10.0;-1;0.25;8.5
o;7;18.25;Mosimann Fabian;;14;54.5;9;17.5;2;-0.75;8.5
o;11;26.75;Ruch Dominik;;11;55.25;10;27.0;-1;0.25;8.5

24b;Wüthrich Bruno;;;;;;;;;;35.25
o;;;Zingg Marc;;;;;;;;8.5
o;5;8.5;Röthlisberger Florian;;16;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Wälti Lars (2005);;28;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Beer Peter;*;10;55.5;9;27.25;-2;0.5;8.5

24c;Zingrich Jan;*;;;;;;;;;35.25
+;;;Salzmann Simon;*;;;;;;;9.75
o;2;9.75;Ledermann Michael;**;31;20.0;1;10.0;-1;0.25;8.5
o;7;18.25;Stucki Fabian (2005);;12;55.0;8;17.75;1;-0.5;8.5
o;11;26.75;Burger Etienne (2004);*;14;54.5;12;26.5;1;-0.25;8.5

24d;Weyermann Michael;**;;;;;;;;;35.25
+;;;Hadorn Marco;*;;;;;;;9.75
o;2;9.75;Wittwer Josias;**;14;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Aeschbacher Matthias;***;6;56.75;5;18.75;-2;0.5;8.5
o;11;26.75;Graf Simon;;10;55.5;10;27.0;-1;0.25;8.5

24e;Waber Lorenz;*;;;;;;;;;35.25
o;;;Sommer Martin;*;;;;;;;8.5
o;5;8.5;Lüthi David;*;14;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Neukomm Thierry;;30;25.75;10;17.25;-1;0.25;9.75
o;11;26.75;Gehrig Philipp;**;12;55.0;10;27.0;-1;0.25;8.5

25a;Tschanz Richard;*;;;;;;;;;35.0
-;;;Ruch Dominik;;;;;;;;8.75
-;4;8.75;Keusen Reto;;16;54.0;2;9.75;-2;1.0;8.75
-;9;17.5;Staub Severin;*;11;55.25;6;18.5;-3;1.0;9.0
o;12;26.5;Tschumi Daniel (2005);;16;54.0;10;27.0;-2;0.5;8.5

25b;Wittwer Mathias;;;;;;;;;;35.0
-;;;Stucki Fabian (2005);;;;;;;;8.75
-;4;8.75;Walther Nicolas;;20;53.0;5;8.5;1;-0.25;8.75
-;9;17.5;Wüthrich Tim;;26;34.75;10;17.25;1;-0.25;8.75
-;13;26.25;Salzmann Simon;*;27;34.5;15;25.75;2;-0.5;8.75

25c;Wüthrich Pascal (2004);;;;;;;;;;35.0
-;;;Ledermann Patrik;;;;;;;;8.75
-;4;8.75;Schenkel Remo;*;23;35.5;5;8.5;1;-0.25;8.75
-;9;17.5;Wenger Marcel;*;26;34.75;9;17.5;0;0.0;8.75
-;13;26.25;Kämpf Lorenz;*;26;34.75;14;26.0;1;-0.25;8.75

26a;Mettler Fabio;;;;;;;;;;34.75
-;;;Mosimann Fabian;;;;;;;;8.75
-;4;8.75;Berger Christian;;27;34.5;4;8.75;0;0.0;8.75
-;9;17.5;Zbinden Adrian;*;22;52.5;11;17.0;2;-0.5;8.75
o;13;26.25;Nägeli Daniel;*;13;54.75;13;26.25;0;0.0;8.5

26b;Blaser Jan;*;;;;;;;;;34.75
-;;;Camenzind Ivan;*;;;;;;;8.75
-;4;8.75;Berger Jan (2004);;21;52.75;2;9.75;-2;1.0;8.75
-;9;17.5;Wüthrich Philip;*;17;53.75;9;17.5;0;0.0;8.75
o;13;26.25;Gerber Sämi;;17;53.75;11;26.75;-2;0.5;8.5

26c;Gasser Fabian;;;;;;;;;;34.75
-;;;Burger Etienne (2004);*;;;;;;;8.75
o;4;8.75;Nufer Sämi;*;19;53.25;4;8.75;0;0.0;8.5
o;10;17.25;De Fusco Dario;*;19;53.25;8;17.75;-2;0.5;8.75
o;14;26.0;Meier Urs;;20;53.0;14;26.0;0;0.0;8.75

26d;Luginbühl Hanspeter;**;;;;;;;;;34.75
o;;;Fankhauser Erich;***;;;;;;;8.5
-;5;8.5;Aebersold Adrian;*;10;55.5;2;9.75;-3;1.25;8.75
-;10;17.25;Galli Sandro;*;13;54.75;6;18.5;-4;1.25;8.75
-;14;26.0;Sommer Martin;*;20;53.0;11;26.75;-3;0.75;8.75

26e;Wenger Marcel;*;;;;;;;;;34.75
-;;;Berger René;**;;;;;;;8.75
-;4;8.75;Mosimann Fabian;;14;54.5;4;8.75;0;0.0;8.75
-;9;17.5;Wüthrich Pascal (2004);;25;35.0;9;17.5;0;0.0;8.75
o;13;26.25;Gäumann Stefan;**;11;55.25;10;27.0;-3;0.75;8.5

26f;Kämpf Marcel;*;;;;;;;;;34.75
o;;;Blaser Roman;*;;;;;;;8.5
-;5;8.5;Schafroth Dario (2004);*;17;53.75;4;8.75;-1;0.25;8.75
-;10;17.25;Zingg Marc;;17;53.75;7;18.25;-3;1.0;8.75
-;14;26.0;Scheidegger Marc;;12;55.0;11;26.75;-3;0.75;8.75

26g;Kämpf Lorenz;*;;;;;;;;;34.75
o;;;Zürcher Remo;*;;;;;;;8.5
-;5;8.5;Wüthrich Philip;*;17;53.75;4;8.75;-1;0.25;8.75
-;10;17.25;Matter Florian (2005);;22;52.5;7;18.25;-3;1.0;8.75
-;14;26.0;Wüthrich Pascal (2004);;25;35.0;13;26.25;-1;0.25;8.75

26h;Siegrist Lukas;;;;;;;;;;34.75
o;;;Berger Jan (2004);;;;;;;;8.5
-;5;8.5;Matter Max (2005);;27;34.5;5;8.5;0;0.0;8.75
-;10;17.25;Klossner Sven;*;27;34.5;10;17.25;0;0.0;8.75
o;14;26.0;Schenkel Remo;*;23;35.5;15;25.75;1;-0.25;8.75

26i;Wüthrich Tim;;;;;;;;;;34.75
-;;;Berger Christian;;;;;;;;8.75
o;4;8.75;Oberli Pascal;;16;54.0;4;8.75;0;0.0;8.5
-;10;17.25;Wittwer Mathias;;25;35.0;9;17.5;-1;0.25;8.75
-;14;26.0;Kestenholz Christian;;27;34.5;15;25.75;1;-0.25;8.75

27a;Niederhäuser Martin;;;;;;;;;;34.5
o;;;Steffen Patrick;;;;;;;;8.5
-;5;8.5;Meier Urs;;20;53.0;4;8.75;-1;0.25;8.75
-;10;17.25;Tschan Matthias;*;19;53.25;7;18.25;-3;1.0;8.75
o;14;26.0;Scheidegger Marc;;12;55.0;11;26.75;-3;0.75;8.5

27b;Berger Christian;;;;;;;;;;34.5
-;;;Wüthrich Tim;;;;;;;;8.75
-;4;8.75;Mettler Fabio;;26;34.75;4;8.75;0;0.0;8.75
o;9;17.5;Beer Peter;*;10;55.5;10;17.25;1;-0.25;8.5
o;14;26.0;Klossner Adrian;**;14;54.5;14;26.0;0;0.0;8.5

27c;Salzmann Simon;*;;;;;;;;;34.5
o;;;Zingrich Jan;*;;;;;;;8.5
o;5;8.5;Galli Sandro;*;13;54.75;4;8.75;-1;0.25;8.5
-;11;17.0;Engel Manfred;;27;34.5;10;17.25;-1;0.25;8.75
-;15;25.75;Wittwer Mathias;;25;35.0;13;26.25;-2;0.5;8.75

27d;Kehrli Bruno;;;;;;;;;;34.5
o;;;Nyffeler Michael;;;;;;;;8.5
-;5;8.5;De Fusco Dario;*;19;53.25;4;8.75;-1;0.25;8.75
o;10;17.25;Dummermuth Ueli;;15;54.25;6;18.5;-4;1.25;8.5
-;15;25.75;Matter Max (2005);;27;34.5;15;25.75;0;0.0;8.75

27e;Nager Yannick;;;;;;;;;;34.5
o;;;Stucki Jürg;;;;;;;;8.5
-;5;8.5;Trittibach Silvan (2004);;13;54.75;4;8.75;-1;0.25;8.75
o;10;17.25;Schafroth Dario (2004);*;17;53.75;9;17.5;-1;0.25;8.5
-;15;25.75;Rüegsegger Ueli;*;27;34.5;15;25.75;0;0.0;8.75

27f;Matter Max (2005);;;;;;;;;;34.5
o;;;Keusen Reto;;;;;;;;8.5
-;5;8.5;Siegrist Lukas;;26;34.75;5;8.5;0;0.0;8.75
o;10;17.25;Joss David;*;16;54.0;10;17.25;0;0.0;8.5
-;15;25.75;Kehrli Bruno;;27;34.5;15;25.75;0;0.0;8.75

27g;Kestenholz Christian;;;;;;;;;;34.5
-;;;Trittibach Silvan (2004);;;;;;;;8.75
o;4;8.75;Jäggi Lukas;*;19;53.25;5;8.5;1;-0.25;8.5
o;10;17.25;Graf Simon;;10;55.5;11;17.0;1;-0.25;8.5
-;15;25.75;Wüthrich Tim;;26;34.75;14;26.0;-1;0.25;8.75

27h;Zosso Remo;**;;;;;;;;;34.5
o;;;Schlüchter Colin;*;;;;;;;8.5
-;5;8.5;Stucki Fabian (2005);;12;55.0;3;9.0;-2;0.5;8.75
-;10;17.25;Zangger Dominik;*;20;53.0;7;18.25;-3;1.0;8.75
o;14;26.0;Aebersold Fabian;*;18;53.5;13;26.25;-1;0.25;8.5

27i;Ledermann Patrik;;;;;;;;;;34.5
-;;;Wüthrich Pascal (2004);;;;;;;;8.75
-;4;8.75;Engel Manfred;;27;34.5;5;8.5;1;-0.25;8.75
o;9;17.5;Hadorn Marco;*;16;54.0;11;17.0;2;-0.5;8.5
o;14;26.0;Zbinden Adrian;*;22;52.5;15;25.75;1;-0.25;8.5

27j;Rüegsegger Ueli;*;;;;;;;;;34.5
-;;;Nägeli Daniel;*;;;;;;;8.75
o;4;8.75;Steudler Kevin;*;20;53.0;5;8.5;1;-0.25;8.5
o;10;17.25;Camenzind Ivan;*;15;54.25;9;17.5;-1;0.25;8.5
-;15;25.75;Nager Yannick;;27;34.5;15;25.75;0;0.0;8.75

27k;Engel Manfred;;;;;;;;;;34.5
o;;;Klopfenstein Jan;;;;;;;;8.5
-;5;8.5;Ledermann Patrik;;27;34.5;4;8.75;-1;0.25;8.75
-;10;17.25;Salzmann Simon;*;27;34.5;11;17.0;1;-0.25;8.75
o;14;26.0;Wicki Cédric;;21;52.75;15;25.75;1;-0.25;8.5

27l;Klossner Sven;*;;;;;;;;;34.5
o;;;Gehrig Philipp;**;;;;;;;8.5
-;5;8.5;Danz Benoit;;22;52.5;2;9.75;-3;1.25;8.75
-;10;17.25;Siegrist Lukas;;26;34.75;10;17.25;0;0.0;8.75
o;14;26.0;Zürcher Remo;*;16;54.0;10;27.0;-4;1.0;8.5

28a;Wälti Lars (2005);;;;;;;;;;34.0
o;;;Danz Benoit;;;;;;;;8.5
o;5;8.5;Matter Florian (2005);;22;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Wüthrich Bruno;;24;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Boss Andreas;*;22;52.5;16;25.5;0;0.0;8.5

29a;Gasser Dominik;**;;;;;;;;;27.0
+;;;Scheuner David (2005);*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;5;57.0;1;10.0;0;0.0;8.5
o;6;18.5;Collaud Romain;**;9;55.75;7;18.25;1;-0.25;8.5

30a;Neukomm Thierry;;;;;;;;;;25.75
-;;;Wicki Cédric;;;;;;;;8.75
o;4;8.75;Dummermuth Ueli;;15;54.25;5;8.5;1;-0.25;8.5
o;10;17.25;Waber Lorenz;*;24;35.25;11;17.0;1;-0.25;8.5

31a;Ledermann Michael;**;;;;;;;;;20.0
+;;;Roth Philipp;***;;;;;;;10.0
+;1;10.0;Zingrich Jan;*;24;35.25;2;9.75;1;-0.25;10.0

32a;Fankhauser Thomas;*;;;;;;;;;17.25
-;;;Galli Sandro;*;;;;;;;8.75
o;4;8.75;Wiedmer Marco;;12;55.0;3;9.0;-1;0.25;8.5

33a;Steffen Patrick;;;;;;;;;;9.75
+;;;Niederhäuser Martin;;;;;;;;9.75

