3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
+;6;47.0;Wiedmer Marco;;12;55.0;8;46.5;2;-0.5;10.0

5f;Burger Matthieu;**;;;;;;;;;57.0
+;;;Inniger Thomas;***;;;;;;;9.75
+;2;9.75;Tschumi Daniel (2005);;16;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Wenger Kilian;***;5;57.0;2;19.75;0;0.0;8.5
+;6;28.25;Thöni Reto;*;7;56.5;7;28.0;1;-0.25;10.0
o;4;38.25;Leuppi Samir;***;5;57.0;8;37.25;4;-1.0;8.75
+;6;47.0;Steffen Valentin;*;11;55.25;7;46.75;1;-0.25;10.0

5g;Schlüchter Colin;*;;;;;;;;;57.0
+;;;Zosso Remo;**;;;;;;;10.0
+;1;10.0;Wittwer Jan;**;11;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Gnägi Florian;***;5;57.0;3;19.5;2;-0.5;8.5
+;5;28.5;Kappeler Niklaus;*;17;53.75;6;28.25;1;-0.25;10.0
o;3;38.5;von Weissenfluh Kilian;***;4;57.25;7;37.5;4;-1.0;8.5
+;6;47.0;Lüthi David;*;14;54.5;10;46.0;4;-1.0;10.0

5h;Rohrer Ueli;**;;;;;;;;;57.0
o;;;Orlik Curdin;***;;;;;;;8.5
+;5;8.5;Ramseier Thomas;*;16;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Steffen Valentin;*;11;55.25;5;18.75;-1;0.25;10.0
+;5;28.5;Aeschbacher Matthias;***;6;56.75;4;28.75;-1;0.25;9.75
-;4;38.25;Staudenmann Fabian;***;2;57.75;2;38.75;-2;0.5;9.0
+;5;47.25;Iseli Marco;**;6;56.75;2;48.25;-3;1.0;9.75

5i;Orlik Curdin;***;;;;;;;;;57.0
+;;;Rohrer Ueli;**;;;;;;;10.0
-;1;10.0;Fankhauser Erich;***;7;56.5;2;9.75;1;-0.25;8.75
