5509-2022-05-01_Zuger_Kantonal_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;58.5
o;1;48.5;Wicki Joel;***;1;58.5;1;48.5;0;0.0;8.75

4b;Marti Simon;;;;;;;;;;57.25
-;;;Züger Benjamin (2004);;;;;;;;9.0
+;3;9.0;Epp Elias;;18;53.75;1;10.0;-2;1.0;10.0
+;4;19.0;Elmer Daniel;*;18;53.75;7;18.25;3;-0.75;10.0
o;3;29.0;Riget Florian;**;6;56.75;6;28.25;3;-0.75;8.5
+;7;37.5;Schnellmann Adrian (2004);;12;55.25;9;37.0;2;-0.5;9.75
+;6;47.25;Hürlimann Ueli;;12;55.25;8;46.75;2;-0.5;10.0

4c;Suter Samuel;;;;;;;;;;57.25
-;;;Wüest David;;;;;;;;8.75
+;4;8.75;Meier Andreas;;17;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Binggeli Stefan;**;17;54.0;10;17.5;5;-1.25;8.75
+;9;27.5;Moos Christoph;*;16;54.25;9;27.5;0;0.0;10.0
+;7;37.5;Bühlmann Daniel;;16;54.25;8;37.25;1;-0.25;9.75
+;6;47.25;Hurschler Tobias;;10;55.75;7;47.0;1;-0.25;10.0

4d;Waser Dominik;**;;;;;;;;;57.25
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Niederberger Markus;*;14;54.75;4;8.75;0;0.0;10.0
+;5;18.75;Lüthy Ralph;;11;55.5;1;20.0;-4;1.25;9.75
o;5;28.5;Bürgi Reto;*;5;57.0;5;28.5;0;0.0;8.75
+;8;37.25;Durrer Ueli;;16;54.25;8;37.25;0;0.0;10.0
+;6;47.25;Durrer Jonas;*;11;55.5;7;47.0;1;-0.25;10.0

4e;Riebli Urs;*;;;;;;;;;57.25
+;;;Arnold Severin;*;;;;;;;10.0
+;1;10.0;von Ah Benji;***;11;55.5;4;8.75;3;-1.25;10.0
o;1;20.0;Ulrich Marco;**;4;57.25;5;18.75;4;-1.25;8.5
+;5;28.5;Schnellmann Adrian (2004);;12;55.25;5;28.5;0;0.0;10.0
-;3;38.5;Durrer Fabian;*;11;55.5;4;38.25;1;-0.25;8.75
+;6;47.25;Birchler Fabian;;12;55.25;8;46.75;2;-0.5;10.0

5a;Bürgi Reto;*;;;;;;;;;57.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Lüthi Manuel;*;17;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Gisler Noah;;15;54.5;5;18.75;-1;0.25;10.0
+;5;28.5;Waser Dominik;**;4;57.25;5;28.5;0;0.0;10.0
+;3;38.5;Suppiger Werner;**;6;56.75;4;38.25;1;-0.25;9.75
o;2;48.25;Herger Matthias;**;1;58.5;1;48.5;-1;0.25;8.75

5b;Kenel Franz-Toni;*;;;;;;;;;57.0
-;;;Bürgi Reto;*;;;;;;;8.75
+;4;8.75;Gander Adrian;*;33;34.25;5;8.5;1;-0.25;9.75
+;6;18.5;Suter Lukas;;19;53.5;6;18.5;0;0.0;10.0
+;5;28.5;Hurschler Tobias;;10;55.75;4;28.75;-1;0.25;9.75
+;4;38.25;Nietlispach Pascal;**;7;56.5;4;38.25;0;0.0;9.75
-;3;48.0;Zurfluh Roman;**;6;56.75;4;47.75;1;-0.25;9.0

5c;Fankhauser Marco;**;;;;;;;;;57.0
-;;;Ettlin Stefan;**;;;;;;;8.75
+;4;8.75;Bucher Roland;*;6;56.75;1;10.0;-3;1.25;10.0
+;5;18.75;Beffa Mario;;16;54.25;2;19.75;-3;1.0;10.0
o;4;28.75;Schuler Christian;***;6;56.75;6;28.25;2;-0.5;8.5
+;8;37.25;Röthlin Pascal;;8;56.25;5;38.0;-3;0.75;9.75
+;7;47.0;Bucher André;;11;55.5;7;47.0;0;0.0;10.0

6a;Bucher Christian;**;;;;;;;;;56.75
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Schilter Daniel;*;14;54.75;2;9.75;-2;1.0;9.75
-;6;18.5;Schuler Alex;;8;56.25;5;18.75;-1;0.25;9.0
+;9;27.5;von Ah Markus;;17;54.0;5;28.5;-4;1.0;9.75
+;8;37.25;Hegner Ueli;*;16;54.25;9;37.0;1;-0.25;9.75
+;7;47.0;Wittwer Roy;;13;55.0;9;46.5;2;-0.5;9.75

6b;Zurfluh Roman;**;;;;;;;;;56.75
-;;;Odermatt Andreas;**;;;;;;;8.75
+;4;8.75;Barmettler Renato;*;10;55.75;5;8.5;1;-0.25;10.0
-;5;18.75;Wiget Ueli;;12;55.25;1;20.0;-4;1.25;9.0
+;8;27.75;Von Euw Adi;;16;54.25;10;27.25;2;-0.5;10.0
+;6;37.75;Schuler Philipp;**;9;56.0;7;37.5;1;-0.25;10.0
-;4;47.75;Kenel Franz-Toni;*;5;57.0;3;48.0;-1;0.25;9.0

6c;Bucher Roland;*;;;;;;;;;56.75
+;;;Elmer Daniel;*;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;5;57.0;4;8.75;3;-1.25;8.5
-;6;18.5;Wüest David;;10;55.75;5;18.75;-1;0.25;9.0
+;9;27.5;Gasser Dominik 1;;19;53.5;9;27.5;0;0.0;9.75
+;8;37.25;Wicki David;*;11;55.5;9;37.0;1;-0.25;9.75
+;7;47.0;Amrhyn Jonas;;12;55.25;8;46.75;1;-0.25;9.75

6d;Suppiger Werner;**;;;;;;;;;56.75
+;;;Herger Matthias;**;;;;;;;9.75
+;2;9.75;Elsener Marcel;*;14;54.75;2;9.75;0;0.0;9.75
+;3;19.5;Gander Martin;;9;56.0;1;20.0;-2;0.5;10.0
-;2;29.5;Imhof Andi;***;6;56.75;5;28.5;3;-1.0;8.75
o;4;38.25;Bürgi Reto;*;5;57.0;3;38.5;-1;0.25;8.75
+;7;47.0;Odermatt Andreas;**;12;55.25;8;46.75;1;-0.25;9.75

6e;Imhof Andi;***;;;;;;;;;56.75
-;;;Waser Dominik;**;;;;;;;8.75
+;4;8.75;Reichmuth Roland;*;2;58.0;1;10.0;-3;1.25;10.0
+;5;18.75;Durrer Nando;*;8;56.25;2;19.75;-3;1.0;9.75
-;5;28.5;Suppiger Werner;**;6;56.75;2;29.5;-3;1.0;8.75
+;8;37.25;Lustenberger Josef;*;7;56.5;4;38.25;-4;1.0;9.75
+;7;47.0;Hürlimann Mathias;*;9;56.0;5;47.5;-2;0.5;9.75

6f;Riget Florian;**;;;;;;;;;56.75
-;;;Ulrich Marco;**;;;;;;;8.75
+;4;8.75;Wyss Christian;*;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Felder Ivan (2004);;14;54.75;5;18.75;-1;0.25;9.75
+;6;28.25;Marti Simon;;4;57.25;3;29.0;-3;0.75;9.75
-;5;38.0;von Ah Benji;***;11;55.5;9;37.0;4;-1.0;8.75
+;8;46.75;Riebli Leon;;10;55.75;6;47.25;-2;0.5;10.0

6g;Schuler Christian;***;;;;;;;;;56.75
o;;;Wicki Joel;***;;;;;;;8.5
+;5;8.5;Durrer Fabian;*;11;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Kurmann Toni;*;8;56.25;3;19.5;-3;1.0;9.75
+;6;28.25;Fankhauser Marco;**;5;57.0;4;28.75;-2;0.5;10.0
o;4;38.25;Herger Matthias;**;1;58.5;3;38.5;-1;0.25;8.5
+;8;46.75;Schärli Reto;*;9;56.0;5;47.5;-3;0.75;10.0

6h;Scherrer Fabian;*;;;;;;;;;56.75
o;;;Bissig Lukas;*;;;;;;;8.5
+;5;8.5;Keller Janik;*;14;54.75;4;8.75;-1;0.25;10.0
+;6;18.5;Forster Christian;;21;53.0;5;18.75;-1;0.25;10.0
-;5;28.5;Müllestein Mike;***;7;56.5;9;27.5;4;-1.0;8.75
+;8;37.25;Klauser Nico;;17;54.0;9;37.0;1;-0.25;9.75
+;7;47.0;Barmettler Renato;*;10;55.75;7;47.0;0;0.0;9.75

6i;Lustenberger Marc;*;;;;;;;;;56.75
+;;;Bienz Romeo;*;;;;;;;9.75
-;2;9.75;Kennel Beat;**;10;55.75;4;8.75;2;-1.0;9.0
+;5;18.75;Röthlin Pascal;;8;56.25;2;19.75;-3;1.0;9.75
-;5;28.5;Durrer Lukas;;13;55.0;4;28.75;-1;0.25;8.75
+;8;37.25;Elmer Daniel;*;18;53.75;10;36.75;2;-0.5;9.75
+;7;47.0;Durrer Fabian;*;11;55.5;7;47.0;0;0.0;9.75

7a;Bissig Lukas;*;;;;;;;;;56.5
+;;;Scherrer Fabian;*;;;;;;;10.0
+;1;10.0;Troxler Jonas;*;16;54.25;2;9.75;1;-0.25;9.75
o;2;19.75;Wicki Joel;***;1;58.5;1;20.0;-1;0.25;8.5
o;6;28.25;Röthlin Pascal;;8;56.25;6;28.25;0;0.0;8.75
+;9;37.0;Bühler Patrice;;11;55.5;9;37.0;0;0.0;9.75
+;8;46.75;Bühler Ramon;;12;55.25;8;46.75;0;0.0;9.75

7b;Arnold Stefan;**;;;;;;;;;56.5
o;;;Lang Sven;**;;;;;;;8.5
+;5;8.5;Zimmermann Daniel;*;12;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Hurschler Adrian;;16;54.25;5;18.75;-1;0.25;9.75
+;6;28.25;Vogel Laurin;;11;55.5;5;28.5;-1;0.25;9.75
o;5;38.0;Reichmuth Roland;*;2;58.0;5;38.0;0;0.0;8.5
+;9;46.5;Rogenmoser Ryan;;13;55.0;9;46.5;0;0.0;10.0

7c;Nietlispach Pascal;**;;;;;;;;;56.5
+;;;Odermatt Christian;**;;;;;;;10.0
o;1;10.0;Wicki Joel;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Bucher Sandro;;18;53.75;6;18.5;0;0.0;9.75
+;6;28.25;Achermann Christoph;*;12;55.25;5;28.5;-1;0.25;10.0
o;4;38.25;Kenel Franz-Toni;*;5;57.0;4;38.25;0;0.0;8.5
+;8;46.75;Wiget Ueli;;12;55.25;9;46.5;1;-0.25;9.75

7d;Lustenberger Josef;*;;;;;;;;;56.5
o;;;Langensand Stefan;*;;;;;;;8.5
+;5;8.5;Arnold Marcel;*;16;54.25;4;8.75;-1;0.25;10.0
+;6;18.5;Hürlimann Marco;;13;55.0;3;19.5;-3;1.0;9.75
+;6;28.25;Bucher André;;11;55.5;5;28.5;-1;0.25;10.0
o;4;38.25;Imhof Andi;***;6;56.75;8;37.25;4;-1.0;8.5
+;8;46.75;Lüthy Ralph;;11;55.5;7;47.0;-1;0.25;9.75

7e;Müllestein Mike;***;;;;;;;;;56.5
-;;;von Ah Benji;***;;;;;;;8.75
-;4;8.75;Schwyzer Samuel;*;8;56.25;1;10.0;-3;1.25;8.75
+;10;17.5;Wyrsch Gabriel;;14;54.75;4;19.0;-6;1.5;10.0
-;9;27.5;Scherrer Fabian;*;6;56.75;5;28.5;-4;1.0;9.0
+;11;36.5;Bucher Thomas;*;9;56.0;7;37.5;-4;1.0;10.0
+;9;46.5;Baumann Roger;*;10;55.75;6;47.25;-3;0.75;10.0

8a;Schuler Alex;;;;;;;;;;56.25
+;;;Rogenmoser Linus;;;;;;;;10.0
-;1;10.0;Ettlin Michael;;16;54.25;1;10.0;0;0.0;8.75
-;5;18.75;Bucher Christian;**;6;56.75;6;18.5;1;-0.25;9.0
+;8;27.75;Rogenmoser Franco (2004);;23;52.5;11;27.0;3;-0.75;10.0
+;6;37.75;Kurmann Toni;*;8;56.25;6;37.75;0;0.0;10.0
o;4;47.75;Reichmuth Roland;*;2;58.0;3;48.0;-1;0.25;8.5

8b;Kurmann Toni;*;;;;;;;;;56.25
+;;;Schürpf Bruno;*;;;;;;;9.75
+;2;9.75;Kälin Roland;**;10;55.75;4;8.75;2;-1.0;9.75
o;3;19.5;Schuler Christian;***;6;56.75;6;18.5;3;-1.0;8.5
+;7;28.0;Birchler Fabian;;12;55.25;5;28.5;-2;0.5;9.75
o;6;37.75;Schuler Alex;;8;56.25;6;37.75;0;0.0;8.5
+;10;46.25;Briker Raphael (2006);;14;54.75;10;46.25;0;0.0;10.0

8c;Durrer Nando;*;;;;;;;;;56.25
+;;;Lüthi Manuel;*;;;;;;;9.75
+;2;9.75;Hess Michael;*;26;36.0;4;8.75;2;-1.0;10.0
o;2;19.75;Imhof Andi;***;6;56.75;5;18.75;3;-1.0;8.5
+;6;28.25;Rogenmoser Ryan;;13;55.0;7;28.0;1;-0.25;10.0
-;4;38.25;Baumann Roger;*;10;55.75;4;38.25;0;0.0;9.0
-;6;47.25;Wüest David;;10;55.75;8;46.75;2;-0.5;9.0

8d;Müller Luca (2004);*;;;;;;;;;56.25
-;;;Lagler Christian;*;;;;;;;8.75
+;4;8.75;Würsch Lars;*;17;54.0;5;8.5;1;-0.25;10.0
-;5;18.75;Birchler Fabian;;12;55.25;3;19.5;-2;0.75;9.0
+;8;27.75;Ettlin Michael;;16;54.25;9;27.5;1;-0.25;10.0
o;6;37.75;Schärli Reto;*;9;56.0;7;37.5;1;-0.25;8.5
+;10;46.25;Ulrich Michael;;14;54.75;10;46.25;0;0.0;10.0

8e;Schwyzer Samuel;*;;;;;;;;;56.25
+;;;Gander Adrian;*;;;;;;;10.0
-;1;10.0;Müllestein Mike;***;7;56.5;4;8.75;3;-1.25;8.75
+;5;18.75;Schnellmann Adrian (2004);;12;55.25;2;19.75;-3;1.0;9.75
-;5;28.5;Wiget Ueli;;12;55.25;3;29.0;-2;0.5;9.0
-;7;37.5;Gmür Pirmin;**;10;55.75;9;37.0;2;-0.5;8.75
+;10;46.25;Meier Daniel;;14;54.75;10;46.25;0;0.0;10.0

8f;Röthlin Pascal;;;;;;;;;;56.25
+;;;Stübi Noël (2004);;;;;;;;10.0
+;1;10.0;Bürgi Simon;;18;53.75;1;10.0;0;0.0;9.75
o;2;19.75;Lustenberger Marc;*;6;56.75;5;18.75;3;-1.0;8.5
+;6;28.25;Bissig Lukas;*;7;56.5;6;28.25;0;0.0;9.75
o;5;38.0;Fankhauser Marco;**;5;57.0;8;37.25;3;-0.75;8.5
+;9;46.5;Scherrer Patrick;;11;55.5;7;47.0;-2;0.5;9.75

9a;Schürpf Bruno;*;;;;;;;;;56.0
o;;;Kurmann Toni;*;;;;;;;8.5
-;5;8.5;Elmiger Andreas;*;11;55.5;4;8.75;-1;0.25;8.75
+;11;17.25;Gabriel Simon;;13;55.0;7;18.25;-4;1.0;9.75
+;11;27.0;Elsener Manuel;;16;54.25;10;27.25;-1;0.25;10.0
-;9;37.0;Troxler Jonas;*;16;54.25;10;36.75;1;-0.25;9.0
+;11;46.0;Wicki Patrick;;15;54.5;11;46.0;0;0.0;10.0

9b;Schärli Reto;*;;;;;;;;;56.0
-;;;Arnold Marcel;*;;;;;;;8.75
+;4;8.75;Gwerder Andreas;*;18;53.75;5;8.5;1;-0.25;10.0
-;5;18.75;Durrer Lukas;;13;55.0;2;19.75;-3;1.0;9.0
+;8;27.75;Beffa Mario;;16;54.25;6;28.25;-2;0.5;9.75
+;7;37.5;Müller Luca (2004);*;8;56.25;6;37.75;-1;0.25;10.0
o;5;47.5;Schuler Christian;***;6;56.75;8;46.75;3;-0.75;8.5

9c;Riget Tobias;**;;;;;;;;;56.0
-;;;Bucher Christian;**;;;;;;;8.75
-;4;8.75;Moos Christoph;*;16;54.25;1;10.0;-3;1.25;8.75
+;10;17.5;Gisler Silvan;;11;55.5;6;18.5;-4;1.0;10.0
+;9;27.5;Forster Christian;;21;53.0;10;27.25;1;-0.25;10.0
-;7;37.5;Wyrsch Marco;**;9;56.0;7;37.5;0;0.0;8.75
+;10;46.25;Elsener Marcel;*;14;54.75;10;46.25;0;0.0;9.75

9d;Hürlimann Mathias;*;;;;;;;;;56.0
+;;;Gwerder Andreas;*;;;;;;;9.75
-;2;9.75;Ettlin Stefan;**;11;55.5;4;8.75;2;-1.0;9.0
+;5;18.75;Amrhyn Jonas;;12;55.25;3;19.5;-2;0.75;10.0
-;4;28.75;Rohrer Ivan;**;11;55.5;6;28.25;2;-0.5;8.75
+;7;37.5;Wicki Patrick;;15;54.5;8;37.25;1;-0.25;10.0
o;5;47.5;Imhof Andi;***;6;56.75;7;47.0;2;-0.5;8.5

9e;Bucher Thomas;*;;;;;;;;;56.0
+;;;Wicki David;*;;;;;;;9.75
-;2;9.75;Schuler Philipp;**;9;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Riebli Leon;;10;55.75;3;19.5;-3;1.0;10.0
-;5;28.5;Gander Martin;;9;56.0;5;28.5;0;0.0;9.0
o;7;37.5;Müllestein Mike;***;7;56.5;11;36.5;4;-1.0;8.5
+;11;46.0;Heinzer Lukas (2004);;15;54.5;11;46.0;0;0.0;10.0

9f;Gander Martin;;;;;;;;;;56.0
+;;;Hodler Mathias;;;;;;;;10.0
+;1;10.0;Appert Silvan;;12;55.25;3;9.0;2;-1.0;10.0
o;1;20.0;Suppiger Werner;**;6;56.75;3;19.5;2;-0.5;8.5
-;5;28.5;Bucher Thomas;*;9;56.0;5;28.5;0;0.0;9.0
+;7;37.5;Thalmann Adrian;;16;54.25;9;37.0;2;-0.5;10.0
o;5;47.5;Lang Sven;**;3;57.75;4;47.75;-1;0.25;8.5

9g;Schuler Philipp;**;;;;;;;;;56.0
-;;;Rohrer Ivan;**;;;;;;;8.75
-;4;8.75;Bucher Thomas;*;9;56.0;2;9.75;-2;1.0;8.75
+;10;17.5;Zumstein Patrick;;28;35.5;6;18.5;-4;1.0;10.0
+;9;27.5;Hürlimann Marco;;13;55.0;7;28.0;-2;0.5;10.0
o;7;37.5;Zurfluh Roman;**;6;56.75;6;37.75;-1;0.25;8.5
+;11;46.0;Gisler Noah;;15;54.5;11;46.0;0;0.0;10.0

9h;Wyrsch Marco;**;;;;;;;;;56.0
-;;;Kälin Roland;**;;;;;;;8.75
-;4;8.75;Lussi Marco;**;11;55.5;4;8.75;0;0.0;8.75
+;10;17.5;Klauser Nico;;17;54.0;6;18.5;-4;1.0;10.0
+;9;27.5;Baumann Lukas;;27;35.75;10;27.25;1;-0.25;10.0
-;7;37.5;Riget Tobias;**;9;56.0;7;37.5;0;0.0;8.75
+;10;46.25;Hürlimann Marco;;13;55.0;10;46.25;0;0.0;9.75

10a;Hurschler Tobias;;;;;;;;;;55.75
+;;;Müller Dominik;;;;;;;;10.0
-;1;10.0;Kempf Damian;;19;53.5;4;8.75;3;-1.25;8.75
+;5;18.75;Wyss Christian;*;12;55.25;7;18.25;2;-0.5;10.0
o;4;28.75;Kenel Franz-Toni;*;5;57.0;5;28.5;1;-0.25;8.5
+;8;37.25;Hodler Mathias;;18;53.75;10;36.75;2;-0.5;9.75
o;7;47.0;Suter Samuel;;4;57.25;6;47.25;-1;0.25;8.75

10b;Lagler Christian;*;;;;;;;;;55.75
-;;;Müller Luca (2004);*;;;;;;;8.75
-;4;8.75;Wicki David;*;11;55.5;5;8.5;1;-0.25;8.75
+;10;17.5;Baumann Lukas;;27;35.75;5;18.75;-5;1.25;9.75
+;10;27.25;Koch Emanuel (2006);;23;52.5;11;27.0;1;-0.25;10.0
o;8;37.25;Odermatt Andreas;**;12;55.25;9;37.0;1;-0.25;8.5
+;12;45.75;Thalmann Adrian;;16;54.25;12;45.75;0;0.0;10.0

10c;Kessler Joel;*;;;;;;;;;55.75
-;;;Niederberger Markus;*;;;;;;;8.75
o;4;8.75;Herger Matthias;**;1;58.5;5;8.5;1;-0.25;8.5
+;11;17.25;Zimmermann Gian (2004);;18;53.75;7;18.25;-4;1.0;10.0
+;10;27.25;Gut Koni;;11;55.5;10;27.25;0;0.0;9.75
-;9;37.0;Lussi Marco;**;11;55.5;9;37.0;0;0.0;8.75
+;12;45.75;Troxler Jonas;*;16;54.25;12;45.75;0;0.0;10.0

10d;Riebli Leon;;;;;;;;;;55.75
+;;;Arnold Kilian;;;;;;;;9.75
+;2;9.75;Gisler Silvan;;11;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Bucher Thomas;*;9;56.0;6;18.5;3;-1.0;8.75
-;6;28.25;Keller Janik;*;14;54.75;10;27.25;4;-1.0;9.0
+;8;37.25;Heinzer Lukas (2004);;15;54.5;7;37.5;-1;0.25;10.0
o;6;47.25;Riget Florian;**;6;56.75;8;46.75;2;-0.5;8.5

10e;Kennel Beat;**;;;;;;;;;55.75
-;;;Bieri Christian;**;;;;;;;8.75
-;4;8.75;Lustenberger Marc;*;6;56.75;2;9.75;-2;1.0;9.0
+;9;17.75;Baumann Marco;;20;53.25;6;18.5;-3;0.75;9.75
+;9;27.5;Epp Elias;;18;53.75;6;28.25;-3;0.75;9.75
o;8;37.25;Barmettler Renato;*;10;55.75;9;37.0;1;-0.25;8.5
+;12;45.75;Hurschler Adrian;;16;54.25;12;45.75;0;0.0;10.0

10f;Betschart Marcel;*;;;;;;;;;55.75
-;;;Elmiger Andreas;*;;;;;;;8.75
-;4;8.75;Schuler Daniel;*;17;54.0;5;8.5;1;-0.25;8.75
+;10;17.5;Bissig Joris;;18;53.75;6;18.5;-4;1.0;9.75
o;10;27.25;Wüest David;;10;55.75;8;27.75;-2;0.5;8.5
+;14;35.75;Schnellmann Alexander (2004);;17;54.0;14;35.75;0;0.0;10.0
+;12;45.75;Würsch Lars;*;17;54.0;13;45.5;1;-0.25;10.0

10g;Barmettler Renato;*;;;;;;;;;55.75
o;;;Baumann Roger;*;;;;;;;8.5
o;5;8.5;Zurfluh Roman;**;6;56.75;4;8.75;-1;0.25;8.5
+;12;17.0;Rogenmoser Luca;;29;35.25;7;18.25;-5;1.25;10.0
+;11;27.0;Arnold Kilian;;20;53.25;10;27.25;-1;0.25;10.0
+;9;37.0;Kennel Beat;**;10;55.75;8;37.25;-1;0.25;10.0
o;7;47.0;Scherrer Fabian;*;6;56.75;7;47.0;0;0.0;8.75

10h;Baumann Roger;*;;;;;;;;;55.75
+;;;Barmettler Renato;*;;;;;;;9.75
-;2;9.75;Gmür Pirmin;**;10;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Ettlin Michael;;16;54.25;5;18.75;-1;0.25;9.75
+;6;28.25;Lüthy Ralph;;11;55.5;5;28.5;-1;0.25;10.0
-;4;38.25;Durrer Nando;*;8;56.25;4;38.25;0;0.0;9.0
o;6;47.25;Müllestein Mike;***;7;56.5;9;46.5;3;-0.75;8.5

10i;Wüest David;;;;;;;;;;55.75
-;;;Suter Samuel;;;;;;;;8.75
+;4;8.75;Lienhard Ramon (2004);;31;34.75;4;8.75;0;0.0;10.0
-;5;18.75;Bucher Roland;*;6;56.75;6;18.5;1;-0.25;9.0
+;8;27.75;Betschart Marcel;*;10;55.75;10;27.25;2;-0.5;10.0
-;6;37.75;Meier Daniel;;14;54.75;8;37.25;2;-0.5;9.0
-;8;46.75;Durrer Nando;*;8;56.25;6;47.25;-2;0.5;9.0

10j;Kälin Roland;**;;;;;;;;;55.75
-;;;Wyrsch Marco;**;;;;;;;8.75
o;4;8.75;Kurmann Toni;*;8;56.25;2;9.75;-2;1.0;8.5
+;11;17.25;Müller Dominik;;29;35.25;7;18.25;-4;1.0;10.0
+;10;27.25;Furrer Jens;;18;53.75;6;28.25;-4;1.0;9.75
-;9;37.0;Suter Beat;*;14;54.75;8;37.25;-1;0.25;8.75
+;12;45.75;Meier Andreas;;17;54.0;13;45.5;1;-0.25;10.0

10k;Gmür Pirmin;**;;;;;;;;;55.75
-;;;Lussi Marco;**;;;;;;;8.75
-;4;8.75;Baumann Roger;*;10;55.75;2;9.75;-2;1.0;8.75
+;10;17.5;Bühler Patrice;;11;55.5;6;18.5;-4;1.0;9.75
+;10;27.25;Felder Ivan (2004);;14;54.75;9;27.5;-1;0.25;9.75
-;9;37.0;Schwyzer Samuel;*;8;56.25;7;37.5;-2;0.5;8.75
+;12;45.75;Arnold Sebastian;;17;54.0;13;45.5;1;-0.25;10.0

11a;Lussi Marco;**;;;;;;;;;55.5
-;;;Gmür Pirmin;**;;;;;;;8.75
-;4;8.75;Wyrsch Marco;**;9;56.0;4;8.75;0;0.0;8.75
+;10;17.5;Rogenmoser Franco (2004);;23;52.5;6;18.5;-4;1.0;9.75
+;10;27.25;Lüscher Elias (2006);;17;54.0;10;27.25;0;0.0;9.75
-;9;37.0;Kessler Joel;*;10;55.75;9;37.0;0;0.0;8.75
+;12;45.75;Bühlmann Daniel;;16;54.25;12;45.75;0;0.0;9.75

11b;Zurfluh Michael;*;;;;;;;;;55.5
-;;;Keller Janik;*;;;;;;;8.75
-;4;8.75;Binggeli Stefan;**;17;54.0;4;8.75;0;0.0;8.75
+;10;17.5;Langenegger Ruedi;;23;52.5;6;18.5;-4;1.0;10.0
-;9;27.5;Wiss Ivan (2004);;18;53.75;8;27.75;-1;0.25;9.0
-;11;36.5;Züger Benjamin (2004);;11;55.5;11;36.5;0;0.0;9.0
+;13;45.5;Elmer Daniel;*;18;53.75;14;45.25;1;-0.25;10.0

11c;Vogel Laurin;;;;;;;;;;55.5
-;;;Meier Daniel;;;;;;;;8.75
+;4;8.75;Betschart Roger;;16;54.25;5;8.5;1;-0.25;10.0
+;5;18.75;Elsener Marcel;*;14;54.75;7;18.25;2;-0.5;9.75
o;5;28.5;Arnold Stefan;**;7;56.5;6;28.25;1;-0.25;8.5
