3489-2017-06-18_102_Basellandschaftliches_Kantonalschwingfest-ST

1a;Wicki Joel;**;;;;;;;;;58.75
+;8;37.0;Bachmann Sämi (2001);;18;54.0;8;37.0;0;0.0;10.0
+;7;47.0;Schillig Willi;**;14;55.0;9;46.5;2;-0.5;9.75

7f;Voggensperger Janic;**;;;;;;;;;56.75
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Läuchli Janik (2000);;17;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Hügli Kaj;*;7;56.75;5;18.75;-1;0.25;9.75
+;5;28.25;Bader Fabian (2000);;16;54.5;3;28.75;-2;0.5;9.75
-;4;38.0;Stoll Simon;*;10;56.0;6;37.5;2;-0.5;8.75
+;8;46.75;Lisser Daniel;*;14;55.0;9;46.5;1;-0.25;10.0

7g;Kropf Marcel;**;;;;;;;;;56.75
+;;;Bieri Christoph;***;;;;;;;9.75
o;2;9.75;Döbeli Lukas (2000);*;5;57.25;2;9.75;0;0.0;8.5
+;7;18.25;Abt Robin;;16;54.5;4;19.0;-3;0.75;10.0
+;5;28.25;Burkhardt Roy;;18;54.0;5;28.25;0;0.0;10.0
o;3;38.25;Wicki Joel;**;1;58.75;1;38.75;-2;0.5;8.5
+;8;46.75;Portmann Roger;;13;55.25;8;46.75;0;0.0;10.0

7h;Widmer Cyrill;;;;;;;;;;56.75
+;;;Rohrbach Jérôme (2000);;;;;;;;9.75
o;2;9.75;Anderegg David;*;12;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Lazic Marco (2000);;23;52.75;7;18.25;0;0.0;10.0
+;5;28.25;Bieri Florian (2001);;20;53.5;6;28.0;1;-0.25;10.0
+;3;38.25;Schmid Samuel;**;11;55.75;7;37.25;4;-1.0;10.0
o;3;48.25;Döbeli Lukas (2000);*;5;57.25;6;47.25;3;-1.0;8.5

8a;Mangold Michael;*;;;;;;;;;56.5
o;;;Schillig Willi;**;;;;;;;8.5
+;5;8.5;Regenass Reto (2000);;29;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Kohler Adrian;;12;55.5;6;18.5;0;0.0;9.75
o;5;28.25;Stalder Remo;***;11;55.75;4;28.5;-1;0.25;8.5
+;9;36.75;Burtschi Michael;;17;54.25;7;37.25;-2;0.5;9.75
+;9;46.5;Schaffner Samuel;**;11;55.75;7;47.0;-2;0.5;10.0

8b;Gerber Andrj (2000);;;;;;;;;;56.5
+;;;Körkel Yannik;;;;;;;;9.75
o;2;9.75;Bader Andreas;**;26;45.25;5;8.5;3;-1.25;8.5
+;7;18.25;Binggeli Silvan (1999);;18;54.0;7;18.25;0;0.0;10.0
+;5;28.25;Küng Marco;*;25;45.5;9;27.25;4;-1.0;9.75
o;4;38.0;Hermann Oliver;*;13;55.25;9;36.75;5;-1.25;8.75
+;8;46.75;Imobersteg Matthias (2001);;12;55.5;7;47.0;-1;0.25;9.75

8c;Fankhauser Erich;***;;;;;;;;;56.5
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Stalder Remo;***;11;55.75;1;10.0;0;0.0;9.75
o;2;19.75;Thürig Mario;***;4;57.5;1;20.0;-1;0.25;8.5
+;5;28.25;Arnold Kornel;*;7;56.75;4;28.5;-1;0.25;10.0
+;3;38.25;Leuthard Reto;*;6;57.0;2;38.5;-1;0.25;9.75
o;4;48.0;Bieri Christoph;***;2;58.5;2;48.5;-2;0.5;8.5

8d;Brun Samuel (1999);**;;;;;;;;;56.5
+;;;Hermann Oliver;*;;;;;;;9.75
o;2;9.75;Schmid David;***;4;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Vogel Remo (2001);;16;54.5;6;18.5;-1;0.25;10.0
+;5;28.25;Steger Robert;;20;53.5;6;28.0;1;-0.25;10.0
o;3;38.25;Thürig Mario;***;4;57.5;1;38.75;-2;0.5;8.5
+;8;46.75;Räber Lukas;;11;55.75;6;47.25;-2;0.5;9.75

9a;Fankhauser Reto;**;;;;;;;;;56.25
+;;;Waldner Patrick;**;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;7;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Grossmann Andreas;;13;55.25;2;19.75;-3;1.0;10.0
-;3;28.75;Thürig Mario;***;4;57.5;1;30.0;-2;1.25;8.75
+;6;37.5;Siegrist Christian;;7;56.75;3;38.25;-3;0.75;9.75
-;6;47.25;Henzer Andreas;**;13;55.25;9;46.5;3;-0.75;9.0

9b;Fankhauser Marco;**;;;;;;;;;56.25
-;;;Brand Christian;**;;;;;;;9.0
+;3;9.0;Schmutz Simon (2000);;25;45.5;1;10.0;-2;1.0;10.0
-;4;19.0;Schmid David;***;4;57.5;1;20.0;-3;1.0;8.75
+;7;27.75;Hauri Urs;**;12;55.5;4;28.5;-3;0.75;10.0
+;5;37.75;Bader Andreas;**;26;45.25;9;36.75;4;-1.0;10.0
o;5;47.75;Alpiger Nick;***;3;58.0;4;48.0;-1;0.25;8.5

10a;Brand Christian;**;;;;;;;;;56.0
-;;;Fankhauser Marco;**;;;;;;;9.0
+;3;9.0;Bader Fabian (2000);;16;54.5;1;10.0;-2;1.0;9.75
o;5;18.75;Bieri Christoph;***;2;58.5;6;18.5;1;-0.25;8.5
+;9;27.25;Portmann Roger;;13;55.25;4;28.5;-5;1.25;10.0
+;7;37.25;Schmutz Simon (2000);;25;45.5;8;37.0;1;-0.25;10.0
-;6;47.25;Anderegg David;*;12;55.5;8;46.75;2;-0.5;8.75

10b;Reimann Marco;;;;;;;;;;56.0
-;;;Büttler Adrian (1999);;;;;;;;9.0
+;3;9.0;Imobersteg Tobias;;21;53.25;5;8.5;2;-0.5;10.0
o;4;19.0;Schillig Willi;**;14;55.0;3;19.5;-1;0.5;8.5
+;8;27.5;Abt Robin;;16;54.5;8;27.5;0;0.0;10.0
o;6;37.5;Henzer Andreas;**;13;55.25;10;36.5;4;-1.0;8.5
+;11;46.0;Burtschi Michael;;17;54.25;12;45.75;1;-0.25;10.0

10c;Stoll Simon;*;;;;;;;;;56.0
-;;;Schaffner Samuel;**;;;;;;;8.75
+;4;8.75;Portmann Roger;;13;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Döbeli Lukas (2000);*;5;57.25;3;19.5;-2;0.75;8.75
+;8;27.5;Nussbaumer Gabriel;;14;55.0;5;28.25;-3;0.75;10.0
-;6;37.5;Voggensperger Janic;**;7;56.75;4;38.0;-2;0.5;8.75
+;10;46.25;Lang Martin;**;16;54.5;11;46.0;1;-0.25;9.75

11a;Waldner Patrick;**;;;;;;;;;55.75
o;;;Fankhauser Reto;**;;;;;;;8.5
-;5;8.5;Schwenkfelder Lukas;;15;54.75;2;9.75;-3;1.25;8.75
+;10;17.25;Müller Simon;;16;54.5;6;18.5;-4;1.25;10.0
+;9;27.25;Räber Lukas;;11;55.75;4;28.5;-5;1.25;10.0
o;7;37.25;Schaffner Samuel;**;11;55.75;8;37.0;1;-0.25;8.5
+;12;45.75;Büttler Gian (2000);;16;54.5;11;46.0;-1;0.25;10.0

11b;Räber Lukas;;;;;;;;;;55.75
+;;;Imobersteg Tobias;;;;;;;;9.75
-;2;9.75;Probst Gabriel;**;18;54.0;5;8.5;3;-1.25;8.75
+;6;18.5;Dettwiler Patrick;;29;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Waldner Patrick;**;11;55.75;9;27.25;5;-1.25;8.75
+;7;37.25;Streich Sascha (2001);;18;54.0;9;36.75;2;-0.5;10.0
o;6;47.25;Brun Samuel (1999);**;8;56.5;8;46.75;2;-0.5;8.5

11c;Schaffner Samuel;**;;;;;;;;;55.75
-;;;Stoll Simon;*;;;;;;;8.75
+;4;8.75;Bachmann Sämi (2001);;18;54.0;1;10.0;-3;1.25;10.0
o;5;18.75;Erb Roger;**;5;57.25;6;18.5;1;-0.25;8.5
+;9;27.25;Imobersteg Matthias (2001);;12;55.5;4;28.5;-5;1.25;9.75
+;8;37.0;Waldner Patrick;**;11;55.75;7;37.25;-1;0.25;10.0
o;7;47.0;Mangold Michael;*;8;56.5;9;46.5;2;-0.5;8.75

11d;Graber Colin;;;;;;;;;;55.75
-;;;Gisin Yanic;;;;;;;;8.75
+;4;8.75;Weber Roger;;34;25.75;4;8.75;0;0.0;10.0
-;5;18.75;Henzer Andreas;**;13;55.25;9;17.5;4;-1.25;8.75
+;8;27.5;Streich Sascha (2001);;18;54.0;5;28.25;-3;0.75;9.75
-;7;37.25;Nyffeler Christoph;*;20;53.5;12;36.0;5;-1.25;8.75
+;11;46.0;Bruder Adrian;;13;55.25;13;45.5;2;-0.5;9.75

11e;Stalder Remo;***;;;;;;;;;55.75
+;;;Strebel Joel;**;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;8;56.5;1;10.0;0;0.0;8.5
+;6;18.5;Winiger Fabian;**;11;55.75;5;18.75;-1;0.25;10.0
+;4;28.5;Mangold Michael;*;8;56.5;5;28.25;1;-0.25;9.75
-;3;38.25;Döbeli Lukas (2000);*;5;57.25;3;38.25;0;0.0;9.0
o;6;47.25;Hügli Kaj;*;7;56.75;8;46.75;2;-0.5;8.5

11f;Voggensperger Lars (2001);;;;;;;;;;55.75
-;;;Aerni Lars;;;;;;;;8.75
+;4;8.75;Hitz Florian (1999);;17;54.25;5;8.5;1;-0.25;9.75
+;6;18.5;Probst Gabriel;**;18;54.0;10;17.25;4;-1.25;10.0
o;4;28.5;Lisser Daniel;*;14;55.0;5;28.25;1;-0.25;8.5
+;8;37.0;Läuchli Janik (2000);;17;54.25;8;37.0;0;0.0;10.0
o;7;47.0;Siegrist Christian;;7;56.75;8;46.75;1;-0.25;8.75

11g;Winiger Fabian;**;;;;;;;;;55.75
-;;;Arnold Kornel;*;;;;;;;8.75
+;4;8.75;Nussbaumer Gabriel;;14;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Stalder Remo;***;11;55.75;6;18.5;1;-0.25;8.5
+;9;27.25;Wicki Kevin;;27;44.75;9;27.25;0;0.0;10.0
+;7;37.25;Kohler Adrian;;12;55.5;7;37.25;0;0.0;10.0
o;6;47.25;Gisler Bruno;***;7;56.75;8;46.75;2;-0.5;8.5

11h;Büttler Adrian (1999);;;;;;;;;;55.75
-;;;Reimann Marco;;;;;;;;8.75
+;4;8.75;Müller Jan;;23;52.75;5;8.5;1;-0.25;10.0
-;5;18.75;Nyffeler Christoph;*;20;53.5;9;17.5;4;-1.25;8.75
o;8;27.5;Jusufi Azret;;16;54.5;8;27.5;0;0.0;8.5
+;12;36.0;Burren Patrick (1999);;19;53.75;11;36.25;-1;0.25;10.0
+;11;46.0;Odermatt Adrian (2001);*;20;53.5;15;45.0;4;-1.0;9.75

11i;Schmid Samuel;**;;;;;;;;;55.75
o;;;Thürig Mario;***;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;18;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Streich Sascha (2001);;18;54.0;2;19.75;-4;1.25;10.0
o;4;28.5;Bader Andreas;**;26;45.25;5;28.25;1;-0.25;8.75
o;7;37.25;Widmer Cyrill;;7;56.75;3;38.25;-4;1.0;8.75
+;11;46.0;Lisser Beat;;17;54.25;12;45.75;1;-0.25;9.75

12a;Brügger Joël (2000);;;;;;;;;;55.5
+;;;Meier Fabian;;;;;;;;10.0
o;1;10.0;Hermann Oliver;*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Bader Fabian (2000);;16;54.5;5;18.75;-1;0.25;8.5
o;10;27.0;Bachmann Sämi (2001);;18;54.0;10;27.0;0;0.0;8.5
+;14;35.5;Lazic Marco (2000);;23;52.75;14;35.5;0;0.0;10.0
+;13;45.5;Tschan Raphael (2000);;18;54.0;13;45.5;0;0.0;10.0

12b;Hauri Urs;**;;;;;;;;;55.5
o;;;Alpiger Nick;***;;;;;;;8.5
+;5;8.5;Fritz Christian;;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Bruder Adrian;;13;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Fankhauser Marco;**;9;56.25;7;27.75;3;-0.75;8.75
+;7;37.25;Krebs Clemens;;15;54.75;7;37.25;0;0.0;9.75
o;7;47.0;Schmid David;***;4;57.5;5;47.75;-2;0.75;8.5

12c;Kohler Adrian;;;;;;;;;;55.5
-;;;Jusufi Azret;;;;;;;;8.75
+;4;8.75;Jakober Daniel;;31;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Mangold Michael;*;8;56.5;6;18.5;0;0.0;8.75
+;9;27.25;Fehlmann Silvan;;18;54.0;10;27.0;1;-0.25;10.0
o;7;37.25;Winiger Fabian;**;11;55.75;7;37.25;0;0.0;8.5
+;12;45.75;Mangold Martin;;16;54.5;11;46.0;-1;0.25;9.75

12d;Imobersteg Matthias (2001);;;;;;;;;;55.5
-;;;Widmer David;;;;;;;;9.0
+;3;9.0;Nussbaumer Dominik;;18;54.0;1;10.0;-2;1.0;9.75
+;5;18.75;Lang Martin;**;16;54.5;8;17.75;3;-1.0;9.75
o;4;28.5;Schaffner Samuel;**;11;55.75;9;27.25;5;-1.25;8.5
+;8;37.0;Fritz Christian;;13;55.25;9;36.75;1;-0.25;10.0
o;7;47.0;Gerber Andrj (2000);;8;56.5;8;46.75;1;-0.25;8.5

12e;Anderegg David;*;;;;;;;;;55.5
o;;;Lisser Daniel;*;;;;;;;8.5
+;5;8.5;Widmer Cyrill;;7;56.75;2;9.75;-3;1.25;10.0
+;6;18.5;Gabathuler Björn;;14;55.0;6;18.5;0;0.0;9.75
o;5;28.25;Bieri Christoph;***;2;58.5;4;28.5;-1;0.25;8.5
+;9;36.75;Tschan Raphael (2000);;18;54.0;8;37.0;-1;0.25;10.0
-;8;46.75;Brand Christian;**;10;56.0;6;47.25;-2;0.5;8.75

12f;Widmer Dino;;;;;;;;;;55.5
o;;;Schmid Simon (2000);;;;;;;;8.5
-;5;8.5;Reinhard Pirmin (2001);;17;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Jakober Daniel;;31;34.25;10;17.25;0;0.0;9.75
-;10;27.0;Aerni Lars;;15;54.75;9;27.25;-1;0.25;8.75
+;13;35.75;Imobersteg Tobias;;21;53.25;12;36.0;-1;0.25;10.0
+;12;45.75;Bachmann Sämi (2001);;18;54.0;13;45.5;1;-0.25;9.75

12g;Widmer David;;;;;;;;;;55.5
-;;;Studer Remo;;;;;;;;8.75
-;4;8.75;Imobersteg Matthias (2001);;12;55.5;3;9.0;-1;0.25;9.0
+;8;17.75;Weber Roger;;34;25.75;10;17.25;2;-0.5;9.75
o;8;27.5;Henzer Andreas;**;13;55.25;12;26.5;4;-1.0;8.5
+;12;36.0;Rohrbach Jérôme (2000);;17;54.25;13;35.75;1;-0.25;9.75
+;12;45.75;Burkhardt Roy;;18;54.0;13;45.5;1;-0.25;9.75

13a;Hermann Oliver;*;;;;;;;;;55.25
o;;;Brun Samuel (1999);**;;;;;;;8.5
+;5;8.5;Brügger Joël (2000);;12;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Dobler Florian;;33;27.0;6;18.5;-1;0.25;10.0
o;5;28.25;Alpiger Nick;***;3;58.0;5;28.25;0;0.0;8.5
+;9;36.75;Gerber Andrj (2000);;8;56.5;4;38.0;-5;1.25;10.0
o;8;46.75;Erb Roger;**;5;57.25;6;47.25;-2;0.5;8.5

13b;Schopferer Cyril (2000);;;;;;;;;;55.25
+;;;Meyer Lukas (2001);;;;;;;;9.75
-;2;9.75;Vogel Remo (2001);;16;54.5;2;9.75;0;0.0;8.75
o;6;18.5;Leuthard Reto;*;6;57.0;6;18.5;0;0.0;8.5
o;10;27.0;Bieli Andreas;;16;54.5;10;27.0;0;0.0;8.5
+;14;35.5;Peterhans Alex (2000);;28;44.0;14;35.5;0;0.0;10.0
+;13;45.5;Meier Fabian;;18;54.0;13;45.5;0;0.0;9.75

13c;Henzer Andreas;**;;;;;;;;;55.25
-;;;Räbmatter Patrick;***;;;;;;;8.75
-;4;8.75;Wicki Kevin;;27;44.75;4;8.75;0;0.0;8.75
-;9;17.5;Graber Colin;;11;55.75;5;18.75;-4;1.25;9.0
+;12;26.5;Widmer David;;12;55.5;8;27.5;-4;1.0;10.0
+;10;36.5;Reimann Marco;;10;56.0;6;37.5;-4;1.0;10.0
-;9;46.5;Fankhauser Reto;**;9;56.25;6;47.25;-3;0.75;8.75

13d;Fritz Christian;;;;;;;;;;55.25
+;;;Lazic Marco (2000);;;;;;;;10.0
o;1;10.0;Hauri Urs;**;12;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Meyer Lukas (2001);;19;53.75;7;18.25;1;-0.25;9.75
o;5;28.25;Leuthard Reto;*;6;57.0;4;28.5;-1;0.25;8.5
o;9;36.75;Imobersteg Matthias (2001);;12;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Körkel Yannik;;21;53.25;16;44.75;2;-0.5;10.0

13e;Portmann Roger;;;;;;;;;;55.25
+;;;Dobler Florian;;;;;;;;10.0
o;1;10.0;Stoll Simon;*;10;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Grieder Nonda (1999);;13;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Brand Christian;**;10;56.0;9;27.25;5;-1.25;8.5
+;8;37.0;Mangold Martin;;16;54.5;7;37.25;-1;0.25;9.75
o;8;46.75;Kropf Marcel;**;7;56.75;8;46.75;0;0.0;8.5

13f;Schmid Simon (2000);;;;;;;;;;55.25
+;;;Widmer Dino;;;;;;;;9.75
-;2;9.75;Lang Martin;**;16;54.5;4;8.75;2;-1.0;8.75
+;6;18.5;Bachmann Sämi (2001);;18;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Hügli Kaj;*;7;56.75;9;27.25;5;-1.25;8.5
o;8;37.0;Nussbaumer Gabriel;;14;55.0;9;36.75;1;-0.25;8.5
+;13;45.5;Bearda Samuel;;17;54.25;12;45.75;-1;0.25;9.75

13g;Scherer Niklaus;;;;;;;;;;55.25
+;;;Bruder Adrian;;;;;;;;9.75
o;2;9.75;Widmer Tobias;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Bearda Samuel;;17;54.25;5;18.75;-2;0.5;10.0
-;5;28.25;Krebs Clemens;;15;54.75;5;28.25;0;0.0;9.0
-;7;37.25;Odermatt Adrian (2001);*;20;53.5;12;36.0;5;-1.25;9.0
-;10;46.25;Scherrer Johann;**;14;55.0;11;46.0;1;-0.25;9.0

13h;Grossmann Andreas;;;;;;;;;;55.25
+;;;Eggenschwiler Fabian;;;;;;;;10.0
+;1;10.0;Tschan Raphael (2000);;18;54.0;1;10.0;0;0.0;9.75
o;2;19.75;Fankhauser Reto;**;9;56.25;5;18.75;3;-1.0;8.5
o;5;28.25;Döbeli Lukas (2000);*;5;57.25;5;28.25;0;0.0;8.5
+;9;36.75;Probst Stefan;;22;53.0;13;35.75;4;-1.0;10.0
o;8;46.75;Leuthard Reto;*;6;57.0;7;47.0;-1;0.25;8.5

13i;Grieder Nonda (1999);;;;;;;;;;55.25
+;;;Bader Stefan (1999);;;;;;;;10.0
o;1;10.0;Küng Marco;*;25;45.5;4;8.75;3;-1.25;8.5
o;6;18.5;Portmann Roger;;13;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Läuchli Janik (2000);;17;54.25;10;27.0;0;0.0;8.5
+;14;35.5;Eggenschwiler Fabian;;24;52.5;14;35.5;0;0.0;9.75
+;14;45.25;Bieri Florian (2001);;20;53.5;15;45.0;1;-0.25;10.0

13j;Bruder Adrian;;;;;;;;;;55.25
o;;;Scherer Niklaus;;;;;;;;8.5
+;5;8.5;Eggenschwiler Fabian;;24;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Hauri Urs;**;12;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Gabathuler Björn;;14;55.0;10;27.0;0;0.0;10.0
o;8;37.0;Hügli Kaj;*;7;56.75;8;37.0;0;0.0;8.5
+;13;45.5;Studer Remo;;18;54.0;13;45.5;0;0.0;9.75
o;13;55.25;Graber Colin;;11;55.75;11;55.75;-2;0.5;0.0

14a;Scherrer Johann;**;;;;;;;;;55.0
-;;;Hügli Kaj;*;;;;;;;8.75
-;4;8.75;Bearda Samuel;;17;54.25;1;10.0;-3;1.25;8.75
-;9;17.5;Jusufi Azret;;16;54.5;5;18.75;-4;1.25;8.75
+;13;26.25;Reinhard Pirmin (2001);;17;54.25;9;27.25;-4;1.0;9.75
+;12;36.0;Meyer Lukas (2001);;19;53.75;10;36.5;-2;0.5;10.0
-;11;46.0;Scherer Niklaus;;13;55.25;10;46.25;-1;0.25;9.0

