2964-2015-05-10_111_Ob-_und_Nidwaldener_Kantonalschwingfest-ST

1a;Bernhard Lukas;*;;;;;;;;;57.5
+;9;17.5;Di Pietro Loris (1998);;23;35.5;11;17.0;2;-0.5;9.75
o;8;27.25;Herger Fabian;;10;55.25;8;27.25;0;0.0;8.5
o;13;35.75;Graber Michael;*;14;54.25;13;35.75;0;0.0;8.5
+;19;44.25;Planzer Urs;;17;53.5;17;44.75;-2;0.5;10.0

14d;Vogler Daniel;*;;;;;;;;;54.25
o;;;Herger Matthias;*;;;;;;;8.5
o;5;8.5;Zimmermann Martin;**;6;56.25;4;8.75;-1;0.25;8.5
+;11;17.0;Tresch Jan (1999);;24;35.25;7;18.25;-4;1.25;10.0
-;9;27.0;Kempf Damian;;14;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Hess Christian;;14;54.25;13;35.75;0;0.0;9.75
-;14;45.5;Arnold Fabian;;13;54.5;13;45.75;-1;0.25;8.75

14e;Vogler Jonas (1999);;;;;;;;;;54.25
+;;;Rohrer Markus I;;;;;;;;10.0
o;1;10.0;Gander Michael (1998);;14;54.25;1;10.0;0;0.0;8.5
o;6;18.5;Baumann Roger;*;11;55.0;9;17.5;3;-1.0;8.5
-;9;27.0;Herger André (1997);;19;53.0;9;27.0;0;0.0;9.0
o;12;36.0;Durrer Robin;;8;55.75;12;36.0;0;0.0;8.5
+;18;44.5;Wyrsch Hansi (1999);;17;53.5;16;45.0;-2;0.5;9.75

14f;Baumann Reto;;;;;;;;;;54.25
-;;;Ettlin Martin (1998);;;;;;;;9.0
+;3;9.0;Enz Simon;;23;35.5;1;10.0;-2;1.0;9.75
o;5;18.75;Niederberger Jakob;**;5;56.5;8;17.75;3;-1.0;8.5
o;8;27.25;Büchi Christian;;11;55.0;9;27.0;1;-0.25;8.5
o;13;35.75;Schuler Thomas;;10;55.25;13;35.75;0;0.0;8.5
+;19;44.25;Spichtig Clemens;;19;53.0;18;44.5;-1;0.25;10.0

14g;von Deschwanden Patrick;;;;;;;;;;54.25
+;;;Herger Simon;;;;;;;;10.0
+;1;10.0;Berchtold Lukas;;24;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Murer Andy;*;3;57.0;5;18.75;4;-1.25;8.5
o;3;28.5;Bernhard Lukas;*;1;57.5;3;28.5;0;0.0;8.5
o;8;37.0;Müller Mathias;;10;55.25;8;37.0;0;0.0;8.5
o;14;45.5;Gander Martin (1997);;9;55.5;14;45.5;0;0.0;8.75

14h;Rohrer Bärti;;;;;;;;;;54.25
+;;;Mettler Simon (1998);;;;;;;;10.0
o;1;10.0;Wallimann Remo (1997);;11;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Kempf Elias;**;3;57.0;6;18.5;1;-0.25;8.5
+;8;27.25;Kaiser Sandro (1998);;26;34.25;14;25.75;6;-1.5;10.0
o;7;37.25;Zurfluh Markus;**;3;57.0;7;37.25;0;0.0;8.5
o;13;45.75;Styger Mike (1999);;9;55.5;13;45.75;0;0.0;8.5

14i;Graber Michael;*;;;;;;;;;54.25
o;;;Omlin Toni;*;;;;;;;8.5
o;5;8.5;Gassmann Fabian;**;3;57.0;5;8.5;0;0.0;8.5
+;11;17.0;Waser Raphael (1998);;11;55.0;7;18.25;-4;1.25;10.0
o;9;27.0;Graber Sandro;;15;54.0;9;27.0;0;0.0;8.75
+;13;35.75;von Moos Adrian;;14;54.25;13;35.75;0;0.0;9.75
-;14;45.5;Michel Silvan;;14;54.25;14;45.5;0;0.0;8.75

14j;von Wyl Simon (1999);;;;;;;;;;54.25
o;;;Pedrazzini Diego (1998);;;;;;;;8.5
o;5;8.5;Herger Andreas (1997);;15;54.0;5;8.5;0;0.0;8.5
-;11;17.0;Ziegler Moritz (1998);;25;34.5;11;17.0;0;0.0;9.0
+;13;26.0;Durrer Lukas (1999);;26;34.25;14;25.75;1;-0.25;10.0
o;12;36.0;Zumstein Patrick;;13;54.5;12;36.0;0;0.0;8.5
+;18;44.5;Gisler Tim (1999);;19;53.0;18;44.5;0;0.0;9.75

14k;Michel Silvan;;;;;;;;;;54.25
+;;;Bissig Fabian;;;;;;;;10.0
o;1;10.0;Barmettler Peter;*;8;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Schuler Daniel;;8;55.75;6;18.5;0;0.0;8.5
-;9;27.0;Schuler Thomas;;10;55.25;9;27.0;0;0.0;8.75
+;13;35.75;Hess Tobias (1998);;20;52.75;13;35.75;0;0.0;9.75
-;14;45.5;Graber Michael;*;14;54.25;14;45.5;0;0.0;8.75

14l;Indergand Michael;;;;;;;;;;54.25
-;;;Fessler Linus;;;;;;;;8.75
+;4;8.75;Ettlin Michael (1998);;23;35.5;1;10.0;-3;1.25;10.0
o;5;18.75;Rohrer Marco;**;3;57.0;6;18.5;1;-0.25;8.5
+;8;27.25;Küchler Severin;;22;35.75;8;27.25;0;0.0;10.0
o;7;37.25;Zimmermann Martin;**;6;56.25;6;37.5;-1;0.25;8.5
o;13;45.75;Lemmenmeier Lukas (1997);;8;55.75;13;45.75;0;0.0;8.5

14m;Kempf Damian;;;;;;;;;;54.25
o;;;Aeschlimann Martin;;;;;;;;8.5
-;5;8.5;Hess Christian;;14;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Gasser Dominik 2 (1998);;23;35.5;10;17.25;0;0.0;9.75
-;9;27.0;Vogler Daniel;*;14;54.25;9;27.0;0;0.0;8.75
o;13;35.75;Fleischmann Fabian;;9;55.5;13;35.75;0;0.0;8.5
+;19;44.25;Rohrer Marco (1999);;19;53.0;18;44.5;-1;0.25;10.0

15a;Odermatt Beat;;;;;;;;;;54.0
+;;;Bissig Thomas;;;;;;;;9.75
o;2;9.75;Indergand Armin;*;12;54.75;5;8.5;3;-1.25;8.5
+;7;18.25;Ettlin Michael (1998);;23;35.5;6;18.5;-1;0.25;10.0
o;4;28.25;Gasser Stefan;**;1;57.5;2;28.75;-2;0.5;8.5
o;9;36.75;Wallimann Remo (1997);;11;55.0;9;36.75;0;0.0;8.75
o;14;45.5;Widmer David;;9;55.5;14;45.5;0;0.0;8.5

15b;Ming Hannes (1998);;;;;;;;;;54.0
-;;;Burch Jonas (1999);;;;;;;;8.75
o;4;8.75;Bissig Fabian;;23;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Müller Patrick (1999);;24;35.25;11;17.0;1;-0.25;9.75
+;9;27.0;Bissig Roman (1998);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Müller Alain;***;8;55.75;12;36.0;3;-0.75;8.5
-;15;45.25;Durrer Nando (1999);;15;54.0;15;45.25;0;0.0;8.75

15c;Amgarten Roman;*;;;;;;;;;54.0
+;;;Wyrsch David;*;;;;;;;10.0
o;1;10.0;Zurfluh Markus;**;3;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Herger Lukas;;8;55.75;5;18.75;0;0.0;8.5
+;8;27.25;Würsch Lars;;10;55.25;3;28.5;-5;1.25;9.75
o;8;37.0;Mathis Marcel;***;5;56.5;8;37.0;0;0.0;8.5
o;14;45.5;Schuler Thomas;;10;55.25;14;45.5;0;0.0;8.5

15d;Graber Sandro;;;;;;;;;;54.0
+;;;Britschgi Nils (1998);;;;;;;;9.75
o;2;9.75;Scheidegger Adrian;;12;54.75;4;8.75;2;-1.0;8.5
-;7;18.25;Gut Koni;;12;54.75;6;18.5;-1;0.25;8.75
+;9;27.0;Graber Michael;*;14;54.25;9;27.0;0;0.0;9.75
-;9;36.75;Gander Michael (1998);;14;54.25;8;37.0;-1;0.25;8.75
o;14;45.5;Würsch Lars;;10;55.25;14;45.5;0;0.0;8.5

15e;Herger Andreas (1997);;;;;;;;;;54.0
o;;;Zumstein Patrick;;;;;;;;8.5
+;5;8.5;von Wyl Simon (1999);;14;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Remo;*;11;55.0;8;17.75;2;-0.75;8.5
+;9;27.0;Bucher René (1998);;26;34.25;14;25.75;5;-1.25;10.0
o;8;37.0;Halter Markus;*;13;54.5;12;36.0;4;-1.0;8.5
o;14;45.5;von Ah Markus;;9;55.5;14;45.5;0;0.0;8.5

15f;von Flüe Michael (1997);;;;;;;;;;54.0
+;;;Arnold Pius (1997);;;;;;;;10.0
+;1;10.0;Durrer Markus (1999);;24;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Töngi Thomas;*;3;57.0;1;20.0;0;0.0;8.5
o;3;28.5;Ettlin Stefan (1997);;8;55.75;3;28.5;0;0.0;8.5
o;8;37.0;Della Torre Simon (1997);;10;55.25;8;37.0;0;0.0;8.5
o;14;45.5;Aeschlimann Martin;;9;55.5;14;45.5;0;0.0;8.5

15g;Bacher Andreas;;;;;;;;;;54.0
+;;;Arnold Nick (1999);;;;;;;;10.0
o;1;10.0;Gassmann Severin;;21;45.0;2;9.75;1;-0.25;8.5
-;6;18.5;Arnold Fabian;;13;54.5;6;18.5;0;0.0;8.75
o;8;27.25;Lemmenmeier Lukas (1997);;8;55.75;8;27.25;0;0.0;8.5
+;13;35.75;Durrer Ueli (1997);;20;52.75;13;35.75;0;0.0;9.75
o;14;45.5;Portmann Josef;*;9;55.5;14;45.5;0;0.0;8.5

15h;Andermatt Adrian;;;;;;;;;;54.0
+;;;Durrer Robin;;;;;;;;9.75
-;2;9.75;Della Torre Simon (1997);;10;55.25;1;10.0;-1;0.25;8.75
o;6;18.5;Imfeld Peter;***;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Rohrer Henry;;24;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Zimmermann Simon;*;11;55.0;9;36.75;0;0.0;8.5
-;15;45.25;Zumstein Marcel;;13;54.5;13;45.75;-2;0.5;8.75

15i;Durrer Nando (1999);;;;;;;;;;54.0
+;;;Waser Michael (1997);;;;;;;;9.75
o;2;9.75;Widmer David;;9;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Käppeli Adriano (1997);;24;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Arnold Andreas;*;11;55.0;6;27.75;2;-0.5;8.5
o;9;36.75;Rohrer André;;13;54.5;12;36.0;3;-0.75;8.5
-;15;45.25;Ming Hannes (1998);;15;54.0;15;45.25;0;0.0;8.75

16a;Gasser Dominik 1;;;;;;;;;;53.75
-;;;Arnold Lukas (1998);;;;;;;;8.75
-;4;8.75;Herger Simon;;23;35.5;5;8.5;1;-0.25;8.75
+;9;17.5;Baumgartner Silvan (1999);;24;35.25;7;18.25;-2;0.75;10.0
o;7;27.5;Odermatt Sepp;**;4;56.75;4;28.25;-3;0.75;8.5
-;12;36.0;Zberg Leo (1997);;13;54.5;12;36.0;0;0.0;8.75
-;17;44.75;Arnold Lukas (1998);;17;53.5;17;44.75;0;0.0;9.0

16b;Rohrer Ueli (1999);;;;;;;;;;53.75
+;;;Walker Sebastian;;;;;;;;9.75
o;2;9.75;Martin Robin;;12;54.75;4;8.75;2;-1.0;8.5
o;7;18.25;Schaffner Samuel;**;9;55.5;11;17.0;4;-1.25;8.5
+;10;26.75;Mignola Lorenzo (1997);;26;34.25;14;25.75;4;-1.0;10.0
o;9;36.75;Scheuber Stefan;;13;54.5;11;36.25;2;-0.5;8.5
o;15;45.25;Büchi Christian;;11;55.0;15;45.25;0;0.0;8.5

16c;Pedrazzini Diego (1998);;;;;;;;;;53.75
+;;;von Wyl Simon (1999);;;;;;;;9.75
o;2;9.75;Käslin Ruedi;;12;54.75;4;8.75;2;-1.0;8.5
+;7;18.25;Kaufmann Jens;;17;53.5;7;18.25;0;0.0;10.0
o;4;28.25;Indergand Armin;*;12;54.75;8;27.25;4;-1.0;8.5
o;9;36.75;Waser Raphael (1998);;11;55.0;9;36.75;0;0.0;8.5
o;15;45.25;Vonlaufen Lukas;*;11;55.0;16;45.0;1;-0.25;8.5

16d;Fink Bruno;;;;;;;;;;53.75
+;;;Niederberger Markus;;;;;;;;9.75
+;2;9.75;Gander Adrian;*;12;54.75;4;8.75;2;-1.0;10.0
o;2;19.75;Lussi Marco;*;4;56.75;5;18.75;3;-1.0;8.5
o;4;28.25;Odermatt Andreas;*;5;56.5;5;28.0;1;-0.25;8.5
o;9;36.75;Arnold Fabian;;13;54.5;12;36.0;3;-0.75;8.5
o;15;45.25;Fleischmann Fabian;;9;55.5;13;45.75;-2;0.5;8.5

17a;Gasser René;;;;;;;;;;53.5
o;;;Murer Remo;;;;;;;;8.5
+;5;8.5;Gander Martin (1997);;9;55.5;4;8.75;-1;0.25;9.75
+;7;18.25;Mignola Lorenzo (1997);;26;34.25;10;17.25;3;-1.0;9.75
o;5;28.0;Stöckli Stefan;*;11;55.0;7;27.5;2;-0.5;8.5
o;10;36.5;Herger Lukas;;8;55.75;7;37.25;-3;0.75;8.5
o;16;45.0;Hess Christian;;14;54.25;19;44.25;3;-0.75;8.5

17b;Kaufmann Jens;;;;;;;;;;53.5
+;;;Gisler Patrick (1997);;;;;;;;9.75
o;2;9.75;Bürgi Reto;;11;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Pedrazzini Diego (1998);;16;53.75;7;18.25;0;0.0;8.5
+;10;26.75;Waser Michael (1997);;24;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Fankhauser Hans-Jakob;*;9;55.5;9;36.75;-1;0.25;8.5
o;16;45.0;Durrer Hans;;10;55.25;15;45.25;-1;0.25;8.5

17c;Britschgi Nils (1998);;;;;;;;;;53.5
o;;;Graber Sandro;;;;;;;;8.5
+;5;8.5;Di Pietro Loris (1998);;23;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Wyrsch Hansi (1999);;17;53.5;7;18.25;0;0.0;9.75
o;5;28.0;Brun Jonas;**;7;56.0;8;27.25;3;-0.75;8.5
o;10;36.5;Gut Koni;;12;54.75;12;36.0;2;-0.5;8.5
o;16;45.0;Kempf Tobias (1999);;13;54.5;18;44.5;2;-0.5;8.5

17d;Planzer Urs;;;;;;;;;;53.5
+;;;Zumstein Marcel;;;;;;;;10.0
o;1;10.0;Niederberger Martin;*;13;54.5;5;8.5;4;-1.5;8.75
o;5;18.75;Albert Thomas;;9;55.5;5;18.75;0;0.0;8.75
o;7;27.5;Käslin Ruedi;;12;54.75;7;27.5;0;0.0;8.75
o;11;36.25;Scherer Adrian;*;10;55.25;9;36.75;-2;0.5;8.5
o;17;44.75;von Moos Adrian;;14;54.25;19;44.25;2;-0.5;8.75

17e;Bacher Peter;;;;;;;;;;53.5
o;;;Gisler Simon (1997);;;;;;;;8.5
o;5;8.5;Stadler Johannes;;13;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Odermatt Leon (1999);;26;34.25;10;17.25;-1;0.25;9.75
+;10;26.75;Käslin Ueli (1999);;23;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Scheidegger Adrian;;12;54.75;11;36.25;1;-0.25;8.5
o;16;45.0;Habegger Jürg;*;11;55.0;15;45.25;-1;0.25;8.5

17f;Arnold Lukas (1998);;;;;;;;;;53.5
-;;;Gasser Dominik 1;;;;;;;;8.75
+;4;8.75;Abächerli Fabio (1998);;25;34.5;3;9.0;-1;0.25;10.0
o;5;18.75;Zimmermann Simon;*;11;55.0;7;18.25;2;-0.5;8.5
o;8;27.25;Imfeld Christian;*;10;55.25;9;27.0;1;-0.25;8.75
-;12;36.0;Ettlin Martin (1998);;18;53.25;12;36.0;0;0.0;8.75
-;17;44.75;Gasser Dominik 1;;16;53.75;17;44.75;0;0.0;8.75

17g;Wyrsch Hansi (1999);;;;;;;;;;53.5
+;;;Enz Remo (1998);;;;;;;;9.75
o;2;9.75;von Flüe Marco;;13;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Britschgi Nils (1998);;17;53.5;7;18.25;0;0.0;8.5
+;10;26.75;Rohrer Michael (1997);;26;34.25;14;25.75;4;-1.0;9.75
o;10;36.5;Albert Thomas;;9;55.5;8;37.0;-2;0.5;8.5
o;16;45.0;Vogler Jonas (1999);;14;54.25;18;44.5;2;-0.5;8.5

18a;Ettlin Martin (1998);;;;;;;;;;53.25
-;;;Baumann Reto;;;;;;;;9.0
+;3;9.0;Kempf Tobias (1999);;13;54.5;4;8.75;1;-0.25;10.0
o;4;19.0;Herger Matthias;*;2;57.25;5;18.75;1;-0.25;8.5
o;7;27.5;Mathis Marcel;***;5;56.5;8;27.25;1;-0.25;8.5
-;12;36.0;Arnold Lukas (1998);;17;53.5;12;36.0;0;0.0;8.75
o;17;44.75;Stadler Johannes;;13;54.5;18;44.5;1;-0.25;8.5

19a;Herger André (1997);;;;;;;;;;53.0
-;;;Kaiser Sandro (1998);;;;;;;;8.75
o;4;8.75;Küchler Severin;;22;35.75;4;8.75;0;0.0;8.5
+;10;17.25;Rohrer Stefan (1999);;26;34.25;10;17.25;0;0.0;9.75
-;9;27.0;Vogler Jonas (1999);;14;54.25;9;27.0;0;0.0;9.0
o;12;36.0;Amgarten Martin;;13;54.5;12;36.0;0;0.0;8.5
o;18;44.5;Gander Adrian;*;12;54.75;17;44.75;-1;0.25;8.5

19b;Gisler Tim (1999);;;;;;;;;;53.0
-;;;Rohrer Marco (1999);;;;;;;;9.0
o;3;9.0;Amgarten Martin;;13;54.5;4;8.75;1;-0.25;8.5
+;9;17.5;Durrer Lukas (1999);;26;34.25;10;17.25;1;-0.25;10.0
o;7;27.5;Niederberger Martin;*;13;54.5;7;27.5;0;0.0;8.5
o;12;36.0;Wagner Severin (1998);;12;54.75;10;36.5;-2;0.5;8.5
o;18;44.5;von Wyl Simon (1999);;14;54.25;18;44.5;0;0.0;8.5

19c;Rohrer Marco (1999);;;;;;;;;;53.0
-;;;Gisler Tim (1999);;;;;;;;9.0
o;3;9.0;Hess Dominik;;3;57.0;4;8.75;1;-0.25;8.5
o;9;17.5;Herger Simon;;23;35.5;10;17.25;1;-0.25;8.5
+;13;26.0;Waser Andrin (1999);;25;34.5;13;26.0;0;0.0;10.0
o;12;36.0;Schärli Pius;*;12;54.75;12;36.0;0;0.0;8.5
o;18;44.5;Kempf Damian;;14;54.25;19;44.25;1;-0.25;8.5

19d;Spichtig Clemens;;;;;;;;;;53.0
o;;;Zurfluh Michael (1999);;;;;;;;8.5
+;5;8.5;Langenegger Simon;;24;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Scheuber Stefan;;13;54.5;9;17.5;3;-1.0;9.0
o;7;27.5;Schuler Philipp;**;8;55.75;7;27.5;0;0.0;8.5
o;12;36.0;Martin Robin;;12;54.75;11;36.25;-1;0.25;8.5
o;18;44.5;Baumann Reto;;14;54.25;19;44.25;1;-0.25;8.5

20a;Walker Sebastian;;;;;;;;;;52.75
o;;;Rohrer Ueli (1999);;;;;;;;8.75
o;4;8.75;Imfeld Beat;;9;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Burch Jonas (1999);;23;35.5;10;17.25;0;0.0;10.0
o;8;27.25;Müller Alain;***;8;55.75;13;26.0;5;-1.25;8.5
o;13;35.75;Styger Mike (1999);;9;55.5;12;36.0;-1;0.25;8.5
o;19;44.25;Amstutz Niklaus;*;13;54.5;17;44.75;-2;0.5;8.5

20b;Durrer Ueli (1997);;;;;;;;;;52.75
+;;;Baumgartner Silvan (1999);;;;;;;;10.0
-;1;10.0;Scheuber Stefan;;13;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Schärli Lukas;**;12;54.75;9;17.5;4;-1.25;8.5
o;8;27.25;Murer Remo;;13;54.5;8;27.25;0;0.0;8.5
o;13;35.75;Bacher Andreas;;15;54.0;13;35.75;0;0.0;8.5
o;19;44.25;Bättig Martin;*;12;54.75;17;44.75;-2;0.5;8.5

20c;Hess Tobias (1998);;;;;;;;;;52.75
o;;;Müller Mathias;;;;;;;;8.5
o;5;8.5;Zumstein Marcel;;13;54.5;5;8.5;0;0.0;8.5
-;11;17.0;Rohrer Markus I;;23;35.5;11;17.0;0;0.0;8.75
+;14;25.75;Käppeli Adriano (1997);;24;35.25;10;26.75;-4;1.0;10.0
o;13;35.75;Michel Silvan;;14;54.25;13;35.75;0;0.0;8.5
o;19;44.25;Zberg Leo (1997);;13;54.5;17;44.75;-2;0.5;8.5

21a;Gassmann Severin;;;;;;;;;;45.0
+;;;Stadler Johannes;;;;;;;;9.75
+;2;9.75;Bacher Andreas;;15;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Zimmermann Martin;**;6;56.25;5;18.75;2;-0.75;8.5
o;5;28.0;Lussi Marco;*;4;56.75;3;28.5;-2;0.5;8.5
o;10;36.5;Zurfluh Michael (1999);;10;55.25;9;36.75;-1;0.25;8.5

22a;Küchler Severin;;;;;;;;;;35.75
-;;;Kempf Tobias (1999);;;;;;;;8.75
+;4;8.75;Herger André (1997);;19;53.0;4;8.75;0;0.0;10.0
o;5;18.75;Hurschler Thomas;**;7;56.0;9;17.5;4;-1.25;8.5
o;8;27.25;Indergand Michael;;14;54.25;8;27.25;0;0.0;8.5

23a;Arnold Nick (1999);;;;;;;;;;35.5
o;;;Bacher Andreas;;;;;;;;8.5
+;5;8.5;Enz Remo (1998);;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Silvan;*;12;54.75;10;17.25;4;-1.25;8.5
o;9;27.0;Durrer Roman (1998);;23;35.5;14;25.75;5;-1.25;8.5

23b;Bissig Roman (1998);;;;;;;;;;35.5
o;;;Durrer Markus (1999);;;;;;;;8.5
o;5;8.5;Waser Michael (1997);;24;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Bucher René (1998);;26;34.25;10;17.25;-1;0.25;10.0
o;9;27.0;Ming Hannes (1998);;15;54.0;9;27.0;0;0.0;8.5

23c;Ettlin Michael (1998);;;;;;;;;;35.5
+;;;Müller Patrick (1999);;;;;;;;10.0
o;1;10.0;Indergand Michael;;14;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Odermatt Beat;;15;54.0;7;18.25;1;-0.25;8.5
o;9;27.0;Habegger Jürg;*;11;55.0;9;27.0;0;0.0;8.5

23d;Bissig Markus (1999);;;;;;;;;;35.5
-;;;Gander Martin (1997);;;;;;;;8.75
o;4;8.75;Ettlin Stefan (1997);;8;55.75;4;8.75;0;0.0;8.5
+;10;17.25;Burch Matte (1999);;26;34.25;10;17.25;0;0.0;9.75
o;9;27.0;Aeschlimann Martin;;9;55.5;9;27.0;0;0.0;8.5

23e;Enz Simon;;;;;;;;;;35.5
+;;;Rohrer Michael (1997);;;;;;;;10.0
o;1;10.0;Baumann Reto;;14;54.25;3;9.0;2;-1.0;8.5
o;6;18.5;Arnold Andreas;*;11;55.0;8;17.75;2;-0.75;8.5
o;9;27.0;Kempf Tobias (1999);;13;54.5;12;26.25;3;-0.75;8.5

23f;Rohrer Markus I;;;;;;;;;;35.5
o;;;Vogler Jonas (1999);;;;;;;;8.5
o;5;8.5;Bissig Thomas;;24;35.25;5;8.5;0;0.0;8.5
-;11;17.0;Hess Tobias (1998);;20;52.75;11;17.0;0;0.0;8.75
+;14;25.75;Odermatt Leon (1999);;26;34.25;14;25.75;0;0.0;9.75

23g;Arnold Pius (1997);;;;;;;;;;35.5
o;;;von Flüe Michael (1997);;;;;;;;8.5
+;5;8.5;Bucher René (1998);;26;34.25;4;8.75;-1;0.25;10.0
o;6;18.5;von Flüe Marco;;13;54.5;5;18.75;-1;0.25;8.5
o;9;27.0;Schärli Peter;*;8;55.75;9;27.0;0;0.0;8.5

23h;Della Torre Reto;;;;;;;;;;35.5
-;;;Zberg Leo (1997);;;;;;;;8.75
o;4;8.75;Waser Raphael (1998);;11;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;De Col Rico (1999);;25;34.5;9;17.5;-1;0.25;9.75
o;9;27.0;Fankhauser Hans-Jakob;*;9;55.5;9;27.0;0;0.0;8.5

23i;Käslin Ueli (1999);;;;;;;;;;35.5
o;;;Durrer Hans;;;;;;;;8.5
o;5;8.5;Fleischmann Fabian;;9;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;De Col Rico (1999);;25;34.5;9;17.5;-2;0.5;10.0
o;9;27.0;Bacher Peter;;17;53.5;10;26.75;1;-0.25;8.5

23j;Durrer Noldi;;;;;;;;;;35.5
-;;;Waser Andrin (1999);;;;;;;;8.75
o;4;8.75;Gut Koni;;12;54.75;4;8.75;0;0.0;8.5
o;10;17.25;Gander Martin (1997);;9;55.5;10;17.25;0;0.0;8.5
+;14;25.75;Burch Matte (1999);;26;34.25;14;25.75;0;0.0;9.75

23k;Bissig Fabian;;;;;;;;;;35.5
o;;;Michel Silvan;;;;;;;;8.5
+;5;8.5;Ming Hannes (1998);;15;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Omlin Toni;*;7;56.0;6;18.5;0;0.0;8.5
o;9;27.0;Gassmann Michael;*;4;56.75;9;27.0;0;0.0;8.5

23l;Durrer Roman (1998);;;;;;;;;;35.5
o;;;Rohrer André;;;;;;;;8.5
-;5;8.5;von Moos Adrian;;14;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Durrer Hans;;10;55.25;7;18.25;-3;1.0;8.5
+;14;25.75;Arnold Nick (1999);;23;35.5;9;27.0;-5;1.25;9.75

23m;Enz Remo (1998);;;;;;;;;;35.5
o;;;Wyrsch Hansi (1999);;;;;;;;8.5
o;5;8.5;Arnold Nick (1999);;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Wallimann Adrian (1997);;27;34.0;11;17.0;0;0.0;10.0
o;9;27.0;Schaffner Samuel;**;9;55.5;9;27.0;0;0.0;8.5

23n;Burch Jonas (1999);;;;;;;;;;35.5
-;;;Ming Hannes (1998);;;;;;;;8.75
o;4;8.75;Arnold Fabian;;13;54.5;4;8.75;0;0.0;8.5
o;10;17.25;Walker Sebastian;;20;52.75;10;17.25;0;0.0;8.5
+;14;25.75;Abächerli Fabio (1998);;25;34.5;13;26.0;-1;0.25;9.75

23o;Di Pietro Loris (1998);;;;;;;;;;35.5
o;;;Berchtold Lukas;;;;;;;;8.5
o;5;8.5;Britschgi Nils (1998);;17;53.5;5;8.5;0;0.0;8.5
o;11;17.0;von Moos Adrian;;14;54.25;9;17.5;-2;0.5;8.5
+;15;25.5;Wallimann Adrian (1997);;27;34.0;15;25.5;0;0.0;10.0

23p;Herger Simon;;;;;;;;;;35.5
o;;;von Deschwanden Patrick;;;;;;;;8.5
-;5;8.5;Gasser Dominik 1;;16;53.75;4;8.75;-1;0.25;8.75
+;10;17.25;Rohrer Marco (1999);;19;53.0;9;17.5;-1;0.25;9.75
o;9;27.0;Portmann Josef;*;9;55.5;9;27.0;0;0.0;8.5

23q;Gisler Patrick (1997);;;;;;;;;;35.5
o;;;Kaufmann Jens;;;;;;;;8.5
+;5;8.5;Durrer Lukas (1999);;26;34.25;4;8.75;-1;0.25;10.0
o;6;18.5;Hess Dominik;;3;57.0;5;18.75;-1;0.25;8.5
o;9;27.0;Langenstein Philip;;6;56.25;8;27.25;-1;0.25;8.5

23r;Gasser Dominik 2 (1998);;;;;;;;;;35.5
-;;;Bucher René (1998);;;;;;;;8.75
o;4;8.75;Herger Lukas;;8;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Kempf Damian;;14;54.25;10;17.25;0;0.0;8.5
+;14;25.75;Rohrer Stefan (1999);;26;34.25;14;25.75;0;0.0;9.75

24a;Kempf David (1998);;;;;;;;;;35.25
o;;;Wallimann Remo (1997);;;;;;;;8.5
+;5;8.5;Müller Patrick (1999);;24;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Gassmann Michael;*;4;56.75;11;17.0;4;-1.25;8.5
o;10;26.75;von Ah Markus;;9;55.5;8;27.25;-2;0.5;8.5

24b;Bissig Thomas;;;;;;;;;;35.25
o;;;Odermatt Beat;;;;;;;;8.5
