4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
-;7;47.25;Ettlin Stefan;**;5;57.0;4;48.0;-3;0.75;9.0

8i;Heiniger Marco;*;;;;;;;;;56.25
-;;;Vonlaufen Lukas;*;;;;;;;8.75
+;5;8.75;Bürgi Reto;*;11;55.5;6;8.5;1;-0.25;10.0
-;6;18.75;Reichmuth Marco;**;4;57.25;8;18.25;2;-0.5;8.75
+;11;27.5;Zumstein Patrick;;11;55.5;7;28.5;-4;1.0;9.75
+;8;37.25;Barmettler Renato (2003);;15;54.5;9;37.0;1;-0.25;10.0
-;7;47.25;Ettlin Martin;;6;56.75;5;47.75;-2;0.5;9.0

8j;Zurﬂuh Roman;**;;;;;;;;;56.25
+;;;Kessler Joel;*;;;;;;;9.75
-;3;9.75;Gasser Peter;*;11;55.5;3;9.75;0;0.0;9.0
+;6;18.75;Lustenberger Florian (2002);;11;55.5;3;19.75;-3;1.0;9.75
+;7;28.5;Van Messel Noe (2002);*;5;57.0;7;28.5;0;0.0;10.0
o;3;38.5;Odermatt Christian;**;7;56.5;5;38.0;2;-0.5;8.75
-;7;47.25;Scheuber Lutz;**;10;55.75;9;46.75;2;-0.5;9.0

9a;Bieri Christian;**;;;;;;;;;56.0
o;;;Ettlin Stefan;**;;;;;;;8.75
-;5;8.75;Vonlaufen Lukas;*;26;35.0;5;8.75;0;0.0;8.75
+;11;17.5;Spichtig Aldo;;16;54.25;7;18.5;-4;1.0;10.0
+;11;27.5;Hurschler Tobias (2003);;13;55.0;9;28.0;-2;0.5;10.0
o;7;37.5;Mathis Marcel;***;4;57.25;7;37.5;0;0.0;8.5
+;12;46.0;Kaufmann Jens;;15;54.5;12;46.0;0;0.0;10.0

9b;Bieri Elias;;;;;;;;;;56.0
-;;;Mehr Lars (2002);;;;;;;;9.0
+;4;9.0;Ettlin Mario (2003);;29;34.25;5;8.75;1;-0.25;9.75
-;6;18.75;Vonlaufen Lukas;*;26;35.0;11;17.5;5;-1.25;8.75
o;11;27.5;Bürgi Reto;*;11;55.5;13;27.0;2;-0.5;8.5
+;13;36.0;Kathriner Severin;;22;52.75;14;35.75;1;-0.25;10.0
+;12;46.0;Odermatt Lars (2002);;18;53.75;15;45.25;3;-0.75;10.0

9c;Scherrer Fabian (2002);;;;;;;;;;56.0
+;;;Durrer Jonas (2003);;;;;;;;10.0
o;2;10.0;Gassmann Michael;*;33;18.75;5;8.75;3;-1.25;8.5
o;7;18.5;Zimmermann Martin;**;7;56.5;7;18.5;0;0.0;8.5
+;13;27.0;Britschgi Marcel (2003);;24;35.5;13;27.0;0;0.0;10.0
