4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
+;17;44.75;Roner Remo (2002);;19;53.5;16;45.0;-1;0.25;9.75

15b;Giger Janik (2002);;;;;;;;;;54.5
o;;;Rohrer Marco;;;;;;;;8.75
o;5;8.75;Barmettler Renato (2003);;15;54.5;6;8.5;1;-0.25;8.5
+;12;17.25;Durrer Ive;;24;35.5;12;17.25;0;0.0;9.75
-;13;27.0;Albert Thomas;;16;54.25;14;26.75;1;-0.25;9.0
+;13;36.0;Gander Benjamin;;20;53.25;13;36.0;0;0.0;10.0
o;12;46.0;Hess Dominik;*;10;55.75;12;46.0;0;0.0;8.5

15c;Barmettler Renato (2003);;;;;;;;;;54.5
o;;;Achermann Simon;;;;;;;;8.5
+;6;8.5;Giger Janik (2002);;15;54.5;5;8.75;-1;0.25;10.0
o;7;18.5;Reichmuth Lukas;*;14;54.75;12;17.25;5;-1.25;8.5
+;13;27.0;Hürlimann Marco (2002);;12;55.25;13;27.0;0;0.0;10.0
o;9;37.0;Heiniger Marco;*;8;56.25;8;37.25;-1;0.25;8.5
-;14;45.5;Ming Christian 2;;15;54.5;14;45.5;0;0.0;9.0

15d;Kaufmann Jens;;;;;;;;;;54.5
o;;;Schürpf Guido;;;;;;;;8.5
-;6;8.5;Hurschler Mauri;;24;35.5;6;8.5;0;0.0;8.75
+;12;17.25;Christen Silvan (2002);;24;35.5;8;18.25;-4;1.0;10.0
-;12;27.25;Kessler Joel;*;25;35.25;16;26.25;4;-1.0;8.75
+;13;36.0;Betschart Roger (2003);;15;54.5;13;36.0;0;0.0;10.0
o;12;46.0;Bieri Christian;**;9;56.0;12;46.0;0;0.0;8.5

15e;Gisler Silvan (2002);;;;;;;;;;54.5
+;;;Durrer Ive;;;;;;;;9.75
-;3;9.75;Ettlin Michael;;14;54.75;2;10.0;-1;0.25;9.0
o;6;18.75;Odermatt Andreas;*;8;56.25;7;18.5;1;-0.25;8.5
o;12;27.25;Vogler Jonas;;15;54.5;11;27.5;-1;0.25;8.5
-;14;35.75;Brunner Timon;;14;54.75;13;36.0;-1;0.25;8.75
+;18;44.5;Lussi Roland (2003);;21;53.0;18;44.5;0;0.0;10.0

15f;Ming Christian;*;;;;;;;;;54.5
-;;;Keller Janik;*;;;;;;;8.75
-;5;8.75;Elmiger Andreas;;13;55.0;2;10.0;-3;1.25;8.75
+;11;17.5;Arnold Samuel (2001);;24;35.5;7;18.5;-4;1.0;9.75
+;12;27.25;Kälin Markus (2001);;18;53.75;8;28.25;-4;1.0;10.0
-;8;37.25;Kälin Remo;*;10;55.75;8;37.25;0;0.0;8.75
o;12;46.0;Scherrer Fabian (2002);;9;56.0;12;46.0;0;0.0;8.5

15g;Aebli Nino;;;;;;;;;;54.5
+;;;Waser Christoph (2002);;;;;;;;9.75
o;3;9.75;Bucher André (2001);;18;53.75;3;9.75;0;0.0;8.75
o;7;18.5;Della Torre Simon;;14;54.75;6;18.75;-1;0.25;8.5
+;13;27.0;Keller Janik;*;27;34.75;16;26.25;3;-0.75;10.0
-;9;37.0;Graber Sandro;;13;55.0;8;37.25;-1;0.25;8.75
o;13;45.75;Bürgi Michael (2002);;13;55.0;15;45.25;2;-0.5;8.75

15h;Vogler Jonas;;;;;;;;;;54.5
+;;;Bissig Julian (2003);;;;;;;;9.75
-;3;9.75;Muff Reto;;16;54.25;3;9.75;0;0.0;9.0
-;6;18.75;Kessler Joel;*;25;35.25;12;17.25;6;-1.5;8.75
+;11;27.5;Gisler Silvan (2002);;15;54.5;12;27.25;1;-0.25;10.0
o;7;37.5;Bürli Roger;**;7;56.5;6;37.75;-1;0.25;8.5
o;12;46.0;Kälin Remo;*;10;55.75;12;46.0;0;0.0;8.5

15i;Zimmermann Raffael;;;;;;;;;;54.5
-;;;Ulrich Michael (2003);;;;;;;;8.75
+;5;8.75;Durrer Pascal (2002);;30;34.0;6;8.5;1;-0.25;10.0
-;6;18.75;Villiger Cyrill;*;8;56.25;12;17.25;6;-1.5;8.75
o;11;27.5;Ming Christian 2;;15;54.5;12;27.25;1;-0.25;8.5
+;13;36.0;Waser David (2002);;17;54.0;14;35.75;1;-0.25;10.0
o;12;46.0;Gisler Jonas (2001);*;10;55.75;12;46.0;0;0.0;8.5

15j;Betschart Roger (2003);;;;;;;;;;54.5
-;;;Ettlin Kevin (2001);;;;;;;;8.75
o;5;8.75;Graber Sandro;;13;55.0;5;8.75;0;0.0;8.5
-;12;17.25;von Matt Lars (2002);;27;34.75;11;17.5;-1;0.25;8.75
+;17;26.0;Ettlin Mario (2003);;29;34.25;18;25.75;1;-0.25;10.0
o;13;36.0;Kaufmann Jens;;15;54.5;13;36.0;0;0.0;8.5
+;18;44.5;Gander Benjamin;;20;53.25;17;44.75;-1;0.25;10.0

15k;Doppmann Ueli;;;;;;;;;;54.5
o;;;Wallimann Remo;;;;;;;;8.5
+;6;8.5;Würsch Kevin (2003);;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Gander Adrian;*;14;54.75;12;17.25;5;-1.25;8.75
+;12;27.25;Burch Thomas;;16;54.25;12;27.25;0;0.0;9.75
o;9;37.0;Durrer Ueli;;11;55.5;8;37.25;-1;0.25;8.75
o;13;45.75;Durrer Markus;;10;55.75;13;45.75;0;0.0;8.75

15l;Ming Christian 2;;;;;;;;;;54.5
+;;;Hurschler Mauri;;;;;;;;10.0
o;2;10.0;Lustenberger Florian (2002);;11;55.5;2;10.0;0;0.0;8.5
o;7;18.5;Arnold Marcel;*;19;53.5;10;17.75;3;-0.75;8.75
+;12;27.25;Zimmermann Raffael;;15;54.5;11;27.5;-1;0.25;9.75
o;9;37.0;Gwerder Carlo;**;12;55.25;9;37.0;0;0.0;8.5
-;14;45.5;Barmettler Renato (2003);;15;54.5;14;45.5;0;0.0;9.0

16a;Gasser Dominik 2;;;;;;;;;;54.25
o;;;Troxler Jonas;;;;;;;;8.75
+;5;8.75;Bissig Julian (2003);;25;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Schürpf Bruno;*;7;56.5;11;17.5;5;-1.25;8.5
+;12;27.25;Facchini Oscar;;24;35.5;13;27.0;1;-0.25;9.75
o;9;37.0;Reichmuth Roland;*;11;55.5;9;37.0;0;0.0;8.5
-;14;45.5;Egli Adrian (2002);;17;54.0;15;45.25;1;-0.25;8.75

16b;Spichtig Aldo;;;;;;;;;;54.25
-;;;Ettlin Martin;;;;;;;;8.75
+;5;8.75;Albert Thomas;;16;54.25;6;8.5;1;-0.25;9.75
o;7;18.5;Bieri Christian;**;9;56.0;11;17.5;4;-1.0;8.5
-;13;27.0;Gander Benjamin;;20;53.25;12;27.25;-1;0.25;8.75
+;14;35.75;Käslin Ueli;;23;44.25;14;35.75;0;0.0;10.0
o;13;45.75;Hess Dominik;*;10;55.75;12;46.0;-1;0.25;8.5

16c;Muff Reto;;;;;;;;;;54.25
+;;;von Matt Lars (2002);;;;;;;;9.75
-;3;9.75;Vogler Jonas;;15;54.5;3;9.75;0;0.0;9.0
o;6;18.75;Rohrer Marco;**;1;111.25;1;37.5;-5;18.75;8.5
o;12;27.25;Waser Adrian;;8;56.25;11;27.5;-1;0.25;8.5
+;14;35.75;Rohrer Marco;;1;111.25;1;74.25;-13;38.5;10.0
o;13;45.75;Niederberger Markus;*;10;55.75;13;45.75;0;0.0;8.5

16d;Durrer Robin;*;;;;;;;;;54.25
-;;;Kälin Remo;*;;;;;;;8.75
+;5;8.75;Suter Lukas (2002);;18;53.75;2;10.0;-3;1.25;9.75
-;7;18.5;Achermann Simon;;10;55.75;3;19.75;-4;1.25;8.75
+;12;27.25;Baumann Marco;;11;55.5;8;28.25;-4;1.0;9.75
o;9;37.0;Villiger Cyrill;*;8;56.25;12;36.25;3;-0.75;8.75
o;13;45.75;Suter Raphael;;14;54.75;16;45.0;3;-0.75;8.5

16e;Ulrich Michael (2003);;;;;;;;;;54.25
-;;;Zimmermann Raffael;;;;;;;;8.75
o;5;8.75;von Ah Markus;;16;54.25;4;9.0;-1;0.25;8.5
+;12;17.25;Garovi Matteo (2003);;24;35.5;13;17.0;1;-0.25;9.75
+;13;27.0;Ettlin Kevin (2001);;24;35.5;13;27.0;0;0.0;9.75
-;10;36.75;Bürgi Reto;*;11;55.5;10;36.75;0;0.0;9.0
o;13;45.75;Amgarten Martin;*;13;55.0;15;45.25;2;-0.5;8.5

16f;Schmid Simon;*;;;;;;;;;54.25
o;;;Elsener Marcel;*;;;;;;;8.5
o;6;8.5;Grab Daniel;**;14;54.75;6;8.5;0;0.0;8.5
+;13;17.0;Vogler Jakob;;18;53.75;7;18.5;-6;1.5;10.0
-;13;27.0;Gasser Dominik 1;;11;55.5;8;28.25;-5;1.25;8.75
o;14;35.75;Gander Adrian;*;14;54.75;14;35.75;0;0.0;8.5
+;19;44.25;Ettlin Thomas;;20;53.25;17;44.75;-2;0.5;10.0

16g;Burch Thomas;;;;;;;;;;54.25
+;;;Reichlin Reto (2002);;;;;;;;10.0
-;2;10.0;Brunner Timon;;14;54.75;2;10.0;0;0.0;8.75
o;6;18.75;Kälin Roland;**;12;55.25;12;17.25;6;-1.5;8.5
o;12;27.25;Doppmann Ueli;;15;54.5;12;27.25;0;0.0;8.5
+;14;35.75;Crotta Robin (2001);;21;53.0;14;35.75;0;0.0;10.0
o;13;45.75;Hürlimann Marco (2002);;12;55.25;15;45.25;2;-0.5;8.5

16h;von Ah Markus;;;;;;;;;;54.25
-;;;Wagner Andreas (2002);;;;;;;;9.0
+;4;9.0;Ulrich Michael (2003);;16;54.25;5;8.75;1;-0.25;9.75
o;6;18.75;Stöckli Damian;*;10;55.75;8;18.25;2;-0.5;8.5
o;12;27.25;Lüthy Ralph;;11;55.5;12;27.25;0;0.0;8.5
+;14;35.75;Ulrich Damian;;16;54.25;14;35.75;0;0.0;10.0
o;13;45.75;Baumann Marco;;11;55.5;14;45.5;1;-0.25;8.5

16i;Ulrich Damian;;;;;;;;;;54.25
o;;;Waser Raphael;;;;;;;;8.5
o;6;8.5;Käslin Ueli;;23;44.25;6;8.5;0;0.0;8.75
+;12;17.25;Ettlin Mario (2003);;29;34.25;12;17.25;0;0.0;10.0
o;12;27.25;Amgarten Martin;*;13;55.0;14;26.75;2;-0.5;8.5
o;14;35.75;von Ah Markus;;16;54.25;14;35.75;0;0.0;8.75
+;18;44.5;Achermann Ueli (2001);;21;53.0;18;44.5;0;0.0;9.75

16j;Albert Thomas;;;;;;;;;;54.25
o;;;Eﬃnger Peter;;;;;;;;8.5
o;6;8.5;Spichtig Aldo;;16;54.25;5;8.75;-1;0.25;8.5
+;13;17.0;Risi Janik;;24;35.5;12;17.25;-1;0.25;9.75
-;14;26.75;Giger Janik (2002);;15;54.5;13;27.0;-1;0.25;9.0
+;14;35.75;Reichlin Reto (2002);;22;52.75;14;35.75;0;0.0;10.0
o;13;45.75;Gosswiler Livio;*;13;55.0;15;45.25;2;-0.5;8.5

17a;Amrein Joel (2003);;;;;;;;;;54.0
+;;;Britschgi Marcel (2003);;;;;;;;9.75
o;3;9.75;Durrer Lukas;;18;53.75;2;10.0;-1;0.25;8.5
o;8;18.25;Niederberger Markus;*;10;55.75;12;17.25;4;-1.0;8.5
-;14;26.75;Käslin Ueli;;23;44.25;14;26.75;0;0.0;9.0
+;14;35.75;Lussi Roland (2003);;21;53.0;14;35.75;0;0.0;9.75
o;14;45.5;Schuler Thomas;;11;55.5;13;45.75;-1;0.25;8.5

17b;Waser David (2002);;;;;;;;;;54.0
-;;;Kathriner Severin;;;;;;;;8.75
+;5;8.75;Gander Sebastian (2003);;28;34.5;6;8.5;1;-0.25;10.0
o;6;18.75;Käslin Ruedi;*;10;55.75;12;17.25;6;-1.5;8.5
o;12;27.25;Zimmermann Simon;**;11;55.5;13;27.0;1;-0.25;8.5
o;14;35.75;Zimmermann Raffael;;15;54.5;13;36.0;-1;0.25;8.5
+;19;44.25;Reichlin Reto (2002);;22;52.75;19;44.25;0;0.0;9.75

17c;Wiget Ueli;;;;;;;;;;54.0
+;;;Garovi Matteo (2003);;;;;;;;9.75
-;3;9.75;Ming Hannes;;15;54.5;2;10.0;-1;0.25;8.75
o;7;18.5;Bürgi Reto;*;11;55.5;13;17.0;6;-1.5;8.5
+;13;27.0;Durrer Markus;;10;55.75;12;27.25;-1;0.25;10.0
o;9;37.0;Hurschler Thomas;**;4;57.25;8;37.25;-1;0.25;8.5
o;14;45.5;Zumstein Patrick;;11;55.5;14;45.5;0;0.0;8.5

17d;Arnold Kilian (2002);;;;;;;;;;54.0
+;;;Bucher Sandro;;;;;;;;10.0
o;2;10.0;Waser Raphael;;14;54.75;2;10.0;0;0.0;8.5
o;7;18.5;Barmettler Peter;*;13;55.0;13;17.0;6;-1.5;8.5
+;13;27.0;Michel Peter (2003);;24;35.5;13;27.0;0;0.0;10.0
o;9;37.0;Waser Adrian;;8;56.25;8;37.25;-1;0.25;8.5
o;14;45.5;Bürgi Reto;*;11;55.5;13;45.75;-1;0.25;8.5

17e;Egli Adrian (2002);;;;;;;;;;54.0
+;;;Vogler Jakob;;;;;;;;9.75
+;3;9.75;Durrer Jan (2003);;24;35.5;3;9.75;0;0.0;9.75
o;4;19.5;Durrer Nando;*;13;55.0;7;18.5;3;-1.0;8.75
o;8;28.25;Reichmuth Lukas;*;14;54.75;12;27.25;4;-1.0;8.5
o;10;36.75;Barmettler Peter;*;13;55.0;10;36.75;0;0.0;8.5
-;15;45.25;Gasser Dominik 2;;16;54.25;14;45.5;-1;0.25;8.75

17f;Murpf Dario;;;;;;;;;;54.0
+;;;Blumenthal Lino (2002);;;;;;;;9.75
o;3;9.75;Schürpf Guido;;14;54.75;3;9.75;0;0.0;8.5
+;8;18.25;Rohrer Michael;;20;53.25;7;18.5;-1;0.25;10.0
o;8;28.25;Schuler Philipp;**;5;57.0;12;27.25;4;-1.0;8.5
o;10;36.75;Käslin Ruedi;*;10;55.75;8;37.25;-2;0.5;8.5
-;15;45.25;Bucher André (2001);;18;53.75;16;45.0;1;-0.25;8.75

18a;Müller Mathias;;;;;;;;;;53.75
-;;;Imfeld Beat;;;;;;;;9.0
+;4;9.0;Ettlin Kevin (2001);;24;35.5;5;8.75;1;-0.25;10.0
-;5;19.0;Langensand Stefan;*;11;55.5;7;18.5;2;-0.5;9.0
o;9;28.0;Käslin Benno;*;5;57.0;13;27.0;4;-1.0;8.5
o;11;36.5;Suter Samuel;;12;55.25;11;36.5;0;0.0;8.75
o;15;45.25;Baumann Lukas;;12;55.25;14;45.5;-1;0.25;8.5

18b;Durrer Lukas;;;;;;;;;;53.75
+;;;Zgraggen Remo (2003);;;;;;;;10.0
+;2;10.0;Amrein Joel (2003);;17;54.0;3;9.75;1;-0.25;9.75
o;3;19.75;Gwerder Dario;**;3;57.5;6;18.75;3;-1.0;8.5
o;8;28.25;Suter Beat;;12;55.25;7;28.5;-1;0.25;8.5
o;10;36.75;Elsener Adrian;**;11;55.5;9;37.0;-1;0.25;8.5
o;15;45.25;Troxler Jonas;;13;55.0;15;45.25;0;0.0;8.5

18c;Bucher André (2001);;;;;;;;;;53.75
+;;;Gander Michael;;;;;;;;9.75
+;3;9.75;Aebli Nino;;15;54.5;3;9.75;0;0.0;9.75
o;4;19.5;Hurschler Thomas;**;4;57.25;6;18.75;2;-0.75;8.5
o;9;28.0;Gwerder Carlo;**;12;55.25;12;27.25;3;-0.75;8.5
o;11;36.5;Mehr Lars (2002);;12;55.25;12;36.25;1;-0.25;8.5
-;16;45.0;Murpf Dario;;17;54.0;15;45.25;-1;0.25;8.75

18d;von Flüe Michael;;;;;;;;;;53.75
o;;;Suter Lukas (2002);;;;;;;;8.75
+;5;8.75;von Büren Thomas (2002);;29;34.25;6;8.5;1;-0.25;9.75
o;7;18.5;Gosswiler Livio;*;13;55.0;13;17.0;6;-1.5;8.5
+;13;27.0;Arnold Samuel (2001);;24;35.5;13;27.0;0;0.0;9.75
o;10;36.75;Muff Armin;**;9;56.0;8;37.25;-2;0.5;8.5
o;15;45.25;Lüthy Ralph;;11;55.5;13;45.75;-2;0.5;8.5

18e;Odermatt Lars (2002);;;;;;;;;;53.75
o;;;Fellmann Simon;;;;;;;;8.5
+;6;8.5;Rogenmoser Luca (2003);;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Lustenberger Marc (2003);;12;55.25;8;18.25;1;-0.25;8.5
+;13;27.0;Britschgi Markus;;24;35.5;13;27.0;0;0.0;9.75
o;10;36.75;Fässler Dominic;**;9;56.0;8;37.25;-2;0.5;8.5
o;15;45.25;Bieri Elias;;9;56.0;12;46.0;-3;0.75;8.5

18f;Vogler Jakob;;;;;;;;;;53.75
o;;;Egli Adrian (2002);;;;;;;;8.5
+;6;8.5;Pedrazzini Lorenzo (2002);;30;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Schmid Simon;*;16;54.25;13;17.0;6;-1.5;8.5
+;13;27.0;Kathriner Andreas (2003);;24;35.5;14;26.75;1;-0.25;9.75
o;10;36.75;Schuler Philipp;**;5;57.0;8;37.25;-2;0.5;8.5
o;15;45.25;Widmer Simon;;12;55.25;15;45.25;0;0.0;8.5

18g;Kälin Markus (2001);;;;;;;;;;53.75
+;;;Durrer Pascal (2002);;;;;;;;9.75
+;3;9.75;Michel Peter (2003);;24;35.5;2;10.0;-1;0.25;10.0
o;3;19.75;Fellmann Roman;**;6;56.75;8;18.25;5;-1.5;8.5
o;8;28.25;Ming Christian;*;15;54.5;12;27.25;4;-1.0;8.5
o;10;36.75;Hurschler Tobias (2003);;13;55.0;11;36.5;1;-0.25;8.5
o;15;45.25;Albert Stefan (2002);;14;54.75;16;45.0;1;-0.25;8.5

18h;Hürlimann Ueli (2001);;;;;;;;;;53.75
-;;;Gander Benjamin;;;;;;;;9.0
-;4;9.0;Ettlin Martin;;6;56.75;5;8.75;1;-0.25;9.0
o;9;18.0;Hess Dominik;*;10;55.75;11;17.5;2;-0.5;8.5
+;15;26.5;von Matt Lars (2002);;27;34.75;16;26.25;1;-0.25;10.0
o;11;36.5;Ettlin Michael;;14;54.75;12;36.25;1;-0.25;8.75
o;15;45.25;Achermann Simon;;10;55.75;13;45.75;-2;0.5;8.5

18i;Suter Lukas (2002);;;;;;;;;;53.75
+;;;Albert Stefan (2002);;;;;;;;10.0
+;2;10.0;von Flüe Michael;;18;53.75;5;8.75;3;-1.25;9.75
o;3;19.75;Durrer Robin;*;16;54.25;7;18.5;4;-1.25;8.5
o;8;28.25;Schuler Alex;;10;55.75;8;28.25;0;0.0;8.5
o;10;36.75;Gasser Peter;*;11;55.5;10;36.75;0;0.0;8.5
o;15;45.25;Berchtold Kilian (2001);;12;55.25;15;45.25;0;0.0;8.5

19a;Roner Remo (2002);;;;;;;;;;53.5
+;;;Rohrer Michael;;;;;;;;9.75
+;3;9.75;Crotta Robin (2001);;21;53.0;3;9.75;0;0.0;9.75
o;4;19.5;Rohrer Ivan;**;9;56.0;7;18.5;3;-1.0;8.5
o;9;28.0;Kälin Remo;*;10;55.75;12;27.25;3;-0.75;8.5
o;11;36.5;Elmiger Andreas;;13;55.0;11;36.5;0;0.0;8.5
o;16;45.0;Ming Hannes;;15;54.5;17;44.75;1;-0.25;8.5

19b;Arnold Marcel;*;;;;;;;;;53.5
-;;;Niederberger Markus;*;;;;;;;8.75
-;5;8.75;Waser Adrian;;8;56.25;2;10.0;-3;1.25;9.0
+;10;17.75;Ming Christian 2;;15;54.5;7;18.5;-3;0.75;9.75
-;11;27.5;Wallimann Remo;;8;56.25;8;28.25;-3;0.75;9.0
o;11;36.5;Käslin Benno;*;5;57.0;9;37.0;-2;0.5;8.5
o;16;45.0;Waser Christoph (2002);;11;55.5;14;45.5;-2;0.5;8.5

19c;Rohrer Timo (2001);;;;;;;;;;53.5
o;;;Hurschler Tobias (2003);;;;;;;;8.5
+;6;8.5;Bacher Andreas;;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Käslin Benno;*;5;57.0;12;17.25;5;-1.25;8.5
-;13;27.0;Ming Hannes;;15;54.5;12;27.25;-1;0.25;9.0
o;13;36.0;Gander Michael;;13;55.0;12;36.25;-1;0.25;8.5
-;18;44.5;Gander Adrian;*;14;54.75;13;45.75;-5;1.25;9.0

19d;Blumenthal Lino (2002);;;;;;;;;;53.5
o;;;Murpf Dario;;;;;;;;8.5
o;6;8.5;Britschgi Markus;;24;35.5;5;8.75;-1;0.25;8.5
+;13;17.0;Zgraggen Remo (2003);;30;34.0;13;17.0;0;0.0;9.75
+;14;26.75;Bucher Sandro;;25;35.25;14;26.75;0;0.0;9.75
o;11;36.5;Fellmann Roman;**;6;56.75;10;36.75;-1;0.25;8.5
o;16;45.0;Gasser Dominik 1;;11;55.5;14;45.5;-2;0.5;8.5

20a;Gander Benjamin;;;;;;;;;;53.25
-;;;Hürlimann Ueli (2001);;;;;;;;9.0
+;4;9.0;Kathriner Andreas (2003);;24;35.5;6;8.5;2;-0.5;9.75
o;6;18.75;Gwerder Carlo;**;12;55.25;12;17.25;6;-1.5;8.5
-;12;27.25;Spichtig Aldo;;16;54.25;13;27.0;1;-0.25;8.75
o;13;36.0;Giger Janik (2002);;15;54.5;13;36.0;0;0.0;8.75
o;17;44.75;Betschart Roger (2003);;15;54.5;18;44.5;1;-0.25;8.5

20b;Rohrer Michael;;;;;;;;;;53.25
o;;;Roner Remo (2002);;;;;;;;8.5
+;6;8.5;Antonini Joël (2003);;29;34.25;5;8.75;-1;0.25;10.0
o;7;18.5;Murpf Dario;;17;54.0;8;18.25;1;-0.25;8.5
-;13;27.0;Tschümperlin Justin (2003);;24;35.5;14;26.75;1;-0.25;8.75
-;14;35.75;Schmid Joel;;20;53.25;14;35.75;0;0.0;8.75
-;18;44.5;Crotta Robin (2001);;21;53.0;19;44.25;1;-0.25;8.75

20c;Ettlin Thomas;;;;;;;;;;53.25
o;;;Bürgi Michael (2002);;;;;;;;8.5
-;6;8.5;Reichlin Reto (2002);;22;52.75;6;8.5;0;0.0;9.0
-;11;17.5;Crotta Robin (2001);;21;53.0;8;18.25;-3;0.75;8.75
+;16;26.25;Pedrazzini Diego;;25;35.25;14;26.75;-2;0.5;10.0
o;12;36.25;Schuler Thomas;;11;55.5;13;36.0;1;-0.25;8.5
o;17;44.75;Schmid Simon;*;16;54.25;19;44.25;2;-0.5;8.5

20d;Schmid Joel;;;;;;;;;;53.25
o;;;Zumstein Patrick;;;;;;;;8.5
o;6;8.5;Gasser Dominik 1;;11;55.5;6;8.5;0;0.0;8.5
+;13;17.0;Würsch Kevin (2003);;24;35.5;13;17.0;0;0.0;9.75
-;14;26.75;Kaiser Sandro;;26;35.0;16;26.25;2;-0.5;9.0
-;14;35.75;Rohrer Michael;;20;53.25;14;35.75;0;0.0;8.75
o;18;44.5;Rohrer Marco;;1;111.25;1;92.5;-17;48.0;8.75

21a;Lussi Roland (2003);;;;;;;;;;53.0
o;;;Facchini Oscar;;;;;;;;8.75
o;5;8.75;Baumann Lukas;;12;55.25;5;8.75;0;0.0;8.5
+;12;17.25;Durrer Pascal (2002);;30;34.0;13;17.0;1;-0.25;10.0
o;12;27.25;Villiger Cyrill;*;8;56.25;16;26.25;4;-1.0;8.5
o;14;35.75;Amrein Joel (2003);;17;54.0;14;35.75;0;0.0;8.75
o;18;44.5;Gisler Silvan (2002);;15;54.5;18;44.5;0;0.0;8.5

21b;Crotta Robin (2001);;;;;;;;;;53.0
+;;;Gander Sebastian (2003);;;;;;;;9.75
o;3;9.75;Roner Remo (2002);;19;53.5;3;9.75;0;0.0;8.5
-;8;18.25;Ettlin Thomas;;20;53.25;11;17.5;3;-0.75;8.75
-;13;27.0;Durrer Jan (2003);;24;35.5;14;26.75;1;-0.25;8.75
o;14;35.75;Burch Thomas;;16;54.25;14;35.75;0;0.0;8.5
-;19;44.25;Rohrer Michael;;20;53.25;18;44.5;-1;0.25;8.75

21c;Achermann Ueli (2001);;;;;;;;;;53.0
o;;;Della Torre Simon;;;;;;;;8.5
o;6;8.5;Christen Silvan (2002);;24;35.5;6;8.5;0;0.0;8.5
-;13;17.0;Gander Sebastian (2003);;28;34.5;13;17.0;0;0.0;9.0
+;17;26.0;Stalder Tim;;29;34.25;18;25.75;1;-0.25;10.0
o;13;36.0;Durrer Markus;;10;55.75;13;36.0;0;0.0;8.5
o;18;44.5;Ulrich Damian;;16;54.25;18;44.5;0;0.0;8.5

22a;Reichlin Reto (2002);;;;;;;;;;52.75
o;;;Burch Thomas;;;;;;;;8.5
-;6;8.5;Ettlin Thomas;;20;53.25;6;8.5;0;0.0;9.0
+;11;17.5;Stalder Tim;;29;34.25;12;17.25;1;-0.25;9.75
o;12;27.25;Gosswiler Livio;*;13;55.0;14;26.75;2;-0.5;8.5
o;14;35.75;Albert Thomas;;16;54.25;14;35.75;0;0.0;8.5
o;19;44.25;Waser David (2002);;17;54.0;19;44.25;0;0.0;8.5

22b;Kathriner Severin;;;;;;;;;;52.75
-;;;Waser David (2002);;;;;;;;8.75
o;5;8.75;Durrer Jonas (2003);;8;56.25;6;8.5;1;-0.25;8.5
+;12;17.25;Christen Thomas;;25;35.25;13;17.0;1;-0.25;9.75
-;13;27.0;Christen Silvan (2002);;24;35.5;14;26.75;1;-0.25;8.75
o;14;35.75;Bieri Elias;;9;56.0;13;36.0;-1;0.25;8.5
o;19;44.25;Brunner Timon;;14;54.75;17;44.75;-2;0.5;8.5

23a;Käslin Ueli;;;;;;;;;;44.25
o;;;Pedrazzini Diego;;;;;;;;8.5
+;6;8.5;Ulrich Damian;;16;54.25;6;8.5;0;0.0;9.75
o;8;18.25;Gasser Dominik 1;;11;55.5;8;18.25;0;0.0;8.5
-;14;26.75;Amrein Joel (2003);;17;54.0;14;26.75;0;0.0;9.0
o;14;35.75;Spichtig Aldo;;16;54.25;14;35.75;0;0.0;8.5

24a;Michel Peter (2003);;;;;;;;;;35.5
+;;;Mignola Michele;;;;;;;;10.0
o;2;10.0;Kälin Markus (2001);;18;53.75;3;9.75;1;-0.25;8.5
o;7;18.5;Ambühl Joel;**;7;56.5;6;18.75;-1;0.25;8.5
o;13;27.0;Arnold Kilian (2002);;17;54.0;13;27.0;0;0.0;8.5

24b;Wagner Andreas (2002);;;;;;;;;;35.5
-;;;von Ah Markus;;;;;;;;8.75
o;5;8.75;Durrer Markus;;10;55.75;4;9.0;-1;0.25;8.5
+;12;17.25;Tschümperlin Justin (2003);;24;35.5;8;18.25;-4;1.0;9.75
o;13;27.0;Waser Christoph (2002);;11;55.5;13;27.0;0;0.0;8.5

24c;Durrer Jan (2003);;;;;;;;;;35.5
+;;;Pedrazzini Lorenzo (2002);;;;;;;;9.75
o;3;9.75;Egli Adrian (2002);;17;54.0;3;9.75;0;0.0;8.5
o;8;18.25;Albert Stefan (2002);;14;54.75;8;18.25;0;0.0;8.5
-;14;26.75;Crotta Robin (2001);;21;53.0;13;27.0;-1;0.25;8.75

24d;Rogenmoser Luca (2003);;;;;;;;;;35.5
o;;;Ming Hannes;;;;;;;;8.5
o;6;8.5;Odermatt Lars (2002);;18;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Küchler Severin;;24;35.5;13;17.0;0;0.0;8.5
+;19;25.5;Durrer Pascal (2002);;30;34.0;19;25.5;0;0.0;10.0

24e;Christen Silvan (2002);;;;;;;;;;35.5
o;;;Elmiger Andreas;;;;;;;;8.5
+;6;8.5;Achermann Ueli (2001);;21;53.0;6;8.5;0;0.0;9.75
o;8;18.25;Kaufmann Jens;;15;54.5;12;17.25;4;-1.0;8.5
-;14;26.75;Kathriner Severin;;22;52.75;13;27.0;-1;0.25;8.75

