2965-2017-07-09_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
+;5;37.75;Aebi Roger;;15;54.25;7;37.25;2;-0.5;10.0
-;3;47.75;Sempach Thomas;***;7;56.25;4;47.5;1;-0.25;8.75

6c;Kämpf Bernhard;***;;;;;;;;;56.5
-;;;Fankhauser Erich;***;;;;;;;8.75
+;4;8.75;Ramseier Thomas;*;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Gerber Thomas;*;11;55.25;2;19.75;-3;1.0;10.0
-;3;28.75;Käser Remo;***;3;57.25;5;28.25;2;-0.5;9.0
-;5;37.75;Gerber Christian;**;4;57.0;3;38.25;-2;0.5;8.75
+;8;46.5;Scheuner Michael;*;13;54.75;9;46.25;1;-0.25;10.0

7a;Sempach Thomas;***;;;;;;;;;56.25
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Wenger Marcel (1999);*;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Zbinden Adrian;*;16;54.0;6;18.5;1;-0.25;10.0
-;3;28.75;Lauper Hansruedi;***;8;56.0;4;28.5;1;-0.25;8.75
+;6;37.5;Rolli Martin;**;9;55.75;7;37.25;1;-0.25;10.0
-;4;47.5;Orlik Curdin;**;6;56.5;3;47.75;-1;0.25;8.75

7b;Roth Dominik;**;;;;;;;;;56.25
-;;;Reust Markus;*;;;;;;;8.75
+;4;8.75;Schaad Remo;;16;54.0;2;9.75;-2;1.0;9.75
-;6;18.5;Fankhauser Erich;***;9;55.75;6;18.5;0;0.0;9.0
+;8;27.5;Berger Ueli;*;16;54.0;10;27.0;2;-0.5;10.0
-;6;37.5;Kämpf Alexander;**;13;54.75;7;37.25;1;-0.25;8.75
+;9;46.25;Fankhauser Reto;*;13;54.75;10;46.0;1;-0.25;10.0

7c;Moser Steven;**;;;;;;;;;56.25
-;;;Gehrig Damian;***;;;;;;;8.75
+;4;8.75;Gasser Dominik (2000);;10;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Michel Jonas;*;14;54.5;6;18.5;1;-0.25;10.0
-;3;28.75;Anderegg Simon;***;2;57.5;3;28.75;0;0.0;8.75
-;6;37.5;Gäggeler Adrian;*;8;56.0;7;37.25;1;-0.25;8.75
+;9;46.25;Ramseier Thomas;*;12;55.0;8;46.5;-1;0.25;10.0

8a;Gobeli Patrick;*;;;;;;;;;56.0
o;;;Steffen Valentin;*;;;;;;;8.5
+;5;8.5;Aeschlimann Martin;;11;55.25;2;9.75;-3;1.25;10.0
-;6;18.5;Schneider Domenic;***;4;57.0;7;18.25;1;-0.25;9.0
+;8;27.5;Schenk Adrian;*;16;54.0;10;27.0;2;-0.5;9.75
-;7;37.25;Reusser Philipp;***;11;55.25;6;37.5;-1;0.25;9.0
+;9;46.25;Berger René;**;12;55.0;8;46.5;-1;0.25;9.75

8b;Gäggeler Adrian;*;;;;;;;;;56.0
+;;;Graber Alfred;*;;;;;;;10.0
-;1;10.0;Kämpf Alexander;**;13;54.75;4;8.75;3;-1.25;8.75
o;5;18.75;Anderegg Simon;***;2;57.5;5;18.75;0;0.0;8.5
+;9;27.25;Schaad Remo;;16;54.0;6;28.0;-3;0.75;10.0
-;7;37.25;Moser Steven;**;7;56.25;6;37.5;-1;0.25;8.75
+;10;46.0;Leuenberger Michael;*;10;55.5;7;46.75;-3;0.75;10.0

8c;Lauper Hansruedi;***;;;;;;;;;56.0
+;;;Kropf Thomas;*;;;;;;;10.0
+;1;10.0;Zürcher Kurt;*;15;54.25;1;10.0;0;0.0;9.75
-;2;19.75;Steffen Konrad;*;16;54.0;4;19.0;2;-0.75;8.75
-;4;28.5;Sempach Thomas;***;7;56.25;3;28.75;-1;0.25;8.75
-;7;37.25;Sommer Roman;*;11;55.25;5;37.75;-2;0.5;8.75
+;10;46.0;Aeschlimann Martin;;11;55.25;7;46.75;-3;0.75;10.0

8d;Voggensperger Janic;**;;;;;;;;;56.0
-;;;Graber Willy;***;;;;;;;9.0
-;3;9.0;Iseli Marco;*;5;56.75;2;9.75;-1;0.75;8.75
+;8;17.75;Binggeli Dominik;*;20;53.0;6;18.5;-2;0.75;9.75
+;8;27.5;Waber Lorenz;*;11;55.25;6;28.0;-2;0.5;9.75
+;7;37.25;Fankhauser Kurt;**;14;54.5;6;37.5;-1;0.25;9.75
-;6;47.0;Schenk Patrick;***;8;56.0;6;47.0;0;0.0;9.0

8e;Schenk Patrick;***;;;;;;;;;56.0
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Aellen Florian;*;12;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Urfer Simon;*;14;54.5;5;18.75;-1;0.25;10.0
-;4;28.5;Luginbühl Hanspeter;**;11;55.25;5;28.25;1;-0.25;8.75
+;7;37.25;Röthlisberger Simon;**;10;55.5;7;37.25;0;0.0;9.75
-;6;47.0;Voggensperger Janic;**;8;56.0;6;47.0;0;0.0;9.0

9a;Weyermann Florian;*;;;;;;;;;55.75
o;;;Aellen Florian;*;;;;;;;8.5
+;5;8.5;Wehrli Christian;*;14;54.5;4;8.75;-1;0.25;10.0
-;6;18.5;Zenger Niklaus;***;4;57.0;7;18.25;1;-0.25;9.0
+;8;27.5;Blaser Roman;*;14;54.5;8;27.5;0;0.0;9.75
o;7;37.25;Ramseier Fritz;*;2;57.5;6;37.5;-1;0.25;8.5
+;11;45.75;Gnägi Christian;*;15;54.25;11;45.75;0;0.0;10.0

9b;Rolli Martin;**;;;;;;;;;55.75
o;;;Röthlisberger Simon;**;;;;;;;8.5
+;5;8.5;Kämpf Marcel;*;9;55.75;4;8.75;-1;0.25;9.75
-;7;18.25;Blaser Roman;*;14;54.5;6;18.5;-1;0.25;9.0
+;9;27.25;Wehrli Christian;*;14;54.5;9;27.25;0;0.0;10.0
o;7;37.25;Sempach Thomas;***;7;56.25;6;37.5;-1;0.25;8.5
+;11;45.75;Kestenholz Christian;;15;54.25;11;45.75;0;0.0;10.0

9c;Fankhauser Erich;***;;;;;;;;;55.75
-;;;Kämpf Bernhard;***;;;;;;;8.75
+;4;8.75;Steffen Gustav;*;11;55.25;1;10.0;-3;1.25;9.75
-;6;18.5;Roth Dominik;**;7;56.25;6;18.5;0;0.0;9.0
+;8;27.5;Kappeler Ruedi;;16;54.0;5;28.25;-3;0.75;10.0
+;6;37.5;Ramseier Thomas;*;12;55.0;4;38.0;-2;0.5;9.75
o;5;47.25;Ramseier Fritz;*;2;57.5;4;47.5;-1;0.25;8.5

9d;Kämpf Marcel;*;;;;;;;;;55.75
-;;;Fankhauser Kurt;**;;;;;;;8.75
o;4;8.75;Rolli Martin;**;9;55.75;5;8.5;1;-0.25;8.5
-;10;17.25;Scheuner Michael;*;13;54.75;9;17.5;-1;0.25;8.75
+;13;26.0;Flühmann Michel;*;15;54.25;10;27.0;-3;1.0;10.0
+;12;36.0;Kohli Patrick;;21;52.75;13;35.75;1;-0.25;10.0
+;10;46.0;Reusser Philipp;***;11;55.25;8;46.5;-2;0.5;9.75

10a;Röthlisberger Simon;**;;;;;;;;;55.5
+;;;Rolli Martin;**;;;;;;;10.0
+;1;10.0;Schenk Thomas;*;19;53.25;1;10.0;0;0.0;10.0
o;1;20.0;Wenger Kilian;***;1;58.25;3;19.5;2;-0.5;8.75
o;3;28.75;Gerber Thomas;*;11;55.25;5;28.25;2;-0.5;8.5
o;7;37.25;Schenk Patrick;***;8;56.0;7;37.25;0;0.0;8.5
+;11;45.75;Staub Maël;*;13;54.75;9;46.25;-2;0.5;9.75

10b;Wittwer Jan;*;;;;;;;;;55.5
-;;;Ramseier Fritz;*;;;;;;;8.75
+;4;8.75;Heiniger Michael;*;28;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Käser Remo;***;3;57.25;6;18.5;1;-0.25;8.5
o;9;27.25;Ramseier Thomas;*;12;55.0;6;28.0;-3;0.75;8.5
+;13;35.75;Heeb Thierry;;18;53.5;10;36.5;-3;0.75;9.75
+;12;45.5;Sommer Martin;;15;54.25;12;45.5;0;0.0;10.0

10c;Leuenberger Michael;*;;;;;;;;;55.5
o;;;Renfer Lukas;*;;;;;;;8.75
+;4;8.75;Joss David;*;20;53.0;4;8.75;0;0.0;9.75
+;6;18.5;Gehrig Damian;***;13;54.75;5;18.75;-1;0.25;9.75
+;5;28.25;Staub Maël;*;13;54.75;6;28.0;1;-0.25;10.0
o;3;38.25;Graber Willy;***;4;57.0;7;37.25;4;-1.0;8.5
o;7;46.75;Gäggeler Adrian;*;8;56.0;10;46.0;3;-0.75;8.75

10d;Gasser Dominik (2000);;;;;;;;;;55.5
+;;;Stämpfli Lorenz;;;;;;;;10.0
o;1;10.0;Moser Steven;**;7;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Waber Lorenz;*;11;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Kämpf Lorenz;*;23;35.75;9;27.25;-1;0.25;10.0
o;8;37.0;Aellen Florian;*;12;55.0;9;36.75;1;-0.25;8.5
+;12;45.5;Walther Marcel;*;16;54.0;12;45.5;0;0.0;10.0

10e;Wyss Kilian;**;;;;;;;;;55.5
-;;;Schütz Urs;**;;;;;;;8.75
+;4;8.75;Lehmann Ueli;;16;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Erb Roger;**;4;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Reust Markus;*;15;54.25;9;27.25;-1;0.25;10.0
+;8;37.0;Schenkel Remo;*;11;55.25;9;36.75;1;-0.25;10.0
o;6;47.0;Käser Remo;***;3;57.25;5;47.25;-1;0.25;8.5

11a;Hadorn Christian;*;;;;;;;;;55.25
o;;;Jäggi Lukas;*;;;;;;;8.5
+;5;8.5;Berger Ueli;*;16;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Schenkel Remo;*;11;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Zangger Dominik;*;27;34.5;13;26.0;2;-0.75;9.75
-;10;36.5;Schletti Andreas;*;14;54.5;9;36.75;-1;0.25;9.0
+;12;45.5;Zbinden Adrian;*;16;54.0;12;45.5;0;0.0;9.75

11b;Sommer Roman;*;;;;;;;;;55.25
o;;;Iseli Marco;*;;;;;;;8.5
+;5;8.5;Walther Patrick;*;26;34.75;4;8.75;-1;0.25;9.75
+;7;18.25;Kohli Patrick;;21;52.75;6;18.5;-1;0.25;9.75
+;6;28.0;Bremgartner Marcel;*;16;54.0;9;27.25;3;-0.75;9.75
-;5;37.75;Lauper Hansruedi;***;8;56.0;7;37.25;2;-0.5;8.75
-;8;46.5;Kämpf Alexander;**;13;54.75;10;46.0;2;-0.5;8.75

11c;Steffen Valentin;*;;;;;;;;;55.25
+;;;Gobeli Patrick;*;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;2;57.5;4;8.75;2;-1.0;8.5
+;7;18.25;Eggimann Marco;;22;52.5;7;18.25;0;0.0;10.0
o;5;28.25;Zenger Niklaus;***;4;57.0;9;27.25;4;-1.0;8.5
+;9;36.75;Klossner Adrian;*;16;54.0;9;36.75;0;0.0;10.0
o;7;46.75;Roschi Ruedi;**;6;56.5;7;46.75;0;0.0;8.5

11d;Schenkel Remo;*;;;;;;;;;55.25
o;;;Steffen Gustav;*;;;;;;;8.5
+;5;8.5;Santschi Hans;;16;54.0;2;9.75;-3;1.25;10.0
o;6;18.5;Orlik Curdin;**;6;56.5;1;20.0;-5;1.5;8.5
+;10;27.0;Hadorn Christian;*;11;55.25;11;26.75;1;-0.25;9.75
o;9;36.75;Wyss Kilian;**;10;55.5;8;37.0;-1;0.25;8.75
+;12;45.5;Locher Alfred;*;15;54.25;11;45.75;-1;0.25;9.75

11e;Wüthrich Niklaus;**;;;;;;;;;55.25
+;;;Mathys Simon;**;;;;;;;9.75
o;2;9.75;Stucki Christian;***;1;58.25;2;9.75;0;0.0;8.5
+;7;18.25;Staudenmann Fabian (2000);*;14;54.5;5;18.75;-2;0.5;9.75
-;6;28.0;Hadorn Marco (1999);;18;53.5;9;27.25;3;-0.75;9.0
o;8;37.0;Iseli Marco;*;5;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Aebi Roger;;15;54.25;11;45.75;-1;0.25;9.75

11f;Reusser Philipp;***;;;;;;;;;55.25
+;;;Haenni Stéphane;**;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;1;58.25;2;9.75;1;-0.25;8.75
+;5;18.75;Kämpf Lorenz;*;23;35.75;5;18.75;0;0.0;9.75
-;4;28.5;Orlik Curdin;**;6;56.5;3;28.75;-1;0.25;9.0
-;6;37.5;Gobeli Patrick;*;8;56.0;7;37.25;1;-0.25;9.0
o;8;46.5;Kämpf Marcel;*;9;55.75;10;46.0;2;-0.5;8.75

11g;Waber Lorenz;*;;;;;;;;;55.25
+;;;Michel Jonas;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;4;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Gasser Dominik (2000);;10;55.5;6;18.5;-1;0.25;9.75
o;6;28.0;Voggensperger Janic;**;8;56.0;8;27.5;2;-0.5;8.75
+;9;36.75;Zürcher Kurt;*;15;54.25;8;37.0;-1;0.25;10.0
o;7;46.75;Giger Samuel;***;5;56.75;7;46.75;0;0.0;8.5

11h;Steffen Gustav;*;;;;;;;;;55.25
+;;;Schenkel Remo;*;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;9;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Hadorn Marco (1999);;18;53.5;6;18.5;0;0.0;9.75
o;5;28.25;Wenger Marcel (1999);*;12;55.0;6;28.0;1;-0.25;8.5
-;9;36.75;Staudenmann Fabian (2000);*;14;54.5;8;37.0;-1;0.25;8.75
+;12;45.5;Berger Ueli;*;16;54.0;12;45.5;0;0.0;9.75

11i;Schlüchter Colin;*;;;;;;;;;55.25
+;;;Klossner Adrian;*;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;6;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Stämpfli Lorenz;;19;53.25;6;18.5;-1;0.25;8.75
+;10;27.0;Thomet Adrian;**;12;55.0;11;26.75;1;-0.25;10.0
o;8;37.0;Luginbühl Hanspeter;**;11;55.25;8;37.0;0;0.0;8.5
+;12;45.5;Staudenmann Fabian (2000);*;14;54.5;11;45.75;-1;0.25;9.75

11j;Luginbühl Hanspeter;**;;;;;;;;;55.25
-;;;Graber Bruno;**;;;;;;;8.75
+;4;8.75;Blaser Jan;*;27;34.5;5;8.5;1;-0.25;9.75
+;6;18.5;Aebi Roger;;15;54.25;1;20.0;-5;1.5;9.75
-;5;28.25;Schenk Patrick;***;8;56.0;4;28.5;-1;0.25;8.75
+;8;37.0;Schlüchter Colin;*;11;55.25;8;37.0;0;0.0;9.75
o;7;46.75;Schneider Domenic;***;4;57.0;6;47.0;-1;0.25;8.5

11k;Aeschlimann Martin;;;;;;;;;;55.25
+;;;Aellen Philipp;;;;;;;;9.75
o;2;9.75;Gobeli Patrick;*;8;56.0;5;8.5;3;-1.25;8.5
o;7;18.25;Wittwer Josias;*;17;53.75;10;17.25;3;-1.0;8.5
+;11;26.75;Bernhard Marco;;27;34.5;13;26.0;2;-0.75;10.0
+;9;36.75;Renfer Lukas;*;14;54.5;11;36.25;2;-0.5;10.0
o;7;46.75;Lauper Hansruedi;***;8;56.0;10;46.0;3;-0.75;8.5

11l;Gerber Thomas;*;;;;;;;;;55.25
+;;;Heiniger Michael;*;;;;;;;9.75
+;2;9.75;Schütz Urs;**;15;54.25;4;8.75;2;-1.0;10.0
o;2;19.75;Kämpf Bernhard;***;6;56.5;5;18.75;3;-1.0;8.5
+;5;28.25;Röthlisberger Simon;**;10;55.5;3;28.75;-2;0.5;10.0
o;3;38.25;Wenger Kilian;***;1;58.25;3;38.25;0;0.0;8.5
o;7;46.75;von Weissenfluh Kilian;**;4;57.0;6;47.0;-1;0.25;8.5

12a;Wenger Marcel (1999);*;;;;;;;;;55.0
+;;;Schüpbach Janick;*;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;7;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Niederhäuser Martin;;21;52.75;7;18.25;0;0.0;9.75
+;6;28.0;Steffen Gustav;*;11;55.25;5;28.25;-1;0.25;10.0
o;4;38.0;Schneider Domenic;***;4;57.0;7;37.25;3;-0.75;8.5
o;8;46.5;Graber Willy;***;4;57.0;6;47.0;-2;0.5;8.5

12b;Aellen Florian;*;;;;;;;;;55.0
+;;;Weyermann Florian;*;;;;;;;9.75
o;2;9.75;Schenk Patrick;***;8;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Neukomm Thierry;;17;53.75;7;18.25;0;0.0;10.0
o;5;28.25;Gehrig Damian;***;13;54.75;8;27.5;3;-0.75;8.5
+;9;36.75;Gasser Dominik (2000);;10;55.5;8;37.0;-1;0.25;9.75
o;8;46.5;Gehrig Philipp;**;5;56.75;7;46.75;-1;0.25;8.5

12c;Zaugg Christian;*;;;;;;;;;55.0
+;;;Walther Patrick;*;;;;;;;9.75
o;2;9.75;Käser Remo;***;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Galli Markus;;17;53.75;7;18.25;0;0.0;10.0
o;5;28.25;von Weissenfluh Kilian;**;4;57.0;4;28.5;-1;0.25;8.5
+;9;36.75;Kappeler Ruedi;;16;54.0;9;36.75;0;0.0;9.75
o;8;46.5;Gerber Christian;**;4;57.0;6;47.0;-2;0.5;8.5

12d;Berger René;**;;;;;;;;;55.0
o;;;Thomet Adrian;**;;;;;;;8.5
+;5;8.5;Pulfer Thomas;*;14;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Klossner Adrian;*;16;54.0;6;18.5;0;0.0;9.75
o;5;28.25;Roschi Ruedi;**;6;56.5;4;28.5;-1;0.25;8.5
+;9;36.75;Zehnder Jürg;*;16;54.0;9;36.75;0;0.0;9.75
o;8;46.5;Gobeli Patrick;*;8;56.0;9;46.25;1;-0.25;8.5

12e;Thomet Adrian;**;;;;;;;;;55.0
+;;;Berger René;**;;;;;;;9.75
o;2;9.75;Aeschbacher Matthias;**;5;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Fankhauser Reto;*;13;54.75;6;18.5;-1;0.25;8.5
o;11;26.75;Schlüchter Colin;*;11;55.25;10;27.0;-1;0.25;8.5
+;15;35.25;Grossen John;;12;55.0;9;36.75;-6;1.5;10.0
+;13;45.25;Schaad Remo;;16;54.0;12;45.5;-1;0.25;9.75

12f;Grossen John;;;;;;;;;;55.0
o;;;Kestenholz Christian;;;;;;;;8.5
+;5;8.5;Heeb Thierry;;18;53.5;5;8.5;0;0.0;10.0
+;6;18.5;Scheidegger Adrian;*;27;34.5;10;17.25;4;-1.25;9.75
o;5;28.25;Ramseier Fritz;*;2;57.5;8;27.5;3;-0.75;8.5
o;9;36.75;Thomet Adrian;**;12;55.0;15;35.25;6;-1.5;8.5
+;13;45.25;Galli Markus;;17;53.75;13;45.25;0;0.0;9.75

