3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
+;7;18.25;Ulrich Marco (1997);;12;55.25;6;18.5;-1;0.25;10.0
o;5;28.25;Schelbert Ralf;;5;57.0;2;29.0;-3;0.75;8.5
-;9;36.75;Schuler Daniel;;14;54.75;7;37.25;-2;0.5;9.0
-;13;45.75;Küttel Samuel (1997);;15;54.5;13;45.75;0;0.0;8.75

15l;Arnold Marcel;;;;;;;;;;54.5
+;;;Kälin Benedikt;;;;;;;;10.0
-;1;10.0;Elsener Marcel;;14;54.75;1;10.0;0;0.0;8.75
o;5;18.75;Lüönd Andreas;**;10;55.75;5;18.75;0;0.0;8.75
+;8;27.5;Hurschler Adrian;;15;54.5;9;27.25;1;-0.25;10.0
o;6;37.5;Betschart Rainer;**;6;56.75;8;37.0;2;-0.5;8.5
o;12;46.0;Bucher Thomas;;10;55.75;12;46.0;0;0.0;8.5

15m;Effinger Peter;;;;;;;;;;54.5
+;;;Zweifel Frowin;;;;;;;;10.0
o;1;10.0;Kempf Elias;**;8;56.25;4;8.75;3;-1.25;8.5
-;6;18.5;Laimbacher Alex;;12;55.25;5;18.75;-1;0.25;9.0
o;8;27.5;Wyrsch Marco;*;9;56.0;8;27.5;0;0.0;8.5
-;12;36.0;Hurschler Adrian;;15;54.5;13;35.75;1;-0.25;8.75
+;17;44.75;Baumann Marco;;20;53.25;17;44.75;0;0.0;9.75

16a;Suter Pirmin (1997);;;;;;;;;;54.25
+;;;Wild Kilian (1998);;;;;;;;10.0
o;1;10.0;Schelbert Roman;;12;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Schlachter Lukas;*;17;54.0;7;18.25;1;-0.25;8.5
-;10;27.0;Baumann Marco;;20;53.25;11;26.75;1;-0.25;9.0
o;12;36.0;Streiff Dominik;;14;54.75;11;36.25;-1;0.25;8.5
+;18;44.5;Durrer Fabian (1999);;21;53.0;19;44.25;1;-0.25;9.75

16b;Elsener Kilian (1997);;;;;;;;;;54.25
+;;;Schuler Thomas;;;;;;;;10.0
o;1;10.0;Kenel Franz-Toni;*;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Gwerder Beni;;10;55.75;6;18.5;0;0.0;9.75
o;5;28.25;Weber Ivo;;12;55.25;4;28.5;-1;0.25;8.75
-;8;37.0;Fassbind René;;10;55.75;8;37.0;0;0.0;8.75
o;13;45.75;Betschart Ernst;;12;55.25;14;45.5;1;-0.25;8.5

16c;Bieri Christian;*;;;;;;;;;54.25
-;;;Suter David;**;;;;;;;8.75
+;4;8.75;Grab Martin (1999);;17;54.0;1;10.0;-3;1.25;9.75
+;6;18.5;Knobel Guido;;24;35.5;6;18.5;0;0.0;9.75
-;5;28.25;Schuler Philipp;**;7;56.5;6;28.0;1;-0.25;8.75
o;8;37.0;Kälin Roland;**;12;55.25;8;37.0;0;0.0;8.5
-;14;45.5;Villiger Cyrill;*;15;54.5;13;45.75;-1;0.25;8.75

16d;Müller Dominik;;;;;;;;;;54.25
o;;;Blaser Theo;;;;;;;;8.5
-;5;8.5;Wild Kilian (1998);;28;34.5;5;8.5;0;0.0;8.75
+;11;17.25;Dober Adrian (1998);;24;35.5;12;17.0;1;-0.25;10.0
o;9;27.25;Keller Markus;*;14;54.75;9;27.25;0;0.0;8.5
+;13;35.75;Föhn Michael (1999);;22;52.75;13;35.75;0;0.0;10.0
o;13;45.75;Fassbind René;;10;55.75;13;45.75;0;0.0;8.5

16e;Schindler Roland;;;;;;;;;;54.25
-;;;Wetzstein Adrian;;;;;;;;8.75
o;4;8.75;Klauser Nico;;16;54.25;4;8.75;0;0.0;8.5
+;11;17.25;Schmid Pius (1999);;29;34.25;11;17.25;0;0.0;10.0
o;9;27.25;Kälin Roland;**;12;55.25;9;27.25;0;0.0;8.5
-;13;35.75;Baumann Marco;;20;53.25;13;35.75;0;0.0;8.75
+;18;44.5;Föhn Michael (1999);;22;52.75;19;44.25;1;-0.25;9.75

16f;Herger Fabian;;;;;;;;;;54.25
o;;;Gyr Roland;;;;;;;;8.5
o;5;8.5;Flück Bruno;;24;35.5;4;8.75;-1;0.25;8.5
+;12;17.0;Schilter Daniel;;24;35.5;12;17.0;0;0.0;9.75
+;11;26.75;Blaser Urs (1997);;25;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Linggi Bruno;**;7;56.5;9;36.75;0;0.0;8.75
-;14;45.5;Keller Markus;*;14;54.75;12;46.0;-2;0.5;8.75

16g;Bingisser Roman;;;;;;;;;;54.25
o;;;Gwerder Marco;;;;;;;;8.5
-;5;8.5;Föhn Michael (1999);;22;52.75;5;8.5;0;0.0;8.75
-;11;17.25;Supper Frederik;;26;35.0;11;17.25;0;0.0;8.75
+;14;26.0;Forster Christian (1997);;27;34.75;13;26.25;-1;0.25;9.75
o;13;35.75;Klauser Nico;;16;54.25;13;35.75;0;0.0;8.5
+;19;44.25;Betschart Fabian (1999);;22;52.75;19;44.25;0;0.0;10.0

16h;Klauser Nico;;;;;;;;;;54.25
-;;;Ulrich Marco (1997);;;;;;;;8.75
+;4;8.75;Schindler Roland;;16;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Kennel Stefan;*;6;56.75;6;18.5;1;-0.25;8.5
o;9;27.25;Gwerder Andreas;;4;57.25;8;27.5;-1;0.25;8.5
+;13;35.75;Bingisser Roman;;16;54.25;13;35.75;0;0.0;10.0
o;13;45.75;Gwerder Beni;;10;55.75;13;45.75;0;0.0;8.5

17a;Grab Martin (1999);;;;;;;;;;54.0
+;;;Forster Pirmin (1999);;;;;;;;10.0
o;1;10.0;Bieri Christian;*;16;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Reichmuth Marco (1997);;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Wiget Ueli (1999);;25;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Bürgi Tobias;;12;55.25;8;37.0;0;0.0;8.5
o;14;45.5;Zurfluh Roman;;10;55.75;13;45.75;-1;0.25;8.5

17b;Walker Roger;;;;;;;;;;54.0
o;;;Schuler Daniel;;;;;;;;8.5
o;5;8.5;Schuler Thomas;;24;35.5;5;8.5;0;0.0;8.5
+;12;17.0;Bösch Dario (1999);;30;34.0;12;17.0;0;0.0;9.75
+;11;26.75;Inderbitzin Patrick;;24;35.5;10;27.0;-1;0.25;10.0
o;9;36.75;Kälin Remo;*;14;54.75;11;36.25;2;-0.5;8.75
o;14;45.5;Bienz Romeo (1997);;13;55.0;15;45.25;1;-0.25;8.5

17c;Diethelm Albert;*;;;;;;;;;54.0
+;;;Hess Michael;*;;;;;;;10.0
o;1;10.0;Betschart Remo;**;8;56.25;3;9.0;2;-1.0;8.5
+;6;18.5;Suter Samuel (1999);;24;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Diener Pirmin;;7;56.5;5;28.25;0;0.0;8.5
o;9;36.75;Effinger Markus;*;13;55.0;9;36.75;0;0.0;8.5
-;15;45.25;Baumann Lukas;;17;54.0;14;45.5;-1;0.25;8.75

17d;Schlachter Lukas;*;;;;;;;;;54.0
+;;;Gwerder Carlo;**;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;2;58.25;4;8.75;2;-1.0;8.5
+;7;18.25;Suter Pirmin (1997);;16;54.25;6;18.5;-1;0.25;9.75
-;6;28.0;Bürgler Lukas;;13;55.0;4;28.5;-2;0.5;9.0
o;8;37.0;Heinzer Stefan;*;6;56.75;8;37.0;0;0.0;8.5
o;14;45.5;Lüönd Andreas;**;10;55.75;12;46.0;-2;0.5;8.5

17e;Elsener Manuel;;;;;;;;;;54.0
+;;;Diethelm Samuel;;;;;;;;10.0
o;1;10.0;Gwerder Dario (1997);;10;55.75;1;10.0;0;0.0;8.75
o;5;18.75;Höfliger Andreas;*;5;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Suter Samuel (1999);;24;35.5;10;27.0;1;-0.25;9.75
o;8;37.0;Schuler Philipp;**;7;56.5;8;37.0;0;0.0;8.5
o;14;45.5;Kälin Benedikt;;12;55.25;14;45.5;0;0.0;8.5

17f;Widmer Thomas;;;;;;;;;;54.0
o;;;Bürgi Tobias;;;;;;;;8.5
+;5;8.5;Diethelm Samuel;;28;34.5;5;8.5;0;0.0;10.0
+;6;18.5;Villiger Cyrill;*;15;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Steinauer Adrian;**;6;56.75;3;28.75;-1;0.25;8.5
o;8;37.0;Forster Adrian;**;5;57.0;8;37.0;0;0.0;8.5
o;14;45.5;Keller Janik;;12;55.25;14;45.5;0;0.0;8.5

17g;Würsch Lars;;;;;;;;;;54.0
o;;;Bienz Romeo (1997);;;;;;;;8.5
-;5;8.5;Lagler Christian;;15;54.5;4;8.75;-1;0.25;8.75
+;11;17.25;Wattenhofer Charly (1998);;21;53.0;10;17.5;-1;0.25;10.0
o;9;27.25;Inderbitzin Daniel;*;9;56.0;9;27.25;0;0.0;8.5
o;13;35.75;Föhn Pirmin;*;14;54.75;11;36.25;-2;0.5;8.5
+;19;44.25;Inderbitzin Michael;;19;53.5;17;44.75;-2;0.5;9.75

17h;Betschart Michael;;;;;;;;;;54.0
+;;;Dettling Thomas (1998);;;;;;;;9.75
o;2;9.75;Elsener Adrian;*;6;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Fassbind René;;10;55.75;5;18.75;-2;0.5;8.5
+;11;26.75;Reimann Marco (1998);;25;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Theiler Beat;*;10;55.75;7;37.25;-2;0.5;8.5
o;15;45.25;Betschart Marcel;;12;55.25;14;45.5;-1;0.25;8.75

17i;Baumann Lukas;;;;;;;;;;54.0
o;;;Gwerder Andreas;;;;;;;;8.5
+;5;8.5;Andermatt Erwin (1999);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Suter David;**;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Heinzer Ronny;;15;54.5;8;27.5;-2;0.5;9.75
-;9;36.75;Diethelm Albert;*;17;54.0;9;36.75;0;0.0;8.75
o;14;45.5;Schmid Köbi;;11;55.5;14;45.5;0;0.0;8.5

17j;Stettler Philipp;*;;;;;;;;;54.0
-;;;Zimmermann Martin;*;;;;;;;8.75
+;4;8.75;Gwerder Marco;;18;53.75;2;9.75;-2;1.0;9.75
+;6;18.5;Keiser Martin;;24;35.5;6;18.5;0;0.0;10.0
o;4;28.5;Grab Martin;***;3;57.5;6;28.0;2;-0.5;8.5
o;8;37.0;Suter Beat;;12;55.25;8;37.0;0;0.0;8.5
o;14;45.5;Bürli Roger (1997);;11;55.5;14;45.5;0;0.0;8.5

17k;Andermatt Adrian;;;;;;;;;;54.0
o;;;Heinzer Ronny;;;;;;;;8.5
-;5;8.5;Kessler Joel (1997);;15;54.5;5;8.5;0;0.0;8.75
o;11;17.25;Suter Kari;;21;53.0;10;17.5;-1;0.25;8.5
+;15;25.75;Kälin Dominik (1999);;30;34.0;16;25.5;1;-0.25;10.0
o;13;35.75;Keller Janik;;12;55.25;13;35.75;0;0.0;8.5
+;19;44.25;Beffa Mario (1997);;22;52.75;19;44.25;0;0.0;9.75

18a;Rolli Ueli;;;;;;;;;;53.75
-;;;Suter Kari;;;;;;;;8.75
o;4;8.75;Gyr Roland;;12;55.25;2;9.75;-2;1.0;8.5
+;11;17.25;Ulrich Marcel;;25;35.25;12;17.0;1;-0.25;9.75
+;10;27.0;Schuler Thomas;;24;35.5;10;27.0;0;0.0;9.75
o;9;36.75;Gwerder Christian;**;14;54.75;11;36.25;2;-0.5;8.5
o;15;45.25;Ulrich Marco (1997);;12;55.25;15;45.25;0;0.0;8.5

18b;Meier Andreas;;;;;;;;;;53.75
o;;;Grab Daniel;;;;;;;;8.5
+;5;8.5;Inderbitzin Karl;;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Hess Michael;*;13;55.0;10;17.5;3;-0.75;8.5
+;11;26.75;Marty Lukas (1998);;25;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Betschart Daniel;;11;55.5;8;37.0;-1;0.25;8.5
o;15;45.25;Heinzer Josef;;13;55.0;16;45.0;1;-0.25;8.5

18c;Gwerder Marco;;;;;;;;;;53.75
+;;;Bingisser Roman;;;;;;;;9.75
o;2;9.75;Stettler Philipp;*;17;54.0;4;8.75;2;-1.0;8.5
+;7;18.25;Durrer Fabian (1999);;21;53.0;11;17.25;4;-1.0;10.0
o;5;28.25;Grab Daniel;;6;56.75;4;28.5;-1;0.25;8.5
o;9;36.75;Höfliger Andreas;*;5;57.0;8;37.0;-1;0.25;8.5
o;15;45.25;Schürpf Bruno;;13;55.0;15;45.25;0;0.0;8.5

18d;Wetzstein Adrian;;;;;;;;;;53.75
-;;;Schindler Roland;;;;;;;;8.75
-;4;8.75;Ulrich Roman;;24;35.5;2;9.75;-2;1.0;8.75
+;10;17.5;Kennel Roger (1999);;28;34.5;10;17.5;0;0.0;10.0
-;8;27.5;Gwerder Christian;**;14;54.75;8;27.5;0;0.0;8.75
-;11;36.25;Neyer Sven;;15;54.5;13;35.75;2;-0.5;8.75
-;16;45.0;Kempf Damian;;19;53.5;17;44.75;1;-0.25;8.75

18e;Dettling Thomas (1998);;;;;;;;;;53.75
o;;;Betschart Michael;;;;;;;;8.5
+;5;8.5;Rogenmoser Manuel (1999);;29;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Kälin Remo;*;14;54.75;9;17.75;2;-0.5;8.5
+;11;26.75;Zimmermann Reto (1998);;25;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Schelbert Roman;;12;55.25;8;37.0;-1;0.25;8.5
o;15;45.25;Heinzer Ronny;;15;54.5;17;44.75;2;-0.5;8.5

19a;Inderbitzin Michael;;;;;;;;;;53.5
o;;;Zurfluh Roman;;;;;;;;8.75
-;4;8.75;Durrer Fabian (1999);;21;53.0;5;8.5;1;-0.25;8.75
-;10;17.5;Mangold Martin;;27;34.75;11;17.25;1;-0.25;8.75
+;13;26.25;Rogenmoser Ryan (1999);;25;35.25;11;26.75;-2;0.5;10.0
o;11;36.25;Hess Dominik;;9;56.0;11;36.25;0;0.0;8.5
o;17;44.75;Würsch Lars;;17;54.0;19;44.25;2;-0.5;8.75

19b;Kempf Damian;;;;;;;;;;53.5
-;;;Keller Janik;;;;;;;;8.75
-;4;8.75;Schindler Thomas;;15;54.5;2;9.75;-2;1.0;8.75
-;10;17.5;Betschart Ernst;;12;55.25;7;18.25;-3;0.75;8.75
+;13;26.25;Wild Kilian (1998);;28;34.5;14;26.0;1;-0.25;10.0
o;11;36.25;Zimmermann Martin;*;14;54.75;11;36.25;0;0.0;8.5
-;17;44.75;Wetzstein Adrian;;18;53.75;16;45.0;-1;0.25;8.75

20a;Betschart Patrick (1999);;;;;;;;;;53.25
-;;;Supper Frederik;;;;;;;;8.75
o;4;8.75;Moos Thomas;;25;35.25;5;8.5;1;-0.25;8.75
-;10;17.5;Kessler Joel (1997);;15;54.5;11;17.25;1;-0.25;8.75
+;13;26.25;Schuler Koni;;26;35.0;12;26.5;-1;0.25;10.0
o;11;36.25;Gwerder Beni;;10;55.75;13;35.75;2;-0.5;8.5
o;17;44.75;Bruhin Fredi (1997);;14;54.75;16;45.0;-1;0.25;8.5

20b;Baumann Marco;;;;;;;;;;53.25
o;;;Gwerder Dario (1997);;;;;;;;8.5
+;5;8.5;Weber Manuel (1999);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Inderbitzin Daniel;*;9;56.0;10;17.5;3;-0.75;8.5
-;11;26.75;Suter Pirmin (1997);;16;54.25;10;27.0;-1;0.25;9.0
-;13;35.75;Schindler Roland;;16;54.25;13;35.75;0;0.0;9.0
o;17;44.75;Effinger Peter;;15;54.5;17;44.75;0;0.0;8.5

21a;Durrer Fabian (1999);;;;;;;;;;53.0
o;;;Diener Pirmin;;;;;;;;8.5
-;5;8.5;Inderbitzin Michael;;19;53.5;4;8.75;-1;0.25;8.75
+;11;17.25;Kälin Dominik (1999);;30;34.0;12;17.0;1;-0.25;10.0
o;9;27.25;Gwerder Marco;;18;53.75;5;28.25;-4;1.0;8.5
o;13;35.75;Waser Reto;*;11;55.5;13;35.75;0;0.0;8.5
o;19;44.25;Suter Pirmin (1997);;16;54.25;18;44.5;-1;0.25;8.75

21b;Suter Kari;;;;;;;;;;53.0
-;;;Rolli Ueli;;;;;;;;8.75
-;4;8.75;Mangold Martin;;27;34.75;5;8.5;1;-0.25;8.75
+;10;17.5;Andermatt Adrian;;17;54.0;11;17.25;1;-0.25;9.75
o;9;27.25;Schmid David;**;11;55.5;9;27.25;0;0.0;8.5
-;13;35.75;Langenegger Simon;;21;53.0;13;35.75;0;0.0;8.75
o;18;44.5;Bircher Vital;*;14;54.75;17;44.75;-1;0.25;8.5

21c;Langenegger Simon;;;;;;;;;;53.0
o;;;Betschart Silvan;;;;;;;;8.5
-;5;8.5;Schuler Koni;;26;35.0;4;8.75;-1;0.25;8.75
o;11;17.25;Beffa Mario (1997);;22;52.75;11;17.25;0;0.0;8.5
+;15;25.75;Andermatt Erwin (1999);;30;34.0;16;25.5;1;-0.25;10.0
-;13;35.75;Suter Kari;;21;53.0;13;35.75;0;0.0;8.75
o;18;44.5;Neyer Sven;;15;54.5;18;44.5;0;0.0;8.5

21d;Wattenhofer Charly (1998);;;;;;;;;;53.0
-;;;Forster Christian (1997);;;;;;;;9.0
o;3;9.0;Ulrich Martin;;13;55.0;5;8.5;2;-0.5;8.5
o;10;17.5;Würsch Lars;;17;54.0;11;17.25;1;-0.25;8.5
+;14;26.0;Stalder Florian (1999);;30;34.0;16;25.5;2;-0.5;10.0
o;12;36.0;Hurschler Michael;;14;54.75;12;36.0;0;0.0;8.5
o;18;44.5;Hurschler Adrian;;15;54.5;18;44.5;0;0.0;8.5

22a;Betschart Fabian (1999);;;;;;;;;;52.75
+;;;Andermatt Erwin (1999);;;;;;;;10.0
o;1;10.0;Moos Christoph;;15;54.5;1;10.0;0;0.0;8.5
o;6;18.5;Föhn Pirmin;*;14;54.75;9;17.75;3;-0.75;8.5
-;10;27.0;Bellmont Ruedi;;24;35.5;11;26.75;1;-0.25;8.75
o;13;35.75;Schindler Thomas;;15;54.5;12;36.0;-1;0.25;8.5
o;19;44.25;Bingisser Roman;;16;54.25;19;44.25;0;0.0;8.5

22b;Föhn Michael (1999);;;;;;;;;;52.75
o;;;Schindler Thomas;;;;;;;;8.5
-;5;8.5;Bingisser Roman;;16;54.25;5;8.5;0;0.0;8.75
-;11;17.25;Wild Kilian (1998);;28;34.5;11;17.25;0;0.0;8.75
+;14;26.0;Brunner Timon (1998);;30;34.0;16;25.5;2;-0.5;9.75
o;13;35.75;Müller Dominik;;16;54.25;13;35.75;0;0.0;8.5
o;19;44.25;Schindler Roland;;16;54.25;18;44.5;-1;0.25;8.5

22c;Beffa Mario (1997);;;;;;;;;;52.75
o;;;Moos Christoph;;;;;;;;8.5
-;5;8.5;Kälin Benedikt;;12;55.25;5;8.5;0;0.0;8.75
+;11;17.25;Langenegger Simon;;21;53.0;11;17.25;0;0.0;9.75
-;10;27.0;Zimmermann Daniel;*;14;54.75;10;27.0;0;0.0;8.75
o;13;35.75;Lagler Christian;;15;54.5;11;36.25;-2;0.5;8.5
o;19;44.25;Andermatt Adrian;;17;54.0;19;44.25;0;0.0;8.5

23a;Schelbert Michael;;;;;;;;;;46.5
+;;;Reichmuth Roland (1997);;;;;;;;9.75
o;2;9.75;Odermatt Sepp;**;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Heinzer Josef;;13;55.0;7;18.25;0;0.0;9.75
+;6;28.0;Föhn Pirmin;*;14;54.75;8;27.5;2;-0.5;10.0
o;4;38.0;Scheuber Lutz;**;6;56.75;7;37.25;3;-0.75;8.5

24a;Flück Bruno;;;;;;;;;;35.5
-;;;Hurschler Adrian;;;;;;;;8.75
+;4;8.75;Herger Fabian;;16;54.25;5;8.5;1;-0.25;9.75
o;6;18.5;Elsener Adrian;*;6;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Bürli Roger (1997);;11;55.5;9;27.25;-1;0.25;8.5

24b;Schelbert Eugen;;;;;;;;;;35.5
o;;;Ulrich Roman;;;;;;;;8.5
+;5;8.5;Ulrich Damian (1999);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Odermatt Sepp;**;12;55.25;7;18.25;0;0.0;8.5
o;11;26.75;Bürgi Tobias;;12;55.25;10;27.0;-1;0.25;8.75

24c;Keiser Martin;;;;;;;;;;35.5
o;;;Stutzer Michael (1999);;;;;;;;8.5
+;5;8.5;Bösch Dario (1999);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Stettler Philipp;*;17;54.0;6;18.5;0;0.0;8.5
o;10;27.0;Effinger Markus;*;13;55.0;10;27.0;0;0.0;8.5

24d;Schilter Daniel;;;;;;;;;;35.5
o;;;Bucher Roland;;;;;;;;8.5
o;5;8.5;Suter Beat;;12;55.25;5;8.5;0;0.0;8.5
o;12;17.0;Herger Fabian;;16;54.25;12;17.0;0;0.0;8.5
+;16;25.5;Forster Pirmin (1999);;29;34.25;15;25.75;-1;0.25;10.0

24e;Hegglin Marc;;;;;;;;;;35.5
o;;;Zimmermann Armin;;;;;;;;8.5
o;5;8.5;Betschart Ernst;;12;55.25;5;8.5;0;0.0;8.5
o;12;17.0;Kälin Benedikt;;12;55.25;11;17.25;-1;0.25;8.5
+;16;25.5;Bösch Dario (1999);;30;34.0;16;25.5;0;0.0;10.0

24f;Ulrich Pascal (1999);;;;;;;;;;35.5
+;;;Stalder Florian (1999);;;;;;;;10.0
o;1;10.0;Effinger Markus;*;13;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Mahrer Jürg;**;7;56.5;6;18.5;0;0.0;8.5
o;10;27.0;Betschart Marcel;;12;55.25;10;27.0;0;0.0;8.5

24g;Schuler Thomas;;;;;;;;;;35.5
o;;;Elsener Kilian (1997);;;;;;;;8.5
+;5;8.5;Walker Roger;;17;54.0;5;8.5;0;0.0;9.75
-;7;18.25;Zimmermann Martin;*;14;54.75;10;17.5;3;-0.75;8.75
o;10;27.0;Rolli Ueli;;18;53.75;10;27.0;0;0.0;8.5

24h;Inderbitzin Patrick;;;;;;;;;;35.5
+;;;Zimmermann Fabian;;;;;;;;10.0
o;1;10.0;Suter David;**;6;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Corvi Dominik;;9;56.0;5;18.75;-1;0.25;8.5
o;10;27.0;Walker Roger;;17;54.0;11;26.75;1;-0.25;8.5

24i;Dober Adrian (1998);;;;;;;;;;35.5
o;;;Betschart Daniel;;;;;;;;8.5
o;5;8.5;Meier Marcel;;24;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Müller Dominik;;16;54.25;11;17.25;-1;0.25;8.5
+;16;25.5;Rogenmoser Manuel (1999);;29;34.25;15;25.75;-1;0.25;10.0

24j;Stocker Thomas;**;;;;;;;;;35.5
o;;;Linggi Bruno;**;;;;;;;8.5
o;5;8.5;Schelbert Ralf;;5;57.0;1;10.0;-4;1.5;8.5
o;12;17.0;Betschart Ernst;;12;55.25;7;18.25;-5;1.25;8.5
+;16;25.5;Ulrich Damian (1999);;25;35.25;11;26.75;-5;1.25;10.0

24k;Reichmuth Roland (1997);;;;;;;;;;35.5
o;;;Schelbert Michael;;;;;;;;8.5
+;5;8.5;Stalder Florian (1999);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schuler Philipp;**;7;56.5;8;18.0;2;-0.5;8.5
o;10;27.0;Ulrich Marco (1997);;12;55.25;10;27.0;0;0.0;8.5

24l;Stutzer Michael (1999);;;;;;;;;;35.5
+;;;Keiser Martin;;;;;;;;10.0
o;1;10.0;Heinzer Stefan;*;6;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Bucher Roland;;13;55.0;6;18.5;0;0.0;8.5
o;10;27.0;Bruhin Fredi (1997);;14;54.75;11;26.75;1;-0.25;8.5

24m;Suter Samuel (1999);;;;;;;;;;35.5
+;;;Kälin Dominik (1999);;;;;;;;10.0
o;1;10.0;Diener Pirmin;;7;56.5;1;10.0;0;0.0;8.5
o;6;18.5;Diethelm Albert;*;17;54.0;6;18.5;0;0.0;8.5
o;10;27.0;Elsener Manuel;;17;54.0;9;27.25;-1;0.25;8.5

24n;Bellmont Ruedi;;;;;;;;;;35.5
o;;;Streiff Dominik;;;;;;;;8.5
+;5;8.5;Bär Leo;;24;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Wyrsch Marco;*;9;56.0;10;17.5;3;-0.75;8.5
-;11;26.75;Betschart Fabian (1999);;22;52.75;10;27.0;-1;0.25;8.75

24o;Meier Marcel;;;;;;;;;;35.5
o;;;Weber Ivo;;;;;;;;8.5
+;5;8.5;Dober Adrian (1998);;24;35.5;5;8.5;0;0.0;9.75
-;7;18.25;Schuler Koni;;26;35.0;9;17.75;2;-0.5;8.75
o;10;27.0;Suter Paul;;9;56.0;8;27.5;-2;0.5;8.5

24p;Bär Leo;;;;;;;;;;35.5
o;;;Heinzer Florian;;;;;;;;8.5
o;5;8.5;Bellmont Ruedi;;24;35.5;5;8.5;0;0.0;8.5
+;12;17.0;Weber Manuel (1999);;30;34.0;12;17.0;0;0.0;9.75
-;11;26.75;Neyer Sven;;15;54.5;10;27.0;-1;0.25;8.75

24q;Flühler Markus;;;;;;;;;;35.5
o;;;Gwerder Beni;;;;;;;;8.5
o;5;8.5;Horat Ramon;;31;18.25;5;8.5;0;0.0;8.5
+;12;17.0;Andermatt Erwin (1999);;30;34.0;12;17.0;0;0.0;10.0
o;10;27.0;Bieri Marcel;**;6;56.75;10;27.0;0;0.0;8.5

24r;Ulrich Roman;;;;;;;;;;35.5
+;;;Schelbert Eugen;;;;;;;;9.75
-;2;9.75;Wetzstein Adrian;;18;53.75;4;8.75;2;-1.0;8.75
o;6;18.5;Hösli Fritz;*;11;55.5;5;18.75;-1;0.25;8.5
o;10;27.0;Suter Beat;;12;55.25;10;27.0;0;0.0;8.5

24s;Heinzer Florian;;;;;;;;;;35.5
+;;;Bär Leo;;;;;;;;9.75
o;2;9.75;Betschart Rainer;**;6;56.75;5;8.5;3;-1.25;8.5
o;7;18.25;Märchy Sepp;;11;55.5;6;18.5;-1;0.25;8.5
-;11;26.75;Mangold Martin;;27;34.75;14;26.0;3;-0.75;8.75

24t;Knobel Guido;;;;;;;;;;35.5
o;;;Betschart Marcel;;;;;;;;8.5
+;5;8.5;Zweifel Frowin;;29;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Bieri Christian;*;16;54.25;6;18.5;0;0.0;8.5
o;10;27.0;Elsener Marcel;;14;54.75;9;27.25;-1;0.25;8.5

24u;Zimmermann Fabian;;;;;;;;;;35.5
o;;;Inderbitzin Patrick;;;;;;;;8.5
o;5;8.5;Ulrich Marco (1997);;12;55.25;4;8.75;-1;0.25;8.5
o;12;17.0;Inderbitzin Karl;;25;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Weber Manuel (1999);;30;34.0;16;25.5;0;0.0;10.0

25a;Zimmermann Reto (1998);;;;;;;;;;35.25
o;;;Bürgler Lukas;;;;;;;;8.5
o;5;8.5;Blaser Urs (1997);;25;35.25;5;8.5;0;0.0;8.5
+;12;17.0;Brunner Timon (1998);;30;34.0;12;17.0;0;0.0;9.75
o;11;26.75;Dettling Thomas (1998);;18;53.75;11;26.75;0;0.0;8.5

25b;Inderbitzin Karl;;;;;;;;;;35.25
o;;;Staub Devin (1998);;;;;;;;8.5
o;5;8.5;Meier Andreas;;18;53.75;5;8.5;0;0.0;8.5
