3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
+;5;18.75;Gwerder Dario (1997);;10;55.75;1;20.0;-4;1.25;10.0
+;3;28.75;Widmer Thomas;;17;54.0;4;28.5;1;-0.25;9.75
o;2;38.5;Laimbacher Adrian;***;3;57.5;2;38.5;0;0.0;8.5
+;8;47.0;Märchy Sepp;;11;55.5;8;47.0;0;0.0;9.75

6k;Heinzer Stefan;*;;;;;;;;;56.75
-;;;Föhn Pirmin;*;;;;;;;8.75
+;4;8.75;Stutzer Michael (1999);;24;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Elsener Marcel;;14;54.75;5;18.75;0;0.0;9.75
o;4;28.5;Suppiger René;**;7;56.5;5;28.25;1;-0.25;8.5
+;8;37.0;Schlachter Lukas;*;17;54.0;8;37.0;0;0.0;10.0
+;8;47.0;Suter Beat;;12;55.25;9;46.75;1;-0.25;9.75

7a;Gwerder Carlo;**;;;;;;;;;56.5
o;;;Schlachter Lukas;*;;;;;;;8.5
+;5;8.5;Schürpf Bruno;;13;55.0;1;10.0;-4;1.5;9.75
+;7;18.25;Ulrich Martin;;13;55.0;6;18.5;-1;0.25;9.75
-;6;28.0;Hösli Fritz;*;11;55.5;4;28.5;-2;0.5;8.75
+;9;36.75;Zimmermann Armin;;12;55.25;9;36.75;0;0.0;10.0
+;9;46.75;Gloggner Philipp;***;13;55.0;10;46.5;1;-0.25;9.75

7b;Mahrer Jürg;**;;;;;;;;;56.5
o;;;Nötzli Bruno;***;;;;;;;8.5
+;5;8.5;Heinzer Josef;;13;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Ulrich Pascal (1999);;24;35.5;6;18.5;0;0.0;9.75
+;5;28.25;Höfliger Andreas;*;5;57.0;4;28.5;-1;0.25;9.75
+;4;38.0;Kennel Beat;*;8;56.25;5;37.75;1;-0.25;10.0
o;4;48.0;Ulrich Andreas;***;2;58.25;3;48.25;-1;0.25;8.5

7c;Nötzli Reto;***;;;;;;;;;56.5
+;;;Wicki Joel (1997);**;;;;;;;9.75
-;2;9.75;Ulrich Florian;*;4;57.25;2;9.75;0;0.0;9.0
+;5;18.75;Bürgler Lukas;;13;55.0;1;20.0;-4;1.25;10.0
