3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
+;4;8.75;Aladenise Jonathan;;10;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Berset Cyril;*;18;53.0;8;17.25;3;-1.5;8.75
+;7;27.5;Vonlanthen Alexandre;;10;55.25;9;27.0;2;-0.5;10.0
o;6;37.5;Derron Cédric;*;7;56.0;7;37.25;1;-0.25;8.5
+;9;46.0;Taillard Virgile;;14;54.25;10;45.75;1;-0.25;10.0

7g;Derron Cédric;*;;;;;;;;;56.0
+;;;Emonet Frédéric;*;;;;;;;10.0
-;1;10.0;Cardinaux Victor;**;9;55.5;1;10.0;0;0.0;8.75
+;5;18.75;Schwab Marc;;16;53.75;6;18.5;1;-0.25;10.0
o;3;28.75;Moser Steven;**;3;57.0;4;28.5;1;-0.25;8.5
+;7;37.25;Minder Florian;;7;56.0;6;37.5;-1;0.25;9.75
-;5;47.0;Gottofrey Marc;**;6;56.25;4;47.25;-1;0.25;9.0

8a;Dind Samuel;**;;;;;;;;;55.75
+;;;Brodard Augustin;**;;;;;;;9.75
-;2;9.75;Berset Julien;*;7;56.0;1;10.0;-1;0.25;8.75
+;6;18.5;Lützelschwab Luc (1999);;10;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Schenk Patrick;***;4;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Crausaz Simon;;10;55.25;3;38.25;-5;1.25;10.0
o;5;47.0;Guisolan Marc;**;4;56.75;5;47.0;0;0.0;8.75

8b;Borcard Johann;**;;;;;;;;;55.75
-;;;Roth Dominik;**;;;;;;;9.0
+;3;9.0;Dind Clément;;12;54.75;2;9.75;-1;0.75;9.75
+;5;18.75;Hofer Sven;;4;56.75;6;18.5;1;-0.25;9.75
-;4;28.5;Sommer Roman;*;6;56.25;4;28.5;0;0.0;8.75
o;7;37.25;Giroud Jonathan;**;4;56.75;9;36.75;2;-0.5;8.5
+;10;45.75;Crettaz Olivier;;10;55.25;6;46.75;-4;1.0;10.0

8c;Gassmann Simon;*;;;;;;;;;55.75
+;;;Barras André;*;;;;;;;9.75
-;2;9.75;Roth Robin (2000);*;12;54.75;5;8.5;3;-1.25;9.0
+;5;18.75;Crettaz Olivier;;10;55.25;3;19.5;-2;0.75;10.0
o;3;28.75;Cardinaux Victor;**;9;55.5;4;28.5;1;-0.25;8.5
+;7;37.25;Steiner Pirmin;;7;56.0;5;37.75;-2;0.5;9.75
o;5;47.0;Lerch Jimmy;*;6;56.25;7;46.5;2;-0.5;8.75

8d;Brodard Augustin;**;;;;;;;;;55.75
o;;;Dind Samuel;**;;;;;;;8.5
+;5;8.5;Taillard Virgile;;14;54.25;1;10.0;-4;1.5;10.0
o;6;18.5;Sommer Roman;*;6;56.25;6;18.5;0;0.0;8.5
+;9;27.0;Grossenbacher Marc (2000);;10;55.25;5;28.25;-4;1.25;10.0
+;8;37.0;Ducrest Etienne;*;16;53.75;9;36.75;1;-0.25;10.0
o;5;47.0;Zimmermann Mario;*;5;56.5;6;46.75;1;-0.25;8.75

9a;Beliakov Alexandre;;;;;;;;;;55.5
-;;;Fuchs Yannick;;;;;;;;8.75
+;4;8.75;Buchs Julien (1999);;14;54.25;4;8.75;0;0.0;9.75
+;6;18.5;Kern Kilian (2001);;21;52.25;7;18.25;1;-0.25;10.0
o;4;28.5;Zimmermann Mario;*;5;56.5;8;27.25;4;-1.25;8.5
o;8;37.0;Cotting Alexandre;;9;55.5;8;37.0;0;0.0;8.5
+;11;45.5;Schwab Marc;;16;53.75;12;45.25;1;-0.25;10.0

9b;Kyburz Silas;;;;;;;;;;55.5
o;;;Crettaz Olivier;;;;;;;;8.5
+;5;8.5;Maridor Loïc;;11;55.0;5;8.5;0;0.0;9.75
o;7;18.25;Brasey Cédric;**;24;28.0;7;18.25;0;0.0;8.5
+;10;26.75;Heiniger Mickaël;;17;53.5;10;26.75;0;0.0;10.0
o;9;36.75;Barras François;*;11;55.0;9;36.75;0;0.0;8.75
+;11;45.5;Liardon Kevin;;14;54.25;10;45.75;-1;0.25;10.0

9c;Mosimann Vincent;*;;;;;;;;;55.5
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Sommer Roman;*;6;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Quiot Didier;;15;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Gottofrey Marc;**;6;56.25;4;28.5;-1;0.25;8.5
-;9;36.75;Derron Julien;;7;56.0;7;37.25;-2;0.5;9.0
+;10;45.75;Portmann Fabio;;11;55.0;7;46.5;-3;0.75;9.75

9d;Gross Florian;*;;;;;;;;;55.5
-;;;Loup Alexandre;*;;;;;;;8.75
o;4;8.75;Crettaz Olivier;;10;55.25;2;9.75;-2;1.0;8.5
+;8;17.25;Cotting Florian;;15;54.0;6;18.5;-2;1.25;9.75
-;9;27.0;Dubey Gaël;;12;54.75;7;27.5;-2;0.5;8.75
+;13;35.75;Tchedre Abdourahaman;;16;53.75;9;36.75;-4;1.0;10.0
+;10;45.75;Schöpfer Dio;**;14;54.25;15;44.5;5;-1.25;9.75

9e;Roch Vincent;**;;;;;;;;;55.5
o;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Zingrich Jan (1999);;10;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Schenk Patrick;***;4;56.75;6;18.5;1;-0.25;8.75
+;7;27.5;Colò Kilian (1999);;13;54.5;3;28.75;-4;1.25;9.75
+;7;37.25;Barras André;*;9;55.5;7;37.25;0;0.0;9.75
o;5;47.0;Hofer Sven;;4;56.75;6;46.75;1;-0.25;8.5

9f;Cardinaux Victor;**;;;;;;;;;55.5
+;;;Glauser Thomas;**;;;;;;;10.0
-;1;10.0;Derron Cédric;*;7;56.0;1;10.0;0;0.0;8.75
+;5;18.75;Portmann Fabio;;11;55.0;3;19.5;-2;0.75;9.75
+;4;28.5;Gassmann Simon;*;8;55.75;3;28.75;-1;0.25;9.75
o;3;38.25;Moser Steven;**;3;57.0;3;38.25;0;0.0;8.5
o;6;46.75;Riedo Fredy;;2;57.25;4;47.25;-2;0.5;8.75

9g;Barras André;*;;;;;;;;;55.5
o;;;Gassmann Simon;*;;;;;;;8.5
+;5;8.5;Gauch Thierry;;16;53.75;1;10.0;-4;1.5;10.0
-;6;18.5;Glauser Thomas;**;3;57.0;7;18.25;1;-0.25;9.0
+;7;27.5;Dind Clément;;12;54.75;6;28.0;-1;0.5;9.75
o;7;37.25;Roch Vincent;**;9;55.5;7;37.25;0;0.0;8.5
+;10;45.75;Kramer Dorian (1999);;11;55.0;7;46.5;-3;0.75;9.75

9h;Cotting Alexandre;;;;;;;;;;55.5
o;;;Ledermann Michael (2000);;;;;;;;8.75
+;4;8.75;Blanchette Nicolas;;22;51.25;5;8.5;1;-0.25;9.75
o;6;18.5;Ducry Antoine;*;10;55.25;7;18.25;1;-0.25;8.5
+;9;27.0;Cottier Marco (2000);;10;55.25;9;27.0;0;0.0;10.0
+;8;37.0;Beliakov Alexandre;;9;55.5;8;37.0;0;0.0;10.0
o;5;47.0;Piemontesi Pascal;**;3;57.0;5;47.0;0;0.0;8.5

10a;Crettaz Olivier;;;;;;;;;;55.25
