5266-2022-06-12_Buendner-Glarner_Kantonalschwingfest-ST

1a;Schmid Dominik;**;;;;;;;;;109.5
12d;Fejzaj Naim;**;;;;;;;;;55.25
o;;;Good Marco;**;;;;;;;8.5
+;6;8.5;Gantenbein Linard (2004);;22;52.75;2;10.0;-4;1.5;10.0
+;7;18.5;Funk Nicola;*;6;56.75;7;18.5;0;0.0;9.75
o;7;28.25;Durrer Jonas;*;7;56.5;7;28.25;0;0.0;8.5
+;10;36.75;Riget Tobias;**;15;54.5;13;36.0;3;-0.75;10.0
o;8;46.75;Räbsamen Marcel;**;5;57.0;7;47.0;-1;0.25;8.5

12e;Baumgartner Ramon;**;;;;;;;;;55.25
o;;;Dumelin David;**;;;;;;;8.5
o;6;8.5;Jörger Corsin;*;13;55.0;3;9.75;-3;1.25;8.5
+;12;17.0;Walser Aaron (2006);;23;52.5;7;18.5;-5;1.5;10.0
+;12;27.0;Rhyner Beni;;14;54.75;8;28.0;-4;1.0;9.75
o;10;36.75;Kindlimann Fabian;***;6;56.75;9;37.0;-1;0.25;8.5
+;14;45.25;Thiemann Fabrice;;16;54.25;13;45.5;-1;0.25;10.0

12f;Ulmann Fabian;*;;;;;;;;;55.25
o;;;Lehmann Philipp;*;;;;;;;8.5
+;6;8.5;Schmid Dominik;;1;109.5;1;18.75;-5;10.25;9.75
+;8;18.25;Leuppi Karim;*;11;55.5;8;18.25;0;0.0;9.75
+;8;28.0;Ackermann Remo;*;12;55.25;7;28.25;-1;0.25;9.75
o;6;37.75;Poltera Andrin;**;9;56.0;7;37.5;1;-0.25;8.5
-;10;46.25;Tsirkin Stepan;;11;55.5;9;46.5;-1;0.25;9.0

12g;Mettler Valentin;*;;;;;;;;;55.25
+;;;Inauen Andreas;*;;;;;;;9.75
o;3;9.75;Dändliker Shane;**;6;56.75;3;9.75;0;0.0;8.5
+;8;18.25;Horner Sämi;;17;54.0;7;18.5;-1;0.25;10.0
