5266-2022-06-12_Buendner-Glarner_Kantonalschwingfest-ST

1a;Schmid Dominik;**;;;;;;;;;109.5
o;14;45.25;Flütsch Marco;;13;55.0;14;45.25;0;0.0;8.5

18h;Brand Andreas;;;;;;;;;;53.75
o;;;Lacher Tobias (2005);;;;;;;;8.5
o;6;8.5;Trümpy Thomas (2006);;17;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Mathys Stefan (2005);;14;54.75;12;17.0;0;0.0;8.5
+;16;25.5;Signer Walter;;28;34.0;16;25.5;0;0.0;10.0
o;15;35.5;Spörndli Cyril;;18;53.75;15;35.5;0;0.0;8.5
+;19;44.0;Mösli Timo (2006);;23;52.5;19;44.0;0;0.0;9.75

19a;Müller Josias (2006);;;;;;;;;;53.5
+;;;Spörndli Cyril;;;;;;;;10.0
-;2;10.0;Nock Benjamin;*;18;53.75;5;8.75;3;-1.25;9.0
o;5;19.0;Lacher Tobias (2005);;13;55.0;7;18.5;2;-0.5;8.75
o;9;27.75;Barmettler Renato;*;9;56.0;10;27.5;1;-0.25;8.5
o;12;36.25;Hurschler Adrian;;16;54.25;13;36.0;1;-0.25;8.5
o;16;44.75;Kühne Cyrill (2004);;12;55.25;14;45.25;-2;0.5;8.75

19b;Odermatt Gian Maria (2004);*;;;;;;;;;53.5
-;;;Ammann Rico;*;;;;;;;8.75
-;5;8.75;Inauen Aurel;;12;55.25;2;10.0;-3;1.25;8.75
+;10;17.5;Feldmann Patrik (2005);;10;55.75;7;18.5;-3;1.0;9.75
o;11;27.25;Odermatt Christian;**;11;55.5;11;27.25;0;0.0;8.75
-;13;36.0;Egli Martin;*;14;54.75;13;36.0;0;0.0;8.75
-;16;44.75;Pianta Christian;*;15;54.5;12;45.75;-4;1.0;8.75

20a;Plüer Fabian;;;;;;;;;;53.25
-;;;Lazzarotto Salomon (2005);;;;;;;;9.0
o;4;9.0;Rotach Lars;*;10;55.75;5;8.75;1;-0.25;8.5
+;10;17.5;Gantenbein Linard (2004);;22;52.75;7;18.5;-3;1.0;9.75
o;11;27.25;Lötscher Niklas (2006);;16;54.25;11;27.25;0;0.0;8.75
o;13;36.0;Korrodi Janik (2004);;16;54.25;13;36.0;0;0.0;8.75
o;16;44.75;Bernhard Thomas;;18;53.75;19;44.0;3;-0.75;8.5

21a;Schläpfer Matthias;*;;;;;;;;;53.0
-;;;Schiesser Patrik;*;;;;;;;9.0
+;4;9.0;Rogenmoser Linus;;15;54.5;2;10.0;-2;1.0;9.75
o;6;18.75;Gmür Pirmin;**;9;56.0;6;18.75;0;0.0;8.5
o;11;27.25;Stadelmann Patrick;;13;55.0;7;28.25;-4;1.0;8.5
-;14;35.75;Nock Benjamin;*;18;53.75;12;36.25;-2;0.5;8.75
o;17;44.5;Riget Tobias;**;15;54.5;17;44.5;0;0.0;8.5

22a;Bleiker Daniel;;;;;;;;;;52.75
o;;;Buchmann Michael;;;;;;;;8.5
-;6;8.5;Lazzarotto Salomon (2005);;15;54.5;4;9.0;-2;0.5;8.75
-;11;17.25;Allemann Thomas;;27;34.25;12;17.0;1;-0.25;8.75
+;14;26.0;Egli Benno (2004);;28;34.0;16;25.5;2;-0.5;9.75
o;14;35.75;Feldmann Patrik (2005);;10;55.75;13;36.0;-1;0.25;8.5
o;18;44.25;Egli Martin;*;14;54.75;16;44.75;-2;0.5;8.5

22b;Gantenbein Linard (2004);;;;;;;;;;52.75
+;;;Bischof Martin;;;;;;;;10.0
o;2;10.0;Fejzaj Naim;**;12;55.25;6;8.5;4;-1.5;8.5
o;7;18.5;Plüer Fabian;;20;53.25;10;17.5;3;-1.0;8.5
o;12;27.0;Thiemann Fabrice;;16;54.25;12;27.0;0;0.0;8.5
o;15;35.5;Hänni Marc;;11;55.5;13;36.0;-2;0.5;8.75
o;18;44.25;Mathys Stefan (2005);;14;54.75;15;45.0;-3;0.75;8.5

23a;Bachmann Oliver (2004);;;;;;;;;;52.5
+;;;Egli Benno (2004);;;;;;;;9.75
o;3;9.75;Schläpfer Markus;**;7;56.5;4;9.0;1;-0.75;8.5
-;8;18.25;Fässler Tobias;;12;55.25;8;18.25;0;0.0;8.75
o;12;27.0;Horner Sämi;;17;54.0;12;27.0;0;0.0;8.5
o;15;35.5;Engi Niculin (2006);;16;54.25;15;35.5;0;0.0;8.5
o;19;44.0;Lazzarotto Salomon (2005);;15;54.5;17;44.5;-2;0.5;8.5

23b;Walser Aaron (2006);;;;;;;;;;52.5
o;;;Dörig Maurus (2004);;;;;;;;8.5
+;6;8.5;Signer Walter;;28;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Baumgartner Ramon;**;12;55.25;12;17.0;5;-1.5;8.5
o;12;27.0;Keller Cedric;;18;53.75;13;26.75;1;-0.25;8.5
o;15;35.5;Schoch René;;17;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Schmid Dominik;;1;109.5;1;91.25;-18;47.25;8.5

23c;Mösli Timo (2006);;;;;;;;;;52.5
+;;;Nay Kyron (2006);;;;;;;;10.0
o;2;10.0;Lanter Christian;*;9;56.0;5;8.75;3;-1.25;8.5
o;7;18.5;Schlegel Jamie (2004);;16;54.25;8;18.25;1;-0.25;8.5
o;12;27.0;Trümpy Thomas (2006);;17;54.0;12;27.0;0;0.0;8.5
o;15;35.5;Niederberger Marc Ursin;;12;55.25;15;35.5;0;0.0;8.5
o;19;44.0;Brand Andreas;;18;53.75;19;44.0;0;0.0;8.5

23d;Schläpfer Andrin;;;;;;;;;;52.5
o;;;Joos Roman (2005);;;;;;;;8.5
o;6;8.5;Feldmann Patrik (2005);;10;55.75;5;8.75;-1;0.25;8.5
+;12;17.0;Nay Kyron (2006);;28;34.0;12;17.0;0;0.0;10.0
o;12;27.0;Sprecher Martin;;11;55.5;12;27.0;0;0.0;8.5
o;15;35.5;Flütsch Marco;;13;55.0;15;35.5;0;0.0;8.5
o;19;44.0;Ammann Rico;*;16;54.25;18;44.25;-1;0.25;8.5

24a;Castelli Fabio;*;;;;;;;;;37.0
+;;;Hengartner Ivo;*;;;;;;;10.0
o;2;10.0;Räbsamen Marcel;**;5;57.0;5;8.75;3;-1.25;8.5
+;7;18.5;Schiess Daniel;;18;53.75;7;18.5;0;0.0;10.0
o;6;28.5;Dumelin David;**;3;57.5;8;28.0;2;-0.5;8.5

25a;Dörig Maurus (2004);;;;;;;;;;35.25
+;;;Walser Aaron (2006);;;;;;;;9.75
o;3;9.75;Riget Tobias;**;15;54.5;5;8.75;2;-1.0;8.5
o;8;18.25;Thiemann Fabrice;;16;54.25;11;17.25;3;-1.0;8.5
o;13;26.75;Brasser Gian-Claudio;;25;35.25;16;25.5;3;-1.25;8.5

25b;Brasser Gian-Claudio;;;;;;;;;;35.25
o;;;Hari Michi;;;;;;;;8.5
o;6;8.5;Bischof Martin;;17;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Habegger Andrin (2005);;16;54.25;11;17.25;-1;0.25;8.5
+;16;25.5;Dörig Maurus (2004);;25;35.25;13;26.75;-3;1.25;9.75

25c;Rust Emanuel;;;;;;;;;;35.25
o;;;Horner Sämi;;;;;;;;8.5
o;6;8.5;Sprecher Martin;;11;55.5;6;8.5;0;0.0;8.5
o;12;17.0;Engi Niculin (2006);;16;54.25;12;17.0;0;0.0;8.5
+;16;25.5;Mayer Sebastian (2005);;28;34.0;16;25.5;0;0.0;9.75

25d;Bernold Edi;**;;;;;;;;;35.25
o;;;Landolt Reto;*;;;;;;;8.5
+;6;8.5;Ackermann Rico;*;26;34.5;5;8.75;-1;0.25;9.75
o;8;18.25;Rogenmoser Linus;;15;54.5;7;18.5;-1;0.25;8.5
o;13;26.75;Tsirkin Stepan;;11;55.5;8;28.0;-5;1.25;8.5

25e;Vetterli Sven;;;;;;;;;;35.25
+;;;Mayer Sebastian (2005);;;;;;;;9.75
o;3;9.75;Jörger Marc;*;6;56.75;6;8.5;3;-1.25;8.5
o;8;18.25;Hari Michi;;14;54.75;8;18.25;0;0.0;8.5
o;13;26.75;Inauen Andreas;*;16;54.25;15;25.75;2;-1.0;8.5

25f;Bossert Luc (2006);;;;;;;;;;35.25
+;;;Nef Tobias (2005);;;;;;;;9.75
o;3;9.75;Barmettler Renato;*;9;56.0;6;8.5;3;-1.25;8.5
o;8;18.25;Rhyner Beni;;14;54.75;8;18.25;0;0.0;8.5
o;13;26.75;Fässler Tobias;;12;55.25;12;27.0;-1;0.25;8.5

26a;Ackermann Rico;*;;;;;;;;;34.5
-;;;Brügger Stefan;*;;;;;;;8.75
o;5;8.75;Bernold Edi;**;25;35.25;6;8.5;1;-0.25;8.5
o;11;17.25;Studerus Jan;;13;55.0;8;18.25;-3;1.0;8.5
-;15;25.75;Hurschler Adrian;;16;54.25;12;27.0;-3;1.25;8.75

27a;Hengartner Ivo;*;;;;;;;;;34.25
o;;;Castelli Fabio;*;;;;;;;8.5
o;6;8.5;Bucher Roman;;12;55.25;3;9.75;-3;1.25;8.5
-;12;17.0;Bernhard Thomas;;18;53.75;8;18.25;-4;1.25;8.75
o;15;25.75;Jörger Marc;*;6;56.75;12;27.0;-3;1.25;8.5

27b;Nef Tobias (2005);;;;;;;;;;34.25
o;;;Bossert Luc (2006);;;;;;;;8.5
-;6;8.5;Aebli Andrin;;27;34.25;6;8.5;0;0.0;8.75
o;11;17.25;Lazzarotto Salomon (2005);;15;54.5;9;17.75;-2;0.5;8.5
o;15;25.75;Niederberger Marc Ursin;;12;55.25;16;25.5;1;-0.25;8.5

27c;Aebli Andrin;;;;;;;;;;34.25
o;;;Bucher Roman;;;;;;;;8.5
-;6;8.5;Nef Tobias (2005);;27;34.25;6;8.5;0;0.0;8.75
o;11;17.25;Tsirkin Stepan;;11;55.5;8;18.25;-3;1.0;8.5
o;15;25.75;Mathys Stefan (2005);;14;54.75;13;26.75;-2;1.0;8.5

27d;Allemann Thomas;;;;;;;;;;34.25
o;;;Dobler Martin;;;;;;;;8.5
o;6;8.5;Inauen Maurus;;14;54.75;6;8.5;0;0.0;8.5
-;12;17.0;Bleiker Daniel;;22;52.75;11;17.25;-1;0.25;8.75
o;15;25.75;Bischof Martin;;17;54.0;13;26.75;-2;1.0;8.5

28a;Nay Kyron (2006);;;;;;;;;;34.0
o;;;Mösli Timo (2006);;;;;;;;8.5
o;6;8.5;Spörndli Cyril;;18;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Schläpfer Andrin;;23;52.5;12;17.0;0;0.0;8.5
o;16;25.5;Kühne Cyrill (2004);;12;55.25;13;26.75;-3;1.25;8.5

28b;Signer Walter;;;;;;;;;;34.0
o;;;Stadelmann Patrick;;;;;;;;8.5
o;6;8.5;Walser Aaron (2006);;23;52.5;6;8.5;0;0.0;8.5
o;12;17.0;Odermatt Michi;;16;54.25;10;17.5;-2;0.5;8.5
o;16;25.5;Brand Andreas;;18;53.75;16;25.5;0;0.0;8.5

28c;Egli Benno (2004);;;;;;;;;;34.0
o;;;Bachmann Oliver (2004);;;;;;;;8.5
o;6;8.5;Studerus Jan;;13;55.0;6;8.5;0;0.0;8.5
o;12;17.0;Schoch René;;17;54.0;12;17.0;0;0.0;8.5
o;16;25.5;Bleiker Daniel;;22;52.75;14;26.0;-2;0.5;8.5

28d;Mayer Sebastian (2005);;;;;;;;;;34.0
o;;;Vetterli Sven;;;;;;;;8.5
o;6;8.5;Schiess Daniel;;18;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Keller Cedric;;18;53.75;12;17.0;0;0.0;8.5
o;16;25.5;Rust Emanuel;;25;35.25;16;25.5;0;0.0;8.5

29a;Keller Dominic;;;;;;;;;;18.25
+;;;Joos Roman (2005);;;;;;;;9.75
o;3;9.75;Poltera Andrin;**;9;56.0;5;8.75;2;-1.0;8.5

