5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
6a;Haenni Stéphane;**;;;;;;;;;56.25
-;;;Hofer Sven;**;;;;;;;9.0
+;3;9.0;Zbinden Lukas;;4;56.75;1;10.0;-2;1.0;9.75
+;4;18.75;Borcard Clovis;*;27;27.25;4;18.75;0;0.0;10.0
o;2;28.75;Kramer Lario;***;1;59.5;1;29.5;-1;0.75;8.5
-;7;37.25;Riedo Fredy;*;5;56.5;4;38.0;-3;0.75;9.0
+;10;46.25;Bucher Roman;;13;54.5;11;46.0;1;-0.25;10.0

6b;Baeriswyl Christoph;**;;;;;;;;;56.25
+;;;Matthey Mickaël;**;;;;;;;9.75
+;2;9.75;Tornare Paul;*;9;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Gapany Benjamin;***;3;57.0;4;18.75;1;-0.75;8.5
+;5;28.0;Monney Branighan;;9;55.5;3;28.5;-2;0.5;10.0
+;4;38.0;Wieland Janis;*;9;55.5;8;37.0;4;-1.0;9.75
-;4;47.75;Balimann Sandro;*;7;56.0;5;47.5;1;-0.25;8.5

7a;Balimann Sandro;*;;;;;;;;;56.0
+;;;Martin Gaël (2004);*;;;;;;;9.75
o;2;9.75;Collaud Romain;**;3;57.0;1;10.0;-1;0.25;8.5
+;6;18.25;Berger Sascha;;14;54.25;4;18.75;-2;0.5;9.75
+;5;28.0;Ducry Antoine;**;10;55.25;4;28.25;-1;0.25;9.75
+;5;37.75;Hayoz Paul;*;10;55.25;8;37.0;3;-0.75;9.75
-;5;47.5;Baeriswyl Christoph;**;6;56.25;4;47.75;-1;0.25;8.5

7b;Dousse Michel;**;;;;;;;;;56.0
-;;;Mollet Ivan;**;;;;;;;8.75
+;4;8.75;Perret Loïc;;15;54.0;2;9.75;-2;1.0;10.0
+;4;18.75;Stoll Thomas;*;13;54.5;5;18.5;1;-0.25;10.0
o;2;28.75;Gapany Benjamin;***;3;57.0;2;28.75;0;0.0;8.5
+;7;37.25;Fankhauser Hans;*;10;55.25;8;37.0;1;-0.25;10.0
o;6;47.25;Duplan Steve;***;4;56.75;7;47.0;1;-0.25;8.75

8a;Guisolan Marc;**;;;;;;;;;55.75
o;;;Varone Luc;*;;;;;;;8.5
+;5;8.5;Wenger Marco;;11;55.0;2;9.75;-3;1.25;10.0
o;5;18.5;Sturny Nicolas;**;10;55.25;5;18.5;0;0.0;8.5
-;8;27.0;Tornare Paul;*;9;55.5;4;28.25;-4;1.25;9.0
+;12;36.0;Perret Loïc;;15;54.0;10;36.5;-2;0.5;9.75
+;12;45.75;Germanier Joel;;15;54.0;13;45.5;1;-0.25;10.0

8b;Mollet Ivan;**;;;;;;;;;55.75
-;;;Dousse Michel;**;;;;;;;8.75
+;4;8.75;Fuchs Sylvain (2005);;11;55.0;1;10.0;-3;1.25;10.0
-;4;18.75;Derron Cédric;*;9;55.5;6;18.25;2;-0.5;8.75
+;6;27.5;Bapst Ludovic;;11;55.0;4;28.25;-2;0.75;9.75
+;7;37.25;Emonet Frédéric;**;10;55.25;9;36.75;2;-0.5;10.0
o;6;47.25;Borcard Johann;**;5;56.5;8;46.75;2;-0.5;8.5

8c;Dorsaz Théo;*;;;;;;;;;55.75
o;;;Ducrest Etienne;*;;;;;;;8.5
-;5;8.5;Vonlanthen Alexandre;;13;54.5;1;10.0;-4;1.5;8.75
+;8;17.25;Jacquaz Fabien (2006);;11;55.0;6;18.25;-2;1.0;10.0
+;7;27.25;Pürro David;*;13;54.5;7;27.25;0;0.0;10.0
+;7;37.25;Gnägi Damian;*;13;54.5;8;37.0;1;-0.25;10.0
o;6;47.25;Collaud Romain;**;3;57.0;7;47.0;1;-0.25;8.5

8d;Dufey Gil;*;;;;;;;;;55.75
o;;;Riedo Fredy;*;;;;;;;8.5
+;5;8.5;Zbinden Samuel;;16;53.75;1;10.0;-4;1.5;10.0
o;5;18.5;Kramer Dorian;**;8;55.75;4;18.75;-1;0.25;8.75
+;7;27.25;Cressier Gaetan;;17;53.5;5;28.0;-2;0.75;10.0
o;7;37.25;Siegenthaler Leo (2005);**;5;56.5;9;36.75;2;-0.5;8.5
+;12;45.75;Berger Sascha;;14;54.25;12;45.75;0;0.0;10.0

8e;Kramer Dorian;**;;;;;;;;;55.75
-;;;Sonnay Thomas;**;;;;;;;8.75
+;4;8.75;Lengen Michael (2005);;15;54.0;1;10.0;-3;1.25;10.0
+;4;18.75;Dufey Gil;*;8;55.75;5;18.5;1;-0.25;10.0
+;2;28.75;Duplan Steve;***;4;56.75;3;28.5;1;-0.25;9.75
-;2;38.5;Burger Matthieu;**;4;56.75;4;38.0;2;-0.5;8.75
o;6;47.25;Zbinden Lukas;;4;56.75;8;46.75;2;-0.5;8.5

8f;Fuchs Yannick;;;;;;;;;;55.75
+;;;Schwab Livio (2005);;;;;;;;9.75
o;2;9.75;Siegenthaler Leo (2005);**;5;56.5;5;8.5;3;-1.25;8.5
+;6;18.25;Girard Simon (2004);;17;53.5;6;18.25;0;0.0;10.0
-;4;28.25;Martin Gaël (2004);*;11;55.0;7;27.25;3;-1.0;9.0
o;7;37.25;Barras André;*;5;56.5;9;36.75;2;-0.5;8.5
+;12;45.75;Wieland Micha;;14;54.25;12;45.75;0;0.0;10.0

9a;Crettaz Olivier;*;;;;;;;;;55.5
o;;;Ducry Antoine;**;;;;;;;8.5
-;5;8.5;Etter Hans-Eduard;;28;18.5;2;9.75;-3;1.25;8.75
+;8;17.25;Bucher Adrian (2004);;10;55.25;6;18.25;-2;1.0;10.0
o;7;27.25;Hayoz Quentin;*;12;54.75;6;27.5;-1;0.25;8.5
+;13;35.75;Zbinden Samuel;;16;53.75;9;36.75;-4;1.0;10.0
+;12;45.75;Wieland Timon;;10;55.25;14;45.25;2;-0.5;9.75

9b;Monney Branighan;;;;;;;;;;55.5
+;;;Jeannin Jess;;;;;;;;10.0
-;1;10.0;Hayoz Quentin;*;12;54.75;4;8.75;3;-1.25;8.75
+;4;18.75;Emonet Frédéric;**;10;55.25;6;18.25;2;-0.5;9.75
o;3;28.5;Baeriswyl Christoph;**;6;56.25;5;28.0;2;-0.5;8.5
o;8;37.0;Buchs Noah (2004);;10;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Theiler Nils (2004);;15;54.0;13;45.5;0;0.0;10.0

9c;Pasquier Loïc;*;;;;;;;;;55.5
+;;;Portmann Fabio;*;;;;;;;9.75
o;2;9.75;Gottofrey Luc;*;4;56.75;2;9.75;0;0.0;8.75
+;5;18.5;Lengen Michael (2005);;15;54.0;5;18.5;0;0.0;10.0
o;3;28.5;Matthey Mickaël;**;2;57.25;3;28.5;0;0.0;8.5
o;8;37.0;Gottofrey Marc;**;5;56.5;8;37.0;0;0.0;8.5
+;13;45.5;Aeschbacher Ivo;;14;54.25;12;45.75;-1;0.25;10.0

9d;Tornare Paul;*;;;;;;;;;55.5
+;;;Hayoz Paul;*;;;;;;;9.75
o;2;9.75;Baeriswyl Christoph;**;6;56.25;2;9.75;0;0.0;8.5
+;6;18.25;Wieland Micha;;14;54.25;4;18.75;-2;0.5;10.0
-;4;28.25;Guisolan Marc;**;8;55.75;8;27.0;4;-1.25;9.0
+;7;37.25;Stoll Thomas;*;13;54.5;8;37.0;1;-0.25;9.75
o;7;47.0;Matthey Mickaël;**;2;57.25;6;47.25;-1;0.25;8.5

9e;Wieland Janis;*;;;;;;;;;55.5
+;;;Dubey Gaël;*;;;;;;;10.0
o;1;10.0;Borcard Johann;**;5;56.5;4;8.75;3;-1.25;8.5
+;5;18.5;Theiler Nils (2004);;15;54.0;5;18.5;0;0.0;10.0
o;3;28.5;Burger Matthieu;**;4;56.75;5;28.0;2;-0.5;8.5
o;8;37.0;Baeriswyl Christoph;**;6;56.25;4;38.0;-4;1.0;8.5
+;13;45.5;Mermillod Jérôme (2004);;15;54.0;13;45.5;0;0.0;10.0

9f;Derron Cédric;*;;;;;;;;;55.5
o;;;Gottofrey Luc;*;;;;;;;8.5
+;5;8.5;Wiget Adrian (2004);;10;55.25;2;9.75;-3;1.25;9.75
-;6;18.25;Mollet Ivan;**;8;55.75;4;18.75;-2;0.5;8.75
+;8;27.0;Zbinden Lukas;;4;56.75;3;28.5;-5;1.5;10.0
+;8;37.0;Hayoz Quentin;*;12;54.75;6;37.5;-2;0.5;10.0
o;7;47.0;Burger Matthieu;**;4;56.75;7;47.0;0;0.0;8.5

10a;Hayoz Paul;*;;;;;;;;;55.25
o;;;Tornare Paul;*;;;;;;;8.5
+;5;8.5;Cressier Gaetan;;17;53.5;2;9.75;-3;1.25;10.0
-;5;18.5;Martin Gaël (2004);*;11;55.0;5;18.5;0;0.0;8.75
+;7;27.25;Wenger Marco;;11;55.0;5;28.0;-2;0.75;9.75
o;8;37.0;Balimann Sandro;*;7;56.0;5;37.75;-3;0.75;8.5
+;13;45.5;Varone Luc;*;14;54.25;12;45.75;-1;0.25;9.75

10b;Bucher Adrian (2004);;;;;;;;;;55.25
o;;;Cottier Marco;;;;;;;;8.5
+;5;8.5;Messerli Niklaus;;21;52.5;5;8.5;0;0.0;9.75
o;6;18.25;Crettaz Olivier;*;9;55.5;8;17.25;2;-1.0;8.5
+;9;26.75;Fèvre Antoine;;17;53.5;9;26.75;0;0.0;10.0
+;9;36.75;Sonnay Thomas;**;14;54.25;13;35.75;4;-1.0;10.0
o;8;46.75;Hofer Sven;**;3;57.0;7;47.0;-1;0.25;8.5

10c;Fankhauser Hans;*;;;;;;;;;55.25
-;;;Borcard Clovis;*;;;;;;;8.75
+;4;8.75;Clément Aurélien;;10;55.25;2;9.75;-2;1.0;10.0
o;4;18.75;Gottofrey Marc;**;5;56.5;5;18.5;1;-0.25;8.5
+;7;27.25;Cottier Marco;;15;54.0;8;27.0;1;-0.25;9.75
o;8;37.0;Dousse Michel;**;7;56.0;7;37.25;-1;0.25;8.5
+;13;45.5;Theiler Nils (2004);;15;54.0;13;45.5;0;0.0;9.75

10d;Rogivue Théo;*;;;;;;;;;55.25
o;;;Grossenbacher Simon;*;;;;;;;8.5
+;5;8.5;Tornare Philippe (2004);;14;54.25;2;9.75;-3;1.25;9.75
+;6;18.25;Fankhauser Tom (2006);;14;54.25;5;18.5;-1;0.25;10.0
o;4;28.25;Collaud Romain;**;3;57.0;3;28.5;-1;0.25;8.5
+;9;36.75;Portmann Fabio;*;11;55.0;9;36.75;0;0.0;10.0
o;8;46.75;Riedo Fredy;*;5;56.5;8;46.75;0;0.0;8.5

10e;Wieland Timon;;;;;;;;;;55.25
+;;;Bärtschi Yves;;;;;;;;10.0
o;1;10.0;Sturny Nicolas;**;10;55.25;5;8.5;4;-1.5;8.5
+;5;18.5;Perret Loïc;;15;54.0;6;18.25;1;-0.25;9.75
o;4;28.25;Ducry Antoine;**;10;55.25;4;28.25;0;0.0;8.5
o;9;36.75;Crettaz Olivier;*;9;55.5;13;35.75;4;-1.0;8.5
+;14;45.25;Rey Arnaud;;16;53.75;14;45.25;0;0.0;10.0

10f;Sturny Nicolas;**;;;;;;;;;55.25
o;;;Emonet Frédéric;**;;;;;;;8.5
+;5;8.5;Wieland Timon;;10;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Guisolan Marc;**;8;55.75;5;18.5;0;0.0;10.0
+;3;28.5;Grossenbacher Simon;*;5;56.5;4;28.25;1;-0.25;9.75
o;3;38.25;Duplan Steve;***;4;56.75;8;37.0;5;-1.25;8.5
o;8;46.75;Balimann Fabian;;5;56.5;8;46.75;0;0.0;8.5

