5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
26a;Verdon Simon (2005);;;;;;;;;;34.0
o;;;Zbinden Lukas;;;;;;;;8.5
o;5;8.5;Mermillod Jérôme (2004);;15;54.0;4;8.75;-1;0.25;8.5
o;9;17.0;Messerli Niklaus;;21;52.5;9;17.0;0;0.0;8.5
o;14;25.5;Elmiger Silvan (2004);;14;54.25;13;25.75;-1;0.25;8.5

27a;Borcard Clovis;*;;;;;;;;;27.25
-;;;Fankhauser Hans;*;;;;;;;9.0
+;3;9.0;Bapst Ludovic;;11;55.0;1;10.0;-2;1.0;9.75
o;4;18.75;Haenni Stéphane;**;6;56.25;4;18.75;0;0.0;8.5

28a;Etter Hans-Eduard;;;;;;;;;;18.5
+;;;Imstepf Sandro;;;;;;;;9.75
-;2;9.75;Crettaz Olivier;*;9;55.5;5;8.5;3;-1.25;8.75

29a;Losey Nolan (2006);;;;;;;;;;17.0
o;;;Fèvre Antoine;;;;;;;;8.5
o;5;8.5;Steiner Pirmin;;20;52.75;5;8.5;0;0.0;8.5

30a;Droxler Jonathan;**;;;;;;;;;8.75
-;;;Borcard Johann;**;;;;;;;8.75

31a;Cochrane Benjamin;;;;;;;;;;8.5
o;;;Vonlanthen Alexandre;;;;;;;;8.5

