3386-2016-05-16_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
5a;Bless Michael;***;;;;;;;;;57.0
-;;;Clopath Beat;***;;;;;;;8.75
+;4;8.75;Sprecher Sandro;*;9;56.0;1;10.0;-3;1.25;10.0
+;5;18.75;Vollenweider Jeremy (1998);*;11;55.5;6;18.5;1;-0.25;9.75
+;5;28.5;Battaglia Ursin;**;6;56.75;6;28.25;1;-0.25;10.0
o;2;38.5;Imhof Andi;***;6;56.75;3;38.25;1;-0.25;8.5
+;7;47.0;Gmür Pirmin;*;12;55.25;8;46.75;1;-0.25;10.0

5b;Glaus Martin;***;;;;;;;;;57.0
+;;;Peng Mike;***;;;;;;;10.0
o;1;10.0;Orlik Armon;**;1;58.75;1;10.0;0;0.0;8.5
+;6;18.5;Koch Thomas;;12;55.25;3;19.5;-3;1.0;9.75
+;6;28.25;Schmid Patrick;*;11;55.5;5;28.5;-1;0.25;10.0
+;3;38.25;Hochholdinger Roman;**;10;55.75;2;38.5;-1;0.25;10.0
-;3;48.25;Imhof Andi;***;6;56.75;4;48.0;1;-0.25;8.75

5c;Kamer Hanspeter;*;;;;;;;;;57.0
-;;;Frick Andreas;*;;;;;;;8.75
o;4;8.75;Kuster Marcel;**;10;55.75;4;8.75;0;0.0;8.5
+;11;17.25;Schönenberger Christian;;27;35.25;7;18.25;-4;1.0;10.0
+;10;27.25;Schneider Noel (2000);;18;53.75;11;27.0;1;-0.25;10.0
+;7;37.25;Freuler Franz;**;16;54.25;7;37.25;0;0.0;10.0
+;6;47.25;Hochholdinger Roman;**;10;55.75;7;47.0;1;-0.25;9.75

6a;Imhof Andi;***;;;;;;;;;56.75
o;;;Forrer Arnold;***;;;;;;;8.5
+;5;8.5;Vestner Roman;*;11;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Rüegg Fabian;*;10;55.75;6;18.5;-1;0.25;10.0
+;6;28.25;Horner Peter;**;6;56.75;5;28.5;-1;0.25;10.0
+;3;38.25;Bless Michael;***;5;57.0;2;38.5;-1;0.25;9.75
-;4;48.0;Glaus Martin;***;5;57.0;3;48.25;-1;0.25;8.75

6b;Horner Peter;**;;;;;;;;;56.75
-;;;Büchler Remo;**;;;;;;;8.75
+;4;8.75;Hersche Daniel;;13;55.0;1;10.0;-3;1.25;9.75
+;6;18.5;Pfister Florian;*;13;55.0;7;18.25;1;-0.25;10.0
o;5;28.5;Imhof Andi;***;6;56.75;6;28.25;1;-0.25;8.75
+;7;37.25;Bernold Michael (1999);;11;55.5;7;37.25;0;0.0;9.75
+;7;47.0;Arnold Andreas;*;12;55.25;8;46.75;1;-0.25;9.75

6c;Reber Marcel;*;;;;;;;;;56.75
-;;;Holenstein Christian;*;;;;;;;8.75
+;4;8.75;Ott Damian (2000);;18;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Rychen Roger;**;2;58.0;4;19.0;-1;0.25;8.5
+;10;27.25;Gysel Hansruedi;;13;55.0;11;27.0;1;-0.25;10.0
+;7;37.25;Bleiker Reto;*;17;54.0;8;37.0;1;-0.25;9.75
+;7;47.0;Koch Thomas;;12;55.25;8;46.75;1;-0.25;9.75

6d;Battaglia Ursin;**;;;;;;;;;56.75
o;;;Fässler Andreas;**;;;;;;;8.5
+;5;8.5;Lieberherr Michael (1999);;11;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Hämmerli Gian-Franco;*;12;55.25;7;18.25;0;0.0;10.0
o;6;28.25;Bless Michael;***;5;57.0;5;28.5;-1;0.25;8.5
+;9;36.75;Vollmeier Sandro;;18;53.75;9;36.75;0;0.0;10.0
+;8;46.75;Arnold Raphael;*;11;55.5;8;46.75;0;0.0;10.0

7a;Landolt Reto;*;;;;;;;;;56.5
+;;;Pfister Florian;*;;;;;;;10.0
o;1;10.0;Nötzli Bruno;***;3;57.5;3;9.0;2;-1.0;8.5
+;6;18.5;Bircher Luca (1999);;11;55.5;6;18.5;0;0.0;10.0
+;5;28.5;Sprecher Sandro;*;9;56.0;5;28.5;0;0.0;9.75
o;3;38.25;Hersche Martin;**;3;57.5;6;37.5;3;-0.75;8.5
+;8;46.75;Lieberherr Michael (1999);;11;55.5;8;46.75;0;0.0;9.75

7b;Giger Urs;*;;;;;;;;;56.5
+;;;Nägeli Marco;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Gartmann Mauro;;15;54.5;5;18.75;-1;0.25;10.0
+;5;28.5;Coray Beda;*;12;55.25;6;28.25;1;-0.25;9.75
o;3;38.25;Orlik Armon;**;1;58.75;1;38.75;-2;0.5;8.5
+;8;46.75;Bärtsch Jann (2000);;13;55.0;9;46.5;1;-0.25;9.75

7c;Fässler Andreas;**;;;;;;;;;56.5
+;;;Battaglia Ursin;**;;;;;;;9.75
+;2;9.75;Brügger Stefan;*;10;55.75;1;10.0;-1;0.25;10.0
o;2;19.75;Orlik Armon;**;1;58.75;1;20.0;-1;0.25;8.5
+;6;28.25;Arztmann Beda;;10;55.75;4;28.75;-2;0.5;10.0
o;3;38.25;Forrer Arnold;***;4;57.25;2;38.5;-1;0.25;8.5
+;8;46.75;Vestner Roman;*;11;55.5;8;46.75;0;0.0;9.75

8a;Kindlimann Fabian;***;;;;;;;;;56.25
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Giger Urs;*;7;56.5;1;10.0;-3;1.25;10.0
+;5;18.75;Litscher Manuel;*;15;54.5;6;18.5;1;-0.25;10.0
-;4;28.75;Kuster Marcel;**;10;55.75;5;28.5;1;-0.25;8.75
-;6;37.5;Eugster Ruedi;**;8;56.25;6;37.5;0;0.0;8.75
+;10;46.25;Kuster Thomas;*;14;54.75;10;46.25;0;0.0;10.0

8b;Eugster Ruedi;**;;;;;;;;;56.25
-;;;Hersche Martin;**;;;;;;;9.0
+;3;9.0;Schönenberger Christian;;27;35.25;2;9.75;-1;0.75;10.0
-;4;19.0;Schläpfer Markus;**;9;56.0;5;18.75;1;-0.25;8.75
+;8;27.75;Koch Reto;;10;55.75;10;27.25;2;-0.5;9.75
-;6;37.5;Kindlimann Fabian;***;8;56.25;6;37.5;0;0.0;8.75
+;10;46.25;Kuster Marcel;**;10;55.75;7;47.0;-3;0.75;10.0

8c;Bernold Christian;*;;;;;;;;;56.25
-;;;Roth Martin;*;;;;;;;9.0
+;3;9.0;Kuster Thomas;*;14;54.75;4;8.75;1;-0.25;9.75
-;5;18.75;Nötzli Reto;***;10;55.75;6;18.5;1;-0.25;9.0
+;8;27.75;Mösli Reto;;18;53.75;6;28.25;-2;0.5;10.0
+;5;37.75;Koch Thomas;;12;55.25;4;38.0;-1;0.25;9.75
o;5;47.5;Nägeli Marco;*;4;57.25;5;47.5;0;0.0;8.75

8d;Clopath Beat;***;;;;;;;;;56.25
-;;;Bless Michael;***;;;;;;;8.75
+;4;8.75;Coray Beda;*;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Hasler Florian;**;11;55.5;5;18.75;0;0.0;9.75
-;5;28.5;Rychen Roger;**;2;58.0;3;29.0;-2;0.5;9.0
-;6;37.5;Höfliger Andreas;**;9;56.0;7;37.25;1;-0.25;8.75
+;10;46.25;Pfister Florian;*;13;55.0;9;46.5;-1;0.25;10.0

9a;Höfliger Andreas;**;;;;;;;;;56.0
-;;;Kuster Marcel;**;;;;;;;8.75
o;4;8.75;Hochholdinger Roman;**;10;55.75;1;10.0;-3;1.25;8.5
+;11;17.25;Güntensperger Marcel;*;14;54.75;7;18.25;-4;1.0;10.0
+;10;27.25;Bottlang Michael;;23;45.5;6;28.25;-4;1.0;10.0
-;7;37.25;Clopath Beat;***;8;56.25;6;37.5;-1;0.25;8.75
+;11;46.0;Schmid Patrick;*;11;55.5;13;45.5;2;-0.5;10.0

9b;Sprecher Sandro;*;;;;;;;;;56.0
+;;;Rütsche Stefan;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Bleiker Daniel;;21;52.75;7;18.25;1;-0.25;10.0
o;5;28.5;Landolt Reto;*;7;56.5;5;28.5;0;0.0;8.5
+;8;37.0;Schnyder Christian;;17;54.0;8;37.0;0;0.0;10.0
-;7;47.0;Oertle Daniel;;11;55.5;9;46.5;2;-0.5;9.0

9c;Fontana Michael;;;;;;;;;;56.0
-;;;Wittenwiler Roman (1998);;;;;;;;8.75
+;4;8.75;Manser Adrian (1998);;22;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kammermann Thomas;*;16;54.25;5;18.75;0;0.0;8.5
+;10;27.25;Danner Daniel;;15;54.5;10;27.25;0;0.0;10.0
-;7;37.25;Vollenweider Jeremy (1998);*;11;55.5;8;37.0;1;-0.25;8.75
+;11;46.0;Fuster Sepp;;16;54.25;12;45.75;1;-0.25;10.0

9d;Orlik Curdin;**;;;;;;;;;56.0
-;;;Hasler Florian;**;;;;;;;8.75
+;4;8.75;Bottlang Michael;;23;45.5;1;10.0;-3;1.25;9.75
-;6;18.5;Arztmann Beda;;10;55.75;1;20.0;-5;1.5;8.75
+;10;27.25;Bäbler Sandro;**;20;53.0;9;27.5;-1;0.25;9.75
-;8;37.0;Rüegg Fabian;*;10;55.75;8;37.0;0;0.0;9.0
+;11;46.0;Coray Beda;*;12;55.25;8;46.75;-3;0.75;10.0

9e;Schläpfer Markus;**;;;;;;;;;56.0
o;;;Herger Matthias;**;;;;;;;8.75
+;4;8.75;Elmer Adrian;;16;54.25;1;10.0;-3;1.25;10.0
-;5;18.75;Eugster Ruedi;**;8;56.25;4;19.0;-1;0.25;8.75
+;9;27.5;Arnold Raphael;*;11;55.5;6;28.25;-3;0.75;10.0
+;6;37.5;Gmür Pirmin;*;12;55.25;3;38.25;-3;0.75;10.0
o;5;47.5;Nötzli Bruno;***;3;57.5;5;47.5;0;0.0;8.5

10a;Rüegg Fabian;*;;;;;;;;;55.75
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Aliesch Noah (1998);;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Imhof Andi;***;6;56.75;7;18.25;1;-0.25;8.5
+;11;27.0;Kammermann Dominik;;11;55.5;11;27.0;0;0.0;10.0
-;8;37.0;Orlik Curdin;**;9;56.0;8;37.0;0;0.0;9.0
+;11;46.0;Schläpfer Matthias;*;15;54.5;11;46.0;0;0.0;9.75

10b;Schudel Simon;*;;;;;;;;;55.75
+;;;Litscher Manuel;*;;;;;;;10.0
o;1;10.0;Peng Mike;***;15;54.5;5;8.5;4;-1.5;8.5
+;6;18.5;Langenegger Remo;;27;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Rhyner Michael;**;11;55.5;11;27.0;6;-1.5;8.5
o;8;37.0;Jöhl Christian;*;10;55.75;8;37.0;0;0.0;8.75
+;12;45.75;Wittenwiler Roman (1998);;14;54.75;11;46.0;-1;0.25;10.0

10c;Arztmann Beda;;;;;;;;;;55.75
+;;;Schneider Noel (2000);;;;;;;;10.0
+;1;10.0;Rhyner Michael;**;11;55.5;4;8.75;3;-1.25;10.0
-;1;20.0;Orlik Curdin;**;9;56.0;6;18.5;5;-1.5;8.75
o;4;28.75;Fässler Andreas;**;7;56.5;6;28.25;2;-0.5;8.5
o;7;37.25;Kuster Marcel;**;10;55.75;7;37.25;0;0.0;8.5
+;12;45.75;Frei Hanspeter (1999);;17;54.0;13;45.5;1;-0.25;10.0

10d;Brügger Stefan;*;;;;;;;;;55.75
+;;;Güntensperger Marcel;*;;;;;;;10.0
o;1;10.0;Fässler Andreas;**;7;56.5;2;9.75;1;-0.25;8.5
+;6;18.5;Frei Hanspeter (1999);;17;54.0;5;18.75;-1;0.25;9.75
+;6;28.25;Pianta Christian;;14;54.75;5;28.5;-1;0.25;10.0
o;3;38.25;Rychen Roger;**;2;58.0;4;38.0;1;-0.25;8.5
-;8;46.75;Breitenmoser Simon;;11;55.5;9;46.5;1;-0.25;9.0

10e;Jöhl Christian;*;;;;;;;;;55.75
-;;;Stahel Felix;*;;;;;;;8.75
+;4;8.75;Betschart Fabian (1999);;21;52.75;2;9.75;-2;1.0;10.0
o;5;18.75;Kuster Marcel;**;10;55.75;5;18.75;0;0.0;8.5
+;10;27.25;Frei Hanspeter (1999);;17;54.0;10;27.25;0;0.0;9.75
+;8;37.0;Schudel Simon;*;10;55.75;8;37.0;0;0.0;9.75
-;8;46.75;Bäbler Dominik;*;11;55.5;9;46.5;1;-0.25;9.0

10f;Kuster Marcel;**;;;;;;;;;55.75
-;;;Höfliger Andreas;**;;;;;;;8.75
+;4;8.75;Kamer Hanspeter;*;5;57.0;4;8.75;0;0.0;10.0
+;5;18.75;Jöhl Christian;*;10;55.75;5;18.75;0;0.0;9.75
-;5;28.5;Kindlimann Fabian;***;8;56.25;4;28.75;-1;0.25;8.75
+;7;37.25;Arztmann Beda;;10;55.75;7;37.25;0;0.0;9.75
o;7;47.0;Eugster Ruedi;**;8;56.25;10;46.25;3;-0.75;8.75

10g;Hochholdinger Roman;**;;;;;;;;;55.75
+;;;Arnold Raphael;*;;;;;;;10.0
+;1;10.0;Höfliger Andreas;**;9;56.0;4;8.75;3;-1.25;10.0
o;1;20.0;Forrer Arnold;***;4;57.25;1;20.0;0;0.0;8.5
+;5;28.5;Frick Andreas;*;11;55.5;5;28.5;0;0.0;10.0
o;2;38.5;Glaus Martin;***;5;57.0;3;38.25;1;-0.25;8.5
o;7;47.0;Kamer Hanspeter;*;5;57.0;6;47.25;-1;0.25;8.75

10h;Nötzli Reto;***;;;;;;;;;55.75
o;;;Orlik Armon;**;;;;;;;8.5
+;5;8.5;Freuler Franz;**;16;54.25;2;9.75;-3;1.25;10.0
-;6;18.5;Bernold Christian;*;8;56.25;5;18.75;-1;0.25;9.0
+;9;27.5;Büchler Remo;**;15;54.5;10;27.25;1;-0.25;9.75
+;7;37.25;Rhyner Michael;**;11;55.5;8;37.0;1;-0.25;10.0
o;6;47.25;Rychen Roger;**;2;58.0;4;48.0;-2;0.75;8.5

10i;Koch Reto;;;;;;;;;;55.75
o;;;Jörger Marc;;;;;;;;8.75
+;4;8.75;Dudli Gallus;;29;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Coray Beda;*;12;55.25;7;18.25;2;-0.5;8.5
o;10;27.25;Eugster Ruedi;**;8;56.25;8;27.75;-2;0.5;8.5
+;13;35.75;Schwyn Adrian;;21;52.75;13;35.75;0;0.0;10.0
+;12;45.75;Freuler Franz;**;16;54.25;12;45.75;0;0.0;10.0

11a;Kammermann Dominik;;;;;;;;;;55.5
-;;;Oetiker Ronny;;;;;;;;8.75
+;4;8.75;Gysel Hansruedi;;13;55.0;5;8.5;1;-0.25;9.75
o;6;18.5;Rhyner Michael;**;11;55.5;11;17.25;5;-1.25;8.5
o;11;27.0;Rüegg Fabian;*;10;55.75;11;27.0;0;0.0;8.75
+;13;35.75;Kunz Daniel;;26;44.0;14;35.5;1;-0.25;10.0
+;12;45.75;Jörger Marc;;15;54.5;11;46.0;-1;0.25;9.75

11b;Bernold Michael (1999);;;;;;;;;;55.5
-;;;Schwyn Adrian;;;;;;;;8.75
+;4;8.75;Langenegger Beat;;25;44.25;4;8.75;0;0.0;9.75
-;6;18.5;Freuler Franz;**;16;54.25;7;18.25;1;-0.25;9.0
+;9;27.5;Schönenberger Christian;;27;35.25;12;26.75;3;-0.75;9.75
o;7;37.25;Horner Peter;**;6;56.75;7;37.25;0;0.0;8.5
+;12;45.75;Mösli Reto;;18;53.75;14;45.25;2;-0.5;9.75

11c;Schmid Patrick;*;;;;;;;;;55.5
+;;;Rüegg Fabian;*;;;;;;;10.0
o;1;10.0;Hasler Florian;**;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Jörger Marc;;15;54.5;6;18.5;0;0.0;10.0
o;5;28.5;Glaus Martin;***;5;57.0;6;28.25;1;-0.25;8.5
o;8;37.0;Nägeli Marco;*;4;57.25;6;37.5;-2;0.5;8.5
+;13;45.5;Horner Sämi;;16;54.25;12;45.75;-1;0.25;10.0

11d;Frick Andreas;*;;;;;;;;;55.5
-;;;Kamer Hanspeter;*;;;;;;;8.75
+;4;8.75;Horner Sämi;;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Elmer Adrian;;16;54.25;6;18.5;0;0.0;10.0
o;5;28.5;Hochholdinger Roman;**;10;55.75;5;28.5;0;0.0;8.5
o;8;37.0;Arnold Andreas;*;12;55.25;9;36.75;1;-0.25;8.5
+;13;45.5;Büchler Remo;**;15;54.5;12;45.75;-1;0.25;10.0

11e;Arnold Raphael;*;;;;;;;;;55.5
o;;;Hochholdinger Roman;**;;;;;;;8.5
+;5;8.5;Bleiker Daniel;;21;52.75;2;9.75;-3;1.25;9.75
+;7;18.25;Oertle Daniel;;11;55.5;7;18.25;0;0.0;10.0
o;6;28.25;Schläpfer Markus;**;9;56.0;9;27.5;3;-0.75;8.5
+;9;36.75;Bircher Luca (1999);;11;55.5;8;37.0;-1;0.25;10.0
o;8;46.75;Battaglia Ursin;**;6;56.75;8;46.75;0;0.0;8.75

11f;Oertle Daniel;;;;;;;;;;55.5
+;;;Biäsch Christian;;;;;;;;9.75
o;2;9.75;Güntensperger Marcel;*;14;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Arnold Raphael;*;11;55.5;7;18.25;0;0.0;8.5
+;12;26.75;Schwyn Patrick (1999);;27;35.25;12;26.75;0;0.0;10.0
+;9;36.75;Bäbler Sandro;**;20;53.0;12;36.0;3;-0.75;9.75
-;9;46.5;Sprecher Sandro;*;9;56.0;7;47.0;-2;0.5;9.0

11g;Lieberherr Michael (1999);;;;;;;;;;55.5
+;;;Manser Adrian (1998);;;;;;;;9.75
o;2;9.75;Battaglia Ursin;**;6;56.75;5;8.5;3;-1.25;8.5
o;7;18.25;Fässler Patrick;;11;55.5;6;18.5;-1;0.25;8.5
+;12;26.75;Trümpi Simon (1998);;18;53.75;11;27.0;-1;0.25;10.0
+;9;36.75;Langenegger Beat;;25;44.25;13;35.75;4;-1.0;10.0
o;8;46.75;Landolt Reto;*;7;56.5;8;46.75;0;0.0;8.75

11h;Breitenmoser Simon;;;;;;;;;;55.5
+;;;Lanter Christian (1998);;;;;;;;9.75
o;2;9.75;Arnold Andreas;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Hersche Daniel;;13;55.0;6;18.5;-1;0.25;8.5
+;12;26.75;Salnajs Leo (1998);;17;54.0;11;27.0;-1;0.25;9.75
+;10;36.5;Aliesch Noah (1998);;19;53.5;10;36.5;0;0.0;10.0
-;9;46.5;Brügger Stefan;*;10;55.75;8;46.75;-1;0.25;9.0

11i;Fässler Patrick;;;;;;;;;;55.5
+;;;Bärtsch Jann (2000);;;;;;;;9.75
-;2;9.75;Bäbler Sandro;**;20;53.0;4;8.75;2;-1.0;8.75
+;6;18.5;Lieberherr Michael (1999);;11;55.5;7;18.25;1;-0.25;9.75
-;6;28.25;Holenstein Christian;*;14;54.75;10;27.25;4;-1.0;8.75
-;8;37.0;Kammermann Thomas;*;16;54.25;8;37.0;0;0.0;8.75
+;12;45.75;Bleiker Reto;*;17;54.0;13;45.5;1;-0.25;9.75

11j;Rhyner Michael;**;;;;;;;;;55.5
-;;;Kindlimann Fabian;***;;;;;;;8.75
o;4;8.75;Arztmann Beda;;10;55.75;1;10.0;-3;1.25;8.5
+;11;17.25;Kammermann Dominik;;11;55.5;6;18.5;-5;1.25;9.75
+;11;27.0;Schudel Simon;*;10;55.75;5;28.5;-6;1.5;10.0
o;8;37.0;Nötzli Reto;***;10;55.75;7;37.25;-1;0.25;8.75
+;12;45.75;Kammermann Thomas;*;16;54.25;12;45.75;0;0.0;9.75

11k;Vestner Roman;*;;;;;;;;;55.5
+;;;Arnold Andreas;*;;;;;;;9.75
o;2;9.75;Imhof Andi;***;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Danner Daniel;;15;54.5;5;18.75;-2;0.5;9.75
-;7;28.0;Roth Martin;*;12;55.25;7;28.0;0;0.0;8.75
+;9;36.75;Mösli Reto;;18;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Fässler Andreas;**;7;56.5;8;46.75;0;0.0;8.75

11l;Lanter Christian (1998);;;;;;;;;;55.5
o;;;Breitenmoser Simon;;;;;;;;8.5
+;5;8.5;Oetiker Ronny;;18;53.75;4;8.75;-1;0.25;10.0
o;6;18.5;Schläpfer Matthias;*;15;54.5;10;17.5;4;-1.0;8.5
o;11;27.0;Bärtsch Jann (2000);;13;55.0;11;27.0;0;0.0;8.5
+;14;35.5;Manser Adrian (1998);;22;52.5;14;35.5;0;0.0;10.0
+;13;45.5;Aebli Nino (2000);;16;54.25;12;45.75;-1;0.25;10.0

11m;Hasler Florian;**;;;;;;;;;55.5
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;11;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Clopath Beat;***;8;56.25;5;18.75;0;0.0;8.5
+;10;27.25;Langenegger Beat;;25;44.25;10;27.25;0;0.0;9.75
+;8;37.0;Roth Martin;*;12;55.25;9;36.75;1;-0.25;10.0
o;7;47.0;Hersche Martin;**;3;57.5;5;47.5;-2;0.5;8.5

11n;Bircher Luca (1999);;;;;;;;;;55.5
-;;;Thoma Christoph;;;;;;;;8.75
+;4;8.75;Schiesser Patrik (1998);;20;53.0;3;9.0;-1;0.25;9.75
o;6;18.5;Landolt Reto;*;7;56.5;6;18.5;0;0.0;8.5
+;11;27.0;Kunz Daniel;;26;44.0;11;27.0;0;0.0;10.0
o;8;37.0;Arnold Raphael;*;11;55.5;9;36.75;1;-0.25;8.5
+;13;45.5;Schnyder Christian;;17;54.0;13;45.5;0;0.0;10.0

11o;Bäbler Dominik;*;;;;;;;;;55.5
-;;;Kuster Thomas;*;;;;;;;8.75
o;4;8.75;Hersche Martin;**;3;57.5;3;9.0;-1;0.25;8.5
+;11;17.25;Schwyn Patrick (1999);;27;35.25;7;18.25;-4;1.0;9.75
+;11;27.0;Schläpfer Matthias;*;15;54.5;9;27.5;-2;0.5;9.75
+;9;36.75;Hersche Daniel;;13;55.0;9;36.75;0;0.0;9.75
-;9;46.5;Jöhl Christian;*;10;55.75;8;46.75;-1;0.25;9.0

11p;Vollenweider Jeremy (1998);*;;;;;;;;;55.5
-;;;Elmer Daniel;*;;;;;;;8.75
+;4;8.75;Schnyder Christian;;17;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Bless Michael;***;5;57.0;5;18.75;-1;0.25;8.5
+;11;27.0;Schiesser Patrik (1998);;20;53.0;10;27.25;-1;0.25;10.0
-;8;37.0;Fontana Michael;;9;56.0;7;37.25;-1;0.25;8.75
+;12;45.75;Bäbler Sandro;**;20;53.0;17;44.5;5;-1.25;9.75

12a;Riedi Thomas;;;;;;;;;;55.25
+;;;Sprecher Martin (2000);;;;;;;;9.75
o;2;9.75;Hämmerli Gian-Franco;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Jörger Marc;;15;54.5;6;18.5;-1;0.25;8.75
+;11;27.0;Schröttenthaler Micha (1998);;27;35.25;12;26.75;1;-0.25;10.0
o;8;37.0;Coray Beda;*;12;55.25;9;36.75;1;-0.25;8.5
+;13;45.5;Schneider Noel (2000);;18;53.75;14;45.25;1;-0.25;9.75

12b;Coray Beda;*;;;;;;;;;55.25
+;;;Kammermann Thomas;*;;;;;;;9.75
o;2;9.75;Clopath Beat;***;8;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Koch Reto;;10;55.75;5;18.75;-2;0.5;10.0
o;6;28.25;Giger Urs;*;7;56.5;5;28.5;-1;0.25;8.5
+;9;36.75;Riedi Thomas;;12;55.25;8;37.0;-1;0.25;10.0
o;8;46.75;Orlik Curdin;**;9;56.0;11;46.0;3;-0.75;8.5

12c;Hämmerli Gian-Franco;*;;;;;;;;;55.25
o;;;Koch Thomas;;;;;;;;8.5
+;5;8.5;Riedi Thomas;;12;55.25;2;9.75;-3;1.25;9.75
o;7;18.25;Battaglia Ursin;**;6;56.75;7;18.25;0;0.0;8.5
-;12;26.75;Kuster Thomas;*;14;54.75;9;27.5;-3;0.75;8.75
+;14;35.5;Giger Lorenz (2000);;18;53.75;14;35.5;0;0.0;9.75
+;14;45.25;Salnajs Leo (1998);;17;54.0;13;45.5;-1;0.25;10.0

12d;Roth Martin;*;;;;;;;;;55.25
-;;;Bernold Christian;*;;;;;;;9.0
