5221-2022-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
+;8;27.75;Gasenzer Christian (2004);;14;55.0;7;28.0;-1;0.25;10.0
+;6;37.75;Heierli Pascal;**;11;55.75;8;37.25;2;-0.5;10.0
+;5;47.75;Schmid Gian;;11;55.75;8;47.0;3;-0.75;9.75

5a;Forrer Arnold;***;;;;;;;;;57.25
-;;;Hersche Martin;***;;;;;;;9.0
+;3;9.0;Neff Florian;*;11;55.75;1;10.0;-2;1.0;10.0
+;4;19.0;Schmid Dominik;**;4;57.5;1;20.0;-3;1.0;10.0
o;3;29.0;Schläpfer Markus;**;6;57.0;5;28.5;2;-0.5;8.5
+;7;37.5;Fuster Sepp;*;7;56.75;4;38.25;-3;0.75;10.0
+;6;47.5;Schmid Patrick;*;7;56.75;3;48.25;-3;0.75;9.75

5b;Poltera Andrin;**;;;;;;;;;57.25
-;;;Baumgartner Ramon;**;;;;;;;9.0
+;3;9.0;Vetterli Sven;;14;55.0;1;10.0;-2;1.0;10.0
+;4;19.0;Müller Josias (2006);;15;54.75;4;19.0;0;0.0;10.0
o;3;29.0;Bernold Christian;**;6;57.0;5;28.5;2;-0.5;8.5
+;7;37.5;Wild Thomas;*;12;55.5;8;37.25;1;-0.25;9.75
+;7;47.25;Imhof Gregor;;12;55.5;8;47.0;1;-0.25;10.0

5c;Dumelin David;**;;;;;;;;;57.25
o;;;Koch Reto;**;;;;;;;8.75
+;4;8.75;Schildknecht Jannic (2004);;22;52.75;1;10.0;-3;1.25;10.0
+;5;18.75;Dörig Maurus (2004);;14;55.0;2;19.75;-3;1.0;10.0
o;4;28.75;Zwyssig Raphael;***;1;58.75;4;28.75;0;0.0;8.5
+;8;37.25;Keller Stefan;;12;55.5;8;37.25;0;0.0;10.0
+;7;47.25;Bollhalder Manuel;*;12;55.5;8;47.0;1;-0.25;10.0

5d;Keller Werner;*;;;;;;;;;57.25
+;;;Wild Thomas;*;;;;;;;10.0
+;1;10.0;Horner Sämi;;11;55.75;1;10.0;0;0.0;10.0
o;1;20.0;Koch Reto;**;5;57.25;2;19.75;1;-0.25;8.5
-;5;28.5;Imhof Gregor;;12;55.5;6;28.25;1;-0.25;9.0
+;7;37.5;Trümpy Thomas (2006);;18;54.0;9;37.0;2;-0.5;10.0
+;6;47.5;Fuster Arjuna;;12;55.5;9;46.75;3;-0.75;9.75

5e;Koch Reto;**;;;;;;;;;57.25
+;;;Dumelin David;**;;;;;;;9.75
+;2;9.75;Hugelshofer Lars;*;11;55.75;2;9.75;0;0.0;10.0
+;2;19.75;Keller Werner;*;5;57.25;1;20.0;-1;0.25;10.0
-;2;29.75;Baumgartner Ramon;**;8;56.5;5;28.5;3;-1.25;9.0
o;2;38.75;Schneider Domenic;***;3;57.75;1;39.0;-1;0.25;8.5
+;7;47.25;Flück Bruno;;12;55.5;8;47.0;1;-0.25;10.0

6a;Kurmann Patrick;*;;;;;;;;;57.0
-;;;Marty Jaime;*;;;;;;;8.75
+;4;8.75;Wartmann Otto;;13;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Kolb Kilian (2005);;17;54.25;6;18.5;0;0.0;10.0
o;5;28.5;Schmid Dominik;**;4;57.5;5;28.5;0;0.0;8.5
+;9;37.0;Schoch Cornel;;19;53.75;10;36.75;1;-0.25;10.0
+;8;47.0;Mösli Marcel;;11;55.75;7;47.25;-1;0.25;10.0

6b;Fejzaj Naim;**;;;;;;;;;57.0
+;;;Bühler Hannes;*;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;3;57.75;3;9.0;2;-1.0;8.5
+;6;18.5;Walser Aaron (2006);;21;53.0;5;18.75;-1;0.25;10.0
o;5;28.5;Elmer Daniel;*;7;56.75;5;28.5;0;0.0;8.75
+;8;37.25;Oettli Reto (2005);;18;54.0;9;37.0;1;-0.25;9.75
+;8;47.0;Schlegel Reto;*;12;55.5;8;47.0;0;0.0;10.0

6c;Bernold Christian;**;;;;;;;;;57.0
o;;;Wittenwiler Roman;**;;;;;;;8.5
+;5;8.5;Thoma Luca;;17;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Bachmann Janos (2004);;14;55.0;6;18.5;0;0.0;10.0
+;5;28.5;Poltera Andrin;**;5;57.25;3;29.0;-2;0.5;9.75
-;4;38.25;Schmid Dominik;**;4;57.5;3;38.5;-1;0.25;9.0
+;7;47.25;Burkhalter Thomas;*;12;55.5;8;47.0;1;-0.25;9.75

6d;Biäsch Christian;*;;;;;;;;;57.0
+;;;Baumann Rico;*;;;;;;;10.0
o;1;10.0;Wittenwiler Roman;**;4;57.5;1;10.0;0;0.0;8.5
+;6;18.5;Kiener Raphael;;11;55.75;5;18.75;-1;0.25;10.0
+;5;28.5;Giger Urs;*;10;56.0;4;28.75;-1;0.25;10.0
o;3;38.5;Schläpfer Markus;**;6;57.0;3;38.5;0;0.0;8.5
+;8;47.0;Hinrichs Silvio (2004);;13;55.25;9;46.75;1;-0.25;10.0

6e;Leuppi Karim;*;;;;;;;;;57.0
-;;;Kobler Janosch;*;;;;;;;8.75
+;4;8.75;Lenherr Jonas (2005);;12;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Bless Michael;***;3;57.75;4;19.0;-1;0.25;8.5
+;10;27.25;Dörig Maurus (2004);;14;55.0;6;28.25;-4;1.0;10.0
+;8;37.25;Signer Tobias (2004);;17;54.25;10;36.75;2;-0.5;10.0
+;7;47.25;Nüesch Sandro (2005);;12;55.5;8;47.0;1;-0.25;9.75

6f;Büchler Livio;;;;;;;;;;57.0
+;;;Bernhard Thomas;;;;;;;;10.0
o;1;10.0;Baumgartner Ramon;**;8;56.5;4;8.75;3;-1.25;8.5
+;6;18.5;Trümpy Thomas (2006);;18;54.0;6;18.5;0;0.0;10.0
+;5;28.5;Hobi Ignaz;*;18;54.0;6;28.25;1;-0.25;10.0
o;3;38.5;Ulmann Fabian;*;7;56.75;4;38.25;1;-0.25;8.5
+;8;47.0;Giger Florian;;13;55.25;9;46.75;1;-0.25;10.0

6g;Schläpfer Markus;**;;;;;;;;;57.0
-;;;Signer Andy;**;;;;;;;8.75
+;4;8.75;Wehrli Jan;;12;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Hug Jan;;9;56.25;3;19.5;-2;0.75;9.75
+;5;28.5;Forrer Arnold;***;5;57.25;3;29.0;-2;0.5;10.0
+;3;38.5;Biäsch Christian;*;6;57.0;3;38.5;0;0.0;10.0
o;2;48.5;Koch Thomas;**;2;58.0;3;48.25;1;-0.25;8.5

7a;Kuster Thomas;**;;;;;;;;;56.75
-;;;Heierli Pascal;**;;;;;;;8.75
+;4;8.75;Fässler Tobias;;17;54.25;2;9.75;-2;1.0;9.75
o;6;18.5;Kobler Janosch;*;9;56.25;5;18.75;-1;0.25;8.75
+;10;27.25;Spörndli Cyril;;22;52.75;10;27.25;0;0.0;10.0
+;8;37.25;Hobi Ignaz;*;18;54.0;10;36.75;2;-0.5;9.75
+;8;47.0;Mettler Valentin;*;12;55.5;8;47.0;0;0.0;9.75

7b;Brülisauer Dominik;;;;;;;;;;56.75
+;;;Kuhn Roman;*;;;;;;;10.0
+;1;10.0;Furrer Damian;;19;53.75;2;9.75;1;-0.25;9.75
o;2;19.75;Baumgartner Ramon;**;8;56.5;5;18.75;3;-1.0;8.5
+;6;28.25;Horner Sämi;;11;55.75;9;27.5;3;-0.75;9.75
+;5;38.0;Giger Lorenz;;7;56.75;4;38.25;-1;0.25;9.75
-;5;47.75;Lüthi Manuel;*;11;55.75;9;46.75;4;-1.0;9.0

7c;Schmid Patrick;*;;;;;;;;;56.75
+;;;Mannhart Jan;*;;;;;;;10.0
+;1;10.0;Müller Jano (2005);;12;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Notz Beni;***;11;55.75;6;18.5;4;-1.25;8.5
+;6;28.25;Wehrli Jan;;12;55.5;6;28.25;0;0.0;10.0
+;4;38.25;Landolt Reto;*;13;55.25;9;37.0;5;-1.25;10.0
o;3;48.25;Forrer Arnold;***;5;57.25;6;47.5;3;-0.75;8.5

7d;Kolb Pirmin;*;;;;;;;;;56.75
+;;;Lüthi Manuel;*;;;;;;;9.75
o;2;9.75;Bless Michael;***;3;57.75;3;9.0;1;-0.75;8.5
+;7;18.25;Horner Sämi;;11;55.75;5;18.75;-2;0.5;10.0
+;6;28.25;Diem Hansruedi;;12;55.5;5;28.5;-1;0.25;9.75
-;5;38.0;Signer Andy;**;13;55.25;7;37.5;2;-0.5;9.0
+;8;47.0;Lenherr Jonas (2005);;12;55.5;8;47.0;0;0.0;9.75

7e;Elmer Daniel;*;;;;;;;;;56.75
o;;;Hugelshofer Lars;*;;;;;;;8.5
+;5;8.5;Schiess Daniel;;18;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Studerus Jan;;18;54.0;6;18.5;0;0.0;10.0
+;5;28.5;Fejzaj Naim;**;6;57.0;5;28.5;0;0.0;10.0
o;3;38.5;Zwyssig Raphael;***;1;58.75;2;38.75;-1;0.25;8.5
+;8;47.0;Joos Enrico;*;10;56.0;6;47.5;-2;0.5;9.75

7f;Giger Lorenz;;;;;;;;;;56.75
+;;;Gaccioli Benjamin;;;;;;;;9.75
-;2;9.75;Nock Benjamin;*;16;54.5;5;8.5;3;-1.25;8.75
+;6;18.5;Wolfer David;;25;35.25;7;18.25;1;-0.25;10.0
+;5;28.5;Kundert Elias (2005);*;16;54.5;9;27.5;4;-1.0;9.75
o;4;38.25;Brülisauer Dominik;;7;56.75;5;38.0;1;-0.25;8.75
+;8;47.0;Dörig Maurus (2004);;14;55.0;10;46.5;2;-0.5;9.75

7g;Ulmann Fabian;*;;;;;;;;;56.75
+;;;Inauen Maurus;;;;;;;;10.0
o;1;10.0;Hersche Martin;***;4;57.5;3;9.0;2;-1.0;8.5
+;6;18.5;Brülisauer Thomas;;19;53.75;3;19.5;-3;1.0;10.0
+;5;28.5;Jörger Corsin;*;8;56.5;6;28.25;1;-0.25;9.75
+;4;38.25;Büchler Livio;;6;57.0;3;38.5;-1;0.25;10.0
o;3;48.25;Zwyssig Raphael;***;1;58.75;1;48.75;-2;0.5;8.5

7h;Fuster Sepp;*;;;;;;;;;56.75
+;;;Nock Benjamin;*;;;;;;;10.0
+;1;10.0;Schmid Gian;;11;55.75;1;10.0;0;0.0;10.0
o;1;20.0;Wittenwiler Roman;**;4;57.5;1;20.0;0;0.0;8.5
+;5;28.5;Bernhard Thomas;;19;53.75;6;28.25;1;-0.25;9.75
o;4;38.25;Forrer Arnold;***;5;57.25;7;37.5;3;-0.75;8.5
+;9;46.75;Peter Philipp;;14;55.0;10;46.5;1;-0.25;10.0

7i;Bühler Hannes;*;;;;;;;;;56.75
o;;;Fejzaj Naim;**;;;;;;;8.5
+;5;8.5;Meier Adrian (2005);;18;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Lüthi Manuel;*;11;55.75;6;18.5;0;0.0;9.75
+;6;28.25;Giger Florian;;13;55.25;6;28.25;0;0.0;10.0
+;4;38.25;Inauen Aurel;;13;55.25;5;38.0;1;-0.25;9.75
-;4;48.0;Wittenwiler Roman;**;4;57.5;2;48.5;-2;0.5;8.75

8a;Jörger Corsin;*;;;;;;;;;56.5
o;;;Giger Urs;*;;;;;;;8.5
+;5;8.5;Schoch Cornel;;19;53.75;2;9.75;-3;1.25;10.0
+;6;18.5;Meier Christian;;19;53.75;6;18.5;0;0.0;9.75
o;6;28.25;Ulmann Fabian;*;7;56.75;5;28.5;-1;0.25;8.5
+;10;36.75;Hüppin Lukas (2004);;19;53.75;11;36.5;1;-0.25;9.75
+;10;46.5;Schläpfer Matthias;*;14;55.0;10;46.5;0;0.0;10.0

8b;Baumgartner Ramon;**;;;;;;;;;56.5
-;;;Poltera Andrin;**;;;;;;;8.75
+;4;8.75;Büchler Livio;;6;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Brülisauer Dominik;;7;56.75;2;19.75;-3;1.0;9.75
-;5;28.5;Koch Reto;**;5;57.25;2;29.75;-3;1.25;9.0
-;7;37.5;Schläpfer Matthias;*;14;55.0;7;37.5;0;0.0;9.0
+;10;46.5;Vetterli Sven;;14;55.0;10;46.5;0;0.0;10.0

9a;Hug Jan;;;;;;;;;;56.25
+;;;Tobler Marco;;;;;;;;9.75
+;2;9.75;Bickel Roman;*;13;55.25;5;8.5;3;-1.25;9.75
o;3;19.5;Schläpfer Markus;**;6;57.0;5;18.75;2;-0.75;8.5
+;7;28.0;Bösch Mario (2006);;13;55.25;6;28.25;-1;0.25;9.75
o;6;37.75;Wittenwiler Roman;**;4;57.5;3;38.5;-3;0.75;8.5
+;11;46.25;Raymann Jan;;17;54.25;13;45.75;2;-0.5;10.0

9b;Kobler Janosch;*;;;;;;;;;56.25
-;;;Leuppi Karim;*;;;;;;;8.75
+;4;8.75;Imhof Gregor;;12;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Kuster Thomas;**;7;56.75;6;18.5;1;-0.25;9.75
+;5;28.5;Wartmann Otto;;13;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Bless Michael;***;3;57.75;1;39.0;-2;0.5;8.75
-;7;47.25;Neff Florian;*;11;55.75;9;46.75;2;-0.5;9.0

10a;Ackermann Rico;*;;;;;;;;;56.0
-;;;Joos Enrico;*;;;;;;;8.75
-;4;8.75;Kiener Raphael;;11;55.75;2;9.75;-2;1.0;9.0
+;8;17.75;Inauen Ivo;;22;52.75;6;18.5;-2;0.75;10.0
o;8;27.75;Wild Thomas;*;12;55.5;10;27.25;2;-0.5;8.5
+;12;36.25;Schildknecht Jannic (2004);;22;52.75;14;35.75;2;-0.5;10.0
+;11;46.25;Sprecher Martin;;15;54.75;12;46.0;1;-0.25;9.75

10b;Lanter Christian;*;;;;;;;;;56.0
-;;;Schläpfer Matthias;*;;;;;;;8.75
+;4;8.75;Keller Cedric;;12;55.5;2;9.75;-2;1.0;10.0
-;5;18.75;Steiner Michael;**;11;55.75;6;18.5;1;-0.25;8.75
+;9;27.5;Nüesch Sandro (2005);;12;55.5;6;28.25;-3;0.75;10.0
+;7;37.5;Schmid Robin (2006);;13;55.25;9;37.0;2;-0.5;10.0
o;6;47.5;Hersche Martin;***;4;57.5;5;47.75;-1;0.25;8.5

10c;Joos Enrico;*;;;;;;;;;56.0
-;;;Ackermann Rico;*;;;;;;;8.75
+;4;8.75;Keller Stefan;;12;55.5;1;10.0;-3;1.25;10.0
-;5;18.75;Hersche Martin;***;4;57.5;4;19.0;-1;0.25;8.75
+;9;27.5;Brülisauer Thomas;;19;53.75;7;28.0;-2;0.5;10.0
+;7;37.5;Mock Ramon (2006);;18;54.0;9;37.0;2;-0.5;10.0
o;6;47.5;Elmer Daniel;*;7;56.75;8;47.0;2;-0.5;8.5

10d;Giger Urs;*;;;;;;;;;56.0
+;;;Jörger Corsin;*;;;;;;;9.75
-;2;9.75;Habegger Andrin (2005);;15;54.75;1;10.0;-1;0.25;9.0
+;5;18.75;Mannhart Jan;*;17;54.25;6;18.5;1;-0.25;10.0
o;4;28.75;Biäsch Christian;*;6;57.0;5;28.5;1;-0.25;8.5
+;8;37.25;Fässler Tobias;;17;54.25;9;37.0;1;-0.25;9.75
-;8;47.0;Wehrli Jan;;12;55.5;9;46.75;1;-0.25;9.0

11a;Kiener Raphael;;;;;;;;;;55.75
+;;;Ruppanner Philipp;;;;;;;;9.75
-;2;9.75;Ackermann Rico;*;10;56.0;4;8.75;2;-1.0;9.0
o;5;18.75;Biäsch Christian;*;6;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Schoch Cornel;;19;53.75;7;28.0;-3;0.75;10.0
+;8;37.25;Knellwolf Sebastian;;18;54.0;9;37.0;1;-0.25;10.0
o;7;47.25;Schmid Dominik;**;4;57.5;6;47.5;-1;0.25;8.5

11b;Schmid Gian;;;;;;;;;;55.75
+;;;Schoch René;;;;;;;;10.0
o;1;10.0;Fuster Sepp;*;7;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Kundert Elias (2005);*;16;54.5;8;17.75;2;-0.75;8.5
+;11;27.0;Keller Neel (2004);;13;55.25;11;27.0;0;0.0;10.0
+;9;37.0;Meier Christian;;19;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Dörig Erich;*;4;57.5;5;47.75;-3;0.75;8.75

11c;Notz Beni;***;;;;;;;;;55.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Inauen Andreas;*;13;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Schmid Patrick;*;7;56.75;2;19.75;-4;1.25;9.75
-;6;28.25;Heierli Pascal;**;11;55.75;6;28.25;0;0.0;9.0
-;8;37.25;Neff Florian;*;11;55.75;5;38.0;-3;0.75;8.75
+;12;46.0;Ziegler Andreas;;14;55.0;10;46.5;-2;0.5;9.75

11d;Steiner Michael;**;;;;;;;;;55.75
o;;;Koch Thomas;**;;;;;;;8.5
+;5;8.5;Diem Hansruedi;;12;55.5;1;10.0;-4;1.5;10.0
-;6;18.5;Lanter Christian;*;10;56.0;5;18.75;-1;0.25;8.75
+;10;27.25;Tanner Adrian;;13;55.25;6;28.25;-4;1.0;10.0
-;8;37.25;Nock Benjamin;*;16;54.5;9;37.0;1;-0.25;8.75
+;12;46.0;Pianta Christian;*;14;55.0;10;46.5;-2;0.5;9.75

11e;Mösli Marcel;;;;;;;;;;55.75
+;;;Stadelmann Lukas (2004);;;;;;;;9.75
-;2;9.75;Wild Thomas;*;12;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Ziegler Max (2006);;19;53.75;6;18.5;0;0.0;10.0
-;5;28.5;Keller Manuel;*;14;55.0;9;27.5;4;-1.0;9.0
+;7;37.5;Bossert Luc (2006);;17;54.25;8;37.25;1;-0.25;9.75
o;7;47.25;Kurmann Patrick;*;6;57.0;8;47.0;1;-0.25;8.5

11f;Heierli Pascal;**;;;;;;;;;55.75
-;;;Kuster Thomas;**;;;;;;;8.75
+;4;8.75;Ackermann Roman;;12;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Nüesch Sandro (2005);;12;55.5;2;19.75;-4;1.25;9.75
-;6;28.25;Notz Beni;***;11;55.75;6;28.25;0;0.0;9.0
o;8;37.25;Dörig Erich;*;4;57.5;6;37.75;-2;0.5;8.5
+;13;45.75;Keller Manuel;*;14;55.0;10;46.5;-3;0.75;10.0

11g;Horner Sämi;;;;;;;;;;55.75
+;;;Mösli Reto;;;;;;;;10.0
o;1;10.0;Keller Werner;*;5;57.25;1;10.0;0;0.0;8.75
o;5;18.75;Kolb Pirmin;*;7;56.75;7;18.25;2;-0.5;8.75
o;9;27.5;Brülisauer Dominik;;7;56.75;6;28.25;-3;0.75;8.5
+;13;36.0;Brülisauer Thomas;;19;53.75;11;36.5;-2;0.5;10.0
+;12;46.0;Inauen Maurus;;16;54.5;12;46.0;0;0.0;9.75

11h;Hugelshofer Lars;*;;;;;;;;;55.75
+;;;Elmer Daniel;*;;;;;;;9.75
o;2;9.75;Koch Reto;**;5;57.25;2;9.75;0;0.0;8.75
+;6;18.5;Lenherr Jonas (2005);;12;55.5;5;18.75;-1;0.25;10.0
+;5;28.5;Ackermann Roman;;12;55.5;6;28.25;1;-0.25;10.0
o;3;38.5;Hersche Martin;***;4;57.5;6;37.75;3;-0.75;8.5
-;8;47.0;Signer Andy;**;13;55.25;10;46.5;2;-0.5;8.75

11i;Lüthi Manuel;*;;;;;;;;;55.75
o;;;Kolb Pirmin;*;;;;;;;8.75
+;4;8.75;Fuster Arjuna;;12;55.5;2;9.75;-2;1.0;9.75
o;6;18.5;Bühler Hannes;*;7;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Schläpfer Andrin;;20;53.5;11;27.0;0;0.0;10.0
+;9;37.0;Kolb Kilian (2005);;17;54.25;8;37.25;-1;0.25;9.75
-;9;46.75;Brülisauer Dominik;;7;56.75;5;47.75;-4;1.0;9.0

11j;Neff Florian;*;;;;;;;;;55.75
+;;;Brügger Stefan;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;5;57.25;3;9.0;2;-1.0;8.5
+;6;18.5;Müller Christian;;18;54.0;6;18.5;0;0.0;9.75
+;6;28.25;Keller Cedric;;12;55.5;6;28.25;0;0.0;9.75
-;5;38.0;Notz Beni;***;11;55.75;8;37.25;3;-0.75;8.75
-;9;46.75;Kobler Janosch;*;9;56.25;7;47.25;-2;0.5;9.0

12a;Ackermann Roman;;;;;;;;;;55.5
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Heierli Pascal;**;11;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Joos Roman (2005);;13;55.25;7;18.25;1;-0.25;9.75
o;6;28.25;Hugelshofer Lars;*;11;55.75;5;28.5;-1;0.25;8.5
-;10;36.75;Müller Christian;;18;54.0;10;36.75;0;0.0;8.75
+;14;45.5;Studerus Jan;;18;54.0;14;45.5;0;0.0;10.0

12b;Flück Bruno;;;;;;;;;;55.5
-;;;Bachmann Janos (2004);;;;;;;;8.75
+;4;8.75;Keller Neel (2004);;13;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Landolt Reto;*;13;55.25;6;18.5;1;-0.25;9.75
o;5;28.5;Koch Thomas;**;2;58.0;5;28.5;0;0.0;8.5
+;9;37.0;Müller Josias (2006);;15;54.75;7;37.5;-2;0.5;10.0
o;8;47.0;Koch Reto;**;5;57.25;7;47.25;-1;0.25;8.5

12c;Burkhalter Thomas;*;;;;;;;;;55.5
-;;;Mettler Valentin;*;;;;;;;8.75
+;4;8.75;Signer Tobias (2004);;17;54.25;2;9.75;-2;1.0;9.75
-;6;18.5;Bollhalder Manuel;*;12;55.5;7;18.25;1;-0.25;8.75
+;10;27.25;Ziegler Andreas;;14;55.0;6;28.25;-4;1.0;9.75
+;9;37.0;Koster Patrick;;20;53.5;11;36.5;2;-0.5;10.0
o;8;47.0;Bernold Christian;**;6;57.0;7;47.25;-1;0.25;8.5

12d;Keller Stefan;;;;;;;;;;55.5
+;;;Knellwolf Sebastian;;;;;;;;10.0
o;1;10.0;Joos Enrico;*;10;56.0;4;8.75;3;-1.25;8.75
o;5;18.75;Hobi Ignaz;*;18;54.0;7;18.25;2;-0.5;8.5
+;10;27.25;Signer Sandro (2006);;18;54.0;11;27.0;1;-0.25;10.0
o;8;37.25;Dumelin David;**;5;57.25;8;37.25;0;0.0;8.5
+;13;45.75;Koch Sämi (2006);;19;53.75;15;45.25;2;-0.5;9.75

12e;Fuster Arjuna;;;;;;;;;;55.5
+;;;Walser Aaron (2006);;;;;;;;9.75
o;2;9.75;Lüthi Manuel;*;11;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Stark Walter (2006);;19;53.75;6;18.5;-1;0.25;10.0
-;6;28.25;Baumann Rico;*;15;54.75;10;27.25;4;-1.0;8.75
+;9;37.0;Wartmann Otto;;13;55.25;10;36.75;1;-0.25;9.75
o;9;46.75;Keller Werner;*;5;57.25;6;47.5;-3;0.75;8.75

12f;Nüesch Sandro (2005);;;;;;;;;;55.5
+;;;Trümpy Thomas (2006);;;;;;;;9.75
+;2;9.75;Rüger Damian;;18;54.0;5;8.5;3;-1.25;10.0
o;2;19.75;Heierli Pascal;**;11;55.75;6;18.5;4;-1.25;8.5
o;6;28.25;Lanter Christian;*;10;56.0;9;27.5;3;-0.75;8.75
+;9;37.0;Studerus Jan;;18;54.0;9;37.0;0;0.0;10.0
o;8;47.0;Leuppi Karim;*;6;57.0;7;47.25;-1;0.25;8.5

12g;Signer Walter;;;;;;;;;;55.5
+;;;Waldmeier Marco (2005);;;;;;;;9.75
-;2;9.75;Raymann Jan;;17;54.25;5;8.5;3;-1.25;8.75
