3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
o;3;28.5;Notz Beni;***;4;57.0;4;28.25;1;-0.25;8.5
+;8;37.0;Schmutz Adrian;*;10;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Studer Remo;*;10;55.5;7;46.75;1;-0.25;9.75

5d;Strebel Joel;**;;;;;;;;;56.75
o;;;Bieri Marcel;**;;;;;;;8.5
+;4;8.5;Schmutz Simon;*;15;54.25;2;9.75;-2;1.25;10.0
+;6;18.5;Bachmann Sämi (2001);;16;54.0;2;19.75;-4;1.25;9.75
+;4;28.25;Kropf Marcel;**;10;55.5;3;28.5;-1;0.25;10.0
o;3;38.25;Nötzli Reto;***;4;57.0;7;37.25;4;-1.0;8.5
+;7;46.75;Mathys Simon;**;11;55.25;7;46.75;0;0.0;10.0

5e;Döbeli Lukas;**;;;;;;;;;56.75
+;;;Haenni Stéphane;**;;;;;;;9.75
-;2;9.75;Scherrer Johann;**;14;54.5;3;8.75;1;-1.0;8.75
+;6;18.5;Rohrbach Jérôme;;15;54.25;1;20.0;-5;1.5;10.0
+;3;28.5;Schmutz Adrian;*;10;55.5;3;28.5;0;0.0;9.75
o;3;38.25;Bieri Marcel;**;2;58.25;2;38.5;-1;0.25;8.75
+;6;47.0;Widmer David;**;12;55.0;9;46.25;3;-0.75;9.75

5f;Stalder Remo;***;;;;;;;;;56.75
-;;;Gottofrey Marc;**;;;;;;;8.75
+;3;8.75;Steinmann Yves;*;14;54.5;1;10.0;-2;1.25;9.75
+;6;18.5;Hermann Oliver;*;5;56.75;2;19.75;-4;1.25;10.0
o;3;28.5;Döbeli Andreas;**;1;58.5;1;29.75;-2;1.25;8.5
+;8;37.0;Brun Samuel;**;11;55.25;8;37.0;0;0.0;9.75
+;7;46.75;Schwenkfelder Lukas;*;13;54.75;9;46.25;2;-0.5;10.0

6a;Stoll Simon;**;;;;;;;;;56.5
o;;;Klausner Yanick;**;;;;;;;8.5
+;4;8.5;Hitz Florian;;12;55.0;1;10.0;-3;1.5;10.0
+;6;18.5;Odermatt Adrian (2001);*;11;55.25;5;18.75;-1;0.25;10.0
+;3;28.5;Nussbaumer Gabriel;;11;55.25;3;28.5;0;0.0;9.75
o;3;38.25;Thürig Mario;***;4;57.0;8;37.0;5;-1.25;8.5
+;7;46.75;Brügger Joël;;10;55.5;6;47.0;-1;0.25;9.75

7a;Kocher Remo;**;;;;;;;;;56.25
-;;;Hügli Kaj;**;;;;;;;8.75
+;3;8.75;Meyer Lukas (2001);;16;54.0;1;10.0;-2;1.25;10.0
-;5;18.75;Bieri Christoph;***;11;55.25;5;18.75;0;0.0;8.75
+;7;27.5;Müller Simon;;28;35.5;9;27.0;2;-0.5;10.0
+;6;37.5;Schmid Samuel;**;9;55.75;6;37.5;0;0.0;10.0
o;4;47.5;Studinger Stephan;**;4;57.0;6;47.0;2;-0.5;8.75

8a;Schillig Willi;**;;;;;;;;;56.0
o;;;Mangold Michael;**;;;;;;;8.5
+;4;8.5;Rüegger Aaron;*;22;46.0;3;8.75;-1;0.25;10.0
-;6;18.5;Bruder Adrian;*;9;55.75;6;18.5;0;0.0;8.75
-;8;27.25;Meyer Markus;;13;54.75;4;28.25;-4;1.0;8.75
+;12;36.0;Furrer Mathias;;16;54.0;9;36.75;-3;0.75;10.0
+;10;46.0;Schwegler Dominik;;24;44.75;15;44.75;5;-1.25;10.0

8b;Leuthard Reto;**;;;;;;;;;56.0
+;;;Widmer David;**;;;;;;;10.0
-;1;10.0;Gerber Manuel;*;10;55.5;3;8.75;2;-1.25;8.75
o;5;18.75;Mathys Simon;**;11;55.25;6;18.5;1;-0.25;8.5
+;8;27.25;Burkhardt Roy;;11;55.25;4;28.25;-4;1.0;10.0
-;7;37.25;Scherrer Johann;**;14;54.5;7;37.25;0;0.0;8.75
+;10;46.0;Streich Sascha (2001);;14;54.5;10;46.0;0;0.0;10.0

9a;Haenni Stéphane;**;;;;;;;;;55.75
o;;;Döbeli Lukas;**;;;;;;;8.5
+;4;8.5;Voggensperger Lars (2001);*;10;55.5;2;9.75;-2;1.25;10.0
o;6;18.5;Döbeli Andreas;**;1;58.5;1;20.0;-5;1.5;8.5
-;9;27.0;Hasler Luis (2002);;13;54.75;3;28.5;-6;1.5;8.75
+;13;35.75;Wüthrich Jonas (2003);;14;54.5;8;37.0;-5;1.25;10.0
+;11;45.75;Stark Urban;;13;54.75;10;46.0;-1;0.25;10.0

9b;Brand Christian;**;;;;;;;;;55.75
o;;;Vieira Tiago;**;;;;;;;8.5
-;4;8.5;Stadler Kevin (2002);*;18;53.5;4;8.5;0;0.0;8.75
-;10;17.25;Fricker Ivo;;14;54.5;6;18.5;-4;1.25;8.75
+;13;26.0;Burren Dominik (2003);;15;54.25;8;27.25;-5;1.25;10.0
+;12;36.0;Schär Jonas;;13;54.75;11;36.25;-1;0.25;9.75
+;11;45.75;Graber Colin;;14;54.5;10;46.0;-1;0.25;10.0

9c;Schmid Samuel;**;;;;;;;;;55.75
o;;;Brun Samuel;**;;;;;;;8.75
+;3;8.75;Stoll Thomas;;15;54.25;1;10.0;-2;1.25;9.75
+;6;18.5;Bader Thomas (2002);;14;54.5;1;20.0;-5;1.5;10.0
-;3;28.5;Gobeli Patrick;**;5;56.75;6;27.75;3;-0.75;9.0
o;6;37.5;Kocher Remo;**;7;56.25;6;37.5;0;0.0;8.5
