3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
o;;;Hitz Florian;;;;;;;;8.5
+;4;8.5;Bieri Florian (2001);;28;35.5;4;8.5;0;0.0;9.75
-;7;18.25;Reimann Marco;;30;35.0;8;17.75;1;-0.5;8.75
o;9;27.0;Hauri Urs;**;4;57.0;8;27.25;-1;0.25;8.5

29a;Huber Pascal;;;;;;;;;;35.25
o;;;Furrer Mathias;;;;;;;;8.5
o;4;8.5;Bieli Andreas;;39;18.25;4;8.5;0;0.0;8.5
o;11;17.0;Sempach Beat;;20;52.75;10;17.25;-1;0.25;8.5
+;15;25.5;Schwander Rafael (2001);;34;34.0;15;25.5;0;0.0;9.75

30a;Reimann Marco;;;;;;;;;;35.0
o;;;Stark Urban;;;;;;;;8.75
-;3;8.75;Burren Dominik (2003);;15;54.25;4;8.5;1;-0.25;9.0
-;8;17.75;Grieder Nonda;;28;35.5;7;18.25;-1;0.5;8.75
o;11;26.5;Gerber Manuel;*;10;55.5;8;27.25;-3;0.75;8.5

31a;Herrmann Adrian;;;;;;;;;;34.75
o;;;Meyer Markus;;;;;;;;8.5
o;4;8.5;Brugger Jonas;;17;53.75;1;10.0;-3;1.5;8.5
-;11;17.0;Märki Fabian (2001);;28;35.5;11;17.0;0;0.0;8.75
-;14;25.75;Kramer Lukas (2001);;32;34.5;15;25.5;1;-0.25;9.0

32a;Büchi Christian;;;;;;;;;;34.5
o;;;Brügger Joël;;;;;;;;8.5
-;4;8.5;Peterhans Alex;;32;34.5;3;8.75;-1;0.25;8.75
-;10;17.25;Jehle Lorenz (2003);;20;52.75;11;17.0;1;-0.25;8.75
o;13;26.0;Reinhard Pirmin (2001);;21;46.25;8;27.25;-5;1.25;8.5

32b;Kramer Lukas (2001);;;;;;;;;;34.5
o;;;Bruder Adrian;*;;;;;;;8.5
o;4;8.5;Bachmann Sämi (2001);;16;54.0;1;10.0;-3;1.5;8.5
o;11;17.0;Leuthard Mario;;15;54.25;11;17.0;0;0.0;8.5
-;15;25.5;Herrmann Adrian;;31;34.75;14;25.75;-1;0.25;9.0

32c;Peterhans Alex;;;;;;;;;;34.5
-;;;Nussbaumer Dominik;;;;;;;;8.75
-;3;8.75;Büchi Christian;;32;34.5;4;8.5;1;-0.25;8.75
o;9;17.5;Bieri Florian (2001);;28;35.5;11;17.0;2;-0.5;8.5
o;13;26.0;Furrer Mathias;;16;54.0;10;26.75;-3;0.75;8.5

33a;Suter Jonas (2003);;;;;;;;;;34.25
o;;;Rohrbach Jérôme;;;;;;;;8.5
-;4;8.5;Sempach Beat;;20;52.75;4;8.5;0;0.0;8.75
o;10;17.25;Müller Jan;;28;35.5;10;17.25;0;0.0;8.5
o;14;25.75;Müller Christian;;18;53.5;10;26.75;-4;1.0;8.5

34a;Lazic Serge;;;;;;;;;;34.0
o;;;Nyffenegger Florian (2001);;;;;;;;8.5
o;4;8.5;Müller Simon;;28;35.5;4;8.5;0;0.0;8.5
o;11;17.0;Vogt Marco (2003);;20;52.75;10;17.25;-1;0.25;8.5
o;15;25.5;Steger Robert;;15;54.25;13;26.0;-2;0.5;8.5

34b;Herrmann Daniel (2003);;;;;;;;;;34.0
o;;;Bachmann Sämi (2001);;;;;;;;8.5
o;4;8.5;Hermann Lukas (2002);;28;35.5;4;8.5;0;0.0;8.5
o;11;17.0;Lazic Marco;;25;44.25;10;17.25;-1;0.25;8.5
o;15;25.5;Märki Fabian (2001);;28;35.5;14;25.75;-1;0.25;8.5

34c;Schwander Rafael (2001);;;;;;;;;;34.0
o;;;Späti Jan (2002);;;;;;;;8.5
o;4;8.5;Schwob Marco;;20;52.75;4;8.5;0;0.0;8.5
o;11;17.0;Nussbaumer Dominik;;15;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Huber Pascal;;29;35.25;15;25.5;0;0.0;8.5

35a;Lisser Beat;*;;;;;;;;;26.75
o;;;Steinmann Yves;*;;;;;;;8.5
o;4;8.5;Mangold Martin;*;11;55.25;3;8.75;-1;0.25;8.5
+;11;17.0;Müller Christian;;18;53.5;7;18.25;-4;1.25;9.75

36a;Jusufi Azret;;;;;;;;;;26.25
-;;;Stegmüller Klemens;*;;;;;;;8.75
-;3;8.75;Dobler Florian;;15;54.25;2;9.75;-1;1.0;8.75
-;9;17.5;Schwob Marco;;20;52.75;6;18.5;-3;1.0;8.75

37a;Schuler Jan (2001);;;;;;;;;;25.5
o;;;Bader Thomas (2002);;;;;;;;8.5
o;4;8.5;Senn Marco;;28;35.5;4;8.5;0;0.0;8.5
o;11;17.0;Jehle Lorenz (2003);;20;52.75;11;17.0;0;0.0;8.5

38a;Mangold Michael;**;;;;;;;;;18.75
+;;;Schillig Willi;**;;;;;;;10.0
o;1;10.0;Büttler Gian;;15;54.25;1;10.0;0;0.0;8.75

39a;Bieli Andreas;;;;;;;;;;18.25
o;;;Graber Colin;;;;;;;;8.5
+;4;8.5;Huber Pascal;;29;35.25;4;8.5;0;0.0;9.75

40a;von Arx Christian;*;;;;;;;;;17.5
o;;;Voggensperger Lars (2001);*;;;;;;;8.5
-;4;8.5;Graber Colin;;14;54.5;2;9.75;-2;1.25;9.0

41a;Huber Fabian;;;;;;;;;;17.0
o;;;Burkhardt Roy;;;;;;;;8.5
o;4;8.5;Loosli Adrian;;15;54.25;3;8.75;-1;0.25;8.5

42a;Vogt Fredy (2001);;;;;;;;;;8.75
-;;;Loosli Adrian;;;;;;;;8.75

43a;Jusufi Ilber;;;;;;;;;;8.5
o;;;Schmutz Adrian;*;;;;;;;8.5

