3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
+;5;8.5;Dugué Maël;;18;54.0;1;10.0;-4;1.5;9.75
-;7;18.25;Fankhauser Hans;*;17;54.25;10;17.25;3;-1.0;8.75
+;10;27.0;Burri Flemming;;19;53.75;10;27.0;0;0.0;10.0
-;7;37.0;Loup Alexandre;*;18;54.0;8;36.75;1;-0.25;8.75
+;12;45.75;Balimann Fabian;;17;54.25;12;45.75;0;0.0;10.0

11c;Borcard Clovis;*;;;;;;;;;55.75
-;;;Sonnay Thomas;**;;;;;;;8.75
+;4;8.75;Berger Sascha;;13;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Kramer Lario;***;2;58.0;6;18.5;1;-0.25;8.5
-;9;27.25;Zbinden Silvan (2004);;13;55.25;6;28.0;-3;0.75;8.75
+;11;36.0;Fankhauser Hans;*;17;54.25;11;36.0;0;0.0;10.0
+;11;46.0;Elmiger Elias;;15;54.75;10;46.25;-1;0.25;9.75

11d;Hayoz Quentin;*;;;;;;;;;55.75
+;;;Pasquier Loïc;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Dugué Maël;;18;54.0;6;18.5;0;0.0;10.0
-;4;28.5;Matthey Mickaël;**;6;57.0;4;28.5;0;0.0;8.75
+;6;37.25;Mermillod Jérôme (2004);;12;55.5;7;37.0;1;-0.25;10.0
o;6;47.25;Moser Steven;**;6;57.0;7;47.0;1;-0.25;8.5

12a;Pasquier Loïc;*;;;;;;;;;55.5
o;;;Hayoz Quentin;*;;;;;;;8.5
-;5;8.5;Balimann Fabian;;17;54.25;1;10.0;-4;1.5;8.75
+;10;17.25;Germanier Joel;;18;54.0;5;18.75;-5;1.5;10.0
+;9;27.25;Kramer Dorian;**;15;54.75;7;27.75;-2;0.5;9.75
o;7;37.0;Dousse Michel;**;5;57.25;6;37.25;-1;0.25;8.5
+;13;45.5;Schweizer Jason;;17;54.25;12;45.75;-1;0.25;10.0

12b;Tornare Paul;*;;;;;;;;;55.5
-;;;Kramer Dorian;**;;;;;;;8.75
+;4;8.75;Loup Grégoire;;13;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Hofer Sven;**;7;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Lauber Grégoire;;14;55.0;5;28.25;-5;1.25;10.0
o;7;37.0;Sturny Nicolas;**;9;56.25;4;38.0;-3;1.0;8.5
+;13;45.5;Berger Alan;;18;54.0;13;45.5;0;0.0;10.0

12c;Grossenbacher Simon;*;;;;;;;;;55.5
+;;;Rogivue Théo;*;;;;;;;9.75
o;2;9.75;Voggensperger Lars;**;7;56.75;3;9.0;1;-0.75;8.75
+;6;18.5;Perret Loïc;;13;55.25;2;19.75;-4;1.25;9.75
o;5;28.25;Martin Gaël (2004);*;12;55.5;5;28.25;0;0.0;8.75
+;7;37.0;Balimann Fabian;;17;54.25;7;37.0;0;0.0;10.0
o;7;47.0;Arnold Stefan;**;7;56.75;7;47.0;0;0.0;8.5

12d;Mermillod Jérôme (2004);;;;;;;;;;55.5
o;;;Balimann Fabian;;;;;;;;8.5
+;5;8.5;Blanchard Benjamin;;19;53.75;1;10.0;-4;1.5;9.75
-;7;18.25;Hayoz Paul;*;17;54.25;10;17.25;3;-1.0;8.75
+;10;27.0;Jacquaz Fabien (2006);;15;54.75;11;26.75;1;-0.25;10.0
o;7;37.0;Hayoz Quentin;*;11;55.75;6;37.25;-1;0.25;8.5
+;13;45.5;Chofflon Anthony;;18;54.0;13;45.5;0;0.0;10.0

12e;Wieland Janis;*;;;;;;;;;55.5
o;;;Riedo Fredy;*;;;;;;;8.5
+;5;8.5;Imhasly Jorin;;19;53.75;2;9.75;-3;1.25;10.0
o;6;18.5;Hügli Kaj;**;13;55.25;10;17.25;4;-1.25;8.5
+;10;27.0;Rey Arnaud;;15;54.75;6;28.0;-4;1.0;10.0
o;7;37.0;Matthey Mickaël;**;6;57.0;5;37.5;-2;0.5;8.5
+;13;45.5;Fallegger Riccardo;;18;54.0;13;45.5;0;0.0;10.0

12f;Martin Gaël (2004);*;;;;;;;;;55.5
+;;;Fankhauser Hans;*;;;;;;;9.75
o;2;9.75;Collaud Romain;**;4;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Blanchard Benjamin;;19;53.75;6;18.5;-1;0.25;10.0
+;5;28.25;Grossenbacher Simon;*;12;55.5;5;28.25;0;0.0;9.75
o;4;38.0;Siegenthaler Leo (2005);*;6;57.0;7;37.0;3;-1.0;8.5
-;9;46.5;Riedo Fredy;*;10;56.0;7;47.0;-2;0.5;9.0

12g;Collaud Bastien (2005);;;;;;;;;;55.5
+;;;Berger Sascha;;;;;;;;10.0
-;1;10.0;Dorsaz Théo;*;21;53.25;4;8.75;3;-1.25;8.75
+;5;18.75;Schläfli Hugo;*;17;54.25;6;18.5;1;-0.25;9.75
o;4;28.5;Borcard Johann;**;3;57.75;6;28.0;2;-0.5;8.5
+;7;37.0;Lauber Grégoire;;14;55.0;8;36.75;1;-0.25;10.0
o;7;47.0;Colò Kilian;**;7;56.75;7;47.0;0;0.0;8.5

13a;Crettaz Olivier;*;;;;;;;;;55.25
o;;;Dousse Michel;**;;;;;;;8.5
+;5;8.5;Wieland Timon;;14;55.0;1;10.0;-4;1.5;9.75
+;7;18.25;Pürro Tobias;;18;54.0;6;18.5;-1;0.25;10.0
