3218-2015-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
-;4;48.0;Jud Pirmin;*;8;56.0;7;47.25;3;-0.75;8.75

5b;Fejzaj Naim;*;;;;;;;;;56.75
+;;;Scherer Christian;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;3;57.25;3;9.0;2;-1.0;8.5
+;6;18.5;Biäsch Christian;;12;55.0;2;19.75;-4;1.25;10.0
+;3;28.5;Oertig Simon;;14;54.5;3;28.5;0;0.0;9.75
o;3;38.25;Giger Samuel (1998);**;2;57.75;4;38.0;1;-0.25;8.5
+;9;46.75;Wolfer Lukas;;12;55.0;10;46.5;1;-0.25;10.0

5c;Kid Simon;**;;;;;;;;;56.75
+;;;Schweizer Christof;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Frei Hanspeter (1999);;23;35.5;6;18.5;-1;0.25;10.0
+;4;28.25;Vestner Bruno;*;10;55.5;2;28.75;-2;0.5;9.75
+;4;38.0;Schläpfer Markus;**;4;57.0;2;38.5;-2;0.5;10.0
-;4;48.0;Brühlmann Martin;*;6;56.5;6;47.5;2;-0.5;8.75

5d;Vogel Beat;*;;;;;;;;;56.75
o;;;Odermatt Martin;*;;;;;;;8.5
o;5;8.5;Hofstetter Manuel;*;6;56.5;1;10.0;-4;1.5;8.5
+;11;17.0;von Allmen Michael;;29;26.75;7;18.25;-4;1.25;10.0
+;9;27.0;Arnold Christian;;20;53.0;8;27.25;-1;0.25;10.0
+;8;37.0;Manser Mathias;;17;53.75;9;36.75;1;-0.25;9.75
+;9;46.75;Schmid Dominik;**;7;56.25;6;47.5;-3;0.75;10.0

6a;Coray Beda;*;;;;;;;;;56.5
o;;;Riget Ivan;*;;;;;;;8.5
+;5;8.5;Sisombun Fin (1997);;23;35.5;2;9.75;-3;1.25;10.0
+;6;18.5;Mösli Reto;;23;35.5;6;18.5;0;0.0;9.75
+;4;28.25;Inauen Aurel;;13;54.75;7;27.5;3;-0.75;9.75
o;4;38.0;Zwyssig Raphael;***;1;58.75;1;38.75;-3;0.75;8.75
+;9;46.75;Vestner Bruno;*;10;55.5;8;47.0;-1;0.25;9.75

6b;Bühler Ernst;**;;;;;;;;;56.5
o;;;Hersche Martin;**;;;;;;;8.75
+;4;8.75;Schlumpf Dominik;*;16;54.0;1;10.0;-3;1.25;10.0
-;5;18.75;Giger Urs;*;4;57.0;3;19.5;-2;0.75;9.0
+;6;27.75;Preisig Manuel (1998);;17;53.75;5;28.0;-1;0.25;10.0
+;5;37.75;Bernold Michael (1999);;14;54.5;8;37.0;3;-0.75;10.0
-;5;47.75;Fässler Andreas;**;4;57.0;3;48.25;-2;0.5;8.75

