3218-2015-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
+;4;8.75;Streule Marco;;26;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Kuster Marcel;**;4;57.0;6;18.5;1;-0.25;8.5
o;8;27.25;Koch Reto;;10;55.5;4;28.25;-4;1.0;8.5
+;13;35.75;Schoch Cornel (1998);;16;54.0;13;35.75;0;0.0;9.75
+;14;45.5;Gundolf Samuel;;16;54.0;14;45.5;0;0.0;9.75

11d;Fässler Patrick;;;;;;;;;;55.25
-;;;Bänziger Peter;;;;;;;;8.75
+;4;8.75;Götti Samuel (1998);;23;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Schneider Mario;**;8;56.0;9;17.5;3;-1.0;8.5
+;9;27.0;Wey Nicola;*;10;55.5;8;27.25;-1;0.25;9.75
+;9;36.75;Hengartner Ivo;;16;54.0;9;36.75;0;0.0;10.0
o;9;46.75;Dörig Erich;;21;46.75;9;46.75;0;0.0;8.5

11e;Inauen Andreas;*;;;;;;;;;55.25
-;;;Rütsche Stefan;*;;;;;;;8.75
+;4;8.75;Elmer Adrian;;15;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Notz Armin;*;13;54.75;5;18.75;0;0.0;9.75
o;3;28.5;Koller Fabian;;7;56.25;4;28.25;1;-0.25;8.5
o;8;37.0;Jud Pirmin;*;8;56.0;7;37.25;-1;0.25;8.5
+;14;45.5;Harder Benj;;16;54.0;14;45.5;0;0.0;9.75

11f;Näf Bruno;*;;;;;;;;;55.25
o;;;Giger Urs;*;;;;;;;8.5
-;5;8.5;Koch Thomas (1997);;9;55.75;1;10.0;-4;1.5;9.0
+;9;17.5;Langenegger Beat (1997);;23;35.5;6;18.5;-3;1.0;9.75
+;8;27.25;Inauen Roman;;18;53.5;5;28.0;-3;0.75;9.75
o;8;37.0;Schmid Patrick (1997);;3;57.25;6;37.5;-2;0.5;8.5
+;14;45.5;Schlumpf Dominik;*;16;54.0;14;45.5;0;0.0;9.75

11g;Frauchiger Remo;;;;;;;;;;55.25
+;;;Hengartner Ivo;;;;;;;;10.0
o;1;10.0;Bäbler Dominik;*;30;18.5;5;8.5;4;-1.5;8.5
+;6;18.5;Speck Christof (1999);;16;54.0;7;18.25;1;-0.25;10.0
o;3;28.5;Fässler Andreas;**;4;57.0;3;28.5;0;0.0;8.5
+;8;37.0;Koch Thomas (1997);;9;55.75;6;37.5;-2;0.5;9.75
o;9;46.75;Schläpfer Markus;**;4;57.0;8;47.0;-1;0.25;8.5

12a;Tanner Adrian;;;;;;;;;;55.0
o;;;Pfiffner Ivo;;;;;;;;8.5
+;5;8.5;Badat Thomas (1997);;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Näf Willi;*;16;54.0;6;18.5;-1;0.25;8.5
+;10;26.75;Odermatt Michi (1997);;24;35.25;10;26.75;0;0.0;10.0
o;9;36.75;Brühlmann Martin;*;6;56.5;6;37.5;-3;0.75;8.5
+;15;45.25;Flütsch Marco (1999);;17;53.75;15;45.25;0;0.0;9.75

12b;Knechtle Martin;**;;;;;;;;;55.0
o;;;Schläpfer Markus;**;;;;;;;8.5
+;5;8.5;Schwyn Patrick (1999);;24;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Oertle Daniel;;6;56.5;3;19.5;-3;1.0;9.75
-;4;28.25;Schmid Dominik;**;7;56.25;3;28.5;-1;0.25;9.0
-;7;37.25;Fontana Michael;;13;54.75;7;37.25;0;0.0;8.75
-;12;46.0;Schweizer Christof;*;10;55.5;10;46.5;-2;0.5;9.0

12c;Schäppi Urs;;;;;;;;;;55.0
+;;;Fuster Sepp (1997);;;;;;;;10.0
o;1;10.0;Wey Nicola;*;10;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Koch Thomas (1997);;9;55.75;4;19.0;-2;0.5;8.5
+;9;27.0;Moseler Manuel (1999);;24;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Oertig Dominik;*;8;56.0;8;37.0;-1;0.25;8.5
+;15;45.25;Manser Mathias;;17;53.75;15;45.25;0;0.0;9.75

12d;Oetiker Ronny;;;;;;;;;;55.0
+;;;Langenegger Remo (1997);;;;;;;;10.0
o;1;10.0;Schmid Dominik;**;7;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Manser Adrian (1998);;24;35.25;7;18.25;1;-0.25;9.75
o;4;28.25;Hersche Daniel;;22;45.5;4;28.25;0;0.0;8.5
o;9;36.75;Rütsche Stefan;*;10;55.5;8;37.0;-1;0.25;8.5
+;15;45.25;Preisig Manuel (1998);;17;53.75;16;45.0;1;-0.25;9.75

12e;Biäsch Christian;;;;;;;;;;55.0
+;;;Signer Patrick (1999);;;;;;;;9.75
+;2;9.75;Keller Stefan (1998);;18;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Fejzaj Naim;*;5;56.75;6;18.5;4;-1.25;8.5
o;4;28.25;Giger Urs;*;4;57.0;3;28.5;-1;0.25;8.5
+;9;36.75;Hersche Stefan;;15;54.25;8;37.0;-1;0.25;9.75
o;10;46.5;Hofstetter Manuel;*;6;56.5;9;46.75;-1;0.25;8.5

12f;Elmer Daniel;*;;;;;;;;;55.0
-;;;Wey Nicola;*;;;;;;;8.75
+;4;8.75;Poltera Andrin (1999);;23;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Meier Walter (1998);;23;35.5;6;18.5;0;0.0;10.0
-;3;28.5;Krähenbühl Tobias;**;6;56.5;7;27.5;4;-1.0;8.75
-;7;37.25;Wittenwiler Roman (1998);;21;46.75;4;38.0;-3;0.75;9.0
-;11;46.25;Hersche Daniel;;22;45.5;14;45.5;3;-0.75;8.75

12g;Battaglia Ursin;**;;;;;;;;;55.0
o;;;Fässler Andreas;**;;;;;;;8.5
+;5;8.5;Hersche Stefan;;15;54.25;1;10.0;-4;1.5;10.0
-;6;18.5;Bänziger Peter;;14;54.5;10;17.25;4;-1.25;9.0
-;7;27.5;Brühlmann Martin;*;6;56.5;3;28.5;-4;1.0;9.0
+;10;36.5;Elmer Adrian;;15;54.25;7;37.25;-3;0.75;10.0
o;10;46.5;Bäbler Sandro;**;6;56.5;9;46.75;-1;0.25;8.5

12h;Gartmann Mauro;;;;;;;;;;55.0
o;;;Sisombun Fin (1997);;;;;;;;8.75
+;4;8.75;Ackermann Roman;;16;54.0;5;8.5;1;-0.25;9.75
o;6;18.5;Schläpfer Matthias;*;9;55.75;5;18.75;-1;0.25;8.5
+;9;27.0;Mösli Reto;;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Kuster Marcel;**;4;57.0;8;37.0;-1;0.25;8.5
+;15;45.25;Thoma Christoph (1997);;19;53.25;17;44.75;2;-0.5;9.75

12i;Wolfer Lukas;;;;;;;;;;55.0
+;;;Ackermann Roman;;;;;;;;9.75
o;2;9.75;Oertle Daniel;;6;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Manser Bruno;*;10;55.5;6;18.5;-1;0.25;8.5
+;10;26.75;Manser Adrian (1998);;24;35.25;10;26.75;0;0.0;10.0
+;9;36.75;Hersche Stefan;;15;54.25;8;37.0;-1;0.25;9.75
o;10;46.5;Fejzaj Naim;*;5;56.75;9;46.75;-1;0.25;8.5

13a;Kammermann Dominik;;;;;;;;;;54.75
-;;;Jud Pirmin;*;;;;;;;8.75
+;4;8.75;Arnold Christian;;20;53.0;4;8.75;0;0.0;9.75
o;6;18.5;Hari Michi;;9;55.75;6;18.5;0;0.0;8.75
-;8;27.25;Breitenmoser Simon;;14;54.5;9;27.0;1;-0.25;9.0
+;11;36.25;Städler Dario;;19;53.25;13;35.75;2;-0.5;10.0
o;11;46.25;Vollenweider Jeremy (1998);*;6;56.5;10;46.5;-1;0.25;8.5

13b;Notz Armin;*;;;;;;;;;54.75
-;;;Schmid Patrick (1997);;;;;;;;9.0
+;3;9.0;Mösli Reto;;23;35.5;1;10.0;-2;1.0;9.75
o;5;18.75;Inauen Andreas;*;11;55.25;5;18.75;0;0.0;8.5
+;8;27.25;Enz Dominik (1997);;23;35.5;9;27.0;1;-0.25;10.0
-;7;37.25;Stahel Felix;*;15;54.25;9;36.75;2;-0.5;8.75
-;12;46.0;Fontana Michael;;13;54.75;12;46.0;0;0.0;8.75

13c;Eugster Ruedi;**;;;;;;;;;54.75
-;;;Schneider Mario;**;;;;;;;8.75
-;4;8.75;Riget Ivan;*;8;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Manser Mathias;;17;53.75;6;18.5;-3;1.0;10.0
+;7;27.5;Schweizer Christof;*;10;55.5;4;28.25;-3;0.75;9.75
-;7;37.25;Oettli Marco (1997);;6;56.5;5;37.75;-2;0.5;9.0
o;11;46.25;Keller Dominic;;7;56.25;10;46.5;-1;0.25;8.5

13d;Inauen Marco (1999);;;;;;;;;;54.75
-;;;Jud Andreas (1997);;;;;;;;8.75
-;4;8.75;Vollmeier Sandro;;14;54.5;4;8.75;0;0.0;8.75
o;9;17.5;Candrian Gian-Luca (1998);;10;55.5;6;18.5;-3;1.0;8.5
+;12;26.0;Schmid Michael (1998);;25;34.5;12;26.0;0;0.0;10.0
-;12;36.0;Thoma Christoph (1997);;19;53.25;12;36.0;0;0.0;8.75
+;17;44.75;Keller Stefan (1998);;18;53.5;16;45.0;-1;0.25;10.0

13e;Fontana Michael;;;;;;;;;;54.75
+;;;Frei Claude (1999);;;;;;;;10.0
o;1;10.0;Manser Bruno;*;10;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Sisombun Fin (1997);;23;35.5;7;18.25;1;-0.25;10.0
-;3;28.5;Oertig Dominik;*;8;56.0;4;28.25;1;-0.25;8.75
-;7;37.25;Knechtle Martin;**;12;55.0;7;37.25;0;0.0;8.75
-;12;46.0;Notz Armin;*;13;54.75;12;46.0;0;0.0;8.75

13f;Reber Marcel;*;;;;;;;;;54.75
+;;;Brühlmann Martin;*;;;;;;;9.75
+;2;9.75;Bänziger Peter;;14;54.5;4;8.75;2;-1.0;9.75
o;3;19.5;Burkhalter Stefan;***;6;56.5;5;18.75;2;-0.75;8.5
+;5;28.0;Hersche Stefan;;15;54.25;3;28.5;-2;0.5;9.75
o;5;37.75;Giger Urs;*;4;57.0;3;38.25;-2;0.5;8.5
o;11;46.25;Koller Fabian;;7;56.25;10;46.5;-1;0.25;8.5

13g;Inauen Aurel;;;;;;;;;;54.75
-;;;Schwyn Adrian;;;;;;;;8.75
+;4;8.75;Tritten Robin (1998);;23;35.5;5;8.5;1;-0.25;10.0
-;5;18.75;Schlumpf Dominik;*;16;54.0;6;18.5;1;-0.25;8.75
o;7;27.5;Coray Beda;*;6;56.5;4;28.25;-3;0.75;8.5
+;12;36.0;Arnold Christian;;20;53.0;13;35.75;1;-0.25;9.75
-;13;45.75;Oertig Simon;;14;54.5;14;45.5;1;-0.25;9.0

14a;Fäh Tobias;;;;;;;;;;54.5
+;;;Harder Benj;;;;;;;;9.75
-;2;9.75;Baumann Rico;*;11;55.25;4;8.75;2;-1.0;9.0
o;5;18.75;Dörig Erich;;21;46.75;6;18.5;1;-0.25;8.5
+;8;27.25;Raschle Simon (1999);;23;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Kohler Fredi;**;4;57.0;7;37.25;0;0.0;8.5
-;13;45.75;Odermatt Martin;*;14;54.5;13;45.75;0;0.0;8.75

14b;Bernold Michael (1999);;;;;;;;;;54.5
+;;;Gundolf Samuel;;;;;;;;9.75
o;2;9.75;Schweizer Christof;*;10;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Keller Stefan (1998);;18;53.5;7;18.25;0;0.0;10.0
o;4;28.25;Vollenweider Jeremy (1998);*;6;56.5;4;28.25;0;0.0;8.75
o;8;37.0;Bühler Ernst;**;6;56.5;5;37.75;-3;0.75;8.5
-;14;45.5;Ott Dominik;;15;54.25;15;45.25;1;-0.25;9.0

14c;Pfiffner Ivo;;;;;;;;;;54.5
+;;;Tanner Adrian;;;;;;;;10.0
o;1;10.0;Signer Emil;**;3;57.25;3;9.0;2;-1.0;8.5
-;6;18.5;Wittenwiler Roman (1998);;21;46.75;4;19.0;-2;0.5;8.75
o;8;27.25;Oertle Daniel;;6;56.5;5;28.0;-3;0.75;8.75
+;12;36.0;Dobler Mathias (1997);;17;53.75;10;36.5;-2;0.5;10.0
o;12;46.0;Hersche Stefan;;15;54.25;14;45.5;2;-0.5;8.5

14d;Oertig Simon;;;;;;;;;;54.5
+;;;von Allmen Michael;;;;;;;;10.0
o;1;10.0;Giger Urs;*;4;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Enz Dominik (1997);;23;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Fejzaj Naim;*;5;56.75;3;28.5;0;0.0;8.5
o;8;37.0;Schmid Dominik;**;7;56.25;6;37.5;-2;0.5;8.5
-;14;45.5;Inauen Aurel;;13;54.75;13;45.75;-1;0.25;9.0

14e;Breitenmoser Simon;;;;;;;;;;54.5
o;;;Schläpfer Matthias;*;;;;;;;8.75
o;4;8.75;von Allmen Michael;;29;26.75;5;8.5;1;-0.25;8.5
+;10;17.25;Willi Renato;;11;55.25;10;17.25;0;0.0;9.75
-;9;27.0;Kammermann Dominik;;13;54.75;8;27.25;-1;0.25;9.0
+;12;36.0;Preisig Manuel (1998);;17;53.75;10;36.5;-2;0.5;9.75
-;13;45.75;Stahel Felix;*;15;54.25;14;45.5;1;-0.25;8.75

14f;Odermatt Martin;*;;;;;;;;;54.5
+;;;Vogel Beat;*;;;;;;;9.75
o;2;9.75;Fässler Andreas;**;4;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Fässler Michael (1999);;23;35.5;6;18.5;-1;0.25;10.0
o;4;28.25;Oettli Marco (1997);;6;56.5;6;27.75;2;-0.5;8.75
-;8;37.0;Näf Willi;*;16;54.0;9;36.75;1;-0.25;8.75
-;13;45.75;Fäh Tobias;;14;54.5;13;45.75;0;0.0;8.75

14g;Vollmeier Sandro;;;;;;;;;;54.5
-;;;Willi Renato;;;;;;;;8.75
-;4;8.75;Inauen Marco (1999);;13;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Inauen Philipp;;24;35.25;7;18.25;-2;0.75;10.0
+;7;27.5;Meier Walter (1998);;23;35.5;9;27.0;2;-0.5;10.0
o;6;37.5;Burkhalter Stefan;***;6;56.5;5;37.75;-1;0.25;8.5
o;12;46.0;Koch Thomas (1997);;9;55.75;12;46.0;0;0.0;8.5

14h;Bänziger Peter;;;;;;;;;;54.5
-;;;Fässler Patrick;;;;;;;;8.75
o;4;8.75;Reber Marcel;*;13;54.75;2;9.75;-2;1.0;8.5
-;10;17.25;Battaglia Ursin;**;12;55.0;6;18.5;-4;1.25;9.0
+;11;26.25;Inauen Philipp;;24;35.25;10;26.75;-1;0.5;9.75
+;12;36.0;Ackermann Roman;;16;54.0;8;37.0;-4;1.0;10.0
o;12;46.0;Koller Martin;*;8;56.0;12;46.0;0;0.0;8.5

15a;Elmer Adrian;;;;;;;;;;54.25
+;;;Manser Adrian (1998);;;;;;;;10.0
o;1;10.0;Inauen Andreas;*;11;55.25;4;8.75;3;-1.25;8.5
-;6;18.5;Schmid Patrick (1997);;3;57.25;4;19.0;-2;0.5;8.75
+;8;27.25;Keller Werner;;23;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Battaglia Ursin;**;12;55.0;10;36.5;3;-0.75;8.5
o;13;45.75;Wey Nicola;*;10;55.5;14;45.5;1;-0.25;8.5

15b;Hersche Stefan;;;;;;;;;;54.25
+;;;Odermatt Michi (1997);;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;12;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Keller Werner;;23;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Reber Marcel;*;13;54.75;5;28.0;2;-0.5;8.5
o;8;37.0;Wolfer Lukas;;12;55.0;9;36.75;1;-0.25;8.5
o;14;45.5;Biäsch Christian;;12;55.0;10;46.5;-4;1.0;8.5
+;16;54.0;Pfiffner Ivo;;14;54.5;14;54.5;-2;0.5;0.25

15c;Stahel Felix;*;;;;;;;;;54.25
o;;;Hofstetter Manuel;*;;;;;;;8.5
o;5;8.5;Koch Reto;;10;55.5;2;9.75;-3;1.25;8.75
+;10;17.25;Salnajs Leo (1998);;23;35.5;6;18.5;-4;1.25;9.75
+;9;27.0;Schoch Cornel (1998);;16;54.0;8;27.25;-1;0.25;9.75
-;9;36.75;Notz Armin;*;13;54.75;7;37.25;-2;0.5;8.75
-;14;45.5;Breitenmoser Simon;;14;54.5;13;45.75;-1;0.25;8.75

15d;Ott Dominik;;;;;;;;;;54.25
+;;;Fässler Michael (1999);;;;;;;;9.75
-;2;9.75;Manser Mathias;;17;53.75;2;9.75;0;0.0;8.75
o;6;18.5;Baumann Rico;*;11;55.25;8;17.75;2;-0.75;8.5
+;9;27.0;Giger Markus;;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Signer Emil;**;3;57.25;6;37.5;-3;0.75;8.5
-;15;45.25;Bernold Michael (1999);;14;54.5;14;45.5;-1;0.25;9.0

16a;Ackermann Roman;;;;;;;;;;54.0
o;;;Wolfer Lukas;;;;;;;;8.5
o;5;8.5;Gartmann Mauro;;12;55.0;4;8.75;-1;0.25;8.5
+;11;17.0;Jud Andreas (1997);;26;34.25;10;17.25;-1;0.25;10.0
+;9;27.0;Scherrer Pascal;;24;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Bänziger Peter;;14;54.5;12;36.0;4;-1.0;8.5
o;14;45.5;Baumann Rico;*;11;55.25;15;45.25;1;-0.25;8.5

16b;Raschle Adrian;;;;;;;;;;54.0
o;;;Candrian Gian-Luca (1998);;;;;;;;8.5
+;5;8.5;Scherrer Pascal;;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Krähenbühl Tobias;**;6;56.5;9;17.5;3;-1.0;8.5
+;9;27.0;Frei Hanspeter (1999);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Schweizer Christof;*;10;55.5;9;36.75;0;0.0;8.5
-;15;45.25;Hengartner Ivo;;16;54.0;15;45.25;0;0.0;8.75

16c;Rütsche Werner;;;;;;;;;;54.0
+;;;Wetter Dominik;;;;;;;;10.0
o;1;10.0;Kuster Marcel;**;4;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Langenegger Remo (1997);;24;35.25;7;18.25;1;-0.25;10.0
o;3;28.5;Schneider Mario;**;8;56.0;7;27.5;4;-1.0;8.5
o;8;37.0;Keller Dominic;;7;56.25;10;36.5;2;-0.5;8.5
o;14;45.5;Candrian Gian-Luca (1998);;10;55.5;14;45.5;0;0.0;8.5

16d;Hengartner Ivo;;;;;;;;;;54.0
o;;;Frauchiger Remo;;;;;;;;8.5
+;5;8.5;Schoch Cornel (1998);;16;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Schmid Dominik;**;7;56.25;5;18.75;-1;0.25;8.5
+;9;27.0;Langenegger Beat (1997);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Fässler Patrick;;11;55.25;9;36.75;0;0.0;8.5
-;15;45.25;Raschle Adrian;;16;54.0;15;45.25;0;0.0;8.75

16e;Harder Benj;;;;;;;;;;54.0
o;;;Fäh Tobias;;;;;;;;8.75
+;4;8.75;Wetter Dominik;;23;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Schweizer Christof;*;10;55.5;7;18.25;1;-0.25;8.5
+;9;27.0;Fuster Sepp (1997);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Wittenwiler Roman (1998);;21;46.75;4;38.0;-4;1.0;8.5
o;14;45.5;Inauen Andreas;*;11;55.25;14;45.5;0;0.0;8.5

16f;Schlumpf Dominik;*;;;;;;;;;54.0
+;;;Thoma Christoph (1997);;;;;;;;10.0
o;1;10.0;Bühler Ernst;**;6;56.5;4;8.75;3;-1.25;8.5
-;6;18.5;Inauen Aurel;;13;54.75;5;18.75;-1;0.25;8.75
+;8;27.25;Poltera Andrin (1999);;23;35.5;9;27.0;1;-0.25;9.75
o;8;37.0;Oertle Daniel;;6;56.5;4;38.0;-4;1.0;8.5
o;14;45.5;Näf Bruno;*;11;55.25;14;45.5;0;0.0;8.5

16g;Schoch Cornel (1998);;;;;;;;;;54.0
-;;;Arnold Christian;;;;;;;;8.75
o;4;8.75;Hengartner Ivo;;16;54.0;5;8.5;1;-0.25;8.5
+;10;17.25;Baumgartner Joël;;25;34.5;9;17.5;-1;0.25;10.0
o;8;27.25;Stahel Felix;*;15;54.25;9;27.0;1;-0.25;8.5
o;13;35.75;Läderach Pascal (1999);;11;55.25;13;35.75;0;0.0;8.5
+;18;44.25;Inauen Roman;;18;53.5;16;45.0;-2;0.75;9.75

16h;Speck Christof (1999);;;;;;;;;;54.0
+;;;Rutz Silvan (1999);;;;;;;;9.75
o;2;9.75;Scherer Christian;*;10;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Frauchiger Remo;;11;55.25;6;18.5;-1;0.25;8.5
+;10;26.75;Bleiker Daniel;;24;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Kammermann Thomas;*;4;57.0;8;37.0;-2;0.5;8.5
-;16;45.0;Städler Dario;;19;53.25;18;44.25;2;-0.75;9.0

16i;Gundolf Samuel;;;;;;;;;;54.0
o;;;Bernold Michael (1999);;;;;;;;8.5
o;5;8.5;Bucher Roland;;10;55.5;5;8.5;0;0.0;8.5
+;11;17.0;Oppliger Matthias (1999);;27;34.0;11;17.0;0;0.0;10.0
+;9;27.0;Buff Alwin;;24;35.25;14;25.5;5;-1.5;10.0
o;8;37.0;Wey Nicola;*;10;55.5;13;35.75;5;-1.25;8.5
o;14;45.5;Läderach Pascal (1999);;11;55.25;14;45.5;0;0.0;8.5

16j;Baldinger Michael (1997);;;;;;;;;;54.0
+;;;Bleiker Daniel;;;;;;;;10.0
o;1;10.0;Brühlmann Martin;*;6;56.5;4;8.75;3;-1.25;8.5
o;6;18.5;Scherer Christian;*;10;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Schönenberger Björn;;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Hari Michi;;9;55.75;7;37.25;-1;0.25;8.5
o;14;45.5;Bucher Roland;;10;55.5;14;45.5;0;0.0;8.5

16k;Näf Willi;*;;;;;;;;;54.0
o;;;Oertle Daniel;;;;;;;;8.5
+;5;8.5;Keller Werner;;23;35.5;1;10.0;-4;1.5;10.0
+;6;18.5;Tanner Adrian;;12;55.0;7;18.25;1;-0.25;9.75
o;4;28.25;Hersche Martin;**;4;57.0;2;28.75;-2;0.5;8.5
-;9;36.75;Odermatt Martin;*;14;54.5;8;37.0;-1;0.25;8.75
o;14;45.5;Schwyn Adrian;;9;55.75;13;45.75;-1;0.25;8.5

17a;Dobler Mathias (1997);;;;;;;;;;53.75
o;;;Moseler Manuel (1999);;;;;;;;8.5
+;5;8.5;Bleiker Daniel;;24;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Schwyn Patrick (1999);;24;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Riget Ivan;*;8;56.0;7;27.5;2;-0.5;8.5
o;10;36.5;Pfiffner Ivo;;14;54.5;12;36.0;2;-0.5;8.5
-;16;45.0;Arnold Christian;;20;53.0;18;44.25;2;-0.75;8.75

17b;Flütsch Marco (1999);;;;;;;;;;53.75
o;;;Koller Fabian;;;;;;;;8.5
o;5;8.5;Langenegger Beat (1997);;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Signer Walter (1998);;27;34.0;11;17.0;0;0.0;10.0
+;9;27.0;Poltera Andrin (1999);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Manser Bruno;*;10;55.5;8;37.0;-1;0.25;8.5
o;15;45.25;Tanner Adrian;;12;55.0;15;45.25;0;0.0;8.5

17c;Manser Mathias;;;;;;;;;;53.75
+;;;Tritten Robin (1998);;;;;;;;9.75
-;2;9.75;Ott Dominik;;15;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Eugster Ruedi;**;13;54.75;9;17.5;3;-1.0;8.5
+;9;27.0;Schwyn Patrick (1999);;24;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Vogel Beat;*;5;56.75;8;37.0;-1;0.25;8.5
o;15;45.25;Schäppi Urs;;12;55.0;15;45.25;0;0.0;8.5

17d;Preisig Manuel (1998);;;;;;;;;;53.75
+;;;Signer Walter (1998);;;;;;;;9.75
o;2;9.75;Koller Fabian;;7;56.25;2;9.75;0;0.0;8.5
+;7;18.25;Moseler Manuel (1999);;24;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Bühler Ernst;**;6;56.5;6;27.75;1;-0.25;8.5
o;10;36.5;Breitenmoser Simon;;14;54.5;12;36.0;2;-0.5;8.5
o;16;45.0;Oetiker Ronny;;12;55.0;15;45.25;-1;0.25;8.75

18a;Koller Andreas (1998);;;;;;;;;;53.5
o;;;Koch Thomas (1997);;;;;;;;8.5
o;5;8.5;Wittenwiler Roman (1998);;21;46.75;1;10.0;-4;1.5;8.5
+;11;17.0;Schläpfer Ramon (1999);;24;35.25;11;17.0;0;0.0;9.75
+;10;26.75;Langenegger Remo (1997);;24;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Schläpfer Matthias;*;9;55.75;7;37.25;-3;0.75;8.5
o;16;45.0;Willi Renato;;11;55.25;14;45.5;-2;0.5;8.5

18b;Keller Stefan (1998);;;;;;;;;;53.5
+;;;Buff Alwin;;;;;;;;9.75
o;2;9.75;Biäsch Christian;;12;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Bernold Michael (1999);;14;54.5;7;18.25;0;0.0;8.5
+;10;26.75;Badat Thomas (1997);;23;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Willi Renato;;11;55.25;13;35.75;3;-0.75;8.5
o;16;45.0;Inauen Marco (1999);;13;54.75;17;44.75;1;-0.25;8.5

18c;Inauen Roman;;;;;;;;;;53.5
+;;;Inauen Philipp;;;;;;;;9.75
+;2;9.75;Jud Andreas (1997);;26;34.25;4;8.75;2;-1.0;9.75
o;3;19.5;Vollenweider Jeremy (1998);*;6;56.5;6;18.5;3;-1.0;8.5
o;5;28.0;Näf Bruno;*;11;55.25;8;27.25;3;-0.75;8.5
o;10;36.5;Schwyn Adrian;;9;55.75;12;36.0;2;-0.5;8.5
o;16;45.0;Schoch Cornel (1998);;16;54.0;18;44.25;2;-0.75;8.5

19a;Thoma Christoph (1997);;;;;;;;;;53.25
o;;;Schlumpf Dominik;*;;;;;;;8.5
+;5;8.5;Sonderegger Damian (1997);;27;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rütsche Stefan;*;10;55.5;5;18.75;-1;0.25;8.5
-;9;27.0;Schwyn Adrian;;9;55.75;9;27.0;0;0.0;9.0
-;12;36.0;Inauen Marco (1999);;13;54.75;12;36.0;0;0.0;8.75
o;17;44.75;Gartmann Mauro;;12;55.0;15;45.25;-2;0.5;8.5

19b;Städler Dario;;;;;;;;;;53.25
+;;;Langenegger Beat (1997);;;;;;;;9.75
o;2;9.75;Keller Dominic;;7;56.25;2;9.75;0;0.0;8.5
o;7;18.25;Roth Martin;*;5;56.75;7;18.25;0;0.0;8.75
o;9;27.0;Schmid Patrick (1997);;3;57.25;6;27.75;-3;0.75;8.75
o;13;35.75;Kammermann Dominik;;13;54.75;11;36.25;-2;0.5;8.5
-;18;44.25;Speck Christof (1999);;16;54.0;16;45.0;-2;0.75;9.0

20a;Arnold Christian;;;;;;;;;;53.0
-;;;Schoch Cornel (1998);;;;;;;;8.75
o;4;8.75;Kammermann Dominik;;13;54.75;4;8.75;0;0.0;8.5
