3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
o;;;Bieli Andreas;;;;;;;;8.5
o;5;8.5;Treier Tobias (1998);;23;52.25;5;8.5;0;0.0;8.5
o;11;17.0;Reimann Marco (1998);;16;54.25;10;17.25;-1;0.25;8.5
o;16;25.5;Fritz Christian;;16;54.25;14;26.0;-2;0.5;8.5

26c;Burkhardt Roy;;;;;;;;;;34.0
o;;;Huber Jan (1997);;;;;;;;8.5
o;5;8.5;Peronino Mario;;22;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Lehmann Robin (1999);;18;53.75;7;18.25;-4;1.25;8.5
o;16;25.5;Furrer Mathias;;20;53.25;13;26.25;-3;0.75;8.5

26d;Wyss Cyrill;;;;;;;;;;34.0
o;;;Räber Lukas;;;;;;;;8.5
o;5;8.5;Lehmann Robin (1999);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Büttler Adrian (1999);;13;55.0;7;18.25;-4;1.25;8.5
o;16;25.5;Schöni Marc (1999);;23;52.25;16;25.5;0;0.0;8.5

27a;Anderegg David;*;;;;;;;;;28.25
+;;;Schär Simon;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Hasler Simon;;14;54.75;3;19.5;-3;1.0;9.75

28a;Leutwyler Pascal;;;;;;;;;;8.5
o;;;Hasler Manuel;;;;;;;;8.5

28b;Studinger Stephan;**;;;;;;;;;8.5
o;;;Henzer Andreas;**;;;;;;;8.5

