3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
o;7;46.75;Stalder Remo;***;5;57.0;5;47.25;-2;0.5;8.5

12c;Hauri Urs;**;;;;;;;;;55.25
+;;;Lang Martin;**;;;;;;;9.75
o;2;9.75;Kohler Fredi;**;10;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Vieira Tiago;**;11;55.5;9;17.5;2;-0.75;8.5
+;12;26.75;Lehmann Robin (1999);;18;53.75;7;28.0;-5;1.25;10.0
+;9;36.75;Leuthard Reto;;12;55.25;8;37.0;-1;0.25;9.75
o;8;46.5;Odermatt Christian;**;7;56.5;7;46.75;-1;0.25;8.75

12d;Schneider Markus;*;;;;;;;;;55.25
o;;;Huber Jan (1997);;;;;;;;8.5
o;5;8.5;Steinmann Yves;*;8;56.25;5;8.5;0;0.0;8.5
+;11;17.0;Riesen Ruedi;;16;54.25;7;18.25;-4;1.25;9.75
o;12;26.75;Kramer Franz;;5;57.0;9;27.5;-3;0.75;8.5
+;15;35.25;Lehmann Robin (1999);;18;53.75;10;36.5;-5;1.25;10.0
+;13;45.25;Wyss Patrick;;15;54.5;10;46.0;-3;0.75;10.0

12e;Probst Stefan;;;;;;;;;;55.25
+;;;Steger Robert (1998);;;;;;;;9.75
+;2;9.75;Wüthrich Martin;;23;52.25;2;9.75;0;0.0;9.75
o;3;19.5;Steinmann Yves;*;8;56.25;6;18.5;3;-1.0;8.75
o;6;28.25;Strebel Joel (1997);*;9;56.0;9;27.5;3;-0.75;8.75
o;8;37.0;Furter Reto;**;11;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Riesen Ruedi;;16;54.25;12;45.5;0;0.0;9.75

12f;Haenni Stéphane;**;;;;;;;;;55.25
o;;;Stüdeli Thomas;**;;;;;;;8.5
o;5;8.5;Odermatt Christian;**;7;56.5;2;9.75;-3;1.25;8.5
o;11;17.0;Waldner Patrick;**;7;56.5;7;18.25;-4;1.25;8.5
+;16;25.5;Vetter Mike;;24;44.0;12;26.75;-4;1.25;10.0
+;14;35.5;Furrer Mathias;;20;53.25;11;36.25;-3;0.75;9.75
+;13;45.25;Wilhelm Manuel;;14;54.75;9;46.25;-4;1.0;10.0

