4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
+;9;17.5;Staub Devin;;16;54.5;6;18.5;-3;1.0;10.0
+;8;27.5;Steiner Severin (2001);;15;54.75;8;27.5;0;0.0;10.0
o;7;37.5;Zurfluh Michael;*;8;56.5;7;37.5;0;0.0;8.5
o;12;46.0;Brun Samuel;**;6;57.0;7;47.25;-5;1.25;8.5

16p;Staub Devin;;;;;;;;;;54.5
+;;;Hodler Mathias;;;;;;;;10.0
o;1;10.0;Wallimann Remo;;14;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Bättig Martin;*;16;54.5;9;17.5;3;-1.0;8.5
o;10;27.0;Bühler Kilian (2000);;12;55.5;5;28.25;-5;1.25;8.75
+;14;35.75;Odermatt Lars (2002);;21;53.0;13;36.0;-1;0.25;10.0
o;13;45.75;Gerber Peter;*;12;55.5;13;45.75;0;0.0;8.75

16q;Bühlmann Daniel (2000);;;;;;;;;;54.5
-;;;Klauser Nico;;;;;;;;8.75
+;4;8.75;Meier Andreas;;21;53.0;4;8.75;0;0.0;10.0
o;5;18.75;Hurschler Thomas;**;7;56.75;6;18.5;1;-0.25;8.5
-;9;27.25;Zumstein Patrick;;17;54.25;10;27.0;1;-0.25;8.75
+;13;36.0;Gisler Silvan (2002);;17;54.25;14;35.75;1;-0.25;10.0
o;12;46.0;Zemp Thomas;*;23;47.25;7;47.25;-5;1.25;8.5

16r;Brand Christian;**;;;;;;;;;54.5
o;;;Nietlispach Pascal;**;;;;;;;8.5
+;5;8.5;Lagler Christian;;12;55.5;1;10.0;-4;1.5;10.0
o;6;18.5;Fankhauser Erich;***;5;57.25;5;18.75;-1;0.25;8.5
o;10;27.0;Elmiger Matthias;;16;54.5;10;27.0;0;0.0;8.75
-;14;35.75;Elmiger Andreas;;12;55.5;10;36.75;-4;1.0;8.75
+;18;44.5;Suter Michael (2002);;22;52.75;19;44.25;1;-0.25;10.0

16s;Birchler Fabian (2000);;;;;;;;;;54.5
+;;;von Flüe Michael;;;;;;;;9.75
-;2;9.75;Rüttimann Daniel;;22;52.75;1;10.0;-1;0.25;8.75
-;6;18.5;Vonlaufen Lukas;*;16;54.5;10;17.25;4;-1.25;8.75
o;9;27.25;Zurfluh Roman;**;12;55.5;8;27.5;-1;0.25;8.5
-;14;35.75;Bucher André (2001);;13;55.25;11;36.5;-3;0.75;9.0
+;17;44.75;Blattmann Philipp (2000);;19;53.75;15;45.25;-2;0.5;9.75

16t;Fessler Linus;**;;;;;;;;;54.5
-;;;Kennel Stefan;**;;;;;;;8.75
o;4;8.75;Fankhauser Marco;**;6;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Blattmann Philipp (2000);;19;53.75;6;18.5;-4;1.25;9.75
o;10;27.0;Kennel Beat;*;12;55.5;10;27.0;0;0.0;8.75
+;14;35.75;Gisler Stefan;;12;55.5;9;37.0;-5;1.25;10.0
o;13;45.75;Bucher Roland;*;12;55.5;13;45.75;0;0.0;8.75

16u;Kenel Franz-Toni;*;;;;;;;;;54.5
-;;;Doppmann Urs;*;;;;;;;8.75
-;4;8.75;Henzer Andreas;**;16;54.5;5;8.5;1;-0.25;8.75
+;9;17.5;Imholz Elias;;18;54.0;5;18.75;-4;1.25;10.0
+;8;27.5;Wicki David;;11;55.75;4;28.5;-4;1.0;9.75
-;8;37.25;Betschart Marcel;*;15;54.75;9;37.0;1;-0.25;8.75
o;12;46.0;Suppiger Werner;**;8;56.5;9;46.75;-3;0.75;8.5

16v;Kälin Remo;*;;;;;;;;;54.5
-;;;Käslin Benno;*;;;;;;;8.75
-;4;8.75;Rohrer Ivan;**;6;57.0;4;8.75;0;0.0;8.75
-;9;17.5;Zimmermann Raffael (2000);;15;54.75;5;18.75;-4;1.25;8.75
+;13;26.25;Arnold Sebastian;;27;35.25;11;26.75;-2;0.5;10.0
+;12;36.25;Graber Sandro;;13;55.25;9;37.0;-3;0.75;9.75
o;12;46.0;Schurtenberger Sven;***;6;57.0;8;47.0;-4;1.0;8.5

16w;Kempf Damian;;;;;;;;;;54.5
-;;;Meier Marcel;;;;;;;;8.75
+;4;8.75;Stalder Silvan (2002);;27;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Waser Dominik;**;7;56.75;7;18.25;2;-0.5;8.5
-;9;27.25;Kammermann Christoph;*;16;54.5;9;27.25;0;0.0;8.75
+;13;36.0;Gabriel Simon (2002);;18;54.0;9;37.0;-4;1.0;10.0
o;12;46.0;Schuler Philipp;**;7;56.75;9;46.75;-3;0.75;8.5

16x;Troxler Jonas (2000);;;;;;;;;;54.5
+;;;Blattmann Philipp (2000);;;;;;;;9.75
+;2;9.75;Suter Michael (2002);;22;52.75;3;9.0;1;-0.75;10.0
o;2;19.75;Niederberger Markus;*;11;55.75;6;18.5;4;-1.25;8.5
-;5;28.25;Baumann Lukas;;14;55.0;5;28.25;0;0.0;9.0
o;8;37.25;Schuler Philipp;**;7;56.75;9;37.0;1;-0.25;8.5
o;13;45.75;Bieri Christian;**;11;55.75;13;45.75;0;0.0;8.75

16y;Odermatt Remo;*;;;;;;;;;54.5
-;;;Schmidiger Marco;*;;;;;;;8.75
o;4;8.75;Scherer Niklaus;;6;57.0;2;9.75;-2;1.0;8.5
+;10;17.25;Hurschler Michael;;15;54.75;6;18.5;-4;1.25;9.75
+;10;27.0;Klauser Nico;;26;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Reichmuth Marco;**;16;54.5;10;36.75;1;-0.25;8.75
-;13;45.75;Henzer Andreas;**;16;54.5;13;45.75;0;0.0;8.75

16z;Muff Armin;**;;;;;;;;;54.5
o;;;Odermatt Andreas;*;;;;;;;8.5
o;5;8.5;Reichmuth Marco;**;16;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Schmid Pius;;21;53.0;6;18.5;-5;1.5;10.0
+;10;27.0;Ettlin Jan (2001);;26;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Linggi Bruno;**;9;56.25;7;37.5;-2;0.5;8.75
-;13;45.75;Vonlaufen Lukas;*;16;54.5;13;45.75;0;0.0;8.75

17a;Zumstein Patrick;;;;;;;;;;54.25
+;;;von Euw Lukas (2002);;;;;;;;10.0
o;1;10.0;Durrer Fabian;;23;47.25;2;9.75;1;-0.25;8.5
o;6;18.5;Arnold Marcel;*;26;35.5;10;17.25;4;-1.25;8.5
-;10;27.0;Bühlmann Daniel (2000);;16;54.5;9;27.25;-1;0.25;8.75
-;14;35.75;Hürlimann Ueli (2001);;19;53.75;11;36.5;-3;0.75;8.75
+;18;44.5;Rüttimann Daniel;;22;52.75;19;44.25;1;-0.25;9.75

17b;Gisler Silvan (2002);;;;;;;;;;54.25
-;;;Fischlin Matthias (2002);;;;;;;;9.0
o;3;9.0;Krummenacher Roman;;17;54.25;4;8.75;1;-0.25;8.5
+;9;17.5;Suter Lukas (2002);;28;34.75;9;17.5;0;0.0;9.75
o;9;27.25;Betschart Marcel;*;15;54.75;9;27.25;0;0.0;8.5
o;14;35.75;Bühlmann Daniel (2000);;16;54.5;13;36.0;-1;0.25;8.5
+;19;44.25;Blattmann Jonas;;21;53.0;18;44.5;-1;0.25;10.0

17c;Durrer Markus;;;;;;;;;;54.25
-;;;Betschart Michael;;;;;;;;9.0
+;3;9.0;Rogenmoser Beat (2001);;30;34.0;5;8.5;2;-0.5;10.0
o;4;19.0;Betschart Patrick;*;12;55.5;6;18.5;2;-0.5;8.5
o;8;27.5;Gwerder Carlo;**;15;54.75;8;27.5;0;0.0;8.5
+;13;36.0;Suter Bruno (2002);;13;55.25;10;36.75;-3;0.75;9.75
o;13;45.75;Kennel Beat;*;12;55.5;13;45.75;0;0.0;8.5

17d;Wigger Simon;;;;;;;;;;54.25
+;;;Meier Lukas (2002);;;;;;;;10.0
+;1;10.0;Föhn Christian (2002);;26;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Reichmuth Armin;*;6;57.0;6;18.5;5;-1.5;8.5
o;4;28.5;Würsch Lars;;10;56.0;4;28.5;0;0.0;8.5
o;9;37.0;Nietlispach Pascal;**;7;56.75;9;37.0;0;0.0;8.5
o;14;45.5;Zimmermann Reto;;12;55.5;14;45.5;0;0.0;8.75

17e;Portmann Fabian;;;;;;;;;;54.25
-;;;Meier Daniel (2000);;;;;;;;8.75
-;4;8.75;Herger Simon;;21;53.0;5;8.5;1;-0.25;8.75
-;9;17.5;Meier Andreas;;21;53.0;10;17.25;1;-0.25;9.0
+;12;26.5;Arnold Marco (2000);;30;34.0;16;25.5;4;-1.0;10.0
-;11;36.5;Hess Dominik;*;13;55.25;11;36.5;0;0.0;9.0
-;14;45.5;Murer Remo;*;18;54.0;15;45.25;1;-0.25;8.75

17f;Krummenacher Roman;;;;;;;;;;54.25
-;;;Meier Andreas;;;;;;;;8.75
+;4;8.75;Gisler Silvan (2002);;17;54.25;3;9.0;-1;0.25;9.75
-;6;18.5;Schilter Daniel;*;28;34.75;11;17.0;5;-1.5;8.75
o;9;27.25;Henzer Andreas;**;16;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Gut Koni;;14;55.0;13;36.0;-1;0.25;8.5
+;19;44.25;Arnold Kilian (2002);;21;53.0;18;44.5;-1;0.25;10.0

17g;Weiss Roman;*;;;;;;;;;54.25
o;;;Niederberger Markus;*;;;;;;;8.5
o;5;8.5;Fellmann Roman;*;7;56.75;5;8.5;0;0.0;8.5
o;11;17.0;Wicki David;;11;55.75;5;18.75;-6;1.75;8.75
+;15;25.75;Waser Christoph (2002);;26;35.5;10;27.0;-5;1.25;10.0
+;14;35.75;Hodler Mathias;;21;53.0;14;35.75;0;0.0;10.0
o;13;45.75;Nötzli Reto;***;12;55.5;13;45.75;0;0.0;8.5

18a;Gander Adrian;*;;;;;;;;;54.0
o;;;Inderbitzin Daniel;*;;;;;;;8.5
-;5;8.5;Arnold Marcel;*;26;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Fischlin Livio (2002);;26;35.5;6;18.5;-4;1.25;10.0
+;9;27.25;Kaufmann Reto (2002);;20;53.25;8;27.5;-1;0.25;9.75
o;9;37.0;Bucher Thomas;;10;56.0;8;37.25;-1;0.25;8.5
o;14;45.5;Herger Fabian;*;13;55.25;14;45.5;0;0.0;8.5

18b;Von Euw Adi;;;;;;;;;;54.0
o;;;Elmiger Andreas;;;;;;;;8.5
+;5;8.5;Staub Ivan;;26;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Rohrer Ivan;**;6;57.0;9;17.5;3;-1.0;8.5
+;10;27.0;Käslin Benno;*;28;34.75;13;26.25;3;-0.75;10.0
o;9;37.0;Durrer Nando;;10;56.0;8;37.25;-1;0.25;8.5
o;14;45.5;Graber Sandro;;13;55.25;14;45.5;0;0.0;8.5

18c;Imholz Elias;;;;;;;;;;54.0
-;;;Suter Michael (2002);;;;;;;;9.0
+;3;9.0;Fischlin Matthias (2002);;22;52.75;3;9.0;0;0.0;9.75
o;5;18.75;Kenel Franz-Toni;*;16;54.5;9;17.5;4;-1.25;8.5
o;9;27.25;Blattmann Philipp (2000);;19;53.75;10;27.0;1;-0.25;8.5
+;14;35.75;Gemsch Stefan;;21;53.0;14;35.75;0;0.0;9.75
o;14;45.5;Zimmermann Raffael (2000);;15;54.75;17;44.75;3;-0.75;8.5

18d;Betschart Michael;;;;;;;;;;54.0
-;;;Durrer Markus;;;;;;;;9.0
+;3;9.0;Rohrer Timo (2001);;26;35.5;4;8.75;1;-0.25;9.75
o;5;18.75;Hess Dominik;*;13;55.25;8;17.75;3;-1.0;8.5
o;9;27.25;Achermann Christoph;*;13;55.25;10;27.0;1;-0.25;8.5
+;14;35.75;Gasser Dominik 2;;16;54.5;13;36.0;-1;0.25;9.75
o;14;45.5;Elmiger Andreas;;12;55.5;14;45.5;0;0.0;8.5

18e;Murer Remo;*;;;;;;;;;54.0
+;;;Arnold Marcel;*;;;;;;;9.75
o;2;9.75;Vogel Remo;**;9;56.25;2;9.75;0;0.0;8.5
o;7;18.25;Lang Julian;;16;54.5;5;18.75;-2;0.5;8.5
+;11;26.75;Meier Lukas (2002);;26;35.5;10;27.0;-1;0.25;10.0
o;10;36.75;Höfliger Andreas;**;10;56.0;8;37.25;-2;0.5;8.5
-;15;45.25;Portmann Fabian;;17;54.25;14;45.5;-1;0.25;8.75

18f;Gisler Noah (2002);;;;;;;;;;54.0
+;;;Langenegger Raffael (2001);;;;;;;;10.0
+;1;10.0;Bernet Raffael;;27;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Ettlin Stefan;*;4;58.0;2;19.75;1;-0.25;8.5
o;4;28.5;Elsener Marcel;;8;56.5;4;28.5;0;0.0;8.5
o;9;37.0;Betschart Patrick;*;12;55.5;10;36.75;1;-0.25;8.5
o;14;45.5;Hurschler Michael;;15;54.75;17;44.75;3;-0.75;8.5

18g;Ulrich Pascal;;;;;;;;;;54.0
o;;;Wetzstein Adrian;;;;;;;;8.5
o;5;8.5;Blattmann Philipp (2000);;19;53.75;5;8.5;0;0.0;8.75
+;10;17.25;Langenegger Raffael (2001);;30;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Schmid Simon (2000);;12;55.5;9;27.25;0;0.0;8.5
o;14;35.75;Vonlaufen Lukas;*;16;54.5;13;36.0;-1;0.25;8.5
+;19;44.25;Kaufmann Reto (2002);;20;53.25;17;44.75;-2;0.5;9.75

18h;Gabriel Simon (2002);;;;;;;;;;54.0
+;;;Bürgi Michael (2002);;;;;;;;10.0
+;1;10.0;Ettlin Jan (2001);;26;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Zurfluh Michael;*;8;56.5;6;18.5;5;-1.5;8.5
o;4;28.5;Scherer Niklaus;;6;57.0;5;28.25;1;-0.25;8.5
o;9;37.0;Kempf Damian;;16;54.5;13;36.0;4;-1.0;8.5
o;14;45.5;Ming Christian;*;13;55.25;14;45.5;0;0.0;8.5

19a;Hürlimann Marco (2002);;;;;;;;;;53.75
o;;;Föhn Christian (2002);;;;;;;;8.5
+;5;8.5;Bürgi Michael (2002);;26;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Waser Raphael;;11;55.75;6;18.5;-1;0.25;8.5
+;11;26.75;Stalder Silvan (2002);;27;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Muff André;*;10;56.0;8;37.25;-2;0.5;8.5
o;15;45.25;Suter Bruno (2002);;13;55.25;14;45.5;-1;0.25;8.5

19b;Blattmann Philipp (2000);;;;;;;;;;53.75
o;;;Troxler Jonas (2000);;;;;;;;8.5
+;5;8.5;Ulrich Pascal;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Fessler Linus;**;16;54.5;10;17.25;4;-1.25;8.5
+;10;27.0;Imholz Elias;;18;54.0;9;27.25;-1;0.25;9.75
o;10;36.75;Thalmann Adrian;;16;54.5;14;35.75;4;-1.0;8.5
o;15;45.25;Birchler Fabian (2000);;16;54.5;17;44.75;2;-0.5;8.5

19c;Ulrich Marcel;;;;;;;;;;53.75
o;;;Scherer Niklaus;;;;;;;;8.5
o;5;8.5;Thalmann Adrian;;16;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Gabriel Christian (2000);;29;34.25;11;17.0;0;0.0;10.0
+;10;27.0;Müller Dominik;;26;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Doppmann Urs;*;10;56.0;8;37.25;-2;0.5;8.5
o;15;45.25;Hess Dominik;*;13;55.25;14;45.5;-1;0.25;8.5

19d;Briker Hannes;;;;;;;;;;53.75
o;;;Hurschler Adrian;;;;;;;;8.5
+;5;8.5;Schmid Joel;;31;26.75;5;8.5;0;0.0;9.75
o;7;18.25;Moos Christoph;*;15;54.75;9;17.5;2;-0.75;8.5
+;11;26.75;Meienberg Adrian (2000);;30;34.0;16;25.5;5;-1.25;10.0
o;10;36.75;Achermann Christoph;*;13;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Hürlimann Mathias (2000);;14;55.0;16;45.0;1;-0.25;8.5

19e;Hürlimann Ueli (2001);;;;;;;;;;53.75
+;;;Reichlin Reto (2002);;;;;;;;9.75
+;2;9.75;Bühler Kilian (2000);;12;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Fink Bruno;*;8;56.5;6;18.5;3;-1.0;8.5
o;6;28.0;Arnold Andreas;*;9;56.25;6;28.0;0;0.0;8.5
-;11;36.5;Zumstein Patrick;;17;54.25;14;35.75;3;-0.75;8.75
o;15;45.25;Wallimann Remo;;14;55.0;15;45.25;0;0.0;8.5

20a;Kaufmann Reto (2002);;;;;;;;;;53.25
+;;;Gabriel Christian (2000);;;;;;;;10.0
-;1;10.0;Zimmermann Raffael (2000);;15;54.75;2;9.75;1;-0.25;9.0
o;4;19.0;Streiff Dominik;*;9;56.25;5;18.75;1;-0.25;8.5
o;8;27.5;Gander Adrian;*;18;54.0;9;27.25;1;-0.25;8.5
o;13;36.0;Steiner Severin (2001);;15;54.75;13;36.0;0;0.0;8.75
o;17;44.75;Ulrich Pascal;;18;54.0;19;44.25;2;-0.5;8.5

20b;Meier Marcel;;;;;;;;;;53.25
-;;;Kempf Damian;;;;;;;;8.75
o;4;8.75;Graber Sandro;;13;55.25;4;8.75;0;0.0;8.5
-;10;17.25;Ettlin Jan (2001);;26;35.5;7;18.25;-3;1.0;8.75
+;14;26.0;Inderbitzin Dominic;;30;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Langenstein Philip;**;13;55.25;11;36.5;-2;0.5;8.5
-;18;44.5;Hodler Mathias;;21;53.0;19;44.25;1;-0.25;8.75

20c;Bär Leo;;;;;;;;;;53.25
-;;;Schmid Simon (2000);;;;;;;;8.75
-;4;8.75;Gasser Dominik 2;;16;54.5;3;9.0;-1;0.25;8.75
-;9;17.5;Bruder Adrian;;28;34.75;10;17.25;1;-0.25;8.75
+;13;26.25;Schmid Joel;;31;26.75;11;26.75;-2;0.5;9.75
o;13;36.0;Murer Andy;**;15;54.75;12;36.25;-1;0.25;8.5
-;18;44.5;Gemsch Stefan;;21;53.0;19;44.25;1;-0.25;8.75

21a;Meier Andreas;;;;;;;;;;53.0
-;;;Krummenacher Roman;;;;;;;;8.75
o;4;8.75;Bühlmann Daniel (2000);;16;54.5;4;8.75;0;0.0;8.5
-;10;17.25;Portmann Fabian;;17;54.25;9;17.5;-1;0.25;9.0
+;13;26.25;Christen Silvan (2002);;27;35.25;11;26.75;-2;0.5;9.75
o;13;36.0;Hofmann Florian;**;15;54.75;11;36.5;-2;0.5;8.5
o;18;44.5;Bürgi Reto;*;13;55.25;14;45.5;-4;1.0;8.5

21b;Gemsch Stefan;;;;;;;;;;53.0
o;;;Bucher Thomas;;;;;;;;8.5
o;5;8.5;Blattmann Jonas;;21;53.0;5;8.5;0;0.0;8.75
+;10;17.25;Meienberg Adrian (2000);;30;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Moos Christoph;*;15;54.75;8;27.5;-1;0.25;8.5
o;14;35.75;Imholz Elias;;18;54.0;14;35.75;0;0.0;8.5
-;19;44.25;Bär Leo;;20;53.25;18;44.5;-1;0.25;8.75

21c;Hodler Mathias;;;;;;;;;;53.0
o;;;Staub Devin;;;;;;;;8.5
+;5;8.5;Meier Daniel (2000);;34;17.25;4;8.75;-1;0.25;10.0
o;6;18.5;Murer Andy;**;15;54.75;9;17.5;3;-1.0;8.5
-;10;27.0;Schmid Pius;;21;53.0;10;27.0;0;0.0;8.75
o;14;35.75;Weiss Roman;*;17;54.25;14;35.75;0;0.0;8.5
-;19;44.25;Meier Marcel;;20;53.25;18;44.5;-1;0.25;8.75

21d;Arnold Kilian (2002);;;;;;;;;;53.0
-;;;Rohrer Timo (2001);;;;;;;;8.75
+;4;8.75;Meienberg Adrian (2000);;30;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Hofmann Florian;**;15;54.75;11;17.0;5;-1.5;8.5
-;10;27.0;Blattmann Jonas;;21;53.0;10;27.0;0;0.0;9.0
o;13;36.0;Hösli Fritz;*;15;54.75;13;36.0;0;0.0;8.5
o;18;44.5;Krummenacher Roman;;17;54.25;19;44.25;1;-0.25;8.5

21e;Odermatt Lars (2002);;;;;;;;;;53.0
o;;;Bernet Raffael;;;;;;;;8.5
+;5;8.5;Langenegger Raffael (2001);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Bucher Thomas;;10;56.0;5;18.75;-1;0.25;8.5
-;10;27.0;Schilter Daniel;*;28;34.75;15;25.75;5;-1.25;9.0
o;13;36.0;Staub Devin;;16;54.5;14;35.75;1;-0.25;8.5
o;18;44.5;Bucher André (2001);;13;55.25;14;45.5;-4;1.0;8.5

21f;Schmid Pius;;;;;;;;;;53.0
o;;;Durrer Nando;;;;;;;;8.5
+;5;8.5;Bacher Andreas;;35;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Muff Armin;**;16;54.5;11;17.0;5;-1.5;8.5
-;10;27.0;Hodler Mathias;;21;53.0;10;27.0;0;0.0;9.0
o;13;36.0;Fellmann Roman;*;7;56.75;9;37.0;-4;1.0;8.5
o;18;44.5;Gisler Stefan;;12;55.5;14;45.5;-4;1.0;8.5

21g;Herger Simon;;;;;;;;;;53.0
o;;;Durrer Fabian;;;;;;;;8.5
-;5;8.5;Portmann Fabian;;17;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Effinger Peter;;26;35.5;10;17.25;0;0.0;8.75
+;14;26.0;Keller Damian (2002);;30;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Fässler Dominic;**;9;56.25;12;36.25;-1;0.25;8.5
o;18;44.5;Kammermann Christoph;*;16;54.5;18;44.5;0;0.0;8.5

21h;Blattmann Jonas;;;;;;;;;;53.0
o;;;Blumenthal Lino (2002);;;;;;;;8.5
+;5;8.5;Gemsch Stefan;;21;53.0;5;8.5;0;0.0;10.0
o;6;18.5;Ming Christian;*;13;55.25;11;17.0;5;-1.5;8.5
-;10;27.0;Arnold Kilian (2002);;21;53.0;10;27.0;0;0.0;9.0
o;13;36.0;Durrer Lukas;;13;55.25;10;36.75;-3;0.75;8.5
o;18;44.5;Gisler Silvan (2002);;17;54.25;19;44.25;1;-0.25;8.5

21i;Krieg Silvan (2000);;;;;;;;;;53.0
o;;;Rüttimann Daniel;;;;;;;;8.5
-;5;8.5;Suter Lukas (2002);;28;34.75;5;8.5;0;0.0;9.0
o;9;17.5;Klauser Nico;;26;35.5;10;17.25;1;-0.25;8.5
+;14;26.0;Hürlimann Adrian (2002);;30;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Schmidiger Marco;*;16;54.5;13;36.0;0;0.0;8.5
o;18;44.5;Baumann Marco;;16;54.5;17;44.75;-1;0.25;8.5

22a;Rüttimann Daniel;;;;;;;;;;52.75
+;;;Krieg Silvan (2000);;;;;;;;10.0
-;1;10.0;Birchler Fabian (2000);;16;54.5;2;9.75;1;-0.25;8.75
o;5;18.75;Langenstein Philip;**;13;55.25;8;17.75;3;-1.0;8.5
o;9;27.25;Arnold Stefan;**;12;55.5;9;27.25;0;0.0;8.5
o;14;35.75;Bachmann Adrian;;15;54.75;13;36.0;-1;0.25;8.5
o;19;44.25;Zumstein Patrick;;17;54.25;18;44.5;-1;0.25;8.5

22b;Suter Michael (2002);;;;;;;;;;52.75
-;;;Imholz Elias;;;;;;;;9.0
o;3;9.0;Troxler Jonas (2000);;16;54.5;2;9.75;-1;0.75;8.5
o;9;17.5;Gasser Dominik 2;;16;54.5;8;17.75;-1;0.25;8.5
+;14;26.0;Risi Janik (2000);;26;35.5;11;26.75;-3;0.75;9.75
o;14;35.75;Betschart Daniel;;16;54.5;13;36.0;-1;0.25;8.5
o;19;44.25;Brand Christian;**;16;54.5;18;44.5;-1;0.25;8.5

22c;Fischlin Matthias (2002);;;;;;;;;;52.75
-;;;Gisler Silvan (2002);;;;;;;;9.0
o;3;9.0;Imholz Elias;;18;54.0;3;9.0;0;0.0;8.5
o;9;17.5;Rohrer Timo (2001);;26;35.5;10;17.25;1;-0.25;8.5
+;14;26.0;Rogenmoser Beat (2001);;30;34.0;16;25.5;2;-0.5;9.75
o;14;35.75;Odermatt Sepp;;11;55.75;13;36.0;-1;0.25;8.5
o;19;44.25;Gasser Dominik 2;;16;54.5;18;44.5;-1;0.25;8.5

23a;Zemp Thomas;*;;;;;;;;;47.25
-;;;Herger Lukas;*;;;;;;;8.75
+;4;8.75;Achermann Christoph;*;13;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Schurtenberger Sven;***;6;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Bühler Kilian (2000);;12;55.5;5;28.25;-4;1.0;10.0
+;8;37.25;Bühlmann Daniel (2000);;16;54.5;13;36.0;5;-1.25;10.0

23b;Durrer Fabian;;;;;;;;;;47.25
+;;;Herger Simon;;;;;;;;9.75
+;2;9.75;Zumstein Patrick;;17;54.25;1;10.0;-1;0.25;10.0
-;2;19.75;Hasler Florian;**;5;57.25;6;18.5;4;-1.25;9.0
o;3;28.75;Linggi Bruno;**;9;56.25;7;27.75;4;-1.0;8.75
+;7;37.5;Scherer Niklaus;;6;57.0;4;38.25;-3;0.75;9.75

24a;Betschart Remo;**;;;;;;;;;46.5
o;;;Grab Martin;***;;;;;;;8.5
+;5;8.5;Schilter Daniel;*;28;34.75;5;8.5;0;0.0;10.0
+;6;18.5;Wallimann Remo;;14;55.0;3;19.5;-3;1.0;9.75
o;5;28.25;Müllestein Mike;***;2;58.5;3;28.75;-2;0.5;8.5
+;10;36.75;Waser Raphael;;11;55.75;9;37.0;-1;0.25;9.75

25a;Bucher Christian;*;;;;;;;;;46.25
+;;;Arnold Andreas;*;;;;;;;9.75
-;2;9.75;Odermatt Andreas;*;13;55.25;2;9.75;0;0.0;8.75
+;6;18.5;Bachmann Adrian;;15;54.75;4;19.0;-2;0.5;10.0
o;4;28.5;Grab Martin;***;1;59.25;2;29.5;-2;1.0;8.75
-;8;37.25;Heinzer Ronny;*;14;55.0;7;37.5;-1;0.25;9.0

26a;Föhn Christian (2002);;;;;;;;;;35.5
+;;;Hürlimann Marco (2002);;;;;;;;9.75
o;2;9.75;Wigger Simon;;17;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Bürgi Reto;*;13;55.25;11;17.0;4;-1.25;8.5
-;11;26.75;Dittli Mathias (2002);;29;34.25;16;25.5;5;-1.25;8.75

26b;Müller Dominik;;;;;;;;;;35.5
o;;;Stucki Christian;;;;;;;;8.5
+;5;8.5;Waser Christoph (2002);;26;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Gwerder Carlo;**;15;54.75;9;17.5;3;-1.0;8.5
o;10;27.0;Ulrich Marcel;;19;53.75;10;27.0;0;0.0;8.5

26c;Staub Ivan;;;;;;;;;;35.5
o;;;Ottiger Lukas;;;;;;;;8.5
o;5;8.5;Von Euw Adi;;18;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Stalder Silvan (2002);;27;35.25;7;18.25;-4;1.25;10.0
o;10;27.0;Bürgi Reto;*;13;55.25;11;26.75;1;-0.25;8.5

26d;Kathriner Severin (2000);;;;;;;;;;35.5
o;;;Elsener Manuel;;;;;;;;8.5
+;5;8.5;Wyrsch Gabriel (2001);;26;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Lagler Christian;;12;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Gerber Peter;*;12;55.5;10;27.0;0;0.0;8.5

26e;Ulrich Livio;;;;;;;;;;35.5
o;;;Suter Beat;;;;;;;;8.5
o;5;8.5;Steiner Severin (2001);;15;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Dittli Mathias (2002);;29;34.25;11;17.0;0;0.0;10.0
