4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
6i;von Ah Benji;***;;;;;;;;;57.0
-;;;Fankhauser Erich;***;;;;;;;8.75
+;4;8.75;Blaser Theo;*;15;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Fellmann Roman;*;7;56.75;6;18.5;0;0.0;9.75
+;5;28.25;Ambühl Joel;*;10;56.0;3;28.75;-2;0.5;10.0
+;4;38.25;Reichmuth Armin;*;6;57.0;3;38.5;-1;0.25;10.0
o;3;48.25;Bieri Marcel;**;3;58.25;3;48.25;0;0.0;8.75

7a;Inderbitzin Daniel;*;;;;;;;;;56.75
+;;;Gander Adrian;*;;;;;;;9.75
+;2;9.75;Muff André;*;10;56.0;4;8.75;2;-1.0;10.0
+;2;19.75;Hurschler Adrian;;16;54.5;6;18.5;4;-1.25;10.0
o;1;29.75;Bieri Marcel;**;3;58.25;4;28.5;3;-1.25;8.5
o;4;38.25;Waser Dominik;**;7;56.75;5;38.0;1;-0.25;8.5
+;9;46.75;Bühler Kilian (2000);;12;55.5;8;47.0;-1;0.25;10.0

7b;Hurschler Thomas;**;;;;;;;;;56.75
+;;;Fellmann Roman;*;;;;;;;9.75
-;2;9.75;Schuler Philipp;**;7;56.75;1;10.0;-1;0.25;8.75
+;6;18.5;Bühlmann Daniel (2000);;16;54.5;5;18.75;-1;0.25;10.0
+;4;28.5;Reichmuth Marco;**;16;54.5;5;28.25;1;-0.25;10.0
o;3;38.5;Bieri Marcel;**;3;58.25;3;38.5;0;0.0;8.5
+;8;47.0;Fink Bruno;*;8;56.5;4;48.0;-4;1.0;9.75

7c;Fellmann Roman;*;;;;;;;;;56.75
o;;;Hurschler Thomas;**;;;;;;;8.5
+;5;8.5;Weiss Roman;*;17;54.25;5;8.5;0;0.0;10.0
o;6;18.5;von Ah Benji;***;6;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Effinger Peter;;26;35.5;10;27.0;0;0.0;10.0
+;9;37.0;Schmid Pius;;21;53.0;13;36.0;4;-1.0;10.0
+;8;47.0;Suter Beat;;15;54.75;12;46.0;4;-1.0;9.75

7d;Nietlispach Pascal;**;;;;;;;;;56.75
+;;;Brand Christian;**;;;;;;;10.0
o;1;10.0;Grab Martin;***;1;59.25;2;9.75;1;-0.25;8.5
o;6;18.5;Reichmuth Lukas (2000);;6;57.0;1;20.0;-5;1.5;8.75
