3027-2015-06-28_Solothurner_Kantonalschwingfest-ST

1a;Bieri Christoph;***;;;;;;;;;58.75
+;9;27.25;Haymoz Jan (1999);;22;52.5;10;27.0;1;-0.25;9.75
o;7;37.0;Sigg David;*;9;56.0;7;37.0;0;0.0;8.5
-;13;45.5;Wittmer Lukas;;15;54.5;13;45.5;0;0.0;9.0

15d;Reinhard Adrian (1997);;;;;;;;;;54.5
+;;;Bachmann Marco (1999);;;;;;;;10.0
-;1;10.0;Lisser Beat;;20;53.0;4;8.75;3;-1.25;9.0
o;4;19.0;Hauri Urs;**;8;56.25;3;19.5;-1;0.5;8.5
o;8;27.5;Stoll Simon;;13;55.0;6;28.25;-2;0.75;8.5
o;11;36.0;Nyffeler Christoph;;15;54.5;12;35.75;1;-0.25;8.5
+;17;44.5;Haymoz Jan (1999);;22;52.5;19;44.0;2;-0.5;10.0

16a;Leimgruber Daniel;;;;;;;;;;54.25
-;;;Moos Christoph;;;;;;;;8.75
+;4;8.75;Furrer Mathias;;21;52.75;4;8.75;0;0.0;10.0
o;5;18.75;Betschart Remo;**;6;56.75;6;18.5;1;-0.25;8.5
o;9;27.25;Döbeli Andreas (1998);*;12;55.25;10;27.0;1;-0.25;8.75
o;11;36.0;Hasler Manuel;;16;54.25;12;35.75;1;-0.25;8.5
+;17;44.5;Nussbaumer Gabriel;;21;52.75;18;44.25;1;-0.25;9.75

16b;Hermann Oliver;;;;;;;;;;54.25
o;;;Hasler Manuel;;;;;;;;8.5
+;5;8.5;Mühlberg Lukas (1997);;25;51.25;5;8.5;0;0.0;10.0
-;6;18.5;Stegmüller Klemens;*;13;55.0;6;18.5;0;0.0;9.0
o;8;27.5;Waldner Patrick;**;10;55.75;10;27.0;2;-0.5;8.5
o;11;36.0;Widmer Dino;;16;54.25;11;36.0;0;0.0;8.5
+;17;44.5;Lisser Beat;;20;53.0;17;44.5;0;0.0;9.75

16c;Hasler Manuel;;;;;;;;;;54.25
+;;;Hermann Oliver;;;;;;;;9.75
-;2;9.75;Gabathuler Björn (1998);;27;27.5;4;8.75;2;-1.0;8.75
-;6;18.5;Lang Martin;**;6;56.75;7;18.25;1;-0.25;8.75
o;9;27.25;Klausner Yanick;**;11;55.5;9;27.25;0;0.0;8.5
+;12;35.75;Leimgruber Daniel;;16;54.25;11;36.0;-1;0.25;9.75
-;13;45.5;Kramer Franz;*;16;54.25;13;45.5;0;0.0;8.75

16d;Kramer Franz;*;;;;;;;;;54.25
o;;;Schläpfer Matthias;*;;;;;;;8.5
+;5;8.5;Stoll Simon;;13;55.0;1;10.0;-4;1.5;10.0
+;6;18.5;Kohler Adrian;;16;54.25;6;18.5;0;0.0;9.75
o;6;28.25;Blatter Lorenz;*;3;57.75;6;28.25;0;0.0;8.5
-;8;36.75;Stegmüller Klemens;*;13;55.0;10;36.25;2;-0.5;8.75
-;13;45.5;Hasler Manuel;;16;54.25;13;45.5;0;0.0;8.75

16e;Kohler Adrian;;;;;;;;;;54.25
+;;;Räber Lukas;;;;;;;;9.75
-;2;9.75;Krebs Clemens;;17;54.0;2;9.75;0;0.0;8.75
o;6;18.5;Kramer Franz;*;16;54.25;6;18.5;0;0.0;8.5
+;10;27.0;Furrer Mathias;;21;52.75;13;25.75;3;-1.25;9.75
-;8;36.75;Schär Simon;*;14;54.75;11;36.0;3;-0.75;9.0
o;12;45.75;Schläpfer Matthias;*;10;55.75;12;45.75;0;0.0;8.5

16f;Widmer Dino;;;;;;;;;;54.25
o;;;Roth Christian;;;;;;;;8.75
-;4;8.75;Bieli Andreas;;17;54.0;5;8.5;1;-0.25;8.75
+;9;17.5;Furrer Mathias;;21;52.75;10;17.25;1;-0.25;9.75
-;9;27.25;Scherrer Johann;**;14;54.75;6;28.25;-3;1.0;8.75
+;11;36.0;Hermann Oliver;;16;54.25;11;36.0;0;0.0;9.75
o;12;45.75;Moser Matthias;;5;57.0;7;47.0;-5;1.25;8.5

17a;Huber Jan (1997);*;;;;;;;;;54.0
+;;;Stegmüller Klemens;*;;;;;;;10.0
o;1;10.0;Betschart Rainer;**;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Stoll Simon;;13;55.0;6;18.5;0;0.0;8.5
+;10;27.0;Fehlmann Armin;;18;53.75;10;27.0;0;0.0;10.0
o;7;37.0;Bucher Roland;*;7;56.5;7;37.0;0;0.0;8.5
o;13;45.5;Stoffel Marc;**;6;56.75;7;47.0;-6;1.5;8.5

17b;Krebs Clemens;;;;;;;;;;54.0
+;;;Büchi Christian;;;;;;;;9.75
-;2;9.75;Kohler Adrian;;16;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Betschart Rainer;**;11;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Steinmann Kevin;**;9;56.0;8;27.5;-2;0.5;8.5
-;13;35.5;Wyss Patrick;;17;54.0;13;35.5;0;0.0;8.75
+;18;44.25;Vetter Mike;;22;52.5;19;44.0;1;-0.25;9.75

17c;Schneider Markus;*;;;;;;;;;54.0
o;;;Steinmann Yves;*;;;;;;;8.5
-;5;8.5;Probst Gabriel;**;9;56.0;5;8.5;0;0.0;9.0
+;9;17.5;Weber Roger;;21;52.75;10;17.25;1;-0.25;9.75
+;9;27.25;Studer Remo;;13;55.0;6;28.25;-3;1.0;9.75
o;7;37.0;Lang Martin;**;6;56.75;8;36.75;1;-0.25;8.5
o;13;45.5;Widmer David;;11;55.5;13;45.5;0;0.0;8.5

17d;Wyss Patrick;;;;;;;;;;54.0
+;;;Abt Robin (1997);;;;;;;;9.75
-;2;9.75;Nyffeler Christoph;;15;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Sigg David;*;9;56.0;6;18.5;0;0.0;8.5
o;10;27.0;Lang Martin;**;6;56.75;10;27.0;0;0.0;8.5
-;13;35.5;Krebs Clemens;;17;54.0;13;35.5;0;0.0;8.75
+;18;44.25;Mangold Martin;;21;52.75;18;44.25;0;0.0;9.75

17e;Grossmann Andreas;;;;;;;;;;54.0
+;;;Niggli Andreas;;;;;;;;10.0
o;1;10.0;Bader Andreas;*;12;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Stüdeli Thomas;**;11;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Wittmer Lukas;;15;54.5;10;27.0;0;0.0;8.5
+;13;35.5;Büchi Christian;;17;54.0;13;35.5;0;0.0;10.0
o;13;45.5;Roth Christian;;13;55.0;14;45.25;1;-0.25;8.5

17f;Probst Raphael;;;;;;;;;;54.0
o;;;Steger Robert (1998);;;;;;;;8.5
o;5;8.5;Räber Lukas;;19;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Mühlberg Lukas (1997);;25;51.25;11;17.0;0;0.0;10.0
o;10;27.0;Hügli Kaj (1997);*;11;55.5;10;27.0;0;0.0;8.5
+;13;35.5;Abt Robin (1997);;22;52.5;13;35.5;0;0.0;10.0
o;13;45.5;Mangold Michael (1997);;11;55.5;13;45.5;0;0.0;8.5

17g;Küng Marco;;;;;;;;;;54.0
+;;;Weber Roger;;;;;;;;9.75
o;2;9.75;von Arx Christian;*;10;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Studer Remo;;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Wüthrich Martin;;21;52.75;14;25.5;3;-1.25;10.0
o;8;36.75;Brand Christian;**;11;55.5;8;36.75;0;0.0;8.5
-;14;45.25;Vögtlin Roman;;18;53.75;15;45.0;1;-0.25;8.75

17h;Regenass Beat;;;;;;;;;;54.0
o;;;Widmer David;;;;;;;;8.5
o;5;8.5;Aerni Lars (1997);;15;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Moos Christoph;;12;55.25;10;17.25;-1;0.25;8.5
-;14;25.5;Weber Roger;;21;52.75;13;25.75;-1;0.25;8.75
+;16;34.25;Gerber Valentin (1999);;25;51.25;16;34.25;0;0.0;10.0
+;18;44.25;Furrer Mathias;;21;52.75;18;44.25;0;0.0;9.75

17i;Bieli Andreas;;;;;;;;;;54.0
o;;;Bucher Pascal;;;;;;;;8.5
-;5;8.5;Widmer Dino;;16;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Döbeli Andreas (1998);*;12;55.25;10;17.25;0;0.0;8.5
+;13;25.75;Wyss Cyrill;;22;52.5;13;25.75;0;0.0;10.0
+;12;35.75;Burkhardt Roy;;22;52.5;13;35.5;1;-0.25;9.75
o;13;45.5;Strebel Joel (1997);*;12;55.25;14;45.25;1;-0.25;8.5

17j;Büchi Christian;;;;;;;;;;54.0
o;;;Krebs Clemens;;;;;;;;8.5
-;5;8.5;Weber Roger;;21;52.75;5;8.5;0;0.0;8.75
o;10;17.25;Bucher Roland;*;7;56.5;11;17.0;1;-0.25;8.5
+;13;25.75;Bachmann Marco (1999);;21;52.75;11;26.75;-2;1.0;9.75
o;13;35.5;Grossmann Andreas;;17;54.0;13;35.5;0;0.0;8.5
+;19;44.0;Burkhardt Roy;;22;52.5;19;44.0;0;0.0;10.0

18a;Bucher Pascal;;;;;;;;;;53.75
+;;;Bieli Andreas;;;;;;;;10.0
o;1;10.0;Stegmüller Klemens;*;13;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Haymoz Jan (1999);;22;52.5;6;18.5;0;0.0;9.75
o;6;28.25;Kropf Marcel;**;10;55.75;4;28.75;-2;0.5;8.5
o;8;36.75;Uebersax Remo;**;12;55.25;8;36.75;0;0.0;8.5
o;14;45.25;Moos Christoph;;12;55.25;13;45.5;-1;0.25;8.5

18b;Vögtlin Roman;;;;;;;;;;53.75
-;;;Bucher Thomas;;;;;;;;8.75
+;4;8.75;Stich Yannick (1997);;24;51.5;4;8.75;0;0.0;10.0
o;5;18.75;Brand Christian;**;11;55.5;7;18.25;2;-0.5;8.75
-;8;27.5;Schläpfer Matthias;*;10;55.75;11;26.75;3;-0.75;9.0
o;9;36.5;Moos Christoph;;12;55.25;12;35.75;3;-0.75;8.5
-;15;45.0;Küng Marco;;17;54.0;14;45.25;-1;0.25;8.75

18c;Fehlmann Armin;;;;;;;;;;53.75
+;;;Vetter Mike;;;;;;;;10.0
o;1;10.0;Scherrer Johann;**;14;54.75;5;8.5;4;-1.5;8.5
o;6;18.5;Moser Matthias;;5;57.0;5;18.75;-1;0.25;8.5
o;10;27.0;Huber Jan (1997);*;17;54.0;10;27.0;0;0.0;8.5
+;13;35.5;Bachmann Marco (1999);;21;52.75;14;35.25;1;-0.25;9.75
o;14;45.25;Schär Simon;*;14;54.75;16;44.75;2;-0.5;8.5

18d;Steger Robert (1998);;;;;;;;;;53.75
+;;;Probst Raphael;;;;;;;;10.0
o;1;10.0;Moser Matthias;;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Bader Andreas;*;12;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Uebersax Remo;**;12;55.25;11;26.75;1;-0.25;8.5
+;13;35.5;Haymoz Jan (1999);;22;52.5;13;35.5;0;0.0;9.75
o;14;45.25;Studer Remo;;13;55.0;14;45.25;0;0.0;8.5

19a;Räber Lukas;;;;;;;;;;53.5
o;;;Kohler Adrian;;;;;;;;8.5
+;5;8.5;Probst Raphael;;17;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Waldner Patrick;**;10;55.75;11;17.0;4;-1.25;8.5
o;11;26.75;Elsener Marcel;;14;54.75;11;26.75;0;0.0;8.5
+;14;35.25;Weber Roger;;21;52.75;15;34.5;1;-0.75;9.75
o;15;45.0;Stegmüller Klemens;*;13;55.0;15;45.0;0;0.0;8.5

20a;Lisser Beat;;;;;;;;;;53.0
-;;;Mangold Martin;;;;;;;;8.75
-;4;8.75;Reinhard Adrian (1997);;15;54.5;1;10.0;-3;1.25;9.0
o;8;17.75;Klausner Yanick;**;11;55.5;10;17.25;2;-0.5;8.5
+;12;26.25;Nussbaumer Gabriel;;21;52.75;10;27.0;-2;0.75;9.75
o;11;36.0;Schläpfer Matthias;*;10;55.75;12;35.75;1;-0.25;8.5
o;17;44.5;Hermann Oliver;;16;54.25;17;44.5;0;0.0;8.5

21a;Furrer Mathias;;;;;;;;;;52.75
o;;;Studer Remo;;;;;;;;8.75
o;4;8.75;Leimgruber Daniel;;16;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Widmer Dino;;16;54.25;9;17.5;-1;0.25;8.5
o;13;25.75;Kohler Adrian;;16;54.25;10;27.0;-3;1.25;8.5
+;16;34.25;Stich Yannick (1997);;24;51.5;16;34.25;0;0.0;10.0
o;18;44.25;Regenass Beat;;17;54.0;18;44.25;0;0.0;8.5

21b;Bachmann Marco (1999);;;;;;;;;;52.75
o;;;Reinhard Adrian (1997);;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;22;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Leuthard Reto;*;5;57.0;6;18.5;-1;0.25;8.5
o;11;26.75;Büchi Christian;;17;54.0;13;25.75;2;-1.0;8.5
o;14;35.25;Fehlmann Armin;;18;53.75;13;35.5;-1;0.25;8.75
-;19;44.0;Wüthrich Martin;;21;52.75;19;44.0;0;0.0;8.75

21c;Wüthrich Martin;;;;;;;;;;52.75
o;;;Vetter Mike;;;;;;;;8.5
o;5;8.5;Uebersax Remo;**;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Nyffeler Christoph;;15;54.5;9;17.5;-2;0.5;8.5
o;14;25.5;Küng Marco;;17;54.0;11;26.75;-3;1.25;8.5
+;17;34.0;Wyss Cyrill;;22;52.5;16;34.25;-1;0.25;10.0
-;19;44.0;Bachmann Marco (1999);;21;52.75;19;44.0;0;0.0;8.75

21d;Nussbaumer Gabriel;;;;;;;;;;52.75
o;;;Rolli Ueli;;;;;;;;8.5
+;5;8.5;Niggli Andreas;;23;51.75;5;8.5;0;0.0;10.0
o;6;18.5;Studinger Mathias;**;8;56.25;11;17.0;5;-1.5;8.5
o;10;27.0;Lisser Beat;;20;53.0;12;26.25;2;-0.75;8.75
o;12;35.75;Probst Gabriel;**;9;56.0;11;36.0;-1;0.25;8.5
o;18;44.25;Leimgruber Daniel;;16;54.25;17;44.5;-1;0.25;8.5

21e;Weber Roger;;;;;;;;;;52.75
o;;;Küng Marco;;;;;;;;8.5
-;5;8.5;Büchi Christian;;17;54.0;5;8.5;0;0.0;8.75
o;10;17.25;Schneider Markus;*;17;54.0;9;17.5;-1;0.25;8.5
-;13;25.75;Regenass Beat;;17;54.0;14;25.5;1;-0.25;8.75
o;15;34.5;Räber Lukas;;19;53.5;14;35.25;-1;0.75;8.5
+;20;43.0;Abt Robin (1997);;22;52.5;19;44.0;-1;1.0;9.75

21f;Mangold Martin;;;;;;;;;;52.75
-;;;Lisser Beat;;;;;;;;8.75
+;4;8.75;Abt Robin (1997);;22;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;Henzer Andreas;**;5;57.0;6;18.5;1;-0.25;8.5
o;9;27.25;Kocher Remo;**;8;56.25;4;28.75;-5;1.5;8.5
o;12;35.75;Elsener Marcel;;14;54.75;9;36.5;-3;0.75;8.5
o;18;44.25;Wyss Patrick;;17;54.0;18;44.25;0;0.0;8.5

22a;Vetter Mike;;;;;;;;;;52.5
o;;;Fehlmann Armin;;;;;;;;8.5
+;5;8.5;Wüthrich Martin;;21;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Steinmann Yves;*;14;54.75;6;18.5;0;0.0;8.5
o;10;27.0;Mangold Michael (1997);;11;55.5;10;27.0;0;0.0;8.5
o;13;35.5;Bucher Roland;*;7;56.5;7;37.0;-6;1.5;8.5
o;19;44.0;Krebs Clemens;;17;54.0;18;44.25;-1;0.25;8.5

22b;Burkhardt Roy;;;;;;;;;;52.5
o;;;Elsener Marcel;;;;;;;;8.5
o;5;8.5;Mangold Michael (1997);;11;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Probst Gabriel;**;9;56.0;9;17.5;-2;0.5;8.5
+;14;25.5;Mühlberg Lukas (1997);;25;51.25;14;25.5;0;0.0;10.0
o;13;35.5;Bieli Andreas;;17;54.0;12;35.75;-1;0.25;8.5
o;19;44.0;Büchi Christian;;17;54.0;19;44.0;0;0.0;8.5

22c;Abt Robin (1997);;;;;;;;;;52.5
o;;;Wyss Patrick;;;;;;;;8.5
o;5;8.5;Mangold Martin;;21;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Gabathuler Björn (1998);;27;27.5;9;17.5;-2;0.5;8.5
+;14;25.5;Niggli Andreas;;23;51.75;13;25.75;-1;0.25;10.0
o;13;35.5;Probst Raphael;;17;54.0;13;35.5;0;0.0;8.5
o;19;44.0;Weber Roger;;21;52.75;20;43.0;1;-1.0;8.5

22d;Wyss Cyrill;;;;;;;;;;52.5
o;;;Wittmer Lukas;;;;;;;;8.5
o;5;8.5;Bachmann Marco (1999);;21;52.75;5;8.5;0;0.0;8.5
-;11;17.0;Niggli Andreas;;23;51.75;11;17.0;0;0.0;8.75
o;13;25.75;Bieli Andreas;;17;54.0;13;25.75;0;0.0;8.5
o;16;34.25;Wüthrich Martin;;21;52.75;17;34.0;1;-0.25;8.5
+;21;42.75;Gerber Valentin (1999);;25;51.25;21;42.75;0;0.0;9.75

22e;Haymoz Jan (1999);;;;;;;;;;52.5
+;;;Mühlberg Lukas (1997);;;;;;;;10.0
o;1;10.0;Hügli Kaj (1997);*;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Bucher Pascal;;18;53.75;6;18.5;0;0.0;8.5
o;10;27.0;Aerni Lars (1997);;15;54.5;9;27.25;-1;0.25;8.5
o;13;35.5;Steger Robert (1998);;18;53.75;13;35.5;0;0.0;8.5
o;19;44.0;Reinhard Adrian (1997);;15;54.5;17;44.5;-2;0.5;8.5

23a;Niggli Andreas;;;;;;;;;;51.75
o;;;Grossmann Andreas;;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;21;52.75;5;8.5;0;0.0;8.5
-;11;17.0;Wyss Cyrill;;22;52.5;11;17.0;0;0.0;8.75
o;13;25.75;Abt Robin (1997);;22;52.5;14;25.5;1;-0.25;8.5
-;16;34.25;Mühlberg Lukas (1997);;25;51.25;17;34.0;1;-0.25;8.75
-;20;43.0;Stich Yannick (1997);;24;51.5;21;42.75;1;-0.25;8.75

24a;Stich Yannick (1997);;;;;;;;;;51.5
-;;;Gerber Valentin (1999);;;;;;;;8.75
o;4;8.75;Vögtlin Roman;;18;53.75;4;8.75;0;0.0;8.5
o;10;17.25;Bucher Thomas;;14;54.75;10;17.25;0;0.0;8.5
o;13;25.75;Räbmatter Patrick;**;7;56.5;11;26.75;-2;1.0;8.5
o;16;34.25;Furrer Mathias;;21;52.75;16;34.25;0;0.0;8.5
-;21;42.75;Niggli Andreas;;23;51.75;20;43.0;-1;0.25;8.75

25a;Gerber Valentin (1999);;;;;;;;;;51.25
-;;;Stich Yannick (1997);;;;;;;;8.75
o;4;8.75;Widmer David;;11;55.5;2;9.75;-2;1.0;8.5
o;10;17.25;Schär Simon;*;14;54.75;10;17.25;0;0.0;8.5
o;13;25.75;Roth Christian;;13;55.0;11;26.75;-2;1.0;8.5
o;16;34.25;Regenass Beat;;17;54.0;16;34.25;0;0.0;8.5
o;21;42.75;Wyss Cyrill;;22;52.5;21;42.75;0;0.0;8.5

25b;Mühlberg Lukas (1997);;;;;;;;;;51.25
o;;;Haymoz Jan (1999);;;;;;;;8.5
o;5;8.5;Hermann Oliver;;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Probst Raphael;;17;54.0;11;17.0;0;0.0;8.5
o;14;25.5;Burkhardt Roy;;22;52.5;14;25.5;0;0.0;8.5
-;17;34.0;Niggli Andreas;;23;51.75;16;34.25;-1;0.25;8.75
o;21;42.75;Wyss Cyrill;;22;52.5;21;42.75;0;0.0;8.5

26a;Winiger Fabian;**;;;;;;;;;36.0
o;;;Brand Christian;**;;;;;;;8.75
+;4;8.75;Bucher Thomas;;14;54.75;4;8.75;0;0.0;10.0
-;5;18.75;Rolli Ueli;;12;55.25;3;19.5;-2;0.75;8.75
o;8;27.5;von Arx Christian;*;10;55.75;5;28.5;-3;1.0;8.5

27a;Gabathuler Björn (1998);;;;;;;;;;27.5
-;;;Mangold Michael (1997);;;;;;;;8.75
-;4;8.75;Hasler Manuel;;16;54.25;2;9.75;-2;1.0;8.75
+;9;17.5;Abt Robin (1997);;22;52.5;11;17.0;2;-0.5;10.0

28a;Lisser Daniel;*;;;;;;;;;17.25
-;;;Hügli Kaj (1997);*;;;;;;;8.75
o;4;8.75;Steinmann Kevin;**;9;56.0;3;9.0;-1;0.25;8.5

