3027-2015-06-28_Solothurner_Kantonalschwingfest-ST

1a;Bieri Christoph;***;;;;;;;;;58.75
o;4;38.0;Studinger Stephan;**;2;58.0;3;38.25;-1;0.25;8.5
+;9;46.5;Waldner Patrick;**;10;55.75;7;47.0;-2;0.5;9.75

8c;Studinger Mathias;**;;;;;;;;;56.25
o;;;Voggensperger Janic (1998);*;;;;;;;8.5
o;5;8.5;Kropf Marcel;**;10;55.75;1;10.0;-4;1.5;8.5
+;11;17.0;Nussbaumer Gabriel;;21;52.75;6;18.5;-5;1.5;10.0
+;10;27.0;Nyffeler Christoph;;15;54.5;9;27.25;-1;0.25;9.75
+;8;36.75;Klausner Yanick;**;11;55.5;7;37.0;-1;0.25;9.75
+;9;46.5;Rolli Ueli;;12;55.25;8;46.75;-1;0.25;9.75

9a;Sigg David;*;;;;;;;;;56.0
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Vieira Tiago;**;10;55.75;2;9.75;1;-0.25;8.5
+;6;18.5;Wyss Patrick;;17;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Studinger Stephan;**;2;58.0;6;28.25;1;-0.25;8.5
+;7;37.0;Aerni Lars (1997);;15;54.5;7;37.0;0;0.0;10.0
-;7;47.0;Kocher Remo;**;8;56.25;6;47.25;-1;0.25;9.0

9b;Steinmann Kevin;**;;;;;;;;;56.0
-;;;Nyffeler Christoph;;;;;;;;9.0
+;3;9.0;Lisser Daniel;*;28;17.25;4;8.75;1;-0.25;10.0
o;4;19.0;Stalder Remo;***;6;56.75;6;18.5;2;-0.5;8.5
+;8;27.5;Krebs Clemens;;17;54.0;10;27.0;2;-0.5;9.75
+;6;37.25;Widmer David;;11;55.5;8;36.75;2;-0.5;10.0
o;6;47.25;Probst Gabriel;**;9;56.0;11;46.0;5;-1.25;8.75

9c;Probst Gabriel;**;;;;;;;;;56.0
o;;;Leuthard Reto;*;;;;;;;8.5
