5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
9d;Bürli Roger;**;;;;;;;;;56.5
+;;;Arnold Raphael;**;;;;;;;9.75
o;3;9.75;Aeschbacher Matthias;***;4;58.0;3;9.75;0;0.0;8.5
+;8;18.25;Albert Thomas;;14;55.25;7;18.5;-1;0.25;9.75
-;9;28.0;Grab Florian;;11;56.0;7;28.5;-2;0.5;9.0
+;9;37.0;Schuler Daniel;*;14;55.25;9;37.0;0;0.0;9.75
+;10;46.75;Auf der Maur Alex;;15;55.0;11;46.5;1;-0.25;9.75

9e;Schaller Noah;;;;;;;;;;56.5
+;;;Schuler Thomas;;;;;;;;9.75
+;3;9.75;Zimmermann Daniel;*;13;55.5;6;8.5;3;-1.25;10.0
+;3;19.75;Gehrig Philipp;**;9;56.5;7;18.5;4;-1.25;10.0
o;3;29.75;Ulrich Marco;**;10;56.25;6;28.75;3;-1.0;8.5
o;4;38.25;Waser Christoph;*;9;56.5;4;38.25;0;0.0;8.5
+;10;46.75;Ulrich Roman;;12;55.75;9;47.0;-1;0.25;9.75

9f;Wandeler Roman;*;;;;;;;;;56.5
+;;;Baumann Roger;*;;;;;;;9.75
-;3;9.75;Gehrig Philipp;**;9;56.5;3;9.75;0;0.0;8.75
+;7;18.5;Ulrich Michael;*;11;56.0;5;19.0;-2;0.5;9.75
+;8;28.25;Appert Silvan;;7;57.0;7;28.5;-1;0.25;9.75
+;5;38.0;Suter Pirmin;**;11;56.0;7;37.5;2;-0.5;10.0
o;5;48.0;Aeschbacher Matthias;***;4;58.0;5;48.0;0;0.0;8.5

9g;Bucher Thomas;*;;;;;;;;;56.5
+;;;Suter Samuel;*;;;;;;;10.0
+;2;10.0;Blaser Theo;*;15;55.0;3;9.75;1;-0.25;10.0
o;2;20.0;Nötzli Reto;***;5;57.5;6;18.75;4;-1.25;8.5
+;7;28.5;Walker Jan (2004);;13;55.5;7;28.5;0;0.0;9.75
o;4;38.25;Jund Matthias;*;7;57.0;7;37.5;3;-0.75;8.5
