3341-2019-06-10_Stoos-Schwinget-ST

1a;Wicki Joel;**;;;;;;;;;59.5
o;6;18.5;Betschart Remo;**;12;54.75;6;18.5;0;0.0;8.75
o;8;27.25;Kurmann Toni;*;14;54.25;9;27.0;1;-0.25;8.75
+;13;36.0;Durrer Nando;*;17;53.25;13;36.0;0;0.0;10.0
+;10;46.0;Zimmermann Martin;**;17;53.25;15;44.75;5;-1.25;10.0

7c;Ulrich Andreas;***;;;;;;;;;56.0
+;;;Inniger Thomas;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;1;59.5;1;10.0;-1;0.25;8.5
+;7;18.25;Burch Jonas;*;10;55.25;5;18.75;-2;0.5;10.0
-;5;28.25;Odermatt Adrian (2001);*;11;55.0;4;28.5;-1;0.25;9.0
+;8;37.25;Rohrer Ueli;*;15;54.0;9;37.0;1;-0.25;10.0
-;5;47.25;Suppiger René;***;7;56.0;5;47.25;0;0.0;8.75

7d;Scheuber Lutz;**;;;;;;;;;56.0
o;;;Döbeli Lukas;**;;;;;;;8.5
+;5;8.5;Fink Bruno;*;24;34.25;4;8.75;-1;0.25;10.0
+;6;18.5;Erb Roger;**;10;55.25;6;18.5;0;0.0;10.0
-;4;28.5;Inniger Thomas;**;8;55.75;5;28.25;1;-0.25;8.75
-;8;37.25;Zenger Niklaus;***;10;55.25;8;37.25;0;0.0;8.75
+;10;46.0;Schwander Severin;**;13;54.5;10;46.0;0;0.0;10.0

8a;Kenel Franz-Toni;*;;;;;;;;;55.75
+;;;Fink Bruno;*;;;;;;;10.0
-;1;10.0;Zurfluh Roman;**;14;54.25;2;9.75;1;-0.25;8.75
+;5;18.75;Schillig Willi;**;14;54.25;11;17.25;6;-1.5;10.0
o;3;28.75;Räbmatter Patrick;***;5;56.5;5;28.25;2;-0.5;8.5
+;8;37.25;Odermatt Adrian (2001);*;11;55.0;7;37.5;-1;0.25;10.0
o;5;47.25;Alpiger Nick;***;4;57.0;5;47.25;0;0.0;8.5

8b;Inniger Thomas;**;;;;;;;;;55.75
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Waser Reto;*;24;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Kälin Roland;**;12;54.75;6;18.5;-1;0.25;10.0
-;5;28.25;Scheuber Lutz;**;7;56.0;4;28.5;-1;0.25;8.75
+;9;37.0;Schöpfer Ronny;*;15;54.0;10;36.75;1;-0.25;10.0
-;6;47.0;Mathis Marcel;***;11;55.0;9;46.25;3;-0.75;8.75

8c;Döbeli Andreas;*;;;;;;;;;55.75
+;;;Brun Jonas;**;;;;;;;9.75
-;2;9.75;Nötzli Reto;***;9;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;Bürgler André;*;19;36.25;5;18.75;-1;0.25;9.75
-;5;28.25;Van Messel Noe (2002);*;3;57.25;4;28.5;-1;0.25;9.0
+;8;37.25;Betschart Remo;**;12;54.75;9;37.0;1;-0.25;10.0
o;5;47.25;Reichmuth Pirmin;***;2;57.75;3;47.75;-2;0.5;8.5

8d;Leuthard Reto;**;;;;;;;;;55.75
o;;;Reichmuth Marco;**;;;;;;;8.5
